free	gratuit
spark	beluga
hard	dur
pay	pagar
glove	gant
badger	tais
king	rei
breakdown	pana
wood	fusta
hit	picar
glue	pega
trunk	soca
road	estrada
duck	rit
turn	girar
Albanian	albanés
wall	mur
mount	mont
mole	talpa
mallow	malva
crane	grua
punish	punir
sounding	sonda
wax	cera
friend	amic
taste	gost
heather	brana
hang	pendre
go	anar
lithium	liti
cellar	cava
tower	torre
shield	escut
fish	pescar
cost	costar
paint	pintar
stomach	estomac
Iris pseudacorus	liri
son	fiu
gold	aur
play	jogar
mute	mut
act	agir
rice	ris
wall	mura
crab	cranc
tomb	tomba
stairs	scalo
strawberry	fraga
draw	posar
example	exemple
weak	debil
how many	quant
high	naut
holy	sant
minister	ministre
blot	taca
circle	cercle
march	marchar
harmony	armonia
shit	cagar
party	partit
twelve	dotze
thirteen	tretze
sixteen	setze
branch	branca
fog	bruma
cloud	nuage
shut up	calar
win	ganhar
victory	victòria
use	emplegar
cry out	cridar
chat	charrar
hope	esperança
bow	proa
abdicate	abdicar
light	lum
trousers	bragas
mother	mair
uncle	oncle
at	cò
paint	pintura
capitalism	capitalisme
gather	acampar
update	actualizar
administer	administrar
look	agachar
distinguish	distinguir
spit	escupir
change	cambiar
comment	comentar
detect	detectar
divorce	divorciar
eliminate	eliminar
interview	entrevistar
examine	examinar
excuse	excusar
know	ignorar
imagine	imaginar
combat	luchar
manipulate	manipular
transport	transportar
blow	bufar
press	cachar
cork	tapar
incite	incitar
turn	virar
stow	arrimar
prance	cabriolar
lock	clavar
confine	confinar
freeze	congelar
invite	convidar
cooperate	cooperar
burn	cremar
sting	ponchar
profane	profanar
glue	pegar
monarch	monarca
sweet pea	amaron
remain	demorar
belittle	denigrar
disarm	desarmar
disinfect	desinfectar
uncork	destapar
prevent	empachar
enamor	enamorar
heat	escalfar
terrify	espantar
explode	espetar
dodge	esquivar
onion	ceba
closure	clausura
compact	compacte
stimulate	estimular
choke	estofar
evaporate	evaporar
explore	explorar
export	exportar
Korean	corean
beetle	escarabat
dynamite	dinamita
discipline	disciplina
double	doble
fertilize	fertilizar
celebrate	festejar
film	filmar
divide	fraccionar
in	dins
again	encara
intimidate	intimidar
filter	filtre
guard	guarda
get married	maridar
reduce	mermar
mine	minar
prune	podar
preserve	preservar
excuse	excusa
salt	salar
suppress	suprimir
return	tornar
pain	peno
dentist	dentista
pass	passar
biology	biologia
cistus	moja
cloud	nubla
origin	origina
reform	reforma
mulberry	amora
oar	rema
blot	tacha
beaver	vibre
neutral	neutre
fin	aleta
shoot	brot
bee	abelha
snow	nevar
astronomical	astronomic
crest	cresta
geology	geologia
archaeology	arqueologia
botanical	botanic
de-	des-
France	França
Denmark	Dinamarca
listen	escotar
crust	crosta
thunder	tron
germanium	germani
Cuban	cubana
oak	casse
Jordan	Jordania
I	ieu
Argentinian	argentin
neck	còu
crazy	hòu
oi	òu
anthropology	antropologia
poetry	poesia
dynasty	dinastia
edible	comestible
maple	agast
temperature	temperatura
philosophy	filosofia
Portuguese	portugués
python	piton
forty	quaranta
category	categoria
Turkish	turc
per lo	pel
artist	artista
eyebrow	ussa
sociology	sociologia
intuition	auguri
international	internacional
anatomy	anatomia
bread	pan
copper	coire
edit	editar
house	ostau
promise	promessa
global	mondial
demography	demografia
biography	biografia
navigate	navegar
luck	astre
vegetable garden	casal
vinegar	vinagre
hunger	fam
ant	formiga
heather	bruc
when	quan
dock	cai
wake	laga
plaster	geis
hypocrisy	ipocrisia
irony	ironia
Icelandic	islandés
Danish	danés
traitor	traite
down	aval
burn	brandar
common ash	frais
during	pendent
compress	compressa
analysis	analisi
aunt	tanta
voluntary	volontari
technology	tecnologia
necessary	necessari
during	durant
when	quante
worry	souci
cyclist	ciclista
forbid	interdire
transgress	transgredir
economics	economica
eat	manjar
tongue	lenga
synonym	sinonim
hemorrhage	emorragia
hemoglobin	emoglobina
historic	istoric
mythology	mitologia
genetics	genetica
ship	nau
until	entrò
benefit	benefici
responsible	responsable
Belgian	belja
World Cup	Copa del Mond
poor	paure
uranium	urani
warn	prevenir
sheaf	garba
calcium	calci
cadmium	cadmi
owner	proprietari
captain	capitani
type	tipe
honest	oneste
complete	complet
euphoria	euforia
ditch	valat
autumn	auton
human	uman
key	clau
neighbor	vesin
empty	voide
liturgy	liturgia
jaw	maissa
genocide	genocidi
phonetics	fonetica
practise	practicar
ascend	pujar
national	nacional
parliamentarian	parlamentari
locate	localizar
young	joen
muse	musa
however	totun
polite	cortés
manufacture	fabricar
dry	secar
dynamics	dinamica
falcon	moisset
plate	sieta
correct	corregir
Latvian	leton
with	amb
table	taula
skin	pèl
apple	poma
house	ostal
metallurgy	metallurgia
type	mena
per eth	peth
conditional	condicional
moth	arna
titanium	titani
hollow	cau
phonetic	fonetic
private	privat
racism	racisme
moss	mossa
bear	ors
interesting	interessant
mercenary	mercenari
look for	cercar
spider	aranha
bury	enterrar
lead	introduire
year	ongan
tie up	ligar
statue	estatua
divide	fendre
city	ciutat
laundry	linge
emotional	emocional
son	filh
member	membre
-er	-aire
foresail	polacre
which	quin
protest	manifestar
partial	parcial
hectare	ectara
speak	parlar
shorten	abreujar
adjective	adjectiu
specialist	especialista
traditional	tradicional
phosphate	fosfat
thank you	mercé
Slovenia	Eslovènia
paralysis	paralisi
today	uèi
verify	verificar
sap	saba
sheep	fea
help	ajudar
shelter	sosta
India	Índia
head	cabeça
police	polícia
better	melhor
flower	florir
difficult	dificil
force	forçar
shine	brilhar
drum	tambor
Solanum tuberosum	patana
dinosaur	dinosaure
calorie	caloria
communicate	comunicar
galaxy	galaxia
Crocus sativus	safran
we	nosati
distract	distraire
harvest	segar
woman	frema
interrogate	interrogar
time	cronometrar
remove	levar
beg	suplicar
pharaoh	faraon
hunt	caçar
dance	dança
thorn	espina
Egypt	Egipte
absurd	absurde
face	afrontar
react	reaccionar
work	trabalhar
false	fals
goose	auca
knife	cotèl
bird	aucèl
abbey	abadiá
according to	segon
mosquito	moissal
mosquito	mosquilh
beach	plaja
shame	vergonha
known	conegut
access	accès
autism	autisme
Galaxy	Galaxia
begin	començar
hit	batre
learn	aprendre
beverage	beure
Arab	arab
pray	pregar
write	escriure
live	viure
hinder	destorbar
run	córrer
cover	cobrir
flee	fugir
trace	traça
cavern	cauna
humanitarian	umanitari
attach	estacar
monkey	monin
parasitic	parasit
sheep	feda
arm	braç
treat	sonhar
outskirts	barri
from time to time	de temps en temps
university	universitari
Brassica	caulet
dance	dançar
comedy	comedia
flesh	carn
horse	caval
Saudi Arabia	Arabia Saudita
Èze	Esa
vine	vinha
marquess	marqués
result	resultat
dry	assecar
walk	passejar
difficulty	dificultat
pharynx	faringe
deny	desmentir
lengthen	alongar
thunder	tronar
heart	còr
help	ajuda
line	linha
needle	agulha
sheaf	gerba
foundation	fondacion
colonize	colonizar
specialize	especializar
conjugate	conjugar
get drunk	embriagar
confiscate	confiscar
criticize	criticar
crucify	crucificar
pursuit	acampada
comb	penche
magpie	agaça
threat	menaça
pretty	polit
asleep	endormit
venom	verin
pedagogy	pedagogia
middle	mitan
bitch	chispa
server	servidor
familiarize	familiarizar
police officer	policier
despite	malgrat
spirit	esperit
coffee	cafè
throw	escampar
sheep	moton
eye	uèlh
slide	limpar
gravity	gravitat
beryllium	berilli
analyze	analisar
architecture	arquitectura
ice	glaç
bar	beguda
electricity	electricitat
attack	atac
geographer	geografe
silicon	silici
Syringa vulgaris	lillà
cheese	formatge
company	companhia
assume	assumir
swallow	engolir
florist	florista
common reed	raus
barter	baratar
do you speak English	parlas anglés
chair	cadièra
head	tèsta
hen	galina
nail	ongla
seven	sèt
down payment	caparra
river	riu
have to	dever
pandemic	pandemia
million	milion
philanthropy	filantropia
foot	pè
stone	pèira
ear	aurelha
knee	genolh
fist	ponh
fist	punh
mare	cavala
mare	èga
sister	sòrre
brother	fraire
hole	trauc
badger	rabàs
squirrel	esquiròl
nail	ungla
victim	victima
Melissa officinalis	abeliana
stern	popa
aggression	agression
Coccinella septempunctata	babau
arrow	sageta
assassination	assassinat
ankle	cavilha
leaf	fuèlha
night	nuèch
hat	capèl
bath	banh
grass	èrba
sand	sabla
mouse	mirga
sun	solelh
hen	garia
estuary	estuari
Salamandra salamandra	salamandra
thorn	espino
tail	coa
protester	manifestant
-logy	-logia
protect	gardar
cicada	cigala
bike	velò
attack	ataca
bewitch	fadar
evolve	evolucionar
spy	espion
witch	masca
read	lieje
mandolin	mandolina
impact	impacte
immortal	imortal
volcanology	vulcanologia
aitch	acha
substitute	substituir
get together	amassar
militarize	militarizar
past	passat
necessary	caler
de los	dels
put	pausar
deceive	enganar
his	soun
Toulouse	desman
fascism	fascisme
execute	executar
yes	òc
steel	acièr
debate	debat
shark	làmia
laurel-leaved cistus	moge
snout	morre
dust	polsa
fish	peis
girl	chata
de eth	deth
rodent	rosegaire
alternate	alternar
activist	activista
duck	anet
sour	agre
common foxglove	campanas
machine	maquina
hide	amagar
lead	menar
pepper	pebre
barge	gabarra
a little	drin
seventy	setanta
vulture	voltor
joy	joia
Martinique	Martinica
way	biais
dozen	dotzena
achievement	acabada
billion	miliard
constitutional	constitucional
juggler	joglar
synthesize	sintetizar
fold	plegar
daughter	filha
magnitude	magnitud
March	març
August	agost
September	setembre
terrorism	terrorisme
dinner	sopar
variant	varianta
Vanessa atalanta	vulcan
earthquake	tèrratrem
earthquake	tèrratremol
not	ges
hull	còca
cowboy	gardian
Polynesia	Polinesia
Earth	Tèrra
bull	taur
sweat	susar
embrace	abraçar
Spanish	espanhòl
man	òme
socialism	socialisme
exact	exacte
straw	palha
woman	femna
presence	preséncia
frog	granolha
frog	granhòta
castle	castèl
godfather	pairin
godmother	mairina
elbow	coide
shoulder	espatla
leg	camba
ancestor	ancessor
bone	òs
Bible	Bíblia
English	anglés
Czech	chèc
Provençal	provençau
Romanian	romanés
krypton	cripton
Tower of Babel	Torre de Babel
reply	respondre
see	veire
nom comun	nom comun
age	edat
summer	estiu
Burmese	birman
pour	abocar
sulfur	sofre
easy	aisit
bedroom	chambro
protect	aparar
difficult	malaisit
bat	ratapenada
dew	rosada
conjugation	conjugason
birch	beç
common ash	fraisse
stop	cessar
divide	divisar
family	familha
momentum	vam
fox	mandra
sow	semenar
memorize	memorizar
village	vilatge
match	aluqueta
light	alucar
fraud	frauda
traveller	viatjaire
linguist	lingüista
door	pòrta
window	fenèstra
nightingale	rossinhòl
rabbit	conilh
mole	taupa
panther	pantèra
boar	singlar
verb	vèrb
noms comuns	noms comuns
fox	guèine
fox	rainal
adverb	advèrbi
preposition	preposicion
hare	lèbre
nom pròpri	nom pròpri
conjunction	conjoncion
winter	ivèrn
season	sason
rose	ròsa
colony	colònia
interjection	interjeccion
fox	volp
day	jorn
be	èsser
coat	mantèl
francés ancian	francés ancian
man	ome
bailer	sassa
indicative	indicatiu
brandish	brandir
genoa	genovés
black	negre
troubadour	trobador
find	trobar
player	jogador
ex	ixa
bed	lèit
bed	lièch
welcome	benvengut
Monday	diluns
Tuesday	dimars
Wednesday	dimècres
Thursday	dijòus
Friday	divendres
Saturday	dissabte
Sunday	dimenge
change	cambiament
twin	besson
wipe	eissugar
snail	cagaraula
beast	bèstia
latin tardiu	latin tardiu
grèc ancien	grèc ancian
Greek	grèc
also	tanben
Indonesian	indonesian
same	meteis
Gemini	Bessons
breakfast	dejunar
beer	cervesa
caterpillar	eruga
mosque	mosqueta
wild	salvatge
prepare	aprestar
species	espècia
Flanders	Flandes
love	amor
occitan ancian	occitan ancian
old	ancian
fineness	finesa
teach to read and write	alfabetizar
December	decembre
Scotland	Escòcia
sheet	escota
brick	brica
Greece	Grècia
user	utilizaire
battle	batalha
spike	espiga
-age	-atge
knock down	abatre
travel	viatjar
common	comun
treasure	tresaur
Populus	biule
inflation	inflacion
corn	milh
build	bastir
street	carrièra
donkey	asne
root	rasic
root	raiç
tiller	timon
small	pichon
snow	nèu
rugby	rugbi
argue	pelejar
agile	agil
remember	sovenir
cove	calanca
a eth	ath
often	sovent
genitive	genitiu
heal	garir
establish	establir
wood	bòsc
fog	nèbla
journey	viatge
hazelnut	avelana
hazel	avelanièr
thread	fieu
regal	reial
witch	bruèissa
witch	fachilhièra
work	trabalh
weak	feble
witch	fachinièra
found	fondar
heat	chalor
monarchy	monarquia
barely	gaire
believe	creire
pig	pòrc
we	nosautres
we	nosautras
you	vosautres
you	vosautras
shroud	estant
put up	afichar
accompany	acompanhar
light	alumar
protect	assegurar
freeze	conglaçar
forget	demembrar
forget	doblidar
doubt	dobtar
freeze	glaçar
read	legir
be born	nàisser
look for	quèrre
remember	remembrar
recognize	reconéisser
shave	rasar
recebut	recebre
smile	sorire
sit down	sèire
increase	augmentacion
pilgrimage	pelegrinatge
Martian	marsian
society	societat
empty	voidar
see	véser
see	véder
win	véncer
be born	vàder
twirl	virolejar
empty	vojar
knock down	abàter
cough	tossir
handkerchief	mocador
use	utilizacion
twist	tòrcer
hold	téner
téissut	téisser
hit	tustar
hit	trucar
mock	trufar
hit	còp
crush	trissar
sparkle	treslusir
plait	trenar
tremble	tremolar
pierce	traucar
stagger	trantalhar
notice	trachar
taste	tastar
stretch	tibar
close	tancar
close	tampar
open	dobrir
worry	tafurar
close	barrar
then	alara
custom	costuma
erudite	erudit
survive	subreviure
relive	reviure
beg	sosplegar
think	soscar
dream	somiar
simplify	simplificar
whistle	siblar
signal	senhar
signal	senhalar
signal	senhal
sieve	sedaçar
sieve	sedaç
know	saupre
jump	sautar
inter	sebelir
dream	saunejar
shake	saquejar
salinize	salinizar
seal	sagelar
laugh	ríser
gnaw	rosegar
grumble	rondinar
chew	romiar
chew	ruminar
chew	mastegar
-ise	-izar
robot	robòt
revive	reviscolar
review	reveire
drought	secada
resolve	resòlvre
resolve	resòlver
stop	restancar
saw	ressegar
saw	ressar
hide	rescondre
bounce	respalmar
blame	repotegar
move	remenar
chill	refrejar
resend	remandar
order	recaptar
gather	recampar
someone	qualqu'un
steal	raubar
drag	rebalar
something	quicòm
burn	rabinar
soak	rabejar
burn	rabastinar
erect	quilhar
press	quichar
stutter	quequejar
paint	pénher
lose	pèrdre
kiss	potonejar
prescribe	prescriure
well	potz
water	aiga
provide	porgir
image	imatge
suckle	popar
breathe	polsar
rot	poirir
plangut	plànher
polarize	polarizar
paralyze	paralisar
pinch	peçugar
sparkle	petejar
prolong	perlongar
hang	penjar
comb	penchenar
pinch	pecigar
share	partejar
pepper	pebrar
pant	pantugar
dream	pantaissar
dream	pantais
dream	pantaiar
adorn	ondrar
float about	ondejar
bite	nhacar
clean	netejar
history	istòria
century	sègle
lenga d'òc	lenga d'òc
locution	locucion
milk	mólzer
move	mòure
show	muishar
distrust	mesfisar
master	mestrejar
mix	mesclar
mis-	mes-
thank	mercejar
mention	mentàver
distrust	menshidar
put makeup	mascarar
decrease	mainar
borrow	manlevar
do	mascanhar
marriage	maridatge
latin vulgar	latin vulgar
slide	lisar
laud	lausenjar
plow	laurar
jonch	jónher
lie down	jàser
give birth	jasilhar
enter	intrar
place	luòc
place	endrech
individualize	individualizar
reward	guerdonar
squint	guechejar
kitchen	cosina
red	roge
scratch	grafinhar
squirt	gisclar
gargle	gargalhejar
feign	fénher
pretend	far semblant
earth	tèrra
fregit	fregir
fail	fracassar
failure	fracàs
part	fraccion
sting	fissar
whistle	fiular
float	flotejar
float	subrenadar
over-	subre-
on top	subre
cook	còire
disembowel	esventrar
disembowel	estripar
forge	fargar
sneeze	esternudar
save	estalviar
tear	estraçar
tear	esquinçar
press	esquichar
crush	espotir
harvest	esplechar
dust	espolsar
scare	espavordir
fear	paur
terrify	espaventar
scare	espaurugar
help	espatlar
move	esmòure
expand	espandir
emotion	emocion
hesitate	esitar
hide	escondre
sweep	escobar
squash	esclafar
scale	escata
scale	escatar
strangle	escanar
switch off	escantir
respiration	respiracion
exchange	escambiar
erase	escafar
disembowel	esbudelar
disembowel	esbolhar
surround	entornejar
inform	entresenhar
cover	ensorrar
try	ensajar
surround	enrodar
try	assajar
catch	enraumassar
cold	raumàs
plaster	engipar
plaster	engeissar
plaster	gip
proverb	provèrbi
se vos plai	se vos plai
oi	èp
hello	adieussiatz
hello	adishatz
watch out	mèfi
bewitch	enfachinar
forbid	enebir
guess	endevinar
empengut	empénher
impregnate	emprenhar
grip	emponhar
fill	emplenar
full	plen
glue	empegar
bewitch	emmascar
get angry	embufar
swallow	empassar
blind	eissorbar
hurt	dòlre
hurt	dòler
move	bolegar
ring	drelinar
dissolve	dissòlvre
lunch	dinnar
enter	dintrar
guess	devinar
have to	deure
unroll	desvolzar
develop	desvolopar
differentiate	destriar
draw	dessenhar
strip bark	desruscar
cloud	nívol
sky	cèl
move	desbagatjar
disappear	desaparéisser
reduce	demesir
forget	delembrar
stop	deishar
descend	davalar
fall	càser
sew	cóser
leave	daissar
radiate	dardalhar
fall	càder
fear	crénher
believe	créser
believe	créder
increase	créisser
buy	crompar
timer	cronomètre
sew	cordurar
cook	cosinar
know	conéisher
know	conéisser
know	conóisser
lay down	colcar
nail	clavelar
nail	clavèl
juice	chuc
suck	chucar
finish	chabar
moan	caïnar
francés mejan	francés mejan
anglés mejan	anglés mejan
cauput	caupre
heat	caufar
carry	carrejar
worry	carcanhar
succeed	capitar
mince	capolar
outside	defòra
hum	cantorlejar
burst out laughing	cacalassar
dive	cabussar
push	butar
burn	brutlar
remember	brembar
buzz	bronzinar
noise	bruch
ransack	bassacar
out	fòra
fire	fuòc
light	leugièr
central	mejan
April	abriu
February	febrièr
January	genièr
January	gèr
July	julhet
June	junh
calendar	calendièr
Gascon	gascon
Limousin	lemosin
Languedocian	lengadocian
Auvergnat	auvernhat
anglés ancian	anglés ancian
cyclone	ciclon
demonym	-enc
chat	bartavelar
wander	barrutlar
chat	barjacar
mix	barrejar
bathe	banhar
give	balhar
throw	bandir
sweep	balajar
throw	lançar
undo	desfar
yawn	badalhar
organize	bailejar
island	iscla
destroy	avalir
hear	ausir
reach	aténher
stop	aturar
put out	atudar
knock out	assucar
protect	assostar
besiege	assetjar
sit down	assetar
pursue	assegutar
sanitize	assanar
assail	assalir
feminist	feminista
inform	assabentar
water	asaigar
laugh	arríder
cleave	asclar
ruin	arroïnar
recognize	arreconéisher
learn	apréner
claw	arpar
profit	aprofechar
deepen	aprigondir
add	apondre
appear	aparéisser
appear	aparéisher
cloud over	anivolar
anchor	ancorar
sharpen	amolar
Hungarian	ongrés
tradition	tradicion
quality	qualitat
each	cadun
Sicilian	sicilian
activity	activitat
memory	memòria
finance	finançar
importance	importància
last	darrier
threaten	amenaçar
appease	amaisar
prepare	alestir
distance	distància
slow down	alentir
breathe	alenar
breastfeed	alaitar
breastfeed	alachar
facilitate	aisir
grab	agantar
set fire	afogar
squat	acocolar
translation	revirada
inter	aclapar
set alight	abrandar
despise	aborrir
calm	abonaçar
improve	abonir
give water	abeurar
use up	abenar
embellish	abelir
embellish	abelar
feed	abecar
beak	bèc
falter	abautir
become grassy	abauquir
calm down	abaucar
attack	abatalhar
spoil	abastardir
demolish	abasar
despise	orrir
mix	abarrejar
grow	abarbassir
take root	abarbar
raise	abalir
dazzle	abalausir
weaken	abajanir
lower	abaissar
lower	abaishar
open	abadalhar
glory	glòria
courage	coratge
identity	identitat
hate	asirar
completely	completament
active	actiu
Jesus	Jèsus
chess	escacs
literary	literari
excessive	excessiu
accuracy	exactitud
feminism	feminisme
cassoulet	caçolet
starling	estornèl
institution	institucion
accept	acceptar
shrew	musaranha
ox	buòu
before	abans
encourage	encoratjar
study	estudi
buyer	crompaire
seller	vendeire
singer	cantaire
unity	unitat
smith	fabre
combat	combatre
hamlet	masatge
conquer	conquerir
grammar	gramatica
abandonment	abandonament
beehive	bornhon
worrying	inquietant
this	aquò
phenomenon	fenomèn
sickle	volam
kingdom	reialme
green	verd
humble	umil
defend	defendre
bit	fren
displease	desplaire
Basque	basc
beehive	bornat
consume	consumar
dynamic	dinamic
wound	ferida
creature	creaturo
sacred	sacrat
therapeutic	terapeutic
roof	teulat
roof	teule
murder	murtre
murderer	murtrier
British	britanic
parchment	pergam
aluminium	alumini
bitterness	amarum
eclipse	eclipsi
nation	nacion
writer	escrivan
star	estela
federation	federacion
treaty	tractat
lung	palmon
lick	lecar
information	informacion
student	estudiant
university	universitat
happiness	felicitat
eruption	erupcion
spur	esperon
Olympic	olimpic
week	setmana
honey	mèl
time	vegada
verb	-ejar
song	cançon
you	vosté
patriarchal	patriarcal
cousin	cosin
govern	governar
kiss	poton
for now	per ara
Canadian	canadenc
cancer	càncer
doctor	medecin
group	grop
indefinite	indefinit
situation	situacion
beam	trau
current	corrent
hidden	amagat
envy	enveja
representative	representant
closed	tancat
liqueur	pastís
district	districte
at least	almens
saw	sejar
speaker	locutor
malodorous	pudent
hundredth	centen
desire	hami
Bosnia	Bòsnia
sadness	tristesa
scandium	escandi
vanadium	vanadi
manganese	manganès
rubidium	rubidi
strontium	estronci
mercury	mercuri
commit	cometre
little	pauc
reduce	reduire
sadness	tristor
nitrogen	azòt
fornicate	fornicar
friendship	amistat
before	davant
geographic	geografic
unfavorable	desfavorable
only	solament
judge	jutjar
expressive	expressiu
aggressive	agressiu
camel	camèl
rain	pluèja
roast	rostir
exile	exili
maritime	maritim
weakness	debilitat
enemy	enemic
paradise	paradís
land clear	artiga
devotion	devocion
philanthropic	filantropic
manifestation	manifestacion
regime	regim
mayonnaise	maionesa
liver	fetge
geographer	geograf
protect	protegir
journalist	jornalista
some	qualque
arrival	arribada
each	chasca
catechism	catechisme
interpretation	interpretacion
silent	silenciós
silently	silenciosament
poor	paubre
poverty	paubretat
poverty	pauretat
duchess	duquessa
security	seguretat
safe	segur
revenge	venjança
adreça IP	adreça IP
physicist	fisician
extremity	extremitat
corn	milhòc
woman	hemna
new	novèu
new	navèth
bed	liech
crab	favolha
cork	suve
place	luec
artisan	mestierau
lightning	ulhauç
onlooker	badau
molar	caissau
voice	vòtz
vulture	voutor
hat	capèu
damage	damatge
refuse	refusar
championship	campionat
molar	caissal
place	airal
rise	auçar
Provence	Provença
doubt	dobte
Flemish	flamenc
distortion	distorsion
traitor	traïdor
African	african
gild	daurar
province	província
route	camin
wish	desirar
smoke tree	fustet
superintendent	comissari
game	jòc
administration	administracion
unknown	desconegut
sink	enfonsar
extraordinary	extraordinari
el	èla
prophecy	profecia
Catalanism	catalanisme
war	guèrra
descriptive	descriptiu
inhabit	abitar
first	prumier
people	pòble
inject	injectar
offer	ofrir
cross	traversar
wind	ventada
apéritif	aperitiu
fable	fablo
civilization	civilizacion
