scratch	are
disaster	bahalaa
bamboo piece	bahebahe
hermit crab	bilolo
swollen	lako bilolo
sea hibiscus	baru dowongi
flirtatious	bayale
banana stem	elaela
landing place	bobane
dishwater	bobiki
color white	bobudo
accident	bodito
grasshopper	botoboto
fast	yogo
crazy	yoyogo
crushed	waho
turning tool	wakowako
wange malako	wange malako
shake	wigo
sun-dry	wohe
Chinese hibiscus	uboubo
cannon	usipera
bamboo	tabadiku
messy	tabalai
excuse me	tabea
big	لامو
walk	sihisihi
angry	sarangati
curly	kobori
water tank	kokahu
orchid	tabisasu
kangaroo grass	tagalinga
kangaroo grass	tagalngana
kangaroo grass	تݢلڠان
trousers	calana
noni	takome
ladle	falofalo
eggplant	fokifoki
eggplant	fofoki
eggplant	ففوکي
taqwa	takua
nagging	talabu
divorce	talaki
too	talalu
cursed object	talibagu
axe	tamako
fish	ڽاو
imam	saraa
feast day	tambaru
mung bean	tamelo
papaya	tapaya
in order	taratib
flour	tarigu
island	Tarinate
wooden sandal	tarupa
pennant coralfish	tasmin
prayer beads	tasubee
Caesar weed	tatabako
fish	tatabola
set	tatabuang
set	tatabuan
fish	tatameri
winnowing basket	tatapa
bean sprout	taugee
Moluccan albizia	tawasela
Ceylon	Selong
sit relaxedly	tegotego
government	pamarenta
flat nose	ponoso
soaking wet	tetateta
change	tiadi
correct	tiahi
throw	tibako
hip	tibitibi
mudskipper	tidalo
Viverra tangalunga	tigalo
Viverra tangalunga	تڠݢالو
Viverra tangalunga	tinggalu
nose	ngunu
mat	jongutu
mat	جڠوت
divide	todoha
Tidore	Todore
crosswise	toduku
insufficient water	tofahe
typhoon	tofan
numbness	tofangi
prince	ڤترا
facial hair	guumi
provision	tofoma
bag	tohe
hernia	tohoso
thick	tokalo
Geokichla	tohoko
Geokichla	تهوکو
take passage	tolabane
bargain	tolabutu
forest clearer	tolagumi
tie	tolofuku
dry	tolole
plant	tometome
play	toniru
sand	fanili
ginger	ݢراکا
loincloth	cidako
allowed	أكو
miscarry	au doro
sickle	peda pesu
hanging cradle	wigowigo
enter	wosawosa
chair	kurusi
whistle	hio mada
headache	dopolo cumu
often	wolseika
homage	taadim
homage	تعظيم
howl	torara
face	torari
snarl	toreba
lean	torifa
sated	torifu
bald	totifa
starfruit	totofuko
come from behind	touru
go over land	towongi
latticework	trali
royal headkerchief	tuala pululu
sultan	tuala tulang
cockfight	tubele
mixed-up	tubutubu
stranded	tuduku
run aground	توريهي
numb	tufang
redeem	tufu
left hand	tugubadi
little finger	tugudeki
little finger	تݢوديکي
thumb	tuguhera
thumb	تݢوحيراه
Kaempferia galanga	بتاکه
right hand	tugunyira
wrestle	tugurofu
large lance	tumbak
doze off	tumurafu
collapse	turaba
thin	turege
thunder	turupopo
houseboat	tutang
nylon fishing line	tutango
fish	tuteba
harbormaster	sabandar
arbitrary	sabarara
loincloth	sabeba
sago grub	sabeta
hut	sabua
bowl	سافو
spear	sagusagu
spear	ساݢو ساݢو
forefinger	sahada
forever	sahinggasahingga
witness	sakisi
leaning	salafidi
thing	salaika
starfish	salamadaji
shield	salawako
sprained	salese
tree	salimuli
variegated lizardfish	samasama
calabash	sambiki
happy	sanang
celery	sandrei
pear	sangkole
warm	sahu
tea	ake sahu
gong	saragi
sifter	sarosaro
rib	sarusaru
leg cramp	sasaranga
palace	satanya
enemy	sataru
half Indonesian sen	satenga
exceed	foloi
traditional Moluccan medicine	rorano
today	sowange
today	wange ne
tomorrow	difutu
day after tomorrow	modiri
while ago	kanang
now	kanang ne
this morning	kanang nitaika
morning	nitaika
night	modiri lobi
tomorrow night	difutu lobi
last night	kaitara
yesterday	kanyigo
day before yesterday	kanyigo se kanyigo
midday	wange konora
midnight	futu konora
futu madaha	futu madaha
gamam madaha	gamam madaha
strike	cako
gamamu madaha	gamamu madaha
month	Sawal
areng palm	seho
sincere	seiklas
Monday	Senen
angry	setang
drag forcefully	sianaro
address	sibinyafo
torch	سيدو
at night	sofutu
jealous	siham
sentry	sikilwak
stand	silagi
lazy	siliba
fry	sinanga
roasted sagomeal	sinole
torture	sinsara
poor thing	sio kado
beginning	sirasira
gust	راتو
finish	sirato
self	sirete
mango	guae
I	fangare
collective	ngofangare
I	fajaru
I	ngofajaru
you	jou ngoni
we	ngomi
we	fangare ngomi
we	fajaru ngomi
we	fara ngomi
our	mia-
your	nia-
I	ngoto
I	fangoto
administrative district	Tobaru
wave	mokumoku
field	soanyie
lizard	soasoa
earthquake	sodidi
slaughter	sodihi
Asian swamp eel	sogili
brackish	soloba
soldier	solodadu
exposed	sololo
carry	sompo
side	sonanga
roast	songara
sappan	sonyiha
ascites	sosira ake
snot	sorangi
very dirty	soropa
tool storage	sosadu
platter	sosaha
prison	sosala
Sultan	soseba
taunt	sosere
hammer	sosifo
creek	sosolo
hurriedly	yogoyogo
gold	guraci
tree	sosoma
kill	sosone
daybreak	lofonita
daily	sosonita
chisel	sosonoto
hairy	sosoro gai
reed	sosua
messenger	sosudo
breath	sosugo
naval shipworm	sosuko
doctor	sousou
moths	souyu
crane	soweko
herder	sowohi
spy	spiong
