finger	палец
magnitude	велічыня
noise	шум
light	светлы
dark	цёмны
light	ясны
priest	ксёндз
lie	хлусня
weapon	зброя
car	самаход
author	аўтар
face	твар
palm	далонь
stadium	стадыён
capital	сталіца
tree	дрэва
border	межаваць
border	мяжа
already	ужо
Glagolitic alphabet	глаголіца
Aristotle	Арыстоцель
sabre	шабля
palace	палац
winter	зіма
soil	зямля
four	чатыры
wheat	пшаніца
man	чалавек
storm	бура
maybe	мо
wolf	воўк
week	тыдзень
Monday	панядзелак
Tuesday	аўторак
Wednesday	серада
Thursday	чацвер
Friday	пятніца
Sunday	нядзеля
Thursday	чацьвер
January	студзень
fierce	люты
March	сакавік
April	красавік
May	травень
June	чэрвень
July	ліпень
August	жнівень
September	верасень
October	кастрычнік
November	лістапад
December	снежань
laughter	смех
Adam	Адам
evening	вечар
price	цана
book	кніга
day	дзень
midnight	поўнач
star	звязда
street	вуліца
carrots	морква
Azeri	азербайджанка
scarf	шарф
park	парк
wind	вецер
summer	лета
mace	булава
shit	лайно
tear	сляза
rum	ром
healthy	здаровы
body	цела
gas	газ
end	край
three	тры
young	малады
lord	пан
grenade	граната
army	войска
culture	культура
boat	лодка
Armenian	армянка
or	або
potato	бульба
name	назва
condition	умова
sack	мех
desert	пустыня
pharaoh	фараон
pack	пакет
Cossack	казак
hammer	молат
balustrade	балюстрада
abbot	абат
у	Ерэван
paradise	рай
executioner	кат
match	запалка
comma	коска
something	нешта
proof	доказ
if	калі
group	група
corner	кут
embers	жар
hump	горб
melon	дыня
doctor	лекарка
stream	паток
sheaf	сноп
haystack	стог
cathedral	сабор
slave	раб
Pole	полька
council	савет
shower	душ
tome	том
map	мапа
under	пад
bell	звон
ambush	засада
у	Мінск
trousers	штаны
cake	торт
grove	гай
у	Прага
roof	дах
rocket	ракета
barley	ячмень
crab	краб
mystery	тайна
smell	пах
donkey	ішак
work	праца
step	ступень
dust	пыл
case	склон
guitar	гітара
yoke	ярмо
gut	кішка
maple	клён
Белару́сь	Рэспубліка Беларусь
landing	прызямленне
city	места
ball	мяч
rabbit	трус
Estonian	эстонец
bullfinch	гіль
but	але
EU	ЕС
mountain	гара
Lukashenko	Лукашэнка
bow	смычок
rain	дождж
tower	вежа
у	Масква
homosexuality	гомасексуалізм
со́нечны	сонечны вецер
chain	ланцуг
Estonian	эстонка
be	быць
Slav	славянка
Turk	турчанка
affair	справа
candle	свечка
screen	экран
Hungarian	венгр
dickhead	залупа
lynx	рысь
ash	ясень
elm	вяз
toy	цацка
adventure	авантура
sura	сура
republic	рэспубліка
dictionary	слоўнік
suffix	суфікс
ceremony	цырымонія
star	зорка
air	паветра
fire	агонь
wine	віно
whiskey	віскі
beer	піва
pussy	пізда
ass	дупа
shit	гаўно
Russian	рускі
Belarusian	беларускі
people	людзі
Belarusian	беларуска
it	яно
they	яны
prayer	малітва
foot	нага
live	жыць
drink	піць
sleep	спаць
who	хто
ceiling	столь
their	іх
her	яе
his	яго
spring	вясна
autumn	восень
seven	сем
apple	яблык
gold	золата
five	пяць
plant	расьліна
pornography	парнаграфія
pornographic	парнаграфічны
line	лінія
house	хата
green	зялёны
golf	гольф
two	двое
three	трое
council	рада
geography	геаграфія
geographic	геаграфічны
oven	печка
watermelon	кавун
want	хацець
platform	платформа
know	знаць
scorpion	скарпіён
six	шэсць
eight	восем
nine	дзевяць
European Union	Эўрапейскі Зьвяз
socialism	сацыялізм
дэмакраты́чны	дэмакратычны сацыялізм
у мяне́ ёсць пыта́нне	у мяне ёсць пытанне
question	пытанне
penis	пеніс
erection	эрэкцыя
war	вайна
vagina	похва
палавы́	палавы член
orgasm	аргазм
testicle	тэсцікула
scrotum	машонка
плоць	крайняя плоць
ejaculation	эякуляцыя
clitoris	клітар
head	галоўка
egg	яечка
testosterone	тэстастэрон
classification	клясыфікацыя
above	наверх
very	вельмі
beautiful	прыгожы
Бо́сьнія	Босьнія і Герцагавіна
North Korea	Карэя
United Kingdom	Вялікабрытанія
ball	куля
apostrophe	апостраф
minister	міністр
step	крок
nobody	ніхто
love	любіць
joke	жарт
pumpkin	гарбуз
vegetable	гародніна
lad	хлопец
foam	паралон
incest	інцэст
minute	хвіліна
this	гэты
night	ноч
flea	блыха
word	слова
window	акно
lake	возера
bus	аўтобус
road	дарога
child	дзіця
family	сям'я
damage	шкода
grain	зерне
calf	цяля
wide open space	шыр
hawk	ястраб
ear	вуха
у	Менск
Mogilyov	Магілёў
love	любоў
life	жыццё
nest	гняздо
castle	замак
eat	есці
mourning	жалоба
goddess	багіня
motor	матор
red	чырвоны
there is	няма
island	востраў
chemistry	хімія
van	фургон
mother	маці
father	бацька
Dane	датчанка
right	права
gander	гусак
hay	сена
entire	цэлы
accept	прымаць
accept	прыняць
go	хадзіць
go	пайсці
do	рабіць
go	ісці
go	ездзіць
go	ехаць
speak	гаварыць
know	ведаць
see	бачыць
love	кахаць
can	магчы
want	жадаць
give	даваць
hear	чуць
wash	мыць
do	зрабіць
acid	кіслы
ask	пытаць
become	станавіцца
become	стаць
forget	забываць
buy	купляць
stand	стаяць
abandon	пакідаць
read	чытаць
write	пісаць
light	лёгкі
sing	спяваць
work	працаваць
remain	заставацца
love	каханне
see	убачыць
old	стары
door	дзверы
second	другі
last	апошні
each	кожны
understand	разумець
give	дарыць
wash	праць
bakery	пякарня
library	бібліятэка
black	чорны
white	белы
yellow	жоўты
pay	плаціць
assist	дапамагаць
call	клікаць
open	адчыняць
close	зачыняць
believe	верыць
allow	дазваляць
decide	рашаць
cut	рэзаць
cheap	танны
dear	дарагі
friend	сябар
friend	прыяцель
begin	пачынаць
abandon	пакінуць
allow	дазволіць
open	адчыніць
assist	дапамагчы
soap	мыла
breathe	дыхаць
build	будаваць
cry	плакаць
address	адрэс
address	адрас
hungry	галодны
Ukrainian	украінец
Russian	расіянін
Pole	паляк
па	па-беларуску
animal	жывёла
request	запытаць
begin	пачаць
believe	паверыць
break	ламаць
break	зламаць
build	пабудаваць
take	браць
take	узяць
close	зачыніць
hope	спадзявацца
pay	заплаціць
read	прачытаць
arrive	прыходзіць
arrive	прыйсці
arrive	прыязджаць
arrive	прыехаць
agree	згаджацца
agree	згадзіцца
burn	гарэць
buy	купіць
call	клікнуць
fall	падаць
long	доўгі
bad	дрэнны
big	вялікі
different	розны
до́бры дзень	добры
high	высокі
low	нізкі
rich	багаты
important	важны
hard	цвёрды
difficult	цяжкі
early	ранні
curious	дапытлівы
interesting	цікавы
proud	горды
broad	шырокі
cold	халодны
correct	правільны
dead	мёртвы
dumb	дурны
empty	пусты
full	поўны
hot	гарачы
powerful	моцны
narrow	вузкі
own	уласны
poor	бедны
sweet	салодкі
pencil	аловак
Russian	руская
Ukrainian	украінская
Ukrainian	украінскі
dry	сухі
wet	мокры
angry	сярдзіты
gold	залаты
silver	сярэбраны
first	першы
third	трэці
fourth	чацвёрты
estate	сядзіба
deaf	глухі
alive	жывы
here	сюды
there	туды
nowhere	нідзе
nowhere	нікуды
where	дзе
where	куды
from where	адкуль
often	часта
weather	надвор'е
fifth	пяты
sixth	шосты
ten	дзесяць
pincers	абцугі
hemp	каноплі
glasses	акуляры
describe	апісваць
describe	апісаць
dig	капаць
dig	выкапаць
decade	дзесяцігоддзе
century	стагоддзе
box	каробка
carpet	дыван
hat	капялюш
breast	грудзі
throat	горла
carry	насіць
carry	панасіць
carry	несці
carry	панесці
go	паехаць
fall	упасці
steal	красці
forget	забыць
lose	губіць
write	напісаць
braid	плесці
wash	памыць
seventh	сёмы
eighth	восьмы
ninth	дзявяты
tenth	дзясяты
eleventh	адзінаццаты
happy	шчаслівы
Polish	польскі
young	юны
little	малы
little	маленькі
fast	хуткі
slow	павольны
able	здольны
absent	адсутны
clean	чысты
dirty	брудны
absent	адсутнічаць
give	даць
give	падарыць
lift	паднімаць
thin	тонкі
bitter	горкі
dangerous	небяспечны
clever	разумны
distant	далёкі
больш блі́зкі	блізкі
feeble	слабы
safe	бяспечны
больш во́стры	востры
blunt	тупы
quiet	ціхі
savage	дзікі
loud	гучны
windy	ветраны
sunny	сонечны
go	пахадзіць
German	нямецкі
Swedish	шведскі
tired	стомлены
tired	змораны
closely	блізка
achieve	дасягаць
achieve	дасягнуць
rotate	абарачацца
accuse	абвінавачваць
accuse	абвінаваціць
burn	згарэць
decide	рашыць
draw	рысаваць
draw	нарысаваць
lunch	абедаць
get	даставаць
lift	падняць
remember	памінаць
remember	памянуць
sell	прадаваць
lunch	паабедаць
get	дастаць
drink	выпіць
steal	скрасці
ask	прасіць
ask	спытаць
count	лічыць
remember	памятаць
remember	помніць
call	званіць
go out	выходзіць
bring	прыносіць
change	змяняцца
put on	надзяваць
know	уведаць
go out	выйсці
speak	сказаць
break	разбіваць
hear	слухаць
sick	балець
sick	хварэць
argue	спрачацца
give back	аддаваць
give back	аддаць
ask	папрасіць
begin	пачацца
begin	пачынацца
bring	прынесці
argue	паспрачацца
break	разбіць
climb	лазіць
change	змяняць
want	пажадаць
want	захацець
furniture	мэбля
his	ягоны
her	ейны
their	іхны
have	мець
bake	пячы
call	пазваніць
count	палічыць
casket	шкатулка
act	дзейнічаць
add	дадаваць
float	плаваць
float	плыць
use	выкарыстоўваць
use	ужываць
add	дадаць
hear	учуць
act	падзейнічаць
appear	з'явіцца
disappear	знікнуць
disappear	знікаць
throw	кідаць
eat	з'есці
English	англійскі
English	англійская
abbreviate	скарачаць
abbreviate	скараціць
abolish	касаваць
fly	лятаць
marsh	балота
abolish	скасаваць
absorb	паглынаць
absorb	паглынуць
act	паступаць
appear	з'яўляцца
act	паступіць
look	глядзець
look	паглядзець
bake	спячы
be able to	змагчы
blue	сіні
clean	чысціць
sell	прадаць
change	змяніць
smoke	курыць
think	думаць
remain	застацца
be able	умець
assist	спрыяць
assist	паспрыяць
be able	сумець
thigh	бядро
Spanish	іспанскі
mane	грыва
aid	памагаць
aid	памагчы
bake	запякаць
wool	воўна
bake	запячы
chisel	долата
science	навука
philosophy	філасофія
hearing	слых
back	спіна
eleven	адзінаццаць
shovel	лапата
birch	бяроза
avoid	унікаць
image	вобраз
king	кароль
country	краіна
berry	ягада
leaf	ліст
hair	волас
knee	калена
bank	бераг
bearded	барадаты
thick branch	рала
avoid	унікнуць
iron	жалеза
attempt	спрабаваць
attempt	паспрабаваць
city	горад
break	разбівацца
break	разбіцца
break	зламацца
break	ламацца
hang	вешаць
gland	залоза
grandmother	бабуля
Lenin	Ленін
part	частка
Gomel	Ветка
wait	чакаць
wait	пачакаць
stand	пастаяць
shawl	хустка
than	ніж
fairy tale	казка
lift	ліфт
lantern	ліхтар
vegetable garden	агарод
spit	пляваць
spit	напляваць
smoke	пакурыць
beat	біць
do	пабіць
clean	пачысціць
light blue	блакітны
be born	раджацца
born	радзіцца
beat	удараць
beat	ударыць
catch	лавіць
collect	збіраць
cover	пакрываць
survive	перажываць
piano	фартэпіяна
neigh	іржаць
зямля́	Руская зямля
assure	запэўніваць
assure	запэўніць
woman	жанчына
ло́дка	падводная лодка
flower	кветка
vineyard	вінаграднік
ship	карабель
ship	судна
steamship	параход
вайна́	першая сусветная вайна
вайна́	другая сусветная вайна
economy	эканоміка
abbey	абацтва
arrow	страла
arrow	стрэлка
ankle	шчыкалатка
baker	пекарка
bolt	шруба
spring	увесну
summer	улетку
autumn	увосень
winter	узімку
father	айцец
daughter	дачка
duty	абавязак
obligation	абавязацельства
department store	універмаг
thing	рэч
cotton	бавоўна
carry	вазіць
sack	мяшок
influence	уплыў
grandfather	дзед
bed	ложак
basket	кошык
branch	галіна
brewer	півавар
brewer	піваварка
oar	вясло
oven	печ
nut	арэх
number	лік
neck	шыя
aunt	цётка
hedgehog	вожык
bear	мядзведзь
beaver	бабёр
cloud	воблака
bird	птушка
axe	сякера
axe	тапор
adze	цясла
stork	бусел
bottle	бутэлька
abdomen	жывот
art	мастацтва
armful	бярэмя
anthill	мурашнік
beggar	жабрак
beggar	жабрачка
bench	лаўка
chair	крэсла
Danelaw	Данелаг
cave	пячора
chicken	курыца
myself	сябе
abrupt	раптоўны
yarn	пража
windowsill	падаконнік
from here	адсюль
from there	адтуль
from nowhere	ніадкуль
now	цяпер
today	сёння
tomorrow	заўтра
then	тады
home	дадому
speak	размаўляць
abbreviation	абрэвіятура
mare	кабыла
description	апісанне
accelerate	паскараць
accelerate	паскорыць
Europa	Еўропа
European	еўрапеец
Аме́рыка	Паўночная Амерыка
Аме́рыка	Паўднёвая Амерыка
North America	Амерыка
active	актыўны
answerable	адказны
Albanian	албанскі
east	усход
east	усходні
midday	поўдзень
south	паўднёвы
west	захад
west	заходні
Armenian	армянін
American	амерыканец
Russian	расіянка
Ukrainian	украінка
American	амерыканка
European	еўрапейка
listener	слухач
listener	слухачка
painful	балючы
pale	бледны
partial	частковы
peaceful	спакойны
peculiar	асаблівы
librarian	бібліятэкар
librarian	бібліятэкарка
Armenian	армянскі
Austrian	аўстрыец
state	дзяржава
yesterday	учора
descend	спускацца
descend	спусціцца
move house	пераязджаць
beauty	прыгажосць
dimension	памер
chase	ганяць
drag	цягаць
snake	змяя
Irishman	ірландзец
Italian	італьянец
educator	выхавальнік
salmon	ласось
squirrel	вавёрка
lion	леў
person	асоба
асо́ба	службовая асоба
peace	спакой
yeast	дрожджы
European Union	Еўрапейскі Саюз
European	еўрапейскі
Andorran	андорскі
Austrian	аўстрыйскі
Azerbaijani	азербайджанскі
Belgian	бельгійскі
Bulgarian	балгарскі
Croatian	харвацкі
Czech	чэшскі
Lusatian	лужыцкі
Lusatia	Лужыца
Georgian	грузінскі
Hungarian	венгерскі
church	царква
building	будынак
Baltic	балтыйскі
мо́ра	Балтыйскае мора
Danish	дацкі
page	старонка
chemist	аптэка
citizen	грамадзянін
find	знаходзіць
twenty	дваццаць
twelfth	дванаццаты
twelve	дванаццаць
thirteen	трынаццаць
fourteen	чатырнаццаць
thirty	трыццаць
fifteen	пятнаццаць
sixteen	шаснаццаць
forty	сорак
again	зноў
yet	яшчэ
available	даступны
available	наяўны
bright	яркі
apparent	відавочны
absent-minded	рассеяны
absolute	абсалютны
bloody	крывавы
brief	кароткі
common	агульны
creative	творчы
descriptive	апісальны
heavy	важкі
Austrian	аўстрыйка
Irishwoman	ірландка
Italian	італьянка
hospital	бальніца
daily	штодзённы
Bosnian	баснійскі
Бо́снія	Боснія і Герцагавіна
fifty	пяцьдзесят
accelerate	паскарацца
accelerate	паскорыцца
Brazilian	бразільскі
Canadian	канадскі
Mexican	мексіканскі
Parisian	парыжскі
Breton	брэтонскі
Alsatian	эльзаскі
Icelandic	ісландскі
thirteenth	трынаццаты
fourteenth	чатырнаццаты
fifteenth	пятнаццаты
sixteenth	шаснаццаты
seventeenth	сямнаццаты
eighteenth	васямнаццаты
nineteenth	дзевятнаццаты
twentieth	дваццаты
additional	дадатковы
rusty	іржавы
female	жаноцкі
Slavic	славянскі
wise	мудры
patient	цярплівы
foreign	замежны
harmful	шкодны
chemist	аптэкар
chemist	аптэкарка
educator	выхавальніца
мо́ра	Ірландскае мора
Irish	ірландскі
мо́ра	Чорнае мора
two hundred	дзвесце
three hundred	трыста
four hundred	чатырыста
five hundred	пяцьсот
six hundred	шэсцьсот
seven hundred	семсот
fiddlestick	смык
province	вобласць
care	увага
way	шлях
business	бізнес
movement	рух
journalist	журналіст
company	кампанія
attempt	спроба
film	фільм
army	армія
herring	селядзец
north	паўночны
eight hundred	восемсот
nine hundred	дзевяцьсот
two thousand	дзве тысячы
three thousand	тры тысячы
four thousand	чатыры тысячы
five thousand	пяць тысяч
six thousand	шэсць тысяч
seven thousand	сем тысяч
eight thousand	восем тысяч
nine thousand	дзевяць тысяч
ten thousand	дзесяць тысяч
ninety	дзевяноста
sixty	шэсцьдзесят
seventy	семдзесят
eighty	восемдзесят
seventeen	сямнаццаць
eighteen	васямнаццаць
nineteen	дзевятнаццаць
crown	цемя
head	стараста
orator	прамоўца
firewood	дровы
sled	сані
superstition	забабоны
election	выбары
elbow	локаць
enemy	вораг
age	узрост
dickhead	хуйло
nostril	ноздра
four	чацвёра
five	пяцёра
six	шасцёра
seven	сямёра
eight	васьмёра
battle	бітва
actor	акцёр
nine	дзявяцера
ten	дзясяцера
journalist	журналістка
actor	актрыса
architect	архітэктар
architect	архітэктарка
collect	сабраць
change	змяніцца
avoid	ухіляцца
avoid	ухіліцца
survive	перажыць
Maoism	мааізм
one and a half	паўтара
kopek	капейка
aunt	цёця
uncle	дзядзька
literature	літаратура
shop	крама
whose	чый
abbess	абатыса
ancestor	продак
barber	цырульнік
envelope	канверт
ocean	акіян
shoe	чаравік
aluminium	алюміній
meat	мяса
money	грошы
chess player	шахматыст
chess player	шахматыстка
change	перасаджвацца
nephew	пляменнік
niece	пляменніца
стрые́чны	стрыечны брат
сястра́	стрыечная сястра
Italian	італьянскі
Hindi	хіндзі
Germanic	германскі
scent	нюх
schedule	расклад
compulsory	абавязковы
offensive	абразлівы
thick	маз
dine	вячэраць
dine	павячэраць
history	гісторыя
historian	гісторык
queen	каралева
kingdom	каралеўства
prince	каралевіч
princess	каралеўна
royal	каралеўскі
saddle	сядло
sausage	каўбаса
carry	павазіць
carry	везці
carry	павезці
chase	гнаць
hive	вулей
spiderweb	павуціна
student	студэнт
student	студэнтка
train	цягнік
however	аднак
назо́ўны	назоўны склон
вінава́льны	вінавальны склон
ро́дны	родны склон
дава́льны	давальны склон
тво́рны	творны склон
ме́сны	месны склон
sparrow	верабей
silver	серабро
cotton	баваўняны
botanic	батанічны
visible	бачны
invisible	нябачны
abruptly	раптам
above	наверсе
genitive case	многа
ability	здольнасць
absence	адсутнасць
acceleration	паскарэнне
January	студзеньскі
February	лютаўскі
March	сакавіцкі
April	красавіцкі
May	травеньскі
May	майскі
June	чэрвеньскі
July	ліпеньскі
August	жнівеньскі
September	верасеньскі
October	кастрычніцкі
November	лістападаўскі
December	снежаньскі
send	пасылаць
colour	колер
Pole	палячка
silver	срэбра
breakfast	сняданак
cashier	касір
ghost	здань
ladder	драбіны
conversation	размова
comet	камета
boring	абрыдлівы
quietly	ціха
sun	сонца
translation	пераклад
interpreter	перакладчык
interpreter	перакладчыца
interpret	перакладаць
use	ужыць
use	скарыстоўваць
use	выкарыстаць
use	скарыстаць
enter	уваходзіць
go	паездзіць
change	пераапранацца
dress	апранацца
dress	апранаць
understand	зразумець
climb	палазіць
climb	лезці
climb	палезці
ban	забараняць
laugh	смяяцца
chase	паганяць
somebody	нехта
somebody	хтосьці
somebody	хтось
something	штосьці
something	штось
nothing	нішто
helmet	шалом
anybody	хто-небудзь
anything	што-небудзь
Turk	турак
Belgian	бельгіец
wall	сцяна
Belgian	бельгійка
Bulgarian	балгарын
Bulgarian	балгарка
Croat	харват
Croat	харватка
African	афрыканец
Algerian	алжырац
Egyptian	егіпцянін
Chinese man	кітаец
African	афрыканка
Australian	аўстраліец
Slovak	славак
Australian	аўстралійка
Algerian	алжырка
Egyptian	егіпцянка
Slovak	славачка
Chinese woman	кітаянка
Dane	датчанін
Czech	чэх
Czech	чэшка
Cypriot	кіпрыёт
Cypriot	кіпрыётка
Frenchwoman	францужанка
Georgian	грузін
Georgian	грузінка
Greek	грэк
Greek	грачанка
Latvian	латвіец
less	менш
more	больш
abstract	абстрактны
demonstrate	паказваць
demonstrate	паказаць
abandoned	закінуты
agrarian	аграрны
arbitrary	адвольны
awful	жахлівы
ban	забараніць
dispatch	высылаць
bake thoroughly	упякаць
ban	забарона
defence	абарона
defend	абараняць
death	смерць
die	паміраць
fuck	ябаць
deer	алень
defeat	паражэнне
adventurous	авантурны
father-in-law	свёкар
husband	свякруха
brother-in-law	зяць
appearance	аблічча
elm	бераст
nature	прырода
writer	пісьменнік
writer	пісьменніца
trout	стронга
violin	скрыпка
audience	публіка
bast shoe	лапаць
bishop	епіскап
academy	акадэмія
accent	націск
cashier	касірка
stand up	уставаць
stand up	устаць
skull	чэрап
helium	гелій
lead	вадзіць
Satan	сатана
lead	весці
run	бегаць
reach	даходзіць
run	пабегаць
wash oneself	мыцца
switch off	выключаць
assassinate	забіваць
announce	аб'яўляць
assassinate	забіць
defend	абараніць
lead	павадзіць
lead	павесці
chase	пагнаць
drag	цягнуць
float	паплаваць
float	паплыць
wake up	прачынацца
wake up	прачнуцца
colour	фарбаваць
colour	пафарбаваць
congratulate	віншаваць
congratulate	павіншаваць
recognize	апазнаваць
recognize	апазнаць
imagine	уяўляць
imagine	уявіць
issue	выдаваць
issue	выдаць
put on	надзець
print	друкаваць
bring	прывозіць
convey around	абвозіць
pass around	абносіць
acquaint	знаёміць
acquaint	пазнаёміць
announce	паведамляць
announce	паведаміць
bewitch	зачароўваць
bewitch	зачараваць
Luhansk People's Republic	Луганская Народная Рэспубліка
discuss	абгаворваць
discuss	абгаварыць
discuss	абмяркоўваць
discuss	абмеркаваць
draw	чарціць
draw	начарціць
examine	аглядаць
examine	агледзець
hang	вісець
hang	павісець
hang	павешаць
hear	паслухаць
repeat	паўтараць
repeat	паўтарыць
kiss	цалаваць
kiss	пацалаваць
spoon	лыжка
copper	медзь
chisel	стамеска
arrive	дайсці
reach	даязджаць
reach	даехаць
paper	папера
learn	вучыцца
cottage cheese	тварог
swan	лебядзіны
wash oneself	памыцца
dense	густы
not	ня
hydrogen	вадарод
reach	далятаць
sugar	цукар
sand	пясок
phosphorus	фосфар
carbon	вуглярод
chrism	крыжмаваць
haze	марыва
mixed-race person	мяшанец
mortar	мажджэр
testicles	яліты
airport	лётнішча
nut	мутэрка
flame	полымя
county	павет
iron	прас
slug	сьлімак
vinegar	воцат
teacup	філіжанка
coachman	фурман
armchair	фатэль
spacefarer	зараплавец
turf	алёс
brake	гальмо
silk	ядваб
wave	хваля
emperor	цэсар
Фра́нцыя і	Ангельшчына
hymnal	кантычка
land	сухазем'е
melon	мэлён
shipyard	карабельня
acorn	жолуд
two	дзве
мя́ккі знак	мяккі
reach	даляцець
taxi	таксі
café	кафэ
radio	радыё
calendar	каляндар
doll	лялька
straight	просты
right	правы
fast	быстры
holiday	свята
saint	святы
frequent	часты
faithful	верны
eternal	вечны
round	круглы
naked	голы
evil	злы
modest	скромны
steep	круты
rice	рыж
rough	грубы
skinny	худы
damp	сыры
daring	смелы
bald	лысы
sleepy	сонны
small	дробны
what muggy weather	душны
massive	буйны
avaricious	скупы
worthy	годны
empty	полы
magenta	пурпурны
snout	рыла
butter	масла
left	левы
empire	царства
wasp	аса
poem	верш
fate	лёс
den	нара
kidney	нырка
millet	проса
sometimes	часам
powder	порах
all	усе
pond	сажалка
comrade	таварыш
democracy	дэмакратыя
garbage	смецце
glass	шкло
independence	незалежнасць
ink	чарніла
nobility	дваранства
petrol	бензін
poverty	бедната
ба́за	база дадзеных
pedagogy	педагогіка
bird cherry	чаромха
drinking	піццё
birth	нараджэнне
Jewish	яўрэйскі
pour	ліць
Jew	яўрэй
Jew	габрэй
mouse	мыш
Siberia	Сібір
place	месца
porch	ганак
also	таксама
nightingale	салавей
gate	брама
board	дошка
cannon	гармата
spelling	арфаграфія
din	гвалт
merchant	гандляр
hello	прывет
switch on	уключаць
harmful	шкоднасны
прагра́мнае	шкоднаснае праграмнае забеспячэнне
забеспячэ́нне	праграмнае забеспячэнне
забеспячэ́нне	шпіёнскае праграмнае забеспячэнне
software	ПЗ
provision	забеспячэнне
program	праграмны
battering ram	таран
stocking	панчоха
у	Загрэб
mixture	трасянка
conscience	сумленне
handrail	парэнча
learn	вучыць
return	варочаць
way	пуць
thick	тоўсты
man	мужчына
root	корань
warm	цёплы
smooth	гладкі
name	імя
louse	вош
sit	сядзець
fog	імгла
liver	печань
lie	ляжаць
walk	гуляць
ash	попел
other	іншы
say	казаць
nail	пазногаць
bite	кусаць
suck	смактаць
feather	пяро
hunt	паляваць
skin	скура
split	калоць
fat	тлушч
free	свабодны
greeting	прывітанне
