throw away	te
homestead	mũciĩ
charity begins at home	wega uumaga na mũciĩ
thing	kĩndũ
earth	thĩ
when the cat's away the mice will play	hiti ciathiĩ mbwe ciegangara
fly	ngi
blood	thakame
serval	kĩrũũmi
elephant	njogu
bird	nyoni
resident	mũikari
union is strength	kaara kamwe gatiũragaga ndaa
body	mwĩrĩ
tooth	igego
hand	njara
cheek	ikai
fingernail	rwara
stone	ihiga
centipede	mũnyongoro
warthog	ngĩrĩ
tortoise	nguru
gun	mũcinga
partridge	ngware
tongue	rũrĩmĩ
bone	ihĩndĩ
well	gĩthima
chin	kĩreru
chest	gĩthũri
hunger	ng'aragu
vulture	nderi
rain	mbura
pee	mathugumo
leopard	ngarĩ
vein	mũkiha
branch	rũhonge
vegetable	nyeni
palm	rũhĩ
back	igoti
neck	ngingo
lip	kĩromo
feather	ruoya
tree	mũtĩ
wall	rũthingo
window	ndirica
root	mũri
mouse	ngaara
lion	ngatia
gate	kĩhingo
mosquito	rwagĩ
castor oil plant	mũbarĩki
cock	njogoo
fish	thamaki
locust	ngigĩ
door	mũrango
cultivate	mũgũnda
arrow	mũguĩ
bird of prey	hũngũ
donkey	ndigiri
wing	ithagu
sheep	ng'ondu
lizard	njagathi
battle	mbaara
chigoe	ndutu
virgin ewe	mwatĩ
ram	ndũrũme
giraffe	ndũiga
bull	ndegwa
bedbug	ngũngũni
termite	mũthũa
winged termite	nguya
safari ant	thuraku
grey hair	mbuĩ
hump	iguku
bride	mũhiki
groom	mũhikania
rice	mũceere
bee	njũkĩ
news	ũhoro
account	ng'aragu ndĩhoyagwo ũhoro
bread	mũgate
load	mũrigo
taboo	mũgiro
chigoe	ngage
elbow	kĩgokora
very	mũno
meeting	kĩgomano
name	rĩĩtwa
crocodile	kĩng'ang'i
grandmother	cũcũ
appointment	gĩathĩ
mirror	gĩcicio
spoon	gĩciko
island	gĩcigĩrĩra
death	gĩkuũ
stool	gĩtĩ
measles	gĩthũũkũ
base	gĩtina
hoe	icembe
molar	ikamburu
fault	ihĩtia
sole	ikinya
knot	ikundo
banana	irigũ
hole	irima
leaf	ithangũ
axe	ithanwa
spear	itimũ
egg	itumbĩ
village	itũũra
broom	kĩhaato
chameleon	kĩĩmbu
torch	kĩmũrĩ
fog	kĩnundu
ostrich	nyaga
friend	mũrata
mũraata	mũraata
fowl	ngũkũ
rope	mũkanda
shop	nduka
fence	rũgiri
string	rũrigi
market	ndũnyũ
border	mũhaka
lion	mũrũthi
he-goat	thenge
zebra	njagĩ
alcoholic beverage	njohi
sausage tree	mũratina
bangle	bangiri
buzzard	ngoru
blue monkey	ngĩma
plate	thani
horse	mbarathi
whirlwind	ngoma cia aka
wind	rũhuho
gruel	ũcũrũ
whetstone	inooro
shoe	kĩratũ
ball	mũbira
walking stick	thimbũ
glass	ngirathi
individual	mũthamaki
amulet	gĩthitũ
smith	mũturi
friendship	ndũgũ
friendship	ũrata
teardrop	rĩithori
waist	njohero
ulcer	kĩronda
small-pox	mũtũng'ũ
dove	ndutura
bridge	ndaraca
flea	kĩroboto
knobkerry	njũgũma
stranger	mũgeni
beehive	mwatũ
light	ũtheri
leather skirt	mũthuru
honey	ũũkĩ
song	rũĩmbo
house	nyũmba
earthen pot	nyũngũ
metal cooking pot	thaburia
crack	mwatũka
sugar cane	kĩgwa
way	mwario
yam	gĩkwa
daughter	mwarĩ
mud	ndaka
Ficus	mũkũyũ
Ficus	mũgumo
venereal disease	gatego
gonorrhea	gĩcũnũnũ
cape gooseberry	nathi
pimple	thundo
caterpillar	kĩgunyũ
pot	ndigithũ
cattle enclosure	kiugũ
calabash	gĩtete
umbrella	iburi
sjambok	kĩboko
armpit	njegeeke
frog	kĩũra
gold	thahabu
swimming underwater	kĩĩhindiĩ
jaw	rũthĩa
lung	ihũri
work	wĩra
law	watho
firefly	njeneni
leader	mũtongoria
plan	mũbango
word	kiugo
voice	mũgambo
plank	mũhĩrĩgo
Napier grass	thara
navel	mũkonyo
cup	gĩkombe
price	thogora
rib	rũbaru
canid	mbwe
air	rĩera
soap	thabuni
African hunting dog	njũi
stick	mbogoro
animal	thegere
ring	gĩcũhĩ
first child	irigithathi
at	-inĩ
forest	mũtitũ
small forest	gatitũ
pyrethrum	barĩthiramu
tin	mũkebe
kind	mũthemba
string	wandĩndĩ
peapod	kĩĩgamba
grave	mbĩrĩra
wart	mbarara
strength	hinya
box	ithandũkũ
lemon	ndimũ
tangerine	thandara
go	thiĩ
butterfly	kĩĩhuruta
fame	ngumo
baboon	nũgũ
colobus	nguyo
hippopotamus	nguuũ
rafter	mũitĩrĩro
porcupine	njege
disabled	kĩonje
savoury smell	mũcingũ
smell	mũnungo
ululation	ngemi
debt	thiirĩ
little boy	kahĩĩ
big uncircumcised boy	kĩhĩĩ
woman	mũtumia
little girl	karĩgũ
big uncircumcised girl	kĩrĩgũ
life	muoyo
pillow	muuto
write	andĩka
big circumcised girl	mũirĩtu
teacher	mũrutani
teacher	mwarimũ
flower	ihũa
proverb	thimo
Kenya	gĩtore
hero	njamba
female	mũgoma
education	gĩthomo
hole	mũthongorima
hare	mbũkũ
buy	gũra
school	thukuru
orange	icungwa
sugar	cukari
nyũmba ya mbũmbũĩ	nyũmba ya mbũmbũĩ
spider	mbũmbũĩ
come	ũka
ask	ũria
lost	ũra
easy come, easy go	nyoneka na rua yũraga na rua
divine	ragũra
divine	ragũrĩra
government	thirikari
mount	haica
a fool and his money are soon parted	warĩire athĩnirie waigire
sufficient	igana
laugh	theka
love	wendo
lover	mwendwa
nĩ ũndũ wa	nĩ ũndũ wa
cultivate	rĩma
country	bũrũri
snail	ndinoho
eat	rĩa
lead	tongoria
meeting	mũcemanio
meet	cemania
tie	kundĩka
sharpen	noora
praise	kumia
spend	raara
protect	raaria
know	menya
grandfather	guka
mother	nyina
fool	kĩrimũ
foolishness	ũrimũ
Noah's ark	thabina
kill	ũraga
send	tũma
morning	kĩroko
morning	rũcinĩ
wake	ũkĩra
go back	coka
give back	cokia
pass	hĩtũka
pass by	hĩtũkĩra
banana	mũtore
beak	mũthece
sneeze	mwathimũro
comb	gĩcanũri
tickbird	thiari
waiting	gĩeterero
dizziness	thiũrũra
unable	remwo
genet	kamũcoroge
bead	kĩũma
parent	mũciari
midwife	mũciarithia
money	mbeca
table	metha
married male	mũthuuri
stout log	mũgogo
instep	rũnyarĩrĩ
callosity	kĩroruha
house rat	mũtembei
sand	mũthanga
mixture	rĩũmba
bushbuck	thwariga
cockroach	nyenje
sick	mũrũaru
corpse	kĩimba
cat	mbaka
barbed wire	thĩgĩngĩ
place	handũ
loins	hũnĩro
together	hamwe
often	kaingĩ
now	rĩu
sinew	rũga
agreement	kĩrĩkanĩro
warmth	thiota
waterfall	ndururumo
ivory	mũguongo
disease	mũrimũ
sickness	ndwari
shadow	kĩĩruru
nyamũ ya thĩ	nyamũ ya thĩ
thunderclap	irurumĩ
thunder	ruruma
antelope	thwara
duiker	thiya
ankle	thũng'wa
pole	mũnyago
side	mũrĩmo
thief	mũici
shoulder	kĩande
slave	ngombo
servant	ndungata
gnu	ngatata
tick	ngũkũma
tick	ngũha
ant	thigiriri
long	gathĩrĩthĩrĩ
lid	ngunĩko
journey	rũgendo
story	rũgano
traveller	mũgendi
rainless hot period	mũgaa
gĩathĩ kĩa ngũha	gĩathĩ kĩa ngũha
back	mũgongo
front	mbere
back	thutha
anger	marakara
electricity	thitima
hospital	thibitarĩ
doctor	ndagĩtarĩ
curse	kĩrumi
dance	ndaci
drum	ndarama
ridge	rũgongo
help	teithia
split	atũka
split	atũra
hoe	cimba
heel	ndira
mosque	mũthigiti
tattoo	ndemwa
when the cat's away, the mice will play	ngatia ciathiĩ hiti cĩeragara
thatch blacken	mũrarĩ
mould	ũmba
sever	tinia
hide	hitha
run	teng'era
run	hanyũka
hear	igua
greet	geithia
angry	rakara
harm	mũrogi
cleverness	ũũgĩ
matchbox	kĩbiriti
group	gĩkundi
seat	njikarĩro
doubt	nganja
drug	ndawa
force	mbũtũ
mongoose	kĩihũ
night	ũtukũ
herd	rũru
week	kiumia
doorway	mũromo
cat	nyau
manner	mũthekere
tip	mũthia
scissors	magathĩ
necklace	mũgathĩ
phlegm	gĩkorora
cough	korora
wood sorrel	ndabibi
cultivar	nyoro
banana	gatumia
madman	mũgũrũki
madness	ũgũrũki
brick	iturubarĩ
eland	thiruai
eland	namũ
bongo	ndongoro
club	ndotono
puff adder	itahuha
cowrie	ngũgũtũ
red pepper	biribiri
Mephitidae	wakarurĩ
many hands make light work	kamũingĩ koyaga ndĩrĩ
weasel	mũrũngũru
jump	rũũga
stand	rũgama
backbone	mũnyiginyigi
tail	gĩcuthĩ
tail	mũting'oe
sandal	nyamũga
east	irathĩro
east	itherero
west	ithũĩro
upcountry	rũgũrũ
calabash	ndahi
thin river	mũnyũrũrũko
otter	njĩmbĩrĩ
horn	rũhĩa
burn	ihĩa
sorghum	mũhĩa
search	maatha
acclivity	mwambato
declivity	mũikũrũko
steep slope	kĩharũrũka
buttock	ndina
pool	ndia
soldier	mũthigari
up to	nginya
do	ĩka
my word	kaĩ
toilet	kĩoro
go home	inũka
go down	ikũrũka
how are you	wĩ mwega
nĩ wega	nĩ wega
tene na	tene na tene
blind	gĩtumumu
dog	ngitĩ
leech	thambara
rottenness	ũbuthu
what	atĩa
who	nũũ
why	nĩkĩ
meet	tũnga
live	tũũra
plank	rũbaũ
blue gum	mũbaũ
river	rũũĩ
stream	karũũĩ
bride price	rũraacio
banana cultivar	mũraru
white	Mũthũngũ
snake	mũrarũ
female reproductive organ	kĩino
uncircumcised	mũthita
penis	ũruu
tail	mũcuthĩ
testicle	heke
testicle	nyee
mud	ndoro
winnow	gĩtarũrũ
riddle	ndaĩ
poem	irebeta
tin can	gĩthoguo
three-horned chameleon	mũriyũ
thy father	thoguo
Kikuyu	mũhũgũ
silky oak	mũbariti
bird	nyamĩndigi
family	mbarĩ
hyacinth bean	njahĩ
needle	cindano
rafter	mũratho
stake	gĩkĩngĩ
pole	gĩtingĩ
pillar	gĩtugĩ
peg	rwambo
nail	mũcumarĩ
hide	ndarũa
hide	ngothi
place	rũgito
Commelina	mũkengeria
Mexican marigold	mũbangi
bed	gĩtanda
Phaseolus vulgaris	mboco
pearl millet	mwere
avocado	mũkorobia
avocado	ikorobia
apple of Sodom	mũtongu
blackjack	mũcege
milkweed	mũkangarithi
fruit	ituuya
fever tree	mũrera
stable fly	thigai
hairy caterpillar	kĩgunyarĩrĩ
patch	kĩraka
ball	gĩkũnjo
respiration	mũhũmũ
glue	nguruu
begin	ambĩrĩria
look for oneself	ĩrorera
fold	kũnja
wife	mũka
hillock	thũngũri
co-wife	mũiru
jealousy	ũiru
dipper	gĩtahi
cold	kĩhuti
singe	mũcura
side	mũkĩra
Lord	mwathani
ladle	mũiko
bamboo	mũrangi
hive	mũringa
awl	mũkuha
deaf	gĩtaigua
fruit	ibabai
meat soup	thathi
gravy	mũcũthi
drop	itaata
Juniperus procera	mũtarakwa
hill	kĩrĩma
hill	karĩma
scar	kĩrema
deformity	karema
Rhizophoraceae	mũthaithi
decoction	mũrũrũe
wire	rũgucio
scavenger ant	mũgagaca
cross	mũtharaba
hunter	mũguĩmi
boat	gatarũ
diviner	mũragũri
fruit	itunda
lightning	rũheni
Cape chestnut	mũraraciĩ
Cape chestnut	mũrũrũa
giant forest hog	numĩra
bark	igoko
one	mwe
cylindrical barrel	kĩhembe
slaughter	mathĩnjĩro
slaughter	ithĩnjĩro
candelabra tree	mwĩnũ
honey	mũthaitĩ
horn	mũhehe
finger millet	mũgĩmbĩ
wild olive	mũtamaiyũ
Cape chestnut	mũcarage
lie	iheeni
liar	mũheenania
cap	ngũbia
prison	kĩoho
bell	mbugi
book	ibuku
book	mbuku
parcel	kĩohe
young male	mwanake
eyelid	kĩmone
headdress	gĩtukũ
owner	mwene
picture	mbica
neck	mũcũrĩ
dream	kĩroto
onion	gĩtũngũrũ
line	mũkururo
line	mũhari
corncob	mũcakwe
line	mũthitarĩ
turaco	ngũgũ
widowbird	mũrũgũ
Terpsiphone	mũnyĩrĩ
tailfeather	kanyĩrĩ
scabies	ũhere
boil	ihũha
Primulaceae	mũgaita
fruit	ngaita
mushroom	ikunũ
column	mũhaara
canal	mũtaro
udder	mũkamo
husk	gĩkoni
ditch	mũkaro
skin	ikoro
banana	mũkoro
coffee	kahũa
sweat	thithino
succulent	gĩthũũri
candelabra tree	mũthũũri
Abyssinian banana	ihĩndu
rubbish	ihuti
punishment	ihera
rabble	gĩcanjama
spark	thandĩ
timber	mũkongoro
timber	mũcũgi
parasol tree	mũtatĩ
tobacco	mbakĩ
umbilical cord	rũrĩra
bed	ũrĩrĩ
lair	kĩmamo
aloe	kĩĩrũma
maize stalk	mũbeebe
scratch	rũkunyũ
thigh	kĩero
being	kĩũgũ
small bird	kanyoni
mousebird	mũthũ
mons pubis	kĩnena
clitoris	rũng'ũthũ
pineapple	inanathi
noise	inegene
baby	kaana
oath	muuma
butterfly bush	muunjuga
muunjuga	muunjuga-iria
silence	ngiria
enemy	thũ
bow	ũta
seven	mũgwanja
he who keeps company with the wolf, will learn to howl like a wolf	mũceera na mũkũndũ akũndũkaga taguo
dung beetle	nding'oing'o
pig	ngũrũe
no smoke without fire	gatinyinyiraga gatarĩ gakunye
hiccup	mwegetho
motorcar	mũtokaa
curry powder	bitharĩ
itching	mwĩthũa
suet	ngurunyu
castor oil plant	mwarĩki
Kei apple	kaiyaba
eel	mũkũnga
mũkũnga	mũkũnga-mbura
Lamiaceae	mũciciũ
white	-erũ
black	-irũ
earthly	Kamau mwerũ nĩ airaga
foxtail millet	mũkombi
cypress	mũkarakaba
Cornaceae	mũcemeki
Cornaceae	mũkorombothi
building material	mũkoigo
mist	thaatũ
misty season	mũthaatũ
cherimoya	mũtomoko
hiccup	kĩegetha
heartburn	kĩrũngũrĩra
mũruma	mũruma-andũ
loneliness	ihooru
wooden mortar	ndĩrĩ
make	rĩithia
shepherd	mũrĩithi
Burseraceae	mũkũngũgũ
ta gĩkwa na mũkũngũgũ	ta gĩkwa na mũkũngũgũ
bad	-ũru
badness	ũũru
length	ũraihu
long	-raihu
short	-kuhĩ
shortness	ũkuhĩ
long	-raya
coucal	gĩthima mbũri
aperient	mũhoko
Phyllanthaceae	mũkarara
thũa	mũita-thũa
St. John's wort	mũthathumwa
put in	ikia
bracken fern	rũthirũ
Indian plum	mũrũrũ
grief	kĩeha
middle	gatagatĩ
tea	icani
mend	thondeka
beat	hũra
side	mwena
go out	umagara
fine	ndoco
cry	rĩra
coldness	heho
weeping	kĩrĩro
police	borithi
throat	mũmero
fist	ngundi
grasp	gwata
danger	ũgwati
wealth	ũtonga
seed	mbegũ
seed	mbeũ
axillary	mũigaigua
Rubiaceae	mũbirũbirũ
radio	kameme
rich	gĩtonga
newspaper	ngathĩti
Rubiaceae	mũtũngũrũ
Rubiaceae	rũathe
Rubiaceae	mũkomakoma
obstacle	mũhĩnga
know	ũĩ
shoulder-blade	gĩciri
evening	hwaĩ
hwaĩ-inĩ	hwaĩ-inĩ
time	ihinda
Ensete ventricosum	ngobo
machination	uungumania
iron	kĩgera
pig iron	gĩkama
part	gĩcunjĩ
section	kĩrung'u
flaky solder	rũbũa
factory	kĩganda
snare	mũtego
today	ũmũthĩ
joy	gĩkeno
farmer	mũrĩmi
agriculture	ũrĩmi
trade	wonjoria
trader	muonjoria
yes	ĩĩ
evil eye	gĩthemengũ
big	-nene
little	-nini
ashamed	conoka
afraid	ĩtigĩra
office	wabici
vomit	tahĩka
wooden armshield	ndome
earthquake	gĩthingithia
preparation	gĩthagathago
stew	gĩtoero
left-hand side	ũmotho
right-hand side	ũrĩo
language	rũthiomi
people	kĩrĩndĩ
two	ĩrĩ
ten	ikũmi
ten	mũrongo
all	-othe
we	ithuĩ
you	inyuĩ
that	nĩkĩo
agglomeration	gĩcagi
hut	gĩthũnũ
whiteness	werũ
red	-tune
redness	ũtune
plantain	mbũũ
luck	mũnyaka
sweet potato	ngwacĩ
calf	gĩkere
many	-ingĩ
thorn	mũigua
church	kanitha
affair	ndeto
salt	cumbĩ
conversation	ndereti
other	-ngĩ
be	-rĩ
which	-rĩa
when	rĩrĩa
example	kĩonereria
misfortune	mũtino
metal water tank	itangi
dust	rũkũngũ
upside down	-iniĩ
udder	kĩiniĩ gĩtaita
bald patch	kĩhara
soot	mbiro
call	ĩta
tapeworm	ndangũrũ
judge	thamaka
slander	cuuka
muna	mũna
compensation	irĩhi
pay	rĩha
rattlebox	mũthegethe
driver	ndereba
odd timewasting job	mĩhang'o
mango	mũembe
soil	tĩĩri
salty earth	mũũnyũ
hair	rũcuĩrĩ
beautiful	-thaka
eyebrow	rũbutu
belt	mũcibi
old man	mũthee
musaceous leaf	icoya
piece	irũa
slaughter	njũragano
ikia ngono	ikia ngono
report	riboti
dispute	ngucanio
parrot	gathuku
beestings	gĩthana
order	mũtaratara
full	iyũra
full	-iyũru
take	twara
room	rumu
black nightshade	inagu
flog a dead horse	kũhũra maaĩ na ndĩrĩ
grind	thĩa
tell	ĩra
lick	cũna
kindle	akia
lead	kũya
wash	thambia
beseech	thaitha
beautiful	thakara
Kikuyu	Gĩkũyũ
I	niĩ
joint	irũngo
remember	ririkana
remind	ririkania
bite	rũma
kũrũmĩrĩra	rũmĩrĩra
hail	kũngũ
market	thoko
trade	biacara
ten	kenda mũiyũru
