daughter	day
model	modelo
tourism	turismo
sacred	sagrado
artist	pintor
Michael	Miguel
vetiver	mora
doctor	doktor
checkers	dama
killer whale	orka
sanitary napkin	napkin
island	isla
rotten	lata
worsen	bahar
parasomnia	daman
squid	ata
mental retardation	retarded
pop	piti
brothel	kasa
summary	salvage
Abelmoschus esculentus	okra
test	testing
stooped	kubo
Diospyros blancoi	mabolo
priest	pari
love	gugma
carabao	kabaw
freedom	kagawasan
outside	gawas
happiness	kalipay
happy	malipayon
island	Sugbo
Cebu	Sugboanon
Cebuano	Sinugboanon
Visayan	Bisaya
folk medicine	Binisaya
Visayas	Kabisay-an
cry	hilak
know	kahibalo
location	katultol
aquaintance	kaila
truth	kamatuoran
true	matuod
indeed	tinuod
ankle	tuod
belief	pagtuo
truthful	matinud-anon
will	buot
will	pagbuot
good	buotan
good	maayo
cyprinid	tras
goodness	kaayo
flag	bandera
umbrella	payong
henpecked	ander
wandering	laag
swirling	lilo
work	gana
cue	tako
cousin	gaw
idol	garing
long-lasting	durante
moon	Ariel
palace	panting
priestess	babaylan
deer	osa
milled	bugas
kill	tipi
bang	bangs
light	suga
girl	ebay
baseball cap	gora
illegal	jai alai
fish	timing
giddyup	hiya
motorcycle	honda
likewise	otro
skirt	sayal
which	sain
Moraceae	tipo
mahi-mahi	dorado
roof	atop
daughter	Dina
narra	nara
pistol	pistola
sense	sentido
gasoline	lana
catfish	hito
queen	hara
seafarer	marino
boyfriend	trato
bow	pana
pocket	bolsa
pest	pisti
rebuff	basted
broken	guba
bullfighter	torero
pants	pantalon
rheum	muta
blade	sula
king	hari
consequently	busa
choose	pili
get	kuha
Loriculus philippensis	kusi
vineyard	paras
scratch	garas
corner	kanto
song	kanta
pudding	maja
mooing	inga
offering	halad
sufficient	igo
shrink	gaming
mo	mog
gabble	kitab
flame	siga
dry	landa
occupy	okupar
distracted	okupado
year	tuig
supergiant	Rigel
province	Pangasinan
grandchild	apo
semen	biga
grade	kupa
misconstrue	abi
raffle	ripa
James	Santiago
Davao Del Norte	Asuncion
pufferfish	botete
attention	tagad
artery	ugat
buy	bakal
nude	hubo
hour	oras
full	puno
goods	tinda
pink	limba
peep	boso
egg	itlog
Casuarina equisetifolia	aguho
bolo	guna
pillowcase	punda
forehead	buna
juice	duga
buok	duha
roast	asal
walk	lakat
addict	adik
food	makanan
mango	mangga
ballpoint pen	bolpen
rice cake	puto
breadfruit	kulo
fingernail	kuko
head	ulo
hat	kalo
lightning	kilat
wash	laba
sky	langit
narra	naga
passing	pasar
fitting	sakar
Anas luzonica	papan
crocodile	buaya
chinaware	pinggan
southeasterly	timog
niinom	inom
pig	baboy
malaria	bago
stone	bato
elbow	siko
emerge	pusa
domestic	manok
sail	layag
love-lies-bleeding	halom
water	tubig
fly	langaw
oh really	matay
mother	ina
Peter	Pedro
Prioniturus discurus	managing
cabbage palm	buli
hasten	dali
sandpaper	liha
dislocate	lisa
color	kolor
penetrate	lapos
earthworm	wati
spur	tari
sew	tahi
Flemish ell	brasa
garbage	basura
always	sige
mahi-mahi	mahimahi
inquire	suna
guitar	sista
phobia	sawan
bird	iti
make	himo
quotient	lapa
like	mura
Sergio	Serge
nereid	Doris
address	mam
angry	suko
tight	guot
zone	sona
climb	saka
donkey	asno
firearm	magasin
accost	sita
sargassum	samo
corm	anto
deciduous	bogo
colour	morado
houndfish	balo
errand	sugo
theirs	ila
goblet	saro
left	wala
rely	salig
full moon	dail
groin	bugan
haunted	bintan
judder	karag
dryad	Daphne
curl	tibi
jiggle	garo
watch	relo
seed	liso
grandfather	lolo
calf	nati
aunt	tita
Cyrus	Cyrus
nepotism	nepotismo
shoot	tira
ball	bola
prime	kati
Way of the Cross	Via Crucis
banana	unas
house	balaya
pick up	punit
lilac	lila
there	dira
reticulated python	sawa
saliva	laway
anise	anis
spider	kaka
hearing	hiring
package	putos
German	Beethoven
province	Palawan
Visayas	Samar
torch	sulu
standard	estandard
halfbeak	banban
shrink	gamay
nonsinger	songer
solder	solda
pleasure	hedonismo
orgasm	orgasmo
gossip	intrigo
steal	klepto
anger	atol
province	Aklan
noted	notado
of	dela
hog plum	libas
fire	kayo
government	barangay
meat	adobo
alarm	alarma
anger	animas
impatient	apurado
hurry	apura
wedding	aras
weapon	armas
sand	balas
baby	bata
cut down	batas
boot	botas
canned	delata
luncheon meat	embutido
spice	lamas
stage	entablado
thick	espeso
obnoxious	hilas
feel	hilaban
sweet	yemas
gravestone	lapida
raisin	pasas
spasmodic	pasmo
peso	piso
broach	sakna
prepared	preparado
dentist	dentista
loosen	pulas
distance	mamaba
endemic	manando
magic	mino
vine	pepino
retired	retirado
photograph	retrato
table	talad
oyster	talaba
gather	tapo
emerald green	tapan
taste	templado
term	termino
river	suba
agree	segunda
push	waling
rocky	batoon
pestle	alho
three of a kind	saki
frameup	planter
feast day	pista
Laban	Raquel
motorist	motorista
beer	serbesa
majorette	twirler
red	puwa
copy	sundog
member	presa
colour	purpura
cookie	kokis
leave	hawa
taro	gabi
co-op	koop
room	banyo
surname	Perilla
corn	pintos
misbehave	gara
bulk	bulto
joint	luta
synonym	sinonimo
Liberacion	Libby
bread	pan
capital	kapital
masturbate	lulo
matchstick	bilog
group	barkada
hair	buhok
upper arm	braso
mountain	bukid
flower	bulak
separate	bulag
sea	dagat
iron out	dahil
man-of-war	salabay
shore up	riprap
catwalk	rampa
lend	ulos
aim	tuyo
semen	tulos
shield	taming
personal	saksi
Asian palm civet	milo
louse	tuma
Jesus Christ	Kristo
ring	singsing
vocal cords	bokal
tortoise	bao
hesitant	kuan
brew	laga
bout	hugna
Anacardiaceae	paho
bare	duas
exhausting	kutas
dried	daol
learn	tuon
ignorant	ignorante
riffle	saksak
paraglider	parapente
eraser	papas
emigrant	emigrante
tractor	traktor
corny	korni
basketball	basketbol
Timothy	Timoteo
hyacinth bean	bulay
Sesamum indicum	lunga
category	kategoriya
clinic	klinika
conductor	konduktor
leader	lider
maybe	seguro
predominant	dominante
meeting	miting
rice	basi
venom	lala
friend	miga
freshwater	kampi
Cacatua haematuropygia	katala
journey	larga
biodegradable	malata
citrus	montani
lick	tila
whale shark	tuki
skin	panit
money	tulisit
cyprinid	palata
swallow	tulon
coil up	lukon
copy	suon
sickle	karit
magic	lamat
waterdrop	tulo
sell	menudo
auction	biding
genitalia	puki
fathom	dupa
red ant	amigas
leftovers	salin
letter	sulat
bind	pakot
sponsor	padrino
macaroni	makaroni
wake	alis
ayaw	ayna
firearm	kak
half	pikas
message	lunda
torch	sulo
witchlike	ungo
Chinese honeysuckle	pinyon
what are you doing	wud
cheek	aping
kindling	haling
John the Baptist	Elisabet
parrot	periko
penis	neto
inch	pulgada
passport	pasaporte
errand boy	houseboy
mole	alom
all	pulos
Thomas	Tomas
heat	init
Catalonia	Catalunya
sweat	singot
salty	parat
money	balon
have	puling
crown	korona
prosperity	prosperidad
egg	lukot
redeem	tubos
collect	kolektor
take after	sumat
corner	korner
container	balde
milk	gatas
hundred	gatos
harness	sangon
sack	sako
four	kaupat
create	gama
earn	halin
bathe	babat
arrive	abot
push	duot
charisma	karisma
peanut worm	salpo
banana	saba
person	gunner
garbage collector	basurero
bald	panot
as	komo
grandmother	lola
character	karakter
parlor palm	palmera
social	tribo
tenderloin	lomo
sleep	duka
prostitute	prosti
baker	panadero
bogeyman	mamaw
nickname	Isko
fish	isda
masturbate	banglo
whitecap	dasi
hand	sipi
pant	hangos
cucumber tree	iba
sonnet	soneto
official	papeles
congkak	sungka
Echeneis naucrates	kini
blood	dugo
dumb	bogarts
famous	sikat
magical	barang
embalmer	embalsamador
trammel	baling
brandy	brandi
open	abri
coup d'état	kudeta
gnaw	kitkit
Neoscona nautica	bahay
nose	ilong
communist	komunista
horse	kabayo
rip	bitas
halfbeak	sugi
Tiburcio	Tibor
coitus	toyi
paid off	paganti
feeding bottle	biberon
know	antigo
cured	tosino
duck	itikan
spoon	kutsara
mud	lapok
you	kamo
squeeze	tiros
prostitute	callboy
knight	Lancelot
bandit	bandido
penis	otin
vocabulary	leksikon
snake	halas
absent	palta
scissors	gunting
slingshot	tirador
rock music	raker
Havana	abano
difference	iban
chafing	pilas
flower	putot
cut off	supo
phylum	sasing
grasshopper	apan
wind	hangin
bitter	pait
decade	dekada
tool	himan
tangent	liras
surprise	uy
poppy	amapola
forked	panga
stick up	tulis
island	Diogo
fishling	lapot
galangal	punan
pot	kulon
squid	pusit
sudden	kalit
sleep	gotch
thank you	salamat
genu valgum	kimpi
Channa striata	haluan
bag-o	-ng
Ixora	santan
goal	tirada
tripe	tungol
Mark	Marcos
banana	abaka
automobile	awto
barrel	baril
apostle	apostol
promise	saad
genus	asola
hers	iya
sardine	lawlaw
campus	kampus
cannon	kanyon
Matthew	Mateo
plant	tanom
island	Misanga
moralist	moralista
extra	ekstra
swan	hansa
motor oil	asete
Valencia	El Cid
mask	maskara
dragon fruit	pitahaya
dragon fruit	pitaya
beaut	anyag
strum	kaskas
colour	asul
colour	berde
divine	baliw
honor	bantog
distinct	malinaw
luck	suwerte
burnt	pagod
giant	higante
two-fold	lapi
sorghum	sorgum
trample	yatak
surname	Berina
female	Lita
carriage	karo
canned	sardinas
rebellious	sutil
inspector	inspektor
blitzkrieg	blitskrig
confection	karamel
piracy	kakap
thermos	termos
gossip	intriga
ghost	multo
house	balay
gamecock	derbi
watering can	regadera
fit	sigo
fertility	Haumea
string	apos
Chinese hibiscus	gumamela
divine	gaba
saw	gabas
grey	abohon
companion	abyan
Nerium oleander	adelpa
boss	agalon
eagle	agila
triploid	tundan
where	diin
butterfly	alibangbang
whirlwind	alimpulos
piggy bank	alkansiya
pitch	alkitran
carpet	alpombra
Malabar spinach	alugbati
lowing	amba
endure	agwanta
north wind	amihan
bahag	ampis
pray	ampo
adoptee	anak-anak
equipped	andam
take a bite	angkab
firefly	aninipot
talisman	anting-anting
laundry	anyil
gall bladder	apdo
daring	arisgado
cannibal	kanibal
draw	pagara
dish	atsara
female	babaye
recently	bag-o
roaring	bagrong
tropical cyclone	bagyo
flood	baha
stale	bahaw
whetstone	bairan
strong	balani
law	balaod
avoid	balasubas
coniferous	balaw
refuse	balibad
goods	baligya
haunch	balikawang
relocate	balising
news	balita
spear	bangkaw
fang	bangkil
bench	bangko
get up	bangon
mattress	banig
warn	banta
guard	bantay
fatherland	banwa
transportation	bapor
playing card	baraha
blown	basag
reproach	basol
youth	bataon
sorghum	batad
benchmark	batakan
young	batan-on
manners	batasan
drug addict	adis
leg	batiis
lodestone	batobalani
perch	batog
take back	bawi
wave	bawod
guava	bayabas
sibling-in-law	bayaw
beach	baybay
holy water	bendita
verse	berso
rice cake	bibingka
captive	bihag
sheriff	bilanggo
prison	bilanggoan
co-sister-in-law	bilas
genitalia	bilat
rooster	binabaye
hoggish	binaboy
juvenile	binata
prisoner	binilanggo
window	bintana
monthly	binulan
bicycle	bisikleta
guest	bisita
biscuit	biskwit
hang	bitay
trip up	bitik
star	bitoon
betray	budhi
gastropod	budyong
heavy	bug-at
cold	bugnaw
oar	bugsay
snap	bugto
do	buhat
alive	buhi
tribute	buhis
bloom	bukadkad
species complex	bukaw
rural	bukidnon
lucky	bulahan
shooting star	bulalakaw
spur	bulang
venue	bulangan
gold	bulawan
gold	bulawanon
approved	aprobado
millipede	labod
bunch	bulig
dirt	buling
ovary	bulinga
vetiver	bungalon
collide	bunggo
facial hair	bungot
baptism	bunyag
waterfall	busay
hole	buslot
pull	butad
herd boar	butakal
smallpox	buti
blown out	buto
woven	buyot
stalk	dagami
face	dagway
leaf	dahon
colour	dalag
lass	dalaga
young	dalagita
path	dalan
bring	dalhon
skid	dalin-as
pure	dalisay
greedy	dalo
spider	damang
dream	damgo
lake	danaw
distance	dangaw
itchiness	dapaw
calabur tree	datilis
receive	dawat
preparation	dayok
democracy	demokrasya
chest	dughan
purple heron	dugwak
two by two	duha-duha
bow	duko
game	dula
basin	dulang
northeast	dumagsa
honor	dungog
decayed	dunot
hammock	duyan
provide	duyog
dugong	duyong
janitor	dyanitor
education	edukasyon
exercise	ehersisyo
election	eleksyon
elephant	elepante
sculptor	eskultor
mirror	espeho
student	estudyante
scythe	galab
tool	gamit
barnacle	sisi
militarist	militarista
acclivity	subida
crazy	plip
spoiled	gamo
music	tukar
synod	sinodo
goose	gansa
cotton	gapas
garage	garahe
express	gatasan
stain	mansa
greedy	hangol
fidget	hulas
tentacle	gaway
from	gikan
breathe	ginhawa
rip	gisi
tear	gision
mature	gulang
rib	gusok
tightness	gutok
hunger	gutom
tow	guyod
southwest	habagat
mate	habal
apply	habok
fear	hadlok
narra	hagad
love handle	bilbil
coming-of-age	debu
province	probinsiya
boil	tanok
feasible	puwede
fork	tinidor
delicious	lami
what	unsa
colour	bughaw
commandancy	Lepanto
Annona muricata	abana
glue	glu
opportunist	oportunista
crypt	pantyon
post	haligi
example	halimbawa
car	kotse
drive	maneho
open	pakli
fruit	prutas
sour	sapla
wreck	pusak
devil	yawa
make out	chula
jet	sirit
work	trabaho
ham	hamon
my eye	pikat
catch up	apas
rose	rosas
potato	patatas
hatchet	pakol
uncle	tito
cement	semento
no	dili
aberrate	tipas
prepuce	palos
citizen	Amerikano
Good Friday	Biyernes Santo
God	Ginoo
subspecies	maral
Wednesday	Miyerkoles
September	Septiyembre
disappoint	palaw
pick	pupo
latex	tagok
damned	ataka
militarism	militarismo
flea	pulgas
gallon	galon
you	ikaw
hustler	hasler
leprosy	kanga
seafarer	sakayanon
cash	salapi
plough	daro
technique	teknik
comic book	komiks
dipper	kabo
God	Diyos
deity	diyos
terrorist	terorista
elder	manong
soup	sopas
masculine	yads
Gardenia	rosal
drunk	hubog
replace	hulip
telephone	telepono
rail	tikling
impoverished	timawa
scale	timbangan
tight	hugot
flower	mabulakon
Kaffir lime	kabugaw
carry	sabak
hang	sablay
commonly	sagad
rust	taya
predict	babaan
deaf person	bungol
wake	humbak
examination	eksamin
Arabian jasmine	manol
bite	paak
shoulder	abaga
hang	hikog
lima bean	patani
blackberry lily	abaniko
marriage	kasal
hot	halang
old-growth	kagulangan
name	ngalan
candy	kendi
slashed tire	suyak
caveat	abiso
retarded	abnoy
print	patik
stage-coach	kalesa
over	kapin
common bamboo	lunas
pear tree	peras
cower	kupo
caught	dakpan
barangay	Imelda
archangel	San Rafael
yarns	kord
genus	bombil
contest	kontes
parrot	pikoy
emerald	esmeralda
baker	panadera
camera	kodak
tamarind	tamarindo
whet	baid
wife	asawa
primate	unggoy
cilantro	kulantro
road	kalsada
pretty	maanyag
base	punoan
coffee	kape
fin	kapay
outrigger	subiran
recruit	rekrut
rabies	rabis
dog	ayam
Cacatua haematuropygia	abukay
content	kontento
nestling	pispis
whiskey	wiski
tokay gecko	tuko
millet	dawa
Turk	turko
Philippine	sigbin
kasiyam	kanapo
burial	nitso
bracelet	pulseras
regard	bilang
thigh	paa
battery	bateri
economist	ekonomista
capitalism	kapitalista
code	kodigo
leprosy	sangla
hello	kumusta
supine	bay-ad
catch	dakop
coitus	borjak
countryman	paisano
go along	likid
weight	pisada
motorcycle	hagard
carjack	karnap
coconut milk	tuno
carpool	serbis
female	doktora
ritual	butas
interest	interes
drown	lumos
mechanism	mekanismo
numerical	napo
intestinal	bitokon
hop	lukso
goon	batos
blood relative	kadugo
belt	bakos
shoelace	liston
cricket	timos
grind	ligis
chess	ahedres
acacia	akasya
rake	karas
worn out	bayat
bump	bukol
smoke	palina
mouse	minyak
theft	kawat
white	gading
pomade	pomada
incantation	yamyam
sponge	mamon
Roberto	Berto
bread	tinapay
kitchen	kosina
group	arkipelago
animal	mananap
problem	kalisud
iron	puthaw
here	ngari
tree	punuan
peace	kalinaw
catch	sapon
kind	matang
isthmus	hitos
monster	halimaw
mill	intos
fall	bagsak
landslide	dahili
cyprinid	kandar
nipa palm	nipa
vegetable	ubod
pierce	tusok
cancel	kansel
horse	alasan
deception	atik
snob	matapobre
debt	utang
annihilate	pulkas
have	kasap
beverage	mamam
wean	lutas
sila	silas
hairdo	herdo
vigil	bilar
bright	hayag
early	sayo
wealthy	datu
bandage	baat
pothole	batse
Joseph	Jojo
pity	looy
asterism	asterismo
onion	sibuyas
everyone	tanan
Ana	Nana
milkfish	bangus
nation	nasyon
Uranus	Cordelia
skimpy	puok
monotonous	puol
boycott	boykot
floor	lampaso
moorhen	karab
Paterno	Pater
hedonist	hedonista
slanting	harag
clitoris	tinggil
judgment	hukom
Rosita	Sita
province	Zamboanga
nit	lusa
less	minos
braggadocio	burit
acetone	aseton
bleeding-hearts	pinis
diri	diris
series	seris
penis	luso
referee	reperi
use	kompyuter
syndicate	sindikato
cock ring	sakra
Francisco	Ike
rest	ulon
one hundred	sinto
hospital	ospital
elided	Tsekwa
poem	balak
harvest	guno
cleave	batak
gum	lagos
grasshopper	lukton
congress	kongreso
look	lingi
anyway	gani
peep	lili
mirror	samin
collect	singil
enjoy oneself	gosar
pinkeye	piskat
side	kilid
occupant	okupante
fund	pundo
hand over	dunol
sport	esport
plant	tanum
drummer	dramer
fish sauce	patis
pay off	impas
boxer	baksidor
scale	tungas
Balearic Islands	Formentera
wring	tursi
Filipino	kinilaw
anger	kalasa
evergreen	orens
our	nita
pull	bitad
lie	ilad
broad	lapad
text	teks
mammary glands	tutoy
tinsmith	latero
communism	komunismo
Nicotiana	tabako
capitalism	kapitalismo
male	agaton
calculated	kalkulado
cannibalism	kanibalismo
amusement arcade	kompyuteran
pompous	tabis
vote	ilim
eleven	onse
shrug	kibo
you	imo
walk	gutos
pavement	aseras
community	komunidad
wet market	merkado
call	yamar
sugar	kamay
crown cap	tansan
Spain	Santander
liniment	hapas
higher education	edukado
terrorism	terorismo
coat	amerikana
south wind	salatan
foresail	pok
erect	tarok
surname	Torres
cult	kulto
sugar	asukar
dance	bayle
cook	biko
brown sugar	sentral
activity	sugal
paddle	padol
sappanwood	sapan
hang out to dry	hayhay
white	pugis
architect	arkitekto
Leopoldo	Poldo
fatty	latab
shoe	sapatos
low tide	hunas
fit	sibo
Frank	Baki
heel	takon
where are you from	taga-diin man ka
what is your name	kinsa imong pangalan
what is your name	unsa imong ngalan
gravedigger	sepulturero
what are you doing	nag unsa man ka
how are you	kumusta na ka
cyprinid	disa
where do you live	asa ka nagpuyo
pageboy	pahi
pineapple	pinya
I'm hungry	gigutom na ko
I'm thirsty	giuhaw ko
I love you	nahigugma ko nimo
I love you	gihigugma tika
are you married	minyo na ka
sure	segurado
confiscate	imbargo
I don't know	wala ko kabalo
I don't know	wala ko kahibalo
I don't know	ambot lang
sink	lababo
master	senyor
mistress	senyora
Argiope	spiderman
demolish	demolis
crotch	hita
anger	bida
discipline	panton
anger	ahak
stick out	hiwi
participant	manita
second	sikan
table	lamesa
pig	mamoy
razor blade	blid
surname	Fortuna
wear away	hilis
tower	tawer
Mindoro	payen
curl	luko
cubit	maniko
go	payr
mahi-mahi	lali
drift	anod
church	simbahan
gun	pusil
nosedive	binal
speak	amang
calamondin	kalamansi
sugar apple	atis
Averrhoa carambola	balimbing
Annona muricata	guyabano
jackfruit	nangka
wax apple	makopa
apple	mansanas
banana	saging
jocote	sinigwelas
Sechium edule	sayote
goggles	antepara
Aegle marmelos	bael
tea	tsa
undetermined	black knight
stand	tisar
helmsman	timonel
pool	tisas
grunt	alatan
curve	kurba
coconut palm	lubi
lotus	almes
moss	lumot
easy	sayon
point	tion
participant	manito
rain	uwan
log	batang
boyfriend	bayu
worsen	dahan
golden-headed cisticola	pirot
tamper	kubi
panty	panti
black	itom
child	Tata
durian	duryan
Ixora	santal
consign	angkat
machine	makina
arranged marriage	buya
guide	agak
fondle	duwa
ability	abilidad
dirty kitchen	abohan
swing	abyog
swing	abyogan
open	abyerto
other	lahi
four	upat
clop	tigidig
crazy	buang
stone	ayan
along	uban
howl	ulang
now	karon
high five	apir
plot	senaryo
sort	pinid
disarray	wakat
fusilier	sulid
calculator	calcu
lipstick	lipstik
land	umal
Philippine flying lemur	kago
male	lalaki
inappropriate	igat
pat	pikpik
silver	silber
vertical	pasaka
needle bush	aruma
anchor	halag
strut	kulmat
truck	trak
town	lungsod
rise	subang
try	suway
engross	linga
male	Lito
glans penis	ulok
return	uli
Ricardo	Kardo
haughty	galot
lame	piang
bellyache	suol
molave	tugas
noisy	banha
nativity scene	belen
cenote	bito
duende	duwende
Israel	Rael
cut down	habas
spendthrift	gastador
powder	polbos
undine	ondin
ninety	nobenta
cabbage	repolyo
guitarist	gitarista
general	heneral
rob	holdap
dance	sayaw
one hundred	siyento
suspension	suspensyon
tomato	kamatis
carpet	karpet
actress	aktres
fish tank	akwaryum
alphabet	alpabeto
jewelry	alahas
interval	agwat
starch	almirol
bottle	botelya
nuisance	buwisit
pocket	bulsa
electric	bentilador
trash	yagit
name	pangalan
Rolando	Lando
fake	peke
barracuda	barakuda
reticulated python	baksan
counterspell	sumpa
peck	tuka
brain	utok
muslim	muklo
flame tree	arbol
surname	Eco
adhere	pikit
individual	pog
urine	ihi
harvest	dugnas
bread roll	pandesal
banana	amurado
there	didto
fancy	laysho
how	unsa-on
who	kinsa
grunter	kambang
Asian	balot
mother	nanay
friend	badibadi
summons	sumon
sure	syur
firm	bantok
god	bathala
marriage	sabali
humid	galha
case	kaso
godfather	kompare
secret	sekret
duck	itik
arm wrestling	gangi
tree	katmon
golden dewdrop	duranta
harvest	kayas
doggy style	iniro
contractor	kontraktor
stamen	mawo
coconut	sagay
land	yuta
animal	hayop
disarray	katag
gluttonous	laog
bloated	butod
drama	mmk
boxing	boksing
howl	uwang
female	ubo
