now	nu
bear	baren
tool	allame
smoke	roken
wring	wringen
ice	ijs
combativeness	ernst
rare	raer
hinder	letten
flatter	smeken
fourth	vierde
ninth	negende
tenth	tiende
well	wel
mole	mol
fog	nevel
thorn	dorn
measure	meten
pour	gieten
mouth	mont
dream	droom
help	helpen
open	openen
throw	werpen
melt	smelten
flow	vlieten
kill	doden
deaf	doof
down	neder
strongly	sere
habit	sede
sister	suster
leaf	loof
look	kiken
only	allene
fit	temen
thank	danken
roof	decken
lion	lewe
hi ne	hine
praise	lof
stand	staen
vagina	conte
blow	blasen
put in order	rekenen
Hell	helle
sick	cranc
sword	swert
spear	spere
step	stappen
press	dringen
noble	edel
succeed	gelingen
close off	sperren
reliability	veste
prick	steken
wilt gi	wildi
bring in	innen
well up	wellen
blind	blint
this	dese
cold	coude
spit	spuwen
burst	bersten
dictate	dichten
master	meester
survive	genesen
limp	hinken
lure	locken
betray	melden
milk	melken
mark	merken
sneeze	niesen
rage	rasen
sink	sinken
send	senden
sink	senken
spin	spinnen
stink	stinken
wake	wecken
turn	winden
crown	crone
pan	panne
creed	crede
elsewhere	els
riverbed	kille
go	gaen
loudly	lude
wind	wint
or	ofte
promise	geloven
declare	gien
hen	henne
celebrate	vieren
smallest	minst
talk about	callen
buy	copen
sit	sitten
continue	duren
paint	schilderen
swap	wisselen
freshen	laven
glue	limen
plant	planten
free	quiten
draw	osen
pick up	rapen
clean	reinen
rhyme	rimen
speak	talen
tremble	trillen
many	vele
endure	velen
live	wonen
breath	adem
thief	dief
flight	vlucht
ford	vort
crown	crune
agent noun	-ere
cow	rint
ponder	raden
steer	sturen
bring	vluchten
consider	bedenken
reach	bereiken
fate	geval
show	tonen
more	mee
pick up	vernemen
mill	molen
lay	leggen
hold	dingen
reward	lonen
threaten	dreigen
cave	slinken
join	voegen
offer	bieden
shine	blinken
bring	voeren
earlier	eer
alderman	schepen
handle	handelen
frost	vorst
explain	spellen
care	plegen
dry	droge
dig	graven
tightly	vaste
fear	vruchten
stem	stemmen
bend down	neigen
found	stichten
delve	delven
tread	treden
mass	messe
wooden	balke
push	stoten
disturb	storen
better	beteren
knead	walken
so	aldus
vault	camere
barely	cume
matter	materie
letter	lettere
self	selve
recommend	bevelen
rain	regenen
lift	heffen
serve	bedienen
shake	beven
strengthen	sterken
het is	hets
press	dwingen
call	schelden
shine	glimmen
ruin	bederven
since then	sint
praise	loven
grant	onnen
payment	vracht
die	sterven
sigh	stenen
mix	mengen
fall	gevallen
horse	ors
hole	cule
arrow	strale
mock	spotten
tail	stert
keep	behouden
devil	duvel
fast	vasten
mud	lijm
rob	roven
whelp	welp
bring together	reken
bury	begraven
sixth	seste
plant	poten
green	groene
hail	hagel
consume	teren
pay	gelden
chess	schaken
think of	trachten
go back and forth	wandelen
go down	dalen
together	tesamen
stain	schenden
plough	ploegen
point out	wisen
sweep	vegen
bell	clocke
chest	borst
hoe dat	hoet
torment	quellen
teaching	lere
pack	packen
donkey	esel
met den	metten
marten	marter
round box	busse
thirst	dorst
oblige	bedanken
pleasure	gerne
deceive	bedriegen
form	vormen
shovel	schoppen
stream	stroom
moisture	traen
mean	menen
fishbone	leme
something	iet
priest	pastoor
extract	putten
fleece	vlies
plough	ploech
employ	nieten
rest	rusten
incline	helden
bank	oever
stream	stromen
loosen	ontbinden
cover	hullen
male in-law	sweer
move back and forth	sweven
money	schat
harm	deren
get to know	bekennen
trip	reise
travel	reisen
shoot	stralen
favour	genade
body	lijf
avoid do	ontberen
stretch	recken
address	quedden
improve	boeten
bequeath	erven
hand	hant
drag forth	slopen
chop	houwen
weave	weven
land	lant
avoid	miden
bear	beren
mix	blanden
curse	vloeken
day	dach
strongly	harde
scour	schuren
home place	heem
perform magic	toveren
leak	leken
forest	wout
braid	vlechten
pale	bleken
soften	weken
form	vorme
work	werven
brother	broeder
carry	verdragen
young	jonc
snow	snee
abandon	begeven
worry	sorgen
hedge	hage
close	sluten
regret	rouwen
armour	panser
eighth	achtende
increase	oken
hair	borstel
bend	bugen
value	prisen
fight	striden
ennoble	edelen
protective screen	scherm
tear	tranen
year	jaer
cry	hulen
bow	boge
form	beelden
ride	riden
afraid	schuwen
eat savagely	vreten
end	enden
love	lieven
attach	hechten
ascend	stigen
bite	bete
cry	wenen
bent	crom
inform	ontbieden
carve	kerven
taste	smake
flow	rinnen
root	wroeten
quickly	saen
strive	streven
help	helpe
whine	janken
child	kint
si se	sise
street	strate
crow	craye
nauseated	walgen
hurt	smerten
growl	grommen
flow	vloten
fart	vorten
cone	kegel
-y	-ich
gift	gifte
shield maker	schildere
refuse	wernen
tongue	tonge
doubt	twivel
without	sonder
mountain	berch
werewolf	weerwolf
chin	kinne
disturb	bedroeven
courteous	cortois
never	noit
summon	bannen
preach	prediken
week	weke
sway	wenken
prickle	hekelen
burn	blaken
sigh	suchten
Earth	erde
go	waden
slow	trage
forge	smeden
stroking	streke
crack	berste
yeast	gest
feast	feeste
rest	ruste
spade	schoppe
heritage	erve
lead	geleide
eye	oge
shield	schilt
shed	schure
table	tafele
magic	tover
flame	vlamme
deem	dunken
pay	vergelden
vault	welven
hidden	schulen
duty	schult
advise	beraden
clean	suveren
fraught	vrachten
root	wortele
dēde hi	dedi
plane	schaven
heart	herte
slide	gliden
stray	dwellen
become	bliven
skin	villen
felt	vilt
scream	schrewen
bend	bocken
grab	gripen
dive	duken
rat	ratte
grin	grinen
sharpen	scherpen
think	pensen
bite	biten
drink	supen
chirp	pipen
head	hovet
peer	micken
abandon	beswiken
bed	bedde
take away	benemen
blow	snuten
split	spliten
carry out	bedriven
grab hold	begripen
go	liden
wear	sliten
suck	sugen
use	bruken
sad	droeven
sled	slede
woman	wijf
thy	dijn
our	onse
be	wesen
lack	darven
set	setten
seek	soeken
hit	slaen
blame	witen
blood	bloet
flower	bloeme
soul	siele
die off	douwen
Christ	kerst
smith	smit
theft	diefte
there	daer
gather	gaderen
brown	bruun
broad	breet
allow	gonnen
swallow	slicken
wait	biden
around	omme
-ish	-sch
travel	wanden
thousand	dusent
such	sulc
which	welc
if	alse
also	ooc
smaller	minre
pale	bleec
onefold	eenvout
simple	eenvoudich
-ly	-lijc
good	goet
worse	wers
way	wech
cold	cout
hadde dāer	hadder
iron	iser
sulphur	swevel
star	sterre
turn	writen
tell	gewagen
building	timmer
ashamed	schamen
going	vaert
test	kiesen
long	langen
spear	geer
comb	kemmen
shine	bliken
acquire	crigen
scream	crischen
scream	criten
appear similar	geliken
bow	nigen
rip	riten
shine	schinen
shit	schiten
stride	schriden
write	schriven
sharpen	slipen
smite	smiten
cut	sniden
spite	spiten
stroke	striken
move away	wiken
rub	wriven
sink	sigen
speak	swigen
brook	beke
eel	ael
pig	swijn
writer	dichtere
lengthen	lengen
prominent town	hovetstat
blood vein	adere
avenge	wreken
lady	vrouwe
middle	midde
carry	dracht
hit	drepen
do	gedoen
godfather	gevadere
lamp	lichtvat
melted animal fat	smout
known	wroegen
church	kerke
pea	erwete
snow	snuwen
female warrior	striderinne
hare	hase
split open	kinen
annoying	verdrieten
say	seggen
breastfeed	sogen
build	timmeren
soft	sachte
catch	vaen
urinate	seiken
hug	helsen
drool	severen
mow	mayen
yell	gellen
swell	swellen
pull	trecken
focus	roeken
bring forth	telen
citizen	portere
raise	bueren
cool	coel
useful	dogen
dare	dorren
know	connen
required	dorven
defecate	driten
dwindle	dwinen
make an effort	vliten
touch	rinen
rise	cliven
urinate	migen
scream	schrien
fall short	swiken
arise	errisen
fight	wigen
hit	blouwen
flee	vlien
lose	verliesen
freeze	vriesen
chew	couwen
cleave	clieven
crawl	crupen
close	luken
smell	ruken
sprout	spruten
burn	bernen
angry	grimmen
climb	climmen
shrink	crimpen
turn	cringen
swallow	swelgen
succumb	swelten
swim	swemmen
swing	swingen
tangle	werren
drag	dinsen
thresh	derschen
mouse	muus
cover	bedecken
seam	soom
bergen op den sôom	bergen op den soom
well up	wallen
eighty	tachtich
twenty	twintich
sharp	scharp
fish	visch
male in-law	swager
vinegar	edic
each other	manlijc ander
swell	belgen
untrustworthy	valsch
mistreat	honen
colour	varwe
hundred	hondert
catch up	becomen
fellow Christian	evenkerstin
gâet het	gaet
sow	sayen
oak	eike
afternoon	achternoene
three o'clock	noene
early	vroe
roast	roosten
Christian	kerstin
annoy	vernoyen
German	dietsch
unmade	ongemaect
describe completely	volschriven
hi se	hise
Wallonian	walsch
book	boec
dat si	datsi
te sinen	tsinen
villager	dorpere
useless	onnutte
hebt gi	hebdi
wille ic	willic
mōgen se	moghense
untouched	onbeschaven
overconfident	malsch
segge ic	segghic
hadde se	hadse
bidde ic	biddic
relative	nichte
aunt	moeye
souden es	soudens
silence	gestille
hadde es	hads
begripe ic	begripic
bridge	brugge
die hāge	die hage
barbican	barbecane
courtliness	hoveschheit
courtly	hovesch
grumbler	gronjaert
king	coninc
weasel	wesel
squirrel	eencoren
courteous	hoveschelijc
courteously	hoveschelike
responsible	verstaen
grab	bevaen
Pentecost	sinxene
te sinxen	tsinxen
shout	crayeren
small	cleine
misdo	misdoen
fear	ontsien
guilty	beschuldich
happen	geschien
des cōninx	sconinx
no one	nieman
beard	baert
complain	clagen
blood relative	maech
gather	versamen
schuwede hi	scuwedi
clāge ic	claghic
crook	trekere
miller	molenman
hostile	onhout
wolf	isengrijn
nobility	edelheit
shame	lachter
completely blind	staerblint
whore	verhoeren
abuse	misvoeren
urinate	beseiken
still then	nochtan
hôonde hi	hoendi
secht gi	sechdi
compassion	ontfarmen
catch	ontvaen
die andre	dandre
holy	heilich
differently	andersins
leave	ontfaren
month	maent
bread	broot
blow	blayen
bloom	bloeyen
scorch	broeyen
fold	vouden
flow	vloeyen
fear	vresen
glow	gloeyen
green	groeyen
low	loeyen
crow	crayen
sew	nayen
row	roeyen
blow	wayen
turn	drayen
salt	souten
cut	schroden
wash	wasschen
flay	vlaen
flowing	vloet
deny	versaken
wash	dwaen
Monday	maendach
new	niewe
think of	begeten
knead	cneden
hide	behelen
suffer	quelen
take	genemen
dwindle	swinden
innocence	onschult
hope	waen
dat lāken	tlaken
parchment	percament
geschrêef het	ghescreeft
write down	geschriven
swige ic es	zwijghics
before	wilen
earlier time	wileneer
unmentioned	onverswegen
unpunished	ongewroken
silent	verswigen
morsel	morseel
kill	bejach
mochte hi dāer	mochtire
dat is	dats
many	menich
lēve ic	levic
seide hi	seidi
wêet ic	weetic
wâne ic	wanic
hôorde ic	hoerdic
French	fransois
cat	tibeert
opposite	jegen
supervision	onberecht
vant ic	vandic
sal het	saelt
hare	cuwaert
murderer	mordenare
excess	overdaet
dat hôoft	thoeft
any	enich
between	tusschen
soude -ene	soudene
dēde hi -ene	dedine
chaplain	capellaen
muzzle	museel
time	tijt
lâet gi	laetti
break apart	tebreken
disapprove	misprisen
expect	bewanen
ende die	entie
blēvet es	bleves
miss	misraken
repay	wederlonen
curse	maledien
curse	vermaledien
correct	castien
handle	hanthave
behind	bachten
avenge	gewreken
root	schraven
bite	verbiten
belly	buuc
thunder	donre
neighbour	gebuur
edge	lijste
parsley	persijn
leek	poreye
rib	ribbe
back	rugge
snail	slecke
key	slotel
stiff	stide
wing	vleder
bat	vledermuus
drop	dropel
cook	coken
stuck	clemmen
curl	crullen
kiss	cussen
free	ledich
shoe	schoe
Latin	latijn
evening	avont
belly	balch
fifth	vijfte
seventh	sevende
thirty	dertich
forty	viertich
fifty	vijftich
sixty	sestich
seventy	seventich
ninety	negentich
sculpture	beelde
birch	berke
knee	cnie
plant	cruut
castle	casteel
deed	daet
cloth	doec
thread	draet
vixen	vossinne
victory	sege
fortress	borch
whole	alijc
herring	harinc
answer	antworde
answer	antworden
extinguish	blusschen
go out	lesschen
case	dinc
sweep	wisschen
busy	besich
enjoy	gebruken
happen	gebueren
pie	taerte
cake	coeke
thanks	danc
explain	dieden
trot	draven
de schēpenen	descepenen
first and foremost	tevoorst
sell	vercopen
unite	enigen
ask	eischen
practice	oeven
obedient	horich
command	heerschen
whore	hoere
Aristotle	aristotiles
Flemish	vlaemsch
different	misselijc
make up	vensen
weak	weec
observe closely	gomen
chop	cappen
bowling	kegelen
clap	clappen
clothe	cleden
cloth	cleet
stick	cleven
knock	cloppen
gnaw	cnagen
kneel	cnielen
knot	cnoop
tie	cnopen
creak	craken
bend	crommen
groan	cumen
listen	luusteren
tan	loyen
hinder	moeyen
pinch	nipen
courtyard	plaetse
average	middelbaer
worse	argeren
smoke	rooc
jerk	rucken
chess	schaec
stride	schricken
flat cake	vlade
speed	spoeden
progress	spoet
spread	sproeyen
fork	vorke
doubt	twivelen
cloud	wolke
poor	snode
colour	varwen
fish	visschen
foul	vulen
pigeon	duve
seagull	mewe
rook	roec
equip	waernen
meat	vleesch
wish	wenschen
pure	suver
sweat	sweten
sail	seilen
explain	bedieden
peg leg	schaetse
Christmas	kersmisse
Epiphany	drieconingendach
midwinter	middewinter
midsummer	middesomer
winter	wintersch
summer	somersch
snowball	sneeclute
snowflake	sneevlocke
winter cold	wintercoude
winter day	winterdach
push	cruden
forearm	boech
brood	broet
ground	gront
hawthorn	hagedorn
branch	quast
quern	querne
snot	snotte
piece	spaen
branch	telch
tedium	onlust
heavy	swaer
people	volc
strength	cracht
sinter clâes	sinter claes
dust	stuven
whale	walvisch
wife	papinne
canal	reye
sprout	kiede
fiddle	ghighe
bag	puyl
buckwheat	boecweit
