I	ni
sight	pënamëweokàn
toad	kaxkxàkës
rain crow	kaxkhuwe
sometimes	tatamse
perhaps	tamse
often	mikwi
every	èshi
yesterday	lòkëwe
few	kèxiti
dogwood	tuwchalakw
hàkhàkwink	hàkhàkw
tree	-akw
white cedar	tëlalakw
northern red oak	wisahkakw
rosinweed	pkuakw
sycamore	xaxakw
redbud	nènèskakw
willow	nushèmakw
fish	namès
leaf	këmpàkw
either	shìtako
somewhat	alàshi
twin	kahpès
menàxkinkmenxkink	menàxk
blackbird	chkënakw
emotions	èlamàlsëwakàn
menstruation	alawixënëwakàn
selection	pipinamëwakàn
temptation	këshëwelìntàmëwakàn
life	lehëlexeokàn
breathing	lexeokàn
honor	xinkwelëmùksëwakàn
dirtiness	nisksëwakàn
anger	manunksëwakàn
quickly	làhpi
cornbread	wisaminahpon
màxkeyo	wisaeyo
poison ivy	puchisktay
witch	nuchihëwe
bed	xansun
sight	nemëwakàn
at the time	lëkhìkwi
book	lekhikàn
winter	luwàn
suddenly	wixkaochi
sundown	wsika
west	èhëliwsikakw
east	wèhènchiopànk
wolf	tëme
saying	wëntamokàn
morning	òpàn
cemetery	ktëmaksëwakàn
pity	këtëmakelëmùksëwakàn
toward	ikali
bundle	wiòhshun
elder	kìkay
word	aptunakàn
raspberry	èkokolës
more	alëwii
both	èlii
fawn	mamalis
road	tëmakàn
truth	wëlamëweokàn
still	kwiakwi
shallow	tatxëpèxën
on top of	axkwitahkunink
servant	alukakàn
ten	tèlën
twelve	tèlën òk nisha
tèlën òk naxa	tèlën òk naxa
tèlën òk newa	tèlën òk newa
tèlën òk palenàxk	tèlën òk palenàxk
tèlën òk kwëtash	tèlën òk kwëtash
tèlën òk nishash	tèlën òk nishash
tèlën òk xash	tèlën òk xash
tèlën òk pèshkunk	tèlën òk pèshkunk
year	kahtën
blue jay	tiyas
girl	xkwechëch
age	kahtënamu
brown thrasher	kakiwalis
Junco	chëlilis
barrel	halpànkël
bluebird	chihopèkëlis
bobwhite	pupukwësh
catalpa	thakòhtëwimënshi
blackjack oak	wewchëlitunas
white oak	wipunkòkw
maple	ansikëmès
red cedar	pëpxòkwës
honeylocust	kawënshuwik
tuliptree	mùxulhemënshi
black walnut	tùkwimënshi
black cherry	mwimënshi
mulberry	òkhatimënshi
low tide	hìkpèxën
pëmawsëwakàn	pëmawsuwakàn
farmer	hakihèt
black-crowned night heron	kaòkche
eat	mitsi
Kentucky coffeetree	pàkchèmunshi
cloud	kùmhòkw
twenty	nishinxke òk kwëti
island	mënatay
soup	kshitay
quiver	alunsinutay
auger	pèpkwëshikàn
sieve	pawënikàn
file	tëmàsksalu
scissors	tàhkònshikàn
lock	këpakhwikàn
wrench	laxwënikàn
ladle	pimxkhwikàn
stirrup	èhëlamalikenkw
two days ago	nishukwënàkàt
three days ago	naxukwënàkàt
four days ago	neyukwënàkàt
so many days ago	txukwënàkàt
hundred	txapxki
times	txën
double	pitae
so many	txukwëne
one	kwëtukwëni
two	nishukwëne
four	neyukwëni
person	awèn
again and again	lahëlàpi
again	làpi
ntàpìch	ahpu
bowstring	hakisapi
thread	hapihan
dog	mwekane
son	nkwis
teepee	pënchi
turkeycock	xinkwëlùkòhsën
leaf	pënipahkihële
hemp	halahpis
milkweed	mahkhalahpis
bone	xkàn
blood	mhukw
breastbone	tulhaixkàn
great horned owl	ohuntàm
doll	òhtas
moonlight	òxehëmu
sunflower	òxeataès
cough	òxùkweokàn
convulsion	òhchipisëweokàn
crooked road	òkchakèxën
necklace	ehùkwenk
crop	òpixkòy
hoarfrost	òpëlùkòn
stump	choxkàt
leaf	wipàkw
dipper	òlèmhòn
white hair	òphùkòn
bead	ehùkwenkanshapi
garfish	òpënchahke
dandruff	òlèkw
goose	òpsuwihële
round hill	tùkòhtën
round	tùkwe
future tense	lapich
begin	talëmi
orange	olënch
place	ehenta
screech owl	chululhuwe
hawk	maxkalaniyat
turkey vulture	mochipwis
fence post	mènxkakw
outside	kochëmink
hungry	kahtupu
exclusively	mëkùchi
copperhead snake	kwishkamuwe
killdeer	kwùskwtis
again and again	ahanhùkwii
automobile	amankshkinkw
hates	wshinkatàmën
pole	mitkëm
sweat lodge	pimëwakàn
rattle	shuhënikàn
salve	shuhòkàn
flute	ahpikòn
wheel	tëpihëlas
toy	pèhpapitunk
breaks	pahsënëmën
hammer	mòkël
cries	mëlimu
grape dumpling	shëwahsapan
grape	wisahkim
gray	wipunkwsu
automobile	hatëmopil
gray	wipunkwe
blue	aonsu
blue	aone
steep incline	kwënàkwte
mud	sisku
xisëmësa	xwisëmësa
very little	mahtiti
nimàt	wimahtësa
kënaxans	xònsa
in-laws	wèshilëmat
raw	àske
doctor	ntaktël
door	skòntay
