Felis catus	cat
donkey	asal
stone	clach
them	umpa
harbour	cala
esteem	soin
iron	iarann
bull	tarbh
bird	eun
blind	dall
zinc	sinc
Alba	Saor Alba
fairy	sìthiche
fairy	bean-shìdh
definite article	ris
not	mura
untidy	fleogan
seal	seula
bell	clag
hall	talla
bomb	boma
block	ceap
cluster	gagan
happy	sona
stock	stoc
lurcher	gadhar
rotten	grod
music	ceòl
king	rìgh
knowledge	fios
am	tha
welcome	fàilte
family	teaghlach
computer	annalair
light	solas
sleep	cadal
tree	craobh
field	dail
rice	rus
moose	lon
purchase	ceannach
excellent	ciatach
duty	dleasnas
discussion	deasbad
pleasure	toileachas
adventure	deuchainn
instructive	teagaisgail
permission	cead
slavery	daorsa
branch	meanglan
boorach	bùrach
nominative	broinn
beauty	boidhichead
rich	beartach
winking	priobadh
sausage	isbean
handkerchief	neapaigear
lonely	aonaranach
generous	fialaidh
merry	sunndach
joy	sunnd
nail	tarag
terrible	uabhasach
tired	sgìth
mug	muga
whisper	cagar
Jesus	Ìosa
Celt	Ceilteach
enchantment	geas
window	uinneag
west	iar
tha	alainn
repentance	aithreachas
run	ruith
sulky	gruamach
dictionary	faclair
tartan	breacan
give	thoir
me	dhomh
over	thairis
heavy	trom
careful	cùramach
sword	claidheamh
rough	garbh
yellow	buidhe
cup	copan
important	cudromach
even	cothrom
learn	ionnsaich
friend	caraid
water	bùrn
church	eaglais
buy	ceannaich
accident	tubaist
leaf	duilleag
respect	meas
sister	piuthar
at	agad
at	aca
at	aice
teaching	teagasg
was	bha
they	iad
Claire	Sorcha
sex	feis
bag	baga
table	bòrd
two	dhà
butter	ìm
sugar	siùcar
cup	cupa
chest	ciste
shore crab	partan
field	achadh
last	mair
moor	monadh
hill	cnoc
boat	bàta
bog-myrtle	roid
shore	cladach
who	cò
in	anns
at	aig
road	rathad
rock	creag
copper	copar
grass	feur
sheep	caora
ash	uinnseann
oak	darach
rìgh	rìgh-na-coille
lord	tighearna
calf	laogh
staff	bata
dove	calman
cough	casad
compare	coimeas
ability	comas
moss	mòine
cart	càr
announcement	sanas
wood	fiodh
warning	rabhadh
vision	radharc
fern	raineach
poem	duan
song	òran
song	luinneag
secret	rùn
affection	spèis
dealan	dealan-dè
tarbhan	tarbhan-nathrach
Virgin Mary	Òigh
soup	brot
filthiness	ababachd
abbey	abachd
abbey	abaid
mother	màthair
spoon	spàin
shop	bùth
sleet	flin
or	no
hero	gaisgeach
hero	laoch
school	sgoil
morning	madainn
from	asta
cross	crosta
through	tron
marble	marmor
dwarf	troich
dwarf	luspardan
fairy	sluagh sìdhe
rather than	seach
rain	sil
shower	fras
dependent	chì
cream	cè
heap	dùn
gown	gùn
pawn	pàn
six	sè
pocket	pòcaid
cailleach	cailleach dhubh
nun	bean-chràbhaidh
during	rè
suirghe	suirgheach
courting	suirghe
prince	prionnsa
emperor	àrd-rìgh
high	àrd
low	ìosal
Christian	Crìosdaidh
Jew	Iùdhach
Islamic	Ioslamach
Christianity	Crìosdaidheachd
Hebrew	Eabhra
language	cànan
religion	creideamh
religion	diadhachd
trust	creideas
true	fìor
faithful	dìleas
matriarch	àrd-mhàthair
patriarch	àrd-athair
father	athair
marriage	pòsadh
marry	pòs
Trinity	Trianaid
moon	gealach
silk	sìoda
cloud	neul
quiet	ciùin
halo	fàinne-solais
glory	glòir
fame	cliù
look	amhairc
cinema	taigh-dealbh
definite article	leis
evening	anmoch
early	moch
baby	leanabh
dangerous	cunnartach
seat	suidhe
evening	feasgar
ruin	tobhta
dependent	chunnaic
synagogue	sionagog
day	latha
queen	banrigh
doubt	teagamh
Easter	Caisg
Easter	Càisg
still	fhathast
a lot	mòran
place	àite
site	làrach
travel	siubhal
Christian	Crìosdail
coffee	cofaidh
silence	tost
also	cuideachd
coat	còta
jacket	seacaid
cinema	taigh-dhealbh
seachd	seachd peacaidhean-bàis
mouth	craos
avarice	sannt
anger	fearg
envy	eud
vanity	uaill
lewdness	baois
lewd	draosda
lewdness	draosdachd
licentious	drùiseach
whoremonger	drùisear
lecher	drùisire
lecherousness	drùisearachd
lecherousness	drùisealachd
pornography	drùiseantachd
bawdiness	drabasdachd
Milky Way	Sgrìob Chlann Uisnich
Milky Way	Slighe Chlann Uisnich
path	slighe
alas	mo thruaighe
misery	truaighe
mo	mo chreach
booty	creach
sgal	mo sgal
blast	sgal
breast	cìoch
Mrs	Bean-phòsda
Mhnaoi-uasail	Bean-uasal
Lord	Tighearna
Mr	Maighstir
master	maighstir
tongue	teanga
Miss	Maighdeann
Miss	Mh
head	ceann
ceann	ceann-na-cìche
thigh	sliasaid
Libra	Meidh
Aries	Reithe
Gemini	Leth-aonan
Aquarius	Fear Giùlan Uisge
Pisces	Iasgan
Sagittarius	Saighdear
soldier	saighdear
archer	boghadair
arch	bogha
Taurus	Tarbh
Cancer	Partan
Scorpio	Sgairp
scorpion	sgairp
Leo	Leòmhann
lion	leòmhann
Goibhre	Gobhar
goat	gobhar
Zodiac	casan na grèine
diminutive	Annag
Marian	Mòr
diminutive	Mòrag
Jesus Christ	Màiri
seal	ròn
noun	-ag
diminutive	Sìneag
Jean	Sìne
diminutive	Seonag
Hugh	Aodh
cèire	ciar
Kenneth	Coinneach
Colin	Cailean
puppy	cuilean
kitten	piseag
Ellen	Eilidh
Fomorian	Eithne
shoulder	gualann
old woman	cailleach
rank	inbhe
completion	iomlanachd
degree	ìre
fidgets	ireapais
dismay	oillt
evil	olc
arrogance	àrdan
arrogance	dànadas
madness	boile
fervor	dìoghras
good fortune	sonas
happiness	àigh
schadenfreude	àgh millteach
delight	aighear
ruinous	millteach
chaste	ionraic
integrity	ionracas
integrity	neo-chiontachd
comparative	neo-chiontach
at fault	ciontach
un-	mì-
un-	do-
un-	ao-
seachd	seachd deagh-bheusan
warmth	dealas
chasteness	geamnachd
moderation	measarrachd
charity	carthannachd
meekness	macantas
charity	carthannas
generosity	fialaidheachd
courteousness	suairceas
allegiance	ùmhlachd
shadow	sgàile
cure	leigheas
heal	leighis
good day	latha math
madainn	madainn mhath
good night	oidhche mhath
feasgar	feasgar math
cheers	slàinte
burn	loisg
burned	loisgte
burning	losgadh
demon	deamhan
hawk	seabhag
buzzard	clamhan
buzzard	àrmhaigh
corra	corra-mhonaidh
snake	nathair
crocodile	crogall
lizard	laghairt
dragon	nathair-sgiathach
winged	sgiathach
wing	sgiath
sgithinn	sgian
play	cluich
arrow	saighead
sword	slòighre
star	reul
star	rionnag
maighdeann	maighdeann-mara
so	cho
global warming	blàthachadh na cruinne
effervescence	blàthachadh
sphere	cruinne
grief	bròn
grief	mulad
grief	èislean
homesickness	cianalas
anxiety	fadachd
desire	iarraidh
miss	ionndrainn
sorrow	dòlas
sorrow	doilgheas
bewail	caoidh
affliction	tùirse
stipulation	cumha
lament	tuireadh
singer	seinneadair
singer	òranaiche
singer	neach-seinn
take	gabh
seinn	-adair
being	neach
singeress	bean-seinn
singer	fear-seinn
player	cluicheadair
reader	leughadair
harpist	clàrsair
harp	clàrsach
fisher	iasgair
healer	leighiche
helper	cuidiche
healer	slànaighear
player	cleasaiche
prefix	ban-
prank	cleas
read	leugh
Cuimreach	-each
enchanted	fo gheasaibh
enchantment	geasachd
bewitchment	draoidheachd
voice	guth
annoyance	dragh
annoyance	buaireas
adversity	teanntachd
light	aotrom
difficult	doirbh
arduous	duilich
difficulty	duilgheadas
difficulty	èiginn
difficulty	cruadal
difficulty	cruas
danger	cunnart
danger	gàbhadh
weirdo	baoghal
harm	cron
harm	aimhleas
harm	ciùrradh
hurt	ciùrr
hurt	ciùrrte
pernicious	sgriosach
ruinous	sgriosail
destruction	sgriosadh
sgrios	sgrios-cinnidh
clan	cinneadh
sort	seòrsa
type	gnè
làrach	làrach-lìn
archery	boghadaireachd
bow	slatag
stick	biorag
spike	bior
splinter	bioran
sharp	biorach
river	abhainn
table	clàr
flatulence	bramasag
sèirbhe	searbh
intelligent	tuigseach
intellect	tuigse
bear	mathan
blowing	sèid
stranger	coigreach
soot	sùith
spout	spùt
peat	mòna
hearth	cagailt
apostle	abstol
hair	gaoisid
Germany	Gearmailt
Spàinne	Spàinn
Sweden	Suain
Rìoghachd Aonaichte	Rìoghachd Aonaichte na Breatainn Mhòr agus Eirinn a Tuath
United Kingdom	Rìoghachd Aonaichte
Wales	Cuimrigh
Aimeireaga	Stàitean Aonaichte na h-Aimeireaga
Scandinavia	Lochlann
Frainge	Fraing
Finland	Suòmaidh
England	Sasainn
Grèige	Grèig
Italy	Eadailt
Tìle	Innis Tìle
Breatainn	Breatainn Mhòr
Isle of Man	Eilean Mhanainn
island	eilean
Breatainne	Breatainn
bachelor	seana-ghille
spinster	seana-mhaighdeann
prefix	seana-
adolescent	òigear
young man	òganach
branch	ògan
twig	geug
Cornwall	Còrn
baby	naoidhean
baby	pàisde
babe	leanaban
sweetheart	rùnag
sweetness	mìlseachd
system	-achd
cute	stampa
seeing	amharc
bare	rùisg
naked	rùisgte
nakedness	luime
nakedness	lomnochd
birth	beir
suffer	fuiling
blood feud	falachd
piuthar	piuthar-màthar
paternal	piuthar-athar
brother	bràthair
bràthair	bràthair-athar
bràthair	bràthair-màthar
màthair	màthair-chèile
athair	athair-cèile
wife	bean-chèile
piuthar	piuthar-chèile
bràthair	bràthair-cèile
seanmhair	seanmhair mhàithreil
seanair	seanair màithreil
seanair	seanair athaireil
cousin	co-ogha
grandchild	ogha
grandson	mac-mic
granddaughter	ban-ogha
granddaughter	nighean-mhic
granddaughter	nighean-ighne
daughter-in-law	nighean-chèile
daughter-in-law	bean-mhic
son-in-law	cliamhainn
stepmother	leas-mhàthair
stepsister	leas-phiuthar
stepbrother	leas-bhràthair
stepdaughter	leas-nighean
stepson	leas-mhac
stepfather	leas-athair
grandson	mac-ighne
stepchild	dalta
nighean	nighean-peathar
fraternal niece	nighean-bhràthar
fraternal niece	nighean-bràthar
fraternal nephew	mac-bràthar
sororal nephew	mac-peathar
step-	leas-
nurse	muime
màthair	màthair-bhaiste
athair	athair-baistidh
oide	oide-baistidh
guardian	oide
ban-dalta	ban-dalta-baistidh
foster	ban-dalta
baptize	baist
mum	màmag
mum	mamaidh
daddy	boban
dad	dadaidh
seanmhair	sinn-seanmhair
seanair	sinn-seanair
great-granddaughter	iar-ban-ogha
great-grandchild	iar-ogha
post-	iar-
great-granddaughter	iar-bhan-ogha
firstborn	ciad-ghin
ancestor	sinnsear
ancestry	sinnsearachd
race	sìolradh
brood	àl
seed	sliochd
deafness	buidhre
blindness	doille
mute	balbh
mute	balbhan
seed	sìol
derivative	sìolach
half brother	leth-bhràthair
half sister	leth-phiuthar
Judaism	iùdhachas
wedding	banais
part	dealaich
heart	cridhe
courage	misneachd
courage	gaisgeachd
courage	smior
courage	smioralas
courage	meanmna
manliness	fearachas
apparition	tannasg
spirit	spiorad
mind	aigne
milk	bleoghainn
nighean	nighean-bhleoghainn
handmaid	ban-òglach
youth	òglach
slut	leodag
vagina	faighean
leaf	duille
vagina	truiteag
vagina	geobag
sheath	fraighe
duille	duille-sgeine
dagger	biodag
dagger	cuinnsear
lance	sleagh
beam	gath
bogha	bogha-saighde
duine	duine borb
barbaric	borb
comparative	garg
barbarian	amhasg
cruel	neo-iochdmhor
cynicism	gairge
atrocity	buirbe
atrocity	uabhas
atrocity	aingidheachd
wild	allaidh
hard	cruaidh
mercy	iochd
mercy	oircheas
clemency	truas
harm	beud
decrease	dìobhail
mercy	tròcair
cac	cac-shiubhal
toad	losgann
learning	ionnsachadh
learned	ionnsaichte
learned	foghlaimte
learn	foghlaim
seòmar	seòmar-teagaisg
room	seòmar
prepared	uidheamaichte
equip	uidheamaich
wise	iùlmhor
guide	iùl
neach	neach-iùil
leabhar	leabhar-iùil
-ful	-mhor
wise	crìonna
wise	glic
pour	dòirt
shower	dòrtadh
shower	fras-ionnlaid
clean	ionnlaid
easy	soirbh
affable	sèimh
kindness	sèimhe
nas	tlàth
demulcent	maoth
kind	caomh
balanced	socrach
sòlas	sòlasach
comfort	sòlas
comfort	sìoch
assuagement	socair
fairy	sìth
surplus	còrr
attack	ionnsaigh
shoe	bròg
adjective	-te
street	sràid
deer	fiadh
pig	muc
rabbit	coineanach
tha	tha gaol agam ort
tha	tha gràdh agam dhut
tha	tha mi sa' ghaol leat
tha	tha mi sa' ghràdh leat
birthday	là-breith
year	bliadhna
spider	damhan-allaidh
pìob	pìob mhòr
cuisle	cuisle-chiùil
flute	cuislean
vein	cuisle
violin	fidheall
ailt	ailt-fhidheall
bogsa	bogsa-ciùil
box	bogsa
ciste	ciste-mhairbhe
back	cùl
na	Cuan na h-Èireann
Tuath	Muir a Tuath
North Sea	Muir Lochlainn
Mediterranean Sea	Muir Mheadhanach
Atlantic Ocean	Cuan Mòr
Pacific Ocean	Cuan Sèimh
cuan	cuan mòr
sea	fairge
Éideann	Dùn Éideann
nam	Inns nam Gall
a'	Poll a' Ghrùthain
Clyde	Uisge Chluaidh
Loch Ness	Loch Nis
Welshman	Cuimreach
Scot	Albannach
Gàidhlig	Gàidhlig Mhanainneach
Welsh	Cuimris
Englishman	Sasannach
Manx	Manainneach
Breton	Breatannais
Cornish	Còrnais
Briton	Breatannach
Spanish	Spàinneach
Castilian	Spàinnis
French	Frangach
an	Roinn-Eòrpa
Aimeireaga	Aimeireaga-a-Tuath
South America	Aimeireaga-a-Deas
America	Aimeireaga
Italian	Eadailtis
German	Gearmailtis
shirt	lèine
casag	casag mhòr
cassock	casag
trousers	briogais
trousers	triubhas
drawers	drathais
drawers	drathars
guinea	gini
that	siud
baile	baile mòr
village	baile beag
filimore	fèileadh mòr
kilt	fèileadh
filibeg	fèileadh beag
slavery	tràillealachd
slave	tràill
grave	uaigh
glass	glainne
sgàthanan	sgàthan
cian	cian-fhuaim
glainne	glainne-amhairc
television	cian-dhealbh
picture	dealbh
painting	lì-dhealbh
distant	cèin
aghaidh	aghaidh-choimheach
face	aghaidh
stranger	coimheach
nas	neònach
house sparrow	gealbhonn
base	bonn
cailleach	cailleach-oidhche
lark	uiseag
leave	fàg
cheek	gruaidh
throat	sgòrnan
eye	sùil
hope	dòchas
fear	eagal
passionate	dian
arm	gàirdean
scream	ràn
fall	tuit
get	faigh
present	bidh
abandoned	trèigte
abandon	trèig
deceitful	meallta
lump	meall
stinking	breun
rise	èirich
wake	dùisg
awake	dùisgte
gold	òr
oillt	oillteil
ordinary	àbhaisteach
common	cumanta
common	coitcheann
custom	àbhaist
war	cogadh
an	Cogadh Mòr
World War II	Dara Cogadh Mòr
fight	sabaid
battle	blàr
field	raon
field	magh
nuadh	bean nuadh-phòsda
nuadh	fear nuadh-pòsda
convoy	comhailteachd
maighdeann	maighdean-phòsaidh
comhailteachd	fear-comhailteachd
bachelor	fleasgach
gille	gille-comhailteachd
fleasgach	fleasgach fear-bainnse
winged	sgitheanach
Sgitheanach	Eilean Sgitheanach
home	dachaigh
couple	càraid
two	dithis
tha	tha gràdh agam dhuibh
visit	tadhail
maidenhead	maighdeannas
maidenhead	òigheachd
fine	brèagha
pretty	rìomhach
gràin	gràineil
hate	gràin
hate	fuathaich
up	suas
surrender	gèill
give up	thoir suas
strong	làidir
strong	lùthmhor
activity	lùths
strong	neartmhor
plenty	neart
meaning	brìgh
significance	ciall
feel	fairich
feel	mothaich
feeling	mothachadh
feeling	faireachdainn
ripeness	abaichead
pregnancy	leatrom
pregnancy	leatromachd
burdensome	leatromach
fertility	torraicheas
fertility	sliochdmhorachd
prolific	sliochdmhor
beneficence	mathas
orphan	dìlleachd
infertility	neo-shìolmhorachd
fruitfulness	sìolmhorachd
prolific	sìolmhor
infertility	mì-thorrachas
gestation	torrachas
sterile	fàsaichte
sterile	seasg
depopulate	fàsaich
sterile	aimrid
wave	tonn
injured	leònta
bruise	leòn
oppress	sàraich
oppressed	sàraichte
seann	seann-nòsach
beul	beul-aithris
culture	dualchas
mouth	beul
report	aithris
customary	nòsach
fashionable	nòsail
glè	-ail
courteous	modhail
silly	faoin
conceited	sgòideil
aloof	uaibhreach
vain	mòr às
honeymoon	mìos nam pòg
sensual	feòlmhor
flesh	feòil
skin	craiceann
hidden	falaichte
sensuality	feòlmhorachd
awe	fiamh
fiamh	fiamh-ghàire
smile	fàite-gàire
simper	snodha-gàire
smile	dèan gàire
smile	dèan snodha-gàire
smile	dèan fàite-gàire
drink	òl
fly	cuileag
fly	itealaich
work	obraich
gu	gu bràth
forever	a-chaoidh
forever	gu sìorraidh
forevermore	gu suthain sìorraidh
forever	gu suthain
month	mìos
o chionn	o chionn ghoirid
o chionn	o chionn fhada
from	bho
short	goirid
womb	machlag
belly	brù
abdomen	balg
glove	dòrnag
glove	làmhainn
fist	dòrn
hand	làmh
echo	mac-talla
MacDonald	MacDhòmhnaill
MacEwan	MacEòghain
Alasdair	MacAlasdair
Leòid	MacLeòid
MacLachlan	MacLochlainn
patronymic	MacGriogair
Iain	MacIain
Macintyre	Mac an t-Saoir
Mactaggart	Mac an t-Sagairt
Campbell	Caimbeul
Cameron	Camshron
nose	sròn
Duncan	MacDhonnchaidh
Alan	MacAilein
goddess	ban-dia
how	abair
community	coimhearsnachd
brow	bathais
come	thig
hear	cluinn
pride	pròis
proud	pròiseil
magnificent	mòrail
confusion	breisleach
hallucination	mearan
mearan	mearanach
confusing	breisleachail
sore	goirt
sneeze	sreothart
diabetes	galar-fuail
disease	galar
urine	fual
ruith	ruith-fhuail
cancer	aillse
galar	galar-drùisealachd
galar	galar na seirg
brain	eanchainn
wither	searg
down	sìos
down	a-bhàn
up	a-nìos
wool	clòimh
air	adhar
air	àile
air	iarmailt
charm	ubag
enchant	ubagaich
alchemist	ubagaiche
fountain	fuaran
cistern	tobar
ether	adhar fìnealta
debonair	fìnealta
cuir	cuir fo gheasaibh
antidote	ìocshlaint
clip	cliobag
colt	searrach
colt	capall
mare	làireach
leòmhann	leòmhann-chraobh
unicorn	aon-adharcach
horned	adharcach
horn	adharc
adharcach	sròin-adharcach
washerwoman	bean-nighe
changeling	tàcharan
droch	droch isean
brat	uilleagan
bad	droch
droch	droch-bheul
droch	droch-fhacal
word	facal
droch	droch-bheart
deed	beart
droch	droch-ghiùlan
chick	isean
chick	eireag
ovary	ughlann
ovary	ughag
basin	mias
dish	soitheach
triangle	triantan
trì	trì-cheàrnag
three	trì
square	ceàrnag
square	ceàrnan
circle	cuairt
dronn	dronn-uileannag
rectangle	ceart-cheàrnach
square	ceàrnach
angle	ceàrn
dessert	mìlsean
crippled	bacach
lame	cuagach
lame	crùbach
duck	tunnag
advanced	adhartach
progress	adhartas
afraid	eagalach
chief	tòisiche
begin	tòisich
chaplain	sagart
swim	snàmh
seòmar	seòmar-ionnlaid
seòmar	seòmar-bìdh
seòmar	seòmar-leapa
seòmar	seòmar-mullaich
top	mullach
bathhouse	taigh-ionnlaid
explore	rannsaich
seòmar	seòmar-rannsachaidh
seòmar	seòmar-còmhnaidh
aid	còmhnadh
seòmar	seòmar-cloinne
seòmar	seòmar-altraim
seòmar	seòmar-àraich
breed	àraich
fostering	altram
seòmar	seòmar-cadail
sleep	caidil
seòmar	seòmar-leughaidh
dining room	seòmar-aoigheachd
hospitality	biadhtachd
seòmar	seòmar-biadhtachd
hospitality	aoigheachd
guest	aoigh
seòmar	seòmar-beòil
seòmar	seòmar-gnothaich
affair	gnothach
sofa	sunnag
sofa	langasaid
sofa	suaineachan
slumber	suain
cathair	cathair mhòr
armchair	suidheachan mòr
seat	suidheachan
armchair	cathair-uilne
elbow	uileann
cathair	cathair ghàirdeanach
cathair	cathair shiùdanach
wheelchair	cathair-cuibhle
sit	suidh
bòrd	bòrd-sgrìobhaidh
write	sgrìobh
anart	anart-bùird
linen	anart
satin	sròl
feminism	boireann-dhligheachas
absoluteness	dligheachas
law	dlighe
female	boireann
lord	triath
toilet	taigh beag
factory	taigh-ceàirde
trade	ceàird
taigh	taigh-tionnsgain
taigh	taigh-gnìomhachais
doctor	lighiche
doctor	lèigh
lèigh	lèigh-bheathach
altrach	altrach-bheathaichean
lighiche	lighiche-bheathaichean
fosterer	altrach
nurse	banaltraim
nurse	altraim
nurse	bean-eiridinn
nurse	eiridnich
paramedic	neach-eiridinn
dentist	fiaclaire
lèigh	lèigh-eòlas bhan
knowledge	eòlas
lèigh	lèigh-eòlas fhir
buachaille	buachaille-chaorach
serve	fritheil
maighdeann	maighdeann-frithealaidh
gille	gille-frithealaidh
midwife	bean-ghlùine
milkmaid	banarach
milkmaid	banchaig
artist	neach-ealain
art	ealain
artist	dealbhadair
smith	gobha
teacheress	bean-teagaisg
male	fear-teagaisg
neach	neach-teagaisg
painter	lì-dhealbhadair
dreariness	dubhachas
depression	airteil
trom	trom-inntinn
mind	inntinn
depression	sprochd
sad	brònach
fo	fo mhulad
co-fhad-thràth	co-fhad-thràth an earraich
co-	co-fhad-thràth
co-fhad-thràth	co-fhad-thràth an fhoghair
solstice	grian-stad
winter solstice	grian-stad geamhraidh
cigarette	toiteag
goldsmith	ceàrd-òir
tinker	ceàrd
ceàrd	ceàrd-airgid
smithy	ceàrdach
reic	fear-reic
sell	reic
saleswoman	bean-reic
salesman	reiceadair
salesperson	neach-reic
neach	neach-stiùiridh
steer	stiùir
neach	neach-riaghlaidh
rule	riaghail
architect	ailteir
architect	ailtire
translator	eadar-theangair
sluagh	sluagh-iùl
community	sluagh
constable	maor-sìth
officer	maor
to	chun
lady	baintighearna
Lady	Baintighearna
poetess	bana-bhàrd
heroine	bana-ghaisgeach
princess	bana-phrionnsa
player	bana-chleasaiche
player	bana-chluicheadair
farm	tuathanas
farmer	tuathanach
engineer	innleadair
engine	inneal
butcher	feòladair
electrician	dealanair
electricity	dealan
baker	fuineadair
bake	fuin
tailor	tàillear
sailor	seòladair
sailor	loingear
sailor	maraiche
sail	seòl
barterer	màlair
cook	bruich
musician	ceòladair
composer	neach-ciùil
entertainer	oirfideach
songster	cliaranach
ice cream	reòiteag
freeze	reòth
