father	اب
poison	زهر
dream	خواب
fuckable	گاییدنی
fuckable	کردنی
fist	اور
daughter	دختر
маҳаббат	محبت
nail	ناخن
administration	سیاست
flight	نفرت
window	پنجره
happy	خوش
happiness	خوشی
quiet	خاموش
silence	خاموشی
blood	خون
family	خاندان
street	زقاق
paradise	فردوس
sister	خواهر
year	سال
season	موسم
silk	ابریشم
Syria	سوریه
plaster	گچ
unnecessary	بیخودی
dog	سگ
yes	بله
yeah	آره
no	نخیر
hello	درود
good morning	صبح بخیر
good day	روز بخیر
good afternoon	عصر بخیر
good night	شب بخیر
what can I do for you	بفرمایید
snake	مار
Mrs	خانم
excuse me	ببخشید
Худо	خدا
family	فامیل
how many	چند
beet	چندر
knife	چاقو
telephone	تلفن
Arab	عرب
messenger	رسول
photograph	عکس
girlfriend	دوست‌دختر
Buddha	بودا
vagina	مهبل
potato	آلو
shatranj	شطرنج
vulture	نسر
steeple	برج
Shirgah	شیرگاه
elegance	ادا
brief	اجمالی
blog	بلاگ
glans penis	کله کیر
complete	تمام
sugarcane	خوز
англисӣ	انگلیسی
dandelion	قاصدک
grasshopper	ملخ
saltpetre	باروت
star	اختر
مادر	مادر کسده
servant	چاکر
Kenya	کنیا
powerless	کمزور
waist	کمر
vault	کمرا
street	کوی
enigma	طلسم
kermes	قرمز
Pakistan	پاکستان
life	زندگی
time	موقع
telescope	تلسکوپ
sheik	شیخ
glass	شیشه
morning	صبح
ژه	ژ
ZWNJ	یک‌شنبه
Monday	دوشنبه
Tuesday	سه‌شنبه
Wednesday	چهارشنبه
Thursday	پنج‌شنبه
Friday	آدینه
Saturday	شنبه
person	شخص
caliph	خلیفه
small	کوچک
thrust	سپوختن
خدا	خدا حافظ
shelter	پناه
guarding	حفظ
pear	گلابی
earth	زمین
jungle	جنگل
religion	مذهب
anaconda	آناکوندا
Ibrahim	ابراهیم
rug	گلیم
king	شاه
mulberry	توت
шумо	شما
lip	لب
we	ما
Germany	آلمان
Britain	انگلستان
island	جزیره
summer	تابستان
wrinkle	چین
گوش	گوش دادن
stoning	سنگسار
Slovakia	اسلواکی
Italy	ایتالیا
Romania	رومانی
بحث	بحث کردن
India	هند
Taiwan	تایوان
Iranian	ایرانی
moon	ماه
week	هفته
hour	ساعت
minute	دقیقه
second	ثانیه
hear	شنیدن
fire	آتش
large	بزرگ
sell	فروختن
also	هم
Париж	پاریس
Moscow	مسکو
saffron	زعفران
kebab	کباب
grandmother	مادربزرگ
pilaf	پلو
frittata	کوکو
soup	آش
Iranian	قرمه سبزی
dad	بابا
brother	برادر
father	پدر
grandfather	پدربزرگ
knee	زانو
mouth	دهان
eyelash	مژه
finger	انگشت
upper arm	بازو
heart	قلب
nose	بینی
uncle	عمو
simple	ساده
furniture	اثاث
work	کار
child	فرزند
child	بچه
sun	خورشید
kiss	بوسیدن
glad	شاد
black	سیاه
nightingale	بلبل
orange	نارنجی
yellow	زرد
white	سفید
green	سبز
one	یک
crimson	قرمزی
Darius	داریوش
proud	مغرور
mountain	کوه
death	مرگ
uncertain	مردد
fodder	علف
moonlight	مهتاب
garden	باغ
greenness	سبزی
spring	بهار
star	ستاره
of	از
rosewater	گلاب
rose garden	گلستان
Bahá'í	بهائی
horse	اسب
hippopotamus	اسب آبی
cow	گاو
Friday	جمعه
Imam	علی
skinny	لاغر
homosexual	همجنس‌باز
fat	چاق
mouse	موش
patience	صبر
pig	خوک
master	صاحب
sometimes	گهگاه
walnut	گردو
flowerpot	گلدان
pink	صورتی
Qur'an	قرآن
class	کلاس
samovar	سماور
bank	بانک
ZWNJ	ته‌دیگ
buttermilk	دوغ
rope	طناب
spouse	همسر
SIM card	سیم کارت
cat	گربه
music	موسیقی
Tibet	تبت
be	بودن
ناهید	ناهید
toman	تومان
rap	رپ
friendship	دوستی
clothing	لباس
parliament	مجلس
ear	گوش
school	مدرسه
thanks	مرسی
Mr.	آقا
republic	جمهوری
Islamic Republic of Iran	جمهوری اسلامی ایران
Zoroaster	زرتشت
right	حق
lick	لیسیدن
coffee	قهوه
black	مشکی
golden	طلایی
gold	طلا
river	رود
write	نوشتن
eat	خوردن
read	خواندن
atomic	اتمی
atom	اتم
carpet	فرش
парранда	پرنده
beautiful	زیبا
ugly	زشت
nose	دماغ
change	انقلاب
wise	دانا
know	دانستن
توانا	توانا بود هر که دانا بود
brown	قهوه‌ای
jewel	گوهر
ماده	ماده تاریک
dark	تاریک
money	پول
store	انبار
ولایت	ولایت فقیه
change	پول خرد
Arabic	عربی
Saudi Arabia	عربستان سعودی
Jordan	اردن
Palestine	فلسطین
Kuwait	کویت
good	خوب
Turkey	ترکیه
Libya	لیبی
Japan	ژاپن
courtyard	حیاط
easy	آسان
seed	تخم
tonight	امشب
night	شب
sea	دریا
rain	باران
جنوری	ژانویه
Farvardin	فروردین
فبروری	فوریه
اپریل	آوریل
جون	ژوئن
فرهنگ	فرهنگ‌نویسی
جولای	ژوئیه
اگست	اوت
سپتمبر	سپتامبر
اکتوبر	اکتبر
دسمبر	دسامبر
honeybee	زنبور عسل
honey	عسل
end	پایان
torture	عذاب
millipede	هزارپا
parrot	طوطی
beat	زدن
word	واژه
fart	چس
popcorn	چس فیل
become	شدن
understand	فهمیدن
bitter	تلخ
wound	زخم
wounded	زخمی
network	شبکه
heaviness	سنگینی
heavy	سنگین
strong	زورمند
patient	صبور
bakery	نانوائی
baker	نانوا
poem	شعر
poet	شاعر
eternal	ابدی
eternity	ابد
star	کوکب
country	کشور
engineering	مهندسی
climate	آب و هوا
water lily	نیلوفر آبی
people	اهل
pilgrimage	حج
Islamic	اسلامی
Japanese	ژاپنی
very	خیلی
say	گفتن
have	داشتن
martyr	شهید
Polish	لهستانی
Bahman	بهمن
today	امروز
fortune	بخت
doctor	دکتر
bathhouse	حمام
now	الان
صباح	فردا
yesterday	دیروز
soldier	سرباز
secretary	منشی
shepherd	چوپان
singer	خواننده
culture	فرهنگ
عراق	بغداد
melon	خربزه
wall	دیوار
student	دانشجو
گول	گول خوردن
democracy	مردم‌سالاری
preparation	بسیج
rule	قاعده
Avesta	اوستا
سیب	سیب‌زمینی
spinach	اسفناج
aubergine	بادنجان
onion	پیاز
pepper	فلفل
cucumber	خیار
lettuce	کاهو
cabbage	کلم
زردک	هویج
squash	کدو
mushroom	قارچ
okra	بامیه
garden	تره
بادنجان رومی	گوجه فرنگی
plum	گوجه
lemon	لیمو
lemon juice	آبلیمو
sugar	شکر
mango	انبه
pineapple	آناناس
pistachio	پسته
watermelon	هندوانه
peach	هلو
rhubarb	ریواس
opium poppy	خشخاش
caraway	زیره
condition	حال
dolphin	دلفین
mint	نعناع
jujube	عناب
violet	بنفش
scarlet	سرخ
thought	فکر
peak	قله
beetle	سوسک
thank you	دست شما درد نکنه
hand	دست
نوش	نوش جان
swimming costume	مایو
beautiful	قشنگ
bicycle	دوچرخه
address	آدرس
sublime	عالی
computer	کامپیوتر
computer	رایانه
با	بامزه
Chad	چاد
action	عمل
consumption	مصرف
neighbour	همسایه
room	اتاق
shoe	کفش
fresh	تازه
card	کارت
bus	اتوبوس
ATM	عابر بانک
ugliness	زشتی
marbled paper	ابری
teacher	معلم
AIDS	ایدز
alone	تنها
end	انتها
football	فوتبال
swimming	شنا
beach	ساحل
ant	مورچه
کرم	کرم ابریشم
کرم	کرم کتاب
Spanish	اسپانیایی
note	اسکناس
puppy	توله‌سگ
screen	حجاب
comb	شانه
strawberry	توت فرنگی
cinema	سینما
grey	خاکستری
earth	خاک
khaki	خاکی
чор	چهار
karate	کاراته
tennis	تنیس
golf	گلف
kung fu	کونگ فو
Judaism	یهودیت
intellect	هوش
Nowruz	نوروز
chickpea	نخود
lunch	ناهار
library	کتابخانه
almond	بادام
handkerchief	دستمال
sweet	شیرین
sweet	شیرینی
taste	سلیقه
demon	دیو
shawl	شال
headscarf	روسری
Jesus	عیسی
definite	را
NATO	ناتو
watcher	ناظر
new	نو
خلیج	خلیج فارس
registration	ثبت
hotel	هتل
air	هوا
the Netherlands	هلند
Sweden	سوئد
фақат	فقط
talks	مذاکره
Africa	آفریقا
economy	اقتصاد
finance	مالیه
Madagascar	ماداگاسکار
province	استان
soap	صابون
worker	کارگر
diet	رژیم
widespread	گسترده
promise	قول
coat	کت
skirt	دامن
date	خرما
persimmon	خرمالو
papaya	پاپایا
grape	انگور
avocado	آواکادو
pitahaya	میوه اژدها
coconut	نارگیل
زرد	زردآلو
sumac	سماق
barberry	زرشک
purple	زرشکی
fig	انجیر
medlar	ازگیل
mulberry	شاه‌توت
ZWNJ	گریپ فروت
nectarine	شلیل
retaining	حافظ
memory	حافظه
tooth	دندان
dentistry	دندان‌پزشکی
censorship	سانسور
censor	سانسور کردن
navy blue	سرمه‌ای
date	خرمایی
blossom	ارغوانی
арғувон	ارغوان
indigo	نیلی
jasper	یشم
jade	یشمی
swallow	پرستو
duck	اردک
crow	کلاغ
goose	غاز
rooster	خروس
damask	بوقلمون
farmer	کشاورز
nurse	پرستار
writer	نویسنده
artist	هنرمند
mechanic	مکانیک
lawyer	وکیل
tailor	خیاط
politician	سیاستمدار
cook	آشپز
car	ماشین
oil	روغن
beige	بژ
skylark	چکاوک
peacock	طاووس
flat	تخت
تخت	تخت طاووس
owl	بوف
owl	جغد
swan	قو
state	دولت
ritual	سینه زنی
chest	سینه
silver	نقره
silver	نقره‌ای
wrist	مچ
face	صورت
glove	دستکش
Christmas	کریسمس
prisoner	اسیر
maternal aunt	خاله
mama	مامان
Tajikistan	تاجیکستان
speech	گویش
sport	ورزش
al-Qaeda	القاعده
spider	عنکبوت
fly	مگس
divorce	طلاق
foundation	اساس
equality	تساوی
trade	کسب
angel	فرشته
trousers	شلوار
president	رئیس
election	انتخاب
candidate	نامزد
presidency	ریاست
cook	پختن
break	شکستن
broken	شکسته
doll	عروسک
male	لواط
sweat	عرق
Uzbekistan	ازبکستان
عرق	عرق کردن
quiet	آرام
die	مردن
dead	مرده
snow	برف آمدن
fire temple	آتشکده
Hebrew	عبری
straight	راست
quietness	آرامش
spaghetti	اسپاگتی
آب	آب میوه
Coca-Cola	کوکاکولا
beer	آبجو
waterfall	آبشار
wine	شراب
five	پنج
seven	هفت
jeans	جین
thousand	هزار
connected	مربوط
whisky	ویسکی
road	خیابان
German	آلمانی
Spanish	اسپانیولی
Korean	کره‌ای
tank	تانک
truthfully	والله
pavilion	کوشک
essential	فرض
cigarette	سیگار
тайёра	هواپیما
baker	خباز
medicine	دارو
pharmacy	داروخانه
inside	داخل
womanhood	زنی
womanly	زنانه
sultana	سلطانه
alcohol	الکل
driving	رانندگی
ride	راندن
رانندگی	رانندگی کردن
donkey	خر
donkey	الاغ
turtle	لاک‌پشت
squirrel	سنجاب
snail	حلزون
soft	نرم
نرم	نرم‌افزار
hardware	سخت‌افزار
scanner	اسکنر
printer	چاپگر
road	راه
railway	راه‌آهن
Hebrew	عبرانی
Semitic	سامی
restaurant	رستوران
radio	رادیو
flat	آپارتمان
stamp	تمبر
chic	شیک
coat	مانتو
café	کافه
garage	گاراژ
furniture	مبل
old	عتیق
vanilla	وانیل
pizza	پیتزا
traffic	ترافیک
diploma	دیپلم
licence	لیسانس
پوهنتون	دانشگاه
knowledge	دانش
postcard	کارت پستال
ivory	عاج
jacket	ژاکت
tree	درخت
wart	زگیل
earring	گوشواره
tulip	لاله
jelly	ژله
ham	ژامبون
gene	ژن
gesture	ژست
molecule	مولکول
chemistry	شیمی
bad	دژ
haematology	خون‌شناسی
neurology	عصب‌شناسی
nerve	عصب
angry	عصبانی
end	اتمام
circumcision	ختنه
Europe	اروپا
اسکی	اسکی کردن
deceit	گول
spy	جاسوس
espionage	جاسوسی
زمین	زمین خوردن
زندگی	زندگی کردن
live	زیستن
life	زیست
biology	بیولوژی
horizon	افق
horizontal	افقی
زبان	زبان‌شناسی
biochemistry	بیوشیمی
film	فیلم
television	تلویزیون
fear	ترس
fear	ترسیدن
translation	ترجمه
ترجمه	ترجمه کردن
sad	دلتنگ
game	بازی
بازی	بازی کردن
medicine	طب
acupuncture	طب سوزنی
medical	طبی
negative	منفی
skin	پوست
membrane	پوسته
hoopoe	هدهد
zoology	جانورشناسی
animal	جانور
zoologist	جانورشناس
blessed	مبارک
hail	ژاله
phenomenon	پدیده
doctor	طبیب
storm	طوفان
evident	پدید
chance	شانس
wealth	ثروت
senate	سنا
balcony	بالکن
liver	جگر
belly	شکم
barrel	بشکه
virgin	باکره
remaining	مانده
giraffe	زرافه
recent	اخیر
recently	اخیرا
sanctuary	حرم
gymnastics	ژیمناستیک
Turk	تاجیک
official	رسمی
tradition	رسم
Kourosh	کوروش
essence	ذات
inherent	ذاتی
maize	ذرت
student	طلبه
crack	کراک
general	ژنرال
cheap	ارزان
group	گروه
price	قیمت
coup d’état	کودتا
they	آن‌ها
they	ایشان
thanks	سپاس
that	آن
young	جوان
state	جوانی
Sunni	سنی
Shia	شیعه
valuable	قیمتی
tie	کراوات
Israeli	اسرائیلی
Palestinian	فلسطینی
original	اصل
main	اصلی
sausage	سوسیس
shop	مغازه
vaccine	واکسن
condom	کاندوم
lift	آسانسور
liqueur	لیکور
soft drink	نوشابه
drink	نوشیدن
alcoholic	الکلی
someone	کسی
vagina	واژن
vaginal	مهبلی
koala	کوآلا
sky	آسمان
human	آدم
iron	آهن
flour	آرد
آینه	آئینه
آینه	آینه
place	جا
here	اینجا
small	باغچه
bone	استخوان
bony	استخوانی
pear	امرود
goat	بز
vinegar	سرکه
guest	مهمان
bezoar	پادزهر
antidotal	پادزهری
kiss	ماچ
ماچ	ماچ کردن
kiss	بوسه
bourse	بورس
steel	پولاد
sheep	گوسفند
sheep	میش
wadi	وادی
valley	دره
back	پشت
wool	پشم
woollen	پشمی
fuzzy	پشمالو
bald	کچل
eyebrow	ابرو
cabinet	کابینه
light	نور
moonlit	مهتابی
woodpecker	دارکوب
chocolate	شکلات
toucan	توکان
Nepal	نپال
North America	آمریکا
villa	ویلا
mannequin	مانکن
sideboard	بوفه
police officer	آژان
agency	آژانس
alert	آژیر
nylon	نایلون
emergency	اورژانس
sandy	شنی
sand	شن
cushion	کوسن
actor	هنرپیشه
Eve	حوا
lake	دریاچه
dessert	دسر
mistake	اشتباه
اشتباه	اشتباه کردن
ice cream	بستنی
tall	بلند
Satan	شیطان
diabolical	شیطانی
warlike	جنگی
energy	انرژی
but	اما
bangle	النگو
presentation	ارائه
child	کودک
nursery	کودکستان
mind	ذهن
wicked	شرور
help	کمک
کمک	کمک کردن
marine	دریائی
erroneous	اشتباهی
devilry	شیطنت
discussion	بحث
pulse	ضربان
grab	گرفتن
pour	ریختن
hypocrisy	ریا
relation	رابطه
connector	رابط
fundamental	اساسی
beauty spot	خال
pupil	مردمک
needle	سوزن
bunch	خوشه
juicy	شاداب
towel	حوله
devil	اهریمن
Ahrimanic	اهریمنی
breathe	دمیدن
bring	آوردن
acquire	یافتن
see	دیدن
deliver	رساندن
show	نمودن
arrange	آراستن
order	فرمودن
ruin	خراب کردن
pregnant	آبستن
pregnancy	آبستنی
wet	خیس
wet	خیس کردن
wet	خیساندن
method	متد
novel	رمان
sugary	شکری
Gospel	انجیل
lamp	لامپ
piss	شاشیدن
planet	سیاره
biologist	زیست‌شناس
starless	بی‌ستاره
talent	استعداد
camel	شتر
deluxe	لوکس
twenty	بیست
hundred	صد
bomb	بمب
atomic bomb	بمب اتمی
port	بندر
donate	بخشیدن
meteor	شهاب
wash	شستن
labial	لبی
worse	بدتر
sour	ترش
tube	لوله
airport	فرودگاه
physics	فیزیک
interesting	جالب
dusk	غروب
earthy	زمینی
Bahram	بهرام
Mars	مریخ
leaf	برگ
shower	رگبار
shit	گه
papa	پاپا
beard	ریش
bearded	ریشو
dry	خشک
hungry	گرسنه
diplomat	دیپلمات
diplomacy	دیپلماسی
humorous	فکاهی
act	فعل
attribute	صفت
symbol	نماد
کار	کار کردن
tablecloth	سفره
lock	قفل
dish	ظرف
butcher	قصاب
fart	گوزیدن
stew	خورش
pot	دیگ
bottom	ته
basil	ریحان
earthquake	زلزله
Saturn	زحل
Saturn	کیوان
lair	لانه
Muslim	مسلمان
necessary	لازم
or	یا
music	موزیک
packet	پاکت
sugar cane	نیشکر
test	آزمون
sleep	خوابیدن
خواب	خواب رفتن
dream	خواب دیدن
tear	اشک
اشک	اشک ریختن
throw	افکندن
fly	پریدن
cry	گریستن
bear	بردن
bathing	آبتنی
آبتنی	آبتنی کردن
sweeten	شیرین کردن
written	کتبی
still	هنوز
want	خواستن
nail	میخ
wolf	گرگ
jump	پرش
glasses	عینک
before	قبل
conductor	رهبر ارکستر
orchestra	ارکستر
leader	رهبر
create	آفریدن
suppose	انگاشتن
close	بستن
basketball	بسکتبال
put on	پوشیدن
arrive	رسیدن
شنا	شنا کردن
knot	گره
make	ساختن
building	ساختمان
sex	سکس
sexy	سکسی
news	خبر
stellar	اختری
because	چون
something	چیزی
virtue	تقوا
virus	ویروس
viral	ویروسی
vitamin	ویتامین
antidote	تریاک
hashish	حشیش
hashish	بنگ
lost	گم
lose	گم کردن
experimental	تجربی
darkness	تاریکی
case	پرونده
political	سیاسی
glaze	مینا
servitude	بندگی
delight	ناز
asparagus	مارچوبه
bungalow	بنگله
coral	مرجان
beautiful	جمیل
shampoo	شامپو
horn	شاخ
branch	شاخه
unicorn	تک‌شاخ
feeling	احساس
feel	احساس کردن
normal	عادی
summery	تابستانی
wintry	زمستانی
autumn	پاییز
autumnal	پاییزی
omen	فال
سازمان	سازمان
organisational	سازمانی
sustenance	روزی
oasis	واحه
complete	کامل
complete	کامل کردن
discoverer	کاشف
wine	باده
tile	کاشی
bit	خرده
constant	ثابت
fruit	ثمر
firmness	ثبات
outside	خارج
foreign	خارجی
foreign	خارجه
booklet	کتابچه
انتخاب	انتخاب کردن
halo	هاله
abacus	چرتکه
bow	کمان
coriander	گشنیز
compote	کمپوت
tarragon	ترخون
crude	خام
Armenian	ارمنی
Georgia	گرجستان
falafel	فلافل
Finland	فنلاند
cloak	عبا
bandage	بانداژ
sugar cube	قند
Sufi	صوفی
Sufism	صوفیه
army	لشکر
military	لشکری
limp	لنگیدن
candle	شمع
now	حالا
party	مهمانی
biscuit	بیسکویت
Safavid	صفویه
Catholic	کاتولیک
Christianity	مسیحیت
messiah	مسیح
Christian	مسیحی
cement	سیمان
carton	کارتن
guitar	گیتار
deep	ژرف
half	نصف
stair	پله
coat	پالتو
countryside	ییلاق
yoke	یوغ
adverbial	ظرفی
hunger	گرسنگی
flagrancy	وقاحت
one	یکی
sixty	شصت
ninety	نود
fifty	پنجاه
forty	چهل
seventy	هفتاد
eighty	هشتاد
two hundred	دویست
million	میلیون
nationalists	ملیون
park	پارک
car park	پارکینگ
cartoon	کارتون
visa	ویزا
carpet	موکت
CD	سیدی
chair	صندلی
college	کالج
colorful	رنگی
better	بهتر
deep	عمیق
cold	سرد
taste	چشیدن
send	فرستادن
messenger	فرستاده
marriage	ازدواج
ازدواج	ازدواج کردن
slaughter	ذبح
jail	زندان
prisoner	زندانی
jailer	زندانبان
neural	عصبی
SAVAK	ساواک
fate	تقدیر
holly	راج
treasure	گنج
sura	سوره
tonsil	بادامک
tonsil	لوزه
scientific	علمی
tutorship	معلمی
century	قرن
lout	لات
dig	کندن
remain	ماندن
remaining	ماندنی
roguishness	لاتی
synagogue	کنیسه
prophet	پیامبر
time	گاه
architecture	معماری
architect	معمار
lipstick	ماتیک
subtraction	تفریق
brick	آجر
alloy	آلیاژ
Islam	مکه
philosophy	فلسفه
brain	مغز
breakfast	صبحانه
god	یزدان
kerchief	لچک
sharp	حاد
corpse	لاش
beautiful	خوشگل
dressmaking	خیاطی
beauty	خوشگلی
god	ایزد
divine	ایزدی
free	عاری
vodka	ودکا
origami	اریگامی
judo	جودو
soup	سوپ
cutlet	کتلت
line	رژه
grave	قبر
dying	مردنی
carrion	مردار
slaughter	سلاخی
big	کلان
toy	بازیچه
name	نامیدن
tourist	توریست
technology	تکنولوژی
Uganda	اوگاندا
border	حاشیه
infinitive	مصدر
sulphur	گوگرد
sulfuric	گوگردی
touristy	توریستی
correct	درست
vocal	آوازی
galaxy	کهکشان
geography	جغرافی
geography	جغرافیا
fact	حقیقت
literary	ادبی
daf	دف
suppository	شیاف
sting	نیش
scorpion	کژدم
Zambia	زامبیا
physical	فیزیکی
toilet	توالت
crocodile	نهنگ
motor	موتور
key	کلید
terrace	تراس
goodbye	بدرود
wing	بال
lamb	بره
nation	ملت
affair	امر
normal	معمول
terrorist	تروریست
cup	فنجان
change	تحول
cardiac	قلبی
art	هنر
straight	مستقیم
jam	مربا
beech	زان
grandchild	نوه
childhood	کودکی
eloquent	شیوا
economic	اقتصادی
pillow	بالش
tractor	تراکتور
taxi	تاکسی
thirst	تشنگی
thirsty	تشنه
muteness	لالی
Jewish	یهودی
syringe	سرنگ
dew	شبنم
platform	سکو
star	تارا
moisture	نم
urinary	ادراری
sharp	تیز
sandwich	ساندویچ
fork	چنگال
toad	وزغ
hesitant	دودل
hesitation	دودلی
French	فرانسوی
Irish	ایرلندی
Celtic	سلتی
triangle	مثلث
triangular	مثلثی
oxygen	اکسیژن
tin	قلع
carbon	کربن
copper	مس
radon	رادون
manifestation	مظهر
metal	فلز
massage	ماساژ
change	تغییر
nitrogen	نیتروژن
phosphorus	فسفر
on foot	پیاده
minister	وزیر
equine	اسبی
opera	اپرا
slow	یواش
lantern	فانوس
coastal	ساحلی
hill	تپه
corpse	نعش
list	فهرست
fatwa	فتوا
killing	قتل
slaughter	کشتار
abattoir	مسلخ
dollar	دلار
euro	یورو
common	مشترک
bare	برهنه
number	شماره
leather	چرم
leather	چرمی
dynasty	دودمان
dynastic	دودمانی
آدم	آدم برفی
snowy	برفی
socialism	سوسیالیسم
social	اجتماعی
target	هدف
production	تولید
cool	خنک
office	اداره
hut	کلبه
calamity	آفت
accident	تصادف
religious	شرع
acid	اسید
rainy	بارانی
fire	حریق
sponge	اسفنج
row	رده
cupboard	قفسه
cubic	مکعب
backgammon	نرد
kite	بادبادک
shadow	سایه
praying mantis	آخوندک
stomach	معده
ask	پرسیدن
job	شغل
thigh	ران
sad	غمگین
sadness	غمگینی
prayer	دعا
perfection	کمال
farmer	دهقان
plan	طرح
sailor	ملاح
conversation	گفتگو
disturbed	مختل
confuse	مختل کردن
next	بعدی
worldwide	جهانی
tune	آهنگ
Norway	نروژ
Thailand	تایلند
Karbala	کربلا
New Zealand	زلاند نو
decision	تصمیم
printing	چاپ
چاپ	چاپ کردن
agreement	رضا
activity	فعالیت
armed	مسلحانه
Iraqi	عراقی
fighter	مبارز
маънӣ	معنی
position	موضع
ministry	وزارت
force	نیرو
behaviour	رفتار
departing	رفتنی
Lebanese	لبنانی
ayatollah	آیت‌الله
۱	دوازده
sociology	جامعه‌شناسی
ҷомеъа	جامعه
sociologist	جامعه‌شناس
haram	حرام
justice	عدل
زندگی	زندگی‌نامه
Croatia	کرواسی
seminar	سمینار
electron	الکترون
quark	کوارک
photon	فوتون
neutron	نوترون
