August	august
sleeve	varrukas
memory	mälu
eagle	kotkas
loss	kahjum
fire	kahjutuli
grief	lein
hotel	hotell
hooligan	huligaan
warning	hoiatus
nature	loodus
North Star	Põhjanael
north pole	põhjanaba
burn	põlema
burn	põletama
editor	toimetaja
angel	ingel
gem	kalliskivi
miller	mölder
sinful	patune
chorus	refrään
circus	tsirkus
knight	rüütel
chivalrous	rüütellik
Crusade	ristisõda
Crusade	ristiretk
cloudless	pilvitu
large	suur
ash	tuhk
match	tuletikk
volcano	tulemägi
volcano	vulkaan
dandelion	võilill
dwarf	kääbus
scissors	käärid
armpit	kaenal
draughts	kabe
well	kaev
hoof	kabi
tie	kaelaside
giraffe	kaelkirjak
expert	asjatundja
Atlandi	Atlandi ookean
ocean	ookean
atlas	atlass
ore	maak
west	lääs
previous	eelmine
property	omand
dust	põrm
weapon	relv
religion	religioon
bush	puhmas
percent	protsent
prose	proosa
parasite	parasiit
best	parim
half-moon	poolkuu
semiconductor	pooljuht
peninsula	poolsaar
continent	maailmajagu
rope	köis
globe	maakera
dialect	murrak
oasis	oaas
auction	oksjon
invention	leiutis
pilot	lendur
distribution	levik
werewolf	libahunt
park	puiestik
verb	pöördsõna
drug	ravim
radish	redis
ice cream	jäätis
ice age	jääaeg
bulldozer	buldooser
boycott	boikott
botany	botaanika
eel	angerjas
building	ehitis
thirst	janu
railway station	jaam
camel	kaamel
tumor	kasvaja
tumor	tuumor
polar bear	jääkaru
winner	võitja
finish	finiš
grimace	grimass
hunger	nälg
Dorotea	Tiia
Eve	Eeva
dangerous	ohtlik
skin	nülgima
rich	rikastuma
sandal	sandaal
charm	sarm
sauna	saun
soup	supp
gender	sugupool
product	toode
elephant	elevant
symptom	sümptom
justice	õigus
peck	nokkima
nettle	nõges
throat	neel
aged	eakas
dynamo	dünamo
façade	fassaad
divination	ettekuulutus
first aid	esmaabi
firstborn	esiklaps
lastborn	pesamuna
Matthew	Matteus
Matthias	Mattias
Mark	Marko
construction site	objekt
baby	beebi
ballet	balett
ballerina	baleriin
concrete	betoon
biology	bioloogia
biscuit	biskviit
banal	banaalne
fatherhood	isadus
command	käsklus
threshold	künnis
cypress	küpress
military	laatsaret
shovel	labidas
devastate	laastama
bride	mõrsja
museum	muuseum
mummy	muumia
musician	muusik
music	muusika
seller	müüja
own	omama
now	nüüd
lynch	lintšima
glacier	liustik
principle	printsiip
privilege	privileeg
portrait	portree
program	programm
priest	preester
spinach	spinat
length	pikkus
liar	valetaja
spy	spioneerima
jargon	žargoon
gelatine	želatiin
gesture	žest
journal	žurnaal
journalist	žurnalist
jury	žürii
zoology	zooloogia
chocolate	šokolaad
chance	šanss
shampoo	šampoon
mineshaft	šaht
Scottish	šoti
jackal	šaakal
fabric	kude
technology	tehnika
Paul	Paulus
hi	tsau
devil	kurat
laugh	naer
syrup	siirup
wing	tiib
snail	tigu
mark	märgend
lentil	lääts
threshold	lävi
sugary	läila
wrestle	maadlema
western	läänelik
blueberry	mustikas
paddle	mõla
change	muudatus
light	kerge
beg	kerjama
hook	kida
middle age	keskiga
throne	troon
jail	vangla
blonde	blondiin
depression	depressioon
brunette	brünett
infection	nakkus
egoistic	egoistlik
numeral	arvsõna
copious	arvukas
atmosphere	atmosfäär
courier	käskjalg
bullseye	otsetabamus
tar	tõrv
mill	veski
Jonah	Joona
act	akt
-al	-ne
jumper	džemper
image	imidž
bank	pank
defence	kaitse
attribute	tunnus
kill	surmama
Gerhard	Gert
blow	puhuma
Ivor	Ivar
thug	patsaan
wood	puit
Sarah	Saara
harsh	karm
paw	käpp
roe	kalamari
close	sulgema
equator	ekvaator
tail	saba
comet	komeet
deciduous	lehtpuu
bat	nahkhiir
Siberia	Siber
heath	nõmm
witch	nõid
fly	lendama
pillar	sammas
mineralogy	mineraloogia
alcoholism	alkoholism
pain	valu
metro	metroo
caramel	karamell
article	punkt
class	klass
beauty	ilu
put	panema
chaplain	kaplan
Luke	Luukas
Jonah	Joonas
literature	literatuur
ridge	seljak
Joseph	Joosep
Rudolph	Ruut
Tartu	TÜ
custom	tava
dictionary	sõnaraamat
Transylvania	Transilvaania
sexual intercourse	nuss
darn	pagana
get	saama
Philip	Filippus
yeast	pärm
yeast	pärmseened
Soviet Union	Nõukogude Liit
spring	kevad
die	surema
moss	kold
kantele	kannel
Kyrgyzstan	Kõrgõzstan
cuckoo	kägu
falcon	pistrik
word	sõna
bare	paljas
friend	sõber
sexism	seksism
back	selg
eye doctor	silmaarst
eyeball	silmamuna
pupil	silmatera
relation	suhe
birthday	sünnipäev
want	soovima
dove	tuvi
constellation	tähtkuju
present	tänapäev
empty	tühi
cell	türm
effective	efektiivne
nor	ega
a.k.a.	ehk
ejaculation	ejakulatsioon
bud	eos
live	elama
grab	haarama
start	hakkama
ring	helistama
sound	heli
composer	helilooja
key	helilaad
sound wave	helilaine
interesting	huvitav
silver	hõbedane
fir	hõbekuusk
silver medal	hõbemedal
silver fox	hõberebane
vote	hääletama
voice	hääl
seal	hüljes
daily	igapäevane
beautiful	ilus
mankind	inimkond
ion	ioon
interview	intervjuu
irrational	irratsionaalne
irrationality	irratsionaalsus
fatherland	isamaa
midsummer	jaanipäev
midsummer	jaanituli
glowworm	jaaniuss
drinking water	joogivesi
Christmas present	jõulukink
Christmas Eve	jõululaupäev
Father Christmas	jõulumees
panic	paanika
couple	paarituma
polysaccharide	polüsahhariid
polyester	polüester
polyethene	polüeteen
police	politsei
at the moment	praegu
current	praegune
sebum	rasu
sebaceous gland	rasunääre
liposuction	rasvaimu
fat	rasv
iron	raudne
railway	raudtee
hospital	haigla
sick	haige
grave	haud
good	hea
throw	heitma
moment	hetk
season	hooaeg
lip	huul
conquer	hõivama
plane	höövel
plane	hööveldama
jump	hüpe
marionette	hüpiknukk
