maggot	𐌼𐌰𐌸𐌰
mouth	𐌼𐌿𐌽𐌸𐍃
people	𐌸𐌹𐌿𐌳𐌰
pig	𐍃𐍅𐌴𐌹𐌽
fire	𐍆𐍉𐌽
wood	𐍄𐍂𐌹𐌿
tree	𐌱𐌰𐌲𐌼𐍃
stone	𐍃𐍄𐌰𐌹𐌽𐍃
hair	𐍄𐌰𐌲𐌻
foot	𐍆𐍉𐍄𐌿𐍃
disease	𐍅𐌿𐌽𐌳𐌿𐍆𐌽𐌹
seat	𐍃𐌹𐍄𐌻𐍃
boat	𐍃𐌺𐌹𐍀
shadow	𐍃𐌺𐌰𐌳𐌿𐍃
fish	𐍆𐌹𐍃𐌺𐍃
voice	𐍃𐍄𐌹𐌱𐌽𐌰
twelve	𐍄𐍅𐌰𐌻𐌹𐍆
hand	𐌷𐌰𐌽𐌳𐌿𐍃
's	𐌰𐍆
star	𐍃𐍄𐌰𐌹𐍂𐌽𐍉
eat	𐌹𐍄𐌰𐌽
bread	𐌷𐌻𐌰𐌹𐍆𐍃
earth	𐌰𐌹𐍂𐌸𐌰
shortsword	𐌼𐌴𐌺𐌴𐌹𐍃
four	𐍆𐌹𐌳𐍅𐍉𐍂
sheepfold	𐌰𐍅𐌹𐍃𐍄𐍂
ten	𐍄𐌰𐌹𐌷𐌿𐌽
tongue	𐍄𐌿𐌲𐌲𐍉
come	𐌵𐌹𐌼𐌰𐌽
field	𐌰𐌺𐍂𐍃
lily	𐌱𐌻𐍉𐌼𐌰
old	𐍃𐌹𐌽𐌴𐌹𐌲𐍃
sacrifice	𐍃𐌰𐌿𐌸𐍃
your	𐌸𐌴𐌹𐌽𐍃
where	𐍈𐌰𐍂
son	𐍃𐌿𐌽𐌿𐍃
debt	𐌳𐌿𐌻𐌲𐍃
market	𐌼𐌰𐌸𐌻
keep	𐍆𐌰𐍃𐍄𐌰𐌽
property	𐍆𐌰𐌹𐌷𐌿
bear	𐌱𐌰𐌹𐍂𐌰𐌽
knee	𐌺𐌽𐌹𐌿
heritage	𐌰𐍂𐌱𐌹
honey	𐌼𐌹𐌻𐌹𐌸
Caesar	𐌺𐌰𐌹𐍃𐌰𐍂
doctor	𐌻𐌴𐌺𐌴𐌹𐍃
servant	𐌸𐌹𐌿𐍃
goat	𐌲𐌰𐌹𐍄𐍃
breastplate	𐌱𐍂𐌿𐌽𐌾𐍉
camel	𐌿𐌻𐌱𐌰𐌽𐌳𐌿𐍃
rich	𐌲𐌰𐌱𐌹𐌲𐍃
heal	𐌻𐌴𐌺𐌹𐌽𐍉𐌽
coin	𐌺𐌹𐌽𐍄𐌿𐍃
ark	𐌰𐍂𐌺𐌰
vinegar	𐌰𐌺𐌴𐌹𐍄
fox	𐍆𐌰𐌿𐌷𐍉
six	𐍃𐌰𐌹𐌷𐍃
grandmother	𐌰𐍅𐍉
door	𐌳𐌰𐌿𐍂
beaker	𐍃𐍄𐌹𐌺𐌻𐍃
I	𐌹𐌺
thou	𐌸𐌿
winter	𐍅𐌹𐌽𐍄𐍂𐌿𐍃
ear	𐌰𐌷𐍃
possessions	𐌰𐌹𐌷𐍄𐍃
brass	𐌰𐌹𐌶
oath	𐌰𐌹𐌸𐍃
generation	𐌰𐌻𐌳𐍃
grace	𐌰𐌽𐍃𐍄𐍃
labour	𐌰𐍂𐌱𐌰𐌹𐌸𐍃
ear	𐌰𐌿𐍃𐍉
blood	𐌱𐌻𐍉𐌸
breast	𐌱𐍂𐌿𐍃𐍄𐍃
bride	𐌱𐍂𐌿𐌸𐍃
castle	𐌱𐌰𐌿𐍂𐌲𐍃
part	𐌳𐌰𐌹𐌻𐍃
participation	𐌳𐌰𐌹𐌻𐌰
death	𐌳𐌰𐌿𐌸𐌿𐍃
wild	𐌳𐌹𐌿𐍃
judgement	𐌳𐍉𐌼𐍃
clay	𐍆𐌰𐌽𐌹
finger	𐍆𐌹𐌲𐌲𐍂𐍃
colt	𐍆𐌿𐌻𐌰
be able	𐌺𐌿𐌽𐌽𐌰𐌽
useful	𐌳𐌿𐌲𐌰𐌽
need	𐌸𐌰𐌿𐍂𐌱𐌰𐌽
dare	𐌲𐌰𐌳𐌰𐌿𐍂𐍃𐌰𐌽
owe	𐍃𐌺𐌿𐌻𐌰𐌽
wife	𐌵𐌴𐌽𐍃
but	𐌰𐌸𐌸𐌰𐌽
we	𐍅𐌴𐌹𐍃
you	𐌾𐌿𐍃
we	𐍅𐌹𐍄
you	𐌾𐌿𐍄
my	𐌼𐌴𐌹𐌽𐍃
us	𐌿𐌲𐌺𐌰𐍂
you	𐌹𐌲𐌵𐌰𐍂
our	𐌿𐌽𐍃𐌰𐍂
your	𐌹𐌶𐍅𐌰𐍂
in	𐌹𐌽
dip	𐌳𐌰𐌿𐍀𐌾𐌰𐌽
that	𐍃𐌰
go	𐌲𐌰𐌲𐌲𐌰𐌽
from	𐍆𐍂𐌰𐌼
there	𐌸𐌰𐍂
ask	𐍆𐍂𐌰𐌹𐌷𐌽𐌰𐌽
stand	𐍃𐍄𐌰𐌽𐌳𐌰𐌽
remain	𐌱𐌹𐌻𐌴𐌹𐌱𐌰𐌽
wait	𐌱𐌴𐌹𐌳𐌰𐌽
bite	𐌱𐌴𐌹𐍄𐌰𐌽
drive	𐌳𐍂𐌴𐌹𐌱𐌰𐌽
cider	𐌻𐌴𐌹𐌸𐌿
while	𐌸𐌰𐌽𐌳𐌴
who	𐍈𐌰𐍃
which	𐍈𐌰𐍂𐌾𐌹𐍃
which	𐍈𐌰𐌸𐌰𐍂
separate	𐌲𐌰𐌰𐌹𐌽𐌰𐌽
shield	𐍃𐌺𐌹𐌻𐌳𐌿𐍃
against	𐍅𐌹𐌸𐍂𐌰
under	𐌿𐌽𐌳𐌰𐍂
through	𐌸𐌰𐌹𐍂𐌷
together	𐌼𐌹𐌸
along	𐌰𐌽𐌳
before	𐍆𐌰𐌿𐍂
without	𐌹𐌽𐌿
to	𐌳𐌿
out of	𐌿𐍃
before	𐍆𐌰𐌿𐍂𐌰
close to	𐌽𐌴𐍈𐌰
far away	𐍆𐌰𐌹𐍂𐍂𐌰
under	𐌿𐌽𐌳𐌰𐍂𐍉
𐌱𐌰𐍄𐌹𐌶𐌰	𐌲𐍉𐌸𐍃
middle	𐌼𐌹𐌳𐌾𐌹𐍃
wild	𐍅𐌹𐌻𐌸𐌴𐌹𐍃
clean	𐌷𐍂𐌰𐌹𐌽𐍃
hard	𐌷𐌰𐍂𐌳𐌿𐍃
have	𐌷𐌰𐌱𐌰𐌽
full	𐍆𐌿𐌻𐌻𐌽𐌰𐌽
become	𐍅𐌰𐌹𐍂𐌸𐌰𐌽
then	𐌸𐌰𐌽
that	𐌾𐌰𐌹𐌽𐍃
run	𐍂𐌹𐌽𐌽𐌰𐌽
decree	𐌲𐌰𐌲𐍂𐌴𐍆𐍄𐍃
Augustus	𐌰𐌲𐌿𐍃𐍄𐌿𐍃
write	𐌼𐌴𐌻𐌾𐌰𐌽
all	𐌰𐌻𐌻𐍃
ecumene	𐌼𐌹𐌳𐌾𐌿𐌽𐌲𐌰𐍂𐌳𐍃
yard	𐌲𐌰𐍂𐌳𐍃
that	𐍃𐌰𐌷
who	𐍃𐌰𐌴𐌹
tax	𐌲𐌹𐌻𐍃𐍄𐍂𐌰𐌼𐌴𐌻𐌴𐌹𐌽𐍃
first	𐍆𐍂𐌿𐌼𐌹𐍃𐍄𐍃
at	𐌰𐍄
governor	𐌺𐌹𐌽𐌳𐌹𐌽𐍃
Syria	𐍃𐍅𐍂𐌹𐌰
rule	𐍂𐌰𐌲𐌹𐌽𐍉𐌽
Syrian	𐍃𐌰𐌿𐍂
Quirinius	𐌺𐍅𐍂𐌴𐌹𐌽𐌰𐌹𐌿𐍃
and	𐌾𐌰𐌷
but	𐌹𐌸
and	-𐌿𐌷
that	𐌴𐌹
each	𐍈𐌰𐍂𐌾𐌹𐌶𐌿𐌷
each	𐍈𐌰𐌸𐌰𐍂𐌿𐌷
each	𐍈𐌰𐌶𐌿𐌷
Joseph	𐌹𐍉𐍃𐌴𐍆
better	𐌱𐌰𐍄𐌹𐌶𐌰
best	𐌱𐌰𐍄𐌹𐍃𐍄𐍃
small	𐌻𐌴𐌹𐍄𐌹𐌻𐍃
smaller	𐌼𐌹𐌽𐌽𐌹𐌶𐌰
smallest	𐌼𐌹𐌽𐌽𐌹𐍃𐍄𐍃
large	𐌼𐌹𐌺𐌹𐌻𐍃
greater	𐌼𐌰𐌹𐌶𐌰
greatest	𐌼𐌰𐌹𐍃𐍄𐍃
bad	𐌿𐌱𐌹𐌻𐍃
worse	𐍅𐌰𐌹𐍂𐍃𐌹𐌶𐌰
worst	𐍅𐌰𐌹𐍂𐍃𐌹𐍃𐍄𐍃
one	𐌰𐌹𐌽𐍃
two	𐍄𐍅𐌰𐌹
three	𐌸𐍂𐌴𐌹𐍃
five	𐍆𐌹𐌼𐍆
eight	𐌰𐌷𐍄𐌰𐌿
nine	𐌽𐌹𐌿𐌽
former	𐍆𐍂𐌿𐌼𐌰
other	𐌰𐌽𐌸𐌰𐍂
third	𐌸𐍂𐌹𐌳𐌾𐌰
sixth	𐍃𐌰𐌹𐌷𐍃𐍄𐌰
eighth	𐌰𐌷𐍄𐌿𐌳𐌰
ninth	𐌽𐌹𐌿𐌽𐌳𐌰
tenth	𐍄𐌰𐌹𐌷𐌿𐌽𐌳𐌰
thousand	𐌸𐌿𐍃𐌿𐌽𐌳𐌹
hundred	𐌷𐌿𐌽𐌳
go	𐌿𐍂𐍂𐌹𐌽𐌽𐌰𐌽
self	𐍃𐌹𐌻𐌱𐌰
same	𐍃𐌰𐌼𐌰
many	𐌼𐌰𐌽𐌰𐌲𐍃
some	𐍃𐌿𐌼𐍃
such	𐍃𐍅𐌰𐌻𐌴𐌹𐌺𐍃
full	𐍆𐌿𐌻𐌻𐍃
half	𐌷𐌰𐌻𐌱𐍃
what	𐍈𐌹𐌻𐌴𐌹𐌺𐍃
onto	𐌰𐌽𐌰
after	𐌰𐍆𐌰𐍂
near	𐌱𐌹
behind	𐌷𐌹𐌽𐌳𐌰𐍂
under	𐌿𐍆
over	𐌿𐍆𐌰𐍂
over	𐌿𐍆𐌰𐍂𐍉
apart	𐌳𐌹𐍃-
intensify	𐍆𐌰𐌹𐍂-
perfectivity	𐌲𐌰-
un-	𐌿𐌽-
spare	𐌷𐌻𐌴𐌹𐌱𐌾𐌰𐌽
here	𐌷𐌴𐍂
hither	𐌷𐌹𐌳𐍂𐌴
out	𐌿𐍄
outside	𐌿𐍄𐌰
in	𐌹𐌽𐌽
within	𐌹𐌽𐌽𐌰
from	𐌹𐌽𐌽𐌰𐌸𐍂𐍉
from	𐌹𐌽𐌽𐌰𐌽𐌰
well	𐍅𐌰𐌹𐌻𐌰
much	𐍆𐌹𐌻𐌿
other	𐌰𐌻𐌾𐌹𐍃
but	𐌰𐌺
over there	𐌾𐌰𐌹𐌽𐌰𐍂
now	𐌽𐌿
so	𐍃𐍅𐌰
like	𐍃𐍅𐌴
elsewhere	𐌰𐌻𐌾𐌰𐍂
anywhere	𐍈𐌰𐍂𐌿𐌷
yes	𐌾𐌰
not	𐌽𐌹
woe	𐍅𐌰𐌹
early	𐌰𐌹𐍂
for	𐌰𐌿𐌺
greatly	𐍆𐌹𐌻𐌰𐌿𐍃
near	𐌽𐌴𐍈
father	𐌰𐌱𐌱𐌰
very	𐌰𐌱𐍂𐌰𐌱𐌰
-ly	-𐌱𐌰
interrogative	-𐌿
scare	𐌰𐍆𐌰𐌲𐌾𐌰𐌽
off	𐌰𐍆-
renounce	𐌰𐍆𐌰𐌹𐌺𐌰𐌽
severe	𐌰𐌱𐍂𐍃
misguide	𐌰𐍆𐌰𐌹𐍂𐌶𐌾𐌰𐌽
delude	𐌰𐌹𐍂𐌶𐌾𐌰𐌽
descendant	𐌰𐍆𐌰𐍂𐌰
morrow	𐌰𐍆𐌰𐍂𐌳𐌰𐌲𐍃
go after	𐌰𐍆𐌰𐍂𐌲𐌰𐌲𐌲𐌰𐌽
aspect	𐌷𐌰𐌻𐌱𐌰𐌹
calm	𐍅𐌹𐍃
baptist	𐌳𐌰𐌿𐍀𐌾𐌰𐌽𐌳𐍃
true	𐍄𐍂𐌹𐌲𐌲𐍅𐍃
set	𐍃𐌰𐍄𐌾𐌰𐌽
increase	𐌰𐌿𐌺𐌰𐌽
child	𐌱𐌰𐍂𐌽
give	𐌲𐌹𐌱𐌰𐌽
word	𐍅𐌰𐌿𐍂𐌳
shepherd	𐌷𐌰𐌹𐍂𐌳𐌴𐌹𐍃
kin	𐌺𐌿𐌽𐌹
fetter	𐌱𐌰𐌽𐌳𐌹
girl	𐌼𐌰𐍅𐌹
guest	𐌲𐌰𐍃𐍄𐍃
teaching	𐌻𐌰𐌹𐍃𐌴𐌹𐌽𐍃
prisoner	𐌱𐌰𐌽𐌳𐌾𐌰
hold	𐌷𐌰𐌻𐌳𐌰𐌽
catch	𐍆𐌰𐌷𐌰𐌽
sleep	𐍃𐌻𐌴𐍀𐌰𐌽
more	𐌷𐌰𐌻𐌳𐌹𐍃
let	𐌻𐌴𐍄𐌰𐌽
weep	𐌲𐍂𐌴𐍄𐌰𐌽
touch	𐍄𐌴𐌺𐌰𐌽
sow	𐍃𐌰𐌹𐌰𐌽
blow	𐍅𐌰𐌹𐌰𐌽
think	𐌸𐌰𐌲𐌺𐌾𐌰𐌽
gnash	𐌺𐍂𐌹𐌿𐍃𐍄𐌰𐌽
tower	𐌺𐌴𐌻𐌹𐌺𐌽
lamp	𐌻𐌿𐌺𐌰𐍂𐌽
Greek	𐌺𐍂𐌴𐌺𐍃
income	𐌰𐌽𐌽𐍉
jug	𐌰𐌿𐍂𐌺𐌾𐌿𐍃
sole	𐍃𐌿𐌻𐌾𐌰
line	𐍃𐍄𐍂𐌹𐌺𐍃
Thomas	𐌸𐍉𐌼𐌰𐍃
Timothy	𐍄𐌴𐌹𐌼𐌰𐌿𐌸𐌰𐌹𐌿𐍃
Solomon	𐍃𐌰𐌿𐌻𐌰𐌿𐌼𐍉𐌽
Simon	𐍃𐌴𐌹𐌼𐍉𐌽
Peter	𐍀𐌰𐌹𐍄𐍂𐌿𐍃
Paul	𐍀𐌰𐍅𐌻𐌿𐍃
Moses	𐌼𐍉𐍃𐌴𐍃
Mary	𐌼𐌰𐍂𐌾𐌰
Mark	𐌼𐌰𐍂𐌺𐌿𐍃
Martha	𐌼𐌰𐍂𐌸𐌰
John	𐌹𐍉𐌷𐌰𐌽𐌽𐌴𐍃
Gabriel	𐌲𐌰𐌱𐍂𐌹𐌴𐌻
Philip	𐍆𐌹𐌻𐌹𐍀𐍀𐌿𐍃
David	𐌳𐌰𐍅𐌴𐌹𐌳
Anna	𐌰𐌽𐌽𐌰
Andrew	𐌰𐌽𐌳𐍂𐌰𐌹𐌰𐍃
Elizabeth	𐌰𐌹𐌻𐌴𐌹𐍃𐌰𐌱𐌰𐌹𐌸
Abraham	𐌰𐌱𐍂𐌰𐌷𐌰𐌼
son-in-law	𐌼𐌴𐌲𐍃
month	𐌼𐌴𐌽𐍉𐌸𐍃
multitude	𐌼𐌰𐌽𐌰𐌲𐌴𐌹
orchard	𐌰𐌿𐍂𐍄𐌹𐌲𐌰𐍂𐌳𐍃
god	𐌲𐌿𐌸
beginning	𐍆𐍂𐌿𐌼
bear	𐌲𐌰𐌱𐌰𐌹𐍂𐌰𐌽
king	𐌸𐌹𐌿𐌳𐌰𐌽𐍃
find	𐌱𐌹𐌲𐌹𐍄𐌰𐌽
access	𐌰𐍄𐌲𐌰𐌲𐌲𐌰𐌽
lift	𐌷𐌰𐍆𐌾𐌰𐌽
Sun	𐍃𐌰𐌿𐌹𐌻
take	𐌳𐌹𐍃𐌷𐌰𐌱𐌰𐌽
hold	𐌲𐌰𐌷𐌰𐌱𐌰𐌽
land	𐌻𐌰𐌽𐌳
happen	𐌲𐌰𐌳𐌰𐌱𐌰𐌽
shave	𐍃𐌺𐌰𐌱𐌰𐌽
hew	𐌲𐌰𐌳𐍂𐌰𐌱𐌰𐌽
put to death	𐌰𐍆𐌳𐌰𐌿𐌸𐌾𐌰𐌽
condemn	𐌰𐍆𐌳𐍉𐌼𐌾𐌰𐌽
cast	𐌰𐍆𐌳𐍂𐌰𐌿𐍃𐌾𐌰𐌽
wipe	𐌰𐍆𐌷𐍂𐌰𐌹𐌽𐌾𐌰𐌽
lay	𐌰𐍆𐌻𐌰𐌲𐌾𐌰𐌽
relinquish	𐌰𐍆𐌻𐌴𐍄𐌰𐌽
cut	𐌰𐍆𐌼𐌰𐌹𐍄𐌰𐌽
take	𐌰𐍆𐌽𐌹𐌼𐌰𐌽
set	𐌰𐍆𐍃𐌰𐍄𐌾𐌰𐌽
separate	𐌰𐍆𐍃𐌺𐌰𐌹𐌳𐌰𐌽
amazed	𐌰𐍆𐍃𐌻𐌰𐌿𐌸𐌽𐌰𐌽
pull	𐌰𐍆𐍄𐌹𐌿𐌷𐌰𐌽
cast	𐌰𐍆𐍅𐌰𐌹𐍂𐍀𐌰𐌽
turn	𐌰𐍆𐍅𐌰𐌽𐌳𐌾𐌰𐌽
wash	𐌰𐍆𐌸𐍅𐌰𐌷𐌰𐌽
choke	𐌰𐍆𐍈𐌰𐍀𐌾𐌰𐌽
add	𐌰𐌽𐌰𐌰𐌿𐌺𐌰𐌽
entrust	𐌰𐌽𐌰𐍆𐌹𐌻𐌷𐌰𐌽
bend	𐌰𐌽𐌰𐌷𐌽𐌴𐌹𐍅𐌰𐌽
lie	𐌰𐌽𐌰𐌺𐌿𐌼𐌱𐌾𐌰𐌽
write	𐌰𐌽𐌰𐌼𐌴𐌻𐌾𐌰𐌽
compel	𐌰𐌽𐌰𐌽𐌰𐌿𐌸𐌾𐌰𐌽
compel	𐌰𐌽𐌰𐌵𐌹𐌿𐌾𐌰𐌽
serve	𐌰𐌽𐌳𐌱𐌰𐌷𐍄𐌾𐌰𐌽
bite	𐌰𐌽𐌳𐌱𐌴𐌹𐍄𐌰𐌽
unbind	𐌰𐌽𐌳𐌱𐌹𐌽𐌳𐌰𐌽
reply	𐌰𐌽𐌳𐌷𐌰𐍆𐌾𐌰𐌽
acknowledge	𐌰𐌽𐌳𐌷𐌰𐌹𐍄𐌰𐌽
uncover	𐌰𐌽𐌳𐌷𐌿𐌻𐌾𐌰𐌽
released	𐌰𐌽𐌳𐌻𐌴𐍄𐌽𐌰𐌽
accept	𐌰𐌽𐌳𐌽𐌹𐌼𐌰𐌽
farewell	𐌰𐌽𐌳𐌵𐌹𐌸𐌰𐌽
pay	𐌰𐌽𐌳𐍃𐌰𐌻𐌾𐌰𐌽
stand	𐌰𐌽𐌳𐍃𐍄𐌰𐌽𐌳𐌰𐌽
show	𐌰𐍄𐌰𐌿𐌲𐌾𐌰𐌽
bring	𐌰𐍄𐌱𐌰𐌹𐍂𐌰𐌽
give	𐌰𐍄𐌲𐌹𐌱𐌰𐌽
lift	𐌰𐍄𐌷𐌰𐍆𐌾𐌰𐌽
set	𐌰𐍄𐍃𐌰𐍄𐌾𐌰𐌽
touch	𐌰𐍄𐍄𐌴𐌺𐌰𐌽
bring	𐌰𐍄𐍄𐌹𐌿𐌷𐌰𐌽
throw	𐌰𐍄𐍅𐌰𐌹𐍂𐍀𐌰𐌽
call	𐌰𐍄𐍅𐍉𐍀𐌾𐌰𐌽
torture	𐌱𐌰𐌻𐍅𐌾𐌰𐌽
loyalty	𐌱𐌰𐍂𐌿𐍃𐌽𐌾𐌰𐌽
dwell	𐌱𐌰𐌿𐌰𐌽
work	𐌱𐌹𐌰𐍂𐌱𐌰𐌹𐌳𐌾𐌰𐌽
increase	𐌱𐌹𐌰𐌿𐌺𐌽𐌰𐌽
request	𐌱𐌹𐌳𐌾𐌰𐌽
kiss	𐌱𐌹𐌺𐌿𐌺𐌾𐌰𐌽
make fun of	𐌱𐌹𐌻𐌰𐌹𐌺𐌰𐌽
circumcise	𐌱𐌹𐌼𐌰𐌹𐍄𐌰𐌽
reconnoiter	𐌱𐌹𐌽𐌹𐌿𐌷𐍃𐌾𐌰𐌽
traverse	𐌱𐌹𐍄𐌹𐌿𐌷𐌰𐌽
mix	𐌱𐌻𐌰𐌽𐌳𐌰𐌽
worship	𐌱𐌻𐍉𐍄𐌰𐌽
bring	𐌱𐍂𐌹𐌲𐌲𐌰𐌽
use	𐌱𐍂𐌿𐌺𐌾𐌰𐌽
divide	𐌳𐌰𐌹𐌻𐌾𐌰𐌽
judge	𐌳𐍉𐌼𐌾𐌰𐌽
drink	𐌳𐍂𐌹𐌲𐌺𐌰𐌽
make	𐌳𐍂𐌰𐌲𐌺𐌾𐌰𐌽
restless	𐌳𐍂𐍉𐌱𐌽𐌰𐌽
*𐌰𐌲𐌲𐌴𐌻𐌿𐍃	𐌰𐌲𐌲𐌴𐌻𐌿𐍃
share	𐍆𐌰𐌹𐍂𐌰𐌹𐌷𐌰𐌽
stare	𐍆𐌰𐌹𐍂𐍅𐌴𐌹𐍄𐌾𐌰𐌽
rock	𐌷𐌰𐌻𐌻𐌿𐍃
try	𐍆𐍂𐌰𐌹𐍃𐌰𐌽
beautiful	𐍃𐌺𐌰𐌿𐌽𐍃
wine	𐍅𐌴𐌹𐌽
fold	𐍆𐌰𐌻𐌸𐌰𐌽
forbid	𐍆𐌰𐌿𐍂𐌱𐌹𐌿𐌳𐌰𐌽
jump around	𐌻𐌰𐌹𐌺𐌰𐌽
see	𐍃𐌰𐌹𐍈𐌰𐌽
consider	𐌰𐌽𐌳𐍃𐌰𐌹𐍈𐌰𐌽
look	𐌰𐍄𐍃𐌰𐌹𐍈𐌰𐌽
look for	𐌱𐌹𐍃𐌰𐌹𐍈𐌰𐌽
see	𐌲𐌰𐍃𐌰𐌹𐍈𐌰𐌽
look into	𐌹𐌽𐍃𐌰𐌹𐍈𐌰𐌽
see through	𐌸𐌰𐌹𐍂𐌷𐍃𐌰𐌹𐍈𐌰𐌽
look up	𐌿𐍃𐍃𐌰𐌹𐍈𐌰𐌽
be	𐌸𐌰𐌷𐌰𐌽
lade	𐌰𐍆𐌷𐌻𐌰𐌸𐌰𐌽
be	𐌲𐌰𐌸𐌰𐌷𐌰𐌽
turn away	𐌰𐍆𐍃𐍄𐌰𐌽𐌳𐌰𐌽
begin	𐌰𐌽𐌰𐍃𐍄𐍉𐌳𐌾𐌰𐌽
eleven	𐌰𐌹𐌽𐌻𐌹𐍆
roomy	𐍂𐌿𐌼𐍃
village	𐌷𐌰𐌹𐌼𐍃
thief	𐌸𐌹𐌿𐍆𐍃
paradise	𐍅𐌰𐌲𐌲𐍃
accept	𐌽𐌹𐌼𐌰𐌽
pull	𐍄𐌹𐌿𐌷𐌰𐌽
useful	𐌱𐍂𐌿𐌺𐍃
hunger	𐌷𐌿𐌲𐌲𐍂𐌾𐌰𐌽
think	𐌷𐌿𐌲𐌾𐌰𐌽
grab	𐌲𐍂𐌴𐌹𐍀𐌰𐌽
incline	𐌷𐌽𐌴𐌹𐍅𐌰𐌽
flee	𐌸𐌻𐌹𐌿𐌷𐌰𐌽
lament	𐍆𐌻𐍉𐌺𐌰𐌽
sweet	𐍅𐍉𐌸𐌴𐌹𐍃
kingly	𐍂𐌴𐌹𐌺𐌴𐌹𐍃
fortunate	𐌰𐌿𐌳𐌰𐌷𐌰𐍆𐍄𐍃
gold	𐌲𐌿𐌻𐌸
soldier	𐌲𐌰𐌳𐍂𐌰𐌿𐌷𐍄𐍃
ruler	𐍂𐌴𐌹𐌺𐍃
tear	𐍄𐌰𐌷𐌾𐌰𐌽
life	𐌻𐌹𐌱𐌰𐌹𐌽𐍃
spirit	𐌰𐌷𐌼𐌰
amen	𐌰𐌼𐌴𐌽
end	𐌰𐌽𐌳𐌴𐌹𐍃
thing	𐍅𐌰𐌹𐌷𐍄𐍃
Moon	𐌼𐌴𐌽𐌰
branch	𐌰𐍃𐍄𐍃
world	𐌼𐌰𐌽𐌰𐍃𐌴𐌸𐍃
murder	𐌼𐌰𐌿𐍂𐌸𐍂
thirst	𐌸𐌰𐌿𐍂𐍃𐍄𐌴𐌹
-er	-𐌰𐍂𐌴𐌹𐍃
pertain	-𐌹𐍃𐌺𐍃
eater	𐌰𐍆𐌴𐍄𐌾𐌰
deceitfulness	𐌰𐍆𐌼𐌰𐍂𐌶𐌴𐌹𐌽𐍃
follow	𐌰𐍆𐌰𐍂𐌻𐌰𐌹𐍃𐍄𐌾𐌰𐌽
dags	𐌳𐌰𐌲𐍃 𐌰𐍆𐌰𐍂𐍃𐌰𐌱𐌱𐌰𐍄𐌴
give	𐌰𐍆𐌳𐌰𐌹𐌻𐌾𐌰𐌽
numb	𐌰𐍆𐌳𐌰𐌿𐌱𐌽𐌰𐌽
silent	𐌰𐍆𐌳𐍉𐌱𐌽𐌰𐌽
condemnation	𐌰𐍆𐌳𐍉𐌼𐌴𐌹𐌽𐍃
drunkard	𐌰𐍆𐌳𐍂𐌿𐌲𐌺𐌾𐌰
silent	𐌰𐍆𐌳𐌿𐌼𐌱𐌽𐌰𐌽
hide	𐌰𐍆𐍆𐌹𐌻𐌷𐌰𐌽
valley	𐌳𐌰𐌻
donkey	𐌰𐍃𐌹𐌻𐌿𐍃
ox	𐌰𐌿𐌷𐍃𐌰
lord	𐍆𐍂𐌰𐌿𐌾𐌰
countenance	𐌰𐌽𐌳𐌰𐌿𐌲𐌹
