one	on
aloe	aloo
Poland	Polonia
self	ipsa
cymbal	cimbalo
breathe	respirar
swan	cigno
cypress	cipreso
circular	cirkulero
December	decembro
demon	demono
tooth	dento
levee	digo
diligent	diligenta
litre	litro
letter	a
English	Anglo
X	xe
Norway	Norvegia
pressure	preso
idea	ideo
life	vivo
pure	pura
no	nula
try	probar
various	diversa
they	ili
they	eli
one	onu
negate	ne-
heliotrope	heliotropo
Ukraine	Ukraina
saddle	selo
for	nam
about	pri
verse	verso
but	sed
yellow	flava
black	nigra
gray	griza
cat	kato
mis-	mis-
hope	esperar
too	tro
however	tamen
easy	facila
heavy	grava
jar	jaro
head	kapo
some	kelka
mosquito	moskito
bundle	pako
veil	velo
earth	tero
until	til
family	familio
window	fenestro
finger	fingro
sibling	frato
early	frua
hour	horo
color	koloro
bed	lito
sea	maro
mountain	monto
necessary	necesa
eye	okulo
person	persono
door	pordo
simple	simpla
sun	suno
table	tablo
city	urbo
evening	vespero
ache	doloro
glass	glaso
internal	interna
Croatia	Kroatia
neck	kolo
content	kontenta
body	korpo
milk	lakto
month	monato
nature	naturo
night	nokto
cloud	nubo
uncle	onklo
ear	orelo
bread	pano
paper	papero
plank	planko
pleasure	plezuro
feather	plumo
light	foto
abstract	abstrakta
work	laboro
go back	regresar
organize	organizar
society	socio
certainly	certe
vote	votar
impending	balda
bust	busto
handrail	pasamano
that	ito
duel	duelo
V	ve
empire	imperio
inform	informar
entomb	sepultar
express	expresar
argument	argumento
appeal	apelar
save	salvar
detonate	detonar
intestine	intestino
fetus	feto
matter	importar
ask	demandar
sign	signo
mode	modo
throne	trono
good	bono
tourism	turismo
owe	debar
separate	separar
molest	molestar
screw	visar
so	tante
leaf	folio
wash	lavar
push	pulsar
being	eso
imperative	-ez
motto	moto
entirely	tote
land	abordar
spring	printempe
six	sis
which	quo
poison	veneno
dove	kolombo
rule	regulo
ring	ringo
glass	vitro
they	oli
bad	mala
pay	pagar
woolen	lana
appreciate	apreciar
mouse	muso
fig	figo
song	kanto
rapidly	rapide
article	artiklo
occupy	okupar
worthy	-inda
hawser	amaro
mast	masto
sand	sablo
flight	flugo
naked	nuda
ant	formiko
rain	pluvo
pulp	pulpo
octopus	polpo
bridge	ponto
salt	salo
deaf	surda
proud	fiera
wise	saja
goose	ganso
possibly	posible
carbon	karbo
goat	kapro
raven	korvo
cake	kuko
something	ulo
some	ula
frog	rano
beating	bato
obstruction	baro
apparently	semble
his	sua
your	vua
train	treno
perennial	perena
theater	teatro
soldier	soldato
invite	invitar
tomb	tombo
phenol	fenolo
nitrate	nitrato
nitrite	nitrito
either	sive
those	iti
whether	kad
di	dil
mock	mokar
rib	kosto
phosphate	fosfato
vast	vasta
stadium	stadio
curtain	kurteno
sexual	amoro
serpent	serpento
injector	injektilo
donation	donaco
cup	taso
magic	magio
mud	fango
ass	asno
deism	deismo
crab	krabo
cross	kruco
fowl	hano
nephew	nevo
reef	rifo
toad	rospo
observatory	observatorio
opening	aperto
feel	sentar
braid	treso
before	erste
rail	relo
knot	nodo
nepotism	nepotismo
naturally	naturale
feign	fingar
blow	mungar
walk	marchar
forward	avana
mouth	boko
it	olu
thin	dina
firm	ferma
their	lia
cow	bovino
celestial body	astro
butane	butano
Denmark	Dania
fraudulently	fraude
kilometre	kilometro
election	elekto
drunk	ebria
circle	cirklo
modern	moderna
feminism	feminismo
official	oficiala
cylinder	cilindro
private	privata
-able	-ebla
actually	fakte
greeting	saluto
mirror	spegulo
confiscation	konfisko
tolerate	tolerar
avocado	avokado
often	ofte
penguin	pinguino
leap	salto
adopt	adoptar
alert	alarmar
alter	alterar
argue	argumentar
assign	asignar
devour	devorar
enumerate	enumerar
inherit	heredar
ignore	ignorar
imagine	imaginar
imitate	imitar
elate	exaltar
inflame	inflamar
manipulate	manipular
mention	mencionar
perturb	perturbar
repair	reparar
naturalism	naturalismo
dissimulate	disimular
abominate	abominar
abort	abortar
lighten	alejar
gravitate	gravitar
radiate	radiar
seize	raptar
fear	timar
wharf	kayo
impute	imputar
indignant	indignar
insert	insertar
trot	trotar
ugly	leda
crush	aplastar
make	bramar
censure	censurar
nominate	nominar
officiate	oficiar
pilot	pilotar
cause	precipitar
adoption	adopto
adultery	adultero
theism	teismo
alarm	alarmo
alimentation	alimento
separately	aparte
hardly	apene
oppression	aplasto
arbitration	arbitro
weapon	armo
degenerate	degenerar
deflate	desinflar
lay waste	devastar
differentiate	diferenciar
dilate	dilatar
discipline	disciplinar
waste	disipar
elaborate	elaborar
impale	empalar
aval	avalo
bass	baso
sparrow hawk	sparviero
scene	ceno
censure	censuro
exasperate	exasperar
exhort	exhortar
debate	debato
debut	debuto
deluge	diluvio
dynamite	dinamito
feast	festinar
filter	filtrar
feint	fintar
foment	fomentar
forge	forjar
rub	frotar
gallop	galopar
illustrate	ilustrar
impregnate	impregnar
set fire	incendiar
inflate	inflar
inhale	inhalar
rip	lacerar
lament	lamentar
balance	equilibro
figure	figuro
photographic	filmo
fragment	fragmento
fragmentary	fragmenta
foundation	fundamento
musket	fusilo
step	grado
gravitation	gravitado
gravity	gravito
live	habitas
hydrate	hidrato
propel	propulsar
grate	raspar
refute	refutar
regenerate	regenerar
relate	relatar
repudiate	repudiar
etiquette	etiqueto
exhortation	exhorto
existence	existo
extreme	extrema
restore	restaurar
sanction	sancionar
sublime	sublimar
transfigure	transfigurar
transform	transformar
be	transitar
rip	lacero
lamentation	lamento
participle	participo
limit	limito
permutation	permuto
perturbation	perturbo
piloting	piloto
plant	planto
plasma	plasmo
precipitation	precipito
breast	mamo
manipulation	manipulado
manipulation	manipulo
mention	menciono
motive	motivo
level	nivelo
sustenance	nutro
origin	origino
refrain	refreno
regent	regento
answer	respondo
net	reto
rescue	salvado
dress	robo
shelf	tabulo
burial	sepulto
late	tarda
topic	temo
temple	templo
boundary	termino
bearing	soporto
south	sudo
suffering	sufro
transit	transito
trot	troto
girdle	zono
leopard	leopardo
dart	dardo
attempt	atentar
famine	famino
splint	lasho
fire	incendio
soft	mola
grain	grano
sing	kantar
purple	purpura
state	stando
sputation	sputo
verb	verbo
poppy	papavero
realism	realismo
in	supre
dinosaur	dinosauro
basin	vasko
encyclopedia	enciklopedio
lion	leono
grass	gazono
nest	nesto
petroleum	petrolo
olive	olivo
gens	gento
mass	maso
aromatic	aromata
violin	violino
decimeter	decimetro
laboratory	laboratorio
ester	estero
cigar	sigaro
monument	monumento
sandal	sandalo
socialism	socialismo
sociologist	sociologo
publish	editar
directly	direte
potato	terpomo
sparrow	pasero
swallow	hirundo
rabbit	kuniklo
demigod	heroo
female	hundino
heroine	heroino
river	rivero
cottage	dometo
professional	kantisto
sister	fratino
organ	organo
organism	organismo
pitchfork	forko
pentagon	pentagono
bishop	episkopo
sidewalk	trotuaro
believable	kredebla
loud	lauta
publicly	publike
course	kurso
textbook	lernolibro
present	prezento
meat pie	torto
this	ico
lizard	lacerto
fiasco	fiasko
demagogue	demagogo
geologist	geologo
inclination	-ema
instrument	-il-
maceration	macero
crocodile	krokodilo
Netherlands	Nederlando
hydrogen	hidrogeno
chlorine	kloro
copper	kupro
zinc	zinko
elephant	elefanto
crisis	krizo
cream	kremo
tie	kravato
crater	kratero
skull	kranio
zoology	zoologio
vulture	vulturo
viper	vipero
vinegar	vinagro
wasp	vespo
vertex	vertico
crossbar	traverso
crown	krono
thigh	kruro
crust	krusto
cumin	kumino
messenger	kuriero
cushion	kuseno
tub	kuvo
cousin	kuzo
lamp	lampo
wool	lano
lance	lanco
bacon	lardo
lavender	lavendo
legend	legendo
fibre	fibro
bone	osto
cork	korko
industrially	industriale
account	konto
sailor	maristo
virtually	virtuale
whom	quan
Antarctica	Antarktika
blow	ventar
shoe	shuo
parrot	papagayo
orpiment	orpimento
cetacean	cetaceo
atom	atomo
paladin	paladino
egoism	egoismo
nerve	nervo
parasitic	parazita
how much	quante
goodbye	adiar
leg	gambo
eat	manjar
order	ordino
atheism	ateismo
sole	soleo
doubt	dubito
statute	statuto
boxing	boxo
current	fluo
turban	turbano
information	informo
tattoo	tatuo
system	sistemo
integral	integra
imputation	imputo
cattle	bovi
public	placo
median	mediano
active	agiva
suddenly	subite
rigid	rigida
diaphanous	diafana
eternal	eterna
impulsive	impulsiva
insipid	insipida
slow	lenta
mesial	mediana
polygamous	poligama
quiet	quieta
similar	simila
stupid	stupida
tender	tenera
transitive	transitiva
food	nutrivo
orphan	orfano
patiently	paciente
telephone	telefonar
pram	pramo
perpetual	perpetua
globe	globo
androgyne	androgino
androgynous	androgina
torment	tormento
premature	prematura
married	damo
tour	turo
gender	genro
calm	kalma
graphic	grafika
trouble	problemo
basement	basamento
cage	kajo
pipe	pipo
beaklike	rostro
polymer	polimero
stratum	strato
malign	maligna
apartment	apartamento
herb	herbo
gnome	gnomo
site	situo
tempt	tentar
paradise	paradizo
anode	anodo
infinitive	infinitivo
tent	tendo
annual	yara
indulgence	indulgo
stranding	strando
equal	egala
thought	penso
soil	sulo
dissolution	dissolvo
mystery	misterio
paragraph	paragrafo
sultan	sultano
will	testamento
wheat	frumento
epilogue	epilogo
vase	vazo
granivorous	granivora
link	ligar
bomb	bombo
electro-	elektro-
Earth	Tero
text	texto
female	elefantino
fat	graso
plum	pruno
polytheism	politeismo
biplane	biplano
frigate	fregato
catfish	siluro
crack	krak
dynamo	dinamo
Kazakhstan	Kazakstan
whom	quin
ready	pronta
gesticulate	gestar
brutally	brutale
digit	cifro
kilogram	kilogramo
perfidious	perfida
soon	balde
anticipated	anticipa
antidote	antidoto
question	questiono
incense	incenso
plastic	plastika
sack	sako
perverse	perversa
itch	prurito
purple	purpurea
hotel	hotelo
emerald	smeraldo
spinach	spinato
mineralogy	mineralogio
comma	komo
January	januaro
February	februaro
October	oktobro
telegraph	telegrafo
spring	printempo
spring	fonto
Finland	Finlando
polygon	poligono
animal	animalo
genitive case	genitivo
genitive	genitiva
friendly	amika
dray	kamiono
helicopter	helikoptero
mile	milio
barley	hordeo
suffix	sufixo
disgust	repugnar
belly	ventro
jewel	juvelo
metal	metalo
electron	elektrono
melody	melodio
matrix	matrico
flag	flago
baboon	babuino
nudism	nudismo
pepper	pipro
he	ilu
rope	kordo
pleonasm	pleonasmo
mythology	mitologio
museum	muzeo
male	vidvino
March	marto
gas	gaso
hole	truo
example	exemplo
German	Germano
German	Germana
general	generalo
banana	banano
keyboard	klavaro
gnaw	rodar
devoted	devota
emir	emiro
ether	etero
granite	granito
lift	levar
Transylvania	Transilvania
barometer	barometro
sallet	chelato
sonnet	soneto
monomer	monomero
positronium	positronio
sublimate	sublimato
milligram	miligramo
gram	gramo
proletariat	proletario
capable	-iva
meteor	meteoro
centre of mass	baricentro
monopoly	monopolo
photograph	fotografar
percentage	procento
thermal	termo
responsibility	responso
pray	pregar
packing case	kesto
evaluate	evaluar
satirical	satira
glove	ganto
whole	tota
sordid	sordida
economize	sparar
continent	kontinento
shadow	ombro
ability	povo
mandolin	mandolino
Athens	Athina
stick	bastono
seize	sizar
gratin	gratino
leave	lasar
smile	rideto
seeing	vido
segment	segmento
seagull	muevo
resound	resonar
tranquil	tranquila
frivolous	frivolo
time	-ab
ecology	ekologio
centaur	centauro
marsh	marsho
subscribe	abonar
abbreviation	abreviado
paralyze	paralizar
symbolize	simbolizar
propagate	propagar
promulgate	promulgar
it's	tondras
echo	eko
walk	promenas
decidua	deciduo
parry	pareo
former	antea
toilet	latrino
ammonium	amonio
slang	slangar
supernaturally	supernature
bald	kalva
immune	imuna
manatee	lamantino
camel	kamelo
gene	geno
personalize	personalizar
knowledge	savo
coconut	kokoso
pragmatism	pragmatismo
infamous	infama
poet	poeto
pseudonym	pseudonimo
Finnish	Finlandana
parry	parear
re-	ri-
hormone	hormono
class	klaso
virus	viruso
epicentre	epicentro
Sweden	Suedia
monster	monstro
precept	precepto
mackerel	makrelo
brave	proda
goodbye	adio
raspberry	frambo
north	nordo
billhook	serpo
silly	stulta
child	filio
niche	nicho
hide	celar
metallize	metalizar
orbit	orbito
mayor	urbestro
date	datelo
summer	somero
Puritan	puritano
pessimism	pesimismo
simian	simio
pebble	stono
football	futbalo
castle	kastelo
sad	trista
cargo	kargo
diploma	diplomo
morning	matino
bigamist	bigamo
bigamous	bigama
sandy	sabla
end	brino
brontosaurus	brontosauro
granulocyte	granulocito
thrombocyte	trombocito
trampoline	trampolino
relatively	sedentaria
nematode	nematodo
storm	tempesto
plural	pluralo
fatalism	fatalismo
grumble	grondo
deserve	meritar
froth	spumo
memory	memoro
religion	religio
ship	navo
papyrus	papiro
bito	bico
even	reza
satire	satiro
bed	litigar
lax	laxa
well	puteo
woodpecker	pego
protuberant	saliar
yesterday	hiere
evolve	evolucionar
organization	organizo
satrap	satrapo
speech	diskurso
trance	tranco
prelude	preludo
line	strio
gean	guindo
disgust	repugno
norm	normo
transfinite	transfinita
abbreviation	abrevio
honor	honoro
grandmother	avino
illustration	ilustro
inflammation	inflamo
triangle	triangulo
middle	meza
pelargonium	pelargonio
ice	glacio
recompense	indemnizar
cousin	kuzino
aunt	onklino
niece	nevino
cornflower	aciano
ethnologist	etnologo
explosive	exploziva
finish	granizar
bark	aboyar
gerontologist	gerontologo
lioness	leonino
industry	industrio
infirm	infirma
strawberry	frago
crimson	karmezino
crimson	karmezina
occult	okulta
shark	sharko
carrot	karoto
steal	furtar
snowy	nivea
obverse	averso
bight	sesgo
head	-estr-
maleness	-ul-
palmette	palmeto
peritoneum	peritoneo
cavalry	kavalrio
horse	kavalo
knight	kavaliero
ride	kavalkar
fortuitous	hazardala
have	havar
datum	datumo
ember	brezo
oversight	oblivio
library	biblioteko
insect	insekto
geography	geografio
short	kurta
reklamo	reklamo
address	adreso
Portuguese	Portugalana
thirst	durstar
hungry	hungrar
erotic	erotika
culture	kulturo
worthy	digna
tale	rakonto
directive	direktiva
reduction	diminuto
want	manko
integument	tegumento
pretext	pretexto
ask	questionar
caftan	kaftano
palish	paleta
camera	fotografilo
customs	dogano
be	standar
arrogate	arogar
protoplast	protoplasto
sterol	sterolo
tomorrow	morge
polyurethane	poliuretano
isotope	izotopo
obituary	nekrologo
pocket	posho
longitude	longitudo
midnight	noktomezo
junk	jonko
tepid	varmeta
Turkish	Turkiana
Spanish	Hispaniana
dictionary	dicionario
responsible	responsiva
gymnasium	gimnazio
fat	grosa
prefix	prefixo
blame	blamar
helminth	helminto
spondee	spondeo
female	femino
spine	spino
garden	gardeno
youth	yuno
boy	yunulo
quale	quale vu standas
drink	drinkajo
dish	manjajo
plate	plado
ancient	anciena
red	reda
young	yuna
to	adhike
onto	adsur
happy	felica
ferocious	feroca
fish	fisho
forest	foresto
lawn	gazoneyo
good day	bona jorno
quale	quale vu nomesas
thank you	me dankas
buy	kompras
like	prizas
tree	arboro
skirt	jupo
park	parko
police officer	policisto
bird	ucelo
thank you	danko
coffee	kafeo
café	kafeerio
I	me pregas
money	pekunio
orange	oranjea
pink	rozea
violet	violea
pencil	krayono
son	filiulo
daughter	filiino
brother	fratulo
cousin	kuzulo
doctor	doktoro
in front of	avan
meat	karno
church	kirko
physician	mediko
country	ruro
wife	spozino
husband	spozulo
seller	vendisto
butcher	karnovendisto
mare	kavalino
stallion	kavalulo
greengrocer	frukto-vendisto
teacher	instruktisto
where	ube
whereto	adube
butter	butro
bean	fabo
cheese	fromajo
jam	konfitajo
cucumber	kukombro
lettuce	latugo
margarine	margarino
mustard	mustardo
onion	onyono
pea	pizo
sugar	sukro
tart	tarto
fork	forketo
spoon	kuliero
knife	kultelo
what	quon
factory	fabrikerio
ghost	fantomo
ill	malada
fetch	querar
whisky	wiskio
because	pro ke
bar	drinkerio
begin	komencar
understand	komprenar
cardiac	kordiala
learn	lernar
every	omna-die
study	studiar
room	chambro
bedroom	dormo-chambro
when	kande
cook	koquar
cook	koquero
clean	netigar
plastic	plastiko
child	puero
woman	muliero
excellent	ecelanta
excellently	ecelante
shopkeeper	butikisto
unfortunate	desfortunoza
customer	kliento
market	merkato
packet	paketo
serve	servar
cigarette	sigareto
vacation	vakanco
happen	eventar
four	quar
kitchen	koqueyo
grandfather	avulo
parent	genitoro
relative	parento
sons	gefilii
grandchild	nepoto
uncle	onklulo
nephew	nevulo
autumn	autuno
shine	brilar
disappear	desaparar
horizon	horizonto
daytime	jorno
cold	kolda
cover	kovrilo
no longer	nepluse
several	plura
cupboard	armoro
hear	audar
dance	dansar
climb	klimar
beat	batar
love	amorar
thirsty	durstoza
hungry	hungroza
postman	letro-portisto
pair	pantalono
hang	pendar
ceiling	plafono
floor	planko-sulo
du	duadek
thirty	triadek
forty	quaradek
fifty	kinadek
sixty	sisadek
seventy	sepadek
eighty	okadek
ninety	nonadek
I love you	me amoras tu
cut	tranchar
brush	brosar
swim	natar
chocolate	chokolado
present	donacajo
second	duesma
third	triesma
cardinal number	-esm-
fourth	quaresma
fifth	kinesma
sixth	sisesma
seventh	sepesma
eighth	okesma
ninth	nonesma
tenth	dekesma
birthday	naskodio
drink	drinkar
restaurant	restorerio
pantyhose	kalzego
sock	kalzeto
scarf	sharpo
hat	chapelo
shirt	kamizo
blouse	korsajo
pullover	trikoturo
certificate	atesto
need	bezonar
fire	fairo
fire station	incendio-domo
clerk	klerko
leave	livar
be born	naskar
royal	rejala
seek	serchar
employment	employo-agenterio
baby	infanteto
cheap	chipa
frequently	freque
hard	harda
rich	richa
may	darfar
make	esforcar
buy	komprar
drive	konduktar
must	mustar
be able to	povar
television	televiziono
arrive	arivar
main	chefa
arm	brakio
supper	dineo
force	forsar
umbrella	parapluvo
bathe	balnar
draw	desegnar
picture	imajo
lose	perdar
break	ruptar
send	sendar
road	voyo
dangerous	danjeroza
fresh	fresha
intelligent	inteligenta
interesting	interesanta
broad	larja
poor	povra
police station	policeyo
this	ica
post office	posto-kontoro
hospital	hospitalo
office	kontoro
cathedral	katedralo
laundry	laverio
lunch	dejuno
breakfast	frua dejuno
manager	jeristo
rather	kelke
believe	kredar
talk	parolar
telephone	telefonilo
neglect	neglijar
vindicate	apologiar
pear	piro
Monday	lundio
Wednesday	merkurdio
Thursday	jovdio
Friday	venerdio
Sunday	sundio
still	ankore
fortunate	fortunoza
photograph	fotografuro
obliged	devar
of course	komprenende
review	revuo
secretly	sekrete
cleanliness	neteso
not yet	ne ja
belong	apartenar
punctuation	puntizado
summary	rezumo
speaker	parolanto
nurse	flegisto
drama	dramato
president	prezidanto
soap	sapono
run	kurar
pay attention	atencar
string	kordeto
brush	pinselo
dead	mortinta
marital	mariajita
almost	preske
newspaper	jurnalo
any	irga
sovereign	rejo
king	rejulo
queen	rejino
brush	brosilo
lull	dormigar
complain	plendar
reward	rekompensar
brother-in-law	bofratulo
mother-in-law	bomatro
anyone	irgu
anything	irgo
some	kelko
everyone	omnu
everything	omno
another	altru
nobody	nulu
each	singlu
concrete	-ur-
painting	pikturo
meeting	kunveno
probable	probabla
loyally	loyale
TV set	televidilo
wig	peruko
pig	porko
avalanche	avalancho
police	polico
freeze	frosto
foliage	foliaro
humanity	homaro
office	ofico
ivy	hedero
worker	laboristo
puddle	lageto
protogynous	protogina
poetry	poezio
society	mondumo
advent	advento
treasure	trezoro
visible	videbla
fossil	fosilo
jeweler	juvelisto
cauldron	kaldrono
fog	nebulo
islet	insuleto
large	pordego
daydream	revo
pearl	perlo
faithful	fidela
hare	leporo
cave	kaverno
card	karto
locust	lokusto
aerolite	aerolito
knee	genuo
amyloplast	amiloplasto
misery	mizero
optimist	optimisto
pessimist	pesimisto
ballast	balasto
look at	spektar
nail	unglo
pertinacity	obstino
Greece	Grekia
seven	sep
sapling	arboreto
ideal	ideala
energy	energio
commerce	komerco
yielding	cedema
oracle	oraklo
wrestle	lukto
patient	paciento
volcano	volkano
key	klavo
alas	ho ve
camera	kamero
barracks	kazerno
garrison	garnizono
cannon	kanono
fraudulent	frauda
astrophysics	astrofiziko
peach	persiko
thunder	tondro
active	agema
peaceful	pacema
bullet	kuglo
Internet	Interreto
passive	pasiva
locksmith	seruristo
goniometer	goniometro
biorhythm	bioritmo
marasmus	marasmo
black hole	nigra truo
luxury	luxo
hold	tenar
centriole	centriolo
milky	laktoza
basalt	bazalto
lunch	dejunar
hypnotism	hipnotismo
sometimes	kelkafoye
demon	demoneto
mild	exulcero
omentum	omento
vermouth	vermuto
cannabis	kanabo
ton	tuno
ink	inko
steam	vaporo
Asia	Azia
rampart	remparo
Jupiter	Jupitero
millimetre	milimetro
mechanism	mekanismo
liberation	liberigo
sector	sektoro
Mercury	Merkuro
Venus	Venuso
galvanize	galvanizar
epoch	epoko
injection	injekto
lime	kalko
