Ethiopia	ኢትዮጵያ
claw	ጭፍሪ
cloud	ደበና
bark	ልሕጺ
belly	ከርሲ
egg	እንቛቝሖ
fire	ሓዊ
foot	እግሪ
hair	ጨጕር
horn	ቀርኒ
leaf	ቈጽሊ
liver	ከብዲ
louse	ቍማል
ሥጋ	ስጋ
moon	ዋርሒ
neck	ክሳድ
new	ሓዲስ
nose	ኣፍንጫ
star	ዃኾብ
we	ንሕና
tongue	መልሓስ
tail	ዘነብ
seed	ዘርኢ
baby	ህጻን
animal	እንስሳ
film	ፊልም
break	ሰበረ
car	ማኪና
cutoff	ማእለያ
wolf	ተዅላ
become	ምዃን
lion	ኣንበሳ
rat	ኣንጭዋ
hello	መርሓባ
sugar	ሽኰር
cry	ምብካይ
you	ንስኺ
you	ንስኻትኩም
you	ንስኻትክን
they	ንሳቶም
they	ንሳተን
black	ጸሊም
bee	ንህቢ
freedom	ሓርነት
of	ናይ
with	ምስ
to	ናብ
after	ድሕሪ
before	ቅድሚ
about	ብዛዕባ
without	ብዘይ
rich	ሃብታም
wealth	ሃብቲ
shop	ድኳን
importune	ምቝርምራም
dream	ሕልሚ
nice	ንፉዕ
start	ጀመረ
load	ጾር
like	ምፍታው
leaven	ብሑቕ
fishing	መርበብ
say	ምብሃል
room	ከፍሊ
land	ሃገር
buy	ምግዛእ
electric	መብራህቲ
finger	ኣጻብዕ
translation	ተርጓሚ
give	ምውሃብ
shave	ምልጻይ
catch	ምሓዝ
discontented	ምሕዝንዛን
meet	ምርካብ
listen	ምስማዕ
drink	ምስታይ
sell	ምሽያጥ
sit	ምቕማጥ
hold	ምትሓዝ
go	ምኽያድ
test	ምዕቃቕ
close	ምዕጻው
walk	ምዝዋር
sleep	ምድቃስ
err	ምግጋይ
click	ምጥዋቕ
carry	ምጽያር
butterfly	ጽምብላሊዕ
red	ቀይሕ
brown	ቡናዊ
green	ቀጠልያ
white	ጻዕዳ
gray	ሓሙኹሽታይ
drought	ድርቂ
write	ጸሓፈ
tell	ነገረ
drum	ከበሮ
fig	በለስ
sister	ሓብቲ
type	ዓይነት
move	ገዓዘ
decide	ወሰነ
monkey	ህበይ
together	ብሓደ
be	ነበረ
divided	ተማቐለ
plough	ሓረሰ
eat	በልዐ
say	በለ
sow	ዘርአ
dig	ኰዓተ
weed	ጸሃየ
sorghum	መሸላ
arrive	በጽሐ
harvest	ምህርቲ
storeroom	መኽዘን
take	ወሰደ
weak	ሰነፍ
ear	ጉንቦ
cannon	መድፍዕ
pestilence	ለበዳ
coronavirus	ኮሮናቫይረስ
first	ፈለማ
arrest	ኣሰረ
get up	ተስአ
body	ነብሲ
wash	ተሓጸበ
hour	ሰዓት
catch	ቈለበ
cover	ከደነ
be late	ደንጐየ
use	ተጠቐመ
bathroom	ሽቓቕ
infected	ተለኽፈ
ministry	ሚኒስትሪ
health	ጥዕና
test	መመርመሪ
trapped	ተቐርቀረ
antiquity	ጥንቲ
ancient	ጥንታዊ
follow	ሰዓበ
teaching	ምህሮ
strengthen	ደልደለ
proverb	ምሳሌ
king	ንጉስ
Israel	እስራኤል
art	ጥበብ
reprimand	ተግሳጽ
knowledge	ፍልጠት
understanding	ምስትውዓል
know	ፈለጠ
wiser	ለበመ
receive	ተቐበለ
righteousness	ጽድቂ
judgement	ፍርዲ
honesty	ቅንዕና
naive	ገርሂ
precaution	ጥንቃቐ
skillful	ጠቢብ
commentary	ትርጓሜ
deep	ዓሚቝ
counsel	ምኽሪ
fear	ፍርሃት
despise	ነዓቐ
foolish	ዓሻ
turkey	ታኪን
torch	ፋና
total	ኩሉ
star	ኮኾብ
pineapple	ኣናናስ
taste	ጥዒሙ
universe	ዓለም
soul	ነፍስ
you	ንስኹም
you	ንስኽን
he	ንሶም
she	ንሰን
forehead	ግንባር
boat	መርከብ
trousers	ሱሪ
almond	ለውዝ
answer	መልሲ
barley	ስገም
battle	ውግእ
branch	ቃራና
breath	ትንፋስ
carrot	ካሮት
ceremony	ጽሞብል
comparison	ምንጽጻር
conscience	ሕልና
congress	ጉባኤ
crown	ኣኽሊል
disciple	ሰዓቢ
translate	ተርጐመ
beat	ሃረመ
fade	ሃዘዘ
escape	ሃደመ
finish	ለፈፈ
slaughter	ሓረደ
print	ሓተመ
offend	በደደ
speak	ዘረበ
whip	ገረፈ
sing	ደረፈ
testify	መስከረ
miss	ነፈቐ
kiss	ሰዓመ
laugh	ሰሓቐ
pull	ሰሓበ
die	ሞተ
capture	መረኸ
doubt	ጠርጠረ
add	ወሰኸ
interrogate	ኰርኰረ
increase	ሰሰነ
grieve	ሓዘነ
hurry	ቀልጠፈ
smear	ለቕለቐ
bless	በረኸ
feed	ኸለበ
kill	ኸተለ
bloom	ቘቘበ
complete	ፈጸመ
bread	ባኒ
camp	ዕርዲ
snow	ውርጪ
newspaper	ጋዜጣ
papaya	ፓፓያ
milk	ጸባ
thigh	ሰለፍ
tomato	ኮሚደረ
river	ዋሕዚ
giraffe	ዝዖታ
giraffe	ዘራፍ
hill	ኩርባ
random	ዘፈቀዳዊ
shoe	ጫማ
soap	ሳሙና
liquor	አረቂ
spider	ሳሬት
back	ዝባን
potato	በጣጢስ
potato	ድንሽ
bridle	ልጓም
incense	ዕጣን
wrinkle	ዕጣር
tamarisk	ዑቦል
citron	ትርንጒ
mountain plum	ምልዖ
thaler	ቀርሺ
mustard	ኣድሪ
wergeld	ጋር
yet	ገና
Paradise	ጀነት
Paradise	ገነት
maize	ዕፉን
cowpea	ኣዳጉራ
oats	ሰዓዕ
palm	ራሕ
trousers	ስረ
mustard	ሰናፍጭ
gnat	ጻጾት
pomegranate	ሮማን
death	ሞት
lentil	ብርስን
date	ተምሪ
tobacco	ትምባኾ
torch	ፋኑስ
grape	ወይኒ
wine	ነቢት
neighbour	ጎር
dill	ሽላን
fetus	ሽል
placenta	ሽለት
vaccinate	ከተበ
year	ዓመት
bowels	አምዑት
Juniperus procera	ጽሕዲ
diamond	ኣልማዝ
