eternity	abada
nut	kɔlɔ
meaning	kɔrɔ
bread	mburu
sword	mpan
cricket	ntɔn
struggle	firifiri
butterfly	nfirinfirin
small	gɔmɛ
bark	ŋɔmɔ
dew	ngɔnɔ
misery	kɔli
hind leg	nkɔli
small	nsaransaranin
yam	ncɔgɔn
small	cɛrɔ
know	dɔn
press	cɔnkɔ
there	bɛ
dough	ndoro
fly	dɛn
race	kɔlɛ
certainly	dɛ
nape	tɔn
because of	bawo
election	kalata
palm wine	banji
hair	kunsi
milk	nɔnɔ
never	habada
griot	jeli
go	táa
before	yaani
address	adɛrɛsi
alcool	alikɔli
Tuesday	alamisa
Quran	alikuranɛ
matchstick	alimɛti
Muslim	àlisilamɛ
amen	amiina
grow	bonya
maybe	a dɔ ra
maybe	a dɔ la
maybe	a dɔ rɔ
thanks	abarika
thanks	abarka
human	hadamaden
humanity	adamadenya
adrenaline	aderenalini
oath	kalili
owner	-tigi
grass	bín
month	kálo
do	kɛ
sibling	balima
answer	jaabi
broom	furalan
dowry	furufɛn
cheek	dafuruku
breath	dafiɲɛ
antelope	dajɛ
flood	jiwalankata
how much	jòli
who	jɔn
position	jɔyɔrɔ
millet	ɲɔ
camel	ɲɔgɔmɛ
bird	kɔ̀nɔ
older sister	kɔrɔmuso
older brother	kɔ̀rɔ
son	denkɛ
daughter	denmuso
town	duguba
giraffe	ntilen
watermelon	nsɛrɛ
bronze	nsiranɛgɛ
proverb	nsana
young	npogotigi
sword	npan
glory	nɔɔrɔ
bitter tomato	nkɔyɔ
antelope	nkolonnin
frog	ntori
sister	balimamuso
guava	buyaki
genealogy	buruju
culture	dɔnko
thing	fɛn
flora	falenfɛnw
wind	fiɲɛ
father	fakɛ
shepherd	gɛnna
kola nut	wòro
some	damadɔ
chapter	dakun
difference	danfara
a little	dɔɔnin
elephant	sogoba
hyena	suruku
peace	hɛrɛ
turban	jalamugu
freedom	hɔrɔnya
ngoni	ngɔni
cricket	nkɛɛrɛn
ladder	yɛlɛnyɛlɛnnan
scorpion	nkɔsɔn
tamarind	ntomi
sickle	wɔlɔsɔ
partridge	wɔlɔ
cart	wotoro
thigh	woro
another	wɛrɛ
silver	warijɛ
place	yɔrɔ
change	yɛlɛma
praise	majamu
arrangement	mabɛn
agriculture	sɛnɛ
egg	sɛfan
which	jumɛn
say	fɔ́
music	fɔli
beat	gɔsi
pebble	gɔngɔrɔ
district	sigida
tooth	ɲin
residence	sigiyɔrɔ
direction	kuntilenna
period	kuntaala
problem	kunko
head	kunkolo
knee	kunbere
size	kundama
countryside	kungo
wild boar	kungolɛ
jackal	kungowulu
hill	kulunin
kora	kɔra
cotton	kɔɔri
road	bɔlɔn
fist	bolokurun
circumcision	bolokoli
arm	bolokala
finger	bolokɔni
horn	biɲɛ
savannah	bintu
mat	bilali
ancestor	bɛnba
all	bɛɛ
couscous	bàsi
shepherd	bagangɛnna
sesame	bɛnɛ
break	tigɛ
chase	gɛn
sieve	tɛmɛ
so that	yaasa
these	ninnu
example	misali
bag	foroko
ravine	folon
dowry	furunafolo
sauce	naji
garden	nakɔ
dishonesty	nanbara
yeast	nbuurufunun
bread	nbuuru
iron	nɛgɛdaga
iron	nɛgɛ
tongue	nɛn
baboon	ngɔn
Egyptian goose	bawɔlɔ
bicycle	nɛgɛso
livestock	baganmara
group	bakuruba
shopping	sanni
subscription	bakurubasanni
canal	bajalan
adult	baliku
brother	balimakɛ
growth	jiidiya
wave	jikuru
dry season	tilema
democracy	fòrobafanga
boubou	fòrokiya
week	dɔ́gɔkun
beer	dɔ̀lɔ
Acacia verek	dɔ̀nkɔri
science	dɔ́nni
reading	kalanni
lesson	kalansen
during	senfɛ
holy	senuma
write	sɛ́bɛn
chair	sɛsi
possessions	bolofɛn
poor	bolokolon
vaccination	boloci
when	minkɛ
ox	misidaba
kettle	baradaa
river	babɛlɛ
river	bacɛncɛn
sand	cɛncɛn
disease	banakisɛ
contagious	banayɛlɛmata
termite	bubaakisɛ
protection	marali
meeting	lajɛli
empty	lankolon
sky	sankolo
darkness	dibi
fly	dimɔgɔ
anger	dimi
world	diɲɛ
constellation	dolokulu
only	dɔrɔn
dawn	dugujɛ
village	dugutigi
feast	duminiba
boss	kuntigi
newspaper	kunnafonisɛbɛn
news	kunnafoni
soldier	sɔrɔdasi
argument	sɔsɔli
election	sugandili
choose	sugandi
opinion	hakilinan
president	peresidan
prime minister	minisiriɲɛmɔgɔ
parliament	depitebulon
wall	dɛnɛ
representative	lasigiden
warn	lasɔmi
preparation	labɛnni
light	kɛnɛ
healing	kɛnɛyali
morning	sɔgɔma
cough	sɔgɔsɔgɔ
under	jukɔrɔ
interval	furancɛ
above	sanfɛ
lightening	sanpɛrɛn
rain	sanji
sweat	wɔsiji
shea butter	situlu
look	lajɛ
resolution	ŋaniya
camel	ɲaamɛ
mix	ɲaami
infidelity	kanntanya
without	-ntan
region	màra
gun	marifa
prince	masaden
self	yɛrɛ
news	kibaru
with	fɛ
leader	ɲɛmɔgɔ
person	mɔgɔ
face	ɲɛda
eye	ɲɛ
sound	kanɲɛ
love	kanuya
teacher	karamɔgɔ
respect	kàrama
mercy	makari
wait for	makɔnɔ
opinion	hakilila
blacksmith	numu
mountain	kuluba
paradise	alijɛnɛ
we	anw
open	dayɛlɛ
student	degeden
bull	ntura
dignity	danbe
start	daminɛ
border	dancɛ
sorghum	keninge
army	kɛlɛbolo
quarrel	kɛlɛ
fat	kɛn
plain	kɛnɛba
outside	kɛnɛma
prevent	kɛɲɛ
side	kɛrɛ
too much	kojugu
platform	gɛlɛ
accident	kasara
total	kasabi
hard	gɛlɛn
wonder	kabako
custom	laada
advice	laadilikan
feed	labalo
usefulness	nàfa
braid	kundigi
plaits	kundigila
black	farafin
divination	filɛli
look	filɛ
Africa	Farafinna
white	farajɛ
stony	farama
stranger	dunan
knowledge	dɔnni
angle	seleke
judge	kiritigɛla
stomach	kɔnɔ
shoulder	kamakun
wing	kamafura
hoe	dabamuso
beak	dabɔlɔ
vow	dafalen
fulfill	dafa
creature	dafɛn
roselle	dakumu
hear	mɛn
riches	nafolo
law	sariya
alms	saraka
meeting	lajɛba
rainy season	samiya
pearl millet	saɲɔ
power	sebaaya
bandit	binkannikɛla
spindle	jɛnɛ
granary	jigiɲɛ
canoe	jikankurun
wound	joginda
one another	ɲɔgɔn
farmer	cikɛla
communal	cibɔ
envoy	ciden
headscarf	dankana
wool	sagasi
east	kɔ́rɔn
slavery	jɔ̀nya
weaver	gèsedala
wheat	àlikaama
stone	kába
womb	dɛ́bɛ
milk	nɔ́nɔ
previously	kàkɔrɔ
king	màsa
chief	kùntigi
cloud	bírinka
mat	dɛ̀bɛn
help	dɛ̀mɛ
taro	jàbere
sugarcane	háwusakala
lender	jùrudonna
debtor	jùrumantigi
sin	jùrumu
loincloth	tàafe
necessity	táalan
leaves	táala
direction	táafan
goes	táabaa
molar	tàga
charm	tàfo
reflect	tàasi
gutter	táaran
means	nàsira
sandy	nàra
turban	náamu
storm	sánfiɲɛ
locality	sìgida
Venus	sìgidolo
brass	dɛ̀ɲɛ
ear	túlo
arrow	biɲɛkisɛ
forgiveness	yàfa
dysentery	tɔ̀gɔ̀tɔ̀gɔ̀nin
prison	kàso
potash	kàta
Eupodotis senegalensis	kàtilaka
side	sába
prepare	lábɛ̀n
replace	lábi
let go	lábìla
permission	lábilali
enlarge	lábònya
clean out	lábɔ
embellish	lácɛ̀ɲɛ
imitate	ládège
teach	dège
feed	ládumuni
numerous	cáman
despite	kàsɔrɔ
murder	fàgali
bottle opener	dáyɛlɛlan
first	fɔ́lɔ
fault	jàlaki
look	lájɛ
twenty	mùgan
search	lárawe
cause	lásà
adversity	bɔ̀nɛ
measure	hakɛ
kora	kɔ́ra
hunter	dònso
top	sánfɛla
raincloud	sánfin
sea	kɔ̀gɔji
coast	kɔ̀gɔjida
outside	kɔ́kàn
harvest	sùman
threshing	sùmangosi
mason	sójɔla
stallion	sòkɛ
cashew	sɔ̀mɔ
price	sɔ̀ngɔ
third	sábanan
war	yóya
whiten	jɛ́
assemble	jɛ̀
large	cáya
bird	sánfɛfɛn
seventh	wólonwulanan
procreation	wólo
nostril	núnwo
garden	nákɔ
good	ɲùman
pudendum muliebre	npògo
because	kàtuguni
body	fàri
cowry	kòlon
pestle	kòlonkala
amid	cɛ́mà
delude	nɛ́gɛn
taste	nɛ́gɛnɛgɛ
due to	kósɔ̀n
Manilkara	kóya
two	fìla
three	sàba
four	náani
five	dúuru
six	wɔ́ɔrɔ
seven	wólonwula
eight	sèɡin
nine	kɔ̀nɔntɔn
hippopotamus	màli
sorghum	kènde
truth	tìɲɛ
meat	sògo
fishhook	dóolen
lion	jàra
riverbed	bádingɛ
Vachellia nilotica	bàanan
