kiss	sun
agriculture	ꦥꦼꦂꦠꦤꦶꦲꦤ꧀
chemistry	ꦏꦶꦩꦶꦲ
pineapple	ꦏꦤꦱ꧀
animal	ꦏꦺꦮꦤ꧀
plant	ꦠꦼꦠꦤ꧀ꦢꦸꦫꦤ꧀
insect	ꦱꦿꦁꦒ
weaver ant	ꦲꦁꦫꦁ
milkfish	ꦧꦤ꧀ꦢꦼꦁ
milkfish	ꦤꦼꦤꦼꦂ
infraorder	ꦲꦸꦥꦧꦁꦱ
beetle	ꦏꦸꦩ꧀ꦧꦁ
electricity	ꦏꦭꦶꦱ꧀ꦠꦿꦶꦏꦤ꧀
electromagnetic coil	ꦏꦸꦩ꧀ꦥꦫꦤ꧀
mirror	ꦥꦼꦔꦶꦭꦺꦴꦤ꧀
lion	ꦱꦶꦔ
nation-state	ꦤꦒꦫꦶ-​ꦧꦁꦱ
strong	kuat
hair	jenggot
medicine	jamu
old	lawas
coconut	klapa
picture	gambar
female	wadon
evildoer	durjana
bee	tawon
think	pikir
sibling	adhi
understand	mahami
widow	randha
cart	réta
cart	ꦫꦠꦔ꧀ꦒ
public	wong akèh
people	wong cilik
person	wong gedhé
man	wong lanang
nonfamily	wong liya
have nots	wong ora nduwé
parents	wong tuwa
woman	wong wadon
dweller	wong alasan
permanent resident	wong baku
native	wong bumi
red	ꦲꦧꦁ
Allah	ꦄꦭ꧀ꦭꦃ
acetic acid	asem asétat
acetic acid	asem étanowat
acetic acid	asem métanakarboksilat
acetic acid	hidrogèn asétat
acetic acid	asem cuka
amino acid	asem amino
deoxyribonucleic acid	asem dhéyoksiribonukléyat
nitric acid	asem nitrat
nitric acid	hidrogèn nitrat
sulphuric acid	asem sulfat
sulphuric acid	lenga vitriyol
angel	ꦩꦭꦲꦺꦏꦠ꧀
angel	malaékat
this	kiyi
that	kuwi
yonder	kaé
that	kuwé
this	kiyé
this	niki
porcupine	landhak
female	wédok
table	méja
sentry-box	gardhu
sentry-box	gerdhu
cock	jago
batik	jarit
smell	ambu
world	donya
four	papat
crab	yuyu
also	uga
tanggung	tanggung jiwa
desert	segara wedhi
fisherman	wong belahan
godmother	nini among
ꦕꦕꦃꦗꦶꦮ	cacah jiwa
new	anyar
hole	ꦱꦸꦩꦸꦂ
weaver ant	angrang
bat	ꦏꦭꦺꦴꦁ
older	ꦏꦁꦩꦱ꧀
jade	giok
horn	sungu
or	utawa
train station	setasiyun
bus station	ngebisan
bus station	bis-bisan
lip	lambé
jellyfish	uwur-uwur
vanish	musna
in vain	muspra
jungle fowl	ayam alas
extensive	alas gung liwang-liwung
wild	asu alas
official	mantri alas
dense	alas greng
wild	randhu alas
ram	bandhot
sheep	bèk
goat	wedhus
goat	ménda
fat-tailed	wedhus gibas
name	jeneng
hereafter	akérat
cheese	kèju
towel	andhuk
butter	mertéga
butter	mentéga
towel	ꦲꦤ꧀ꦝꦸꦏ꧀
period	taramangsa
approach	marani
cause	marakaké
direction	saparan-paran
axe	wadung
nest	susuh
criticize	nacad
traffic light	bangjo
list	pratélan
capital city	kutha krajan
path	lurung
city	kutha gedhé
financial	sokongan
or	utawi
lamp	diyan
Mars	jaka bèlèk
teenager	jaka kumala-kala
cockatoo	jakatuwa
virgin	jaka thing-thing
which	ingkang
this	punika
there	wonten
then	lajeng
person	tiyang
ember	mawa
arrogant	cubriya
distrust	nyubriyani
remember	ꦲꦺꦭꦶꦁ
consider	ꦔꦺꦭꦶꦁꦔꦶ
support	panyengkuyung
arrange	mranata
fiery	makantar-kantar
strong	kuwat
device	pikuwat
reinforce	mikuwati
strengthen	nguwati
stupid	goblog
hundred	atus
thousand	èwu
hundred thousand	kethi
ten million	wendra
billion	gulma
ten	camu
hundred	wurda
trillion	kirna
unit	saiji
liking	dhemen
fable	dongèng
false	dongèngan
tell	ndongèng
tell	ndongèngi
narrate	ndongèngaké
fiction	dedongèngan
hide and seek	kucing-kucingan
hide and seek	dhelikan
turn	nengen
turn	ngiwa
prioritize	nengenaké
neglect	ngiwakaké
owl	darès
ꦒꦫꦸꦣ	garudha
starling	jalak
chick	piyik
zebra dove	perkutut
finch	emprit
heron	blekok
shining	sumunar
often	kerep
meet	mrangguli
meet	pranggul
wear	manganggo
clothes	panganggo
short	cekak
swim	nglangi
show	meruhi
know	weruh
translate	pertal
translate	mertal
translation	pertalan
danger	bebaya
dangerous	mbebayani
film	filem
physical	obahan
keyboard	kibor
airport	papan anggegana
airship	palwa anggegana
air force	wadya anggegana
eleven	sawelas
thirteen	telulas
fifteen	limalas
seventeen	pitulas
nineteen	sangalas
twenty two	rolikur
this	kien ki
this	kin ki
this	kin ki li
that	kuen ku
that	kuen ku lu
yonder	kaen ka
north	lèr
south	kidul
west	kilèn
east	wétan
east	purwa
south	daksina
west	pracima
southeast	kidul wétan
northeast	lor wétan
northeast	lèr wétan
southwest	kidul kulon
southwest	kidul kilèn
northwest	lor kulon
northwest	lèr kilèn
northward	ngalor
northward	ngalèr
southward	ngidul
westward	ngulon
westward	ngilèn
eastward	ngétan
relatives	ontang-anting
only child	anak ontang-anting
although	senajan
although	sanadyan
although	nadyan
although	masiya
afterbirth	ari-ari
afterbirth	aruman
afterbirth	bingbing
hold	ngugemi
sixty	sawidak
technique	tèhnik
evolution	ꦲꦺꦥꦺꦴꦭꦸꦱꦶ
forward	kamajengan
slowly	alon-alon
ill	lara
chest	benèt
beans	buncis
culture	budaya
snow	ꦱꦭ꧀ꦗꦸ
good day	sugeng rinten
good night	sugeng dalu
good evening	sugeng sonten
good afternoon	sugeng siyang
good morning	sugeng enjing
open	mbukak
search engine	mesin goleki
typewriter	mesin tik
sperm	peju
shark	ꦲꦶꦪꦸ
tongue	ꦲꦶꦭꦠ꧀
light	ꦱꦸꦤꦂ
fat	ꦒꦶꦧꦱ꧀
mangosteen	ꦩꦁꦒꦶꦱ꧀
switch off	ꦩꦠꦼꦤꦶ
side dish	iwak
interaction	ꦆꦤ꧀ꦠꦼꦫꦏ꧀ꦱꦶ
ten thousand	ꦭꦼꦏ꧀ꦱ
instrument	ꦥꦼꦂꦏꦏꦱ꧀
instrument	ꦥꦶꦫꦤ꧀ꦠꦶ
if	ꦩꦤꦮ
ꦏꦏꦶ	ꦏꦏꦶꦄꦩꦺꦴꦁ
Aristotle	ꦄꦫꦶꦱ꧀ꦠꦺꦴꦠꦼꦭꦼꦱ꧀
cacah jiwa	ꦕꦕꦃꦗꦶꦮ
afterlife	ꦲꦏꦺꦫꦠ꧀
slowly	ꦲꦭꦺꦴꦤ꧀ꦲꦭꦺꦴꦤ꧀
burnt	ꦏꦼꦧꦿꦤꦁ
ꦕꦼꦩꦼꦁꦔꦚ꧀	ꦕꦼꦩꦼꦔꦚ꧀
consider	ngélingi
remember	éling
school	ꦱꦼꦏꦺꦴꦭꦃ
rose apple	ꦗꦩ꧀ꦧꦸ
hand	ꦠꦔꦤ꧀
female	ꦮꦤꦶꦠ
number	wilangan
wrecker	ꦥꦔꦿꦸꦱꦏ꧀
software	ꦥꦶꦫꦤ꧀ꦠꦶ ꦲꦭꦸꦱ꧀
fowl	pitik
craftsman	tukang
in	dalem
separation	wonga-wonga
dorsal fin	siwar
professor	guru ageng
ravine	jurang
volcano	gunung geni
volcano	redi latu
chest hair	simbar dhadha
chest hair	simbar jaja
body hair	wulu kalong
trick	upados
caterpillar	uler
bowl	mangkok
other	liya
win	menang
victory	jaya
staff	tongkat
old	tuwa
black	ireng
tooth	untu
steam	uwab
blood	ꦒꦼꦠꦶꦃ
date	tanggal
great-grandson	putu buyut
great-great-grandson	putu canggah
great-great-great-grandson	putu wareng
great-great-great-great-grandson	putu udeg-udeg
great-great-great-great-great-grandson	putu gantung siwur
great-great-great-great-great-great-grandson	putu grepak senthe
great-great-great-great-great-great-great-grandson	putu debog bosok
great-great-great-great-great-great-great-great-grandson	putu galih asem
want	arep
heron	ꦧ꧀ꦊꦏꦺꦴꦏ꧀
afterbirth	ꦧꦶꦁꦧꦶꦁ
danger	ꦧꦼꦧꦪ
church	ꦒꦿꦺꦗ
sentry-box	ꦒꦫ꧀ꦣꦸ
garudha	ꦒꦫꦸꦣ
bird	ꦩꦤꦸꦏ꧀
arrogant	ꦕꦸꦧꦿꦶꦪ
ravine	ꦗꦸꦫꦁ
fable	ꦢꦺꦴꦔꦺꦁ
finch	ꦲꦼꦩ꧀ꦥꦿꦶꦠ꧀
family	ꦏꦸꦭꦮꦫ꧀ꦒ
bulbul	ꦧꦸꦭ꧀ꦧꦸꦭ꧀
short	ꦕꦼꦏꦏ꧀
owl	ꦢꦫꦺꦱ꧀
forest	ꦲꦭꦱ꧀
strong	ꦏꦸꦮꦠ꧀
zakat	ꦗ꦳ꦏꦠ꧀
thumb	jempol
already	ꦱꦩ꧀ꦥꦸꦤ꧀
paper	dluwang
understand	ngerti
intention	niyat
defecate	ising
this	ꦥꦸꦤꦶꦏ
salt	ꦲꦸꦪꦃ
wish	karep
epilepsy	ꦲꦪꦤ꧀
ride	kapalan
house	omah
body	slira
gland	klanjer
thyroid gland	klanjer gondhok
goitre	gondhok
word	tembung
union	sarékat
trade union	sarékat dagang
interest	uyahan
library	pabukon
library	bibliotik
youth	kanoman
effeminate	banci
cupboard	lemari
step-	kuwalon
stepchild	anak kuwalon
stepfather	bapak kuwalon
younger	rayi
sibling	sadulur
sibling	sadhèrèk
chess	sekak
child	bocah
believe	percaya
radish	lobak
fist	bithi
naked	wuda
ngoko	krama-ngoko
you	kowé
you	sampéyan
you	panjenengan
he	dhèwèké
he	piyambakipun
who	sinten
what	punapa
when	bénjang punapa
when	bénjing punapa
how	kapriyé
how	kados pundi
not	dédé
not	sanès
all	kabèh
if	yèn
if	manawi
wife	bojo wadon
wife	garwa putri
husband	bojo lanang
husband	garwa kakung
leap year	taun wuntu
foreskin	ikut
padlock	gembok
padlock	kontholan
scrotum	konthol
glans penis	kasapah
glans penis	gathèl
news	wartos
money	ꦪꦠꦿ
coin	dhuwit
ꦪꦠꦿ	ꦣꦸꦮꦶꦠ꧀
sentence	ukara
sentence	ꦲꦸꦏꦫ
moment	nalika
region	laladan
region	tlatah
territory	wewengkon
many	akèh
many	kathah
shape	wangun
sister	mbak
official	ꦥꦿꦧꦸ
liquor	likir
elephant	ꦲꦱ꧀ꦠꦶ
pulo	ꦥꦸꦭꦺꦴ
heaven	swarga
ꦕꦺꦭꦺꦁ	cèlèng
sound	swara
yawn	angob
cry	nangis
penganan	panganan
watoe	ꦮꦠꦸ
tetedhan	tedhan
dhedhaharan	dhaharan
food	ꦥꦔꦤ꧀ꦤꦤ꧀
ꦠꦼꦠꦼꦣꦤ꧀	ꦠꦼꦣꦤ꧀
ꦣꦼꦣꦲꦂꦫꦤ꧀	ꦣꦲꦂꦫꦤ꧀
eat	nedha
eat	dhahar
eat	ꦤꦼꦣ
eat	ꦣꦲꦂ
eat	ndhahar
eat	ꦲꦤ꧀ꦝꦲꦂ
pavilion	ꦧꦭꦺ
female	ꦮꦢꦺꦴꦤ꧀
female	ꦥꦸꦠꦿꦶ
female	ꦲꦺꦱ꧀ꦠꦿꦶ
female	èstri
woman	ꦮꦺꦴꦁꦮꦢꦺꦴꦤ꧀
girl	bocah wadon
bedroom	patileman
bedroom	pasaréan
bedroom	ꦥꦠꦸꦫꦺꦴꦤ꧀
bedroom	ꦥꦠꦶꦊꦩ꧀ꦩꦤ꧀
bedroom	ꦥꦱꦫꦺꦪꦤ꧀
sleep	ꦱꦫꦺ
sleep	ꦠꦸꦫꦸ
beautiful	ꦲꦪꦸ
water	ꦧꦚꦸ
water	ꦠꦺꦴꦪ
father	ꦧꦥꦏ꧀
title	ꦫꦩ
stepfather	ꦧꦥꦏ꧀ꦏꦸꦮꦭꦺꦴꦤ꧀
stepfather	ꦫꦩꦏꦸꦮꦭꦺꦴꦤ꧀
stepfather	rama kuwalon
speech	ꦧꦱ
or	ꦲꦸꦠꦮ
or	ꦲꦠꦮ
or	ꦲꦸꦠꦮꦶ
sulfur	wlirang
sulfur	ꦮ꧀ꦭꦶꦫꦁ
big	ꦲꦒꦼꦁ
forest	ꦮꦤ
fire	ꦧꦿꦩ
fire	ꦒꦼꦤꦶ
fire	ꦭꦠꦸ
fire	ꦲꦒ꧀ꦤꦶ
read	ꦩꦕ
read	ꦩꦲꦺꦴꦱ꧀
different	béda
different	ꦧꦺꦢ
evening	ꦮꦼꦔꦶ
day	ꦢꦶꦤ
day	ꦢꦶꦤ꧀ꦠꦼꦤ꧀
nipple	penthil
letter	layang
snake	sarpa
shadow	bayang-bayang
counselor	mantri
fly	laler
ginger	ꦗꦲꦺ
ray	ꦥꦺ
rhinoceros	warak
hot	ꦥꦤꦱ꧀
wave	ombak
monastery	ꦮꦶꦲꦫ
choose	milih
dumb	bisu
bank	pinggir
poop	sikak
bland	cemplang
trick	upaya
back	kémpol
middle finger	driji panunggul
finger	driji
pillow	karang ulu
pillow	kajang sirah
west	timuran
northeast	narasunya
southeast	byabya
south	duksina
southwest	kanéya
west	pascima
northwest	nurwitri
family	ꦏꦸꦭꦮꦂꦒ
forefinger	driji panuduh
forefinger	driji panuding
ring finger	driji manis
ring finger	jenthik manis
ring finger	klilingan
thumb	klingking
middle finger	driji panengah
oath	supata
oath	supaos
green	ijem
wild boar	andhapan
piggy bank	cèlèngan
town	ꦏꦸꦛ
earthquake	lindhu
crystal clear	cetha wela-wela
clear	cetha
banana	gedhang
near	cedhak
head	endhas
egg	endhog
pork	iwak babi
side dish	lawuh
dwelling-place	padunungan
freshwater	iwak loh
meat	iwak daging
sea fish	iwak sagara
river	bangawan
river	banawi
river	jahnawi
ditch	kalèn
sea	jaladri
sea	samodra
small	cilik
premarital	jeneng cilik
postmarital	jeneng tuwa
young	enom
pain	nyeri
letter	nawala
dog	cemera
dog	baung
bear	bruwang
snake	taksaka
color	werna
moon	sasangka
bamboo	pring
fort	bètèng
chess pieces	wong-wongan catur
pawn	bidhag
fort	baluwarti
horse	turangga
cluster	dhapur
kitchen	pawon
fog	pedhut
smoke	kebul
priest	dwija
queen bee	guru tawon
let alone	aja cacak
let alone	apa manèh
let alone	aja manèh
elbow	sikut
knee	dhengkul
leaf	godhong
stag beetle	kuwangwung
powder	bubuk
rudder	setir
motor	montor
tax	pajeg
taxpayer	warga pajeg
head tax	pajeg sirah
income tax	pajeg opahan
tax collector	panarik pajeg
tobacco	tembako
arrange	susun
respect	sembah
eye	ꦩꦠ
hero	prawira
bathe	adus
star	lintang
harbour	pabéyan
regency	ꦏꦧꦸꦥꦠꦺꦤ꧀
message	tungkas
garden	kebon
coast	pesisir
date	ꦠꦁꦒꦭ꧀
clean	resik
domesticated	ꦧꦧꦶ
monitor lizard	ꦩꦼꦚꦮꦏ꧀
open	ꦧꦸꦏꦏ꧀
open	ꦧꦶꦏꦏ꧀
corpse	ꦧꦛꦁ
tradition	ꦲꦢꦠ꧀
kinsmen	ꦮꦁꦱ
nation	ꦧꦁꦱ
islands	ꦤꦸꦱꦤ꧀ꦠꦫ
flower	ꦏꦼꦩ꧀ꦧꦁ
rib	ꦲꦶꦒ
office	ꦏꦤ꧀ꦠꦺꦴꦂ
close	ꦩꦶꦠꦿ
sorry	ngapura
needle	ꦢꦺꦴꦩ꧀
we	ꦏꦩꦶ
toko	ꦠꦺꦴꦏꦺꦴ
king	ꦧꦸꦥꦠꦶ
come	ꦠꦼꦏ
older	ꦏꦏꦁ
heroic	ꦥꦿꦮꦶꦫ
iron	ꦮꦼꦱꦶ
speech	ꦮꦶꦕꦫ
speech	ꦮꦶꦕꦤ꧀ꦠꦼꦤ꧀
plate	ꦥꦶꦁꦒꦤ꧀
wash	ꦗꦩꦱ꧀
wash	ꦏꦿꦩꦱ꧀
skill	ꦏꦿꦶꦪ
walk	mlaku
dandelion	pakliman
solid	ꦏꦸꦏꦸꦃ
solid	ꦏꦺꦏꦃ
powerful	ꦏꦮꦱ
flag	ꦥꦚ꧀ꦗꦶ
grass	suket
grass	ꦱꦸꦏꦼꦠ꧀
grass	ꦫꦸꦩ꧀ꦥꦸꦠ꧀
sad	susah
powerful	ꦏꦸꦮꦱ
true	ꦚꦠ
sign	tandha
eel	welut
enter	mlebu
pay	mbayar
sand	wedhi
saw	graji
mirror	pengilon
morning	esuk
do	gawe
cough	watuk
army	perjurit
son	anak lanang
male	lanang
daughter	anak wadon
floor	jogan
cold	adhem
collapse	ambruk
collapse	rubuh
comb	jungkat
ripe	mateng
count	ngetung
ascend	munggah
dagger	glathi
dance	njoget
dance	joget
dark	peteng
descend	mudhun
dig	dhudhuk
dirty	reged
disappear	ngilang
dream	ngimpi
duck	bèbèk
flag	gendéra
work	gawé
live	urip
fly	mabur
fly	miber
full	kebak
seed	winih
firearm	bedhil
gun	mriem
help	nulung
high	dhuwur
hungry	luwé
kill	matèni
interpreter	juru basa
jump	mlumpat
calf	wentis
give	mènèh
catch	cekel
lake	tlaga
learn	sinau
lie down	glèthak
light	ènthèng
split	nyigar
base	dhasar
paddle	dhayung
forehead	bathuk
merchant	sodagar
merchant	wong dagang
relative	sedulur
sit	lungguh
enemy	mungsuh
narrow	sesak
add	nambah
behaviour	ꦏꦿꦩ
other	séjé
outer	njaba
rich	sugih
paint	cèt
part	bagéan
tip	pucuk
pepper	mrica
place	panggonan
plant	tandur
plank	blabak
play	dolan
consider	anggep
mud	lendhut
plough	waluku
pocket	kanthong
point	tudhing
poor	mlarat
potato	kenthang
back	mburi
rest	ngaso
return	walik
return	mulih
ring	ali-ali
rob	rampok
steal	nyolong
steal	colong
room	senthong
root	oyot
run	mlayu
sharpen	ngasah
shave	nyukur
cry	njerit
close	nutup
tell	kandha
shoulder	pundhak
search	glédhah
see	delok
seek	golèk
self	dhéwé
sell	edol
send	ngirim
sew	dondom
silver	selaka
sink	kèrem
sneeze	wahing
snore	ngorok
mouth	cangkem
short	cendhèk
sharp	landhep
skink	kadhal
necklace	kalung
sour	kecut
thunder	bledhèg
thunder	gludhug
airplane	montor mabur
ray	sorot
silver	pérak
time	wektu
foreign	anèh
spread	nyebar
speak	omong-omong
stab	nyuduk
love	ꦠꦽꦱ꧀ꦤ
sea	ꦱꦒꦫ
religion	ꦲꦒꦩ
flour	glepung
student	ꦱꦶꦱꦾ
belly	weteng
ꦪꦠꦿ	ꦲꦂꦠ
blowpipe	tulup
blind	picek
break	nugel
programme	ꦲꦕꦫ
drug	ꦲꦸꦱꦢ
main	ꦧꦏꦸ
step	jangkah
sword	pedhang
sweep	nyapu
today	dina iki
toe	driji sikil
toothache	lara untu
tobacco	mbako
tired	kesel
tie	rangkèt
time	wayah
below	ngisor
vacant	lowong
village	désa
warehouse	gudhang
wash	ngumbah
life	ꦚꦮ
whisper	bisik
