at	pie
Mars	Marss
hay	siens
influenza	gripa
rain	lietus
flea	blusa
find	rast
Africa	Āfrika
goose	zoss
of me	manis
porridge	putra
deer	briedis
against	pret
of that	tā
ornament	ornaments
paintbrush	ota
cemetery	kapi
polite greeting	labrīt
good day	labdien
hello	sveika
safe	sveiks
hello	sveiki
polite greeting	labvakar
cattle	govs
knife	nazis
month	marts
good	labs
referendum	referendums
lift	celts
Latvian folksong	daina
fish	zivs
fly	muša
top	virsa
use	jau
park	parks
when	kad
woodcock	sloka
pea	zirnis
long	aste
marshy meadow	lanka
leaf	lapa
money	nauda
neon	neons
leg	stara
Eritrea	Eritreja
steppe	stepe
peace	miers
war	karš
butter	sviests
concrete	betons
police	policija
love	mīla
waistcoat	veste
straw	salmi
inch	colla
cold	salts
orgasm	orgasms
liar	mele
melon	melone
gram	grams
female	ministre
flour	milti
Prussia	Prūsija
thin	rets
go	iets
England	Anglija
love	mīlestība
kind	mīli
creamery	krejotava
country	armija
lip	lūpa
Finn	soms
papaya	papaija
you	jūs
Finland	Somija
candela	kandela
plow	aram
tip	gals
we	mēs
poo	kaka
bill	banknote
Englishman	anglis
leopard	leopards
refuse	liegt
avocado plant	avokado
second	sekunde
amulet	amulets
cold	saltais
risk	risks
through	cauri
male	idiots
pole	stabs
obelisk	obelisks
fear	bailes
glasses	brilles
beetle	vabole
thought	doma
purple	violets
bench	sols
hunger	bads
hard	stings
cement	cements
pilot	pilots
self	pats
hamburger	hamburgers
give	dots
pot	pods
year	gads
color	krāsa
ford	brads
beehive	strops
tapir	tapirs
fingernail	nags
air	gaiss
orangutan	orangutans
wels catfish	sams
dark	brunets
spaniel	spaniels
glasses	acenes
shepherd	gane
oil	eļļa
humor	humors
monitor	monitors
passport	pase
harrier	lija
Jonah	Jonas
cup	tase
plural	mats
use	jā
passageway	eja
guide	gids
livestock	lops
burden	nasta
from	no
patriot	patriots
modern	moderns
humorist	humorists
boreal forest	taiga
Corsica	Korsika
low area	leja
China	Ķīna
domestic cat	kaķis
day	diena
bad	smaka
pi	pī
coarse	rupi
salmon	lasis
Sanita	Zane
apple fruit	ābols
volt	volts
chlorophyll	hlorofils
compass	kompass
ear	auss
pig	cūka
acid	skābe
drink	dzert
hand fan	vēdeklis
boot	zābaks
sword	zobens
sperm	sperma
cold	salti
early	agri
mail	pasts
bridge	tilts
male	centrists
Christ	Kristus
lizard	ķirzaka
arch	arka
lower part	leija
ecliptic	ekliptika
proton	protons
plow	neart
metropolis	metropole
salt	sāls
panther	pantera
motor	motors
optimist	optimists
metaphor	metafora
spore	spora
kiss	buča
secretly	slepen
Antarctic	Antarktika
rope	anka
frequency	frekvence
calla	kalla
pole	pols
caliph	kalifs
energy	spars
plow	arums
group	grupa
resurrection	augšāmcelšanās
bear	lācis
gale	auka
thin	reti
napkin	salvete
meat	gaļa
wheat	kvieši
column	kolonna
team	komanda
cross country	kross
frost	sarma
molecule	molekula
lazy	slinks
place	vieta
mobile	mobili
physics	fizika
raspberry	avene
flood	pali
female giant	milze
beet	biete
statistics	statistika
necklace	kaklarota
clamp	skava
idiot	idiote
thing	lieta
modern	moderni
patient	paciente
only	vien
grammar	gramatika
ruble	rublis
lie	melot
found	radis
king	karalis
file	fails
Mr.	misters
own	savs
to us	mums
hard	stingi
ink	tinte
gull	kaiva
say	sakot
pack	pakot
macaroni	makaroni
soul	dvēsele
tobacco	tabaka
feather	spalva
read	lasīt
amorphous	amorfi
storm	vētra
bone	kauls
night	nakts
bed	gulta
butterfly	tauriņš
horse	zirgs
branch	zars
book	grāmata
happiness	laima
madder	madara
duck	pīle
penalty	sods
Margarita	Marita
emerald	smaragds
Briton	brits
let	laist
basilica	bazilika
hour	stunda
erosion	erozija
gnat	ods
idol	elks
attic	mansards
micro-	mikro-
kilogram	kilograms
bassoon	fagots
bleak	alata
left	kreisi
Aleksejs	Aleksis
linguistics	lingvistika
aggression	agresija
biophysics	biofizika
astronomy	astronomija
acoustics	akustika
theory	teorija
melody	melodija
yacht	jahta
round	ap
ohm	oms
action	akcija
anarchy	anarhija
anatomy	anatomija
battery	baterija
economy	ekonomija
technology	tehnika
belt	josta
plowing	arot
function	funkcija
symmetry	simetrija
Ghana	Gana
Guinea	Gvineja
Korean Peninsula	Koreja
judo	džudo
course	gaita
led	vests
decibel	decibels
pour	liet
utopia	utopija
sweet	saldi
mineralogy	mineraloģija
factory	fabrika
cardigan	jaka
purple	purpurs
gun	bise
enjoyment	patika
from	iz
kill	nokaut
punctuation	interpunkcija
sun	saule
two	divi
anecdote	anekdote
crow	vārna
asymmetry	asimetrija
Lithuanian	lietuvis
prince	firsts
spring	pavasaris
hot	karsts
anagram	anagramma
he	bija
linden	liepa
noun	lietvārds
cloud	mākonis
primer	ābece
thaw	kust
singular	stikls
chocolate	šokolāde
fungus	sēne
beard	bārda
marten	cauna
goat	kaza
wine	vīns
package	paka
sea	jūra
lake	ezers
brother	brālis
chain	ķēde
clock	pulkstenis
mother	māte
steam	tvaiks
smoke	dūmi
Atis	Oto
louse	uts
table	galds
tree bark	miza
foodstuffs	pārtika
food prepare	ēdiens
Gita	Brigita
mosque	mošeja
swamp	pors
wheel	ritenis
synagogue	sinagoga
wind	vējš
Vairis	Vaira
Airita	Aira
hope	cerēt
flax	lins
abstract	abstrakti
library	bibliotēka
fjord	fjords
brother-in-law	dieveris
John	Jānis
mind	prāts
consciousness	apziņa
cube	kubs
work	darbs
soup	zupa
hotel	viesnīca
zit	pumpa
never	nekad
you	esi
golf	golfs
lacquer	laka
wolf	vilks
Gibraltar	Gibraltārs
hedgehog	ezis
scab	krevele
planet	planēta
star	zvaigzne
bucket	spainis
Isaiah	Jesaja
yoke	jūgs
armpit	paduse
nightmare	murgi
slipper	čība
forehead	piere
water	ūdens
Kosovo	Kosova
sky	debess
maggot	cirmenis
heart	sirds
adjective	visai
beach	pludmale
long	garais
Micah	Miha
abbot	abats
Latvian	latvis
apple tree	ābele
bronze	bronza
thread	diegs
husband	vīrs
cricket	circenis
snow	sniegs
culture	kultūra
jackdaw	kovārnis
bird	putns
helicopter	helikopters
hold	turot
sick	slims
guest	viese
quinoa	kinoja
eagle	ērglis
half	puse
itāļu valoda	itāļu valoda
sparrow	zvirbulis
nature	daba
gold	zelts
panic	panika
letter	vēstule
choir	koris
crayfish	vēzis
Latvian mythology	pūķis
toad	krupis
hymn	himna
sleep	miegs
pornography	pornogrāfija
hello	čau
swamp	purs
chandelier	lustra
Viktors	Viktorija
eat	ēst
go	iet
Aristotle	Aristotelis
Persephone	Persefone
hate	ienaids
death	nāve
criticism	kritika
lighting	kurot
people	tauta
know	protot
you	būsi
forest	mežs
be	būt
bathtub	vanna
dream	sapnis
winter	ziema
lion	lauva
hundred	simts
four	četri
prize	balva
ancestor	sence
galaxy	galaktika
sarkanā mušmire	sarkanā mušmire
virus	vīruss
history	vēsture
religion	reliģija
geology	ģeoloģija
petrography	petrogrāfija
empire	impērija
Near East	Tuvie Austrumi
Egypt	Ēģipte
Nile	Nīla
Mediterranean Sea	Vidusjūra
English	angļu
Baltija	Baltijas jūra
capital city	galvaspilsēta
Russia	Krievija
literature	literatūra
ewe	avs
male sheep	auns
capitalize	dievs
Raimonds	Ramona
dawn	ausis
Agneta	Agnese
cattle	kaut
Mary	Marija
Adam	Ādams
evening	vakars
elephant	zilonis
goodbye	atā
goodbye	visu labu
find	vainot
long	gari
profession	profesija
idea	ideja
emotion	emocija
Eva	Evita
meow	mjau
warm	silts
kelvin	kelvins
lemon tree	citrons
tar	darva
usual	parasti
civilian	civils
coarse	rups
hatred	naids
date	datums
flame	liesma
other	cits
hot	karsti
grade	klase
give	devis
palatalization	¸
symbolist	simboliste
milli-	mili-
salamander	salamandra
Louisiana	Luiziāna
Central Europe	Centrāleiropa
embrace	skaut
misanthropy	mizantropija
frozen	salis
drum	bungot
threshing barn	rija
female	centriste
autumn	rudens
usually singular	viss
Danube	Donava
teat	pups
production	produkcija
gigantism	gigantisms
triolet	triolets
tortoise	bruņurupucis
judge	spriest
amusing	amizants
woman	sieviete
plow	ataris
burning	degšana
fire	uguns
coffee	kafija
tea plant	tēja
flax	lini
dangerous	bīstams
scholarship	stipendija
length	garums
cactus	kaktuss
crystal	kristāls
orphan	bārenis
bite	pakost
tomātu mērce	tomātu mērce
computer	dators
computer	kompjūters
ceremony	ceremonija
smithy	kalve
complex	sarežģīts
angel	eņģelis
problem	problēma
oak tree	ozols
hollow	dobs
fog	migla
cotton wool	vate
lighting	kuram
tasty	gardi
otter	ūdrs
use	nē
Armenia	Armēnija
love	mīlēt
erotica	erotika
lesbian	lesbiete
blood	asinis
temperature	temperatūra
edge	asmens
marijuana	marihuāna
there	turpu
melnā nāve	melnā nāve
snake	čūska
demon	dēmons
penis	dzimumloceklis
friend	draugs
Eve	Ieva
to you	jums
joke	joks
squirrel	vāvere
dictionary	vārdnīca
bromine	broms
your	tavs
dig	rakt
Joshua	Jozua
jellyfish	medūza
blind	akli
blind	aklais
schizophrenia	šizofrēnija
full	velt
Obadiah	Obadja
open	veram
seismology	seismoloģija
cockscomb	sekste
terrible	baigi
terrible	baigs
field	lauks
ancient	senais
prostitution	prostitūcija
pasaule	pasaules senākā profesija
skin	āda
humorist	humoriste
Australia	Austrālija
Turkey	Turcija
Ireland	Īrija
Iceland	Īslande
Norway	Norvēģija
Denmark	Dānija
Mozambique	Mozambika
South Africa	Dienvidāfrika
Djibouti	Džibutija
Azerbaijan	Azerbaidžāna
Sri Lanka	Šrilanka
Vietnam	Vjetnama
Israel	Izraēla
Maldives	Maldīvija
North Macedonia	Maķedonija
Cyprus	Kipra
Grenada	Grenāda
Soviet Union	Padomju Savienība
indecent	mauka
metaphysics	metafizika
king	konings
Girl Guide	gaida
steam	garot
foreskin	priekšāda
stupid	dumi
hero	varonis
endure	paciest
die	miris
discussion	diskusija
capybara	kapibara
regiment	pulks
astrophysics	astrofizika
industry	industrija
dynamics	dinamika
prism	prizma
wax	vasks
use	turp
Kamchatka	Kamčatka
low	zemi
ore	rūda
rat	žurka
season	sezona
notikumu horizonts	notikumu horizonts
horizon	horizonts
event	notikums
pornographer	pornogrāfs
airplane	lidmašīna
aircraft	lidaparāts
siena drudzis	siena drudzis
week	nedēļa
pond	dīķis
therapy	terapija
relative	rads
language	valoda
Tanzania	Tanzānija
Somalia	Somālija
Chad	Čada
Equatorial Guinea	Ekvatoriālā Gvineja
Cameroon	Kamerūna
pit	bedre
flint	krams
bitten	kosts
sonnet	sonets
tavern	krogs
people	slavens
pronoun	pronomens
weight	svars
telephone	telefons
Anna	Anete
guard	sargs
oar	airis
Slovakia	Slovakija
male	inspirators
diphthong	diftongs
document	dokuments
male	andorietis
dynasty	dinastija
monarchy	monarhija
middle	vidus
act	akts
smelled	osts
manuscript	manuskripts
hazel	lazda
studio	studija
isotherm	izoterma
dance	dancis
abstract	abstrakts
coarse	rupais
fox	lapsa
Monday	pirmdiena
Tuesday	otrdiena
Wednesday	trešdiena
Thursday	ceturtdiena
Friday	piektdiena
Saturday	sestdiena
Sunday	svētdiena
court	tiesa
humid	mitri
Brabant	Brabante
look	skats
dialect	dialekts
tent	telts
yak	jaks
Susanna	Zuzanna
happy birthday	daudz laimes
Agris	Agra
monsoon	musons
give	devies
chin	zods
spruce	egle
light	gaisma
he	viņš
oligarchy	oligarhija
colony	kolonija
conception	koncepcija
sweet	salds
moonshine	kandža
political party	partija
grammatical particle	partikula
time	reize
brunette	brunete
self	sevi
knee	celis
motor	dzinējs
liniment	ziede
lead	svins
gasket	blīve
thank you	paldies
put	likt
homosexuality	homoseksualitāte
ink	blaka
Islam	islāms
shahada	šahāda
Korāns	korāns
saules vējš	saules vējš
fortress	cietoksnis
jackal	šakālis
telephony	telefonija
thermodynamics	termodinamika
astronomiskā vienība	astronomiskā vienība
author	autors
lion	lavis
seksuālā orientācija	seksuālā orientācija
asexuality	aseksualitāte
bisexuality	biseksualitāte
heterosexuality	heteroseksualitāte
apostrophe	apostrofs
denomination	konfesija
corruption	korupcija
rite	rits
tissue	audi
our	mūsu
any more	vairs
Christadelphian	kristadelfietis
boy	puika
dozen	ducis
refrigerator	ledusskapis
home page	sākumlapa
ash tree	osis
open	neveram
plow	nearis
usual	ciet
till	aparis
find	rodam
revolver	revolveris
run	skriet
veneer	finieris
bull	bullis
roast	cepis
cook	cepam
hoping	ceram
wolverine	tinis
teacher	skolotājs
tower	tornis
elk	alnis
step	solis
powder	pulveris
cholera	holera
hit	sitam
humid	valgi
temple	templis
sable	sabulis
moronic	debili
reddish	rudi
prescription	recepte
transparent	transparenti
please	lūdzu
month	septembris
month	novembris
month	decembris
Northern Cyprus	Ziemeļkipra
Jersey	Džērsija
Liechtenstein	Lihtenšteina
pear fruit	bumbieris
apelsīnu sula	apelsīnu sula
bath	pelde
we	esam
house	nams
jetty	mols
throne	tronis
fame	slavs
ionosphere	jonosfēra
note	nots
mobile	mobils
pipe	vads
microscope	mikroskops
telescope	teleskops
colon	kols
diploma	diploms
epithet	epitets
project	projekts
million	miljons
product	produkts
male	serbs
continent	kontinents
astronomer	astronoms
pebble	olis
logarithm	logaritms
zoologist	zoologs
biologist	biologs
common gull	kajaks
anthropologist	antropologs
ecologist	ekologs
cosmologist	kosmologs
ornithologist	ornitologs
linguist	lingvists
electron	elektrons
stop	punkts
topologist	topologs
rhombus	rombs
billards	biljards
gentleman	kungs
clone	klons
Peter	Pēteris
Joseph	Jāzeps
Jacob	Jēkabs
Andrew	Andrejs
Paula	Pauls
Paul	Pāvils
Thomas	Toms
Karlīna	Kārlis
Brencis	Lauris
cart	rati
not	nevis
David	Dāvids
blast furnace	domna
Kristers	Kristiāns
Mark	Marks
Matthew	Matīss
Matthew	Matejs
flog	peram
Michael	Miķelis
Stephen	Stefans
punch	sitiens
Daniel	Daniels
smelled	odis
Elvis	Elviss
arc	loks
month	janvāris
month	februāris
month	aprīlis
month	maijs
month	jūnijs
month	jūlijs
month	augusts
month	oktobris
three	trīs
five	pieci
nine	deviņi
singular	cukurs
eight	astoņi
Philip	Filips
Christmas	Ziemassvētki
lick	laizīt
translation	tulkojums
translate	tulkot
method	metode
drive in	iesist
system	sistēma
naked	kails
naked	pliks
nakedness	kailums
nakedness	plikums
understand	saprast
want	gribēt
admire	dievināt
pornographic	pornogrāfisks
speak	runāt
buy	pirkt
horrible	šausmīgs
see	redzēt
grow	audzēt
do	darīt
garden	dārzs
goddess	Māra
Diana	Diāna
clan	klans
Elizabeth	Elizabete
people	mirt
Laimi	Laima
anvil	lakta
parliament	parlaments
save	glābt
lack	trūkt
raise	audzināt
divide	dalīt
hold	turēt
prepare	gatavot
bless	svētīt
Arius	Ārijs
Lydia	Lidija
Esther	Estere
nothing	nekas
fluorine	fluors
phosphorus	fosfors
insect	insekts
Slovak	slovaks
theologian	teologs
phenomenon	fenomens
protect	sargāt
hear	dzirdēt
sleep	gulēt
flow	tecēt
say	sacīt
infinitive	prast
steal	zagt
sing	dziedāt
get	dabūt
study	studēt
discuss	diskutēt
Lilith	Lilita
found	rasts
crocodile	krokodils
customer	klients
racist	rasists
shoulder	plecs
tools	lāpstiņa
marathon	maratons
plural	centiens
European perch	asars
dictator	diktators
antimony	antimons
argon	argons
Taoism	daoisms
fun	jakts
micron	mikrons
paleontologist	paleontologs
radon	radons
intense cold	sals
tungsten	volframs
Tamar	Tamāra
Irēna	Arina
stab	durt
finish	beigt
be	skumt
Ksenija	Oksana
wasp	lapsene
your	jūsu
devil	Zintis
economy	ekonomika
aluminum	alumīnijs
comedy	komika
Judith	Judīte
legend	teika
known	pratis
Raitis	Raita
Simon	Sīmanis
female dog	kuce
participle	particips
Normandy	Normandija
go	neiet
hold	neturam
microphone	mikrofons
burning	degam
gull	kaija
toy	paija
deep place	selga
psychology	psiholoģija
know	zināt
rabbit	trusis
Japan	jena
European perch	aseris
swap	apmainīt
Croatia	Horvātija
Luxembourg	Luksemburga
Montenegro	Melnkalne
Serbia	Serbija
Kazakhstan	Kazahstāna
Asia	Āzija
Europe	Eiropa
North America	Ziemeļamerika
South America	Dienvidamerika
ocean	okeāns
month	mēnesis
state	valsts
lightning	zibens
Saint Lucia	Sentlūsija
currency	valūta
energy	enerģija
teach	mācīt
hide	slēpt
help	palīdzēt
suck	sūkt
sleep	dusēt
blind	akls
cut	šķērst
broom	slota
interesting	interesanti
you	tevi
Belarusian	baltkrieviski
question	jautājums
his	viņa
they	viņi
her	viņas
man ir jautājums	man ir jautājums
button	poga
little sack	maisiņš
sēklinieku maisiņš	sēklinieku maisiņš
classification	klasifikācija
beautiful	skaists
plow a little	paart
appear	tapt
penis	pipele
penis	pimpis
suck	sūkāt
faggot	pediņš
seed	sēkla
ejaculation	ejakulācija
homo	homiķis
homosexuality	homoseksuālisms
tail	pēcpuse
plant	sēklinieks
anus	tūplis
opening	atvere
tasty	gards
cross	krusts
growing	augam
liar	melis
behind	aiz
beautiful	dails
beauty	daile
away	nost
moderation	sāts
to you	tev
pineapple	ananass
sad	bēdīgs
full	pillais
pharaoh	faraons
flow	tece
vagina	maksts
get	iekļūt
information	informācija
anal orifice	anālā atvere
anal	anāls
stencil	trafarets
pressing	iespiešana
intransitive	dejot
scales	svari
how	cik
to	sev
top	stulms
philosopher	filozofe
ball	bumba
time	laiks
outside	laukā
in time	laikā
probably	laikam
neck	kakls
cellar	pagrabs
enclosure	aploks
daughter	meita
doctor	ārsts
person	cilvēks
father	tēvs
son	dēls
male	uzbeks
roof	jumts
mountain	kalns
child	bērns
finger	pirksts
bush	krūms
city	pilsēta
evening	vakarā
name	vārds
surname	uzvārds
coat	svārki
rye	rudzi
sack	maiss
farmer	saimnieks
male	ubags
baker	maiznieks
schoolboy	skolnieks
cabbage	kāposti
carrot	burkāns
glove	cimds
sex	sekss
chair	krēsls
wife	sieva
out	ārā
Italic	itālis
nominative case	nominatīvs
accusative case	akuzatīvs
genitive case	ģenitīvs
dative case	datīvs
instrumental case	instrumentālis
locative case	lokatīvs
vocative case	vokatīvs
wardrobe	skapis
singular	vienskaitlis
plural	daudzskaitlis
foggily	mākoni
swan	gulbis
market	tirgus
service	dienests
apricot	aprikoze
Japanese man	japānis
onion	sīpols
shop	veikals
plant	stāds
sexuality	seksualitāte
gay	gejs
rice	rīss
lettuce	salāts
vegetable	dārzājs
pepper	pipars
election	vēlēšanas
wish	vēlējumies
eye	acs
falcon	piekūns
orphan	bārene
wart	kārpa
shrew	cirslis
jihad	džihāds
fever	drudzis
pear tree	bumbiere
freedom	brīvība
friendship	draudzība
friend	draudzene
dense	blīvi
bubble	burbulis
leg	kāja
on foot	kājām
rooster	gailis
street	iela
butcher	miesnieks
writer	rakstnieks
article	raksts
flesh	miesa
ox	vērsis
voice	balss
name	cūkas
seaman	jūrnieks
gardener	dārznieks
linguist	valodnieks
islander	salinieks
road	ceļš
traveler	ceļinieks
peasant	zemnieks
worker	strādnieks
employee	darbinieks
action	darbība
darbības vārds	darbības vārds
lift	ceļam
he	ceļos
uncontrolled	ugunsgrēks
sin	grēks
worm	tārps
iron	dzelzs
sex	dzimums
sex organ	dzimumorgāns
vagina	vagīna
limb	loceklis
organ	orgāns
life	dzīve
living	dzīvi
hell	pekle
season	gadalaiks
number	skaitlis
īpašības vārds	īpašības vārds
essential	īpašība
linguistics	valodniecība
traveler	ceļiniece
orange	apelsīns
fruit	auglis
augļu dārzs	augļu dārzs
vegetable	dārzenis
vegetable gardening	dārzeņkopība
garden	dārziņš
girl	meitene
boy	zēns
horticulturist	dārzkopis
horticulturist	dārzkope
horticulture	dārzkopība
gardener	dārzniece
liquid	šķidrums
solid	cietviela
matter	viela
employee	darbiniece
seaman	jūrniece
orientation	orientācija
homosexual	homoseksuālists
enemy	ienaidnieks
enemy	naidnieks
sailor	kuģinieks
itāliešu valoda	itāliešu valoda
male	itālietis
kakla rota	kakla rota
noun	substantīvs
adjective	adjektīvs
numeral	numerālis
preposition	prepozīcija
conjunction	konjunkcija
interjection	interjekcija
apstākļa vārds	apstākļa vārds
pronoun	vietniekvārds
skaitļa vārds	skaitļa vārds
preposition	prievārds
izsauksmes vārds	izsauksmes vārds
conjunction	saiklis
circumstance	apstāklis
stuff	lietas
replacement	vietnieks
instead	vietā
replacement	vietniece
izsauksmes vārds	izsauksmes
enemy	ienaidniece
ship	kuģis
sailor	kuģiniece
female	maizniece
butcher	miesniece
enemy	naidniece
writer	rakstniece
islander	saliniece
schoolgirl	skolniece
worker	strādniece
linguist	valodniece
peasant	zemniece
family	ģimene
hare	zaķis
cucumber	gurķis
garlic	ķiploks
pumpkin	ķirbis
potato	kartupelis
Bible	Bībele
flower	puķe
blossom	zieds
blooming	ziedam
Bībele	bībele
calf	teļš
calf	telēns
cattle	liellops
small	mazs
short tail	ļipa
male goat	āzis
young	kazlēns
male sheep	teķis
young	jērs
polar bear	polārlācis
polar bear	leduslācis
baltais lācis	baltais lācis
baigais gads	baigais gads
ledus lācis	ledus lācis
polārais lācis	polārais lācis
polar	polārs
sexual	seksuāls
homosexual	homoseksuāls
Qur'an	Korāns
horse	ķēve
Kurd	kurds
kurdu valoda	kurdu valoda
Latvian	latvietis
Latin	latīnis
device	aparāts
machine	mašīna
shovel	lāpsta
darling	saulīte
Latvian	latve
female	latviete
young woman	jauniete
relative	jauns
young man	jaunietis
birchbark	tāss
birch tree	bērzs
eyeball	acsābols
acs ābols	acs ābols
redzes nervs	redzes nervs
retina	tīklene
mesh	tīkls
stiklveida ķermenis	stiklveida ķermenis
body	ķermenis
usually plural	lēca
ciliary body	starene
starenes muskulis	starenes muskulis
muscle	muskulis
gonad	dzimumdziedzeris
aizkuņģa dziedzera sula	aizkuņģa dziedzera sula
pancreas	aizkuņģa dziedzeris
gland	dziedzeris
tīkla acis	tīkla acis
mugurējā acs kamera	mugurējā acs kamera
priekšējā acs kamera	priekšējā acs kamera
aqueous humour	ūdeņainais šķidrums
acs iekšējais šķidrums	acs iekšējais šķidrums
ciliary body	ciliārķermenis
acs kamera	acs kamera
balcony	balkons
pupil	zīlīte
acorn	zīle
iris	varavīksnene
rainbow	varavīksne
acs dobums	acs dobums
hollow	dobums
hollow	dobjš
orbit	orbīta
eyelid	plakstiņš
eyelid	plaksts
acu vāks	acu vāks
lid	vāks
cornea	radzene
sharp protuberance	radze
Šlemma kanāls	Šlemma kanāls
channel	kanāls
starenes saite	starenes saite
balss saite	balss saite
string	saite
necktie	kaklasaite
womb	dzemde
dzemdes kakls	dzemdes kakls
kakla saite	kakla saite
necktie	šlipse
throat	rīkle
choroid	dzīslene
blood vessel	dzīsla
blue	zili
tendon	cīpsla
artery	artērija
artēriju skleroze	artēriju skleroze
asinsvadu skleroze	asinsvadu skleroze
sclerosis	skleroze
atherosclerosis	ateroskleroze
izkaisītā skleroze	izkaisītā skleroze
blood vessel	asinsvads
barības vads	barības vads
vein	vēna
cholesterol	holesterīns
water pipe	ūdensvads
aqueduct	akvedukts
food	barība
forage	lopbarība
menu	ēdienkarte
map	karte
larynx	balsene
back	mugura
sclera	sklēra
sclera	cīpslene
windpipe	elpvads
windpipe	traheja
epiglottis	uzbalsenis
breath	elpa
breath	dvaša
breathing	dvašošana
breathing	elpošana
breathing in	ieelpa
breathing out	izelpa
female animal	mātīte
moon	mēness
