die	fa
height	ubude
woman	umfazi
child	umntwana
childhood	ubuntwana
lady	inkosikazi
husband	umyeni
man	indoda
manhood	ubudoda
mom	umama
animal	isilwane
bird	inyoni
louse	intwala
snake	inyoka
wrist	isihlahla
forest	ihlathi
stick	induku
stick	intonga
husk	ikhasi
seed	imbewu
open country	indle
history	imbali
rope	intambo
skin	isikhumba
meat	inyama
bone	ithambo
fat	amafutha
egg	iqanda
horn	uphondo
tail	umsila
hair	unwele
title	isihloko
ear	indlebe
face	ubuso
aloe	ikhala
mouth	umlomo
tooth	izinyo
nail	uzipho
foot	unyawo
leg	umlenze
hand	isandla
wing	iphiko
stomach	isisu
advice	icebo
recipe	iresiphi
hose	ithumbu
breast	ibele
liver	isibindi
act	isenzo
call	biza
sun	ilanga
white	umlungu
mamba	imamba
lion	ingonyama
water	amanzi
rain	imvula
river	umfula
lake	ichibi
sea	ulwandle
dust	uthuli
fog	inkungu
air	umoya
fire	umlilo
night	ubusuku
day	usuku
name	igama
daytime	imini
unmarried woman	inkosazana
father	uyihlo
father	uyise
your mother	unyoko
baby	usana
drink	phuza
suck	munca
applicative	-ela
person	umntu
Xhosa	umXhosa
tree	umthi
food	ukutya
love	uthando
eye	iliso
frog	isele
horse	ihashe
hippopotamus	imvubu
road	indlela
government	urhulumente
river	umlambo
chin	isilevu
you	wena
spoon	icephe
he	yena
family	usapho
autumn	ukwindla
beginning	isiqalo
beginning	ukuqala
he	lu-
it	bu-
they	zi-
him	m-
they	wa-
of	la-
of	lwa-
of	kwa-
these	lawo
Wednesday	uLwesithathu
Thursday	uLwesine
Friday	uLwesihlanu
Saturday	uMgqibelo
vomit	gabha
try	linga
stick	xinga
lose	luza
speed	amendu
class	ibanga
fight	lwa
ten	lishumi
green	luhlaza
brown	ntsundu
orange	orenji
red	bomvu
white	mhlophe
yellow	mthubi
fly	impukane
ant	imbovane
baby animal	intshontsho
bean	imbotyi
bird	intaka
book	incwadi
boy	inkwenkwe
bus	uduladula
car	inqwelo-mafutha
champion	intshatsheli
cheek	isidlele
cliff	iliwa
eel	umlenga
fable	intsomi
farm	intsimi
fish	intlanzi
forehead	ibunzi
frog	ixoxo
hero	igokra
wide	banzi
heavy	nzima
cough	phalaza
laugh	hleka
kill	bulala
hunt	zingela
congeal	nquma
stab	gwaza
lie	cambalala
live	hlala
turn	guquka
seat	isihlalo
goat	imbuzi
firm	ifema
initiate	umkhwetha
break	onaka
clean	nyulu
steal	eba
conceal	gusha
bear	ibhere
close up	vimba
begin	qala
eat	tya
inoculate	tofa
kudu	iqhude
chat	xoxa
skunk	iqaqa
silence	ukuthula
quiet	thula
room	igumbi
mud	udaka
throw	jula
samp	umngqusho
topic	umba
cover	cika
rand	irandi
spear	umkhonto
sheep	imvu
collect up	butha
with	nga-
come	phuma
do	enza
meek	mbuna
home	ikhaya
east	impumalanga
west	intshonalanga
cook	pheka
blanket	ingubo
fountain	umthombo
cow	inkomo
girl	intombi
ox	inkabi
prince	inkosana
five	hlanu
beautiful	hle
three	thathu
badness	ububi
oldness	ubudala
beauty	ubuhle
better	ngcono
ankle	iqatha
red ochre	ibomvu
redness	ububomvu
sore	buhlungu
pain	ubuhlungu
sharp	bukhali
blunt	buthuntu
vomit	hlanza
animal hair	uboya
bushbuck	imbabala
spot	ibala
color	umbala
buy	thenga
sell	thengisa
see	bonisa
pleasant	thandeka
build	akha
rib	ubambo
hit	betha
cook	imbiza
cross-cousin	umzala
corner	imbombo
fasten	bopha
buttock	isibunu
ask	buza
wash	hlamba
mad	geza
meet	hlangana
germ	igciwane
parent	umzali
gravy	umhluzi
pick	kha
bring	letha
pool	isiziba
body	umzimba
wound	isilonda
Sotho	isiSuthu
crocodile	ingwenya
warthog	ingulube
famine	indlala
buffalo	inyathi
nice	mnandi
write	bhala
prefer	khetha
look	bheka
work	sebenza
approach	sondela
run away	baleka
chest	isifuba
fly	bhabha
witness box	umkhumbi
television	umabonakude
wail	khala
grass mat	ikhukhu
telegram	ucingo
phone	fowuna
phone	fowunela
bus	ibhasi
wall	udonga
fold	isibaya
hero	iqhawe
place	indawo
calabash	isigubhu
walking stick	udondolo
strike	quba
stab	hlaba
computer	ikhompyutha
teach	fundisa
breed	fuya
teacher	umfundisi
reflect	khanya
money	imali
strength	amandla
hammer	isando
increase	andisa
hunter	umzingeli
jersey	ijezi
tough	lukhuni
death	ukufa
throw away	lahla
carry	thwala
rainbow	umnyama
lefthanded person	inxele
left-handedness	ubunxele
feast	isidlo
sickness	isifo
colleague	ugxa
fight	ukulwa
state	isimo
hip	isinqe
box	ibhokisi
ball	ibhola
gold	igolide
holiday	iholide
judge	ijaji
ancestor	ukhokho
lunch	ilantshi
moment	umzuzwana
second	umzuzu
light	ilitha
a lot	kakhulu
respect	hlonipha
get	fumana
song	iculo
song	ingoma
bat	ilulwane
hyena	impisi
rock hyrax	imbila
monkey	inkawu
black rhinoceros	ubhejane
ten	ishumi
America	iMelika
freedom	inkululeko
tribe	isizwe
return	buyisa
peace	uxolo
forgive	xola
right	ilungelo
plume	usiba
milk	ubisi
donkey	imbongolo
knowledge	ulwazi
use	sebenzisa
once	kanye
understand	qonda
duck	idada
pretty	bukeka
orange	i-orenji
six	thandathu
eight	sibhozo
nine	lithoba
seven	sixhenxe
raise	phakamisa
stand up	phakama
show clearly	bonisisa
slippery	nyinyithekisa
shake	shukumisa
move	shukuma
funny	hlekisa
hoe	hlakula
care	khathala
make	lethisa
separate	ahlula
point out	alatha
show	alathisa
receive	amkela
break	aphuka
break	aphula
pay	bhatala
lean	bhitya
die	bhubha
boil	bilisa
lend	boleka
thank	bulela
return	buyela
puff adder	ibululu
play	dlala
think	camanga
suggest	cebisa
explain	chaza
waste	chitha
touch	chukumisa
walk slowly	cotha
slow	cothisa
join	dibana
mix	dibanisa
tire	dinisa
tire	dinwa
feed	tyisa
pass	dlula
thunder	duduma
make	dwelisa
behind	emva
hurt	enzakala
hurt	enzakalisa
compare	fanisa
trifle	feketha
hide	fihla
warm	fudumala
heat	fudumeza
needed	funeka
pour	galela
fell	gawula
keep	gcina
feel cold	godola
go home	goduka
complete	gqiba
change	guqula
judge	gweba
chase away	gxotha
sleep	lalisa
appear	bonakala
bask	otha
bleed	opha
rear	ondla
enter	ngena
wake up	vuka
inside	phakathi
leave	shiya
bother	mosha
praise singer	imbongi
tomorrow	ngomso
descend	hla
choose	nyula
agree	vuma
relate	alamana
pick	chonga
loathe	thiya
cart	thutha
unite	manya
cool	phola
beer	utywala
forget	libala
iron	intsimbi
second	isibini
kindness	umsa
pauper	ihlwempu
vetkoek	igwinya
gargle	rharhaza
gnaw	grenya
abridge	finyeza
scratch	krwempa
knock	nkqonkqoza
cancel	rhoxisa
roast	gcada
thirsty	nxanwa
doctor	ugqirha
witch doctor	igqirha
warlock	igqwirha
witch	igqwirhakazi
zebra	iqwarhashe
misfortune	ilishwa
simmer	bhadla
bet	bheja
advertise	bhengeza
confuse	bhida
board	bhoda
capsize	bhukuqa
clarify	cacisa
discriminate	calula
persuade	cenga
ooze	chiza
sit	chopha
break down	diliza
amuse	dlalisa
flower	dubula
befit	fanela
accomplish	feza
perfect	fezekisa
migrate	fuduka
brood	fukama
accumulate	fumba
study	fundela
creep	gaqa
happy	gcoba
jeer	gculela
writhe	gcuma
swallow	ginya
immunize	gonya
finish off	gqibela
pass on	gqithisa
cover	gquma
kneel	guqa
quarrel	gxabana
decry	gxeka
chew	hlafuna
pay	hlawula
disgrace	hlaza
refresh	hlaziya
edit	hlela
respect	hlonela
shake	hlukuhla
full	hlutha
filter	hluza
adorn	homba
skim	jija
rotate	jikeleza
smell	joja
look at	jonga
lash	katsa
kick	khaba
salute	khahlela
complain	khalaza
check	khangela
crave	khanuka
deny	khanyela
crawl	khasa
hurry	khawuleza
freeze	khenkcisa
tour	khenketha
cough	khohlela
lead	khokela
bellow	khonya
serve	khonza
scour	khuhla
unbind	khulula
miss	khumbula
remind	khumbuza
take out	khupha
encourage	khuthaza
exclaim	khuza
shout	khwaza
ride	khwela
criticize	khwenca
scrub	korobha
rip	krazula
queue	kroza
draw	krwela
rule	lawula
load	layisha
light	layita
chase	leqa
await	lindela
imitate	linganisa
protect	londoloza
warn	lumkisa
fix	lungisa
surprise	mangala
pregnant	mitha
go away	mka
enjoy	nambitha
despair	ncama
adhere	ncamathela
suck	ncanca
help	nceda
assist	ncedisa
reduce	nciphisa
chat	ncokola
praise	ncoma
smile	ncuma
groan	ncwina
bury	ngcwaba
recline	ngqengqa
beg	ngqiba
bump	ngquba
hurry	ngxama
noise	ngxola
water	nkcenkceshela
jog	nkcunkca
scarce	nqaba
prevent	nqanda
sever	nqumla
wish	nqwena
wish	nqwenela
dive	ntywila
dressed	nxiba
drunk	nxila
patient	nyameka
endure	nyamezela
make	nyanzela
moisten	nyela
melt	nyibilika
dissolve	nyibilikisa
go up	nyuka
raise	nyusa
promote	nyusela
spill over	phalala
mad	phambana
road	phambuka
investigate	phanda
rob	phanga
carry	phatha
mark	phawula
disturb	phazamisa
breathe	phefumla
end	pheleka
kindle	phemba
answer	phendula
dodge	phepha
contradict	phikisa
repeat	phinda
cool	pholisa
throw	phosa
err	phosisa
improve	phucula
win	phumelela
rest	phumla
drink	phunga
dream	phupha
overflow	phuphuma
fetch	phuthuma
spread	qaba
guess	qasha
employ	qesha
dissect	qhaqha
cheat	qhatha
break off	qhawula
boast	qhayisa
crack	qhekeka
break in	qhekeza
abort	qhomfa
drive	qhuba
firm	qina
sure	qiniseka
collect	qokelela
angry	qumba
itch	rhawuzela
drag	rhola
barter	rhweba
scatter	sasaza
sign	sayina
way	shenxa
move	shenxisa
infect	sulela
bewitch	thakatha
soften	thamba
hesitate	thandabuza
pray	thandaza
take	thatha
compare	thelekisa
hope	themba
gather firewood	theza
sneeze	thimla
waver	thingaza
prevent	thintela
reduce	thoba
obey	thobela
insult	thuka
send	thumela
sew	thunga
comfort	thuthuzela
interpret	tolika
pull	tsala
marry	tshata
hot	tshisa
lock	tshixa
jump	tsiba
squeak	tswina
fat	tyeba
visit	tyelela
weaken	tyhafa
push	tyhala
barge	tyhoboza
accuse	tyhola
crush	tyumza
seal	tywina
examine	vavanya
feel	visisa
vote	votela
allow	vumela
wake up	vusa
ablaze	vutha
blow	vuthuza
glad	vuya
leak	vuza
value	xabisa
support	xhasa
hang	xhoma
convulse	xhuzula
lie	xoka
knead	xova
mix	xuba
brush	xukuxa
segregate	ahlukanisa
announce	azisa
happy	onwaba
alarm	othusa
hello	molweni
stop	yeka
game	umdlalo
error	impazamo
student	umfundi
friend	umhlobo
elder brother	umkhuluwa
farmer	umlimi
neighbour	ummelwana
brother	umninawa
owner	umnini
brother	umntakwethu
gentleman	umnumzana
nurse	umongikazi
president	umongameli
manager	umphathi
cook	umpheki
grandchild	umzukulwana
father	ubawo
grandfather	ubawomkhulu
sister	udade
train	uloliwe
grandmother	umakhulu
maize	umbona
son	unyana
father	utata
question	umbuzo
vegetable	umfuno
flour	umgubo
day	umhla
spade	umhlakulo
year	umnyaka
wrath	umsindo
prayer	umthandazo
shade	umthunzi
hare	umvundla
homestead	umzi
cloud	ilifu
stone	ilitye
land	ilizwe
voice	ilizwi
springbuck	ibhadi
hoe	igaba
pasture	idlelo
coward	igwala
summer	ihlobo
dove	ihobe
paper	iphepha
newspaper	iphephandaba
policeman	ipolisa
comrade	iqabane
tramp	irhanuga
thief	isela
lamb	itakane
occasion	ithuba
lazy	ivila
wheel	ivili
time	ixesha
man	ixhego
medicine	iyeza
yesterday	izolo
maize	amarhewu
lamp	isibane
hospital	isibhedlele
fool	isidenge
lesson	isifundo
shoe	isihlangu
school	isikolo
bread	isonka
brick	isitena
street	isitrato
chair	isitulo
dish	isitya
plant	isityalo
weapon	isixhobo
daughter	intombazana
crane	indwe
arm	ingalo
trouble	inkathazo
leader	inkokeli
fowl	inkuku
spring	intlakohlaza
heart	intliziyo
flower	intyatyambo
baboon	imfene
goods	impahla
weekend	impelaveki
mouse	impuku
thought	ingcinga
mind	ingqondo
report	ingxelo
discussion	ingxoxo
cow	imazi
conversation	incoko
grass	ingca
truth	inyaniso
row	uluhlu
humanity	uluntu
stick	uluthi
opinion	uluvo
door	ucango
clay	udongwe
help	uncedo
joy	uvuyo
skin	ufele
tortoise	ufudo
kindness	ububele
foolishness	ubudenge
caution	ubulumko
honey	ubusi
winter	ubusika
sleep	ubuthongo
laughter	ukuhleka
cultivation	ukulima
speech	ukuthetha
jacket	ibhatyi
goat	ibhokhwe
trousers	ibhulukhwe
town	idolophu
surname	ifani
window	ifestile
fork	ifolokhwe
telephone	ifoni
garden	igadi
garage	igaraji
sheep	igusha
pig	ihagu
shirt	ihempe
sock	ikawusi
kettle	iketile
cake	ikeyiki
coffee	ikofu
cup	ikomityi
sweet	ilekese
dress	ilokhwe
motor car	imoto
pencil	ipensile
petrol	ipetroli
plate	ipleyiti
rice	irayisi
soap	isepha
saucer	isosala
sugar	iswekile
table	itafile
potato	itapile
teapot	itipoti
teacher	ititshala
salt	ityuwa
week	iveki
shop	ivenkile
wine	iwayini
care	lumka
cemetery	umngcwabo
send	thuma
cream	ucwambu
hardship	inkxwaleko
war	imfazwe
spider	isigcawu
need	isidingo
jump	gxuma
hatred	inzondo
aim	injongo
nationhood	ubuzwe
full	gcwala
dirty	ngcola
pink	pinki
grey	ngwevu
beach	unxweme
pimple	iqhakuva
holiness	ubungcwele
danger	ingozi
wish	umnqweno
hat	umnqwazi
thirst	unxano
secret	imfihlo
dance	xhentsa
image	umfanekiso
shield	ingweletshetshe
cheetah	ingwenkala
octopus	ingwane
translation	inguqulo
reform	inguqulelo
larynx	ingqula
quarrel	ingxabano
problem	ingxaki
waterfall	ingxangxasi
noise	ingxolo
no	hayi
exaggerate	babaza
flag	iflegi
fever	ifiva
fax	ifeksi
farm	ifama
physics	ifiziki
fluorine	iflorini
furrow	ifolo
form	ifomu
phosphorus	ifosiforasi
phone	ifowuni
scoop	ifotsholo
predator	irhamncwa
puffadder	irhamba
fountain	iqula
altar	iqonga
degree	iqondo
shell	iqobokhe
genius	iqili
gate	isango
department	isebe
custom	isiko
pus	ububovu
nausea	ubucaphucaphu
brain	ubuchopho
skills	ubuchule
friendship	ubudlelwane
arts	ubugcisa
insanity	ubugeza
bravery	ubugorha
law	ubugqwetha
witchcraft	ubugqwirha
ethnicity	ubuhlanga
kraal	ubuhlanti
friendship	ubuhlobo
poverty	ubuhlwempu
bravery	ubukhalipha
presence	ubukho
jealousy	ubukhwele
intelligence	ubukrelekrele
kingdom	ubukumkani
gentleness	ubulali
hunger	ubulambo
confession	ubulo
dream root	ubulawu
manure	ubulongwe
justice	ubulungisa
overview	ubume
citizenship	ubumi
goodness	ubumnandi
youth	ubuncinane
violence	ubundlobongela
glory	ubungangamsha
danger	ubungozi
evidence	ubungqina
leadership	ubunkokeli
baldness	ubunkqayi
mass	ubunzima
depth	ubunzulu
untruth	ubuxoki
weather	imozulu
domestic animal	imfuyo
education	imfundo
lecture	imfundiso
madness	impambano
guinea fowl	impangele
part-time job	impangelo
treatment	impatho
sign	impawu
general	injengele
engineer	injineli
professor	injingalwazi
happiness	ulonwabo
crust	ukhoko
faith	ukholo
weed	ukhula
event	ukhuphiswano
heron	ukhwalimanzi
management	ulawulo
agriculture	ulimo
kernel	ukhozo
conversation	ulondolozo
fear	uloyiko
menu	uludwe
horizon	ulundi
ageing	uluphalo
afraid	oyika
lazy	onqena
rule over	ongamela
satisfied	onela
overcome	oyisa
sleepy	ozela
old	luphala
correct	luleka
wean	lumla
heartwarming	mangalisa
match	matanisa
navel	inkaba
ochre	imbola
temple	intlontlo
payment	intlawulo
disaster	intlekele
laughing stock	intlekisa
spy	intlola
shame	intloni
respect	intlonipho
fullness	intlutha
python	intlwathi
prison	intolongo
elephant grasshopper	intothoviyane
dagga	intsanga
morning	intsasa
disgrace	ihlazo
secret	ihlebo
noun class	ihlelo
source	ijelo
soldier	ijoni
abakhwetha	ikhankatha
criminal	igxagxa
shoulder	igxalaba
select	balula
important	baluleka
squeeze	bandezela
carry	beleka
sparkle	bengezela
hammer	bethelela
float	bhabhazela
compute	thelekelela
humble	thobeka
draw back	thotha
steam	umkhupha
white meat	umkhwepha
oriole	umkro
lip	umlebe
wall	umlengalenga
fight	umlo
canary	umlonji
whistling	umlozi
region	ummandla
marvel	ummangaliso
hill	ummango
ordinance	ummiselo
mesh	umnatha
dung beetle	inkubabulongwe
mat	inkukho
son	inkulu
premier	inkulumbuso
century	inkulungwane
court	inkundla
firewood	inkuni
trash	inkunkuma
diligence	inkuthalo
mole snake	inkwakhwa
star	inkwenkwezi
rare	inqaba
vessel	inqanawa
fat	inqatha
catch	nqakula
uncover	nqika
worship	nqula
surround	ngqonga
present	nikezela
knit	nitha
defrost	nityilika
conspiracy	iyelenqe
sjambok	isabokwe
tadpole	isabonkolo
proverb	isafobe
spear	isagweba
can	itoti
chart	itshati
check	itsheki
change	itshintshi
cheese	itshizi
poison	ityhefu
watermelon	ivatala
watch	iwotshi
wool	iwulu
wool	ixhalanga
year	iyure
maternal uncle	umalume
king	ungonyama
rondavel	ungquphantsi
secretary	unobhala
squatter	unodladla
hornet	unomanxezane
radio	unomathotholo
squirrel	unomatse
norm	isithethe
district	isithili
bait	isithiyelo
photo	isithombe
point	isithuba
insult	isithuko
loneliness	isithukuthezi
deaf	isithulu
messenger	isithunywa
shadow	isithunzi
vehicle	isithuthi
station	isitishi
garden	isitiya
storeroom	isitora
stove	isitovu
key	isitshixo
truthful	nyanisa
insist	nyanzelisa
stamp	nyathela
step on	nyathelisa
meet	saza
business	shishina
stamp	shicilela
address	shukuxa
preach	shumayela
shrink	shwabana
bless	sikelela
steps	isiteps
promise	isithembiso
polygamy	isithembu
heel	isithende
stamp	isitampu
calf	isiquluba
reptile	isirhubuluzi
generosity	isiseko
abbreviation	isishunqulelo
summary	isishwankathelo
solution	isisombululo
steel	isitali
crooked	goso
adapt	qhela
normal	qheleka
clogged	qhina
fasten	qhobosha
button	qhosha
fry	qhotsa
continue	qhubeka
taunt	qhula
struggle	qhankqalaza
snap	qhawuka
feud	imbambano
rib	imbambo
adversity	imbandezelo
reason	imbangi
respect	imbeko
baby carrier	imbeleko
visit	ndwendwela
taste	ngcamla
hop	ngcileza
lead	ngenisa
straight	ngqala
line	ngqamana
line up	ngqamanisa
lack	swela
pass away	sweleka
deduct	thabatha
prepare	thakazelela
apply	thambisa
wish	langaza
calm	thuthuza
crown	thwesa
appear	thwasa
battle	idabi
die	idayisi
fly	idengwane
appointment	idinga
sacrifice	idini
rag	idlavu
grass	idobo
clod	igada
driver	igangxa
round object	igaqa
driver ant	igaxothi
lunatic	igeza
mistake	phazama
hurry	phekezela
end	phela
use up	phelela
conclude	phetha
civilize	phucuka
nice	umnandi
mercy	inceba
sap	incinda
ostrich	inciniba
bedbug	incukuthu
specialist	incutshe
nature	indalo
trophy	indebe
heir	indlalifa
expense	indleko
giraffe	indlulamthi
enemy	intshaba
beard	intshebe
line	umda
cancer	umdlavuza
cancer	umdlobha
dance	umdudo
race	umdyarho
image	umfanekiselo
crocus	umfiyo
greeting	umbuliso
vision	umbulo
club	umbutho
bridge	umchankcatho
matter	umcimbi
locust	umcingwane
music	umculo
excitement	umncili
family	umndeni
whale	umnenga
acacia	umnga
hole	umngxuma
surprise	umnqa
mystery	intsumantsumane
wart	intsumpa
penalty	intywenka
warthog	inxagu
time period	inxalenye
triangle	inxantathu
opportunity	inxaxheba
virus	intsholongwane
movement	intshukumo
worm	intshulube
pillar	intsika
blessing	intsikelelo
bachelor	intsizwa
poverty	intsokolo
definition	intsingiselo
tongue	ulwimi
tenacity	unama
smile	uncumo
song	uncuthu
seriousness	undileko
hide	undize
guest	undwendwe
pollution	ungcoliseko
violence	ungquzulwano
youth	ulutsha
structure	ulwakhiwo
circumcision	ulwaluko
set free	othukulula
renew	vuselela
close in	valela
make	omeleza
shake	vuthulula
jingle	wahla
nominate	tyumba
heard	vakala
produce	velisa
stop up	vingca
plough	ikhuba
hard worker	ikhuthala
armpit	ikhwapha
sword	ikrele
pasture	ikriwi
hole	ikroba
untrustworthy	ilahle
lag	ilaphu
Hottentot	ilawu
layer	ileko
inheritance	ilifa
collective	ilima
dry	omelela
punish	ohlwaya
occur	enzeka
yawn	akhama
circumcize	alusa
illegal	agwenxa
separate	ahluka
fright	othuka
break	ophula
make	andlala
put on	ambatha
earring	icici
angel	ingelosi
income	ingeniso
area	ingingqi
basket	ingobozi
chicken pox	ingqakaqha
beetle	ingqatha
frost	ingqele
wire	ingcingo
information	ingcombolo
mosquito	ingcongconi
reed	ingcongolo
hyena	ingcuka
virus	ingculaza
hummingbird	ingcungcu
expert	ingcungela
rust	umhlwa
anthem	umhobe
belly	umkhaba
campaign	umkhankaso
yellowwood	umkhoba
fairy	umkholonjane
code	umkhombandlela
rhinoceros	umkhombe
handmaid	umkhonzazana
back	umhlana
mongoose	umhlangala
jaw	umhlathi
cancer	umhlaza
wormwood	umhlonyane
advise	yala
CD	icwecwe
holiday	ikhefu
snow	ikhephu
fig	ikhiwane
link	ikhonkco
mushroom	ikhowa
riverbank	indonga
mound	indulana
hill	induli
psalm	indumiso
albatross	ingabangaba
expert	ingcali
notion	ingcamango
root	ingcambu
advice	ingcebiso
powder	ingceke
change	intshintsho
singing	intsholo
lazy	tyesha
forsake	tyeshela
weaken	tyhafisa
page	tyhila
toilet	ithoyilethi
college	iyunivesithi
electricity	umbane
skirt	umbhinqo
feast	umbhiyozo
pipe	umbhobho
belly button	umbhono
rugby	umbhoxo
proboscis	umboko
exhibition	umboniso
view	umbono
hyperbole	umbabazo
mucus	imifinya
industry	imizi-mveliso
rule	umgaqo
iguana	uxam
storeroom	uvimba
gnome	utikoloshe
referee	usompempe
father	usomfazi
businessman	usomashishini
mayor	usodolophu
Almighty	uSomandla
headman	usibonda
sister	usibalikazi
brother	usibali
vice	usekela
dung beetle	uqongqothwane
windpipe	uqhoqhoqho
criminal	unqantloko
butcher	unosilarha
doll	unopopi
crab	unonkala
nun	unongendi
treasurer	unondyebo
sparrow	unondlwane
librarian	unoncwadi
crow	unomyani
hornet	unomeva
shark	ukrebe
security	ukhuseleko
falcon	ukhetshe
jackal	udyakalashe
hornet	udungulu
shrew	ucwethe
brother	ubhuti
cricket	ubhomoyi
blister beetle	ubhatom
midnight	ubhadakazi
bring	hlisa
killer	umbulali
singer	umculi
builder	umakhi
photographer	umfoti
actor	umdlali
typist	umchwethezi
carpenter	umchweli
creator	umdali
fellow	umfo
liar	umxoki
relative	umzalwane
nephew	umtshala
fat	umtyebi
bride	umtshakazi
Bushman	umThwa
visitor	umtyeleli
salesperson	umthengisi
announcer	umsasazi
organizer	umququzeleli
driver	umqhubi
burglar	umqhekezi
employer	umqeshi
employee	umqeshwa
trainer	umqeqeshi
official	umphathiswa
brother	umntase
traitor	umngcatshi
brother	umnakwe
neighbour	ummelwane
representative	ummeli
defendant	ummangalelwa
herdsman	umlusi
fisherman	umlobi
man	umlisela
peer	umlingane
sister	umlanyakazi
brother	umlanya
hungry	umlambi
in-law	umkhozi
servant	umkhonzi
cough	umkhohleli
tourist	umkhenkethi
escort	umkhaphi
widow	umhlolokazi
widower	umhlolo
inspector	umhlodi
editor	umhleli
payer	umhlawuli
inhabitant	umhlali
traveller	umhambi
oppressor	umcinezeli
potter	umbumbi
author	umbhali
prisoner	umbanjwa
oppressor	umbandezeli
registrar	umbhexeshi
breeder	umfuyi
buddy	umgani
murmur	umdumzeli
actor	umdlali-qonga
goalie	umgcini-goli
janitor	umgcini-sango
MC	umphathi-theko
discover	bhaqa
charge	bhatalisa
serious	bheda
present	bhentsisa
facilitate	bhexesha
wear	bhinqa
party	bhiyoza
burp	bhodla
drill	bhola
greet	bhotisa
annoy	bhoxa
dot	chokoza
sneak up	chwechwela
carpentry	chwela
type	chwetheza
oppress	cinezela
murmur	dumzela
praise	dumisa
push	dudula
pull	dontsa
rape	dlwengula
smear	dyobha
election	unyulo
research	uphando
sign	uphawu
search	uphendlo
audit	uphicotho
repetition	uphindaphindo
oneself	unkabi
naught	unothi
essence	unqontsonqa
eagle	untsho
fungus	ukungunda
toe	uzwane
design	uyilo
pressure	uxinzelelo
consumption	uxhamlo
responsibility	uxanduva
rectangle	uxande
test	uvavanyo
spear	utolo
ash	uthuthu
multitude	uthotho
sneezing	uthimlo
exercise	uthambo
sweetie	uswidi
infection	usulelo
infection	usuleleko
salvation	usindiso
socket	usikrobana
publication	ushicilelo
sadness	usizi
