be	may
abyss	bangin
goodbye	babay
windbag	halhal
basketball	basketbol
battalion	batalyon
trombone	trombon
Timothy	Timoteo
strip	bulay
atom	atomo
semantics	semantika
equilibrium	balanse
world	daigdig
cabinet	kabinet
captain	kapitan
clinic	klinika
conductor	konduktor
consul	konsul
coupon	kupon
byproduct wastage	yaga
ethics	etika
lemon	limon
dominant	dominante
permission	permiso
minimalism	minimalismo
meeting	miting
molecule	molekula
responsible	responsable
teacher	maestra
weave	lala
spleen	pali
marshy	malati
Apollo	Apolo
mention	gambi
knock-kneed	piki
cactus	kaktus
soft	malata
round building	rotonda
asylum	asilo
setting up	hain
stove	kalan
shaved	panit
speed	tulin
clothing	suot
widespread	lakit
scar	pilat
slight crack	lamat
flat	sarat
drip	tulo
close-cropped	anot
dish	menudo
right	kanan
honest	tapat
short	maiksi
recite	tumula
grass	damo
teach	turo
calmness	kalma
immorality	inmoralidad
shriek	tili
interdiction	sahat
where	saan
fort	kuta
deceit	liho
vulva	puki
incense	dupa
borax	pinse
smaller end	tingi
bit	tinga
any	paina
betel leaf	samat
interruption	likat
bark	takin
translation	salin
appointment	tipan
odor wet	palot
writing	sulat
curly	kulot
filching	kupit
strait	kipot
thug	maton
godfather	padrino
dose	dosis
dish	mami
senator	senador
nanometre	nanometro
departure	alis
admiral	almirante
space	siha
silid	silid-aklatan
dented	piing
small	munti
Chinese person	punga
rail	riles
heap	bunton
Elisha	Eliseo
appellation	sanse
social position	antas
female Filipino	Filipina
inch	pulgada
passport	pasaporte
even if	maski
Poland	Polonya
idle talk	abla
plumber	tubero
Panchen Lama	Panchen Lama
suburb	naik
all	pulos
buttock	pigi
obvious	halata
slit	silat
literature	literatura
bet	pusta
bean sprout	toge
Thomas	Tomas
movement	kilos
act	punas
anything hang	tawing
sampu	sampo
pileup	karambola
olive	oliba
heat	init
carving	ukit
epidemic	salot
antenna	antena
barricade	barikada
cricket	kriket
acronym	akronim
alpaca	alpaka
analytics	analitika
crown	korona
hard tweak	pingot
man	kelot
assembly	asamblea
whose	nino
goodbye	paalam
chandelier	aranya
intense feeling	muhi
kilogram	kilogramo
duty	yama
there	doon
perimeter	perimetro
anthrax	antraks
each	kada
speed	bilis
small stream	sapa
bucket	balde
crowd	lipon
carry	tapon
milk	gatas
ton	tonelada
ticket	tiket
mire	burak
eye patch	babat
busted	buking
garbage collector	basurero
yes	opo
close-cropped	panot
adversary	kaalit
discord	alitan
ascent	ahon
sensibleness	tino
quail	pugo
character	karakter
baby bottle	dede
helicopter	helikoptero
wait	teka
social	tribo
ancestry	lipi
vice	bise
cancer	kanser
baker	panadero
mischievousness	gaso
not much	gasino
serenade	harana
recently	kanina
dripping	usang
broiled	panggang
sama	sama-sama
monster	mamaw
transfer	lipat
shape	korte
labyrinth	laberinto
spermaceti	esperma
hoe	asada
bad luck	malas
why	bakit
handsome	guwapo
fish	isda
what a pity	sayang
panting	hangos
support	werpa
other	iba
outside	labas
document	papeles
mancala	sungka
gram	gramo
spirit	espiritu
accusation	bintang
person	epal
blood	dugo
rise	sikat
goat	kambing
natin	namin
embalmer	embalsamador
inclining	baling
underlayer	sapin
tent	tolda
brandy	brandi
fat	taba
special kind	siid
coup d'état	kudeta
house	bahay
nose	ilong
communist	komunista
raspy	halak
species	paka
horse	kabayo
repulsive odor	angis
weaken	humina
endurance	tiis
accordion	akordeon
small slit	bitas
Russia	Rusya
Romanian	Romana
sex worker	GRO
symbolism	simbolismo
synagogue	sinagoga
mean	maldita
Pampanga	Pampango
comment	komento
boomerang	bumerang
bolo	tabak
spoon	kutsara
brain	utak
eaves	ambi
dwarf coconut tree	tarakan
weakness	lapok
diplomat	diplomata
close	sara
gallant	galante
bandit	bandido
agate	agata
Lebanon	Libano
dirt	amol
Illicium anisatum	sanki
ready	handa
light	halas
vow	panata
scissors	gunting
slingshot	tirador
coño	konyo
disbursement	abono
leg pillow	abrasador
pool	lawa
cigarette	titis
millilitre	mililitro
wind	hangin
twine	hapin
bitterness	pait
decade	dekada
author	awtor
alligator	kaiman
almost	halos
blame	isisi
hey	uy
play	landi
useless	inutil
poppy	amapola
cream	krema
jaw	panga
cornered	piit
surveyor	agrimensor
tap	sungal
pinch	kurot
clitoris	tilin
viscosity	lapot
squid	pusit
first	lipot
nearness	lapit
mischievousness	harot
creaking sound	kalit
take responsibility	akuin
grip	kapit
accident	sakuna
thank you	salamat
kind	salakat
subject	asignatura
here	eto
canal	kanal
premonition	kaba
cheating	amam
summarize	buurin
Mark	Marcos
Manila hemp	abaka
custom	wani
fellow resident	kababayan
tailor	sastre
Noah	Noe
company	kompanya
awning	sibi
asbestos	asbesto
gun	baril
apostle	apostol
just	naman
apostate	apostata
rosemary	romero
said	saad
cactus	kakto
true	tuga
beefsteak	bistek
fund	pondo
sieve	salaan
method	paraan
species	bibe
dangling	lawlaw
open-mouthed	anga
wither	lanta
onomastics	onomastika
cannon	kanyon
luster	sarang
quiver	talanga
swallow	golondrina
asshole	kupal
Matthew	Mateo
piano	piyano
samurai	samuray
disturbance	alboroto
tame	maamo
always	parati
kumusta ka na	kumusta ka na
well-adjusted	lapat
part	lako
rag	trapo
against	kontra
freedom	kalayaan
amaranth	amaranto
cognac	konyak
decrease	hupa
organdy	organdi
blue	asul
yellow	dilaw
green	berde
green	luntian
beautiful	maganda
ugly	pangit
evil	masama
closed	sarado
rough	magaspang
smooth	makinis
tall	matangkad
smart	matalino
lacking	kulang
happy	masaya
deep	malalim
shady	malilim
famous	bantog
happy	maligaya
rude	bastos
unusual	kakaiba
brave	matapang
rich	mayaman
difficult	mahirap
big	malaki
small	maliit
wide	malawak
bitter	mapait
sweet	matamis
delicious	masarap
peacefully quiet	payapa
revenge	ganti
many	marami
thick	makapal
thin	manipis
high	matayog
pretty	marikit
sad	malumbay
diligent	masipag
lazy	tamad
little	kaunti
nervous	nerbyoso
jolly	masayahin
strong	matibay
naughty	salbahe
clear	malinaw
stormy	mabagyo
greedy	suwapang
sleepy	inaantok
active	masigla
healthy	malusog
weak	marupok
shallow	mababaw
lazy	batugan
narrow	makitid
resourceful	maparaan
luck	suwerte
tired	pagod
flat	piyut
bulging	nakaumbok
stretched	unat
huge animal	higante
enough	sapat
thoughtful	maalalahanin
costly	magastos
gluttonous	matakaw
sour	maasim
generous	mapagbigay
sensible	matino
tagilo	tatsulok
constant	matiyaga
cranky	pikon
fragrant	mabango
tasty	malasa
overflowing	umaapaw
skilled	magaling
bouncy	matalbog
skinny	payat
sharp	matulis
blunt	upod
dark	madilim
bright	maliwanag
far	malayo
near	malapit
light	magaan
heavy	mabigat
hard	matigas
soft	malambot
class	klase
joining	lapi
mayonnaise	mayonesa
Bicol	Bikol
godfather	kumpare
passionate	mapusok
spleen	limpa
carriage	karo
rickshaw	traysikel
sardines	sardinas
rebellious	sutil
lacking	kapos
inspector	inspektor
wedge	kalang
thermos	termos
delicious consistency	ligat
stock	patas
ghost	multo
they	siya
convulsion	taol
there	hayan
enemy	kabaka
Chinese hibiscus	gumamela
sleeveless undershirt	sando
pimple	ligata
province	Pampanga
driven	aboy-aboy
oleander	adelpa
eagle	agila
pressing	diin
follower	alagad
cotton	algodon
piggy bank	alkansiya
tar	alkitran
threatening gesture	amba
lullaby	aloy
northeast monsoon	amihan
pluralize	mga
premonition	andam
amulet	anting-anting
gall	apdo
appendicitis	apendisitis
lime	apog
article	artikulo
waning	pagas
sulfur	asupre
attack	atake
pickle	atsara
woman	babae
railroad car	bagon
chord	bagting
typhoon	bagyo
flood	baha
codfish	bakalaw
warn	balaan
throw	balabag
fine hair	balahibo
rainbow	balangaw
magnetism	balani
swindler	balasubas
mung bean	balatong
crippled	baldado
information	balita
ballot paper	balota
soft ray	banaag
sultriness	banas
cadaver	bangkay
sidewalk	bangketa
woven mat	banig
motto	bansag
threat	banta
guard	bantay
sterile	baog
steamship	bapor
playing card	baraha
barber	barbero
varnish	barnis
slightly wet	basa-basa
brawl	basag-ulo
legislature	batasan
nape	batok
guava	bayabas
border	baybay
benediction	bendisyon
female genitalia	bibingka
captured	bihag
exposed	bilad
prisoner	bilanggo
co-sibling-in-law	bilas
errand	bilin
bachelor	binata
seed	binhi
window	bintana
visitor	bisita
vice	bisyo
hanging	bitay
gallows	bitayan
conscience	budhi
lifting	buhat
sweetness	tamis
open	bukad
fully open	bukadkad
front	bukana
open	buksan
meteor	bulalakaw
golden	bulawan
approved	aprobado
sadist	sadista
price	halaga
acid	asido
mole	taling
young	bulig
smut	buling
collision	bunggo
beard	bungot
disclosure	bunyag
waterfall	busay
immaculate	busilak
break	buslot
goodness	buti
wart	butig
glitter	dabdab
emergency call	dagas
sap	dagta
leaf	dahon
mudfish	dalag
young	dalaga
young girl	dalagita
visit	dalaw
impertinent talk	daldal
pure	dalisay
attendance	dalo
pickled fruit	dalok
breadth	damak
stinginess	damot
lagoon	danaw
wastefulness	sakmata
festive decoration	dayan
devotion	debosyon
democracy	demokrasya
discussion	diskusyon
doctrine	doktrina
document	dokumento
drama	dula
appearance	dulog
pass by	dumaan
bleed	dumugo
pull out	dumukot
cradle	duyan
dugong	duyong
janitor	dyanitor
knowledge	edukasyon
example	ehemplo
exercise	ehersisyo
eclipse	eklipse
electricity	elektrisidad
elephant	elepante
embassy	embahada
ambassador	embahador
scandal	eskandalo
large hand brush	eskoba
cram	merienda
astute	tuso
handsome	yapo
sculptor	eskultor
Holy Spirit	Espiritu Santo
pupil	estudyante
foolish	gago
mandolin	mandolina
repentance	sisi
embalming	embalsama
arrogance	taras
normal attack	normalin
laziness	katamaran
loud laughter	halakhak
tickle	kilikiti
medicine	gamot
French	Pranses
depression	depresyon
garage	garahe
fuel	gatong
part-time job	raket
branch	sanga
well-hung	daks
large boa constrictor	banyas
marquess	markes
witchcraft	gaway
starch	gawgaw
comfort	ginhawa
sautéed	gisa
grace	grasya
faucet	gripo
age	gulang
south	habagat
pursuit	hagad
ribbon	laso
analytic	analitiko
love handle	bilbil
lamp	lampara
caramel	karamelo
charcoal	karbon
part	lanting
province	probinsiya
attention	limi
able	puwede
fork	tinidor
blue	bughaw
tetanus	tetano
bar	tiho
score	puntos
opportunist	oportunista
wok	kawali
cigarette	yosi
disgracing	halay
post	haligi
for example	halimbawa
flag	bandila
foolishness	katangahan
car	kotse
use	sasakyan
act	maneho
act	dagos
retort	pakli
fruit	prutas
break	pusak
frog	palaka
proper	waso
negosyo	sari-sari store
steering wheel	manibela
Philippines	Pinas
posh	sosyal
work	trabaho
seminarist	seminarista
mutual aid	bayanihan
etc.	atbp.
movement forward	abante
respectful term of address	aling
school	paaralan
pag	pag-aaral
ability	kakayahan
light scar	pikat
rose	rosas
potato	patatas
cement	semento
court hearing	bista
slight scratch	galos
expenses	gastos
zero	sero
bucket	timba
Dionisia	Dionisio
Spain	peninsulares
strawberry	presas
large eel	palos
German	Aleman
Germany	Alemanya
American	Amerikano
Bible	Bibliya
Good Friday	Biyernes Santo
Mrs.	Ginang
Mister	Ginoo
Greek	Griyego
Japanese	Hapon
Judas	Hudas
Jewish	Hudyo
English	Ingles
Chinese	Intsik
address	Itoy
Castilian	Kastila
Korean	Koreano
confirmation	kumpil
Mister	Mang
Creator	Maykapal
Wednesday	Miyerkoles
Christmas Eve	Notsebuwena
Thanksgiving	Pasasalamat
mathematics	sipnayan
statistics	palaulatan
calculus	tayahan
square root	pariugat
east	silangan
Far East	Silanganan
All Saints Day	Todos Los Santos
China	Tsina
alphabet	abakada
division	sangi
there be	meron
banker	kulas
longing	asam
virama	᜔
flea	pulgas
gallon	galon
hinge	bisagra
pearl	perlas
orange	puras
there	roon
complaint	reklamo
you	ikaw
money	salapi
corporal	kabo
language	wika
God	Diyos
god	diyos
oh my God	Diyos ko
cider	sidras
foolish	shunga
grassland	damuhan
cross	krus
mister	manong
paki-	pa-
madam	manang
common nickname	Nene
provisional	latok
telephone	telepono
rail	tikling
freeman	timawa
balance	timbangan
gem	hiyas
drawn up	hugot
popular	tanyag
sheriff	serip
spear	sibat
join	sabak
attack	salakay
roll	gili
ingrate	busong
ounce	onsa
fierceness	bangis
act	aboy
decorative glass bead	abaloryo
lima bean	patani
folding fan	abaniko
midnight horror	abang-abang
wedding	kasal
strike	aklas
waltz	balse
jelly	halea
having	maanghit
name	ngalan
candy	kendi
teakettle	takuri
Filipino	Tsinoy
avenue	abenida
notification	abiso
odd	abnoy
backward movement	atras
pickaxe	patik
carriage	kalesa
attractive woman	bebot
mirror	salamin
ice	yelo
drunkard	tomador
morgue	morge
remedy	lunas
path	landas
caesio	lapas
stepmother	madrasta
cucumber	pipino
cute	kyut
doughnut	donat
Choi	Chua
colony	kolonya
club	batuta
butterfly knife	balisong
flotsam	layak
comprehended	talos
female governor	gobernadora
bayonet	bayoneta
nursemaid	yaya
how many	ilan
propagandist	propagandista
prize	premyo
viceroy	birey
emerald	esmeralda
creation	gawa
fictitious story	gawa-gawa
envy	inggit
thing	bagay
plastic	plastik
remnant	simi
tofu	tokwa
spouse	asawa
monkey	unggoy
carabao	kalabaw
cilantro	kulantro
force	puwersa
road	kalsada
garden	lagwerta
high	mataas
coffee	kape
sibling	kapatid
learned	maalam
tray	bandeha
hypnosis	hipnosis
meat	karne
rabies	rabis
purple yam	ube
sharp point	tilos
countryman	Kabayan
embankment	sabal
