Հայաստանի	Հայաստանի Հանրապետություն
USSR	ՍՍՀՄ
Soviet Union	Սովետական Միություն
Soviet Socialist Republic	սովետական սոցիալիստական հանրապետություն
Armenian Soviet Socialist Republic	Հայկական Սովետական Սոցիալիստական Հանրապետություն
Abovyan	Աբովյան
Agarak	Ագարակ
Alaverdi	Ալավերդի
Aparan	Ապարան
Aparan	ապարանցի
Ararat	Արարատ
Artashat	Արտաշատ
Ashtarak	Աշտարակ
Dilijan	Դիլիջան
Echmiadzin	Էջմիածին
Gavar	Գավառ
Goris	Գորիս
Wiktionary	Վիքիբառարան
translate	թարգմանել
speak	խոսել
walk	քայլել
apple	խնձոր
pear	տանձ
banana	բանան
watermelon	ձմերուկ
fruit	պտուղ
strawberry	ելակ
grapevine	խաղող
lemon	լիմոն
olive	զեյթուն
orange	նարինջ
peach	դեղձ
pineapple	արքայախնձոր
plum	սալոր
grape	չամիչ
bean	լոբի
cabbage	կաղամբ
carrot	գազար
garlic	սխտոր
walnut	ընկույզ
onion	սոխ
pea	ոլոռ
gourd	դդում
radish	բողկ
salad	սալաթ
string bean	թելով լոբի
tomato	լոլիկ
Gyumri	Գյումրի
first	առաջին
second	երկրորդ
third	երրորդ
fourth	չորրորդ
fifth	հինգերորդ
sixth	վեցերորդ
seventh	յոթերորդ
food	ուտելիք
plate	պնակ
fork	պատառաքաղ
knife	դանակ
spoon	գդալ
napkin	անձեռոցիկ
cup	գավաթ
dish	կերակուր
matzoon	մածուն
butter	կարագ
cheese	պանիր
cream	սերուցք
ice cream	պաղպաղակ
sour cream	թթվասեր
ինչպե՞ս	ինչպես ես
ինչպե՞ս	ինչպես եք
please	խնդրեմ
forgiveness	ներողություն
yes	այո
yes	հա
no	չէ
not	ոչ
good morning	բարի լույս
good day	բարի օր
good evening	բարի երեկո
good night	բարի գիշեր
throw	շպրտել
drive	քշել
hunt	որսալ
freeze	մրսել
reach	հասնել
worry	անհանգստանալ
smell	հոտոտել
smell	հոտ քաշել
hear	լսել
flight	փախցնել
շարժել	սիրտը շարժել
slap	ապտակ
undress	հանվել
order	հրամայել
founder	փլվել
nitrogen	ազոտ
calcium	կալցիում
scandium	սկանդիում
vanadium	վանադիում
chromium	քրոմ
manganese	մանգան
iron	երկաթ
cobalt	կոբալտ
nickel	նիկել
copper	պղինձ
zinc	ցինկ
gallium	գալիում
germanium	գերմանիում
arsenic	արսեն
selenium	սելեն
bromine	բրոմ
krypton	կրիպտոն
rubidium	ռուբիդիում
stroncium	ստրոնցիում
yttrium	իտրիում
zirconium	ցիրկոնիում
niobium	նիոբիում
molybdenum	մոլիբդեն
technetium	տեխնեցիում
ruthenium	ռութենիում
rhodium	ռոդիում
palladium	պալադիում
silver	արծաթ
cadmium	կադմիում
indium	ինդիում
tin	անագ
antimony	ծարիր
tellurium	տելուր
iodine	յոդ
xenon	քսենոն
caesium	ցեզիում
barium	բարիում
lanthanum	լանթան
cerium	ցերիում
praseodymium	պրազեոդիմ
neodymium	նեոդիմ
promethium	պրոմեթիում
samarium	սամարիում
europium	եվրոպիում
gadolinium	գադոլինիում
terbium	տերբիում
dysprosium	դիսպրոզիում
holmium	հոլմիում
erbium	էրբիում
thulium	թուլիում
ytterbium	իտերբիում
lutetium	լուտեցիում
hafnium	հաֆնիում
tantalum	տանտալ
tungsten	վոլֆրամ
rhenium	ռենիում
osmium	օսմիում
iridium	իրիդիում
platinum	պլատին
golden	ոսկե
mercury	սնդիկ
thallium	թալիում
bismuth	բիսմութ
polonium	պոլոնիում
astatine	աստատ
radon	ռադոն
francium	ֆրանսիում
radium	ռադիում
actinium	ակտինիում
thorium	թորիում
protactinium	պրոտակտինիում
neptunium	նեպտունիում
americium	ամերիցիում
curium	կյուրիում
berkelium	բերկլիում
californium	կալիֆոռնիում
einsteinium	էյնշտեյնիում
fermium	ֆերմիում
mendelevium	մենդելեւիում
nobelium	նոբելիում
lawrencium	լոուրենսիում
rutherfordium	ռեզերֆորդիում
dubnium	դուբնիում
seaborgium	սիբորգիում
bohrium	բորիում
hassium	հասիում
meitnerium	մայտներիում
time	ժամանակ
Wikipedia	Վիքիպեդիա
they	նրանք
he	նա
you	դու
we	մենք
you	դուք
that	այն
here	այստեղ
there	այնտեղ
a lot	շատ
few	քիչ
good	լավ
bad	վատ
sportsman	մարզիկ
attic	ձեղնահարկ
snowdrift	ձյունակույտ
coffee	սուրճ
moth	ուտիճ
breakfast	նախաճաշ
time sheet	հաշվետախտակ
apricot	ծիրան
alcohol	սպիրտ
alcohol	ալկոհոլ
storm	մրրիկ
ice	սառույց
imagination	երեւակայություն
eagle	արծիվ
earthquake	երկրաշարժ
world	աշխարհ
earthing	հողանցում
dry	ցամաք
country	երկիր
education	ուսում
education	կրթություն
door	դուռ
donkey	էշ
donkey	ավանակ
stupid	հիմար
dumb	ապուշ
back	քամակ
buttocks	տուտուզ
ass	ոռ
oatmeal	վարսակաշիլա
mustard	մանանեխ
mushroom	սունկ
potato	կարտոֆիլ
reptile	սողուն
oat	վարսակ
tea	թեյ
tobacco	ծխախոտ
zebra	վագրաձի
zoo	գազանանոց
zoologist	կենդանաբան
zoology	կենդանաբանություն
wheat	ցորեն
herbivorous	բուսակեր
vegetable	բանջարեղեն
Arabic	արաբերեն
Danish	դանիերեն
Esperanto	էսպերանտո
Finnish	ֆիններեն
French	ֆրանսերեն
Ido	իդո
Icelandic	իսլանդերեն
Italian	իտալերեն
Japanese	ճապոներեն
Korean	կորեերեն
Dutch	հոլանդերեն
Norwegian	նորվեգերեն
Polish	լեհերեն
Spanish	իսպաներեն
Swedish	շվեդերեն
German	գերմաներեն
Hebrew	եբրայերեն
Ukrainian	ուկրաիներեն
Bulgarian	բուլղարերեն
Catalan	կատալաներեն
Romanian	ռումիներեն
Slovene	սլովեներեն
Serbian	սերբերեն
Estonian	էստոներեն
Hungarian	հունգարերեն
Czech	չեխերեն
Slovak	սլովակերեն
Luxembourgish	լյուքսեմբուրգերեն
Tatar	թաթարերեն
Lithuanian	լիտվերեն
Turkish	թուրքերեն
Latin	լատիներեն
Basque	բասկերեն
Bosnian	բոսնիերեն
Interlingua	ինտերլինգվա
Kurdish	քրդերեն
Thai	թաի
Frisian	ֆրիզերեն
Hindi	հինդի
Belarusian	բելառուսերեն
Vietnamese	վիետնամերեն
Sanskrit	սանսկրիտ
Scottish Gaelic	շոտլանդերեն
Albanian	ալբաներեն
Tagalog	տագալոգ
Irish	իռլանդերեն
Tamil	թամիլերեն
Limburgish	լիմբուրգերեն
Marathi	մարաթի
Aragonese	արագոներեն
Javanese	ճավայերեն
Old English	հին անգլերեն
Macedonian	մակեդոներեն
Kashmiri	քաշմիրի
Kashubian	կաշուբերեն
Cornish	կոռներեն
Faroese	ֆարերեն
Maori	մաորի
Kannada	կաննադա
Breton	բրետոներեն
Urdu	ուրդու
Malayalam	մալայալամ
Corsican	կորսիկերեն
Nahuatl	նահուատլ
Yiddish	իդիշ
Mongolian	մոնղոլերեն
Gujarati	գուջարաթի
Maltese	մալթայերեն
Romansch	ռոմանշ
Lojban	լոժբան
Azeri	ադրբեջաներեն
Volapük	վոլապյուկ
Lingala	լինգալա
Yoruba	յորուբա
Friulian	ֆրիուլերեն
Malagasy	մալգաշերեն
Shona	շոնա
Chuvash	չուվաշերեն
Nepali	նեպալերեն
Quechua	կեչուա
Tibetan	տիբեթերեն
Bambara	բամբարա
Sardinian	սարդիներեն
Bislama	բիսլամա
Guarani	գուարանի
Manx	մեներեն
Turkmen	թուրքմեներեն
Uzbek	ուզբեկերեն
Kyrgyz	ղրղզերեն
Uyghur	ույղուրերեն
Chechen	չեչեներեն
Gothic	գոթերեն
Kazakh	ղազախերեն
Greenlandic	գրենլանդերեն
Sindhi	սինդհի
Tajik	տաջիկերեն
Zulu	զուլու
Pali	պալի
Amharic	ամհարերեն
Bashkir	բաշկիրերեն
Bhojpuri	բհոջպուրի
Hausa	հաուսա
Lao	լաոսերեն
Abkhaz	աբխազերեն
Afar	աֆարերեն
Avar	ավարերեն
Cheyenne	շեյեն
Maldivian	մալդիվերեն
Herero	հերերո
association football	ֆուտբոլ
basketball	բասկետբոլ
hockey	մականախաղ
volleyball	վոլեյբոլ
cricket	կրիկետ
baseball	բեյսբոլ
swimming	լող
rugby	ռեգբի
American football	ամերիկյան ֆուտբոլ
tennis	թենիս
shortening	կրճատում
abbreviation	հապավում
kidnapping	առեւանգում
theft	հափշտակում
acceleration	արագացում
entrance	մուտք
calculation	հաշվառում
reckoning	հաշիվ
calculation	հաշվում
agenda	օրակարգ
alto	ալտ
reel	կոճ
appetite	ախորժակ
pretender	հավակնորդ
appointment	ժամադրություն
architect	ճարտարապետ
architecture	ճարտարապետություն
archive	արխիվ
article	հոդված
ashtray	մոխրաման
stellar	աստղաբաշխություն
astronaut	աստղագնաց
astronomy	աստղագիտություն
connectedness	կապվածություն
auction	աճուրդ
bacterium	բակտերիա
oven	փուռ
balcony	պատշգամբ
balloon	օդապարիկ
flag	դրոշակ
barber	վարսավիր
barber	սափրիչ
beak	կտուց
beast	գազան
beauty	գեղեցկություն
beer	գարեջուր
bench	նստարան
bibliography	մատենագիտություն
bibliography	բիբլիոգրաֆիա
bicycle	հեծանիվ
biography	կենսագրություն
biology	կենսաբանություն
camel	ուղտ
gorge	ձոր
ability	ընդունակություն
timber	ատաղձագործ
chestnut	շագանակ
citizen	քաղաքացի
clown	ծաղրածու
coexistence	գոյակցություն
colleague	պաշտոնակից
collection	ժողովածու
tax collector	հարկահավաք
colony	գաղութ
column	սյունակ
competitor	մրցորդ
discontent	դժգոհություն
complexity	բարդություն
composer	կոմպոզիտոր
songwriter	երգահան
author	հեղինակ
work	ստեղծագործություն
essay	շարադրություն
nature	բնավորություն
disorder	խառնաշփոթություն
congratulation	շնորհավորում
consciousness	գիտակցություն
consequence	հետեւանք
conspiracy	դավադրություն
cowardly	վախկոտ
criterion	չափանիշ
critic	քննադատ
criticism	քննադատություն
crossword	խաչբառ
crown	թագ
kettle	կաթսա
cube	խորանարդ
care	խնամք
cypress	կիպարիս
injury	վնասվածք
dancer	պարող
husk	թեփ
danger	վտանգ
death	մահ
debate	բանավեճ
debt	պարտք
swindling	խաբեբայություն
delegation	պատվիրակություն
exile	աքսորում
deportation	վտարում
detailed	մանրամասն
part	մաս
diamond	ադամանդ
dictionary	բառարան
digestion	մարսողություն
direction	ուղղություն
catastrophe	աղետ
opening	բացում
discussion	քննարկում
disease	հիվանդություն
distance	հեռավորություն
parting	բաժանում
dome	գմբեթ
doubt	կասկած
vishap	վիշապ
drink	խմիչք
driver	վարորդ
drop	կաթիլ
duration	տեւողություն
dust	փոշի
nature	բնապահպանություն
side	կողմ
moving	շարժիչ
event	իրադարձություն
example	օրինակ
experience	փորձառություն
researcher	հետազոտող
flint	կայծքար
flood	հեղեղ
fly	ճանճ
hall	սրահ
vineyard	այգի
garden	պարտեզ
gate	դարպաս
generation	սերունդ
geography	աշխարհագրություն
geology	երկրաբանություն
glass	ապակի
glass	բաժակ
granite	գրանիտ
grass	խոտ
house	տուն
hotel	հյուրանոց
icicle	սառցալեզվակ
idol	կուռք
immortality	անմահություն
incident	պատահար
income	եկամուտ
indifference	անտարբերություն
industry	արդյունաբերություն
information	տեղեկատվություն
insect	միջատ
inventor	գյուտարար
Tiflis	Թիֆլիս
Ecuador	Էկվադոր
Maldives	Մալդիվներ
Moscow	Մոսկվա
China	Չինաստան
Զելանդիա	Նոր Զելանդիա
Dominica	Դոմինիկա
fascism	ֆաշիզմ
hill	բլուր
work	աշխատանք
joke	կատակ
oil	նավթ
kidney	երիկամ
kindergarten	մանկապարտեզ
wealth	բարիք
king	թագավոր
kitchen	խոհանոց
science	գիտություն
labyrinth	լաբիրինթոս
stairs	սանդուղք
lake	լիճ
laugh	ծիծաղ
laundry	լվացքատուն
laziness	ծուլություն
length	երկարություն
letter	նամակ
responsibility	պատասխանատվություն
library	գրադարան
lighthouse	փարոս
lightning	կայծակ
liquid	հեղուկ
lizard	մողես
logic	տրամաբանություն
lottery	վիճակախաղ
magazine	ամսագիր
worm	որդ
sorcerer	կախարդ
magnetism	մագնիսականություն
maize	եգիպտացորեն
majority	մեծամասնություն
malaria	տենդախտ
malnutrition	թերասնում
mammal	կաթնասուն
leader	ղեկավար
leadership	ղեկավարություն
marble	մարմար
market	շուկա
accumulation	զանգված
massacre	կոտորած
craftsman	վարպետ
matter	նյութ
mathematician	մաթեմատիկոս
mathematics	մաթեմատիկա
mattress	ներքնակ
mayor	քաղաքապետ
badge	կրծքանշան
treatment	բժշկում
medicine	բժշկություն
melody	մեղեդի
member	անդամ
metallurgy	մետաղագործություն
metal	մետաղ
metaphysics	մետաֆիզիկա
metaphysics	բնազանցություն
means	միջոց
microscope	մանրադիտակ
military	զինվորականություն
millennium	հազարամյակ
brains	միտք
mine	հանք
wonder	հրաշք
mission	առաքելություն
mobilization	զորահավաք
moisture	թացություն
molecule	մոլեկուլ
monarchy	միապետություն
monument	հուշարձան
mood	տրամադրություն
morgue	դիարան
gnat	մոծակ
motto	նշանաբան
cinematography	կինո
museum	թանգարան
myth	առասպել
wave	ալիք
nation	ազգ
nationalism	ազգայնականություն
ethnic group	ազգություն
nationalization	ազգայնացում
nature	բնություն
necessity	անհրաժեշտություն
neck	վիզ
needle	ասեղ
negotiation	բանակցություն
neighbour	հարեւան
nest	բույն
neutrality	չեզոքություն
neutron	նեյտրոն
nickname	մականուն
noise	աղմուկ
midday	կեսօր
north	հյուսիս
nugget	բնակտոր
extermination	ոչնչացում
nurse	բուժքույր
nourishment	սնուցում
shovel	թի
oath	երդում
obedience	հնազանդություն
obesity	գիրություն
object	առարկա
objection	հակաճառություն
obligation	պարտավորություն
observatory	աստղադիտարան
occasion	առիթ
ocean	օվկիանոս
office	գրասենյակ
oil	յուղ
opera	օպերա
opinion	կարծիք
competitor	մրցակից
optimistic	լավատես
orchestra	նվագախումբ
organizer	կազմակերպիչ
origin	ծագում
ostrich	ջայլամ
oval	ձվաձեւ
owl	բու
owner	տեր
paper	թուղթ
peace	խաղաղություն
philosophy	փիլիսոփայություն
pistol	ատրճանակ
afterbirth	ընկերք
plastic	պլաստիկ
plate	ափսե
political scientist	քաղաքագետ
politics	քաղաքականություն
pregnancy	հղիություն
prehistory	նախապատմություն
profession	մասնագիտություն
proof	ապացույց
property	գույք
proton	պրոտոն
spinning wheel	ճախարակ
punishment	պատիժ
pyramid	բուրգ
quality	որակ
quantity	քանակ
fight	կռիվ
quartet	քառյակ
quartz	կվարց
queen	թագուհի
question	հարց
quotient	քանորդ
racism	ռասիզմ
radio	ռադիո
rainbow	ծիածան
certification	վավերացում
realism	իրատեսություն
guaranteeing	երաշխավորում
reality	իրականություն
registration	գրանցում
religion	կրոն
refrigerator	սառնարան
cliff	ժայռ
relation	հարաբերություն
substitution	փոխարինում
representation	ներկայացուցչություն
reproduction	վերարտադրություն
republic	հանրապետություն
reputation	համբավ
reservoir	ջրամբար
formula	բանաձեւ
vengeance	վրեժ
coup d'état	հեղաշրջում
ceremony	արարողություն
roof	կտուր
room	սենյակ
root	արմատ
turn	պտույտ
road	ճանապարհ
rib	կող
rock	ապառաժ
rose	վարդ
news	լուր
rust	ժանգ
sadness	տխրություն
sail	առագաստ
salt	աղ
sand	ավազ
sandstone	ավազաքար
school	դպրոց
scientist	գիտնական
sea	ծով
sexism	սեքսիզմ
appearance	կերպարանք
skeleton	կմախք
skin	մաշկ
smallpox	ծաղկախտ
socialism	սոցիալիզմ
socialistic	սոցիալիստական
soul	հոգի
spirit	ոգի
spleen	փայծաղ
square	քառակուսի
star	աստղ
starvation	սովամահություն
statesman	պետական գործիչ
station	կայան
steel	պողպատ
belly	փոր
structure	կառուցվածք
sunrise	արեւածագ
surgery	վիրաբուժություն
sword	թուր
technology	տեխնիկա
telephone	հեռախոս
television set	հեռուստացույց
theater	թատրոն
survey	տեսություն
thinking	մտածող
thirst	ծարավություն
whirlwind	պտտահողմ
contribution	ավանդ
train	գնացք
treatment	բուժում
trigonometry	եռանկյունաչափություն
truth	ճշմարտություն
tsunami	ցունամի
tuberculosis	պալարախտ
ulcer	խոց
raincoat	անձրեւանոց
underground	մետրոպոլիտեն
underwear	ներքնազգեստ
unemployment	գործազրկություն
unexpectedness	անսպասելիություն
cosmos	տիեզերք
university	համալսարան
use	օգտագործում
username	օգտանուն
leave	արձակուրդ
vaccination	պատվաստում
valley	հովիտ
value	արժեք
flowerpot	ծաղկաման
vein	երակ
speed	արագություն
verdict	վճիռ
checking	ստուգում
line	տող
vest	բաճկոն
environs	շրջակայք
sacrifice	զոհ
victory	հաղթանակ
vinegar	քացախ
violence	բռնություն
violin	ջութակ
virus	վիրուս
vocabulary	բառապաշար
volcano	հրաբուխ
voluntary	կամավոր
travel	ճանապարհորդություն
war	պատերազմ
water	ջուր
waterfall	ջրվեժ
arm	զենք
wedge	սեպ
wood	փայտ
wrist	դաստակ
writer	գրող
yacht	զբոսանավ
yolk	դեղնուց
youth	պատանեկություն
call a spade a spade	խոսքը սար ու ձոր չգցել
ջուր	արյունը ջուր չի դառնա
never	երբեք
greeting	բարեւ
condom	գանդոն
Asbed	Ասպետ
Stalin	Ստալին
ruble	ռուբլի
I don't know	չեմ գիտեր
cunt	պուց
brain	ուղեղ
Oregon	Օրեգոն
parrot	թութակ
suck	ծծել
nipple	կրծքապտուկ
hole	ծակ
night	գիշեր
dick	կլիր
life	կյանք
manna	մանանա
dove	աղավնի
hail	կարկուտ
mountain	լեռ
membrum virile	առնանդամ
fool	հիմարացնել
Euphrates	Եփրատ
interview	հարցազրույց
sculpture	արձան
scrotum	ամորձապարկ
Armenian	։
drink	խմել
sugar	շաքար
flower	ծաղիկ
face	երես
alphabet	այբուբեն
exist	գոյական
yawn	հորանջել
blood	արյուն
significant	նշանակալից
like	սիրել
wine	գինի
stone	քար
god	աստված
clay	կավ
horse	ձի
egg	ձու
delirium	զառանցանք
hope	հուսալ
first	նախ
other	մյուս
human	մարդկային
Georgian	վրացական
only	սոսկ
ծով	Կասպից ծով
hedgehog	ոզնի
mountain	սար
year	ամ
three	երեք
laser	լազեր
doe	եղնիկ
body	մարմին
fox	աղվես
heart	սիրտ
island	կղզի
idiom	դարձված
soap	օճառ
field	դաշտ
understand	հասկանալ
be	լինել
polite	քաղաքավար
orphan	որբ
Aristotle	Արիստոտել
daughter	դուստր
shepherd	հովիվ
tongue	լեզու
Karen	Կարեն
name	անուն
cornfield	արտ
viper	իժ
fire	հուր
beautiful	գեղեցիկ
dear	յար
you	քեզ
health	առողջություն
cheers	կենացդ
where	որտեղ
come	գալ
study	սովորել
eat	ուտել
see	տեսնել
draw	նկարել
write	գրել
have	ունենալ
dative case	հավատալ
live	ապրել
call	կանչել
gather	հավաքել
greeting	ողջույն
do	անել
enter	մտնել
go	գնալ
buy	գնել
dative case	սպասել
read	կարդալ
remember	հիշել
stand	կանգնել
say	ասել
avaricious	ագահ
aggressive	ագրեսիվ
free	ազատ
attention	ուշադրություն
sweet	անուշ
shish kebab	խորոված
roast	խորովել
blind	կույր
light	լույս
line	գիծ
move	շարժել
move	շարժվել
continue	շարունակել
ordinary	շարքային
chess	շախմատ
goodbye	ցտեսություն
work	աշխատել
angry	չարանալ
each	ամեն
friend	ընկեր
friend	ընկերուհի
miss	կարոտել
want	ուզել
whom	ում
for	համար
sleep	քնել
Afrikaans	աֆրիկանս
look	նայել
run	վազել
forward	առաջ
but	բայց
besides	բացի
be	ըլլալ
dream	անուրջ
faggot	գյոթ
idle	պարապ
disease	ախտ
promise	խոստանալ
hiss	ֆշշալ
get drunk	հարբել
book	գիրք
song	երգ
dance	պարել
relative	բարեկամ
movement	ժաժ
am	եմ
lip	շրթունք
snake	օձ
cloud	ամպ
wind	քամի
music	երաժշտություն
snow	ձյուն
drunkard	գինեմոլ
unfamiliar	անծանոթ
enemy	թշնամի
guest	հյուր
honey	մեղր
crime	եղեռն
towel	սրբիչ
kiss	համբույր
kiss	համբուրել
homosexuality	համասեռամոլություն
bee	մեղու
kangaroo	կենգուրու
automobile	ավտոմեքենա
mole	խլուրդ
hippopotamus	գետաձի
cockroach	խավարասեր
dark	խավար
cucumber	վարունգ
chickpea	սիսեռ
lentil	ոսպ
head	գլուխ
cheek	թուշ
cheek	այտ
eyebrow	հոնք
nail	եղունգ
nail	մեխ
back	մեջք
forehead	ճակատ
lip	շուրթ
tooth	ատամ
snout	դունչ
jaw	ծնոտ
temple	քունք
skull	գանգ
nose	քիթ
liver	լյարդ
stomach	ստամոքս
lung	թոք
diaphragm	ստոծանի
intestine	աղիք
gall bladder	լեղապարկ
bile	լեղի
throat	կոկորդ
windpipe	շնչափող
artery	զարկերակ
anatomy	անատոմիա
chemistry	քիմիա
Turkmenistan	Թուրքմենստան
Kazakhstan	Ղազախստան
Tajikistan	Տաջիկստան
Arab	արաբ
Jew	հրեա
Greek	հույն
Turk	թուրք
Azerbaijani	ադրբեջանցի
Georgian	վրացի
Persian	պարսիկ
American	ամերիկացի
Englishman	անգլիացի
Kurd	քուրդ
Danube	Դանուբ
Rhine	Հռենոս
Kura	Կուր
Araks	Արաքս
bag	պարկ
knight	ասպետ
computer	համակարգիչ
counter	հաշվիչ
keyboard	ստեղնաշար
genocide	ցեղասպանություն
city	քաղաք
town	ավան
dream	երազ
Palestine	Պաղեստին
south	հարավ
southern	հարավային
northern	հյուսիսային
eastern	արեւելյան
western	արեւմտյան
big	մեծ
small	փոքր
fat	չաղ
thin	նիհար
smart	խելոք
stupid	դոդ
thick	հաստ
