Amharic	አማርኛ
church	ደብር
crown	አክሊል
neighborhood	ቀበሌ
grandfather	አያት
pitch	ዝፍት
die	ሞተ
okra	ባሚያ
fort	ዕርድ
antelope	ዋሊያ
state	አገራት
tin	ቆርቆሮ
yolk	አስኳል
weak	ደካማ
sheet	አንሶላ
stomach	ጨጓራ
ostrich	ሰጎን
newspaper	ጋዜጣ
thorn	እሾህ
naked	እርቃን
clay	ሸክላ
termite	ምስጥ
broom	መጥረጊያ
needle	መርፌ
monk	መነኩሴ
papaya	ፓፓያ
aunt	አክስት
modern	ዘመናዊ
hello	ሀልሎ
post office	ፖስታ፡ቤት
politics	ፖለቲካ
guitar	ጊታር
piano	ፒያኖ
accordion	አኮርዲዮን
violin	ቫዮሊን
electricity	ኤሌክትሪክ
electricity	ኮረንቲ
virus	ቫይረስ
internet	ኢንተርኔት
idea	ሐሳብ
sports	ስፖርት
thing	ነገር
football	እግር ኳስ
ball	ኳስ
calf	ጥጃ
lake	ሀይቅ
entrance	መግቢያ
national	ብሄራዊ
game	ጨዋታ
shoe	ጫማ
soap	ሳሙና
liquor	አረቂ
potato	በጣጢስ
bridle	ልጓም
ginger	ዝንጅብል
nettle	ሳማ
chickpea	ሽምብራ
chickling vetch	ጓያ
incense	ዕጣን
storax	ልብን
citron	ትርንጎ
mountain plum	እንኰይ
new	ሐጅስ
new	ሐዲስ
strait	ጋሜ
with	ጋር
redness	በገን
sore	ብጒንጅ
Paradise	ጀነት
garden	ገነት
boastful	አንጀባ
dwarf	ድንክ
pocket	ኪስ
date	ተምር
exterior	ውጭ
cloth cap	ከሎታ
kerchief	ሰበን
at	እ-
mustard	ሰናፍጭ
pomegranate	ሮማን
felucca	ፍሉካ
death	ሞት
dead	ሙት
torch	ፋኑስ
wine	ነቢት
country	አገር
gospel	ወንጌል
restaurant	ምግብ ቤት
food	ምግብ
bar	አሞሌ
silver	ብር
coin	ሳንቲም
hawk	አንቄ
cabbage	ጎመን
anise	ሽላን
small	ስልቻ
bullet	ወይፈን
wedder	ሙሽራ
beginning	መጀመሪያ
below	በታች
ክርስቲያን	ቤተ፡ክርስቲያን
mule	በቅሎ
fetus	ሽል
shawl	ሻል
write	ከታተበ
write	ከተበ
mulukhiyah	ሙሉክዬ
visa	ቪዛ
pen	ብዕር
truth	ኡነት
face	ፊት
testament	ኑዛዜ
letter	ፊደል
hunger	ራብ
thorn	ሾክ
rein	እዛብ
foot	እግርጌ
Christianity	ክርስትና
rainy season	ክረምት
breakfast	ቍርስ
year	ዓመት
centipede	አምሳግር
patriot	አርበኛ
key	መክፈቻ
jump	ኳሰ
pistol	ፈርጥ
clitoris	ቂንጥር
choice	ምርጫ
answer	ምላሽ
open	ተከፈተ
means	መከፈቻ
go	ዘመተ
decorate	ሸለመ
write	ጻፈ
fly	ዝምብ
chair	ወምበር
wheat	ስንዴ
heel	ተረከዝ
pestle	ዘነዘና
You	እስዎ
my	የኔ
possessor	የ-
thy	ያንተ
thy	ያንቺ
broad bean	ባቄላ
adventure	ጅብዱ
his	የሱ
her	የሷ
our	የኛ
your	የናንተ
their	የነሱ
this	ይህ
this	ይህች
these	እነዚህ
those	እነዚያ
that	ያች
whom	ማንን
who	ማን፡ማን
who	እነማን
what	ምን፡ምን
ምን	ምንና፡ምን
which	ማንኛው
which one	ማንኛችን
which one	ማንኛችሁ
which one	ማንኛቸው
what kind of	ምንድን
which	የቱ
which	የትኛው
all	ሁሉ
only	ብቻ
pedestrian	እግረኛ
lord	ጌታ
adventure	ጀብዱ
maid	ገረድ
queen	ንግሥት
and	-ና
man	ሰውዬ
woman	ሴትዮ
help	እርዳታ
እንግሊዝኛ	እንግሊዝኛ፡ትችላለህ
እንግሊዝኛ	እንግሊዝኛ፡ትችያለሽ
እንግሊዝኛ	እንግሊዝኛ፡ይችላሉ
ማን	ስምህ፡ማን፡ነው
ማን	ስምሽ፡ማን፡ነው
commit suicide	ሽጉጡን፡ጠጣ
handgun	ሽጉጥ
many	ብዙ
diamond	አልማዝ
happy birthday	መልካም፡ልደት
happy New Year	መልካም፡አዲስ፡አመት
drink	ጠጣ
breath	እስትንፋስ
run	ሩጫ
far	ሩቅ
basil	ከሰረት
Rome wasn't built in a day	ሮም፡በአንድ፡ቀን፡አልተገነባችም
build	መገንባት
analyst	ተንታኝ
respect	ክብር
she wasn't built	አልተገነባችም
Armenian	አርሜንኛ
toilet	ሽንት፡ቤት
laugh	ሳቀ
piss	ሽንት
