day	kun
home	uy
custom	odat
Estonian	eston
Latin	lotin
key	kalit
army	askar
-имиз	-imiz
-ингиз	-ingiz
-нгиз	-ngiz
-ingiz	-ng
-ники	-niki
my	-im
about	-lar
-м	-m
our	-miz
-лари	-lari
door	eshik
bear	ayiq
Turkmenistan	Turkmaniston
Kazakhstan	Qozoqston
Tajikistan	Tojikiston
Нукус	Nukus
three	uch
five	besh
breath	nafas
Wikipedia	Vikipediya
contrast	kontrast
piano	piyano
cigar	sigara
damage	zarar
clay	gil
caramel	karamel
cherry	olcha
expert	ekspert
Constantinople	Konstantinopol
tooth	tish
article	artikl
education	tahsil
iron	temir
Cyrillic	Kirill
sand	qum
garden	боғ
fuck	sikmoq
history	tarix
tail	quyruq
-ness	-lik
knowledge	bilim
Croatia	Xorvatiya
bone	suyak
shoe	туфли
bird	qush
point	nuqta
fish	baliq
thread	ip
diamond	olmos
basket	savat
matter	modda
world	дунё
family tree	shajara
philosophy	falsafa
practice	praktika
dictionary	луғат
star	yulduz
van	furgon
metabolism	metabolizm
quarrel	bahs
heart	yurak
animal	hayvon
tree	daraxt
river	daryo
leaf	yaproq
root	ildiz
hair	soch
foot	oyoq
wing	qanot
liver	jigar
fat	moy
blood	qon
skin	teri
worm	qurt
fingernail	tirnoq
horn	muguz
horn	shox
small	kichik
short	qisqa
green	yashil
white	oq
red	qizil
new	yangi
bad	yomon
good	yaxshi
dictionary	soʻzlik
encyclopedia	qomus
year	yil
cold	sovuq
warm	iliq
hot	issiq
fire	olov
fire	otash
sky	osmon
ground	tuproq
sugar cube	qand
sugar	shakar
sea	dengiz
sun	quyosh
fruit	meva
heavy	ogʻir
thick	qalin
thick	yoʻgʻon
great	buyuk
summer	yoz
winter	qish
autumn	kuz
spring	bahor
page	sahifa
donkey	eshak
cow	sigir
article	maqola
answer	javob
live	yashamoq
fly	uchmoq
now	hozir
much	koʻp
again	yana
again	tagʻin
center	markaz
speed	tezlik
city	shahar
village	qishloq
family	oila
perch	olabugʻa
universe	olam
дунё	dunyo
world	jahon
gold	oltin
law	qonun
state	davlat
politics	siyosat
Shari'a	shariat
capital	poytaxt
square	maydon
minister	vazir
vilayet	viloyat
chemistry	kimyo
only	faqat
all	barcha
all	hamma
account	hisob
library	kutubxona
lesson	dars
orthography	imlo
signature	imzo
wisdom	hikmat
section	qism
free	erkin
independent	mustaqil
free	ozod
freedom	ozodlik
freedom	hurlik
freedom	erkinlik
freedom	hurriyat
gender	jins
property	mulk
thing	narsa
when	qachon
Urgench	Urganch
Khwarazm	Xorazm
verb	feʼl
sword	qilich
forest	oʻrmon
flower	chechak
egg	tuxum
big	katta
person	kishi
person	odam
woman	xotin
woman	ayol
intelligence	aql
book	kitob
koumiss	qimiz
eat	yemoq
ethnic	etnik
doctor	tabib
quince	behi
hen	tovuq
song	qoʻshiq
orange	poʻrtahol
nettle	gazanda oʻt
Turkey	Turkiya
Black Sea	Qora dengiz
Mediterranean Sea	Oq dengiz
Anatolia	Onadoʻli
Turkey	Anatoliya
Anatolia	Kichik Osiyo
window	deraza
cardiologist	kardiolog
Syria	Suriya
factory	zavod
violin	skripka
charming	zarif
silk	ipak
watt	vatt
homosexuality	gomoseksuallik
heterosexuality	geteroseksuallik
bisexuality	biseksuallik
pomegranate	anor
antiquity	qadim
Islam	islom
Russia	Rossiya
four	toʻrt
six	olti
seven	yetti
eight	sakkiz
nine	toʻqqiz
steering wheel	rul
letter	xat
pulmonologist	pulmonolog
map	харита
fox	tulki
hare	quyon
hare	tovushqon
drop	tomchi
finger	barmoq
life	hayot
petroleum	neft
marble	marmar
how	qalay
wolf	boʻri
friend	doʻst
meat	goʻsht
sky	koʻk
lake	koʻl
bridge	koʻprik
dictionary	lugʻat
mouth	ogʻiz
duck	oʻrdak
nettle	qichitqi oʻt
sheep	qoʻy
word	soʻz
mountain	togʻ
dust	toʻzon
seed	urugʻ
road	yoʻl
fat	yogʻ
rain	yomgʻir
potassium	kaliy
som	soʻm
garden	bogʻ
almond	bodom
help	yordam
cabbage	karam
unsalted	-siz
priest	kohin
cucumber	bodring
ten	oʻn
imam	имом
flea	burga
hadith	hadis
wardrobe	garderob
Aleppo	Halab
sunflower	kungaboqar
ham	goʻshti
grape	uzum
radiolocation	radiolokasiya
Asia	Osiyo
other	boshqa
king	korol
lion	arslon
ring	uzuk
flag	bayroq
thimble	angishvona
home	hovli
China	Xitoy
country	mamlakat
'umra	umra
teacher	oʻqituvchi
ice cream	muzqaymoq
Ohio	Ogayo
element	unsur
shoe	tufli
Sweden	Shvetsiya
grammar	grammatika
mare	biya
sin	gunoh
hernia	dabba
envy	hasad
season	fasl
Albania	Albaniya
passport	pasport
Sunday	yakshanba
Saturday	shanba
Monday	dushanba
Tuesday	seshanba
Wednesday	chorshanba
Thursday	payshanba
Germany	Olmoniya
immunity	immunitet
people	ahl
Czech Republic	Chexiya
aragonite	aragonit
tea	choy
fourth	toʻrtinchi
travel	safar
Hungary	Mojariston
first	birinchi
helicopter	vertolyot
adjective	sifat
spoon	qoshiq
Serbia	Serbiya
pie	pirog
Uzbek	oʻzbekcha
Uzbek	oʻzbek
pepper	qalampir
storm	boʻron
Uyghur	уйғур
God	Аллоҳ
bird cherry	shumurt
neurologist	nevrolog
justice	adolat
Poland	Polsha
Europe	Yevropa
Iran	Eron
available	mavjud
mavjud	мавжуд
cross	salib
Montenegro	Chernogoriya
Georgia	Gurjiston
sultan	sulton
wick	pilik
eleven	oʻn bir
twelve	oʻn ikki
thirteen	oʻn uch
pleasure	lazzat
delicious	lazzatli
delicious	totli
know	bilmoq
harmful	zararli
harmless	zararsiz
interface	interfeys
software	dasturiy taʻminot
provision	taʻminot
spy	josus
josus	жосус
private	maxsus
about	haqida
haqida	ҳақида
beautiful	goʻzal
afflicted	mubtalo
solicitude	inoyat
means	yaʼni
central	markaziy
speech	mantiq
do	qilmoq
hunter	ovchi
cell	hujayra
protect	qoʻrimoq
hear	eshitmoq
come	kelmoq
see	koʻrmoq
laugh	kulmoq
die	oʻlmoq
write	yozmoq
lie	yotmoq
boil	qaynamoq
be afraid	qoʻrqmoq
awake	uygʻonmoq
sell	sotmoq
keeper	qoʻriqchi
protected place	qoʻriq
sink	choʻmmoq
take	olmoq
understand	anglamoq
sneeze	aksirmoq
achieve	bajarmoq
look	bosmoq
bind	bogʻlamoq
start	boshlamoq
order	buyurmoq
shrink	kichiklashmoq
carry	tashimoq
fall	tushmoq
give birth	tugʻmoq
dream	orzu
eye	koʻz
harmful	ziyonli
harmless	ziyonsiz
damage	ziyon
son	oʻgʻil
girl	qiz
borrowing	istiora
gymnasium	gimnaziya
gymnasium	gimnazist
pyrotechnics	pirotexnika
company	shirkat
character	qiliq
pail	paqir
from within	ichidan
Italy	Italiya
sympathy	simpatiya
poplar	terak
court	mahkama
good	manfaat
cause	sabab
adiabatic	adiabatik
opinion	fikr
liar	yolgʻonchi
hour	соат
future	kelajak
deafness	karlik
ambassador	elchi
people	xalq
Allah	Alloh
plum	olxoʻri
cat	mushuk
knee	tizza
stupid	ahmoq
news	yangiliklar
news	yangilik
girls	qizlar
love	muhabbat
part	qismi
brush	choʻtka
squirrel	olmaxon
rainbow	kamalak
sweet	shirin
repertoire	repertuar
canvas	kanva
Italian	italyan
Spaniard	ispan
etymology	etimologiya
proper behavior	adab
all	butun
colonel	polkovnik
cathedral	sobor
fit	kelishmoq
act	qilishmoq
friend	birodar
body	jasad
Macedonia	Makedoniya
applause	olqish
haematology	gematologiya
thank you	rahmat
epistemology	epistemologiya
melon	qovun
hospital	kasalxona
Greek	Antioxiya
jurisdiction	yurisdiksiya
handbag	sumka
бутун дунё пролетарлари, бирлашингиз	butun dunyo proletarlari, birlashingiz
binoculars	durbin
importance	ahamiyat
necessity	zarurat
pride	gʻurur
natural	tabiiy
enemy	dushman
no	yoʻq
stupidity	ahmoqlik
step	qadam
thought	xayol
separate	ayirmoq
body	vujud
wingless	qanotsiz
together	birga
emotion	tuygʻu
holder	sohib
love	ishq
Gʻ	gʻa
narcissus	nargis
Cyrillic	бутун дунё пролетарлари, бирлашингиз
Cyrillic	-лар
cheese	pishloq
refrigerator	xolodilnik
kitchen	oshxona
wind	shamol
temperature	harorat
dry	quruq
sunny	quyoshli
alphabet	yozuv
central	oʻrta
each other	bir-biri
oʻgʻil	ўғил
royal	shohona
unknown	majhul
fraction	kasr
waterfall	shalola
complaint	shikoyat
travel	sayohat
open	ochiq
gift	tuhfa
gift	hadya
government	hukumat
witness	shohid
money changer	sarrof
crescent	hilol
rebellion	isyon
rebellious	osiy
Western Asia	Gʻarbiy Osiyo
Shymkent	Chimkent
hour	soat
shawl	shol
juniper	арча
monarchy	monarxiya
treasurer	xazinador
detail	tafsilot
detailed	mufassal
argument	dalil
conqueror	fotih
arrogant	takabbur
impression	taassurot
function	funksiya
tar	qatron
astrologer	munajjim
fire-worshipper	otashparast
Zoroaster	Zardusht
coronavirus	koronavirus
secularism	dunyoviylik
worldly	dunyoviy
revolution	inqilob
fourteen	oʻn toʻrt
thousandth	minginchi
epidemic	epidemiya
climate	iqlim
style	uslub
isolation	izolyatsiya
construction	konstruksiya
pandemic	pandemiya
collection	kolleksiya
evolution	evolutsiya
theory	nazariya
theoretician	nazariyachi
infection	infeksiya
operation	operatsiya
convection	konveksiya
hypothesis	gipoteza
hypotenuse	gipotenuza
hypothermy	gipotermiya
innervation	innervatsiya
artery	arteriya
emotion	emotsiya
division	diviziya
alcoholism	alkogolizm
intoxication	intoksikatsiya
discrimination	diskriminatsiya
Mesopotamia	Mesopotamiya
evolution	takomil
explanatory	izohli
explanation	izoh
strong	kuchli
strong	quvvatli
strength	quvvat
profession	pesha
boat	qayiq
constitutional	konstitutsiyaviy
judge	sudya
blindness	koʻrlik
blind	koʻr
minute	daqiqa
time	vaqt
second	soniya
participation	ishtirok
sleep	uyqu
insect	hasharot
class	sinf
vertebra	umurtqa
vertebrate	umurtqali
invertebrate	umurtqasiz
prophet	paygʻambar
India	Hindiston
Pakistan	Pokiston
Libya	Liviya
Greece	Yunoniston
United Kingdom	Birlashgan Qirollik
Bulgaria	Bolgariya
Bosnia and Herzegovina	Bosniya va Gersegovina
Ireland	Irlandiya
Spain	Ispaniya
Liechtenstein	Lixtenshteyn
Luxembourg	Lyuksemburg
Netherlands	Niderlandiya
Cyprus	Qibris
Romaniya	Ruminiya
Switzerland	Shveysariya
Eurasia	Yevrosiyo
entropy	entropiya
northern	shimoliy
southern	janubiy
western	gʻarbiy
eastern	sharqiy
hemisphere	yarimshar
geography	geografiya
person	shaxs
physical	jismoniy
mental	ruhiy
progress	taraqqiyot
helpless	ojiz
helplessness	ojizlik
lazy	tanbal
laziness	tanballik
hundredth	yuzinchi
twenty	yigirma
twentieth	yigirmanchi
thirty	oʻttiz
thirtieth	oʻttizinchi
forty	qirq
fortieth	qirqinchi
fifty	ellik
fiftieth	elliginchi
sixty	oltmish
sixtieth	oltmishinchi
seventy	yetmish
seventieth	yetmishinchi
eighty	sakson
eightieth	saksoninchi
ninety	toʻqson
ninetieth	toʻqsoninchi
wise	hikmatli
beauty	goʻzallik
necessary	kerakli
unnecessary	keraksiz
necessity	keraklik
necessary	kerak
ancient	qadimgi
historical	tarixiy
historian	tarixchi
press	matbuot
religious	diniy
philosophical	falsafiy
political	siyosiy
social	ijtimoiy
chess	shaxmat
chess player	shaxmatchi
busy	mashgʻul
writer	yozuvchi
philosopher	faylasuf
painter	rassom
linguist	tilshunos
poet	shoir
jurist	huquqshunos
jurisprudence	huquqshunoslik
human being	inson
human	insoniy
humanity	insoniyat
right	huquq
universal	umumiy
linguistics	tilshunoslik
influential	nufuzli
loyal	sodiq
prince	shahzoda
artichoke	artishok
cardiology	kardiologiya
neurology	nevrologiya
pulmonology	pulmonologiya
located	joylashmoq
in order	jobajo
dysentery	dizenteriya
planet	sayyora
nation	millat
nationalist	millatchi
nationalism	millatchilik
organization	tashkilot
unite	birlashmoq
garden	boʻston
Dervish	darvesh
independence	istiqlol
independence	mustaqillik
Antakiyeh	Antokiya
Semite	somiy
proletarian	proletar
compose	bastalamoq
composer	bastakor
musical	musiqiy
moment	lahza
mother-of-pearl	sadaf
mobilization	safarbarlik
mobilized	safarbar
will	vasiyatnoma
war	urush
news	xabar
resolution	qaror
irrigation canal	anhor
branch	tarmoq
back	orqa
Great Patriotic War	Ulugʻ Vatan urushi
calf	buzoq
yurt	oʻtov
yellow	sariq
adjoining	chegaradosh
pronunciation	aytilish
exit	chiqish
change	oʻzgarish
join	qoʻshilmoq
easy	oson
variable	oʻzgaruvchi
silver	kumush
gulf	koʻrfaz
strike	zabastovka
urgent	shoshilinch
worker	ishchi
declaration	bayonnoma
intent	maqsad
repair shop	ustaxona
waist	lifchik
examination	zachyot
box	yashik
cell	yacheyka
strike	stachka
mail	pochta
stomach	qorin
interpreter	tarjimon
death	vafot
incredible	ajoyib
society	jamoa
cotton	paxta
carpet	gilam
harness	abzal
opium	afyun
state	ahvol
ancestor	ajdod
coquettish	tannoz
coquettish	gʻamzali
mirror	oyna
toilet	hojatxona
table	jadval
food	ovqat
ghost	arvoh
doctor	shifokor
knife	pichoq
watermelon	tarvuz
bucket	chelak
list	vedomost
spectacle	tomosha
production	postanovka
piggy bank	gʻaladon
legend	afsona
nightstand	tumbochka
automobile	avtomashina
pit face	zaboy
cord	shnur
serpentine	zmeyevik
debt	qarz
warehouse	ombor
drinking glass	stakan
create	yaratmoq
possible	mumkin
circulation	oborot
army	armiya
army	qoʻshin
bill	schyot
counter	schyotchik
drawer	tortma
for	uchun
Islam	Islom
zakat	zakot
prayer	namoz
empty	boʻsh
film	kartina
backpack	ryukzak
sweets	konfet
Soviet Union	Sovet Sotsialistik Respublikalari Ittifoqi
Soviet Union	Sovet Ittifoqi
traditional	an’anaviy
meaning	ma’no
vacation	dam olish
republican	respublikachi
dragon	ajdarho
lechery	fahsh
peculiarity	xususiyat
concentration camp	kontslager
file	hujjat
late	soʻnggi
writing system	orfografiya
punctuation	punktuatsiya
exception	istisno
neoliberalism	neoliberalizm
anarcho-capitalism	anarxo-kapitalizm
anarchism	anarxizm
victory	gʻalaba
hydrogen	vodorod
equality	tenglik
inflation	inflatsiya
Karachay-Balkar	Qorachoy-bolqorcha
text	matn
two thousand	ikki ming
thousandth	ming birinchi
thousandth	ikki ming birinchi
thousand	ikki ming bir
thousandth	ikki ming oʻttizinchi
thousandth	ikki ming oʻttiz yettinchi
two thousand	ikki ming oʻttiz yetti
thousandth	ikki ming oʻttiz oltinchi
thousandth	ikki ming oʻttiz olti
thousandth	ikki ming oʻttiz sakkizinchi
thousandth	ikki ming oʻttiz sakkiz
-th	-inchi
stable	barqaror
saltbush	alabuta
saltbush	olabuta
Karakalpak	qoraqalpoqcha
Kyrgyz	qirgʻiz
Osh	Oʻsh
population	aholi
density	zichlik
definite	muayyan
dog	kuchuk
splendor	hashamat
washing machine	kir yuvish mashina
washing machine	kiyimlarni yuvish
economy	iqtisodiyot
final	oxirgi
Abraham	Ibrohim
east	sharq
south	janub
north	shimol
west	gʻarb
thousand nine hundred ninety nine	ming to'qqiz yuz to'qson to'qqiz
thousand nine hundred ninety eight	ming to’qqiz yuz to’sqan sakkiz
thousand nine hundred ninety seven	ming to’qqiz yuz to’sqon yetti
East Turkestan	Sharqiy Turkiston
how	qanday
dark	toʻq
Karakalpakstan	Qoraqalpogʻiston
feces	boʻq
disinfection	dezinfektsiya
Uyghurs	Uygʻurlar
Uyghur	Uygʻur
Syr Darya	Sirdaryo
Syr Darya	Сирдарё
international	xalqaro
secularism	sekularizm
wheat	bugʻdoy
vapor	bugʻ
plant	oʻsimlik
Gog	Yaʼjuj
azure	lojuvard
more	-roq
concerning	oid
Mongol	moʻgʻul
Aramean	oromiy
Syriac	suryoniy
Nestorian	nasturiy
Greek	yunon
Turkmen	turkman
Bashkir	boshqird
Kazakh	qozoq
Chuvash	chuvash
Irishman	irland
Pole	polyak
Uyghur	uygʻur
Christian	xristian
Christianity	xristianlik
Muslim	musulmon
Jew	yahudiy
Zoroastrian	zardushtiy
list	roʻyxat
caravan	karvon
Iraqi	iroqlik
Syrian	suriyalik
Egyptian	misrlik
Chinese	xitoylik
Iranian	eronlik
Tunisian	tunislik
Moroccan	marokashlik
Morocco	Marokash
Micronesian	mikroneziyalik
Micronesia	Mikroneziya
Swiss	shveysariyalik
Australian	avstraliyalik
Cuban	kubalik
Austrian	avstriyalik
Colombian	kolumbiyalik
Canadian	kanadalik
Panamanian	panamalik
Salvadoran	salvadorlik
Azerbaijani	ozarbayjonlik
Swede	shvetsiyalik
American	amerikalik
Indonesian	indoneziyalik
Indonesia	Indoneziya
Damascus	Damashq
Muscovite	moskvalik
Iraq	Iroq
Isfahan	Isfahon
Tehrani	tehronlik
Kurdistan	Kurdiston
Bashkortostan	Boshqirdiston
Tatarstan	Tatariston
Frenchman	fransuz
Ukrainian	ukrain
Lithuanian	litvalik
danseuse	raqqosa
poetess	shoira
ezafe	izofat
angel	farishta
librarian	kutubxonachi
librarianship	kutubxonachilik
former	sobiq
revolutionary	inqilobchi
terrorist	terrorchi
weeping willow	majnuntol
study	o'rganmoq
steel	poʻlat
scissors	qaychi
subject	subʼyekt
convince	ishontirmoq
however	biroq
send	yubormoq
send	joʻnatmoq
establish	oʻrnatmoq
reciprocal	oʻzaro
weapon	qurol
armed	qurolli
comb	taramoq
bold	jasur
young	yosh
owner	xoʻja
vodka	aroq
hooligan	xuligan
regret	hasrat
glasses	koʻzoynak
ache	og'rimoq
drink	ichmoq
tradition	an’ana
ownership	sohiblik
ashik	oshiq
necessity	ehtiyoj
initial	dastlabki
cannabis	nasha
marijuana	marixuana
work	ishlamoq
masturbation	masturbatsiya
accent	urgʻu
penis	erkaklik
unsalted	tuzsiz
translatologist	tarjimashunos
translatology	tarjimashunoslik
translation	tarjima
textologist	matnshunos
textology	matnshunoslik
holy war	jihod
blessed	muborak
Afghan	afgʻon
theology	ilohiyot
theologian	ilohiyotchi
sultanate	sultonlik
turtle	toshbaqa
neck	boʻyin
kidney	buyrak
chador	chodir
male	erkak
intestine	ichak
Saljuqid	saljuqiy
give	bermoq
read	o'qimoq
spend	sarflamoq
rare	taqchil
separate	ajratmoq
prepare	tayyorlamoq
come across	uchramoq
resurrection	baʼs
Baal	Baʼl
desire	xohlamoq
leader	rahbar
gardener	bogʻbon
observatory	rasadxona
