two	de
thigh	kuis
search	chache
release	lage
Thursday	jedi
hotel	otel
thing	bagay
live	viv
friend	zanmi
sea	lamè
confidence	konfyans
see	wè
hope	lespwa
located	sitye
have	genyen
child	timoun
person	moun
creole	kreyòl
water	dlo
how	kijan
when	kilè
who	kimoun
where	kikote
prejudice	prejije
power	pisans
wife	fanm
baptism	batèm
any	nenpòt
drink	bwè
drink	bwason
activity	aktivite
adult	granmoun
flag	drapo
think	panse
sir	mouché
need	bezwen
heat	chalè
die	mouri
earthquake	tranblemanntè
because of	akòz
body	kò
God	Bondye
kill	touye
because	paske
death	lanmò
hear	tande
Job	Jòb
pleasure	plezi
brother	frè
sun	solèy
a few	kèk
forget	bliye
old	vye
close	fèmen
can	kapab
find	jwenn
disobey	dezobeyi
grow	pouse
root	rasin
understanding	konprann
nothing	anyen
Haitian	ayisyen
Internet	entènèt
Montreal	Monreyal
again	ankò
before	anvan
hair	cheve
send	voye
take	pran
first	premye
work	travay
advice	konsèy
with	avèk
often	souvan
doctor	doktè
generally	anjeneral
liquid	likid
Lord	Seyè
piece	moso
refrigerator	frijidè
alcohol	alkòl
food	manje
instinct	lide
Estonia	Estoni
horn	klakson
cross	kwa
illness	maladi
January	janvye
February	fevriye
July	jiyè
September	septanm
October	oktòb
November	novanm
December	desanm
try	eseye
must	dwe
care	swen
Israel	Izrayèl
among	pami
or	oubyen
manner	fason
Africa	Afrik
Europe	Ewòp
Asia	Azi
North America	Amerik dinò
South America	Amerik disid
Oceania	Oseyani
Antarctica	Antatik
Tuesday	madi
continent	kontinan
user	itilizatè
together	ansanm
decide	deside
word	pawòl
people	lèzòm
write	ekri
Jesus Christ	Jezikri
only	sèlman
feeble	fèb
question	kesyon
answer	repons
brain	sèvo
power	pouvwa
pregnant	ansent
writer	ekriven
tree	pyebwa
hello	bonjou
United States	Ozetazini
yes-no question	èske
bird	zwazo
help	èd
tool	zouti
research	rechèch
pocket	pòch
pig	kochon
information	enfòmasyon
up-to-date	mizajou
Earth	latè
recognize	rekonèt
fireman	pompiye
Christmas tree	abdenwel
journalist	jounalis
before	devan
disappear	disparèt
which	kilès
on the contrary	okontrè
judge	jije
kreyòl ayisyen	kreyòl ayisyen
lose	pèdi
victim	viktim
entirely	toutafè
normal	nòmal
professional	pwofesyonèl
public	piblik
or	oswa
mental	mantal
general	jeneral
resource	resous
control	kontwòl
ago	de sa
hungry	grangou
emergency	ijans
prevention	prevansyon
catastrophe	katastwòf
amputation	anpitasyon
immediately	touswit
support	sipò
necessary	nesesè
well-being	byennèt
organization	òganizasyon
monkey	makak
preparation	preparasyon
disaster	dezas
cultural	kiltirèl
voodoo	Vodou
simple	senp
jealousy	jalouzi
extreme	ekstrèm
extremely	ekstrèmman
Wikipedia	Wikipedya
today	jodi a
now	kounye a
let's	annou
drum	tanbou
convention	konvansyon
Haiti	Dayiti
article	atik
temperature	tanperati
change	chanjman
young	jèn
put down	depoze
chair	chèz
school	lekòl
eye	zye
importance	enpòtans
historic	istorik
light	limyè
family	fanmi
birth	nesans
flood	inondasyon
universe	linivè
check	tcheke
twelve	douz
translate	tradui
participate	patisipe
many	plizyè
Port-au-Prince	Pòtoprens
abroad	aletranje
start	komanse
play	jwe
important	enpòtan
feeling	santiman
assistance	asistans
buy	achte
courtyard	lakou
poisoning	anpwazònman
protect	pwoteje
accumulate	akimile
electricity	elektrisite
adaptation	adaptasyon
five	senk
nine	nèf
eleven	onz
thirteen	trèz
fourteen	katòz
fifteen	kenz
sixteen	sèz
seventeen	disèt
eighteen	dizuit
nineteen	diznèf
forty	karant
fifty	senkant
sixty	swasant
seventy	swasantdis
eighty	katreven
ninety	katrevendis
mother	manman
twenty-one	venteyen
twenty-two	vennde
twenty-three	venntwa
twenty-four	vennkat
twenty-five	vennsenk
twenty-six	vennsis
twenty-seven	vennsèt
twenty-eight	ventuit
twenty-nine	ventnèf
thirty-one	tranteyen
thirty-two	trannde
thirty-three	tranntwa
thirty-four	trannkat
thirty-five	trannsenk
thirty-six	trannsis
thirty-seven	trannsèt
thirty-eight	trantuit
thirty-nine	trantnèf
forty-one	karanteyen
forty-two	karannde
ninety-nine	katrevendiznèf
defense	defans
exist	egziste
version	vèsyon
religion	relijyon
society	sosyete
sock	chosèt
shoe	soulye
study	etid
study	etidye
welcome	byenvini
contribute	kontribye
contributor	kontribitè
business	biznis
medication	medikaman
cause	lakòz
colour	koulè
bottle	boutèy
conserve	konsève
identify	idantifye
throw away	jete
potable	potab
department	depatman
number	nimewo
violence	vyolans
after	aprè
mistreat	maltrete
ancestor	zansèt
traitor	trèt
nation	nasyon
name	onon
justice	lajistis
liberty	libète
useful	itil
document	dokiman
independent	endepandan
Haitian	Ayisyen
declare	deklare
belly	vant
government	gouvènman
permit	pèmèt
govern	gouvène
people	pèp
republic	repiblik
constitution	konstitisyon
ensure	asire
discussion	diskisyon
building	bilding
building	batiman
French	fransè
phenomenon	fenomèn
culture	kilti
reform	refòm
truth	verite
structure	strikti
necessarily	nesesèman
text	tèks
bring together	reyini
week	semèn
atomic	atomik
beast	bèt
animal	zannimo
decomposition	dekonpozisyon
dozen	douzèn
diameter	dyamèt
emit	emèt
insect	ensèk
Wednesday	mèkredi
Friday	vandredi
Saturday	samdi
Sunday	dimanch
new	nouvo
administrator	administratè
since	depi
advance	avanse
story	istwa
neighbor	vwazen
Paul	Pòl
choose	chwazi
Holy Spirit	Sentespri
example	egzanp
suffer	soufri
author	otè
drought	sechrès
everywhere	toupatou
height	wotè
less	mwens
dinosaur	dinozò
abiotic	abyotik
archaeology	akeyoloji
acceleration	akselerasyon
astronomy	astwonomi
abundance	abondans
quantity	kantite
turtle	tòti
scientific	syantifik
create	kreye
store	magazen
danger	danje
dangerous	danjere
project	pwojè
glasses	linèt
travel	vwayaje
announce	anonse
recount	rakonte
American	ameriken
knowledge	konesans
exactly	egzakteman
Jewish	jwif
difference	diferans
slave	esklav
slavery	esklavaj
recent	resan
permission	pèmisyon
error	erè
group	gwoup
president	prezidan
creator	kreyatè
concept	konsèp
sky	syèl
deliver	delivre
airport	ayeropò
place	andwa
son	gason
hostage	otaj
forest	forè
object	objè
volume	volim
different	diferan
twin	jimo
twin	marasa
camouflage	kamouflaj
planet	planèt
fennel	lanni
reference	referans
use	itilize
utilization	itilizasyon
discovery	dekouvèt
dictionary	diksyonè
definition	definisyon
rhombus	lozanj
triangle	triyang
reflex	reflèks
cloud	nwaj
environment	anviwònman
solar system	sistèm solè
Mercury	Mèki
Venus	Venis
Mars	Mas
Jupiter	Jipitè
Uranus	Iranis
protection	pwoteksyon
exercise	egzèse
fruit	fwi
Italy	Itali
alphabet	alfabe
oxygen	oksijèn
hydrogen	idwojèn
nitrogen	azòt
chemical element	eleman chimik
helium	elyòm
energy	enèji
distance	distans
value	valè
vegetable	legim
orange	zoranj
inside	andedan
progress	pwogrè
universal	inivèsèl
rifle	fisi
university	inivèsite
college	kolèj
organ	ògàn
complex	konplèks
above	anlè
preference	preferans
international	entènasyonal
river	rivyè
room	chanm
here	isit la
decline	refize
organism	òganis
volcano	vòlkan
treatment	tretman
clean	netwaye
direct	dirèk
examine	egzamine
bleed	senyen
rinse	rense
control	kontwole
open	louvri
difficult	difisil
easy	fasil
difficulty	difikilte
second	segonn
patience	pasyans
always	toujou
ability	abilite
habit	abitid
abolition	abolisyon
subscription	abònman
tendency	tandans
chemistry	chimi
chemical	chimik
flower	flè
cyclone	siklòn
saliva	saliv
tomorrow	demen
rain	lapli
national	nasyonal
nationality	nasyonalite
seem	sanble
anger	kòlè
support	sipòte
finger	dwèt
promise	pwomèt
observe	obsève
law	lalwa
obey	obeyi
church	legliz
corpse	kadav
no	okenn
behind	dèyè
servant	sèvitè
sit down	chita
third	tyè
occidental	oksidantal
creation	kreyasyon
experience	eksperyans
territory	teritwa
box	bwat
music	mizik
daily	toulejou
ocean	oseyan
circle	ansèkle
Cayes	Okay
movement	mouvman
origin	orijin
place	kote
form	fòme
result	rezilta
operation	operasyon
base	baze
near	pwòch
discover	dekouvri
image	imaj
change	chanje
kilometre	kilomèt
around	otou
concubine	dombo
hit	frape
white	blan
yellow	jòn
consider	konsidere
besides	dayè
speed	vitès
that is to say	sètadi
exceed	depase
particle	patikil
dream	reve
occupy	okipe
form	fòm
long	lontan
spool	bobin
liver	fwa
seed	grenn
sport	espò
or	osinon
athlete	atlèt
Spanish moss	banza
count	konte
damage	dega
watch	gueté
Ohio	Owayo
Sweden	Syèd
bocor	bòkò
stand	kanpe
with	avè
An nou pa lage!	An nou pa lage!
fish	pwason
gold	lò
angel	zanj
appear	parèt
invisible	envizib
visible	vizib
event	evènman
Word	Pawòl
prevent	anpeche
demon	dyab
beginning	kòmansman
belongings	zafè
profit	pwofite
flame	flanm
miracle	mirak
Pharisee	farizyen
leader	chèf
return	tounen
flesh	lachè
serve	sèvi
grass	zèb
regain	reprann
path	chemen
dark	fè nwa
simultaneously	anmenmtan
nail	kloure
philosopher	filozòf
bother	deranje
scissors	sizo
artery	atè
oil palm	glouglou
house	caze
night	lannwit
believe	kwè
airplane	avyon
motorcycle	motosiklèt
snake	koulèv
dolphin	dofen
bee	myèl
green	vèt
Switzerland	Swis
biography	biyografi
bear	lous
check-in	anrejistreman
nail	klou
email	kouryèl
bean	pwa
Spain	Espay
dream	rèv
catch	atrap
assemble	rasanble
nearly	prèske
shoulder	zèpòl
clean	bayakou
bed	kabann
moon	lalin
guy	nèg
syrup	siwo
Haitian vodou	verver
thigh	kwis
lip	lèv
mouth	bouch
knee	jenou
chest	pwatrin
toe	zòtèy
chin	manton
ear	zòrèy
wing	zèl
spice	zepis
son-in-law	bofis
spring	prentan
steel	asye
cherry	seriz
hell	lanfè
kitchen	lakizin
mist	labrim
rabbit	lapen
throat	gòj
rape	vyole
sleep	dòmi
dung	fimye
ant	foumi
turkey	kodenn
enemy	lanmi
toad	krapo
suburb	fobou
mister	konpè
mister	mesye
madam	kòmè
madam	madanm
mister	msye
star	zetwal
fly	mouch
child	petit monde
hummingbird	wanganègès
hummingbird	zwazo mouch
eye	z'yeu
hate	rayi
snail	kalmason
jaw	machwè
moustache	moustach
steam	vapè
knife	kouto
God	bon Dieu
well	n'ap boule
good evening	bonswa
at least	omwen
horse	chwal
lizard	leza
learn	aprann
pride	fyète
independence	lendepandans
ugly	lèd
paved	adokine
mute	bèbè
where	kibò
who	kiyès
Phoneme	fonèm
literally	literalman
dog	chyen
according to	dapre
defend	defann
interest	enterè
envoy	anvwaye
special	espesyal
affair	afè
foreign	etranjè
meeting	reyinyon
Rome	Wòm
situation	sityasyon
refugee	refigye
refugee	refijye
fire	dife
avalanche	lavalas
ponmad	ponmad
pral ale	prale
trip	vwayaj
patient	pasyan
attention	atansyon
too	twò
contact	kontak
foreign	etranje
humiliation	imilyasyon
both	toulède
night	lannuit
cloaca	kloak
penis	aparèy
armpit	anba bra
wrist	ponyèt
sole	pla(n) pye
brain	sèvèl
tear	dlo (je)
skeleton	eskèlèt
joint	jwenti
ligament	ligaman
muscle	misk
tendon	tandon
crocodile	kwokodil
chouval bwa	chwal bwa
big	gwo
dust	pousyè
raspberry	franbwaz
rainbow	lakansyèl
money	lajan
thing	choi
lwa	Olicha
thick	epè
marry	marye
marry	fè maryaj
marriage	maryaj
leaf	fèy
fat	mantèg
horn	kòn
toenail	zong pye
lip	po bouch
tail	tche
herd	troupo
herd	bann bèt
leech	sansi
mollusc	molisc
shellfish	fwidmè
shrimp	chèvrèt
spider	zariyen
spider	areye
wasp	gèp
wasp	djèp
awaken	reveye
sleep	sòmey
resurrected	zomby
man	n'homme
believe	vlé
nutgrass	afyo
Mucuna urens	jabourik
sesame	wowoli
Spanish	panyol
yesterday	ahier
like	haimé
accumulate	monceler
pineapple	z'anana
support	puyer
augment	goumenter
trap	z'atrape
advance	vancé
need	bisoin
glasses	linettes
action	z'action
business	z'afair
knock out	somé
rifle	fisil
child	z'enfant
water	diau
onion	z'oignon
horse	choual
believe	crére
now	astor
ear	z'oreille
worker	z'ouvrier
sorcerer	macandal
hold	tien ben
sleep	droumi
thing	quichoy
blacksmith	machoquét
know	coné
know	paroître
endure	dourér
place	endrét
hurricane	zouragan
put	mété
