bone	buku
second cousin	pindu'
second cousin	sampo pinruang
twice	pinruang
knee	kulantu'
mouse	balao
crab	sikuyu
cat	miong
heart	doke'
monkey	dare'
go out	assulu'
go down	naung
go up	nai'
spoon	si'ru'
rope	otere'
medicine	pa'balle
forest	romang
leaf	leko'
see	cini'
wrap	roko'
hold	ta'gala'
hold on	atta'gala'
hard	terasa'
dirty	ra'masa'
clean	tangkasa'
crazy	pongoro'
ripe	ti'no'
itchy	katala'
painful	pa'risi'
sky	langi'
fire	pepe'
take out	pasulu'
river	binanga
rainbow	tarawe
comb	jangka
blanket	kalimbu'
cheek	pilisi'
call	kio'
snake	ulara'
elbow	singkulu'
scale	sissi'
caterpillar	olo'
eyebrow	kannying
calf	bitisi'
man	bura'ne
earwax	tai toli
smegma	tai laso
rust	tai bassi
nape	kacikoro'
thorn	katinting
mountain	moncong
peak	tompo'
afternoon	karueng
floor	dapara'
wall	rinring
well	bungung
coconut husk	ka'daro
skull	ka'daro ulu
animal	olo'-olo'
maize	biralle
sugar cane	ta'bu
mango	taipa
know	isseng
knowledge	panngissengang
throw away	pela'
swallow	a'lu'
kneel	akkulantu'
lazybones	pakkuttuang
pull	beso'
break	reppe'
stab	tobo'
pierce	to'do'
seedling	lamungang
pound	dengka
pestle	pa'dengka
get	gappa
spin	painro
rotate	amminro
windmill	inro-inro
punch	jaguru'
blow	panjaguru'
seize	jakkala'
work	jamang
point	jo'jo'
index finger	panjo'jo'
tear	kakka'
cover	kalimbuki
cover	akkalimbu'
shut	ke'bu'
door	pakke'bu'
cry	pakarru'
cry	anngarru'
cry	karruki
erect	paenteng
stand	ammenteng
intransitive	amm-
there is	nia'
we	-ki'
absolutive	-a'
perfective aspect	-ma'
finish off	pila'busi
chase	ondang
squeeze	pacco'
make	pare'
wipe	lu'lu'
wipe	palu'lu'
store	pattasa'
carry	lembara'
carrying pole	lembarang
knead	poca'
Makassar	Mangkasara'
embrace	raka'
pick up	rappung
gather	a'rappungang
fill up	pirassi
light	parinra
burn	rinra
dun	singara'
open	sungke
remember	u'rangi
here	anrinni
there	antureng
there	anjoreng
six	annang
eight	sagantuju
throat	karro'-karro'
temple	kapa'-kapasa'
fat	lunra'
vagina	telang
firefly	kullu-kullu
spider	bolang-bolang
grasshopper	katimbang
dust	alimbu'bu'
lime	pa'leo'
mud	peo'
flood	a'ba
cigarette	kaluru'
smoke	akkaluru'
ladder	tuka'
dugout canoe	lepa-lepa
boat	biseang
wok	pammaja'
machete	berang
sarong	lipa'
pillow	pa'lungang
debt	inrang
sea	tamparang
papaya	tangang-tangang
eggplant	bo'dong-bo'dong
round	bo'dong
wide	luara'
long	la'bu
skinny	roso'
fat	co'mo'
smelly	botto'
fragrant	bau'
near	ambani
clever	cara'de'
paper	karattasa'
telephone	talipong
pointed	cidu'
deep	lantang
mirror	carammeng
match	colo'
west	lau'
south	timboro'
north	wara'
-ku	ᨀᨘ
startled	ta'bangka
sleepy	ta'do'do'
earlobe	leko' toli
we	-kang
day after tomorrow	membara'
yesterday	subanngi
day before yesterday	subanngiangang
soon	sinampe'
hungry	pa're
cat	cammi'
earlier	sumpadeng
Monday	Sanneng
ankle	gasing-gasing
England	Anggarrisi'
Makassar	ᨆᨀᨔᨑ
Buginese ethnic group	Bugisi'
Selayar	Silayara'
Portugese	Paranggi
trousers	saluara'
trans woman	kawe-kawe
Sumbawa	Sambawa
cost	ongkoso'
pay	ongkosi
wear trousers	assaluara'
drool	a'bebe
sea turtle	panynyu
blue	gau'
green	moncong bulo
conquered	sauru'
clitoris	ditti'
country	pa'rasangang
