naan	نان
therefore	شۇڭا
lust	شەھۋەت
hard	قاتتىق
hole	كاۋاك
know	تونۇماق
shade	كۆلەڭگە
calm	تىنچ
whole	پۈتۈن
create	ياراتماق
empty	بوشلۇق
on	ئۈستىدە
delineate	ئايرىماق
name	ئاتىماق
bright	يورۇق
body	جىسىم
condition	ھالەت
birth	تۇغماق
woman	خوتۇن
children	ئەۋلاد
implementation	ئىجرا
low	تۆۋەن
surface	يۈزى
free	قۇتۇلماق
continuation	داۋام
stop	توختىماق
enter	كىرمەك
ship	كېمە
breath	نەپەس
disappear	يوقىماق
wind	شامال
closed	يېپىق
autumn	كۈز
float	لەيلىمەك
seen	كۆرۈنمەك
pressed	بېسىلماق
rain	ياغماق
increase	ئۇلغايماق
end	ئاخىرلاشماق
end	ئاخىر
succeeding	مۇۋەپپەق
temporary	مۇۋەققەت
government	ھۆكۈمەت
botany	ئۆسۈملۈك
flight	پەرۋاز
eagle	بۈركۈت
night	تۈن
compensation	تۆلەم
loan	قەرز
servant	چاكار
compassion	شەپقەت
order	بۇيرۇتماق
possible	مۇمكىن
sovereign	پادىشاھ
comfort	كەڭچىلىك
certainly	چوقۇم
excuse	كەچۈرۈم
owner	غوجا
jail	زىندان
hurt	ئاغرىتماق
anger	غەزەپ
cruel	ۋەھشىي
superior	ئەۋزەل
eternal	مەڭگۈ
hell	دوزاخ
ask	سورىماق
call	چاقىرماق
conditions	ئەھۋال
pole	قۇتۇپ
southern	جەنۇبىي
south	جەنۇب
silver	كۈمۈش
meeting	كۆرۈشۈش
get together	ئولتۇرۇش
hope	ئۈمىد
very	ئىنتايىن
estate	مىراس
possession	مۈلۈك
happy	خۇشال
middle	ئوتتۇرا
work	خىزمەت
county	ناھىيە
successful	ئوڭۇشلۇق
rally	يىغىلىش
majority	كۆپچىلىك
necessary	لازىم
owner	خوجايىن
account	ھېسابات
calculation	ھېساب
house	ـخانا
coffee	قەھۋە
front	ئالد
kindness	مەرھەمەت
breast	ئەمچەك
cautious	قورۇنماق
embarrassed	خىجىل
light	زىيا
peeled	سويۇقلۇق
pig	چوشقا
winter	قىش
loss	زىيان
clothes	كىيىم
color	رەڭ
light blue	كۆكۈچ
load	قاچىلىماق
problem	چاتاق
busy	ئالدىراش
rush	ئالدىرىماق
education	مائارىپ
guaranteeing	تەمىن
supply	تەمىنلىمەك
all	جەمئىي
trustworthy	ئىشەنچلىك
untrustworthy	ئىشەنچسىز
faith	ئىشەنچ
wealth	بايلىق
side	تەرەپ
loyalty	سەمىمىيەت
heaven	جەننەت
true	ھەقىقىي
sincere	سادىق
help	ياردەم
value	ئەتىۋار
intellect	ئاڭ
affectionate	ئامراق
fairy	پەرى
prestige	ئىناۋەت
unpopular	ئىناۋەتسىز
teachings	تەلىمات
torment	ئازاب
torment	ئوقۇبەت
aware	ئاگاھ
art	سەنئەت
memory	خاتىرە
famous	داڭلىق
orderly	رەتلىك
factory	زاۋۇت
garlic	سامساق
cold	سوغۇق
you	ـسىز
face	تەلەت
complaint	شىكايەت
vacate	بوشىماق
field	ئېتىز
beggar	تىلەمچى
idle	ئىشسىز
transformation	ئۆزگەرتىش
destroyed	ۋەيران
slave	قۇل
worth	قەدىر
heart	كۆڭۈل
educated	بىلىملىك
great	ئالىيجاناب
demonstration	كۆرسىتىش
submarine	سۇ ئاستى كېمىسى
travel	ساياھەت
bicycle	ۋېلىسىپىت
need	كېرەك
thick	قېلىن
influenza	زۇكام
tasty	مەززىلىك
doubt	شەك
excitement	ھاياجان
window	دېرىزە
beautiful	گۈزەل
interesting	قىزىقارلىق
fact	پاكىت
always	دائىم
certainly	ئەلۋەتتە
numerous	نۇرغۇن
regardless	بولمىسۇن
expensive	قىممەت
any	ھەرقانداق
spectator	تاماشىبىن
entertainment	تاماشا
think	ئويلىماق
shallow	يۈزە
way	ئۇسۇل
dancing	ئويناش
pleasant	كۆڭۈللۈك
selection	تاللاش
someone	بىراۋ
very	قالتىس
example	مىسال
safe	بىخەتەر
hidden	يوشۇرۇن
surprised	ھەيران قالماق
give	بەرمەك
disgusted	بىزار
connection	ئالاقە
fan	ئاشىق
error	خاتا
common	ئومۇمىي
whole	ھەممىسى
simile	ئوخشىتىش
cheap	ئەرزان
sound	ئاۋاز
sound	تاۋۇش
break	ئۈزمەك
enjoyment	راھەت
revolve	پىرقىرىماق
mind	زېھىن
poison	زەھەر
necessary	زۆرۈر
pleasurable	ساپالىق
fragrance	خۇشپۇراق
bed	كارىۋات
sweet	تاتلىق
thirsty	ئۇسسۇز
dance	ئۇسسۇل
attractive	جازىبىدار
infatuated	ئىشقۋاز
deserted	خالىي
fashion	مودا
very	ناھايىتى
sleep	ئۇخلىماق
vile	قاباھەتلىك
baseness	قاباھەت
sweet	شېرىن
thought	خىيال
how	نېمىدېگەن
lazy	ھۇرۇن
anyway	ئىشقىلىپ
other	غەيرىي
umbrella	كۈنلۈك
period	زامان
sleepy	ئۇيقۇتاب
hold	تۇتماق
future	كېلىچەك
sell	ساتماق
traitor	ساتقۇن
presidency	رىياسەت
guest	مېھمان
traveler	يولۇچى
hotel	مېھمانخانا
hope	تىلىمەك
cry	يىغلىماق
lightning	چاقماق
worthless	قەدىرسىز
cohabiting	ھەمياستۇق
life	ياشاش
sentence	جۈملە
clear	ئېنىق
feeling	تۇيغۇ
individual	شەخسىي
touch	توقۇنماق
touch	تەگمەك
oven	دۇخوپكا
microwave oven	مىكرو دولقۇنلۇق دۇخوپكا
rolling	دولقۇنلۇق
wave	دولقۇن
order	تەرتىپ
disorderly	تەرتىپسىز
thin	نازۇك
military	ھەربىي
soap	سوپۇن
certain	مۇقەررەر
carefully	پەخەس
sin	گۇناھ
advice	نەسىھەت
strength	كۈچەيمەك
root	يىلتىز
pull out	قومۇرماق
youthful	ياشلىق
individual	نەپەر
airport	ئايرودروم
aviation	ئاۋىئاتسىيە
linguistics	تىلشۇناسلىق
linguist	تىلشۇناس
buyer	سېتىۋالغۇچى
writer	يازغۇچى
creator	ياراتقۇچى
inspector	تەكشۈرگۈچى
observer	كۆزەتكۈچى
unity	بىرلىك
suddenly	تۇيۇقسىز
organization	تەشكىلات
leading	رەھبىرىي
sunset	زاۋال
related	ئالاقىلىك
disperse	تارقىماق
information	ئۇچۇر
broadcast	تاراتقۇ
forced	مەجبۇرىي
embassy	ئەلچىخانا
explanation	تەرىپ
social	ئىجتىمائىي
public	ئاممىۋى
about	ھەققىدە
across from	توغرىسىدا
scribe	پۈتۈكچى
necessary	زۆرۇر
usefulness	لازىملىق
review	مۇلاھىزە
wrong	غەلەت
way	تېرىقە
part	قىسىم
people	ئەھل
incomplete	چالا
burn	كۆيۈك
moisture	نەم
sunlight	ئاپتاپ
flow	ئاقماق
kindness	ئىنايەت
theater	تىياتىرخانا
peach	شاپتۇل
place	ئورۇن
Kazakhstan	قازاغىستان
Kazakhstan	Қазағистан
Union of Soviet Socialist Republics	Совет Социялистик Республикалири Иттипақи
society	جەمئىيىتى
calamity	پاجىئە
information	مەلۇمات
equal	باراۋەر
society	جەمئىيەت
fitting	لايىق
acceptance	قوبۇل
return	قايتىپ
see	كۆرۈپ
angry	خاپا
be	بولۇپ
opposed	خىلاپ
hunger	ئاچلىق
hungry	ئاچ
ice cream	ماروژنى
ice	مۇز
shop	دۇكان
rifle	مىلتىق
religious	دىنىي
atheism	دىنسىزلىق
election	سايلام
difference	پەرق
expert	مۇتەخەسسىس
resort	مۇراجىئەت
bedroom	ياتاقخانا
toilet	تەرەتخانا
door	ئىشىك
layer	قەۋەت
juice	شەربەت
patience	سەۋر
pain	دەرد
fade	سولماق
other	باشقا
question	مەسىلە
far	ئۇزاق
grouped	جەم
long	ئۇزۇن
healthy	سالامەت
health	سالامەتلىك
moment	بىردەم
residential	ئولتۇراق
apprentice	شاگىرت
sibling	قېرىنداش
village	يېزا
international	خەلقئارا
camp	لاگېر
notice	ئۇقتۇرۇش
diffusion	تارقىتىلىش
journalist	مۇخبىر
clarify	ئېنىقلىماق
again	قايتا
event	ۋەقە
back	ئارقا
only	پەقەت
speed	سۈرئەت
kiss	سۆيمەك
queen	مەلىكە
any	ھېچ
toilet	خالا
measure	چارە
listen	ئاڭلىماق
hard	قىيىن
bedroom	ياتاق
exercise	مەشىق
activity	پائالىيەت
half	يېرىم
plain	تۈزلەڭلىك
tower	مۇنار
soy sauce	جاڭيۇ
soy sauce	җаңйу
danger	خەۋپ
safe	خەۋپسىز
adviser	مەسلىھەتچى
excessive	ئارتۇق
recline	ياتماق
ugly	قەبىھ
lemon	لىمون
meeting	مەجلىس
humanity	كىشىلىك
right	ھوقۇق
announcement	ئېلان
ready	تەييار
specialized	مەخسۇس
ceremony	مۇراسىم
view	كېڭەش
Russian Federation	رۇسىيە فېدېراتسىيىسى
unity	ئىتتىپاق
European Union	Европа иттипақи
but	بىراق
plate	لېگەن
money	پارا
butterfly	كىپىنەك
ant	چۆمۈلە
navel	كىندىك
liver	جىگەر
kidney	بۆرەك
beard	ساقال
brain	مىڭە
tofu	دۇفۇ
potato	بەرەڭگە
tomato	شوخل
bread	بولكا
gold	ئالتۇن
bottom	تۈپ
calf	موزاي
heart	يۈرەك
shah	شاھ
flag	بايراق
COVID-19	يېڭى تىپتىكى تاجسىمان ۋىرۇسلۇق ئۆپكە ياللۇغى
lung	ئۆپكە
pneumonia	ئۆپكە ياللۇغى
crown	تاجسىمان
bitch	جالاپ
drawer	تارتما
drawers	تارتمىلار
German language	نېمىسچە
user	ئىشلەتكۈچى
beginning	باشلانغۇچ
grade	دەرىجە
taste	تەم
tasteless	تەمسىز
tasty	تەملىك
merchant	سودىگەر
bag	سومكا
building	بىنا
orthography	ئىملا
car	ماشىنا
cigarette	تاماكا
outpatient	ئامبۇلاتورىيە
vacation	دەم ئېلىش
source	مەنبە
happiness	بەخت
holiday	بايرام
party	پارتىيە
propaganda	پروپاگاندا
barley	ئارپا
barley	اپا
fuck	сикмәк
East Turkestan	شەرقىي تۈركىستان
vodka	ۋوتكا
Karakalpakstan	قاراقالپاقىستان
justice	ئادالەت
cruel	زالىم
meeting	يىغىن
workers of the world, unite	barliⱪ əllər proletarliri, birlixinglar
labor	ئەمگەك
forced labor	مەجبۇرىي ئەمگەك
arduous	تەس
Gratitude	رەھمەت
examination	ئ‍ىمتىھان
disaster	ئاپەت
wish	ئارزۇ
weapon	قورال
vomit	قۇسماق
bold	جاسۇر
free	ھۆر
curiosity	قىزىقىش
angels	مالائىك
Nezerbagh	نەزەرباغ
Qatar	قاتار
East Asia	شەرقىي ئاسىيا
east	شەرق
Allahu akbar	ئاللاھۇ ئەكبەر
need	ئېھتىياج
butterfly	كېپىنەك
penis	زەكەر
news	خەۋەر
knife	پىچاق
absorb	سۈمۈرمەك
holy war	جىھاد
Saljuqid	سەلجۇقىي
Konya	قۇنىيە
canal	ئۆستەڭ
