apple	sew
yellow	زەرد
brown	قاوەیی
purple	ئەرخەوانی
orange	پرتەقاڵی
violet	بنەوشە
cotton	لۆکە
music	مووسیقی
cheese	پەنیر
take	گرتن
knee	چۆک
generation	نەچە
sea turtle	ڕەقە
fox	ڕێوی
smell	بۆن
leaven	ھەوێن
deep	قووڵ
destiny	چارەنووس
lime	قسڵ
acorn	بەڕوو
bent	کووڕ
thick	خەست
Jew	جوو
Armenian	ئەرمەنی
Armenian	ئەرمەن
white poplar	سپیدار
flint	بەردەستێ
whetstone	ھەسان
pear	ھەرمێ
mosque	مزگەوت
mad	شێت
algae	قەوزە
hope	ھیوا
slave	کۆیلە
ship	گەمێ
shield	قەڵخان
tryst	ژوان
hair	تووک
desert	چۆڵ
grape	ترێ
Karo	کارۆ
goldsmith	زێڕنگەر
fire	ئاور
oak apple	مازوو
kill	کوشتن
express	ھەی
pain	دەرد
help	چارە
farmer	جووتیار
to	بە
thing	شت
whatever	ھەر شتێک
just	ھەر
how much	چەند
all	ھەموو
why	بۆ چی
for	بۆ
done	کران
in	لە ... دا
between	لەبەینی ... دا
middle finger	ئال
nostril	کونەلووت
vodka	ڤۆدکا
vodka	ڤۆدگا
barley	جۆ
right	ڕاست
Mercury	زاوە
complete	تەواو
greeting	سڵاو
love	عەشق
hundred	سەد
raw	خاو
clay	گڵ
