no	y
trousers	phungphi
glory	phung-a
money	phawisae
beg	phawisaemäkaite
empty	bilangkangko
warm	bi-üngte
forge	bethi-ingtangka
shell	bedawngkeilei
ram	berapä-ai
ram	beramäte
ewe	beranä-awi
flock	berarungpui
small	cäpite
lamb	beracäpi
conquer	bejate
buffalo	baenaw
buffalo horn	baenawtäki
fence	baesung
fence in	baesung-aepangte
ash	baiphö
right	bangtang
enter	kungte
swollen	bakungte
strain	bötukädite
cook	böthawngte
kitchen	böthawngnae
slippery	bädete
soak	bädungte
centipede	bäruimädi
viper	bäruitoka
python	bäruidaengngaeng
hiss	bäruikhawngte
spitting cobra	bärui-angraeng
dizzy	bärawite
faint	bäsaete
nurse	bäsawbähingte
army ant	bälilolang
black ant	bälikhawngrawng
lick	bäleite
shoulder	bälaengpang
tongue	bälai
grumble	bälungbyngte
impatient	bälungduite
sad	bälungsite
patient	bälungsate
stubborn	bälunglaingte
some	kaehü
restless	bälungkikaehüte
wicked	bälung-aekhete
fishing net	bälo
vomit	bälote
salt	bälawi
boat	bälawng
praise	bälawte
cotton	bälaw
capsize	bälaw-aekhute
arrowhead	bälaw-üng-älö
shrew	bäjösesi
straight	tawthete
broom	ingpho
up	äqawng
down	täkui
pot	awikaw
wall	aengpang
light	kädapaete
throw	kädete
trap	bäjöketang
flesh	bäjöngang
set	bäjökätangsate
bladder	bäjung-ing
urine	bäjungtui
swallow	bäjawngte
suckle	bäjawte
maternal uncle	bä-uimätawngky
bake	bä-ote
chew	bä-okhasate
kind	bähaengte
stopper	bähunae
wave	bähawite
owl	bungkö
lamp	mai-ing
smoke	maikhü
laugh	mänuite
body	ätabung
stand	aedawte
think	aedawngte
elephant	käsai
ye	nangce
they	änice
divine	bawisawsate
spider	bawngbähae
spiderweb	bawngbähae-ing
soften	bawnaingte
eyelash	mimui
everywhere	mityngqita
eggplant	metathai
tomato	metakäthothai
shoot	maiphawkaete
spark	maipa
gun	maiphaw
tax	maimö
fireplace	maitinae
light	maithawngte
extinguish	maidüte
charcoal	maisä-e
burn	maikangte
tamarind	masingkung
poor	mätangte
old person	mätawngmätang
old	mätawngte
lead	mätawngkysate
itchy	mäthate
stumble	mäthuikhate
kick	mäthuite
take out	mäthote
drive away	mäthojate
taste	mädaengte
jackfruit	mänaithai
rib	mänahu
know	mänyte
smile	mänuijite
saliva	mäce
steam	khü
kidney	ämäkei
