village	ᦢᦱᧃᧉ
meat	ᦋᦲᧃᧉ
grass	ᦊᦱᧉ
and	᧞
one	ᦓᦹᧂᧈ
two	ᦉᦸᧂ
three	ᦉᦱᧄ
ear	ᦠᦴ
goat	ᦶᦢᧉ
bird	ᦷᦓᧅ
sun	ᦎᦱᦞᧃ
moon	ᦵᦡᦲᧃ
fire	ᦺᦝ
nose	ᦡᧂ
have to	ᦎᦸᧂᧉ
not	ᦢᧁᧈ
sofa	ᦌᦱᧈᦝᦱᧉ
coffee table	ᦈᦸᧉᦑᧄ
newspaper	ᦐᧂᦉᦹᦘᦲᧄ
desklamp	ᦒᦻᧉᦵᦑᦲᧃᧈ
wall clock	ᦐᦱᧉᦜᦲᧈᦶᦧᧃ
television	ᦶᦎᧃᧈᦉᦹᧈ
telephone	ᦶᦎᧃᧈᦧᦱᧈ
rooster	ᦺᦂᧈᦗᦴᧉ
new	ᦺᦖᧈ
and	ᩓ
city	ᨾᩮᩥ᩠ᨦ
good	ᦡᦲ
cucumber	ᦶᦎᧂᦌᧂᧉ
bean	ᦷᦏᧈ
with	ᦂᧇ
for	ᦵᦗᦲᧈ
or	ᦢᧁᧈᦅᦸᧉ
or	ᦣᦴᧉᦞᦱᧈ
Lü	ᦟᦹᧉ
ᦖᦱᧅᦚᦳᧂ	ᦖᦱᧅᦚᦳᧂ
ᦖᦱᧅᦘᦲᧃᧉᦷᦅ	ᦖᦱᧅᦘᦲᧃᧉᦷᦅ
ᦕᧅᦂᦱᧆᦠᦸᧈ	ᦕᧅᦂᦱᧆᦠᦸᧈ
ᦕᧅᦂᦱᧆᦃᦱᧁ	ᦕᧅᦂᦱᧆᦃᦱᧁ
language	ᨽᩣᩈᩣ
ᦖᦱᧅᦵᦃᦲᦉᦳᧄᧉ	ᦖᦱᧅᦵᦃᦲᦉᦳᧄᧉ
fruit	ᦖᦱᧅ
rain	ᦚᦳᧃ
duck	ᦵᦔᧆ
say	ᦞᦱᧈ
squirrel	ᦀᦲᦰᦣᦸᧅ
fall	ᦷᦎᧅ
welcome	ᦍᦲᧃᦡᦲ
language	ᦘᦱᦉᦱ
ᦓᧄᧉᦃᦸᧂ	ᦓᧄᧉᦃᦸᧂ
apple	ᦘᦲᧃᧉᦷᦅ
peacock	ᦷᦓᧅᦍᦳᧂ
elephant	ᦋᦱᧂᧉ
ᦷᦙᧉᦷᦒᧉ	ᦷᦙᧉᦷᦒᧉ
car	ᦷᦟᧆᦓᦾᧉ
ᦑᦱᧈᦵᦣᦲ	ᦑᦱᧈᦵᦣᦲ
boat	ᦵᦣᦲ
post	ᦜᧅ
beautiful	ᦇᦱᧄ
ᦖᦱᧅᦘᦲᧅ	ᦖᦱᧅᦘᦲᧅ
shove away	ᦏᦲᧇᧈ
wide	ᦦᦱᧂᧉ
leaf	ᦺᦢ
build	ᦉᦱᧂᧉ
listen	ᦝᧂ
sand	ᦌᦻ
earth	ᦡᦲᧃ
sound	ᦵᦉᧂ
ghost	ᦕᦲ
way	ᦑᦱᧂ
belly	ᦑᦸᧂᧉ
hate	ᦋᧂ
garden	ᦷᦉᧃ
call	ᦣᦸᧂᧉ
snow	ᦵᦖᧀᦉᦏᦱᧇ
money	ᦇᦹᧃ
granary	ᦵᦍ
country	ᦕᦵᦑᧆ
spoon	ᦋᦸᧃᧉ
think	ᦅᦹᧆ
Chiang Rai	ᦵᦈᧂᦣᦻ
use	ᦺᦋᧉ
lie	ᦈᦳ
dharma	ᦒᧄ
five	ᦠᦱᧉ
six	ᦷᦠᧅ
seven	ᦵᦈᧆ
eight	ᦶᦔᧆᧈ
nine	ᦂᧁᧉ
ten	ᦉᦲᧇ
snake	ᦇᦴ
eleven	ᦉᦲᧇᦵᦀᧆ
twelve	ᦉᦲᧇᦉᦸᧂ
thirteen	ᦉᦲᧇᦉᦱᧄ
fourteen	ᦉᦲᧇᦉᦲᧈ
fifteen	ᦉᦲᧇᦠᦱᧉ
sixteen	ᦉᦲᧇᦷᦠᧅ
seventeen	ᦉᦲᧇᦵᦈᧆ
eighteen	ᦉᦲᧇᦶᦔᧆᧈ
nineteen	ᦉᦲᧇᦂᧁᧉ
twenty	ᦌᦱᧁ
citizen	ᦺᦘᧈᦵᦙᦲᧂ
road	ᦠᦳᧃᦑᦱᧂ
twenty-one	ᦌᦱᧁᦵᦀᧆ
twenty-two	ᦌᦱᧁᦉᦸᧂ
twenty-three	ᦌᦱᧁᦉᦱᧄ
twenty-four	ᦌᦱᧁᦉᦲᧈ
twenty-five	ᦌᦱᧁᦠᦱᧉ
twenty-six	ᦌᦱᧁᦷᦠᧅ
twenty-seven	ᦌᦱᧁᦵᦈᧆ
twenty-eight	ᦌᦱᧁᦶᦔᧆᧈ
twenty-nine	ᦌᦱᧁᦂᧁᧉ
thirty	ᦉᦱᧄᦉᦲᧇ
vegetable	ᦕᧅ
go	ᦺᦗ
again	ᦶᦏᧄ
wood	ᦺᦙᧉ
return	ᦗᦸᧅ
hit	ᦎᦲ
develop	ᦔᦳᧂᧈᦵᦓᦲᧂ
want	ᦺᦆᧈ
hard-working	ᦃᧅ
we	ᦣᧁ
shine	ᦵᦣᦲᧈ
gong	ᦅᦸᧂᧉ
loud	ᦶᦓᧃ
bright	ᦶᦟᧂᦰ
all over	ᦷᦑᧈ
feast	ᦗᦾ
love	ᦣᧅ
area	ᦷᦆᧄᧈ
dance	ᦝᦸᧃᧉ
PSB	ᦷᦅᧂᧈᦁᦱᧃᧈᦋᦲᧁᧉ
Sichuan	ᦉᦹᧈᦌᦸᧃᧈ
Achang	ᦘᦱᦉᦱᦁᦱᧈᦌᦱᧂᧈ
Songkran	ᦉᧂᦃᦱᧃ
Jinghong	ᦵᦋᧂᦣᦳᧂᧈ
sleep	ᦓᦸᧃ
sugar cane	ᦀᦾᧉ
sit	ᦓᧂᧈ
fat	ᦎᦼᧉ
white	ᦃᦱᧁ
black	ᦡᧄ
yellow	ᦵᦜᦲᧂ
tall	ᦉᦳᧂ
wind	ᦟᦳᧄ
heart	ᦺᦈ
banana	ᦂᦽᧉ
day	ᦞᧃ
face	ᦐᦱᧉ
sweep	ᦦᦱᧆ
skin	ᦐᧂ
die	ᦎᦻ
rock	ᦠᦲᧃ
water buffalo	ᦩᦻ
deep	ᦵᦟᦲᧅ
teach	ᦉᦸᧃ
device	ᦵᦆᦲᧂᧈ
sew	ᦵᦊᧇ
red	ᦶᦡᧂ
hundred	ᦣᦾᧉ
land	ᦶᦡᧃ
cave	ᦏᧄᧉ
understand	ᦃᧁᧉᦺᦈ
paddy field	ᦓᦱ
ten thousand	ᦖᦹᧃᧈ
Xishuangbanna	᧑᧒ᦗᧃᦓᦱ
aluminium	ᦉᦳᦎᦳ
temple	ᦞᦲᦠᦱᧃ
sky	ᦵᦙᦲᧂᦝᦱᧉ
dragon fruit	ᦶᦂᧁᧉᦙᧂᦂᦸᧃ
paper	ᦂᦡᦱᧆ
tear	ᦉᦲᧅᧈ
navel	ᦉᦡᦹ
elbow	ᦉᦸᧅ
elbow	ᦉᦸᧅᧈ
vulture	ᦶᦣᧂᧉ
school	ᦷᦣᧂᦵᦣᧃ
school	ᦷᦣᧂᦉᦸᧃ
safety	ᦉᦛᧆᦌᦤᦲ
heaven	ᦷᦆᧂᦀᦲᧃ
sky	ᦷᦆᧂᦝᦱᧉ
skeleton	ᦷᦆᧂ
heaven	ᦉᦛᧃ
province	ᦵᦌᦲᧃ
lock	ᦃᦶᦈ
continent	ᦑᦞᦲᧇ
prefecture	ᦵᦋᦲᧁᧈ
town	ᦵᦈᦲᧃᧈ
house	ᦵᦣᦲᧃ
dew	ᦵᦖᧀ
walk	ᦵᦤᦲᧃ
walk	ᦍᦱᧂᧈ
potato	ᦍᧂᦊᦲᧈ
potato	ᦙᧃᦀᦟᦴ
story	ᦆᦱᧁᧈ
person	ᦕᦴᧉ
wash	ᦉ
life	ᦋᦲᦞᦲᧆ
Jesus	ᦵᦍᦌᦴ
advise	ᦶᦓᦰᦓᧄ
mad	ᦞᦸᧉ
twelve	᧑᧒
Xishuangbanna	ᦉᦲᧇᦉᦸᧂᦗᧃᦓᦱ
sea	ᦒᦰᦵᦟ
work	ᦵᦞᧅ
crossbow arrow	ᦔᦹᧃᦂᦱᧂᧈ
objective	ᦎᦱᦖᦻ
headphone	ᦠᦴᦝᧂ
tiger	ᦵᦉᦲ
ice	ᦓᧄᧉᦶᦂᧃᧈ
ice	ᦉᦏᦱᧇᦡᦱᧂᧉ
snow	ᦉᦏᦱᧇ
kind	ᦙᦷᦍ
misfortune	ᦵᦘᦺᦘ
revenue	ᦃᦸᧃᧈ
gizzard	ᦺᦎ
hand	ᦙᦹ
finish	ᦵᦙᧃᧉᦷᦙᧇ
electricity	ᦺᦝᦝᦱᧉ
merit	ᦢᦳᧃ
coffee	ᦆᦱᧈᦵᦝᧀᧈ
suck	ᦡᦳᧆᧈ
brain	ᦀᦸᧅᧈᦶᦀᧅᧈ
China	ᦵᦙᦲᧂᦠᦸᧉ
movie	ᦶᦎᧃᧈᦍᦲᧃ
tofu	ᦎᧁᧉᦠᦴᧉ
bear	ᦖᦲ
