he	on
mission	mise
mouse	myš
engine	motor
ice cream	nanuk
hodně štěstí	hodně štěstí
narrow	úzký
parsonage	fara
Argentine tango	tango
telephone operator	telefonista
swastika	svastika
pineapple	ananas
or	nebo
fund	fond
new moon	nov
again	zase
pepper	paprika
shit	drek
prefix	s-
gang	banda
from	ze
discord	Eris
mantisa	exponent
středa	st
stain	stigma
old woman	babka
Logos	logos
verandah	veranda
cougar	puma
sharp	-is
neuter	neutrum
notebook	notes
acetaminophen	paracetamol
plastic	plast
niobium	niob
ethanol	ethanol
valency	valence
etymology	etymologie
alto	alt
minstrelovi	minstrel
form	forma
bassoon	fagot
plague	mor
hey	hej
instinct	pud
mine	mina
Cameroon	Kamerun
acetate	octan
monarchy	monarchie
glycerine	glycerin
here	tady
have	mít
television	televize
Monday	pondělí
Friday	pátek
Sunday	neděle
Tuesday	úterý
Wednesday	středa
nice	hezký
taboo	tabu
Tartar	Tatar
caterpillar	housenka
Mary	Marie
floor	patro
field	lán
New Zealand	haka
bass	basa
commune	komuna
diaper	plena
jsi	ses
and	aj
meeting	aktiv
brothel	bordel
emerald	smaragd
nice	pěkný
over	nad
bust	busta
bleat	mé
cake	dort
course	kurz
samoobsluha	supermarket
homograph	homograf
evil	zlý
rector	rektor
small boat with oars	bárka
our	náš
raft	vor
young	mladý
Africa	Afrika
marathon	maratón
niche	nika
potassium	draslík
boiling	var
zeppelin	zepelín
per diem	diety
urethra	uretra
ultimatum	ultimátum
profile	profil
nice	prima
summary	resumé
center	centrum
table tennis	ping-pong
Briton	Brit
abacus	abakus
epigraph	motto
ethylene	etylen
transgressive	mata
frontier	meta
photon	foton
point	bod
petroleum	ropa
alpha	alfa
saxophone	saxofon
river	Indus
France	dauphin
hither	sem
geranium	pelargonie
prefix	ob-
iota	jota
Fiji	Fidži
I	já
uranium	uran
hairstyle	afro
absinthe	absint
microscope	mikroskop
Mozambique	Mosambik
interpreter	interpret
afraid	bát
maybe	asi
Abrahamovi	Abraham
diamond	diamant
valley	dolina
Chad	Čad
ceramic	keramika
character	znak
Europe	Evropa
ganglion cyst	ganglion
intra-	nitro-
North America	Amerika
cloud	oblak
set	množina
breastbone	sternum
and	a
nickname	Ada
Anna	Anda
flat	B
God	Bůh
Esther	Ester
Finn	Fin
Gaul	Gal
Ghent	Gent
B	H
serpent	Hydra
Irishman	Ir
Iceland	Island
Italian	Ital
Cronus	Kronos
given name Jakub	Kuba
solar system	Mars
Mongolian	Mongol
Moon	Měsíc
Nile	Nil
Pluto	Nix
Norwegian	Nor
Pole	Polka
Slovak	Slovenka
Uranus	Uran
Valaši	Valach
Czech	Češka
inula	oman
court	kurt
butane	butan
Devonian	devon
Bolborhynchus	aymara
miserliness	lakota
Nahuatl	nahuatl
Latin	latina
lacquer	lak
Internet	internet
camp	tábor
karst	kras
Jurassic	jura
Tagalog	tagalog
Mormon	mormon
Neptune	Neptun
Solar System	Merkur
planet	planeta
Interlingua	interlingua
Hades	Styx
omertà	omerta
Cambodia	Kambodža
automobile	automobil
yogurt	jogurt
dictionary	slovník
caliph	kalif
prophet	prorok
Islam	Medina
transgressive	sera
zero	nula
six	šest
astronaut	kosmonaut
dinner jacket	smoking
graph	graf
digraph	ch
digraph	Ch
detoxification unit	detox
school	škola
sine	sinus
Indian	Ind
dominoes	domino
antiaircraft defence	PLO
Aristotle	Aristoteles
scoundrel	lump
chaperon	garde
alphabet	abeceda
transgressive	vise
parliament	parlament
ignoramus	ignorant
z	ž
Muslim	muslim
triple raise	tutti
armchair	křeslo
amber	jantar
post office	pošta
building	budova
beer	pivo
road	silnice
name	jméno
syphilis	syfilis
set	sada
Sabbath	sabat
ara	ara
clone	klon
team	parta
dinosaur	dinosaurus
goddess	Ceres
oh	jej
be	být
speak	mluvit
must	muset
work	pracovat
ear	ucho
negate	ne-
error	omyl
study	studovat
adjective	přídavné jméno
verb	sloveso
good night	dobrou noc
colour red	červená
jak se máš	jak se máš
understand	rozumět
my	můj
want	chtít
see	vidět
get	dostat
think	myslet
wait	čekat
walk	jít
stay	zůstat
carry	nést
leprosy	lepra
apple	jablko
house	dům
do	dělat
sorry	promiňte
thank you	děkuji
near	blízko
rival	sok
marijuana	marihuana
cocaine	kokain
write	psát
fall	spadnout
grandmother	babička
drink	pít
play	hrát
allowed	smět
press	pres
community	outsider
give	dát
forget	zapomenout
eat	jíst
old	starý
take	vzít
film	filmovat
throw	hodit
buy	koupit
draw	kreslit
shop	nakupovat
visit	navštívit
swim	plavat
send	poslat
need	potřebovat
rain	pršet
lend	půjčit
know	vědět
hear	slyšet
come	přijít
Yemen	Jemen
stalkerovi	stalker
except	krom
sitting	sed
night	noc
many	mnoho
flower	květ
Czech Republic	Česká republika
advocate	advokát
catch	chytit
lay	položit
say	říct
sit	sedět
seldom	zřídka
law	právo
fireplace	krb
kiwi	kivi
deviantovi	deviant
January	leden
February	únor
March	březen
April	duben
May	květen
June	červen
July	červenec
August	srpen
September	září
October	říjen
November	listopad
December	prosinec
Czech Republic	Česko
cell	cela
capitalism	kapitalismus
vacuum	vakuum
horizon	horizont
dictionary	lexikon
door	vrata
hunt	hon
cello	violoncello
spring	jaro
mustard gas	yperit
epilepsy	epilepsie
a	á
fly	letět
vandalism	vandalismus
woof	haf
slag heap	halda
i	í
caw	krá
rainwash	ron
tone	nota
enough	dost
Palestine	Palestina
roar	ryk
hochu	hoch
arts	kultura
dove	holub
church	kostel
dobrý den	dobrý den
jak se máte	jak se máte
what time is it	kolik je hodin
cat	kočka
beranu	beran
fruit	plod
lecturer	docent
continent	kontinent
Vendula	Venda
internal medicine	interna
digit	cifra
Permian	perm
idler	flink
sports bottle	bidon
derby	derby
Madagascar	Madagaskar
Lebanon	Libanon
bicycle	kolo
dolphin	delfín
bonfire	vatra
vasa parrot	vaza
icon	ikona
cop	bengo
gold	zlato
Morocco	Maroko
neurotransmitter	neurotransmiter
beau	amant
bridge	bridž
pearl	perla
street	ulice
dinner	večeře
hospital	nemocnice
crow	vrána
photo	foto
malingerer	simulant
exit	východ
entrance	vchod
bone	kost
history	historie
Svaz sovětských socialistických republik	SSSR
gene	gen
xylophone	xylofon
Qatar	Katar
kakapo	kakapo
through	pro-
comet	kometa
television	televizor
astronomer	astronom
kick	kop
wisent	zubr
and	aji
balance	saldo
initiative	iniciativa
league	liga
figure	figura
area	oblast
linoleum	lino
tennis	tenis
commoners	plebs
tourist	turista
in	ve
offer	oferta
Kabballah	kabala
alternative	alternativa
bomb	bomba
Apache	apačština
torture	tortura
nádrž	cisterna
siphon	sifón
defect	vada
bottom	dno
e	é
ozone	ozon
flame	plamen
penguin	tučňák
ford	brod
aunt	teta
enamel	smalt
brother	bratr
Hegira	hidžra
dossier	fascikl
paleontologist	paleontolog
heraldry	heraldika
doctor	doktor
sparkling wine	sekt
quarrel	spor
moo	bú
hall	hala
encyclopedia	encyklopedie
Slovak	slovenština
this way	tama
evening	večer
I love you	miluji tě
Slovenian	slovinština
mu	mí
-less	bez-
homeland	domovina
dependency	država
fluorine	fluor
ace	eso
beryllium	berylium
mám tě rád	MTR
date	rendezvous
verb	aorist
license	licence
Esperanto	esperanto
green	zelená
flail	cep
cash desk	kasa
gerund	gerundium
reindeer	sob
prick	chuj
gazelle	gazela
ethane	etan
beehive entrance	česno
sound	zvuk
iron	železo
two	dvojka
province	provincie
deal	durch
bag	vak
-ist	-ista
motto	moto
adorer	adorant
legal	revers
platinum	platina
oh	ó
piece	kus
vassal	vazal
raffle	tombola
remission	remise
harp	harfa
corridor	koridor
energy	energie
keg party	sud
axis	osa
Aphrodite	Afrodita
good	dobro
hill	vrch
consonant	konsonant
value	cenit
marble	mramor
maternal uncle	ujec
carelessness	nedbalost
vest	vesta
rust	rez
fork	vidlička
sociology	sociologie
category	kategorie
given name Alexandr	Saša
nothing	nic
mark	marka
dollar	dolar
jsi	sis
car	vagón
varicella	varicela
transliteration	Stalin
pod	lusk
phonetician	fonetik
imagination	fantasie
mode	modus
cotton wool	vata
death	smrt
transgressive	stela
bronze	bronz
coke	koks
republic	republika
strawberry	jahoda
rather	jaksi
as	jako
maple	javor
as if	jakoby
spark	jiskra
help	pomoc
lesson	lekce
picture	obraz
this	tento
lidé	člověk
allergy	alergie
race	rasa
naval fleet	flota
epinephrine	adrenalin
major	dur
given name Dorota	Dora
pathos	patos
steering wheel	volant
symbiote	symbiont
bartender	barman
norm	norma
opět zde	jsem
Christmas	Vánoce
cunt	piča
thaw	tát
crayfish	rak
flax	len
muzzle	huba
curry	kari
murder	mord
jacket	bunda
Phasianidae	kur
calf	tele
mulatto	mulat
kappa	kapa
tusk	kel
hay	seno
moss	mech
blunt	tupý
spider	pavouk
poppy	mák
vapor	pára
stream	potok
swarm	roj
vagina	kunda
cunt	píča
sewer	kanál
úterý	út
especially	kór
lambaste	lát
flaw	kaz
deer	jelen
horn	roh
tungsten	wolfram
cinema	kino
bro	brach
wide	široký
long	dlouhý
heavy	těžký
short	krátký
Poaceae	tráva
lion	lev
crown	koruna
wonder	div
coat	kabát
coffee	káva
heap	kupa
both	oba
then	pak
character	ráz
reed	rákos
rock	skála
fat	tuk
domme	domina
grave accent	gravis
celery	celer
ruin	ruina
grizzly bear	grizzly
phosphorus	fosfor
chromium	chrom
earth	zem
wax	maz
Swiss stone pine	limba
limit	mez
probe	sonda
beech	buk
age	doba
too	moc
burrow	nora
vinegar	ocet
boredom	nuda
hoop	obruč
horseshoe	podkova
forge	kovat
torso	trup
hell	peklo
ore	ruda
sheaf	snop
steel	ocel
mores	mrav
heat	vedro
second	sekunda
budoucí čas	čas
English	angličtina
tear	slza
smuten	vesel
naked	nahý
bald	holý
hunger	hlad
voice	hlas
extinguish	hasit
fog	mlha
lead	olovo
fable	bajka
kind	milý
dear	drahý
rainbow	duha
ready	hotový
castle	hrad
shovel	lopata
salmon	losos
racket-tail	mada
freedom	svoboda
servant	sluha
bird food	zob
deaf	hluchý
hot	horký
inn	hospoda
cattle	hovado
play	hra
pyšný	hrdý
grave	hrob
methane	metan
dense	hustý
rough	hrubý
companion	druh
other	druhý
sudden	náhlý
whole	celý
tlustší	tlustý
sour	kyselý
full	plný
deserted	pustý
warm	teplý
solid	tuhý
still	tichý
glad	veselý
yellow	žlutý
clean	čistý
Czech	český
plough	pluh
stack	stoh
smooth	hladký
throat	hrdlo
tumulus	mohyla
coolie	kuli
kovalo	kulo
cancellation	storno
mule	mula
tellurium	telur
love	milovat
evil brother	korb
Brassica	broskev
cerium	cer
Norway rat	potkan
burn	hořet
magpie	straka
cuckoo	kuku
-ism	-ismus
bulge	boule
Eve	Eva
boat	člun
wasp	vosa
coconut	kokos
hunt	lov
lutetium	lutecium
axe	sekera
time	furt
plunder	lup
fallow	úhor
grain	zrno
pub	krčma
throw	vrh
hump	hrb
rifle	puška
dust	prach
fault	chyba
pcs	ks
cream	smetana
crate	beden
board	deska
basket	koš
valley	kotlina
boiler	kotel
mole	krt
disc	kruh
single hair	vlas
homeland	vlast
eagle	orel
sharp	ostrý
wet	mokrý
swelling	otok
variegated	pestrý
leech	pijavka
chaff	pleva
messenger	posel
bacon	slanina
stanza	sloka
dormouse	plch
hero	rek
sweet	sladký
blue	modrý
happy	blahý
obedient	poslušný
polite	slušný
report	hlásit
again	opět
here	zde
sickle	srp
times	krát
region	kraj
pike	píka
pandeism	pandeismus
deism	deismus
cession	cese
na zdraví	na zdraví
welcome	vítám
a bit	trochu
roof	střecha
professor	profesor
truth	pravda
green	zelený
helmet	helma
satellite	Phobos
personification	Deimos
privilege	privilegium
Normandy	Normandie
roulette	ruleta
style	sloh
drive through	projet
tellane	tellan
flock	houf
astronomy	astronomie
Teflon	teflon
block	blok
pizzeria	pizzerie
moron	debil
catwalk	molo
sunnah	sunna
whip	bič
rug	koberec
foreigner	cizinec
warmth	teplo
corridor	chodba
attention	pozor
quickly	honem
sleep	spát
football	fotbal
wash	mýt
není zač	není zač
cook	vařit
garden	zahrada
next	příští
egg	vejce
document	dokument
repeat	opakovat
often	často
red	červený
black	černý
today	dnes
essay	esej
help	pomoct
live	žít
thin	tenký
worm	červ
die	umřít
lie	lhát
come	přijet
English	anglický
travel	cestovat
better	lepší
ligament	vaz
sand	sandr
-archy	-archie
men	muži
slur	hana
eta	éta
foul	faul
vulturine parrot	tricha
concrete	beton
knot	suk
dumpling	nok
bustle	shon
crack	rup
epilogue	epilog
study	studie
pity	škoda
nominative	nominativ
genitive	genitiv
dative	dativ
ca	cca
ablative	ablativ
candela	kandela
Iraq	Irák
Virginia	Virginie
red lead	minium
white horse	bron
glacier	ledovec
river	řeka
reptile	plaz
dregs	kal
manganese	mangan
gorilla	gorila
genome	genom
lbi	leb
ethanol	spiritus
Ahasuerus	Ahasver
caste	kasta
stadium	stadion
declension	skloňování
edit	editovat
Czech	čeština
discussion	diskuse
constant	konstanta
lubricate	mazat
midday	poledne
renew	obnovit
emigrate	emigrovat
bullet	kulka
attach	připojit
listen	naslouchat
flour	mouka
foil	folie
law	zákon
é	ě
Libya	Libye
Indonesia	Indonésie
chew	žvýkat
glow	žár
Tanzania	Tanzanie
Zambia	Zambie
Polynesia	Polynésie
Namibia	Namibie
dune	duna
atoll	atol
Old English Sheepdog	bobtail
slowly	pomalu
devil	ďábel
fish	ryba
somersault	salto
boot	bota
book	kniha
only	leda
tennis player	tenista
annexation	anexe
Rhynchopsitta	arara
atrophy	atrofie
hello	nazdar
debate	debata
work hard	makat
at home	doma
coachman	forman
terry cloth	froté
gloss	glosa
octane	oktan
elbow	loket
llama	lamí
parcel	parcela
parody	parodie
limit	limita
profession	profese
transgressive	maje
outside	mimo
my	moje
novella	novela
reform	reforma
bylaw	regule
transgressive	saje
blackboard	tabule
tilde	tilda
knapsack	torna
shelves	suden
bill of exchange	trata
tour	turné
monitor lizard	varan
review	revue
pátek	pá
Rebekah	Rebeka
willingness	ochota
parně	parno
motorist	motorista
negative	negativ
neighbor	soused
forehead	čelo
satisfaction	spokojenost
best	nejlepší
paradigm	paradigma
decane	dekan
heptane	heptan
hexane	hexan
pentane	pentan
propane	propan
nonane	nonan
robotics	robotika
brontosaur	brontosaurus
demagogue	demagog
antiquark	antikvark
quark	kvark
well	no
dung beetle	chrobák
tautology	tautologie
nomenclature	nomenklatura
transgressive	dra
Vini	vini
Corsica	Korsika
pronoun	pronomen
gladiolus	gladiola
nitroglycerine	nitroglycerin
battery	baterie
advice	rada
základní číslovka	základní číslovka
numeral	číslovka
yeast	droždí
yeast	kvasinka
tube	cista
recipe	recept
chi	chí
foehn	fén
actinium	aktinium
tench	lín
pi	pí
orchid	orchidea
begonia	begonie
casino	kasino
regatta	regata
board	bort
funeral	funus
spring	pramen
icicle	rampouch
hammer	kladivo
gneiss	rula
meat	maso
blackberry	ostružina
earth	půda
magic	magie
pollen	pel
kick the bucket	zaklepat bačkorama
yield	výnos
ivy	břečťan
cardboard	karton
auto mechanic	automechanik
měnové riziko	měnové riziko
prefix	do-
alcohol	alkohol
patriot	vlastenec
adversary	protivník
sword	meč
despot	despota
etiquette	etiketa
high tide	příliv
low tide	odliv
humankind	lidstvo
genocide	genocida
heroine	hrdinka
heroism	hrdinství
philosopher	filozof
scientist	vědec
physicist	fyzik
physics	fyzika
chemist	chemik
alchemist	alchymista
autistic	autista
train	vlak
series	série
arteriole	arteriola
bra	podprsenka
moron	haken
sperm	sperma
stock exchange	burza
antimony	antimon
californium	kalifornium
scandium	skandium
actinide	aktinoid
tell	nadat
Christ	Kristus
Majorca	Mallorca
happy New Year	pour féliciter
wallpaper	tapeta
camcorder	videokamera
cadmium	kadmium
bison	bizon
zirconium	zirkonium
lizard	ještěrka
fiasco	fiasko
boards	mantinel
legend	legenda
prostate	prostata
ecliptic	ekliptika
PLO	OOP
’	apostrof
creature	tvor
yo-yo	jojo
cabbage	zelí
capybara	kapybara
lacrosse	lakros
crypt	krypta
consensus	konsensus
arc	oblouk
štítná žláza	žláza
thyroid gland	štítná žláza
receptor	čidlo
podvěsek mozkový	podvěsek mozkový
pituitary gland	hypofýza
anaconda	anakonda
aneurysm	aneurysma
corpus callosum	mozkový trámec
brainstem	mozkový kmen
kilometer	kilometr
stone	kámen
X-ray	rentgen
microfarad	mikrofarad
optician	optik
denominator	jmenovatel
numerator	čitatel
susceptible	náchylný
susceptibility	náchylnost
apricot	meruňka
blueberry	borůvka
plum	švestka
connector	spojka
adverb	příslovce
preposition	předložka
pronoun	zájmeno
particle	částice
interjection	citoslovce
fall	pád
mayfly	jepice
corundum	korund
freckle	piha
McDonald's	mekáč
pencil	tužka
spoon	lžíce
scissors	nůžky
binder	pořadač
rope	lano
sans serif	bezpatkový
small caps	kapitálky
paragraph	odstavec
adrenal gland	nadledvinky
oesophagus	jícen
duodenum	dvanáctník
ureter	močovod
urethra	močová trubice
močový měchýř	močový měchýř
gall bladder	žlučník
bile	žluč
cosmos	kosmos
barley	ječmen
oat	oves
maize	kukuřice
pea	hrách
wheat	pšenice
milk	mléko
sugar	cukr
rice	rýže
salt	sůl
fruit	ovoce
hasit	oheň
candle	svíce
candle	svíčka
thread	vlákno
light bulb	žárovka
diploma	diplom
small intestine	tenké střevo
test tube	zkumavka
ginger	zázvor
aggressiveness	útočnost
aggressiveness	agresivita
caffeine	kofein
dietary fiber	vláknina
occupation	zaměstnání
glass	sklenice
door	dveře
hair	vlasy
table	stůl
chair	židle
ethologist	etolog
ethology	etologie
mattress	matrace
postage stamp	poštovní známka
chewing gum	žvýkačka
dusk	soumrak
prejudice	předsudek
superstition	pověra
lecture	přednáška
committee	výbor
cathedral	katedrála
haystack	kupka sena
needle in a haystack	jehla v kupce sena
fly	moucha
geologist	geolog
zoologist	zoolog
biologist	biolog
synecdoche	synekdocha
metaphor	metafora
metonymy	metonymie
flu	chřipka
stomach	žaludek
liver	játra
kidney	ledvina
lung	plíce
chest	hruď
couscous	kuskus
lick	lízat
ammonia	čpavek
ammonia	amoniak
silicon	křemík
carbon	uhlík
savcovi	savec
amphibian	obojživelník
bird	pták
platypus	ptakopysk
fan	vějíř
limb	končetina
butcher	řezník
shell	skořápka
ancestor	předek
chocolate	čokoláda
almond	mandle
weep	plakat
dragon	drak
dwarf	trpaslík
Velké Solné jezero	jezero
hill	kopec
robin	červenka
knee	koleno
tower	věž
čarodějka	čaroděj
warrior	válečník
waterfall	vodopád
feast	hostina
cave	jeskyně
brain	mozek
needle	jehla
listen	poslouchat
střední Evropa	střední Evropa
sharpen	ostřit
dependence	závislost
victory	vítězství
imagination	představivost
habit	návyk
poverty	chudoba
reason	rozum
prey	kořist
mediocrity	průměrnost
jury	porota
plaintiff	žalobce
skull	lebka
intestine	střevo
skin	kůže
arm	paže
joint	kloub
pain	bolest
muscle	sval
tissue	tkáň
blood cell	krvinka
jaw	čelist
larynx	hrtan
pharynx	hltan
spine	páteř
frying pan	pánev
calf	lýtko
thigh	stehno
ankle	kotník
fist	pěst
face	tvář
sleep	spánek
earring	náušnice
penis	péro
frog	žába
toad	ropucha
digestion	trávení
cartilage	chrupavka
strength	síla
circulatory system	oběhová soustava
spinal cord	mícha
medulla oblongata	prodloužená mícha
heritability	dědičnost
polymorphism	mnohotvarost
crustacean	korýš
lobster	humr
shrimp	kreveta
mushroom	houba
snail	šnek
sparrow	vrabec
sail	plachta
sailboat	plachetnice
swan	labuť
neck	krk
anchor	kotva
rib	žebro
thrush	drozd
horoscope	horoskop
vomit	zvracet
laxative	projímadlo
urine	moč
body	tělo
body	těleso
constipation	zácpa
seven	sedm
twelve	dvanáct
bill	směnka
bill	účet
account	konto
cenný papír	cenný papír
paper	papír
share	akcie
money	peníze
market	trh
offer	nabídka
demand	poptávka
interest	úrok
tax	daň
pojistná smlouva	smlouva
risk	riziko
loan	půjčka
patch	záplata
abracadabra	abrakadabra
agriculturist	agronom
bodybuilding	kulturistika
pine	borovice
larch	modřín
birch	bříza
sweetener	sladidlo
starch	škrob
analogy	analogie
thumb	palec
granary	sýpka
ant	mravenec
peacock	páv
lift	výtah
cliff	útes
heretic	kacíř
wedge	klín
infection	nákaza
virtue	ctnost
praise	chvála
physiology	fyziologie
topic	téma
wine	víno
faint	omdlít
lie	ležet
lie	lež
earth	země
marzipan	marcipán
candy	sladkost
hermit	poustevník
monk	mnich
loner	samotář
hermitage	poustevna
color	barva
master's thesis	diplomová práce
narrator	vypravěč
spasm	křeč
suffering	utrpení
love	láska
hatred	nenávist
success	úspěch
happiness	štěstí
health	zdraví
goal	cíl
target	terč
archery	lukostřelba
archer	lukostřelec
aim	záměr
purpose	účel
end	konec
class	třída
neglect	zanedbání
