August	august
forest	les
as	ako
mountain	hora
milliliter	mililiter
xylograph	xylograf
bay	golf
bulwark	val
camera	kamera
from	zo
Tabor	Tábor
baptism	krst
cow	krava
birds of a feather flock together	vrana
vulture	sup
rook	havran
bear	medveď
morgue	márnica
cat	mačka
matrix	matica
mathematician	matematik
-atá	-a
rock	skala
logic	logika
fur	kožušina
fur coat	kožuch
fur	kožušník
fur	kožušníčka
blacksmith	kováč
mare	kobyla
cobra	kobra
well	dobre
inkwell	kalamár
ink	atrament
bookseller	kníhkupec
merchant	kupec
coach	koč
coachman	kočiš
driver	šofér
šoférsky preukaz	šoférsky preukaz
ID	preukaz
lens	šošovka
lentil	šošovica
driver	šoférka
spinach	špenát
Slovak	slovenčina
Slovene	slovinčina
ice	ľad
icebox	ľadnička
logician	logik
sulfur	síra
sulfuric acid	kyselina sírová
acid	kyselina
oxide	kysličník
oxygen	kyslík
godfather	kmotor
godmother	kmotra
photography	fotografia
photographer	fotograf
photographer	fotografista
Persia	Perzia
family	rodina
hour	hodina
how much	koľko
what time is it	koľko je hodín
psi	pes
aborigine	domorodec
foreigner	cudzinec
politics	politika
politician	politik
flour	múka
wise man	mudrc
biography	životopis
river	rieka
piano	klavír
dervish	derviš
kitty	cica
mammal	cicavec
kitty	cicka
redhead	ryšavec
redhead	ryšiak
samurai	samurajka
diminutive	-ka
fly	mucha
arm	ruka
handle	rúčka
hand	ručička
leg	noha
trousers	nohavice
sleeve	nohavica
chest of drawers	bielizník
laundry	bielizeň
fly	muška
confirmation	birmovka
ham	hemendex
Slovakia	Slovák
benzine	benzín
gas station	benzínka
spaghetti	špagety
spaghetti	špageta
chess	mat
šach	šach-mat
chessboard	šachovnica
Euphrates	Eufrat
Mesopotamia	Mezopotámia
drunkard	opilec
drunk	pijan
alcoholic	alkoholik
drunk	ožran
elevator	výťah
stairway	schody
step	schod
anti-Semite	antisemita
diminutive	zdrobnenina
vegetable	zelenina
geography	zemepis
history	dejepis
history	dejiny
cigarette	cigareta
cigar	cigara
vision	zrak
enigma	záhada
garden	záhrada
spear	kopija
Bosporus	Carihrad
rest	pokoj
wage	mzda
salary	plat
May	máj
mathematics	matematika
bread	sendvič
count	počet
mathematician	matematička
frost	mráz
Father Christmas	Dedo Mráz
beach	pláž
side	strana
proverb	príslovie
air	vzduch
confirmation	birmovanie
world	svet
chin	brada
goatee	briadka
feudalism	feudalizmus
autobusa	autobus
mikrobusu	mikrobus
trolejbusu	trolejbus
hydrogen	vodík
water	voda
window	okno
window	oblok
tongue	jazyk
linguist	jazykovedec
scientist	vedec
science	veda
cock	kokot
below	pod
please	prosím
sad	smutný
where	kde
hello	ahoj
bank	banka
man	muž
address	adresa
one	jeden
two	dva
tooth	zub
small	malý
tree	strom
new	nový
yak	jak
good	dobrý
maternal uncle	ujo
poison	jed
twice	dvakrát
dragonfly	vážka
Slovak	ť
Slovak	ľ
spring	jar
oči	oko
tea	čaj
-ká	-ko
-ätá	-ä
pussy	pizda
Andes	Andy
marten	kuna
price	cena
fig	figa
throw	hod
dream	sen
oven	pec
executioner	kat
hundred	sto
work	robota
mouse	myš
dvier	dvere
Iraq	Irak
blue	belasý
nebesá	nebo
pepper	paprika
out	von
plastic	plast
bassoon	fagot
yeah	hej
foam	pena
taboo	tabu
flute	flauta
also	aj
brothel	bordel
four	štyri
five	päť
six	šesť
eight	osem
nine	deväť
ten	desať
very	veľmi
beautiful	krásny
evil	zlý
January	január
February	február
our	náš
especially	najmä
what	čo
who	kto
Angel	Angela
young	mladý
Africa	Afrika
potassium	draslík
xenon	xenón
nice	pekný
neon	neón
argon	argón
radon	radón
abacus	abakus
bread	chlieb
food	jedlo
pasta	cestovina
Eja	Erika
microscope	mikroskop
telescope	teleskop
sex	pohlavie
Chad	Čad
guitar	gitara
summer	leto
grit	štrk
set	množina
mosque	džamija
nanometre	nanometer
given name Adam	Ado
constellation	Centaurus
given name Eleonóra	Ela
Esther	Ester
given name František	Fero
given name Katarína	Kata
west	Kobyla
family name	Kostra
Leah	Lea
given name	Leo
given name Lukáš	Luk
Malinová	Malina
Moon	Mesiac
Nile	Níl
Slovakia	Slovenka
Sagittarius	Strelec
Hungarian	Uhorka
Wallachian	Valach
Irishman	Ír
Czech	Češka
inula	oman
September	september
November	november
December	december
moss	mach
fallow deer	daniel
Pitjantjatjara	pitjantjatjara
Internet	internet
camp	tábor
Islam	islam
Cambodia	Kambodža
yogurt	jogurt
hedgehog	jež
dictionary	slovník
Allah	Alah
bullet	strela
school	škola
Aristotle	Aristoteles
god	boh
alphabet	abeceda
X-ray	röntgen
almost	temer
post office	pošta
building	budova
beer	pivo
dinosaur	dinosaurus
her	jej
uši	ucho
verb	sloveso
squirrel	veverica
apple	jablko
old	starý
many	mnoho
yen	jen
advocate	advokát
Czechia	Česko
elephant	slonica
caw	krá
without	bez
dove	holub
tsunami	cunami
AIDS	aids
kingdom	carstvo
dolphin	delfín
gold	zlato
bridge	bridž
perál	perla
abdomen	abdómen
April	apríl
exit	východ
wall	stena
čiaš	čaša
dinner	večera
wheat	pšenica
leader	líder
Monday	pondelok
tourist	turista
Tuesday	utorok
Wednesday	streda
Thursday	štvrtok
Friday	piatok
Sunday	nedeľa
bomb	bomba
soul	duša
spark	iskra
aunt	teta
heraldry	heraldika
doctor	doktor
hall	hala
encyclopedia	encyklopédia
Bratislava	Prešporok
evening	večer
dis-	bez-
green	zelená
flail	cep
Italy	Itália
prick	chuj
gazelle	gazela
color	farba
Iraqi	Iračanka
sound	zvuk
iron	železo
fuck	jebať
platinum	platina
piece	kus
rune	runa
harp	harfa
wasp	osa
hare	zajac
velvet	zamat
hill	vrch
maternal uncle	ujec
fork	vidlička
scythe	kosa
lady	pani
lake	jazero
bronze	bronz
Kazakhstan	Kazachstan
I love you	milujem ťa
republic	republika
strawberry	jahoda
maple	javor
help	pomoc
pornography	pornografia
major scale	dur
steering wheel	volant
mitochondrion	mitochondria
chamber	izba
pičí	piča
crayfish	rak
if	ak
mushroom	huba
fur	bunda
sugar	cukor
cube	kocka
roe	ikra
name	meno
hay	seno
bag	mech
blunt	tupý
dumb	nemý
spider	pavúk
ball	lopta
poppy	mak
stream	potok
raže	raž
swarm	roj
cunt	kunda
sewer	kanál
ram	baran
horn	roh
cinema	kino
nothing	nič
Poaceae	tráva
crown	koruna
money	peniaze
flower	kvet
slivák	slivka
coat	kabát
coffee	káva
character	ráz
fat	tuk
once	raz
cellar	pivnica
brain	mozog
phosphorus	fosfor
earth	zem
coal	uhlie
Bos	tur
obrusa	obrus
horseshoe	podkova
meadow	lúka
hell	peklo
prasatá	prasa
ore	ruda
mores	mrav
lunch	obed
bucket	vedro
second	sekunda
čias	čas
English	angličtina
flea	blcha
boat	čln
tear	slza
neighbour	sused
angle	uhol
naked	nahý
naked	holý
hunger	hlad
deep	hlboký
clay	hlina
lead	olovo
ihiel	ihla
kind	milý
dear	drahý
snow	sneh
run	beh
host	gazda
castle	hrad
shovel	lopata
salmon	losos
freedom	sloboda
servant	sluha
hawthorn	hloh
bitter	horký
play	hra
pea	hrach
pyšný	hrdý
grave	hrob
star	hviezda
dense	hustý
rough	hrubý
south	juh
second	druhý
long	dlhý
whole	celý
full	plný
warm	teplý
body	telo
clean	čistý
Czech	český
plough	pluh
razor	britva
smooth	hladký
throat	hrdlo
coolie	kuli
monkey	opica
hrabieľ	hrable
rat	potkan
moisture	vlaha
dough	cesto
magpie	straka
herd	črieda
ripe	zrelý
sin	hriech
Eve	Eva
pamäti	pamäť
viper	zmija
rotten	hnilý
axe	sekera
dung	hnoj
grain	zrno
pub	krčma
throw	vrh
beetroot	cvikla
hrbu	hrb
rifle	puška
threshold	prah
fault	chyba
gulp	hlt
lace	čipka
čerešieň	čerešňa
court	dvor
ivy	brečtan
yoke	jarmo
káš	kaša
mole	krt
kvass	kvas
hair	vlas
yellow	žltý
fish-trap	vrša
wet	mokrý
brandy	pálenka
burn	páliť
variegated	pestrý
chaff	pleva
bacon	slanina
goods	tovar
dormouse	plch
rare	riedky
sweet	sladký
blue	modrý
edge	kraj
reddish	načervenkasto
truth	pravda
green	zelený
helmet	helma
whip	bič
ignorance	ignorancia
rug	koberec
document	dokument
red	červený
today	dnes
essay	esej
thin	tenký
worm	červ
English	anglický
better	lepší
donkey	somár
whitefish	sih
Olympic Games	Olympia
pity	škoda
asthma	astma
dad	oco
harrow	brány
witch	striga
Czech	čeština
fish	ryba
book	kniha
theism	teizmus
pantheism	panteizmus
pandeism	pandeizmus
deism	deizmus
hello	nazdar
-ian	-sky
home	doma
rite	obrad
review	revue
given name Ingrida	Inga
now	teraz
plot	dej
forehead	čelo
quark	kvark
beetle	chrobák
Europe	Európa
smoke	dym
numeral	číslovka
foehn	fén
orchid	orchidea
monarchy	monarchia
division	diel
hammer	kladivo
edict	výnos
table	stôl
alcohol	alkohol
sword	meč
heroine	hrdinka
physicist	fyzik
physics	fyzika
chemist	chemik
brassiere	podprsenka
day	deň
californium	kalifornium
scandium	skandium
wallpaper	tapeta
cadmium	kadmium
mantinela	mantinel
prostate	prostata
ecliptic	ekliptika
demography	demografia
joja	jojo
bibliography	bibliografia
crypt	krypta
Tajik	Tadžik
conjunction	spojka
cardinal numeral	základná číslovka
interjection	citoslovce
fall	pád
given name Kristián	Kristo
rope	lano
fire	oheň
vláken	vlákno
pineapple	ananás
ginger	zázvor
cathedral	katedrála
chest	hruď
carbon	uhlík
amphibian	obojživelník
chocolate	čokoláda
draky	drak
knee	koleno
waterfall	vodopád
reason	rozum
skull	lebka
muscle	sval
calf	lýtko
shrimp	kreveta
sparrow	vrabec
swan	labuť
neck	krk
thrush	drozd
market	trh
tax	daň
risk	riziko
patch	záplata
bodybuilding	kulturistika
birch	breza
granary	sýpka
peacock	páv
praise	chvála
topic	téma
wine	víno
love	láska
artery	tepna
spleen	slezina
miracle	zázrak
bee	včela
shark	žralok
lynx	rys
chimpanzee	šimpanz
syllable	slabika
ostrich	pštros
skaldi	skald
string	struna
earless seal	tuleň
letter	písmeno
botany	botanika
fertile	plodný
machine	stroj
ship	loď
dagger	dýka
computer	počítač
vacation	prázdniny
flood	povodeň
canvas	plátno
lemon	citrón
pheasant	bažant
furrow	brázda
trunk	chobot
gate	závora
action	čin
flock	stádo
tin	plechovka
aluminium	hliník
slave	otrok
wrinkle	vráska
iron	žehlička
vowel	samohláska
gibbon	gibon
chair	stolička
beauty	krása
pajamas	pyžamo
tractor	traktor
heart	srdce
service	služba
fuel	palivo
fear	strach
slime	sliz
snail	slimák
clarinet	klarinet
groin	rozkrok
sodium	sodík
wild	divoký
rash	vyrážka
organism	organizmus
Numbers	Numeri
through	cez
bishop	biskup
archbishop	arcibiskup
húsatá	húsa
bovine cattle	lichva
people	národ
his	jeho
otter	vydra
kariet	karta
humanism	humanizmus
traffic light	semafor
unicorn	jednorožec
sling	prak
aversion	odpor
gas	plyn
parrot	papagáj
director	režisér
wife	manželka
husband	manžel
home	domov
statue	socha
spectrum	spektrum
deity	božstvo
mead	medovina
volcano	sopka
Korea	Kórea
Bohemia	Čechy
rival	súper
cactus	kaktus
colleague	kolega
seed	semeno
algorithm	algoritmus
čísel	číslo
blind	slepý
literal	doslovný
jasper	jaspis
Mark	Marek
theft	krádež
králi	kráľ
rider	jazdec
infantryman	pešiak
Zealand	Sjælland
courage	odvaha
Latvian	lotyština
mortar	malta
schema	schéma
joke	vtip
Luke	Lukáš
Turk	Turek
Russian	Rus
German	Nemec
boring	vrt
bearing	ložisko
university	univerzita
fly	jatka
caraway	rasca
chisel	dláto
governor	guvernér
snow	snežiť
hook	hák
key	kľúč
actor	herec
person	osoba
Jew	žid
couch	gauč
cousin	bratranec
liver	pečeň
fart	prd
camel	ťava
enthusiastic	nadšený
planet	planéta
flashlight	baterka
ox	vôl
boy	chlapec
granddaughter	vnučka
weekend	víkend
oasis	oáza
ravine	strž
currency	mena
múru	múr
Russian	ruština
butterfly	motýľ
bike	motorka
deist	deista
pandeist	pandeista
Slovak	slovenský
threat	hrozba
vagina	vagína
antonym	antonymum
sidewalk	chodník
Olympics	olympiáda
New Zealand	Nový Zéland
barn	stodola
China	Čína
trampoline	trampolína
life path	dráha
apple tree	jabloň
lighthouse	maják
celebration	oslava
riddle	hádanka
chlorophyll	chlorofyl
hajj	hadž
bait	návnada
falsity	nepravda
spring	pružina
basilica	bazilika
drinking water	pitná voda
thousand	tisíc
ruler	pravítko
banknote	bankovka
hašiša	hašiš
Caucasus	Čečensko
facade	fasáda
resolute	odhodlaný
rose	ruža
illness	nemoc
sermon	kázeň
kayak	kajak
pillar	pilier
micro-	mikro-
lepton	leptón
atheism	ateizmus
proton	protón
amnesty	amnestia
adolescence	adolescencia
audience	audiencia
aphorism	aforizmus
music	hudba
evil	zlo
tin	cín
nitrogen	dusík
Russia	Rusko
jazz	džez
landscape	krajina
reed	brdo
keel	kýl
falcon	sokol
anecdote	anekdota
American	americký
balcony	balkón
guild	cech
success	zdar
wart	bradavica
thigh	bedro
active	činný
álk	alka
fodder	krmivo
coat of arms	erb
peak	vrchol
president	prezident
weight	váha
amphora	amfora
arm	rameno
that	že
Heraklesa	Herakles
nationalist	nacionalista
password	heslo
lower	nižší
American	Američanka
right	pravý
sterile	neplodný
citizen	občan
kolach	koláč
newspaper	noviny
tantalum	tantal
bismuth	bizmut
cobalt	kobalt
dynasty	dynastia
dance	tanec
jewel	klenot
lean	chudý
rich	bohatý
magazine	časopis
jam	džem
ethanol	etanol
percent	percento
gold	zlatý
Moravia	Morava
actress	herečka
byte	bajt
judo	džudo
shock	šok
image	imidž
exile	exil
Swede	Švéd
murder	vražda
mouth	ústa
iodine	jód
chlorine	chlór
orgasm	orgazmus
closer	bližší
partisan	partizán
sturgeon	jeseter
strike	štrajk
Romania	Rumunsko
congress	kongres
krekera	kreker
slow	pomalý
Greenland	Grónsko
alive	živý
-ese	-ština
-ery	-ište
abstract	-stvo
glue	lepidlo
prince	princ
banána	banán
foehn	föhn
balloon	balón
mineralogy	mineralógia
police	polícia
anamnesis	anamnéza
nature	povaha
end	koniec
mosquito	komár
amethyst	ametyst
make	robiť
melody	melódia
little	málo
-ier	-ra
fairy	víla
tautology	tautológia
shield	štít
cold	chladný
replacement	náhrada
racism	rasizmus
finally	napokon
numerical	číselný
driver	vodič
Wikipedia	Wikipédia
crowbar	páčidlo
carrot	mrkva
yesterday	včera
Icelandic	islandský
Slovene	slovinský
Slovenia	Slovinka
one	svoj
saliva	slina
nape	šija
desire	žízeň
necktie	kravata
pineal gland	šuškovité teliesko
dry	suchý
weak	slabý
proletariat	proletariát
each	každý
Czechoslovakia	Československo
Dutch	holandský
socialism	socializmus
communism	komunizmus
whose	čí
galaxy	galaxia
auxiliary verb	pomocné sloveso
question	otázka
masculine	mužský
brake	brzda
testosterone	testosterón
greenhouse	skleník
series	seriál
ovary	vaječník
dependent	závislý
powerless	bezmocný
capitalism	kapitalizmus
hypocrite	pokrytec
architect	architekt
astrophysics	astrofyzika
apartment	byt
able	schopný
youth	mládež
panicum	proso
Elbe	Labe
Danube	Dunaj
simple	jednoduchý
irony	irónia
angstrom	ångström
impression	dojem
flawless	bezchybný
disgust	hnus
sonnet	sonet
village	ves
only	iba
dark	tmavý
darkness	tma
dark	temný
good evening	dobrý večer
cicada	cikáda
sole	podrážka
pit	jama
utilitarianism	utilitarizmus
plant	rastlina
tree	drevo
dievčatá	dievča
céra	cér
magnetic	magnetický
globe	glóbus
free	oslobodiť
June	jún
July	júl
message	správa
tire	pneumatika
somnambulism	námesačníctvo
Yiddish	jidiš
Sweden	Švédsko
Slovenia	Slovinsko
Serbia	Srbsko
Kapverdmi	Kapverdy
characteristic	charakteristický
bayonet	bajonet
anus	ritný otvor
fashion	móda
outdated	zastaralý
theorist	teoretik
museum	múzeum
carburetor	karburátor
widow	vdova
March	marec
jay	sojka
catfish	sumec
Hussite	husita
puppet	maňuška
milk	mlieko
bark	kôra
budgerigar	andulka
horse	kôň
hemisphere	hemisféra
nit	hnida
Jonas	Jonáš
Ruth	Rút
fold	vrása
Hungarian	Maďar
Serb	Srb
Chinese	Číňan
bush	ker
Dane	Dán
Belgian	Belgičan
kernel	jadro
antenna	anténa
rosemary	rozmarín
British	britský
Russian	ruský
Hungarian	maďarský
Mexican	mexický
elastic	pružný
Bulgarian	bulharský
African	africký
American	Američan
your	tvoj
egg	vajce
starling	škorec
Shetland	shetlandský
boomerang	bumerang
tobacco	tabak
alcoholic	alkoholický
dress	šaty
only	jediný
match	zápalka
soldier	vojak
charitable	dobročinný
charity	charita
toll	mýto
tournament	turnaj
glucose syrup	glukózový sirup
kill	zabiť
progress	pokrok
advanced	pokročilý
noise	hluk
noise	šum
noisy	hlučný
cloth	látka
miscarriage	potrat
explosive	výbušnina
explosion	výbuch
strategic	strategický
anatomy	anatómia
soon	skoro
electromagnetic	elektromagnetický
atmosphere	atmosféra
shit	hovno
basic	zásaditý
brocade	brokát
socialist	socialistický
vulkánu	vulkán
mace	palcát
execution	poprava
americium	amerícium
my	môj
hojdacia sieť	hojdacia sieť
stork	bocian
superstition	babona
Epirus	Epir
armpit	podpazušie
genius	génius
old maid	stará panna
vestibule	vestibul
supreme body	SNR
antibody	protilátka
apprentice	učeň
bagpipes	dudy
mandolin	mandolína
your	váš
loan	pôžička
Zechariah	Zachariáš
Isaiah	Izaiáš
Jeremiah	Jeremiáš
Esdras	Ezdráš
Nehemiah	Nehemiáš
Hosea	Ozeáš
Obadiah	Abdiáš
Micah	Micheáš
Zephaniah	Sofoniáš
Malachi	Malachiáš
light	svetlo
instrumental	inštrumentál
flutist	flautista
half	polovica
jamiek	jamka
dryer	sušička
bamboo	bambus
algorithmic	algoritmický
treasure	poklad
firework	ohňostroj
aquarium	akvárium
pour féliciter	PF
final	finále
-ian	-ský
list	zoznam
higher education	vysoká škola
academic	akademický
inconspicuous	nenápadný
conspicuous	nápadný
džbána	džbán
socket	pätica
big	veľký
crane	žeriav
Tatra	Tatry
Carpathian Mountains	Karpaty
Sudeten	Sudety
bumblebee	čmeľ
faith	viera
eagle	orol
ďateľa	ďateľ
perhaps	možno
perhaps	snáď
hummingbird	kolibrík
swallow	lastovička
tit	sýkorka
machine	mašina
border	hranica
vampire	upír
soloist	sólista
palace	palác
Glagolitic alphabet	hlaholika
aj múdry schybí	aj múdry schybí
mattress	matrac
herb	bylina
hello	čau
schwa	šva
Herkulesa	Herkules
death	smrť
including	vrátanie
cheese	syr
turquoise	tyrkys
entrepreneur	podnikateľ
cotton candy	cukrová vata
sugar	cukrový
several	niekoľko
synergy	synergia
Baptist	baptista
chronic	chronický
Chechen Republic	ČR
speech	reč
root	koreň
fern	papraď
fleece	rúno
analytic	analytický
synthesis	syntéza
healthy	zdravý
disease	choroba
hlavový nerv	hlavový nerv
Manila hemp	abaka
reasonable	rozumný
Carpathian Ruthenia	Podkarpatská Rus
heron	volavka
amazement	úžas
sole	chodidlo
rusty	hrdzavý
Noah	Noe
pencil	ceruza
butter	maslo
monarch	monarcha
Cuban	Kubánec
given name Ernest	Erno
proposal	návrh
mint	mäta
breakfast	raňajky
tropic	obratník
pride	pýcha
jeep	džíp
lutetium	lutécium
given name Miroslav	Miro
opium	ópium
alcoholism	alkoholizmus
Persephone	Persefona
-ôl	-ola
Morpheus	Morfeus
sunstroke	úpal
modálna logika	modálna logika
goodbye	zbohom
goodbye	do videnia
perspective	perspektíva
pederasty	pederastia
cephalalgia	cefalea
Mercury	Merkúr
asbestos	azbest
photo	fotka
ping pong	pingpong
hello	dobrý deň
good night	dobrú noc
tea	čajový
plaster	sadra
apéritif	aperitív
Serbian	srbský
soot	sadza
geology	geológia
boy	chalan
priority	priorita
steep	strmý
free will	slobodná vôľa
I don't understand	nerozumiem
talk	hovoriť
lava	láva
corset	korzet
producer	producent
dramatic	dramatický
given name Etela	Eta
cartography	kartografia
discography	diskografia
kippah	kipa
asylum	azyl
meteorology	meteorológia
toxicology	toxikológia
pale	bledý
azimuth	azimut
great-grandmother	prababa
apricot	marhuľa
worthless	bezcenný
plagiarism	plagiát
plagiarist	plagiátor
historian	historik
živý plot	živý plot
type	hurka
allegoric	alegorický
Ezekiel	Ezechiel
archaeology	archeológia
anthropology	antropológia
bromine	bróm
hecto-	hekto-
autistic	autistický
blurred	rozmazaný
management	manažment
shadow	tieň
sievemaker	sitár
bassist	basista
saxophonist	saxofonista
ice axe	cepín
jiu-jitsu	džiu-džitsu
Slavic	slovanský
Slav	Slovan
dead	nebohý
hearing	sluch
wise	múdry
wisdom	múdrosť
bookstore	kníhkupectvo
grill	gril
oligarchy	oligarchia
colonel	plukovník
venomous	jedovatý
part-time job	brigáda
useful	užitočný
usefulness	užitočnosť
utility	úžitok
suicide	samovražda
liar	klamár
lie	klamať
lie	klamstvo
cable	kábel
thill	oje
landline	pevná linka
lesbian	lesbička
fact	fakt
trap	pasca
greyhound	chrt
darkness	temnota
Greek	gréčtina
Ancient Greek	starogréčtina
neurosis	neuróza
candidiasis	kandidóza
berkelium	berkélium
pharaoh	faraón
gout	dna
ceasefire	prímerie
calculator	kalkulačka
capsule	kapsula
march	pochodovať
diagnostic	diagnostický
občiansky preukaz	občiansky preukaz
cynical	cynický
monotheism	monoteizmus
sexual intercourse	súlož
ketchup	kečup
alder	jelša
inflammation	zápal
hysteria	hystéria
chromium	chróm
mosaic	mozaika
cremation	kremácia
nostril	nozdra
mass	hmotnosť
millimeter	milimeter
peat	rašelina
cosmology	kozmológia
cliché	klišé
poison	otráviť
plasma	plazma
Epicurus	Epikuros
lesbian	lesbický
Judaism	judaizmus
shepherd	pastier
chromosome	chromozóm
cellophane	celofán
rib	rebro
zoology	zoológia
toothless	bezzubý
diverse	rozmanitý
knife	nôž
spectator	divák
Wallachian	valašský
Wallachia	Valašsko
cone	šiška
factorial	faktoriál
murderer	vrah
roe deer	srna
vitamin	vitamín
strange	divný
Scottish	škótsky
Scot	Škót
tit	bradavka
leader	vodca
arsenic	arzén
uranium	urán
vault	klenba
cesium	cézium
lanthanum	lantán
art	umenie
crematorium	krematórium
euthanasia	eutanázia
basketball	basketbal
diplomatic	diplomatický
intestine	črevo
titanium	titán
manganese	mangán
germanium	germánium
rubidium	rubídium
strontium	stroncium
technetium	technécium
ruthenium	ruténium
foehn	fön
rhodium	ródium
waltz	valčík
cute	roztomilý
wetnurse	dojka
away	preč
barium	bárium
archaic	archaický
athletic	atletický
aristocrat	aristokrat
altruism	altruizmus
champion	šampión
rampart	hradba
accident	nehoda
trot	klus
layer	sloj
xenophobia	xenofóbia
cerebral palsy	detská mozgová obrna
poliomyelitis	detská obrna
apolitical	apolitický
almanac	almanach
typography	typografia
celebrity	celebrita
apocalypse	apokalypsa
Jew	Žid
photogenic	fotogenický
arboretum	arborétum
proof	preukázať
philosophy	filozofia
bomb	bombardovať
autism	autizmus
paternal	otcovský
drug addict	narkomanka
fracture	zlomenina
raft	plť
hurry	chvat
cotton	bavlna
botanic	botanický
tip	špička
Afrikaner	Afrikánec
limousine	limuzína
trait	črta
ash	popol
these	títo
galactic	galaktický
fishy	rybí
worm-eaten	červivý
Dalmatia	Dalmácia
garage	garáž
mouse	myší
arthritis	artritída
Valkyrie	valkýra
Serbian	srbčina
coffeemaker	kávovar
good morning	dobré ráno
necessary	treba
fucker	zmrd
through	skrz
-ery	-isko
pipe	fajka
feud	léno
metalanguage	metajazyk
objektový jazyk	objektový jazyk
hodja	hodža
healing	hojivý
atomic	atómový
carbonic	uhličitý
character	charakter
barbaric	barbarský
Bulgarian	bulharčina
Danish	dánčina
Estonian	estónčina
therefore	takže
despotic	despotický
pseudo-	pa-
fear	bázeň
Dutch	holandčina
Finnish	fínčina
French	francúzština
German	nemčina
Hungarian	maďarčina
Irish	írčina
Italian	taliančina
Lithuanian	litovčina
Maltese	maltčina
Polish	poľština
Portuguese	portugalčina
Romanian	rumunčina
Spanish	španielčina
Swedish	švédčina
mandarin orange	mandarínka
mandarin orange	mandarínkovník
glad	rád
catapult	katapult
doll	bábika
dissonance	disonancia
jüana	jüan
fascist	fašista
fascist	fašistický
yoga	joga
shower	sprcha
slivovitz	slivovica
tungsten	volfrám
edible	jedlý
gemstone	drahokam
ride	jazda
Malay	Malajec
Malay	malajský
lowland	nížina
rhenium	rénium
plutonium	plutónium
Charles	Karol
fuck	do piče
as	keďže
utensil	riad
there's no accounting for taste	proti gustu žiaden dišputát
research	výskum
bacterium	baktéria
half	polovina
Prague	pražský
entomology	entomológia
cephalalgia	cefalalgia
cue	tágo
draconian	drakonický
etymology	etymológia
as soon as	akonáhle
feeler	tykadlo
saxophone	saxofón
barricade	barikáda
bureaucratic	byrokratický
rabbi	rabín
sultan	sultán
sultanate	sultanát
oval	ovál
oilseed rape	repica
Praguian	Pražan
hyssop	yzop
anatomical	anatomický
drastic	drastický
tension	napätie
