with	ab
according to	segon
drink	beure
pray	pregar
write	escriure
live	viure
cover	cobrir
suffer	sofrir
flesh	carn
horse	caval
valiant	valen
host	albergar
room	cambra
warrior	guerrier
spirit	esperit
apostle	apostol
river	riu
force	forsa
ear	aurelha
knee	genolh
brother	fraire
Sun	solelh
tender	dous
sigh	sospirar
protect	gardar
mock	gabar
Christmas	nadal
care about	caler
multiply	multiplicar
Greek	Grec
nothing	nien
joy	joia
France	Fransa
jongleur	joglar
four	catre
rich	ric
summer	estiu
clergyman	clerc
day	jorn
hear	audir
man	ome
black	negre
Lord	segnor
find	trobar
suit of armor	arnes
love	amor
each one	chascun
battle	batalha
loyal	leial
thus	aissi
sure	certan
just	dreit
running	corant
blow	colp
bad	malvais
every	cascun
long	lonc
both	ambedui
hardly	gaire
believe	creire
people	poble
worldly existence	segle
Jesus	Jhesu
remember	remembrar
receive	recebre
orchard	vergier
characterize	amoros
Father	Peire
pillage	raubar
wife	molher
tears	plor
truth	veritat
jealous	gelos
truth	vertat
defend	defendre
desire	desir
finish	fenir
Easter	pascor
stupid	nesci
flesh	charn
this	aquest
seem	semblar
forget	oblidar
time	tems
couplet	clausa
song	canczon
word	paraulla
city	ciutad
woman	domna
lead	plom
salvation	salvament
little	pauc
friendship	amistat
fear	paor
lance	lansa
only	solament
admire	remirar
drunk	yvre
sin	pecat
winter	ivern
enemy	enemic
knight	chavaler
messenger	messatger
long	lonc tems
eye	olh
send	trametre
night	noih
nightingale	rossinhol
song	chanso
small song	chansoneta
lover	amador
singer	chantador
bird	auzel
hell	enfern
season	sazo
reason	razo
face	vizatge
lineage	linhatge
start	comensar
mouth	bocha
beauty	beutat
forehead	fron
stay	remaner
fall	chazer
joyous	joios
long	lonjamen
woods	boschatge
see	vezer
poor	paubre
poverty	paubretat
sir	senher
richness	ricor
small	menut
smoke tree	fustet
fall asleep	adormir
entirely	entierament
judgment	jujament
evildoer	fellon
father	payre
glorious	glorios
wisdom	sapiencia
payment	payament
beginning	començament
brother	frayre
first	prumier
language	lengaje
house	alberguar
idol	ydola
sin	peccar
example	eysemple
young woman	donçela
lesson	leyçon
child	fantin
baptism	baptisme
Jew	Jusio
scripture	escriptura
covenant	covenent
kill	aucir
cross	croç
teacher	ensegador
Christ	Xrist
Yeshu Xrist	Yeshu Xrist
Jesus	Yeshu
Saracen	Saraçin
Christian	crestian
avenge	venjar
order	comandament
humbly	humilment
know	conoyser
Antichrist	antexrist
goodness	bontat
mister	meser
fresh	fresc
rain	plueva
adore	asorar
change	camjar
owl	cavec
dis-	dez-
thought	pensamen
thistle	cardon
joy	gauch
know	conoiser
better	melhs
receive	colhir
green	reverdir
shame	aunir
Spanish	espaignol
victory	vencemen
enamel	esmalt
prepare	aparelhar
branch	ramel
generous	larc
common	cominal
cruel	felo
clothing	vestidura
phthisic	tesic
viscount	vescomte
couplet	cobla
no	negun
church	gleiza
defeat	venser
leave	laisar
old	vielh
no	nulh
boaster	gabador
pride	erguil
semblance	semblansa
shirt	camiza
far away	lonh
hope	esperansa
delightful	deleitos
knowledge	escien
softness	dousor
Jesus Christ	Jhesu Crist
occasion	ochaizo
often	soven
please	plazer
softly	dousamen
will	volontat
God	Domnedeus
marvel	meravelha
orange	auranja
flatterer	lauzenger
fools	trichador
shake	tremblar
command	comandamen
endure	endurar
arm	bratz
seize	tolre
beautiful	belazor
accord	acordamen
blame	blasmar
convict	concluire
when	lanquan
proud	orgoillos
really	verayamen
fall	cazer
humble	umiliar
face	fachura
never	anc
leaf	folh
honor	cortezia
piece	conselh
coat	mantelh
oven	fornel
sir	mosenhor
damage	damnatge
dishonor	dezonor
recall	membrar
miserable	chaitiu
salvation	sauvamen
neighbor	vezin
much	mant
message	messatge
archer	arquier
sacrament	sagramen
much	assatz
brotherhood	confrairia
alas	ailas
hope	dezesperar
fall	eschazer
vassalage	vassalatge
evilly	vilanamen
master	senhoratge
savage	sauvatge
imprison	empreizonar
light	clardat
sun	solelhar
vermilion	vermelh
worried	angoissos
small	rossinholet
price	pretz
joy	alegransa
doubt	doptansa
memory	membransa
faith	fiansa
kiss	baizar
under	sotz
history	estoria
saintly	santime
excommunicate	escumengar
shield	escudier
omnipotent	omnipotant
bad	malvatz
heron	aigron
watch	espingar
chamberlain	camarlenc
ease	aize
lute	laüt
traitor	trachor
beauty	beltat
carrot	pastenaga
pig	maial
calendar	calendier
