or	o
flash flood	piena di piante
abomasum	caghjarella
tedesca	tedescu
vampire	suchjasangue
I	eiu
he	ellu
that	quellu
that	quiddu
that	quissu
that	ssu
eleven	ondeci
twelve	dodeci
thirteen	tredeci
fourteen	quattordeci
sixteen	sedeci
seventeen	dicessette
eighteen	diciottu
nineteen	dicennove
mammal	mammiferu
bird	acellu
amphibian	anfibiu
fish	pesciu
beltfish	pesciu argentinu
horse	cavallu
flying gurnard	pesciu grondula
ribbonfish	pesciu lama
lanternfish	pesciu lucente
sharpnose sevengill shark	pesciu manzu
Trisopterus capelanus	pesciu nudu
Trisopterus capelanus	pesciu fica
common remora	pesciu pece
cardinalfish	pesciu rossu
oilfish	pesciu ruvettu
thole	scarmu
Atlantic lizardfish	pesciu scarmu
bluefish	pesciu serra
swordfish	pesciu spada
drawing	disegnu
pompano	pesciu stella
foreign	stranieru
mahi-mahi	pesciu stranieru
European sea sturgeon	pesciu sturiu
round	tondulu
round	rutondu
round	ritondu
sunfish	pesciu tondu
thank God	grazia à Diu
combtooth blenny	vacca maculata
longstriped blenny	vacca bianca
rusty blenny	vacca pregna
pregnant	pregnu
dribbling	bavosu
tompot blenny	vacca bavosa
cowfish	pesciu vacca
Dalai Lama	Dalaï Lama
basking shark	pesciu elefante
morgay	pesciu gattu
angular roughshark	pesciu porcu
velvet belly	pesciu diavule
school shark	palomu
school shark	pesciu palomu
angel	anghjulu
angelfish	pesciu anghjulu
Arabic	arabu
hammer	martellu
hat	cappellu
smooth hammerhead	pesciu martellu
smooth hammerhead	pesciu cappellu
blue shark	pesciu cane
pesciu cane grisgiu	pesciu cane grisgiu
grey	grisgiu
pesciu cane maiò	pesciu cane maiò
pesciu cane biancu	pesciu cane biancu
great white shark	male pesciu
anteater	furmiculaiu
insect	insettu
arthropod	artropodu
chordate	curdatu
worm	vermu
mollusc	molluscu
carnivore	carnivuru
zoology	zoolugia
ichthyology	ictiolugia
companion	cumpagnu
pollen	amacu
intransitive	approntà
swift	prontu
woodcock	beccazza
snot	caghja
quite a lot	parechju
article	articulu
vowel	vucale
consonant	cunsunante
anatomy	anatumia
ecology	ecolugia
embryology	embriolugia
oncology	oncolugia
physiology	fisiolugia
conservative	cunservativu
donkey	micciu
hydrogen	idrogenu
helium	eliu
tame	dumà
tame	dumatu
shrew	topufuragnu
foreign	foranu
handsome	bellu
glucose	glucosiu
lactose	lattosiu
platypus	ornitorincu
oviparous	oviparu
fox	mammacara
fox	codipinnacciuta
fox	codilonga
jackal	sciaccallu
manatee	lamantinu
rodent	ruditore
rabbit	cunigliu
distant	luntanu
border	fruntiera
ancient	anticu
ermine	ermellinu
brown	brunu
orsu brunu	orsu brunu
orsu europeu	orsu europeu
orsu biancu	orsu biancu
grizzly bear	orsu grisgiu
beaver	castoru
hamster	cricetu
vendetta	vindetta
good day	bonghjornu
goodbye	avvedeci
adjective	aghjettivu
sneeze	starnutà
lemon	limonu
people	ghjenti
size	grussezza
internal	internu
neighbour	vicinu
traduce	traduttu
earthly	terrenu
radioactive	radioattivu
active	attivu
infect	infettà
infected	infettatu
ottene	ottenutu
scientific	scientificu
homosexual	omosessual
red	rubru
azure	azuru
sky blue	turchinu
celestial	celestu
document	ducumentu
certificate	cirtificatu
plain	piaghja
