horse	march
east	dwyrain
northern	gogleddol
green	gwyrddlas
green	gwyrdd
sky	wybr
west	gorllewin
coal mine	gwaith glo
white	gwyn
Welsh	Cymry
eternity	byth
faithful	ffyddlon
life	bywyd
rain	glawio
dictionary	geiriadur
straight	uniawn
nostalgia	hiraeth
snow	eira
sun	haul
sun	huan
very	iawn
moon	lloer
moon	lleuad
shit	cachu
tŷ bach	tŷ bach
red	rhudd
shop	siop
job	swydd
fuck	ffwcio
warm	ffwrcho
copulate	cnuchio
shop	masnachdy
pale	piglas
why	paham
dove	colomen
nage ddim	nage ddim
very	reit
belief	cred
baby	baban
smaller	lai
again	ad-
cliff	garth
bridge	pont
piece	toc
how	mor
gallery	oriel
not	nid
point	min
police	heddlu
university	prifysgol
luck	lwc
lucky	lwcus
without	heb
sing	canu
Russia	Rwsia
also	hefyd
hurricane	gyrwynt
excellent	campus
penblwydd hapus	penblwydd hapus
but	ond
bank	glan
that	nad
pound	punt
fiddle	crwth
poster	poster
sesh	sesh
area	ardal
heat	tes
inspiration	Awen
crest	brig
potassium	potasiwm
impersonal present indicative	-ir
fie	wfft
yes	ie
first-person plural preterite	-son
love	caru
second-person singular conditional	-et
be	bod
great	arch-
shake	siglo
ebb tide	trai
hullabaloo	halibalŵ
Chester	Caer
Protestant	Protestant
dear	cu
wood	coed
autumn	hydref
reap	medi
state	ystad
stupid	twp
see	weld
dwarf	corrach
butterfly	glöyn byw
Aristotle	Aristoteles
sail	hwyl
welcome	croeso
ointment	eli
heaven	nef
elbow	elin
he	ef
you	mun
love	cariad
perhaps	falle
meat	cig
dry	cras
planet	planed
treachery	breg
futile	ofer
string	tant
this	hon
purple	porffor
Welshpool	Y Trallwng
undeb myfyrwyr	undeb myfyrwyr
butterfly	pilipala
hillside	allt
summer	haf
go	mynd
large	bras
weather	hin
acre	acer
land	tir
enough	nigon
enjoyment	miri
slow	araf
Newport	Casnewydd
I'm	dwin
open	ar agor
castle	castell
i mi	im
carpenter	lefel
French	Ffrangeg
nos da	nos da
How are you?	sut mae
bore da	bore da
English	Saesneg
effluent	bala
i mi	imi
lubricate	iro
fast	buan
out	mas
-let	-ig
seahorse	morfarch
garnet	garned
next to	ger
witness	tyst
guy	boi
dance	dawns
send	hel
fear	ofn
volley	foli
bad	drwg
God	Duw
amoeba	ameba
heb iaith, heb genedl	gwlad heb iaith, gwlad heb genedl
language	heb iaith, heb genedl
five	pum
graze	pori
Emrys	Amrys
praise	clod
towards	tua
treiglo	treiglad trwynol
infection	haint
user	defnyddiwr
chick	cyw
Daniel	Deiniol
so	felly
Germany	Almaen
England	Lloegr
Cornwall	Cernyw
harbour	harbwr
honour	bri
blouse	blows
eminent	Hywel
egg	wy
cause	peri
no	nage
sound	sain
lower	is-
woolly mammoth	mamoth gwlanog
duck	hwyad
king	brenin
steel	dur
heaven	nen
summit	copa
well	wel
pen	lloc
fair	teg
first-person plural present subjunctive	-om
far	pell
race	ras
dough	toes
Gwyn	Gwen
lichen	cen
fallow deer	danas
pie	pei
tonight	heno
attract	denu
almond	almon
penis	cala
near	agos
knee	glin
grave	bedd
blind	dall
land	pau
gold	aur
sing	ganu
zoo	sw
gate	gât
i ti	iti
where	ble
racket	raced
birds of a feather flock together	adar o'r unlliw hedant i'r unlle
silver	arian
pay	talu
mother	mam
crab	cranc
jackdaw	jac-do
until	hyd
pass	pasio
slave	slaf
saint	sant
widely	dar-
leaves	dail
guy	bachan
link	dolen
note	nodi
stomach	bola
park	parc
grandmother	nain
breast	bron
miserly	mên
corner	cornel
poet	bardd
absence	absenoldeb
flexible	hyblyg
first	unfed
David	Dafydd
all that glitters is not gold	nid aur yw popeth melyn
Scotland	Alban
yn	ym
third-person plural imperfect	-ent
first-person singular preterite	-ais
third-person singular imperfect	-ai
Venus	Gwener
Zwinglian	Zwinglïaidd
comet	comed
pope	pab
dirt	baw
kidney	aren
bold	hy
calends	calan
cross	croes
skin	croen
beat	curo
sauce	saws
try	cais
piss	piso
sweet	melys
orange	oren
synagogue	synagog
crack	crac
vice-chancellor	is-ganghellor
secretary general	ysgrifennydd cyffredinol
mathematics	mathemateg
months	alban
crag	clegyr
rock	craig
large	mawr
wide	llydan
thick	tew
heavy	trwm
small	bychan
since	ers
you	chwi
garden	gardd
country	gwlad
language	iaith
nation	cenedl
girl	merch
wife	gwraig
husband	gŵr
ribs	ais
appeal	apêl
morale	morâl
marble	marmor
cold	oer
fry	sil
ginger	sinsir
process	proses
Enide	Enid
fright	braw
mass	offeren
when	pan
wise	doeth
Welshman	Cymro
Welshwoman	Cymraes
Britain	Prydain
trumpet	utgorn
sound	utganu
underage children	plant dan oed
singulative	-yn
Welsh	Gwyneira
Welsh	Siwan
lane	lôn
guinea	gini
straighten	unioni
name	enw
mourning	galar
patronymic	ap Ifan
juice	sudd
Neptune	Neifion
milkmaid	llaethferch
tiredness	blinder
nephew	nai
Our Lady	Ein Harglwyddes
razor	raser
lady	arglwyddes
lord	arglwydd
Lord	Arglwydd
Lady	Arglwyddes
woman	benyw
soup	potes
shoots	egin
mess	strach
house	tŷ
area	hardal
horn	gorn
rear	magu
railway	rheilffordd
scarce	prin
lose	colli
fire	tân
praise	moli
tickle	cosi
copy	copi
taxi	tacsi
drink	yfed
cunt	cont
layer	haen
clean	clau
size	maint
peer	cymar
sauce	sos
X-ray	pelydr X
million	miliwn
cigarette	sigarét
rectum	rhefr
god	duw
island	ynys
eye	llygad
street	stryd
bear	arth
nasal	trwynol
cake	teisen
mutation	treiglad
badger	broch
Price	Rhys
bone	asgwrn
break	torri
long	maith
sickle	cryman
thing	peth
bed	gwely
ankle	migwrn
they	nhw
effect	effaith
speak	siarad
radical	Lanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
listen	gwrando
broadband	band llydan
bird	adar
national	cenedlaethol
health	iechyd
wolf	blaidd
secret	cyfrinach
horse	ceffyl
from	oddi
book	llyfr
union	undeb
student	myfyriwr
step-	llys-
knife	cyllell
evening	noswaith
evening	noson
beach	traeth
grass	glaswellt
mane	mwng
marijuana	mwg drwg
closed	ar gau
fruits	aeron
beautiful	anwen
Corona Borealis	arianrhod
flower	blodeuyn
ruler	gwaladr
glory	gwogawn
loving	cariadus
hiding place	culhwch
genuine	dilys
tide	llanw
anvil	einion
snowdrop	eirlys
crow	brân
fine	cain
fire exit	allanfa dân
exit	allanfa
drive	gyrru
bog	cors
out	all-
slip	llithro
come	dod
do	gwneud
happen	digwydd
freedom	rhyddid
think	meddwl
overflow	gorlifo
at all	o gwbl
o gwbl	o gwbwl
damage	difrod
put	gosod
centre	canol
today	heddiw
for	ar gyfer
drivel	glafoeri
weir	cored
walk	cerdded
kill	lladd
Wales	hwntw
hand	llaw
remember	cofio
forget	anghofio
across	ar draws
your	eich
altar	allor
Wales	Gog
more	mwy
superlative	mwyaf
table	bwrdd
a lot	llawer
nightmare	hunllef
handkerchief	hances
hello	helo
line	lein
between	rhwng
flag	Y Ddraig Goch
patronymic	ap
United States of America	UDA
violence	trais
salamander	salamandr
little girl	merchig
little girl	genethig
not	af-
lamb	oen
melody	melodi
discuss	trafod
ballad	baled
harmony	cynghanedd
put	dodi
fish	pysgod
anger	dicter
breast	brest
that is to say	sef
second-person singular imperfect	-it
antonym	gwrthwynebair
ash tree	onn
flower	blodyn
cloud	cwmwl
good evening	noswaith dda
good afternoon	prynhawn da
afternoon	prynhawn
iechyd da	iechyd da
bell	cloch
teacher	athro
slack	llac
lake	llyn
star	sêr
strong	cryf
weak	gwan
harden	caledu
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyll
Latin	Lladin
heart	calon
lock	clo
helmet	helmed
mayor	maer
cairn	carn
pronunciation	cynaniad
insect	pryf
loss	colled
tortoise	crwban
caterpillar	lindys
pint	peint
field	cae
brave	dewr
greed	blys
enough	digon
library	llyfrgell
sleep	cwsg
hi	siwmae
gate	iet
frog	broga
toad	llyffant
central	canolog
antimony	antimoni
milk	llaeth
hatred	casineb
blanket	tapin
boy	mab
write	ysgrifennu
time	amser
capital city	prifddinas
station	gorsaf
worker	gweithiwr
door	drws
diary	dyddiadur
shoe	esgid
again	eto
shop	siopa
proverb	dihareb
hyll	hyll
testicle	caill
true	gwir
there's	dyna
who	pwy
coil	torchi
glen	glyn
-s	-au
apostle	apostol
fluent	rhugl
word	gair
apple	afal
here	yma
there	yna
first-person plural imperfect	-em
bus	bws
elephant	eliffant
add	adio
gravy	grefi
turtle dove	turtur
first-person plural conditional	-sen
Christ	Crist
agent	-adur
wine	gwin
bring forth	hadu
yellow	melyn
direction	cyfarwyddiad
grill	gril
place	lle
benefit	lles
box	bocs
Ursa Major	Arad
message	neges
carry	cario
thong	carrai
grandmother	mam-gu
wait	aros
cake	cacen
topaz	topas
acid	asid
bless	bendigo
indefinite	acha
read	darllen
papaya	papaia
gap	hafn
finger	bys
Briton	Brython
clean	glân
Soviet Union	Undeb Sofietaidd
Breton	Llydaweg
dig	palu
calcium	calsiwm
Facebook	Facebook
coffee	coffi
sausages	selsig
fever	twymyn
hi	iddi
distance	pellter
terrorist	terfysgwr
sharpen	minio
liver	afu
icy nature	iäaidd
television	teledu
cod	còd
Happy New Year	Blwyddyn Newydd Dda
cat	cath
dance	dawnsio
bring	dod â
Lord's Prayer	Ein Tad
Lord's Prayer	Gweddi'r Arglwydd
prayer	gweddi
pray	gweddïo
better	gwell
best	gorau
French	Ffrengig
Frenchman	Ffrancwr
Frenchwoman	Ffrances
simple	syml
hard	caled
cold	oeri
cold	oerfel
Merry Christmas	Nadolig Llawen
Christmas	Nadolig
Englishman	Sais
Englishwoman	Saesnes
happy	hapus
rhoi’r gorau	rhoi'r gorau
give	rhoi
poem	awdl
fulling mill	pandy
hair	gwallt
i ei	i'w
office	swyddfa
any	unrhyw
work	gwaith
translate	cyfieithu
singer	canwr
aeroplane	awyren
psalm	salm
actress	actores
manor	maenor
promise	addo
zero	sero
bellows	megin
land	thir
-s	-aid
Welsh	Cerdd Dant
singer	cantores
tank	tanc
complaint	achwyn
case	achos
avoid	osgoi
bite	brath
boykin	bachgennyn
sofa	soffa
crowd	torf
dreidel	dreidl
own	biau
metre	titr
ambulance	ambiwlans
abstruseness	astrusi
what	be'
in the name of	neno
field	maes
cloister	clas
Tory	Tori
synonymous	cyfystyr
chest	cist
lamp	llusern
unsuccessful	aflwyddiannus
sovereign	sofren
girl	hogen
hide	celu
porpoise	llamhidydd
endless	didranc
cock	coc
uncle	ewythr
aunt	modryb
cousin	cefnder
grandfather	taid
family	teulu
sister	chwaer
nature	anian
café	caffi
take care	carco
prove	profi
mustard	mwstard
timber	pren
hoarfrost	barrug
barúg	barúg-wallt
language	-eg
Dyfed	Cadan
small	mân
on	ar-
OK	oce
medley	cybolfa
peace	hedd
chive	cennin sifi
sea bass	draenog y môr
wallet	gwaled
wall	gwal
lair	gwâl
enough	gwala
cricket	criced
made	croeniog
tetrasyllabic	pedrsill
hill-fort	bryngaer
lizard	madfall
mansion	plas
pig	soch
stud	gre
condemn	condemnio
retreat	cilio
blood money	galanas
harp	telyn
history	hanes
arm	braich
funeral	angladd
clock	cloc
fox	llwynog
help	helpu
miracle	gwyrth
get	cael
trolley	troli
buffalo	bual
pasty	pastai
broadcast	darlledu
plague	pla
cheesy	cawslyd
fact	ffaith
lexicographer	geiriadurwr
next to	ar bwys
cello	soddgrwth
double bass	bas dwbl
double bass	basgrwth
mystic	cyfriniol
out	es-
stylophone	steiloffôn
cow	buwch
beaver	afanc
bull	tarw
deer	carw
bee	gwenyn
pain	dolur
superstar	archser
teacher	athrawes
learner	dysgwr
engineer	peiriannwr
engineer	peiriannydd
spoon	llwy
granddaughter	wyres
pipe	pib
lobster	cimwch
calf	llo
she-bear	arthes
transcendental	trosgynnol
rooster	ceiliog
zoologist	söolegwr
zoologist	söolegydd
repress	adwthio
brick	bric
beer	cwrw
tent	lluest
tent	lluesty
hazel tree	cyll
nuts	cnau
sheep	dafad
light	golau
light	goleuni
claw	ewin
milltir yn awr	mya
kitten	cath fach
foal	ebol
filly	eboles
train	trên
Roman	Rhufeiniad
Roman	Rhufeiniwr
gnats	cylion
quiet	llonydd
quiet	llonyddu
quiet	llonyddwch
grandfather	hendad
stepfather	llystad
stepson	llysfab
stepmother	llysfam
stepdaughter	llysferch
cut	briw
-s	-iau
blurb	broliant
isosceles	isosgeles
isosceles triangle	triongl isosgeles
potato	taten
flour	fflŵr
flour	paill
fist	dwrn
eagle	eryr
young	ieuanc
all	holl
wheel	rhod
wheel	olwyn
wheel	sidell
spinning wheel	troell
wheel	troellen
Mercury	Mercher
mercury	mercwri
Saturn	Sadwrn
redhead	cochen
redhead	cochyn
manuscript	llawysgrif
bargain	bargen
Welsh	Gwenog
heifer	anner
otter	dwrgi
otter	dyfrgi
fox	cadno
new	newydd
snake	neidr
dead	marw
spring	gwanwyn
condition	amod
dispute	anghydfod
department	adran
business	busnes
attachment	atodiad
pursuit	canlyniad
view	canfyddiad
body	corff
company	cwmni
complaint	cwyn
customer	cwsmer
pay	cyflog
director	cyfarwyddwr
equal opportunity	cyfle cyfartal
employee	cyflogai
create	creu
fruit	ffrwyth
orange	melyngoch
lion	llew
owl	tylluan
hen	iâr
twin	gefell
twin	gefeilles
headmaster	prifathro
headmistress	prifathrawes
headword	prifair
highway	priffordd
railway	ffordd haearn
iron	haearn
prime cost	prifgost
letter	llythyren
letter	llythyr
capital letter	priflythyren
prevailing wind	prifwynt
breath	anadl
breeze	awel
chief bard	prifardd
chief rhyme	prifodl
rhyme	odl
sulfuric	sylffwrig
gamete	gamet
pasture	porfa
kick	cic
open	agor
bloody	creulon
turtle	môr-grwban
nautical mile	môr-filltir
mile	milltir
mermaid	môr-forwyn
lizard	genau-goeg
crocodile	crocodeil
sea	môr
maid	morwyn
piracy	môr-ladrad
pirate	môr-leidr
theft	lladrad
thief	lleidr
chair	cadair
tiger	teigr
change	newid
replace	amnewid
anglicise	Owain
concept	cysyniad
zoologist	söolegwraig
tired	blin
ambidexterity	deuddeheurwydd
delete	dileu
-ness	-ter
oesophagus	oesoffagws
nucleus	niwclews
kernel	cnewyll
Baltic Sea	Môr Baltig
Irish Sea	Môr Iwerddon
together	cyt-
Isle of Man	Ynys Manaw
Isle of Wight	Ynys Wyth
template	templed
ice	iâ
ocean	eigion
hiccup	ig
sea	cefnfor
sea	gweilgi
hawk	gwalch
goshawk	gwalch marth
sparrowhawk	gwalch glas
osprey	gwalch y pysgod
nightjar	gwalch y nos
razorbill	gwalch y penwaig
rain	glaw
spirit	gwirod
reel	cliniadur
thanks	diolch
fork	fforc
fork	fforch
platform	platfform
eglwysydd	eglwysi
eglwysi	eglwysydd
short	byr
Somerset	Gwlad yr Haf
righteousness	cyfiawnder
tripod	trybedd
Spanish	Sbaeneg
discussion	trafodaeth
beyond	tra-
aid	teclyn
government	llywodraeth
milk	llefrith
dirty	budr
people	pobl
course	hynt
fetter	gefyn
fit	gwiw
lecturer	darlithydd
triangle	triongl
hall	neuadd
tribute	teyrnged
suicide	hunanladdwr
knight	marchog
mass	màs
run	rhedeg
German	Almaeneg
shape	llun
power	grym
sleep	cysgu
paper	papur
stage	llwyfan
hill	bryn
circle	cylch
soap	sebon
nose	trwyn
boyish	mabol
equal	cydradd
equal	cydraddol
personal	personol
Member of Parliament	Aelod Seneddol
computer	cyfrifiadur
keyboard	allweddell
kitchen	cegin
wiki	wici
answer	ateb
Italian	Eidaleg
midnight	canol nos
bleed	gwaedu
animal	anifail
face	wyneb
grammar	gramadeg
number	rhif
building	adeilad
bag	cwdyn
bottle	potel
brain	ymennydd
end	diwedd
handbook	llawlyfr
insect	pryfyn
ship	llong
pleasure	pleser
translator	cyfieithydd
glass	gwydr
pool	pwll
direction	cyfeiriad
frost	rhew
verb	berf
barrow	twrch
boar	baedd
sow	hwch
dry	sych
machlud haul	machlud haul
bloody	gwaedlyd
dangerous	peryglus
page	tudalen
driver	gyrrwr
sign	arwydd
Great Britain	Prydain Fawr
soil	clawdd
daylight	golau dydd
electrician	trydanwr
memory stick	ffon gof
blood	gwaed
dawn	gwawr
arrange	trefnu
hotel	gwesty
crust	cramen
seek	ceisio
lesson	gwers
newspaper	newyddiadur
diary	dyddlyfr
danger	perygl
loft	taflod
newspaper	papur newydd
hospital	ysbyty
skull	penglog
flag	baner
leg	coes
shitload	cachlwyth
coke	golosg
ask	gofyn
fourteen	deusaith
eleven	undeg
myriad	myrdd
hundred thousand	milcant
waiting room	ystafell aros
intercession	cyfrwngddarostyngedigaeth
fart	rhech
lip	gwefus
museum	amgueddfa
flesh	cnawd
pavement	palmant
world	byd
one-eyed	coeg
plant	planhigyn
hot	poeth
aftertaste	adflas
reinstate	adfer
silk	sidan
ef	iddo
inventor	dyfeiswraig
Cornish	Cernyweg
shock	sioc
pubes	cedor
anchor	angor
ask	holi
suitable	addas
lessen	lleihau
curse	melltithio
curse	rhegi
countable	rhifadwy
turbine	tyrbin
partridge	petris
representative	cynrychiolydd
protrude	allwthio
instrument	-ell
finch	llinos
coal mine	pwll glo
narrow	cyfyng
young	ifanc
sulfur	sylffwr
faith	ffydd
hedgehog	draenog
bark	rhisgl
attentive	astud
vegan	fegan
manage	ymdopi
non-verbal	aneiriol
bodily	cnawdol
addition	ychwanegiad
boundary	ffin
dialect	tafodiaith
plate	plât
kick	cicio
public	cyhoedd
coracle	corwg
backstage	cefn llwyfan
blwch llwch	blwch llwch
event	digwyddiad
officer	swyddog
conversation	sgwrs
foreign	estron
butter	ymenyn
dated	dyddiedig
archery	saethyddiaeth
grove	celli
dear	hoff
ripple	crych
lock	cudyn
game	gêm
mice	llygod
prophet	proffwyd
prophetess	proffwydes
honey	mêl
allege	honni
cucumber	cucumer
unicorn	uncorn
children	plantos
sill	sìl
fern	rhedyn
builder	bildar
centaur	dynfarch
encyclopedia	gwyddoniadur
milch	blith
knot	oddf
bag	sachell
yellow	felen
difference	ots
receive	derbyn
angel	angyles
cathedral	eglwys gadeiriol
galaxy	galaeth
-ship	-iaeth
vegan	figan
vegan	figanaidd
vegan	feganaidd
tongue	tafod
carry	cludo
forward	ymlaen
ukulele	iwcalili
prawn	corgimwch
pavane	pafán
Europe	Ewrop
cohabitant	cydbreswylwyr
fowl	adara
way	modd
worry	pryder
strength	nerth
search	chwilio
honest	onest
parsnip	pannas
pick	pigan
story	chwedl
drink	diod
seat	sedd
lazy	diog
-ness	-der
memory	cof
pink	pinc
bumblebee	cacwn
cheese	cosyn
cork	cyrc
holly	celyn
garment	dilledyn
clothing	dillad
bean	ffa
blade	gwelltyn
grass	gwellt
duck	hwyaid
penis	gwialen
rod	gwiail
feather	pluf
rose	rhosyn
rag	rhacs
turnip	maip
again	at-
turf	tyweirch
herb	llysau
sinew	gïau
tendon	gewyn
cord	cyrt
podcast	podlediad
boarding school	ysgol breswyl
residential	preswyl
morality	moes
third-person singular conditional	-sai
cave	ogof
round	crwn
idle	segur
justice	ustus
dull	dwl
excellent	ardderchog
high	uchel
one-eyed	unllygeidiog
one-eyed	coegog
greedy	barus
that	onco
turn	troi
in	mewn
room	ystafell
industrial	diwydiannol
gravel	gro
foam	ewyn
queen	brenhines
fidchell	gwyddbwyll
oil	olew
peas	pys
race	hil
forties	deugeiniau
cupful	paned
album	albwm
alder	gwern
dildo	cala goeg
twenty	ugain
shoulder	ysgwydd
shoulder	palfais
bend	plyg
self	ym-
accent	llediaith
leather	lledr
accent	lledieithog
y	'na
nature	naws
copse	prys
foundation	sylfaen
extreme	gor-
beautiful	hardd
a lot	lawer
hurt	poeni
oriole	oriol
tomorrow	fory
brave	glew
little	ychydig
root	gwreiddyn
haemorrhage	gwaedlif
saw	llif
lymph	gwaedlyn
black pudding	gwaedogen
blood is thicker than water	gwaed yn dewach na dŵr
bad blood	gwaed drwg
young blood	gwaed ifanc
ear	clust
neck	gwddf
neck	gwddw
neck	mwnwgl
neck	gwddwg
mist	niwl
get up	codi
element	elfen
call	galw
enthusiasm	brwdfrydedd
sail	morio
full	llawn
clipboard	clipfwrdd
mistake	gwall
bald	moel
mediate	canoli
desert	anial
college	coleg
unfortunate	anffodus
unite	cyfuno
perform	perfformio
feed	bwydo
hoop	cylchu
preposition	arddodiad
before	cyn
adjective	ansoddair
early	cynnar
thankful	diolchgar
entertain	diddanu
events	digwyddiadau
see	gweld
fly	hedfan
faces	wynebau
lovely	hyfryd
nest	nyth
noisy	swnllyd
elegy	marwnad
prairie	paith
evening	cyfnos
gloaming	brig y nos
good	daioni
badness	drygioni
toothache	dannoedd
sunlight	heulwen
linguistics	ieithyddiaeth
orchard	perllan
sweetness	melyster
bare	noeth
waterfall	rhaeadr
other	arall
they	hwynt
this	hwn
cactus	cactws
bittern	bwm y gors
Eurasian blackcap	penddu
blue tit	glas bach y wal
blue tit	titw tomos las
brambling	bronrhuddyn y mynydd
bullfinch	coch y berllan
chaffinch	asgell fraith
chough	brân Gernyw
somewhere	rywle
rainbow	enfys
vixen	cadnawes
avalanche	eirlithrad
apple tree	afallen
at home	gartref
out	allan
like	hoffi
knee	pen-lin
here	'ma
look	edrych
hope	gobeithio
improve	gwella
hello	hylo
i mewn	i mewn
i mewn i	i mewn i
now	nawr
yn ôl	yn ôl
season	tymor
conversation	ymddiddan
flagon	costrel
pack	pac
sad	thrist
mill	melin
war	rhyfel
ache	gwŷn
cabin	caban
salmon	eog
salmon	gleisiad
castrate	mollt
crown	coron
monkey	mwnci
I am	dwi
silent	tewi
walk	rhodio
woodpigeon	ysguthan
gull	gwylan
heron	crëyr
lark	ehedydd
sin	pechu
Hereford	Henffordd
York	Efrog
Wirral	Cilgwri
Salisbury	Caersallog
county town	Caerwrangon
Winchester	Caerwynt
Canterbury	Caergaint
Lancaster	Caerhirfryn
Kent	Caint
Greater Manchester	Manceinion Fwyaf
Edinburgh	Caeredin
feast	gwledd
carpenter	saer
forest	fforest
forest	coedwig
reptile	ymlusgiad
amphibian	amffibiad
whip	chwip
charity	elusen
by	wrth
wet	gwlyb
work	gweithio
condemned	condemniedig
curse	melltith
performance	perfformiad
review	adolygu
that	hwnnw
each	pob
all	i gyd
joining	cyd
some	rhai
some	rhyw
thin	tenau
serpent	sarff
worms	abwydyn
bait	abwyd
stick	ffon
pledge	gwystl
coming	dyfodiad
biographical dictionary	bywgraffiadur
rhyming dictionary	odliadur
alderman	henadur
metasearch engine	metachwiliadur
metalanguage	meta-iaith
metapopulation	metaboblogaeth
population	poblogaeth
microcomputer	microgyfrifiadur
minicomputer	minigyfrifiadur
search engine	chwiliadur
palmtop	llofiadur
sleeper	cysgadur
scythe	pladur
sinner	pechadur
pacemaker	amseriadur
hymnbook	emyniadur
hymn	emyn
coward	cachadur
yearbook	blwyddiadur
birthday	pen-blwydd
year	blwydd
remember	cofiadur
creature	creadur
copier	copiadur
questionnaire	holiadur
watch	oriadur
collator	coladur
directory	cyfarwyddiadur
directory	cyfeiriadur
thimble	gwniadur
radiator	rheiddiadur
pacemaker	rheoliadur
pacemaker	rheolydd calon
controller	rheolydd
ocular	sylladur
typist	teipyddes
typewriter	teipiadur
typist	teipydd
type	teipio
generator	generadur
accumulator	cronadur
collect	cronni
alternator	eiliadur
refugee	ffoadur
gradus	graddiadur
laminator	haeniadur
microscope	mwyadur
amplifier	mwyhadur
oscillator	osgiliadur
modulator	trosiadur
thermometer	tymeriadur
jump	naid
meadow pipit	corhedydd
ostrich	estrys
vulture	fwltur
parrot	parot
tern	morwennol
swan	alarch
blanket	planced
blanket	gwrthban
rydw i'n dy garu di	rydw i'n dy garu di
penguin	pengwin
wide	eang
virtue	rhin
bird	edn
wing	adain
fy	nghariad
tone	tôn
guard dog	gwarchodgi
pack	pacio
science	gwyddoniaeth
kingdom	brenhiniaeth
caviar	cafiar
bladder	swigen
plum	eirin
eyebrow	ael
mediaeval land division	cantref
music	cerddoriaeth
gain	ennill
deliberation	pwyll
back	cefn
worse	waeth
dowry	agweddi
exile	alltud
maiden	amobr
maiden	gobr merch
church	bangeibr
noble	bonheddig
penny	ceiniog
acre	erw
chief	pennaeth
leader	tywysog
cattle	maer biswail
injury	sarhad
serf	taeog
nobility	bonedd
head	pencenedl
mottled	brith
show	dangos
straight	syth
square	sgwâr
quadrilateral	pedrongl
angle	ongl
thunderclap	taran
grease	iraid
squirrel	gwiwer
fiancé	dyweddi
vouchee	arddelw
bragget	bragod
