rice plant	mi
nang·-	na·a
servant	nokkol
banana	te·rik
jackfruit	te·brong
mango	te·gachu
dew	riponchi
cloud	gadila
mustard	silso
pot	gimbi
roof	nokking
shoulder	pakkrong
palm	jakpa
small	-chon-
full	gapeta
length	bigro
week	sopta-
yesterday	mejao
child	pi·sa
ground	ha·rang
mud	ha·pek
stone	rong·te
eel	kuicha
crab	hang·ki
elephant	mongma
jackal	si·ol
a lot	-prak-
love	namnika
think	chanchia
know	hai·a
want	ham·a
arrive	-sok-
lessen	komia
people	manderang
generation	chasong
but	indiba
observe	niroka
true	kakket
ordinary	ramram
use	jakkala
good	jakkaltoa
go back and forth	i·rurata
return	pil·a
return	-pil·-
go	i·a
meet	gronga
cough	busua
sneeze	atchinga
how	badaka
which	bagipa
someone	amikka
urinate	gittama
put	chaneta
reply	inchaka
fit	-chak-
finish	-chot-
forget	taptua
technique	jakma
inform	janapa
rib bone	guasi
gullet	gitoknal
pocket	cheppi
fine string	kilding
name	biming
rice plants	mibipang
north	salgro
south	salgipeng
east	salaram
round	-bong
full moon	jarambong
soil	ha·mang
ha·singsep	ha·kong
mountain	ha·chik
hill tract	ha·saka
small stream	chiring
flowing stream	chidari
spring	chiga
bank	chisam
water channel	chiret
write	lekkia
accuse	amuta
ask	bi·a
expect	miksoka
be able	man·a
bird	do·o
tooth	wagam
dream	jumang
fig tree	phrap
always	pangnan
cave	rong·kol
book	ki·tap
help	dakchaka
very	-be-
sure	ka·donga
namely	chong·motan
monkey	makre
today	da·al
yesterday	me·jal
alphabet	oikor
hawk	do·reng
dance	chroka
sleep	tusia
speak	agana
take	ra·a
give	on·a
love	ka·saa
sit	asonga
be	ong·a
so	indake
simple past tense suffix	-jok
each	-prak
west	saliram
cow	matchu
rabbit	sapau
snake	chipu
goat	do·bok
rooster	do·bipa
Sunday	chigicho
Monday	griso
Tuesday	abeso
Thursday	mechobal
Friday	naringso
Saturday	sanicho
three	gittam
ten	chiking
Earth	a·a
smell	gingsika
taste	cha·tota
eat	cha·a
touch	nangdika
Garo	A·chik
you	na·simang
you	na·song
there	uano
other	gipin
be big	dal·a
be thick	ritchara
be heavy	jrima
child	bi·sa
mother	ma·
fish	na·tok
worm	kan·churi
forest	bolgrim
stick	go·ol
seed	bichri
root	ja·dil
blood	an·chi
bone	greng
grass	samsi
fat	mitim
tail	ki·me
feather	do·kimil
we	an·ching
they	bisimang
we	na·ching
pomelo	chambil
again	-tai-
side	a·sam
hoolock	huro
answer	aganchaka
borrow	ra·chaka
-ing	-eng-
habitually	-rong-
cat	menggo
skin	bigil
foot	ja·a
eyebrow	mikskim
chin	ku·dimbok
comitative	-ming
thing	bostu
Garo	A·chikku
sand	han·cheng
oar	kewal
go	re·a
come	re·baa
good morning	pringnam
blanket	kombol
pleased to meet you	nang·ko gronga kusi ong·a
be happy	kusi ong·a
good night	walnam
good evening	attamnam
who are you	na·a sawa
how are you	namengama
thank	mitela
thank you very much	nang·ko mitelbejok
welcome	rimchaksoa
forgive	kema ka·a
it's okay	mamung ong·jaba
study	poraia
sing	ring·a
drive	chalaia
live	songdonga
wind	balwa
shake	mojimat
now	da·a
together	apsan
work	kam ka·a
do	ka·a
diligently	bimchipe
to each other	-grik-
conversation	agangrikani
food	cha·ani
country	a·song
own	-tang-
factory	karkhana
wake up	chakatronga
writer	segipa
teacher	skigipa
way	cholba
believe	bebe ra·a
habitat	dongram
hill	a·bri
urban areas	jilla
farmer	cha·gipa
talk	golpo ka·a
peace	tom·tomani
befriend	tom·toma
animal	matburing
speech	aganani
miser	mikkigipa
be rich	cha·ata
world	a·gilsak
visitor	sokgipa
talk	golpoa
want	skenga
I'm fine	namengaba
have a nice day	nang·na namgipa sal ong·china
see you later	grongtaigen
see you later	grongtainoa
come again	re·bataibo
news	kobor
all	-tok-
elder	dal·batgipa
grasshopper	aguk
control	a·sel
situation	obostara
be tired	nenga
soothe	dongtoata
question	sing·a
start	a·bacha
when	basako
wake up	mikraka
how	maidake
crow	gisika
rise	nabaa
shine	teng·sua
virgin	mi·tra
search	am·a
forbid	beng·a
crow	do·ka
wide gap	eng·a
down	ka·ma
be thin	ram·a
dip	sim·a
subjunctive marker	-chim
pastor	pamong
business	bading-chiwalgipa
own	-tang
farm	bari-bagan
father	pagipa
mother	ma·gipa
son	depante
son	angde
daughter	demechik
elder brother	adatang
elder brother	adagipa
younger brother	jonggipa
younger brother	jojong
younger brother	angjong
elder sister	abitang
elder sister	abigipa
younger sister	nogipa
elder paternal uncle	pajonggipa
elder paternal uncle	pajongtang
elder paternal uncle	pajong
younger paternal uncle	wanggipa
paternal aunt	manigipa
paternal aunt	manitang
elder maternal aunt	ma·jonggipa
elder maternal aunt	ma·jongtang
elder maternal aunt	ma·jong
elder maternal aunt	ajong
younger maternal aunt	ma·detang
younger maternal aunt	ma·degipa
younger maternal aunt	ma·de
maternal uncle	mamatang
maternal uncle	mamagipa
wife	bochigipa
wife	bohari
husband	gumegipa
husband	gumetang
husband	boninggipa
husband	chawarigipa
husband	chawari
grandfather	atchugipa
grandfather	atchutang
grandfather	atchu
grandmother	ambitang
grandmother	ambigipa
grandchild	su·gipa
daughter-in-law	namchik
brother-in-law	jongsari
father-in-law	o·bite
mother-in-law	niotang
nephew	gritang
nephew	anggri
neice	namchiktang
body	bimang
darling	ta·ma
wrap	bil·a
draw water	ko·a
carve	sol·a
punch	su·a
wear out	cham·a
sound	gam·a
bamboo	wa·a
be much	bilonga
narrow	apchona
bridge	dolong
bridge	jal·lang
be long	bakroa
be short	bakkandika
be very	agrea
be very	dugaa
be slow	ru·uta
be fast	ta·raka
be early	seng·gnanga
be late	ja·manchaka
rabbit	sappau
bat	do·bak
lizard	ben·chidik
chameleon	ganjappa
firefly	jonai
firefly	sang·et
tortoise	ki·sing
crab	ang·ke
lion	singho
fox	se·el
crocodile	gorial
frog	bengb·lok
porcupine	okgipu
ant	chibrim
whale	timi na·tok
butterfly	me·pilip
peacock	do·de
hen	do·bima
parrot	batdo
duck	do·gep
pigeon	paroa
owl	do·po
eagle	do·gamdot
be lost	gimaa
once	changsa
redeem	pioka
objection	neng·nikani
object	neng·nika
comitative	-mung
important	nangchongmotani
be important	nangchongmota
advice	ku·pattiani
advise	ku·pattia
feel	ma·sia
inside	ning·a
request	mol·mola
please	ka·sapae
finish	matchota
meeting	tom·ani
alright	ong·aigenba
knowledge	uiatani
thought	chanchiani
dinner	meattam
noon	saljatchi
breakfast	mepring
tap	dongtapataa
argument	jegrikani
argue	jegrika
be unnecessary	indinari
choose	basea
cook	song·a
hate	nidika
misplace	donguala
keep up	srapa
fall in love	ka·sanapa
respect	mande ra·a
society	songsar
be warm	ding·boma
be sunny	sal raka
future	ja·man
thunder	kimpretani
thunder	kimpreta
lightning	riprapani
back	janggil
very	jimbee
be normal	ong·ronga
rain heavily	gamonga
drizzle	wasisia
be likely	kraa
be a bit	on·tisa
today	da·asal
something	maiba
script	tokbirim
kill	so·ota
cork	mitchura
stick	me·gon
tongs	dang·kep
plate	rangtal
wooden base	dipdiping
earthenware pot	diktom
rice	me·dik
earthenware storage pot	rongdik
brick	ha·san
platform	gan·sang
earthen platform	du·dap
well	chikol
house site	nokkap
interior	nokning
hoe	gitchi
knife	gan·dileng
fan	gijip
nail	silkata
family	nokdang
comb	ki·chong
lie	tol·a
open	ku·anga
settlement	songnok
exchange	srea
loan	jinang
ill	joma
be dark	andalba
wander	re·branga
be better	namkala
already	-man-
stop	dontonga
be last	bonkama
succeed	chu·soka
chilli pepper	jal·ik
garlic	nasindo·ki
watermelon	tormus
husked rice	merong
goat	do·mok
shop	koros ka·a
try	jotton
be better	nambata
go out	ong·kata
be busy	jakchaka
childhood	bi·samiting
travel	songrea
punishment	sasti
lean	dandana
strike	satata
be strong	bilaka
blow	spoa
heir	nokrom
shout	chrika
always	jringjring
burn	so·a
sole	ja·pa
toe	ja·si
sneak	jom·a
be far	chel·a
dig	cho·a
break	be·a
constantly	jem·jema
meat	be·en
wash	jaksua
wash	-su-
chop	den·a
divorce	jikgala
reform	gisikpil·a
close	mikchipa
smoke	wal·kua
defecation	ke·ema
old	buraa
sweat	kramchia
bathe	abua
burst	breta
crush	bineka
crush	pineka
break	pe·a
rich man	nokma
job	chakri
saliva	ku·chi
snore	henggok
be tired	neng·a
soon	-najok
about to	-ginok
stand	chadenga
be dark	andala
negative nominalizing	-gija
imagine	amsoka
be tall	chuaka
butcher	rasota
be happy	an·senga
joy	sengani
trip	re·angani
be cold	ka·sina
swim	jroa
firstly	-cheng-
want	ha·sika
before anyone	-so-
more	-kal-
exceedingly	-bat-
whole	-gimik
be dry	ran·a
desire	goka
dove	do·gugu
peacock	do·di
woodpecker	do·tileng
bird intestine	do·bik
basket	do·gring
chick	do·bi·sa
pet bird	do·mande
be slippery	rimila
slippery fish	na·rimil
fresh water shrimp	na·tik
dry fish	na·kam
civet cat	matchuri
porcupine	matmachi
hide	matgil
sprout	boldim
twig	bolcheksi
fallen tree	bolgong
log	bolgantong
afterbirth	bibil
gall bladder	bikit
mucus	bijol
field	a·ba
lump	a·kinte
dust	a·kinchi
mud	a·dipek
upland	a·rongga
area	a·dok
hill	a·chik
spark	wal·misi
firebrand	wal·jem
burns	wal·gusi
burning coal	wal·ki
lighter	wal·tot
narrow	chigitok
elbow	jaksku
knee	ja·sku
fingernail	jakskil
toenail	ja·skil
thigh	ja·ping
sandal	ja·kop
snare	ja·gra
right hand	jakra
left hand	jakasi
base	ja·ting
base	ja·pang
wave	jakjipa
point	jaksiota
handwork hard	jakraka
let go	jakwata
eyelid	mikgil
eyebrow	miksimang
forehead	miksimim
get into	mikdapa
faded	mikbroka
beard	ku·simang
kiss	ku·dima
whisper	ku·misa
discuss	ku·monga
agree	ku·rachaka
whistle	ku·simoka
promise	ku·mikcheta
armpit	pakwal
axillary hair	paksimang
gnat	tampisimik
