reputation	name
recognition	şınasnayış
science	şınasiye
podology	paşınasiye
astronomy	asmênşınasiye
anthropology	merdumşınasiye
ecclesiology	kıliseşınasiye
phonology	vengşınasiye
blue	kewe
garden	boston
right	raşt
no	nê
with	jewina
five	phonc
candidate	eza
America	Ameriqa
punishment	ceza
Zazaki	ڨ
ant	murcele
erzan	arzan
much	vêşi
all of a sudden	nıskêra
lion	şêr
yes	belê
voice	naran
brain	mezg
anus	zotık
breast	çıce
breast	sêne
tail	poçık
yesterday	vızeri
take	groten
Aries	Beran
person	merdım
bent	çewt
zero	çıniyo
cattle	naxır
high	berz
English	İngılızki
search	cıgeyrayış
put	cı kerdene
şehid	şehîd
heywon	heywan
communist	surık
gift	hediye
yellow	zerd
spy	casusiye kerdene
hello	merheba
bahdê	bahdê bazari
Tuesday	Telete
Wednesday	Çarseme
Yêne	Êne
write	nuştene
wring	ropırocnayene
earth	Erd
three	hîrê
four	çexar
thousand	xezar
twenty	vîst
gold	altûn
arzan	ercon
astare	estare
azmin	ezman
goni	gunî
eye	çim
dukan	dîkon
embaz	ombaz
erdiş	erdîş
feqir	feqîr
gışt	gișt
hor	hewr
kardi	kardî
kerge	kerg
kavırek	kavir
crab	kerkinc
lu	lû
maki	makî
faith	bawer
honey	engemîn
dough	mîr
moon	aşm
color	boye
biyayene	biyene
chew	cawıtene
shame	şerm
medicine	dermon
back	pişt
enemy	dişmen
shop	dikon
Wednesday	çarşeme
see	diyene
thief	dizd
what	çiçî
milk	şit
be milked	doşiyene
duşem	duşeme
courageous	egît
shame	eyv
poç	boçik
key	kilît
earthquake	bumlerz
shaking	lerz
profit	fayde
mês	mêsi
fly	fırayene
thought	fikr
cup	fîncon
peach	xewx
Saturday	şeme
şehîd	şehid
night	şew
sword	şimşêr
sweet	şîrin
shepherd	şiwone
soup	şorve
comb	şone
ceni	cenî
bottom	cêr
hell	cahnim
ice	cemed
answer	ciwab
neighbour	cîron
tent	çadir
pit	çal
hammer	çaquş
time	wext
time	çax
pair	çit
meadow	çayîr
Tuesday	sêşeme
Thursday	pojşeme
how much	çenday
left	çep
wheel	çerx
give	dayene
distant	durî
car	erewa
horn	esterî
column	estûn
Friday	îne
Sunday	yekşem
sock	gêrwe
bring	berdene
eyebrow	birwe
flour	ardî
bear	heşi
cotton	peme
black	sîya
cold	serd
evening	şon
make	kerdene
husband	mêrde
snow	vawr
sit	nıştene
school	mektev
box	qutiye
house	keye
beautiful	xasek
mule	qatır
xatunı	xatune
sesame	kuncı
wool	peşmi
hail	torge
dog	kutuk
teach	musnayene
zebeş	zebeşe
squirrel	sımore
carpet	xali
earth	ħer
-stan	-ıstan
milk	dıtene
see	vênayene
take	gırewtene
limp	lengayene
stay	mendene
read	wendene
Hemed	Ehmed
God	Ellah
gold	zern
bayraqı	beyraqe
desmal	destmale
aşire	eşire
green	hewz
qatır	qatıre
qene	qıne
çek	çeke
şuşa	şuşe
horseback	espar
student	telebe
mıj	mıc
sandal	ğamık
lightning	vırsık
weigh	sencen
grind	tahnen
hurt	tewnen
transport	berden
birth	zayen
you	tı
your	şıma
uncooked	xax
Lily	Sos
level	lewel
millimetre 	milim
stamina	teqet
nobody	kesek
turban	kuluk
though	welew
goat	kıdık
-logy	-loci
dome	qubbe
female	marî
cornea	gululug
famine	qıtlıq
washing	sıtıs
thirst	teyşan
theirs 	êdê
he	oyo
colorful	kelebelek
cornea	gılilıg
hooves	nalan
thirty	hirıs
forty	çores
sixty	şeşti
sixty	şeştay
seventy	hewtay
eighty	hestay
medieval	meqem
to	-rê
under	bın
around	çoşmey
among	myan
behind	peydı
that	kı
for	qandê
so that	qandê kı
sit	çoç
shah	şağ
they	êyê
news	xeber
