and	y
can	possa
sentence	sentenza
modality	modalità
assistance	assistenza
health	sanità
prudence	previdenza
finance	finanza
magistrate	magistrat
magistracy	magistratura
presidency	presidenza
guinea fowl	faraona
importance	valuta
thigh	galón
less	manco
stabilized	stabilì
human	uman
report	raport
spirit	spirt
full	pien
school	scola
private	privat
title	titul
requirement	esigenza
recourse	recurs
minor	mender
last	ultim
system	sistem
amnistia	amnestia
attack	atentat
method	metoda
legislature	legislatura
solidarity	solidarietà
guarantee	garantir
border	cunfin
mayor	ambolt
thought	pensier
of the	dla
sport	sportif
amnesty	amnistia
understand	capir
flagrancy	flagranza
republic	republica
unique	unic
water	ega
cultural	culturel
in the	tla
worse	piec
eighty	otanta
hear	udir
consulënza	consulenza
Italian	talian
number	numer
subsidiarity	sussidiarietà
war	viera
career	cariera
register office	anagrafe
ambit	cheder
fact	fat
bigger	majer
unitary	uniter
stipulate	stipuler
parliamentary	parlamenter
denunciation	denunzia
manifest	manifester
military	militer
weapon	erma
snow	nevei
red	cuecen
from the	dala
picky	muele
prohibit	proibir
disciplinary	discipliner
scholarship	stipendium
monopoly	monopol
period	trat
weight	peis
together	adum
relative	relatif
fix	fisser
enjoy	goder
singular	singolar
have to	cogner
seventy	setanta
terminn	termin
environmental	ambiental
statute	statut
aim	mirer
average	mesan
sector	setor
becalen fosch	becalen fosch
becalen gran	becalen gran
weasel	belora
bisont european	bisont european
chamois	ciamorc
common gull	gabian
alpine chough	agacion
arbitrate	arbitrer
sparrow	spoz
fox	volp
quail	caia
pig	porcel
bo salvare	bo salvare
cattle	arment
robin	pietcuecen
tit	mosela
Eurasian magpie	gacia
lynx	lustrel
vulture	valtoi
buzzard	gabinel
beaver	castour
jackdaw	cornacia
while	entant
normative	normatif
region	raion
command	cumander
halt	arester
ghost	spiert
ghost	utschac
stop	arest
which	chel
support	sustenir
untie	deslier
regulates	regulei
towards	encontra
contest	concors
out	fòra
bond	liam
ecosystem	ecosistem
at first	dant
new	nuef
senate	senat
maintain	mantenir
mutuality	mutualità
month	meis
decree	decret
electoral	litel
stës	stes
particular	particuler
cat	giat
December	dezember
level	livel
money	muneida
deliberate	delibrer
river	ruf
popular	populer
deputy	deputat
rather	plutost
give off	emaner
financier	finanziera
offence	reat
skiing	schi
liquid	luter
nation	nazion
by way of	pervia
be born	nascer
at least	almanco
activity	atività
establish	stabilir
rabbit	cunicio
direction	direzion
reason	rejon
write	scriver
instruction	istruzion
six	sies
arbitration	arbitrat
people	popul
see	vedei
listen	scuter
form	furmer
Italy	Talia
crime	delit
other	auter
thing	cossa
transfer	trasferir
report	reverir
snow	nëif
wheelbarrow	graton
exam	ejam
effect	fazion
guaranteed	garantida
acuse	acuser
can	podei
house	cèsa
voice	usc
inhabitant	abitant
component	componënt
abrogation	abrogaziun
act	ać
councillor	aconsiadù
accordance	acordanza
adapted	adatè
adopted	adotè
administrative	aministratif
administration	aministraziun
article	articul
provincial	provinziel
this	chësto
time	tëmp
funziones	funzion
other	autro
constitutional	costituzionel
mayor	ombolt
province	provinzia
provincial	provinzial
principle	prinzip
democratic	democratich
deliberation	delibrazion
constituent	costituent
session	senteda
December	dezëmber
approve	aproer
constitution	costituzion
disposition	despusizion
final	finel
this	chësc
according to	aldò
case	cajo
forward	inant
work	lëur
sovereignty	suvranità
exercises	eserzitea
recognizes	recunësc
guarantees	garantësc
right	dërt
inviolable	nviulabl
both	sibe
single	singul
formation	furmazion
social	soziel
where	ulache
personality	persunalità
develops	svilupea
demands	damanda
fulfilment	ademplimënt
duty	duvier
political	politich
economic	economich
citizen	zitadin
citizens	zitadinanza
equal	medemo
dignity	denità
without	zenza
distinction	desvalivanza
sex	sés
language	rujeneda
opinion	minonga
condition	cundizion
personal	persunel
obstacle	rëm
de fat	de fat
liberty	lidëza
equality	valivanza
prohibits	mpedësc
development	svilup
participation	partezipazion
effective	efetif
worker	laurant
laurant	lauranta
organization	urganisazion
country	paesc
sustains	sustën
perform	dejeujer
possibility	puscibltà
progress	prugres
society	sozietà
indivisible	spartibl
depends	depënd
decentralization	dezentramënt
wide	ampl
adapts	adatea
legislation	legislazion
requirement	bujën
defends	defënd
minority	mendranza
linguistic	linguistich
appropriate	apost
church	dlieja
catholic	catolich
independent	ndependënt
sovereign	suvran
modification	mudazion
requires	debujën
procedure	pruzedimënt
always	danora
revision	revijion
if	sce
must	cogn
confession	cunfescion
religëuses	religëus
equal	unfat
free	liede
organize	urganiser
treaty	tratat
opposes	cuntrastea
order	urdinamënt
legal	giuridich
representation	reprejentanza
respective	respetif
search	nrescida
scientific	scientifich
technical	tecnich
countryside	cuntreda
historical	storich
artistic	artistisch
public	publich
militaristic	militaristich
ecclesiastical	eclesiastich
scholastic	scolastich
physical	fisich
civic	zivich
informatic	nfurmatich
diplomatic	diplomatich
periodic	periodich
characteristic	carateristich
practical	pratich
statistical	statistich
technological	tecnologich
heraldic	araldich
estate	patrimone
conforms	cunforma
international	nternaziunel
national	naziunel
general	generel
individual	ndividuel
professional	prufescionel
proportional	pruporzionel
regional	regiunel
nominal	numinel
jurisdictional	giurisdiziunel
generally	generalmënter
-wise	-mënter
autonomously	autonomamënter
expressly	espressamënter
peacefully	pazificamënter
indirectly	ndiretamënter
definitely	definitivamënter
directly	diretamënter
unitarily	unitermënter
corporately	colegialmënter
individually	ndividualmënter
temporarily	temporermënter
provisionally	provisoriamënter
explicitly	esplizitamënter
implicitly	mplizitamënter
faithfully	fedelmënter
recognized	recunesciud
foreigner	fulestier
regulated	reguleda
hampered	mpedì
exercised	eserzité
shelter	asil
territory	teritore
extradition	estradizion
leave	lascer
instrument	strumënt
offence	ufenduda
other	autr
means	mesun
solve	ressolver
conflict	cunflic
limitation	limitazion
assure	segurer
segurèr	segurëie
peace	pesc
between	danter
such	chisc
tricolour	triculëur
green	vërt
red	cueciun
red	chécen
three	trëi
band	strisca
some	degun
detention	detenzion
inspection	ispezion
search	percuisizion
sequestration	secuestrazion
communication	comunicazion
authorization	autorisazion
association	assoziazion
institution	istituzion
violation	viulazion
indication	ndicazion
publication	publicazion
representation	reprejentazion
manifestation	manifestazion
service	prestazion
reparation	reparazion
reeducation	reeducazion
education	educazion
action	azion
recognition	parificazion
qualification	abilitazion
exercise	eserzitazion
application	aplicazion
emigration	emigrazion
assurance	assegurazion
unemployment	dejocupazion
registration	registrazion
indemnity	ndenisazion
situation	situazion
reclamation	bonificazion
transformation	trasfurmazion
cooperation	cooperazion
speculation	speculazion
revaluation	revalutazion
habitation	abitazion
cultivation	cultivazion
determination	determinazion
population	populazion
interception	nterzetazion
conversation	cunversazion
election	litazion
approval	apurvazion
declaration	detlarazion
delegation	delegazion
abrogation	abrogazion
implementation	atuazion
presentation	prejentazion
ratification	ratificazion
equiping	dotazion
administration	aministrazion
elaboration	elaborazion
cassation	cassazion
allocation	asseniazion
nomination	numinazion
convocation	cunvocazion
interrogation	nterogazion
impugnation	mpuniazion
immigration	imigrazion
equalization	perecuazion
information	nfurmazion
innovation	inuvazion
nutrition	alimentazion
navigation	navigazion
harmonization	armonisazion
exploitation	valorisazion
control	regulamentazion
detection	ndividuazion
differentiation	defrenziazion
destination	destinazion
importation	mpurtazion
exportation	espurtazion
circulation	zirculazion
collaboration	cunlaurazion
consultation	cunsultazion
creation	criazion
denomination	denuminazion
acceptance	azetazion
capacity	capazità
collectivity	culetività
quantity	cuantità
quality	cualità
invalidity	nvalidità
effectivity	efetività
progressivity	prugressività
publicity	publizità
impartiality	mparzialità
legitimacy	legitimità
conformity	cunformità
responsibility	respunsabltà
judicial	giudizier
urgency	prëscia
safety	segurëza
sing	cianter
adapt	adater
adopt	adoter
precaution	pruvedimënt
provisional	provisorie
communicate	comunicher
eleven	undesc
ten	diesc
twelve	dodesc
thirteen	tredesc
fourteen	catordesc
fifteen	chindesc
sixteen	seidesc
seventeen	dejesset
eighteen	dejedot
nineteen	dejenuef
twenty-one	vintun
twenty-two	vintedoes
twenty-three	vintetrei
twenty-four	vintecater
twenty-five	vintecinch
twenty-six	vintesies
twenty-seven	vinteset
twenty-eight	vintot
twenty-nine	vintenuef
thirty-one	trentun
thirty-two	trentedoes
thirty-three	trentetrei
thirty-four	trentecater
thirty-five	trentecinch
thirty-six	trentesies
thirty-seven	trenteset
thirty-eight	trentot
thirty-nine	trentenuef
forty	caranta
forty-one	carantun
forty-two	carantedoes
forty-three	carantetrei
forty-four	carantecater
forty-five	carantecinch
forty-six	carantesies
forty-seven	caranteset
forty-eight	carantot
forty-nine	carantenuef
fifty	cincanta
fifty-one	cincantun
fifty-two	cincantedoes
fifty-three	cincantetrei
fifty-four	cincantecater
fifty-five	cincantecinch
fifty-six	cincantesies
fifty-seven	cincanteset
fifty-eight	cincantot
fifty-nine	cincantenuef
sixty-one	sessantun
sixty-two	sessantedoes
sixty-three	sessantetrei
sixty-four	sessantecater
sixty-five	sessantecinch
sixty-six	sessantesies
sixty-seven	sessanteset
sixty-eight	sessantot
sixty-nine	sessantenuef
seventy-one	setantun
seventy-two	setantedoes
seventy-three	setantetrei
seventy-four	setantecater
seventy-five	setantecinch
seventy-six	setantesies
seventy-seven	setanteset
seventy-eight	setantot
seventy-nine	setantenuef
eighty-one	otantun
eighty-two	otantedoes
eighty-three	otantetrei
eighty-four	otantecater
eighty-five	otantecinch
eighty-six	otantesies
eighty-seven	otanteset
eighty-eight	otantot
eighty-nine	otantenuef
ninety	nonanta
ninety-one	nonantun
ninety-two	nonantedoes
ninety-three	nonantetrei
ninety-four	nonantecater
ninety-five	nonantecinch
ninety-six	nonantesies
ninety-seven	nonanteset
ninety-eight	nonantot
ninety-nine	nonantenuef
hour	ëura
validate	cunvalider
revokes	revuchei
violence	viulënza
sometus	sometù
however	cochemei
maximum	mascim
maximum	mascima
imprisonment	mperjunamënt
preventive	preventif
legislative	legislatif
exclusive	estlusif
active	atif
executive	esecutif
productive	produtif
directorial	diretif
subjective	sogetif
explosive	esplosif
equivalent	sostitutif
contributory	cuntributif
definitive	definitif
objective	ogetif
integrative	ntegratif
domicile	domizil
paint	depenjer
verification	azertamënt
fiscal	fischel
special	speziel
secrecy	sucretëza
correspondence	curespundënza
reason	gauje
reconcile	ancunter
also	nce
place	luega
open	daviert
want	volei
rain	plovei
always	scialdi
accustom	aussei
have to	messei
know	savei
lead	condujer
corrupt	corompe
dismiss	desgorjer
colour	entenjer
erect	erjer
break	franjer
yoke	jonjer
annoint	onjer
lose	perdujer
produce	produjer
reduce	redujer
prick	sponjer
put out	sporjer
twist	storjer
tighten	strenjer
clear	terjer
translate	tradujer
it must	méssel
motivated	mutived
easily	bonamenter
otherwise	autramenter
actively	ativamenter
uncritical	acritich
uncritically	acriticamenter
normally	normalmenter
finally	finalmenter
singularly	singolarmenter
regular	regolar
regularly	regolarmenter
inconsolable	inconsolabel
inconsolably	inconsolabelmenter
better	miec
through	anter
also	ence
neither	nience
instead	enveze
then	donca
secret	sucrët
character	carater
prohibited	pruibid
profess	prufesser
creed	crëidum
associated	assozied
treat	trater
cause	gaujer
load	cèria
diffusion	defujion
censorship	zensura
allow	cunzeder
responsible	respunsabl
barely	canche
possible	puscibl
intervention	ntervënt
officer	ufizier
nearly	debota
late	tert
revoke	revucher
financing	finanziamënt
dodge	schiver
patrimonial	patrimuniel
someone	zachei
interest	nterest
procedure	pruzedura
institute	istitut
jurisdiction	giurisdizion
judge	giudesc
prepare	precostitur
journey	jita
regulate	reguler
convention	cunvenzion
defendant	mputat
until	nchin
sentence	straufonga
treatment	tratament
condemned	cundaned
civil	zevil
marriage	matrimone
marry	marider
critical	critich
facilitate	alesirer
instruct	istruir
train	educher
ram	muton
charge	cruzier
compatible	cumpatibl
incompatible	ncumpatibl
much	truep
infancy	nfanzia
youth	junëza
institutional	istituzional
free	debant
sanitary	saniter
violate	viuler
respect	respet
teaching	nseniament
institute	istituir
state	statel
few	zeche
obligation	ublianza
equal	valif
admission	amiscion
conclusion	cuntlujion
rearrangement	reurdinamënt
impart	mpartir
obligatory	ublient
reach	arjonjer
contribution	cuntribut
competition	cuncor
encourage	ncurajer
affirm	afermer
dignified	deniteus
duration	dureda
week	setemena
renounce	renunzier
woman	eila
woman	femena
pay	retribuzion
up to	spieter
essential	essenziel
protection	prutezion
maintenance	manteniment
accident	nzident
illness	malatia
old age	vedleza
unintentional	ulenter
training	vianvieda
organ	organn
trade union	sindacat
official	ufiziel
central	zentrel
register	registrer
represent	reprejenter
proportion	proporzion
contract	cuntrat
collective	culetif
reference	referiment
strike	scioper
exercise	eserziter
initiative	scumenciadiva
control	cuntrol
so that	acioche
address	ndrezer
purchase	comprer
enjoyment	gudiment
accessible	azessibl
succession	suzescion
testamentary	testamenter
heredity	arpejon
reserve	resserver
originally	dantaprima
enterprise	mpreja
fount	funtana
energetic	energich
Polish	polach
baroque	baroch
rational	raziunel
suitable	giust
extension	estenscion
agrarian	agrer
farm	latifont
reconstruction	recostruzion
craft	artejanat
harmony	armunia
production	produzion
savings	sparani
control	cuntroler
access	azess
direct	diret
indirect	ndiret
investment	nvestiment
stock	aziuner
complex	cumplesc
district	zircoscrizion
lack	mancianza
indicate	ndicher
direct	prejenter
petition	petizion
ask	damander
expose	purter
service	servisc
damage	danejer
position	pusizion
expense	speisa
loyal	fedel
observe	usserver
honour	uneur
oath	jurament
section	sezion
voter	litadeura
partition	partizion
assign	assenier
share	spartir
result	resulter
quotient	cuozient
entire	ntier
nominate	numiner
field	ciamp
literary	leterer
lengthen	slunger
February	fauré
October	utober
June	jugn
January	jené
March	merz
August	aost
October	otober
September	setember
Sunday	domenia
Thursday	jebia
Monday	lunesc
Tuesday	mertesc
Wednesday	mercol
Saturday	sabeda
each	uniuno
extraordinary	straurdener
component	cumpunent
office	ufize
regulation	regulament
majority	maiuranza
absolute	assolut
but	purempò
government	guviern
eligibility	litabltà
incompatibility	ncumpatibltà
compatibility	cumpatibltà
judge	giudicher
member	cumember
call	cherder
respond	respuender
opinion	purteda
expression	esprescion
execution	esecuzion
revocable	revucabl
convict	cundaner
sequester	secuestrer
indemnity	ndenità
confer	cunferir
proposal	pruposta
project	proiet
design	dessegn
examine	ejaminer
commission	cumiscion
then	pona
approve	apurver
shorten	scurter
declare	detlarer
reflect	spidler
moment	mument
remit	remander
tenth	diejejim
fifth	cuinto
discussion	descuscion
ratify	ratificher
balance sheet	bilanz
final	cunsuntif
promulgate	promulgher
publish	publicher
different	nstes
term	terminn
different	defrent
message	nutizia
council	cunseliera
reduction	reduzion
participate	parteziper
valid	valeivl
object	oget
ordinary	urdener
conversion	cunverscion
move	tramuder
surrender	seurander
pardon	ndult
apply	aplicher
committed	cumetù
involve	cumporter
report	rendicont
position	nceria
meanwhile	ntant
impediment	mpediment
discharge	dimiscion
long	lonch
decline	destumer
sëuranstà	seurastant
confirm	acrediter
receive	rezever
representative	reprejentant
command	cumando
constitute	costituir
change	muder
honour	uneranza
faculty	facultà
coincide	curespuender
countersignature	contrasotscrit
proposer	propunent
betrayal	tradiment
observance	usservanza
grant	acurder
motion	mozion
contrary	cuntrer
mistrust	desfidenza
sign	sotscriver
coordinate	coordener
competency	cumpetenza
attribution	atribuzion
reorganize	reurganiser
course	andament
job	stiera
promotion	promozion
consular	consuler
auxiliary	ausilier
expert	espert
importance	mpurtanza
finance	finanzier
independence	ndependenza
comparison	cunfront
accountancy	cuntabltà
lawyer	aucat
vice president	vizepresident
employment	assunzion
transfer	trasferiment
honorary	unerer
decision	dezijion
consent	cunsens
distinguish	defrenzier
working	funzionament
implement	atuer
assure	assegurer
inform	nfurmer
engineer	njinier
acquisition	acuisizion
interpreter	nterpret
reason	rejoner
language	lingaz
use	adurver
impossibility	mpuscibltà
assess	azerter
compartment	cumpurtament
motivate	mutiver
pronounce	pronunzier
deflect	desvier
what	ciun
annul	anuler
commune	chemun
town	zità
capital	capitela
Trentino	Trentin
Trento	Trënt
Bolzano	Bulsan
second	segondo
interested	nteressà
interested	nteressé
European	europeich
munitions	munizion
market	marcià
competition	concurenza
resource	ressorsa
legal process	pruzessuel
zealous	lezitent
banknote	zedola
prudence	previdenzia
fundamental	fundamentel
prevention	profilassa
coordination	coordinament
intellect	ntelet
concurrent	concurent
commerce	cumerz
country	paeje
profession	prufescion
support	susten
transport	trasport
distribution	destribuzion
complementary	cumplementer
rural	rurel
land	fundier
normative	normazif
community	comuniter
equivalent	sustitutif
inside	ntern
adequacy	adecuateza
discussion	dejeujament
entry	ntreda
equalizing	perecuatif
minor	mendr
cohesion	coesion
imbalance	desbalanz
objective	obietif
additional	njont
replace	remplazer
danger	pericul
delegate	delegher
so that	sciche
elective	litabl
halt	paussa
commissioner	cumisser
question	cuestion
capital	capoluech
melting	desliament
removal	remozion
distrust	desfideda
contextual	cuntestuel
fusion	fujion
existing	esistent
communal	cumunel
detached	destachel
aggregated	agreghel
end	tiermul
judgment	giudizie
index	indesc
admissibility	pruponibltà
composition	cumposizion
kitten	giatolin
something	zech
fox	bolp
donkey	musciat
language	rujneda
speak	rujné
piece	tòch
man	ël
mountain	crëp
woman	ëila
somewhere	nzaul
black	fosch
now	śën
scythe	fauc
snowless	tarënt
extent	lerch
pillow	plumac
nowhere	iniò
clean	puzné
left-handed	ciancané
outside	dedora
firewood	lënia
wood	lën
lunch	marënda
sweet	giaulon
sweet	bigul
scales	stadiera
ring	varëta
earring	rucin
take	tò
barefoot	deschëuz
light	lesier
heavy	pesoch
uncomfortable	ncomper
of the	dles
community	comunité
obstacle	ostacul
in the	tles
person	porsona
worry	festide
receive	giapé
fever	fiëura
they	ëiles
they	ëi
hay	fën
portal	rëjes
head	cë
blueberry	gialvëija
sacristy	jegher
spare time	aurela
mountain pass	jëuf
sheep	biescia
house	cësa
Venice	Unieja
mënder	pitl
smaller	mënder
neighbor	ujin
sun	surëdl
tongue	lënga
cobbler	calighé
shingle	scintla
match	fulimant
dandelion	pulëntes
hometime	vëis
broom	scuac
broom	ghernea
disorder	scich
floorcloth	berdon da fonz
cloth	berdon
floor	fonz
mushroom	fonch
poison	tuesse
pus	mercia
today	ncuei
vaccine	dlavea
Picea abies	pezuó
Pinus mugo	barancio
steep	ërt
beetle	chëifer
firefly	chëifer dala lum
ladybird	chëifer dla Madona
Madonna	Madona
bet	mëter pën
expense	spëisa
hazelnut	linciola
eaves	straport
often	suvënz
often	suënz
