dog	koira
drunkard	joomari
skirt	jupka
strength	jõutu
rabbit	jänez
thunder	jürü
tale	kaaska
pants	kaatsad
hoof	kabja
neck	kagla
collar	kagluz
oat	kagra
birch	kahtši
seagull	kajaga
fisherman	kalanikka
carriage	kaľaska
communist	kamunista
cloth	kangaz
cannabis	kańevo
shepherd	karjušši
dew	kasõ
juniper	kataga
cover	katõ
growth	kazvo
whale	kittrõõba
stove	kiukka
bark	koori
load	koorma
pocket	kormuna
sack	kotikko
bag	kotti
paint	krazguz
mole	krotta
rooster	kukkõ
mug	kukšina
darling	kullaz
king	kunikaz
knife	kuraz
crane	kurtši
Wednesday	kõlmaispäivä
ear	kõrva
width	laďďuuz
laziness	laiskuz
sheep	lammaz
ceiling	latši
steam	löülü
resin	vaikko
Tuesday	tõinõpäivä
village	tšülä
villager	tšüläläin
bee	tšimo
axe	tširvez
flea	tširppu
shirt	tšiutto
stone	tšivi
shoe	tšentšä
hill	mätši
spring	tševäd
beauty	ilozuz
key	võtii
beer	õlud
character	tširjai
crow	varõz
horsetail	õźźa
Vote	vaďďalain
man	meez
one	ühsi
woman	staruha
river	jõtši
good	üvä
cheese	juusso
hard	kõva
fault	süü
be	õlla
step	assua
stay	jäävvä
freeze	jäättüä
drink	juvva
shepherd	kaittsaa
grow	kazvaa
walk	tšävvä
call	kuttsua
ask	tšüsüä
be going to	leevvä
find	leütää
create	luvva
hit	lüvvä
read	lukõa
sleep	magata
marry	naďďa
laugh	nagraa
see	nähä
sew	õmmõlla
learn	õppia
buy	õssaa
eat	süvvä
row	sõutaa
be born	süntüä
know	täätää
do	tehä
bring	tuvva
carry	viijjä
defeat	võittaa
take	võttaa
dear	armaz
silently	iľľaa
tall	kõrkõa
cold	tšülmä
warm	lämmii
frenzied	meeletoo
straight	õikõa
dark	pimiä
red	punanõ
second	tõin
white	valkõa
cabbage	kapussa
glass	klazi
fortress	kreeposti
bowl	laatko
perch	ahvõn
evening	õhtago
hot	iili
sweat	itši
silver	õpõa
gum	itšee
tongue	tšeeli
middle	tšehsi
summer	tšesä
nail	tšüüsi
tear	tšüünel
house	kõta
wave	lainõ
shovel	lapia
town	lidna
liver	mahsa
forest	mettsä
mind	meeli
sorrow	murhõ
sell	müvvä
turnip	nagriz
meadow	neemi
brook	õja
branch	õhsa
shoulder	õlka
hay	õltši
luck	õnni
field	põlto
arse	perze
bottom	põhja
cheek	põski
hail	ragõ
fat	razva
back	seltšä
sinew	sooni
finger	sõrmi
war	sõta
roach	särtši
autumn	sütšüzü
sky	taivaz
grouse	tedri
copper	vahtši
side	veeri
knife	veittsi
year	voosi
people	vätši
son-in-law	vävü
two	kahsi
three	kõlmõd
four	neľľä
seven	seitsee
eight	kahõsaa
nine	ühesää
ten	tšümmee
zero	noľ
eleven	ühstõššõmõtta
twelve	kahstõššõmõtta
thirteen	kõlmtõššõmõtta
fourteen	neľľätõššõmõtta
fifteen	viistõššõmõtta
sixteen	kuustõššõmõtta
seventeen	seitseetõššõmõtta
eighteen	kahõsaatõššõmõtta
nineteen	ühesäätõššõmõtta
twenty	kahtšümmettä
twenty-one	kahtšümmettühsi
twenty-two	kahtšümmettäkahsi
red	ruskõa
thousand	tuhad
hair	ivuz
tail	äntä
dear	kalliz
holy	pühä
witch	nõita
hunger	nältšä
squirrel	õrava
health	tervüüz
height	kõrkõuz
which	kumpa
tar	tõrva
lynx	ilvez
know	tuntõa
soup	leemi
warp	lõimi
bird cherry	toomi
small	peeni
green	viherä
grindstone	pöörä
long	pittšä
wire	traatti
dance	tanttsu
book	tširja
mute	ńemoi
gentle	ellä
alive	eloza
Estonian	virolain
wait	oottaa
knot	sõlmu
soft	pehmiä
blind	sõkõa
bitter	karkõa
sweet	makõa
clear	seltšiä
sore	tšipiä
bold	rõhkõa
flat	lakõa
merry	veitšiä
taut	tširiä
wet	kõssõa
be ill	läsia
thick	jämiä
left	kurõa
evil	ätšiä
dictionary	sõnatširja
aapaobahka	aabobahka
nut	pähtšinä
