where	on
him	li
causative	ne
himself	se
jar	pot
it	ho
bread	pa
floor	pis
you	tu
koala	coala
Ω	omega
white	alb
vice	vici
benefit	profit
obvious	manifest
labour	labor
fat	gras
accusation	acusació
accuse	acusar
Protestant	protestant
rock music	rock
boy	noi
hey	ei
bull	toro
accustom	acostumar
alphabetical order	ordre alfabètic
bitterness	amargura
digest	pair
radio	ràdio
accredit	acreditar
head	testa
Los Angeles	Los Angeles
earthenware	pisa
patch	clap
spigot	tap
Hanover	Hannover
Σ	sigma
Τ	tau
Ψ	psi
wind	vent
snake	serpent
barium	bari
violin	violí
fountain	font
candle	candela
yes	sí
flow	flux
un-	in-
musical	músic
be	ser
bow	arc
luck	sort
larger	major
body	cos
near	proper
forehead	front
pope	papa
there	allí
here	aquí
there	ahí
song	cant
àcid desoxiribonucleic	ADN
potato	patata
know	saber
father	pare
zenith	zenit
east	est
spring	primavera
harmony	harmonia
rose	rosa
doorbell	timbre
Dari	dari
property	local
nebula	nebulosa
winch	argue
poet	poeta
great-aunt	bestia
lane	via
wasp	vespa
magnifying glass	lupa
act	acte
cafe	cafeteria
blue	blau
fair	just
zone	zona
your	ton
snow	neu
north	nord
uncultured	rude
end	final
via	per
already	ja
car	auto
Saint Petersburg	Leningrad
flight	fuga
goat	cabra
modus	mode
well	pou
you	vós
you	vos
we	nós
us	nos
winepress	cup
sing	cantar
buy	comprar
sleep	dormir
hello	hola
ice	gel
divide	partir
shine	polir
hatred	odi
rope	corda
reindeer	ren
good	bon
goddess	dea
nature	natura
Mongolian	mongol
abolish	abolir
present	actual
grey	gris
pear	pera
library	biblioteca
nape	nuca
oasis	oasi
goose	oca
dog	gos
calendar	agenda
try	intent
wide	ample
come on	apa
invention	invent
sail	vela
cheap	barat
ribbon	cinta
beloved	amat
bastard	bord
child	infant
annal	annals
old	antic
shoulder	muscle
illegitimate	bastard
future	futur
lukewarm	tebi
too much	massa
date	datar
anti	anti-
turnip	nap
vitamin	vitamina
letter	carta
nickel	níquel
theme	tema
wave	ona
great-	re-
blind	orb
counter-	contra-
hand down	llegar
work	funcionar
fourth	quart
bee	abella
cooking-pot	olla
petrol	gasolina
yard	iarda
crop	pap
near	prop
center	centre
whiskey	whisky
say	dir
end-	endo-
strict	sever
milling cutter	fresa
horn	corn
prophet	profeta
minute	nimi
paste	pasta
benefit	pro
beginning	principi
bench	banca
morals	moral
cold	fred
abound	abundar
abuse	abusar
upright	honest
marten	mart
dense	dens
Swedish	suec
adapt	adaptar
admire	admirar
adore	adorar
tendency	tenor
on	sobre
chaos	caos
fixed	fix
piece	aliment
euphemism	eufemisme
shake	agitar
dey	dei
like	agradar
agriculture	agricultura
wing	ala
date	data
enjoy	disfrutar
dawn	alba
albatross	albatros
emperor	emperador
earth	terra
catapult	catapulta
-ness	-or
entire	enter
pirate	pirata
tooth	dent
geometry	geometria
net	web
people	gent
rage	ira
Ϡ	sampi
government	govern
Ϙ	koppa
box	caixa
wide	vast
drug	droga
money	diner
air	aire
reserve	reservar
bottom	cul
egg	ou
raw	cru
whale	balena
Jacobean lily	lis
teacher	monitor
idiotic	idiota
-cide	-cida
hour	hora
astrology	astrologia
astronomy	astronomia
train	tren
western	occidental
teacher	professor
white	blanc
rock	roc
forward	avant
menu	menú
foot	peu
magician	mag
lie	mentir
sack	sac
voucher	val
field	camp
rod	vara
uncle	tio
aunt	tia
maths	mates
fuero	fur
of	d'
photograph	fotografia
weight	pes
stake	pal
checkmate	mat
cavern	caverna
anti-Semitic	antisemita
dung	merda
plate	plat
sad	trist
prohibition	veda
sense	sentir
-able	-ible
mud	fang
pint	pinta
will	testament
favour	favor
silk	seder
the	l'
flu	grip
stream	doll
all	tot
unfaithful	infidel
pig	porc
cool	fresca
smallholder	camper
giraffe	girafa
cedilla	Ç
new	novell
storm	temporal
awakener	despertador
abbot	abat
absolute	absolut
airport	aeroport
deadly	mortal
horror	terror
look	mirar
soot	mascara
eye	ull
cardamom	cardamom
author	autor
fly	mosca
coin	moneda
send	enviar
mass	misa
cultivate	cultivar
kill	matar
ghost	fantasma
doorman	porter
seek	buscar
memory	record
cabbage	col
Gypsy	gitano
auxiliary verb	haver
pool	toll
monkfish	rap
shovel	pala
felling	tala
badge	divisa
sword	espasa
prose	prosa
domestic cat	mix
shade	ombra
first	primer
peseta	pela
tip	punta
jump	saltar
scratch	rascar
stop	parar
breeze	brisa
think	pensar
main	principal
short	curt
customer	client
shepherd	pastor
delegate	delegar
hydrogen	hidrogen
lower	inferior
higher	superior
circulate	circular
wingback	lateral
son	fill
existing	existent
treble	triple
detest	detestar
hate	odiar
something	algo
task	tasca
brake	frenar
boron	bor
Europe	Europa
throat	gola
pickaxe	pic
I	jo
alphabet	alfabet
castell	pilar
fig	figa
burning	ardent
slang	argot
wheat	blat
pit	clot
basket	cove
vagina	cony
he	ell
flour	farina
fermium	fermi
fillet	filet
flan	flam
tuft	floc
bagpiper	gaiter
rooster	gall
distomatosis	gam
washbasin	lavabo
luxury	luxe
mace-bearer	macer
framework	marc
middle	mig
dwarf	nan
pole	pol
thin	prim
receipt	rebut
salt pan	salina
salary	sou
tapir	tapir
disk	disc
hammer	mall
edge	marge
heron	martinet
myth	mite
radish	rave
serviceberry	server
value	valor
clamor	clam
never	mai
silver	argent
Vietnamese	vietnamita
ferry	bac
burial	sepultura
full	tip
news	nova
time	temps
Japanese	japonès
meme	mem
whether	sia
gas natural	gas natural
fluff	borra
cat	gat
however	però
November	novembre
stock exchange	borsa
hairless	mec
horseshoe	ferradura
yes	hoc
shrimp	gamba
who	qui
amethyst	ametista
rebellious	rebel
calm	tranquil
my	mon
gall	fel
ode	oda
melody	melodia
queen	reina
teenager	adolescent
conductor	director
real	veritable
e.g.	p. ex.
cause	causa
varying	variant
enter	entrar
coconut	coco
obvious	evident
Alaska Peninsula	Alaska
argon	argó
inventive	inventor
person	persona
April	abril
unlikely	improbable
strong	fort
zoology	zoologia
private	particular
eastern	oriental
ruling	rector
relative	familiar
abbreviation	abreviatura
frontal bone	frontal
rear	dorsal
telephony	telefonia
scythe	dalla
die	dau
thousand	mil
beauty queen	miss
sand	arena
sea anemone	anemone
present	regal
this	este
firefighter	bomber
redo	refer
mangrove	mangle
such	tal
island	illa
Soviet	soviet
buyer	comprador
sell	vendre
end	finir
partner	consort
bench	banc
guiding	guia
fist	puny
container	recipient
iron	ferro
orphan	pupil
band	banda
boat	barca
bar	barra
virgin	verge
breeze	aura
unplanned	casual
European Union	UE
big	gran
criminal	penal
sentient	sensible
universe	cosmos
cauldron	caldera
cavity	buc
powerless	impotent
taste	gust
poorly	mal-
marine	mariner
bridge	pont
left hand	sinistra
kind	gentil
relevant	pertinent
straw	palla
touch	toc
psychology	psicologia
high	alt
open-mid	`
phenyl	fenil
almost	quasi
form	forma
oar	rem
bassoon	fagot
dude	paio
take	prendre
problem	problema
meadow	prat
mine	mina
inhabitant	habitant
deep	fondo
phoneme	fonema
finish	terminar
energy	energia
Gaulish	gal
bit	gens
adverb	-ment
punishment	pena
bribery	suborn
bulk	bony
crazy	boig
eyepiece	ocular
null	nul
precursory	precursor
thing	cosa
revolting	repugnant
flute	flauta
helmet	elm
goal	gol
methane	metà
office	oficina
die	finar
fly	volar
ecology	ecologia
trick	basa
give	donar
round	ronda
work	laborar
fine	multa
fantasy	fantasia
carry	portar
sketch	croquis
turn	tomb
castell	plena
stay	restar
the	ses
note	notar
cry	plorar
absinthe	absenta
economy	economia
forbidden	prohibit
point	punt
note	apuntar
always	sempre
bring forward	anticipar
jury	jurat
Ρ	ro
come	venir
between	entre
canteen	cantina
tide	marea
conduct	comport
haunch	anca
summon	citar
tax	impost
late	tard
vomit	vomitar
taste	gustar
go out	sortir
heavens	firmament
good-looking	guapo
budgerigar	periquito
smoke	fumar
atmosphere	ambient
tight	tes
sight	vista
logistics	logística
bell	campana
peal	campanada
clone	clon
sin	pecar
thulium	tuli
varous	var
potassium	potassi
touch	tocar
zombie	zombi
infinitive	-ir
parasol mushroom	paloma
useful	útil
usurp	usurpar
use	usar
anoint	untar
urgent	urgir
urn	urna
locate	ubicar
insult	insultar
overseas	ultramar
ululate	ulular
reading	lector
incomplete	incomplet
obtain	obtenir
premium	prima
small	petit
trading card	cromo
five	cinc
geography	geografia
affair	afer
complete	cabal
bestseller	best-seller
they	elles
proverb	dita
-an	-à
postcard	postal
theory	teoria
name	nom
crisis	crisi
triangulate	triangular
weather strip	rivet
window	finestra
atmosphere	atmosfera
fortune	fortuna
mastitis	mastitis
here	ça
finish line	meta
cow	vaca
moo	mugir
demand	exigir
elephant	elefant
punctuate	puntuar
necktie	corbata
alpha	alfa
saxophone	saxofon
digit	número
pronoun	pronom
favourable	favorable
finish	acabar
discover	descobrir
jealousy	gelosia
plaza	plaça
hen	gallina
chain	cadena
remove	llevar
savannah	sabana
taste	sabor
jackfruit	jaca
Jesus	Jesús
day	jornada
have	tenir
retire	jubilar
play	jugada
player	jugador
October	octubre
jungle	jungla
Jupiter	Júpiter
swear	jurar
justifiable	justificable
justify	justificar
juvenile	juvenil
case	cas
remain	quedar
life	vida
keel	quilla
chimera	quimera
kimono	quimono
Argand lamp	quinqué
fifth	quinta
absolve	quitar
bring closer	acostar
understand	entendre
contaminating	contaminant
strike	vaga
throw	tirar
back	dors
lacking	faltar
mass	missa
medicine	medicina
belly	ventre
serve	servir
diverse	divers
diamond	diamant
culture	cultura
mouth	boca
black	moreno
genius	genial
twenty	vint
herb	herba
order	ordre
snowfield	nevera
wineskin	botella
doline	dolina
gender	sexe
Mary	Maria
protective	protector
school	escola
referencing	referent
road	carretera
route	ruta
border	frontera
each	cada
walk	caminar
pain	dolor
breathe	respirar
to the	als
call	brill
delirium	deliri
wedding	boda
finite	finit
animate	animat
percent	per cent
translator	traductor
beaver	castor
Hagar	Agar
Esther	Ester
Gallus	Gal
John	Joan
Moon	Luna
Mark	Marc
Marcellus	Marcel
Marius	Mari
Mars	Mart
Nile	Nil
pope	Papa
Ruth	Rut
Earth	Terra
white	clara
husband	marit
Maori	maori
palace	palau
tunic	tonga
savior	salvador
peak	auge
Farsi	farsi
pronounce	pronunciar
linguistics	lingüística
baron	baró
here	ací
creature	creatura
Norway	Noruega
cyan	cian
Khmer	khmer
Manx	manx
choose	elegir
unite	unir
lay	pondre
medium	medi
snowfall	nevada
sleepy	somnolent
demanding	exigent
gather	reunir
meeting	reunió
heat	calor
kaput	caput
build	construir
prohibit	prohibir
Guaraní	guaraní
Islam	islam
nation	nació
planet	planeta
Hindi	hindi
Interlingua	interlingua
guilty	culpable
olive tree	oliver
show	demostrar
continue	continuar
study	estudiar
against	contra
wych-elm	oma
argue	argüir
die	morir
Kazakh	kazakh
Islam	Medina
register	registrar
destroy	destruir
madder	roja
boil	bullir
agree	acordar
futbol club	FC
towards	envers
regrettable	lamentable
victim	víctima
war	guerrilla
learnt	après
dissenting	dissident
play	jugar
salt cellar	saler
Diplodus sargus	sarg
respected	reverend
sine	sinus
born	nat
flow	fluir
true	cert
crime	crim
governing	regent
emotion	sentiment
assistant	assistent
search	cerca
mandarin orange	mandarina
team	equip
parliament	parlament
sixth	sext
yen	ien
separate	separat
under	sota
cricket	grill
now	ara
abbatial	abacial
gem	gemma
football	futbol
hold	bodega
able	poder
convenient	expedient
Gujarati	gujarati
correspond	correspondre
prisoner	pres
tube	tub
modulate	modular
grimace	carota
quadrilateral	tetragonal
verbatim	textual
wear	estrenar
want	voler
sphere	esfera
prostitute	puta
gross	cras
boundary	terme
flat	planer
file	fila
number	nombre
Arum	rapa
raincoat	impermeable
so much	tant
levitate	levitar
Brutus	Brut
wait	esperar
show	mostrar
mound	mota
thunder	tro
bus	autobús
dance	dansa
December	desembre
damselfish	tuta
cut down	talar
available	disponible
fetter	trava
mark	nota
footpath	senda
hole	sitja
add	sumar
fact	fet
Levant	Palestina
bitt	bita
Uzbek	uzbek
steel	acer
guardian	tutor
shot	tir
ninth	novena
ink	tinta
prize	premi
unwise	imprudent
teaching	docent
cloth	tela
degree	grau
recruit	recluta
carafe	garrafa
superfluous	superflu
post	posta
pure	pur
AIDS	sida
castle	castell
powerful	potent
turbot	turbot
Anguilliformes	anguila
loan	prestar
face	cara
donkey	ase
suffice	bastar
trimester	trimestre
globe	globus
pearl	perla
photograph	foto
mammoth	mamut
Swahili	suahili
count	comte
lawsuit	demanda
gulp	glop
leg	cama
attitude	actitud
pleasant	agradable
aspiring	aspirant
gene	gen
Buddha	Buda
emphatic	rotund
cream	nata
reflected	reflex
chapel	capella
classroom	aula
star	estrella
semester	semestre
include	comprendre
order	manar
suitcase	maleta
reading	lectura
republic	república
way	manera
official	oficial
protest	protesta
programme	programa
correspondent	corresponsal
initiative	iniciativa
mermaid	sirena
visit	visita
young	jove
leader	líder
report	informe
arrest	arrestar
live	residir
indicate	indicar
present	presentar
sign	firmar
exist	existir
decide	decidir
add	agregar
expel	expulsar
rule out	descartar
integrate	integrar
arrive	arribar
identify	identificar
carry out	efectuar
participate	participar
comply	acatar
depict	figurar
protest	protestar
modify	modificar
capture	capturar
coordinate	coordinar
insist	insistir
explain	explicar
relate	relacionar
charge	cobrar
produce	operar
control	controlar
announce	anunciar
intervene	intervenir
prepare	preparar
interpret	interpretar
attack	atacar
implement	implementar
consider	considerar
deserted	erm
company	empresa
riverbank	ribera
criticism	crítica
tour	gira
step	etapa
investor	inversor
fear	temor
echo	eco
figure	figura
claim	reclamar
interview	entrevista
unending	interminable
journalist	periodista
fork	forca
turtle	tortuga
rout	derrota
analyst	analista
vote	votar
remember	recordar
tell	contar
mean	significar
populate	poblar
negotiate	negociar
discuss	disputar
curtain	cortina
cupboard	aparador
lump hammer	maceta
coffeemaker	cafetera
bolt	balda
television set	televisor
pipe	pipa
armchair	butaca
entry	entrada
racket	raqueta
silk	seda
melodramatic television	culebrot
Monday	dilluns
tourist	turista
patio	pati
Tuesday	dimarts
break	rompre
phrase	frase
politics	política
rule	regla
mahogany	caoba
declare	declarar
inform	informar
start	iniciar
arm	armar
pacifist	pacifista
socialist	socialista
rewarding	recompensa
battle	batalla
occupy	ocupar
escape	escapar
lead	liderar
feign	afectar
represent	representar
founding	fundador
bury	sepultar
offer	oferta
chase	perseguir
follow	seguir
embark	embarcar
posture	postura
formula	fórmula
talk	conversar
confirm	confirmar
denote	denotar
act	actuar
calm	calmar
extend	ampliar
warn	advertir
discuss	discutir
schedule	programar
celebrate	celebrar
save	salvar
decrease	disminuir
investigate	investigar
bomb	bomba
detonate	detonar
show	exhibir
provoke	provocar
cure	curar
exam	examen
diagnose	diagnosticar
determine	determinar
recover	recuperar
publish	publicar
reveal	revelar
stand out	destacar
palm tree	palma
vein	vena
opposition	opositor
matter	importar
punish	castigar
opine	opinar
perpetrate	perpetrar
ask	preguntar
apply	aplicar
compare	comparar
constitute	constituir
facilitate	facilitar
darkness	tenebra
concentrate	concentrar
activate	activar
princess	princesa
limousine	limusina
congregate	congregar
last	durar
troop	tropa
brigade	brigada
dominate	dominar
footballer	futbolista
rubber	goma
cistern	cisterna
gangplank	palanca
height	altura
Aryan	ari
sharpen	afilar
per els	pels
document	documental
cause	causar
mark	marcar
shoot	disparar
combine	combinar
unleash	desencadenar
farmhouse	mas
lane	carril
system	sistema
divide	dividir
impel	impulsar
pick	seleccionar
link	vincular
characteristic	característica
origin	origen
screen	pantalla
inkwell	tinter
look	mirada
voter	votant
take away	retirar
shape	formar
separate	separar
confirm	afirmar
complete	completar
found	fundar
bother	molestar
summon	convocar
silent	callar
painter	pintor
excuse	disculpar
visa	visar
thirty	trenta
fifty	cinquanta
distribute	distribuir
benefit	beneficiar
try	intentar
speculate	especular
oven	forn
ban	vedar
lady	dama
halide	halur
float	flotar
fold	barda
rigour	rigor
vigour	vigor
virile	viril
big	gros
sweep away	arrasar
spout	broc
weld	soldar
bounce	botar
bounce	rebotar
drop	gota
candy	caramel
difficult	difícil
take	aguantar
meningitis	meningitis
tavern	taverna
fluorine	fluor
dumbbell	halter
thank you	merci
special	especial
Esperanto	esperanto
jellyfish	medusa
vine	cep
devil	diable
equal	igual
lower	menor
sport	deport
brown	bru
pronunciation	pronúncia
European	europeu
weigh	pesar
tire	cansar
rest	descansar
bury	colgar
defect	tara
urine	orina
fourth	quarta
press	trull
unsolvable	insoluble
masterful	magistral
fire	foc
breakable	frangible
influential	influent
universe	univers
girl	nena
after	después
flag	bandera
crag	cingle
frieze	fris
waltz	vals
worth	valer
motorcycle	moto
pretend	fingir
etymology	etimologia
Ador	adorer
hunger	gana
mayor	alcalde
laminary	laminar
sex	vainilla
lose	perdre
delicate	delicat
piece of furniture	moble
anger	enfadar
silliness	doi
plant	plantar
care	cuidar
work	obra
assign	atribuir
northern	boreal
celestial	celeste
fencing	esgrima
poor	pobre
red poppy	ababol
broach	abordar
wool	llana
orgasm	orgasme
teth	tet
south	sud
sentence	sentenciar
thread	bri
regulate	arreglar
irritating	irritant
hump	gep
pullet	polla
Aphrodite	Afrodita
Somali	somali
postman	carter
fault	culpa
bush	arbust
copy	exemplar
dictate	dictar
spring	molla
defrost	descongelar
agreement	acord
simply	simplement
stratosphere	estratosfera
group	agrupar
drum	timbal
mess	embolic
Fula	ful
intensive care unit	UCI
kiss	besar
count	compte
articulate	articular
rupee	rupia
food	teca
coastal	litoral
address	adreça
internal	intern
vaccine	vacuna
vaccinate	vacunar
roam	vagar
value	valorar
fan	vano
secular	laic
predict	vaticinar
plant	vegetal
educate	educar
flaming	flagrant
widow	viuda
square	quadrat
rainforest	selva
rope	soga
dig	cavar
cart	carro
snore	roncar
indigenous	indígena
motorcycle	motocicleta
language	idioma
organist	organista
administrator	administrador
controller	controlador
plain	plana
irrigation ditch	rec
branches	ramada
hobbit	hòbbit
parietal bone	parietal
club	garrot
winged	alat
northern	septentrional
get on	avenir
share	compartir
computer	ordinador
Cambodia	Cambodja
act	acta
spire	cuculla
celery	api
pornography	pornografia
trench	rasa
crowd	flota
spongy	fofo
linear	lineal
beak	bec
dismiss	aviar
pistol	pistola
shotgun	escopeta
oil	oli
fishpond	piscina
pay	pagar
boy	nen
celebration	festa
sky	cel
brand	marca
enormous	enorme
appreciate	apreciar
flying	volant
fuel	combustible
class	classe
keep	guardar
yoke	jou
mind	ment
peregrinate	peregrinar
rule	norma
kore	cora
frying pan	paella
cup	copa
king	rei
nicotine	nicotina
rare	rar
corduroy	pana
nun	monja
uncomparable	incomparable
history	història
their	llur
wood	fusta
more	més
place	lloc
fog	boira
column	columna
solve	solucionar
bite	picar
wild animal	fera
rhyme	rima
steep	rost
tighten	tesar
sister	sor
trunk	soca
valley	vall
shift	tanda
freckle	piga
tent	tenda
mulatto	mulat
pore	porus
navy	armada
manager	gestor
saltwort	sosa
shah	xa
whoa	xo
endocarditis	endocarditis
skin	pell
tread	pisar
turn	girar
greedy	avar
close-cropped	ras
receptive	receptor
give birth	parir
austere	auster
wall	mur
bundle	manat
potato	pataca
sugar	sucre
beam	biga
ebb	reflux
unrefined	brut
layer	capa
barrel	barril
lamina	limbe
tongue	llengua
grain	gra
game	joc
wife	muller
smell	olor
mole	talp
snake	serp
speech	parla
juice	suc
hide	ocultar
Komi	komi
bend sinister	tallat
nose	nas
short	breu
sell	fiar
saddle	sella
Semitic	semita
mallow	malva
crane	grua
instructive	instructor
pupil	nina
buoy	boia
burner	fogó
punish	punir
urinate	orinar
faun	faune
eyebrow	cella
cable car	funicular
see	veure
lack	manca
nest	niu
edge	vora
measurement	mida
damage	dany
keyboard	teclat
bottle	ampolla
yellow	groc
up	muntar
sounder	sonda
wax	cera
friend	amic
smoke	fum
daughter-in-law	nora
scabies	sarna
initial	sigla
rue	ruda
nowhere	almón
minute	minut
rob	robar
fog	neula
crepe	crep
tame	domar
clay	greda
go	anar
yesterday	ahir
lithium	liti
our	nostre
temeñ	temen
fervor	zel
wine cellar	cava
cove	cala
tower	torre
reason	raó
butter	mantega
callus	mula
swallow	papar
dermis	derma
taking	duta
perennial	perenne
reflective	reflector
light	llum
mud	llot
downside	inconvenient
beach	platja
cinema	cine
leather	cuir
hear	oir
footpath	sender
shield	escut
free	lliure
mutual	mutu
review	revistar
visit	visitar
fish	pescar
cost	costar
grave	fossa
invite	invitar
paint	pintar
recycle	reciclar
obvious	obvi
arma blanca	arma blanca
coal	brasa
heavy	greu
thievery	furt
living	viu
thorium	tori
cubism	cubisme
spades	piques
deadline	termini
denarius	denari
schooner	goleta
tale	conte
pianist	pianista
mute	mut
pen	cort
fallow deer	daina
use	ús
vote	vot
act	agir
claw	grapa
wick	ble
entrust	confiar
soldier	soldat
nurse	criar
summit	cima
redeem	redimir
tool	eina
bark	bordar
secrecy	sigil
clothe	vestir
waist	cintura
cut	tallar
ochre	ocre
crab	cranc
ivory	marfil
firm	ferm
change	mudar
happy	alegre
lame	ranc
sense	sentit
tomb	tomba
raspberry	gerd
impulsive	impulsor
convert	convertir
erbium	erbi
spit	ast
melt	fondre
ess	essa
spin	gir
sly	murri
come again	revenir
put	posar
farm	granja
abbey	abadia
pulp	polpa
European pilchard	sarda
European pilchard	sardina
example	exemple
World War II	Vichy
weighing	pesada
race	carrera
probably	probablement
how many	quant
paw	pota
toast	brindar
stutter	quec
folktale	cuento
tobacco	tabac
anomaly	anomalia
match	misto
hill	collet
sweet potato	batata
capable	incombustible
mad	foll
mint	menta
leek	porro
domain	domini
saint	sant
full	ple
Greek	grec
consist	constar
ebony	eben
Russian	rus
raising	cria
minister	ministre
turkey hen	tita
immense	immens
stain	taca
girl	noia
ball	bola
circle	cercle
Christmas carol	nadala
potash	potassa
order	orde
damage	avaria
cap	gorra
subtle	subtil
queer	marica
shit	cagar
Celtic	celta
sickle	falç
park	parc
explainable	explicable
marble	marbre
interrupt	interrompre
ideology	ideologia
choice	tria
Iyar	iar
membrane	membrana
slobber	bava
pale	partit
thought	pensa
French horn	trompa
lilac	lila
fuck	follar
eight	vuit
twelve	dotze
thirteen	tretze
fourteen	catorze
sixteen	setze
seventeen	disset
eighteen	divuit
nineteen	dinou
twenty-one	vint-i-u
look	mira
bobbin	bobina
branch	branca
appetizer	entrant
Korea	Corea
Englishman	anglès
Caesar	César
speck	volva
bright	brillant
riyal	rial
mockery	burla
packet	paquet
cabin	cabina
soak	calar
exit	sortida
canapé	canapè
canoe	canoa
enjoy	gaudir
win	guanyar
win	vèncer
victory	victòria
use	utilitzar
call	clamar
yell	cridar
conspiracy	complot
strap	tirant
similar	semblant
Kurdish	kurd
keel	carena
suitable	idoni
quit	eixir
forest	bosc
contain	contenir
biased	partidista
mortgage	hipoteca
disulfide	disulfur
the	els
recurring	recurrent
person	individu
living	vivent
turn	tombant
misty	boirós
misty	bromós
joke	broma
tax	taxa
hope	esperança
Catalan	Adalbert
shank	garra
prow	proa
abdicate	abdicar
unpunished	impune
uncle	tiet
fava bean	fava
hemlock	cicuta
cirrhosis	cirrosi
poem	poema
abnormal	anormal
sail	aspa
botched job	nyap
tolerate	tolerar
politeness	cortesia
vehicle	vehicular
saleable	vendible
rest	resta
uncle	oncle
print	imprimir
nice	grat
motto	lema
pet	mascota
painting	pintura
adrenaline	adrenalina
bowl	conca
dune	duna
tuberose	nard
capitalism	capitalisme
walking	ambulant
misuse	abusen
enchant	encantar
similar	símil
region	contrada
camp	acampar
acclaim	aclamar
accumulate	acumular
administer	administrar
adopt	adoptar
adorn	adornar
go	acudir
applaud	aplaudir
consume	consumir
define	definir
depress	deprimir
persist	persistir
persuade	persuadir
preside	presidir
presume	presumir
alarm	alarmar
feed	alimentar
alter	alterar
separate	apartar
argue	argumentar
aspire	aspirar
capture	atrapar
calculate	calcular
comment	comentar
compensate	compensar
compile	compilar
condense	condensar
shape	conformar
confront	confrontar
conquer	conquistar
preserve	conservar
console	consolar
consult	consultar
contemplate	contemplar
contaminate	contaminar
answer	contestar
decorate	decorar
declare	denunciar
derive	derivar
disfigure	desfigurar
vacate	desocupar
detect	detectar
devour	devorar
divorce	divorciar
double	doblar
elevate	elevar
eliminate	eliminar
engender	engendrar
interview	entrevistar
listen	escoltar
avoid	evitar
exaggerate	exagerar
check	examinar
excuse	excusar
exhale	exhalar
extirpate	extirpar
miss	fallar
fascinate	fascinar
fertile	fecundar
chat	formular
fracture	fracturar
frustrate	frustrar
spend	gastar
honor	honrar
know	ignorar
imagine	imaginar
imitate	imitar
implant	implantar
incorporate	incorporar
increment	incrementar
infect	infectar
ignite	inflamar
inspect	inspeccionar
inspire	inspirar
invent	inventar
irritate	irritar
limit	limitar
ripen	madurar
handle	manejar
manipulate	manipular
observe	observar
pick	optar
pray	orar
patrol	patrullar
penetrate	penetrar
pardon	perdonar
last	perdurar
perfect	perfeccionar
specify	precisar
deprive	privar
procreate	procrear
wash	rentar
repair	reparar
result	resultar
greet	saludar
vibrate	vibrar
monitor	vigilar
violate	violar
provide	proporcionar
bore	perforar
transport	transportar
deactivate	desactivar
hinder	dificultar
cowrie	cauri
well	bé
pack	abarrotar
abominate	abominar
abbreviate	abreviar
hoard	acaparar
accommodate	acomodar
round up	acorralar
prepare	adobar
flatter	adular
adultery	adulterar
refine	afinar
emerge	aflorar
adjust	ajustar
praise	alabar
make happy	alegrar
alert	alertar
alienate	alienar
line up	alinear
engrave	gravar
orient	orientar
knead	pastar
harvest time	messes
knock down	aterrar
blow	bufar
comb	cardar
narrate	narrar
work	obrar
cause	ocasionar
oppress	oprimir
adorn	ornamentar
display	ostentar
oxygenate	oxigenar
oxidize	oxidar
pact	pactar
patent	patentar
