he	sun
guest	kyessi
tent	kuáti
shoulder	lyepi
polypore	čááná
paternal uncle	čeeci
palate	kyemi
reed	ruáhu
fish	cuoppâ
soot	kiepâ
salmon	luosâ
speech	saahâ
danger	vaarâ
line	orrâ
mitten	vaccâ
future	saasâ
window	laasâ
lamp	kaasâ
rotten	kuocâ
penis	puočâ
true	tuotâ
horse	riehâ
noise	stoohâ
kin	suuhâ
corner	čiehâ
law	laahâ
brother-in-law	maahâ
barn	riihâ
tip	keeči
coal	čiđđâ
spring	kiđđâ
fishnet	ciccâ
cleavage	uccâ
freshly	voccâ
night	ijjâ
sedge	kuojâ
pus	siejâ
butter	vuojâ
people	viehâ
mind	mielâ
arrow	njuolâ
fathom	sollâ
direction	sullâ
fire	tullâ
pile	čummâ
fish	čuomâ
bird cherry	tuomâ
voice	jienâ
plot	juonâ
lichen	konnâ
ash	kunnâ
fjord	vuonâ
old	saanjâ
lingonberry	juŋŋâ
condition	ruoŋâ
pumice	tiŋŋâ
pubic hair	sieppâ
corner	soppâ
sheath	tuppâ
father-in-law	vuoppâ
cheek	nierâ
winter	rađe
blood	vorrâ
fart	jussâ
cow	kussâ
frazil ice	suosâ
afterbirth	vuosah
butt	pottâ
boulder	juovâ
son-in-law	vivvâ
delicacy	rettâ
thing	ettâ
hat	hattâ
priest	pappâ
higher	oppâ
cup	koppâ
end	loppâ
sulfur	rikkâ
taste	smakkâ
sack	sekkâ
forebeam	stukkâ
tar	pikkâ
cook	kokkâ
ink	lekkâ
bad	poččâ
diarrhea	luččâ
rib	ruođâ
ball	luođâ
noise	ruojâ
can	spaanjâ
fault	suijâ
kind	šlaajâ
tea	teejâ
smell	haajâ
free of charge	rijjâ
shaft bow	luokâ
playing card	spellâ
noise	vaalâ
distinction	veelâ
worry	huolâ
ember	illâ
breeze	jielâ
target	mollâ
white	kobbâ
ram	vierccâ
group	fááru
purse	purssâ
tussock	polssâ
prince	prinssâ
piece	pittá
paternal aunt	siäsá
cheese	vuástá
meadow	nijtto
female	njirro
chop up	caappâđ
perceive	aiccâđ
live	aassâđ
smoulder	coohâđ
groan	cakkâđ
prop up	coggâđ
pee	cissâđ
wake up	cuvnâđ
crawl	čaaŋŋâđ
split	čieskâđ
sink	čieppâđ
rub	čoollâđ
bind	čoonnâđ
sharpen	čuuhâđ
dry	iiŋŋâđ
turn	juurrâđ
drink	juuhâđ
fall	koččâđ
lek	kiihâđ
spawn	kuuđđâđ
tie	kuurrâđ
cough	kuussâđ
hear	kuullâđ
hide	loommâđ
read	luuhâđ
go	moonnâđ
pass	muullađ
hide	čiehâđ
sound	čuoijâđ
chop	čuollâđ
cut	čuoppâđ
leaky	juoŋŋâđ
secure	kaarrâđ
look	keččâđ
wrap	kiessâđ
brake	kooccâđ
return	maccâđ
patience	maaššâđ
cut off	naallâđ
end	nuuhâđ
doze off	nukkâđ
take off	nuollâđ
sneak	njaahâđ
recede	njoollâđ
suck	njoommâđ
swallow	njiellâđ
skin	njuovvâđ
learn	oppâđ
seek	uuccâđ
go off	paccâđ
fear	poollâđ
wash	poossâđ
place	pieijâđ
twist	puunnjâđ
eat	puurrâđ
ill	puoccâđ
heat	roohâđ
busy	roossâđ
scratch	ruoppâđ
stumble	ruossâđ
gallop	ruottâđ
pant	saađđâđ
split	saarrâđ
pant	soohađ
thaw	sooŋŋâđ
bend	suuijâđ
gnaw	suuppâđ
row	suuhâđ
airtight	suođđâđ
angry	suttâđ
tame	taammâđ
do	toohâđ
close	toppâđ
hold	toollâđ
hurry	toommâđ
stick	tuuppađ
pull in	tuoppâđ
illuminate	tuossâđ
carve	veerrâđ
cut	vooijâđ
stretch	voonnâđ
roll	vierrâđ
die	viessâđ
fall over	viirrâđ
bother	viiššâđ
swim	vuoijâđ
carve	vuollâđ
confuse	vuorrâđ
push	saaččâđ
female	ronno
foe	čuđe
nose	njune
gold	kolle
neck	kurtte
pine marten	neeti
candle	kiintâl
registered partnership	registeristum kyeimikoskâvuotâ
intimate	kyeimikoskâvuotâ
relationship	koskâvuotâ
companion	kyeimi
intimate	parâkoskâvuotâ
middle	koskâ
couple	paarâ
register	registeeriđ
register	registeristiđ
fish	kuálástiđ
speak	sáárnuđ
calm	kuálkki
Christmas	juovlah
juovlah	pyereh juovlah
