then	nu
arrival	patti
goat	aja
monk	muni
tree	taru
son	putta
indeed	kho
risen	udita
forget	mussati
envy	issati
bear	issa
blank	ritta
lead	tipu
sleep	soppa
image	bimba
float	plavati
feed	posati
seize	gah
secret	rahassa
straight	uju
night	ratti
truth	sacca
homeless	anagārika
wavering	lola
pleasure	vitti
crush	pisati
point	disati
leave	jahati
short	rassa
sort	vikati
plough	kasati
lake	daha
head	siras
know	vedeti
fear	भय
seek	vicinati
know	जानाति
send	gameti
failure	vipatti
man	नर
union	sandhi
cause	hetu
covered	sinna
peacock	मोर
adhere	lagati
bile	pitta
leaf	patta
carry	harati
-er	ก
and	จ
cloud	เมฆ
class	asura
metal	लोह
cook	pacati
release	mutti
serpent	nāga
fame	kitti
fruit	ผล
whole	sabba
transmigration	saṃsāra
ridge	setu
push	nudati
wind	anila
wisdom	ญาณ
awareness	ฌาน
Theravada	เถรวาท
fraud	chala
enrage	roseti
ground	bhūmi
person	sudda
circle	मण्डल
circle	maṇḍala
plantain	moca
chaff	thusa
roof	chadi
remainder	sesa
great	mahant
cry	rodati
where	kva
triad	taya
superior	parama
skin	छवि
dog	kukkura
self	attan
friend	មិត្ត
one	เอก
shoulder	jattu
rich	sadhana
fruit	phala
hare	sasa
and	စ
sleep	seti
roof	chadda
sweat	sedeti
moon	canda
wrestler	malla
knee	jannu
pride	मद
go	-ga
dirt	jalla
parrot	cimi
vulgar	jamma
hair	kesa
doing	kamma
if	sace
doer	kattar
mouth	mukha
snake	sappa
crying	kandana
moist	adda
honour	mahati
nine	nava
mountain	addi
ray	acci
round	parito
revenue	बलि
nail	nakha
two	द्वि
rose apple	jambu
sprinkled	siccati
cloud	មេឃ
conqueror	jetar
suffering	dukkha
rain	vassa
dribble	galati
ascetic	arahant
lead	neti
drop	bindu
yojana	yojana
theft	mosa
steal	musati
fat	meda
guest	अतिथि
line	pāli
illness	आबाध
illness	အာဗာဓ
begging	भिक्खा
begging	ဘိက္ခာ
tortoise	कच्छप
salt	लोण
salt	လောဏ
elephant	मातङ्ग
elephant	မာတင်္ဂ
walk	carant
enemy	disa
creature	jantu
flow	savati
brown	kapila
pole	ईसा
crucible	मूसा
come	eti
elder	thera
awareness	झान
awareness	jhāna
hot	tatta
I	अहं
anointing	abhiseka
rice	sāli
year	samā
ten	dasa
crucible	mūsā
lord	īsa
where	yena
pole	īsā
young	yuvan
delight	rāma
egotism	अहंकार
form	rūpa
donkey	खर
speech	कथा
needle	sūci
pleasure	kāma
sounding	sanita
constant	nicca
dancing	nacca
conveyance	यान
girl	bālā
palate	tālu
palm	tāla
novice	sāmaṇera
huge	ugga
marmelos	billa
noble	อริย
know	vidati
conveyance	ยาน
lake	saras
gold	សុវណ្ណ
season	ဥတု
triad	tika
and	ច
dart	salla
safeguard	paritta
metal	loha
gift	dāna
deed	kāra
thus	evaṃ
ship	nāvā
well	sādhu
thunderbolt	vajira
boiled	bhatta
assembly	parisā
householder	gahapati
joyfully	pamuditākārena
cotton	kappāsa
camphor	kappūra
water	nīra
enemy	arāti
fire	aggi
egotism	ahaṃkāra
mushroom	ahichattaka
nonviolence	ahiṃsā
she-goat	ajā
pleasant	akanta
multitude	ākara
ignorance	aññāṇa
lotus	aravinda
arrow	bāṇa
physician	bhisakka
wheel	cakka
eye	cakkhu
deity	devatā
long	dīgha
heart	hadaya
debt	iṇa
debtor	iṇāyika
it	taṃ
whom	yaṃ
Sir	bhante
beautiful	kalyāṇī
prostitute	gaṇikā
sacrifice	juhati
announce	paṭivedeti
man	purisa
stream	sotas
charioteer	sārathi
and	atha
female	dāsī
finger	accharā
talk	lāpa
land	thala
walk	kamati
love	pema
easy	sukha
obstacle	papañca
again and again	punappunaṃ
run	dhāvati
wound	vaṇa
impassioned	sāratta
loose	sithila
looseness	sithilatta
letter	akkhara
child	dārako
village	gāmo
father	जनको
father	janako
if	yadi
Kosala	कोसल
separating	vivicca
accompanied	savitakka
detachment	viveka
relief	vūpasama
appease	vūpasameti
free	avitakka
noble	ariya
setting	atthaṅgama
cause	paccaya
emerge	ummujjati
informed	viññāpita
man	macca
monk	cirapabbajita
goose bumps	lomahaṃsa
sneezing	khipitasadda
head	mattha
world	diṭṭhadhamma
beard	massu
higher	vijjā
obstacle	nīvaraṇa
cemetery	susāna
heap	palālapuñja
cleanse	parisodheti
torpor	middha
unwieldiness	thīna
undertake	payojeti
prosper	ijjhati
succeed	samijjhati
ancient	porāṇaka
remain	avasissati
bearing	bharaṇa
maintenance	dārabharaṇa
safe	abhaya
sick	ābādhika
prison	bandhanāgāra
jail	kārā
dependent	adhīna
dependent	parādhīna
slavery	dāsabya
slavery	dāsabyatā
freeman	bhujissa
famine	dubbhikkha
fear	paṭibhaya
reach	anupāpuṇāti
safe	khema
debt	ānaṇya
greatly	pamudita
quiet	passambhati
drench	abhisandeti
drench	parisandeti
dish	thāla
mix	sanneti
evening	sāya
affection	sneha
dripping	paggharaṇa
ooze	paggharati
former	purima
concentration	samādhija
lake	rahada
lake	udakarahada
inflow	āyamukha
income	āya
eastern	puratthima
latest	pacchima
from time to time	kālenakālaṃ
give	anupavecchati
give	pavecchati
offer	payacchati
torrent	dhārā
white	puṇḍarīka
grow	saṃvaḍḍhati
wisdom	ñāṇa
passionless	anaṅgaṇa
supple	mudubhūta
static	āneñja
perfect	ñāṇadassana
boiled	odana
barley bread	kummāsa
accumulation	upacaya
lapis lazuli	veḷuriya
bamboo	veṇu
bamboo	veḷu
oppress	ābādheti
rubbing	parimaddana
octagonal	aṭṭhaṃsa
bear	accha
clear	vippasanna
yellowish	paṇḍu
blue	nīla
consider	paccavekkhati
covetousness	abhijjhā
description	niddesa
mind	manomaya
create	abhinimmāti
sheath	kosī
basket	karaṇḍa
experience	paccanubhoti
concealment	tirobhāva
cover	tirodhāna
rampart	pākāra
mountain	pabbata
water	udaka
throne	pallaṅka
gone	gantabba
go	gacchati
great	mahantī
brahma	brahmaloka
clay	mattikā
tope	thūpa
potter	kumbhakāra
prepared	suparikammakata
produce	abhinipphādeti
artisan	dantakāra
goldsmith	suvaṇṇakāra
abhiñña	dibbasota
human	mānusaka
went beyond	atikkanta
drum	bheri
passion	sarāga
infatuated	samoha
concise	saṅkhitta
upset	vikkhitta
disturb	vikkhipati
composed	asamāhita
released	avimutta
mirror	ādāsa
desirous	maṇḍanajātika
mole	sakaṇika
returned	paccāgata
divine	dibbacakkhu
rebirth	upapāta
falling	cavamāna
gold	suvaṇṇa
finding fault	upavādaka
hell	niraya
street	rathikā
street	vīthi
wander	sañcarati
abridgement	saṅkhepa
oyster	sambuka
shoal	macchagumba
upside down	nikkujjita
darkness	andhakāra
redress	paṭikaroti
water	āpa
busy	bahukaraṇīya
stainless	vītamala
inhabitant	kosala
desire	icchā
plough	naṅgala
constellation	nakkhatta
village	gāma
brahmin	brāhmaṇa
reputation	kittisadda
realm	māradheyya
killer	māra
religious	sassamaṇabrāhmaṇa
beautiful	ādikalyāṇa
such	tathārūpa
young man	māṇava
bearer	mantadhara
learning	ajjhāyaka
variety	pabheda
donkey	khara
history	itihāsa
grant	anujānāti
man	mahāpurisa
sign	lakkhaṇa
complete	anavaya
thou	tvaṃ
superhuman	tevijja
leader	pariṇāyaka
crushing	pamaddana
destroy	pamaddati
conquer	abhivijināti
veil	chada
include	gaheti
giver	dātā
mare	vaḷavā
well-known	abhiññāta
friendly	kathāsallāpa
unhurried	ataramāna
open	vivarati
door	dvāra
menial	ibbha
black	kaṇha
black	kiṇha
offspring	apacca
quickly	lahuso
touchy	lahusa
Kapilavastu	kapilavatthu
high	ucca
spur	patodaka
joke	sañjagghati
finger	aṅguli
quail	laṭukikā
quail	vaṭṭakā
nest	kulāvaka
crush	nimmādeti
path	ayana
noble	ayya
formerly	bhūtapubbaṃ
pleasing	manāpa
drive out	pabbājeti
wife	piyā
country	raṭṭha
pond	pokkharaṇī
sister	bhaginī
ancestor	pubbapurisa
bathe	nahāpeti
unclean	asuci
sin	kalusa
dirt	uklāpa
mother	ammā
black	kāḷa
fickleness	cāpalla
man	manussa
guest	atithi
illness	อาพาธ
covetousness	अभिज्झा
covetousness	အဘိဇ္ဈာ
covetousness	อภิชฺฌา
bear	အစ္ဆ
bear	अच्छ
bear	อจฺฉ
finger	अच्छरा
finger	အစ္ဆရာ
finger	อจฺฉรา
mirror	आदास
mirror	အာဒါသ
mirror	อาทาส
illness	អាពាធ
mirror	អាទាស
covetousness	អភិជ្ឈា
bear	អច្ឆ
finger	អច្ឆរា
village	गाम
village	ဂါမ
village	គាម
village	คาม
egotism	अहङ्कार
egotism	အဟံကာရ
egotism	អហំការ
egotism	អហង្ការ
egotism	อหํการ
egotism	อหงฺการ
snake	အဟိ
snake	អហិ
snake	อหิ
mushroom	अहिछत्तक
mushroom	အဟိဆတ္တက
mushroom	អហិឆត្តក
mushroom	อหิฉตฺตก
awareness	ဈာန
awareness	ឈាន
wisdom	ញាណ
wisdom	ဉာဏ
wisdom	ञाण
water	kumbha
believing	saddha
pauper	vaṇibbaka
beggar	yācaka
merit	puñña
cock	kukkuṭa
tree	rukkha
honey	madhu
sacrifice	yañña
blow	pahāra
grass	tiṇa
speech	kathā
many	sambahula
meditation	bhāvanā
oath	magga
body	sarīra
fly	makkhikā
drink	pivati
cow	gāvī
utterance	vacana
sun	ādicca
wisdom	adhipaññā
release	vimutti
morning	pubbaṇha
welcome	svāgata
day	divasa
excitement	kotūhala
space	ākāsa
attainment	samāpatti
afterwards	pacchā
teacher	ācariya
death	maraṇa
arrived	abbhāgata
worthless	appāṭihīrakata
skin	chavi
chank	saṅkha
settlement	nivesana
peace	samaṇa
miracle	pāṭihāriya
completeness	pāramī
bone	aṭṭhi
song	gīta
wool	uṇṇa
field	khetta
sleep	niddāyati
purgatory	naraka
river	nadī
partridge	tittira
moon	candimā
crow	kāka
wilderness	vivana
light	obhāsa
son	devaputta
blood	ruhira
milk	khīra
gods	devā
I	ahaṃ
sun	suriya
first	paṭhama
shine	obhāsati
accomplished	siddha
watering	siñcaka
human	porisa
fruit	ဖလ
dug	akhāta
dug	khāta
so much	tāva
friendship	mittatā
red	lohita
gravel	sakkharā
pre-eminence	aggatā
and	ච
mushroom	අහිඡත්තක
food	khajja
we	mayaṃ
realm	dheyya
precept	sikkhāpada
study	sikkhā
successful	sampanna
sentence	vākya
or	vā
crow	kākī
sleep	niddā
live	jīvati
counsellor	mantī
garland	mālā
fraud	māyā
pearl	muttā
gladness	mudā
seal	muddā
dumb	mūga
cloud	megha
ram	meṇḍa
sacrifice	medha
wisdom	medhā
release	mokkha
shade	chāyā
clever	cheka
jealousy	issā
language	bhāsā
fear	bhaya
hindrance	bādhā
bind	bandhati
woman	itthi
become	bhavati
kinsman	bandhu
seed	bīja
silver	rūpiya
luck	bhaga
devotion	bhatti
cushion	bhisi
over	adhi
infinite	ananta
eat	khādati
firm	thira
keeper	pāla
water	pānīya
pumpkin	tipusa
satisfaction	titti
dog	soṇa
few	appa
go	yāti
brother	bhātar
opening	randha
snowy	himavant
gadling	sahacara
five	pañca
fight	yujjhati
amuse	dibbati
dust	paṃsu
contentment	santosa
content	santussati
contented	santuṭṭha
bodhisattva	bodhisatta
home	agāra
reflect	paṭisañcikkhati
be	hoti
agitation	upādāparitassanā
cultivate	bhāveti
here	idha
live	viharati
dispute	vivadati
agitation	anupādāaparitassanā
developed	bhāvita
instruct	viññāpeti
hey	ambho
boy	bālaka
nirvana	nibbāna
everlasting	accuta
rebuke	vigarahati
awake	paṭibujjhati
sky	tārāpatha
dung	ukkāra
wise	sūrī
rhinoceros	khaggavisāṇa
beginning	ādi
arise	uppajjati
know	pajānāti
fortune	lakkhī
endowed	samannāgato
just	seyyathāpi
followed	samannāgata
together	saddhiṃ
one side	ekamantaṃ
ocean	samudda
great	mahāsamudda
absence	natthi
salute	abhivādeti
unpleasant	aniṭṭha
duty	kicca
duty	akiccakāra
take	gaṇhāti
fountain	dhārāyanta
known	ñāta
chariot	ratha
as	yathā
there	tattha
disgusted	nibbindati
joy	ānanda
impermanent	anicca
be	atthi
blow	vāti
wind	vāta
after	paraṃ
feeling	vedanā
there	tatra
approach	upasaṅkamati
likewise	tathā
otherwise	aññathā
consciousness	viññāṇa
eight	aṭṭha
second	dutiya
third	tatiya
fourth	catuttha
fifth	pañcatha
sixth	chaṭṭha
seventh	sattha
eighth	aṭṭhama
raw	āmaka
young	taruṇa
deep	gambhīra
harsh	pharusa
evil	pāpa
ninth	navama
tenth	dasama
faith	saddhā
wisdom	paññā
time	velā
root	mūla
fight	yuddha
seaport	paṭṭana
sending	pesana
end	osāna
between	antarā
wandering	paribbājaka
student	antevāsika
blame	avaṇṇa
colour	vaṇṇa
both	ubho
anger	āghāta
discontent	appaccaya
wrath	anabhiraddhi
angry	kupita
displeased	anattamana
unravel	nibbeṭheti
untrue	abhūta
gladness	somanassa
excitement	ubbega
heat	usumā
heat	usmā
snake	uraga
donkey	gadrabha
speak	gadati
heavy	garuka
verse	gāthā
et cetera	peyyāla
interrogate	paripucchati
minister	rājāmacca
beautiful	abhirūpa
fair	dassanīya
auspicious	lakkhaññā
delightful	ramaṇīyā
near	avidūra
silent	tuṇhībhūta
Sinhalese	sīhaḷa
eating	bhakkha
silently	tuṇhī
worthy	araha
mango	ambavana
proceed	pāyāti
deceive	vañceti
betray	palambheti
enemy	paccatthika
island	dīpa
descend	paccorohati
odor	gandha
virtuous	kalyāṇaka
water	ambu
say	vadati
bowl	pātī
come to pass	upavattati
existing	upavattana
move	vivaṭṭati
put	nibbāpeti
egg	aṇḍa
corpse	chava
pomegranate	दाडिम
unclean	อสุจิ
view	diṭṭhi
chess	caturaṅga
brick	iṭṭhaka
unknown	aññāta
done	karaṇīya
thirst	taṇhā
land	suvaṇṇabhūmi
Pentaptera arjuna	ajjuna
descend	orohati
royal	राजदूत
where	kattha
spread	vitthata
small	thoka
mother	mātar
dispassionateness	virāga
cessation	nirodha
sound	sadda
deemed	sukhasammata
follow	anupajjati
kingship	rajja
daughter-in-law	suṇisā
dog	suvāna
sinew	nahāru
juice	yūsa
eyebrow	bhamu
bull	usabha
nasal consonant	niggahita
young	dāra
bird	pakkhin
victory	jaya
string	guṇa
conduct	vutti
Magha	মাঘ
value	aggha
learn	sikkhati
thumb	aṅguṭṭha
angry	kujjhati
young	taluṇa
abandonment	cāga
abandon	cajati
crest	makuṭa
simile	upamā
boundary	sīmā
crest	မကုဋ
sweat	sijjati
foot	pāda
bother	pīḷeti
messenger	pessa
span	vidatthi
stable	dhuva
scorpion	vicchika
lintel	uttarummāra
thousand	sahassa
mortification	ātāpana
cloth	vattha
cloud	abbha
road	vaṭuma
lump	sittha
milk	duddha
group	chakka
left	siṭṭha
protect	rakkhati
firm	ḍaḷha
time	kāla
angry	ruṭṭha
and	𑀘
Rigveda	irubbeda
sixteen	soḷasa
death	maccu
grey	palita
seen	diṭṭha
divine	dibba
dog	sunakha
antelope	issamiga
hand	hattha
old	vuḍḍha
conveyance	យាន
danger	antarāya
element	dhātu
living	jīva
art	sippa
chief	pāmokkha
united	samagga
district	āhāra
very	bahussuta
strength	ojā
agreement	katikā
summer	gimha
corpse	asubha
pride	māna
moment	khaṇa
charming	mañju
wai	añjali
teaching	sāsana
water	mātikā
source	nidāna
laughter	hāsa
nature	sīla
individual	puggala
individual	puggalika
immovable	thāvara
gambling	jūta
sight	dassana
state	pubbesannivāsa
bahuvrihi	uttara
jackfruit	panasa
torch	ukkā
house	ghara
Theravada	theravāda
two	ทวิ
breaking	bheda
pleasure	ārāma
twelve	dvādasa
think	cinteti
mora	ᩋᨵᩥᨣᨧ᩠ᨨᨲᩥ
destroying	vināsana
niggahita	ᨧ
niggahita	buddhāna
past	atīta
protection	saraṇa
other	añña
solemn	saccavajja
head	uttamaṅga
teacher	satthar
stumble	khalati
stone	asman
head	muddhan
noble	អរិយ
eight	aṭṭhaṅgika
leading	niyyānika
performed	paṇīta
making	santikara
delayed	akālika
leading	opanayika
individual	paccatta
wise	viññū
known	veditabba
you	त्वं
restraint	saṃvara
goddess	devī
expression	vohāra
doing	karaṇa
inaction	akaraṇa
conduct	pāṭimokkha
purify	visodheti
protector	nātha
break	bhindati
dear	piya
enter	paṭipanna
multitude	saṅgha
pupil	antevāsī
order	pariyāya
epithet	bhagavant
back	piṭṭhi
immediately	piṭṭhito piṭṭhito
following	anubaddha
one another	aññamañña
hostile	vipaccanīka
speech	vāda
life	vāsa
approach	upagacchati
present tense	វត្តមានា
form	saṅkhiyadhamma
hut	kuṭi
make	paññāpeti
now	etarahi
seated	nisinna
settle	sannisīdati
together	sannisinna
assemble	sannipatati
you	𑀢𑁆𑀯𑀁
you	တွံ
you	ත්‍වං
you	ตฺวํ
chance	antarākathā
unfinished	vippakata
here	ettha
here	එත්‍ථ
me	අහං
do	කරොති
king	rājan
cut off	chindati
fifth	pañcama
grieve	socati
tremble	phandati
agitate	phandeti
agitate	phandāpeti
breath	pāṇa
fall down	patati
die	marati
fell	pāteti
kill	pāṇamatipāteti
give	dadāti
think	maññati
break	sandhiṃ chindati
plundering	nillopa
thief	ekāgārika
edge	paripantha
ambush	paripanthe
stand	tiṭṭhati
somebody	paradāra
lyingly	musā
wife	dārā
satisfied	tussati
satisfied	tuṭṭha
clean	sujjhati
pure	suddha
clean	visujjhati
stainless	visuddha
worthy	dakkhiṇeyya
tranquil	santindriya
directive	indriya
give up	pajahati
abandoned	pahīna
success	samiddhi
reach	pāpuṇāti
spirit	āsava
free	anāsava
house	geha
bier	khaḷu
whoever	kaci
male	anāthapiṇḍika
lump	piṇḍa
helpless	anātha
pig	sūkara
bird	sakuṇa
joy	pīti
co-religionist	sahadhammika
spring	vasanta
augmentation	vaḍḍhana
winter	hemanta
jackal	sigāla
application	yutti
memorial	cetiya
patient	khama
distinction	visesa
two	ဒွိ
sabbath	uposatha
exceed	अतिरेक
disciple	Devadatta
Theravada	ထေရဝါဒ
gang	gaṇa
group	nikāya
lady	ayyā
medicine	agada
mark	cihana
progeny	pajā
wing	patatta
flag	patākā
banyan	nigrodha
two	dvi
mongoose	nakula
disciple	sāvaka
method	ñāya
follow	ñāyapaṭipanna
i.e.	yadidaṃ
guest	pāhuṇa
namaste	ອັຍ຺ຊະລິ
honor	sakkāra
honour	pūjeti
pay	namassati
bend	namati
Buddha	tisaraṇa
beg	yācati
second	dutiyaṃ
third	tatiyaṃ
killing	atipāta
abstinence	veramaṇī
take	samādiyati
telling	musāvāda
carelessness	pamāda
place	ṭhāna
taking	ādāna
meal	bhojana
eating	vikālabhojana
wearing	dhāraṇa
restless	visūka
ointment	vilepana
smearing	lepana
sleeping	sayana
high	uccāsayana
luxurious	mahāsayana
success	sampatti
destruction	vināsa
hear	suṇāti
wai	katañjalī
shake	kampati
study	ajjhayana
Buddha	anadhivara
depart	vigacchati
gone away	vigata
organ	cakkhāyatana
harnessed	payutta
harness	payuñjati
touch	phoṭṭhabba
concomitant	sampayuttaka
rising	uṭṭhāna
abide	avatiṭṭhati
fame	yasas
eastern	pācīna
due to	tatvassa
anger	kodha
abandon	vippajahati
bond	saṃyojana
go	atikkamati
attached	sajjati
fall	anupatati
attachment	saṅga
name	nāma
having	akiñcana
spiritual	upajjhāya
established	patiṭṭhahati
Buddha	mahābodhi
image	buddharūpa
naga	nāgaloka
deva	devaloka
rose apple	jambū
India	jambudīpa
Sri Lanka	laṅkādīpa
Sri Lanka	laṅkā
hair	kesadhātu
hair	kesādhātu
scented	gandhakuṭi
section	dhammakkhandha
shoulders	khandha
enduring	pādacetiya
phlegm	semha
offence	aparādha
flesh	maṃsa
bone	ᩋᨭᩛᩥ
liver	yakana
diaphragm	kilomaka
lungs	papphāsa
mesentery	antaguṇa
stomach	udariya
refuse	karīsa
grease	vasā
spittle	kheḷa
mucus	siṅghāṇikā
synovial	lasikā
brain	matthaluṅga
thirty	dvattiṃsa
twenty	ekavīsati
clever	kusala
done	kattabba
age	āyus
age	-āyuka
keep up	pariharati
demon	yakkha
eaten	asita
wife	bhariyā
distinguish	ketu
rush	ghūṭhi
owner	sāmin
mummy	annā
Ganges	gaṅgā
final	kāranta
do	taccheti
bear	phallati
daughter-in-law	𑀯𑀥𑀽
stability	ṭhiti
water lily	uppala
intelligent	sumedha
worthy	arahati
ascetic	āraññaka
Buddhist	bhikkhunī
Ten Perfections	upekkhā
Ten Perfections	viriya
Ten Perfections	nekkhamma
patience	khanti
will	adhiṭṭhāna
well-guarded	guttadvāra
suppletive	පස‍්සති
sense	cakkhundriya
restrain	saṃvarati
demerit	akusala
stream	anvāssavati
dejectedness	domanassa
start	paṭipajjati
enter	āpajjati
evil	pāpaka
evil	පාපක
flow	āsavati
flow	assavati
blameworthy	upavajja
Magha	māgha
Magha	មាឃ
veneration	pūjā
daughter	dhītā
builder	thapati
going	yāna
giver	dātar
giver	padātar
take	āharati
bringer	āhattar
humbleness	nipaccākāra
fall down	nipatati
bow	nipacca
take up	vāsaṃ upagacchati
take up	වාසං උපගච‍්ඡති
letter	akāra
able	yutta
helpful	sopakāra
help	upakāra
therefore	tasmā
proficiency	kosalla
useful	bahūpakāra
discourse	suttanta
use	kvattho
forty	cattālīsā
forty	ekacattālīsā
nasal consonant	niggahīta
restrain	niggaṇhāti
sign	byañjana
sign	vyañjana
letter	kakāra
letter	makāra
led	nīta
Want	kattukāma
Want	kātukāma
tatpurusha	-kāma
letter	cakāra
Sanskrit	sakkata
designation	samaññā
sound	ghosa
voiceless	aghosa
calmed	सन्त
here	एत्थ
applied	payujjati
Want	कत्तुकाम
fixed	ṭhita
below	adho
yoke	yojeti
join	yuñjati
letter	ekāra
natural	bhūta
final	antabhūta
somewhere	kvaci
where	kuvaṃ
letter	ukāra
letter	dakāra
letter	dhakāra
letter	धकार
letter	hakāra
name	gaha
profit	ānisaṃsa
enemy	sattu
mostly	yebhuyyena
vowel	ivaṇṇa
youth	yobbana
subject	jarādhamma
search	pariyesanā
collection	piṇḍapāta
approving	samanuñña
carried	yathābhataṃ
crying	rudamāna
arise	pariyuṭṭhāti
wet nurse	dhātī
sign	liṅga
old age	jarā
angry	kuddha
active	parassapada
middle	attanopada
name	abhidhāna
third person	paṭhamapurisa
third person	paṭhama purisa
rebellious	appatissa
pinnacle	kūṭāgāra
supervision	adhikaraṇa
grammatical	tulyādhikaraṇa
weigh	tuleti
matched	tulya
agreement	तुल्याधिकरण
beam	tulā
second person	majjhimapurisa
second person	majjhima purisa
second person	मज्झिम पुरिस
first person	uttamapurisa
first person	uttama purisa
first person	उत्तमपुरिस
first person	उत्तम पुरिस
silversmith	sajjhakāra
necklace	gīveyyaka
right	sammāsamādhi
dreadful	bhīma
release	vimuccana
recollection	anussati
forest	arañña
medicine	osadha
protection	tāṇa
wailing	paridevanā
marvelous	acchariya
management	adhikāra
clever	nipaka
thoughtful	patissata
wretch	kāpurisa
medicine	bhesajja
garland	sekhara
brimful	samatittika
full	pūra
surpass	adhigaṇhāti
eat	paribhuñjati
earth	vasundharā
earth	paṭhavī
tremble	vikampati
divide	saṃvibhajati
sick	gilānaka
eat	bhakkhati
bathed	sināta
enlighten	bodheti
demon	pisāca
retinue	parijana
exist	vattati
battle	raṇa
pregnant	gabbhinī
wise	sappañña
locality	visaya
womb	gabbha
wheat	godhūma
understanding	paṭibhāna
butter	navanīta
butter	nonīta
yesterday	hiyyo
lineage	kulavaṃsa
middle	majjha
advice	ovāda
defence	pariyodha
procure	sampādeti
request	āyācana
pepper	kolaka
fist	muṭṭhi
reborn	upapajjati
accumulation	puññābhisanda
chair	pīṭha
keeper	kosārakkha
orator	cittakathī
enumeration	saṅkhyā
indication	uddesa
following	anugamana
greedy	giddha
weak	madhurakajāta
slave	dāsa
separation	vinābhāva
pride	yobbanamada
pride	ārogyamada
double	yamaka
properly	muddhāvasitta
loss	parihāni
children	puttadāra
both	ubha
liberal	vadaññū
fish	mīna
growing	vaḍḍhamāna
uprooted	tālāvatthukata
circle	jātisaṃsāra
leave	riñcati
pass	atināmeti
study	sajjhāya
father-in-law	sasura
mother-in-law	sassū
warrior	yodhājīva
restrain	santhambhati
procession	ussāraṇa
cause	ussāreti
evening	sañjhā
disentangle	viniveṭheti
sword	asicamma
trying	ussahanta
scratch	upalikkhati
rise	vuṭṭhāti
belonging	āraññika
poem	kabba
lethargic	sāthalika
enticing	rajanīya
learned	viyatta
retirement	paṭisallāna
calmness	cetosamatha
trifle	appamattaka
contact	saṃsagga
unmixed	asaṃsaṭṭha
dancing	sanacca
grassy	saddala
polite	sabbha
instigator	sampavattar
full moon	puṇṇamā
belonging	cātuddisa
begging	yācanaka
power	anissara
thought	vikappa
intentions	vikappī
spoilt	duṭṭha
wrong	micchāvāyāma
abandon	vijahati
any	itarītara
discussion	jātivāda
intention	adhippāya
salutation	နမောတဿ
remorseful	vippaṭisārin
remorse	vippaṭisāra
beginning	ārambha
patient	upekkhaka
messenger	dūta
listen	sussūsati
confused	vikkhittacitta
deaf	aneḷamūga
confusion	sammosa
badly	dunnikkhitta
obstinate	dubbaca
populace	janatā
faithless	assaddha
angry	abhisajjati
repression	paṭivinaya
identity	sakatā
such	evarūpa
shake	khobheti
rain	pāvusa
vulture	gaddha
year	saṃvacchara
co-wife	sapattī
manifestation	pātukamma
slowness	mandatta
mixed	sambhinna
fetter	saṅkhalikā
best	seṭṭha
full	kākapeyya
talk	pavāda
overpowered	ghammābhitatta
hunger	khudā
morning	pātar
navel	nābhi
dwarfish	vāmana
evident	pātu-
compound	samāsa
clad	odātavasana
member	khattiya
smooth	saṇha
