hear	nu
thought	yaynu
kill	rayke
kill oneself	yayrayke
rise	hopuni
tail	サラハ
sea	アトﾟイ
tooth	イマク
snow	ウパシ
nasal mucus	エトロ
nose	エトﾟ
youngster	オッカイポ
book	カンピソシ
medicine	クスリ
ice	コンル
Sapporo	サッポロ
heart	ケウトﾟㇺ
money	イチェン
bathroom	アシンル
rabbit	イセポ
doctor	イサ
thunder	カムイフㇺ
bird	チカㇷ゚
song	シノッチャ
sing	シノッチャキ
forest	ニタイ
sky	ニソㇿ
brain	noype
lungs	hapah
lacquer container	シントコ
oak	コㇺニ
small knife	マキリ
alcohol	arakke
skin	カㇷ゚
pig	プタ
lips	patoy
tighten	ユプ
elbow	シㇳトㇰ
elbow	komta
dog	レイェㇷ゚
flounder	サマンペ
forehead	キプツ゚ㇽ
nettle	モセ
