dog	chien
harm	lesion
hate	haïr
wrinkle	rider
protector	guardian
throat	gorge
voice	voix
how	comment
apathetic	indifferent
obstacle	hazard
market stall	huge
lark	aloe
smoke	fumer
tie	lien
hut	loge
lodge	logier
mother	mere
death	mort
pace	pas
weigh	poiser
jump	sault
oneself	soy
grope	taster
face	vis
strength	effort
attack	assault
seize	caper
flesh	char
outside	dehors
contemplation	deliberation
destruction	desolation
dilation	dilatation
big	grand
thought	imagination
fertilization	impregnation
Jesus Christ	incarnation
invade	invader
pay	payer
stage	scene
sharp	trenchant
pilgrimage	peregrination
silver	argent
desire	desirer
mad	fol
time	temps
comprehension	intelligence
governance	police
who	qui
same	item
farcical	grotesque
vanguard	avant-garde
preconsideration	premeditation
thousand	mille
guard	satellite
true	veritable
Jesus	Iesus
Albanian	Albanien
search	chercher
division	ramification
obvious	evident
bell	cloche
mortal	mortel
allied	social
act	precision
strong	fort
full	plain
island	isle
agreement	composition
tent	tref
shadow	umbrage
destroy	gaspiller
fall	tomber
translation	version
finish	finir
speak	parler
find	trouver
adapt	adapter
path	chemin
manservant	valet
wine	vin
respect	reverence
enough	assez
food	viande
nose	nez
cynical	cynic
invade	envahir
suffering	torment
killer	homicide
etymology	etymologie
delivery	tradition
city	ville
take	prendre
start	commencer
useless	inutile
important	chier
shit	merde
piss	pisser
inhabitant	habitant
adverb	-ment
calm	coy
nobody	nul
ask	demander
too	trop
firm	ferme
tuna	thon
repulsive	repugnant
kiss	baiser
arrive	arriver
daughter	fille
uncertainty	incertitude
she	elle
like	comme
pleasure	plaisir
them	leur
ray	rayon
style	stile
come	venir
between	entre
enter	entrer
earth	terre
sing	chanter
rope	corde
go up	monter
dismount	descendre
go	aller
return	retourner
love	amour
in love	amoureux
power	puissance
knight	chevalier
marshall	mareschal
obtain	obtenir
useful	utile
small	petit
suffering	travail
they	elles
I	ie
much	moult
ha	ha ha
unhappy	malcontent
rich	riche
strange	estrange
pronoun	pronom
transport	transporter
elsewhere	ailleurs
room	salle
hold	tenir
thing	rien
fight	battre
crossbeam	trave
hear	entendre
sense	sens
persuade	persuader
loss	perte
ship	navire
hurt	blesser
man	homme
teach	pedagogue
belly	ventre
worth	valoir
clean	nettoyer
serve	servir
seal	sceau
various	divers
test	essayer
open	ouvrir
laugh	rire
ear	oreille
employ	employer
fear	peur
when	quand
God	Dieu
Italian	Italien
Moor	More
shop	boutique
half	demy
protect	proteger
severe	austere
limit	marche
friend	amy
shine	lustre
Tartar	tartar
stone	caillou
produce	produire
hour	heure
marriage	mariage
touch	toucher
soul	ame
flow	fluir
garrison	garnison
here	icy
acquisition	acquest
mill	moulin
about	environ
boat	nef
against	contre
correspond	correspondre
autumn	automne
lie	mensonge
since	depuis
in front of	devant
mouth	bouche
skin	peau
so	tant
fold	pli
allow	laisser
epilepsy	epilepsie
change	mutation
duke	duc
arm	bras
which	quel
saddle	arson
discussion	collation
choosable	eligible
soliloquy	monologue
on	sus
fearsome	redoubtable
it is	c'est
beginning	commencement
finish	finer
morning	matin
entrance	entree
army	ost
work	oeuvre
eyebrow	sourcil
fail	faillir
ball	ballon
war	guerre
head	teste
choice	choix
birth	naissance
break	rompre
warn	advertir
discuss	discutir
wood	boys
suffer	travailler
now	ores
song	chanson
weigh	peser
much	foison
hair	cheveu
carpet	tapiz
bag	bourse
plaint	lamentation
privilege	prerogative
difficult	difficile
flame	flambe
semen	sperme
immediately	incontinent
grimoire	pentacle
pull	tirer
Devil	diable
new	nouveau
unparallelled	nonpareil
axe	hache
record	recorder
bullet	boulet
work	labourer
collet	culet
load	charger
husband	mary
breakable	frangible
universe	univers
success	succes
drug	drogue
navigate	nager
stupid	jobe
lose	perdre
delicate	delicat
spring	printemps
celestial	celeste
cry	cri
marine	marin
cart	charrette
praise	louer
abandon	abandonner
speech	discours
movement	mouvement
succor	secourir
then	lors
bank	banque
raw	crud
sympathy	sympathie
Swiss	Suisse
seed	germe
in	ens
Egypt	Egypte
strangely	estrangement
enormous	enorme
setting	coucher
appetite	appetit
Gascony	Gascoigne
stick	baston
punishment	talion
tribe	tribu
in the	és
alive	vivant
old	ancien
sleeve	manche
rabbit	lapin
beast	beste
buttock	fesse
belly button	nombril
prepare	preparer
parish	paroisse
be	seoir
aim	viser
hide	celer
rank	reng
move	mouvoir
finger	doigt
weight	poix
Arab	Arabe
punish	punir
wolf	loup
hide	cacher
eagle	aigle
fold	plier
assumption	presumption
zeal	zel
hit	frapper
present	assister
think	penser
way	façon
disadvantage	inconvenient
resist	resister
vinegar	vinaigre
trick	tromper
state	estat
shield	escut
agent noun	-eur
recount	compter
story	conte
mute	mut
in	dedans
people	peuple
note	noter
remove	oster
soldier	soldat
trumpet	trompette
gull	mouette
bundle	bouchon
choose	choisir
turn	tourner
rank	ranc
attack	impugner
cauldron	chaudron
astronomy	astronomie
victory	victoire
citizen	citoyen
dagger	dague
dangerous	dangereux
learn	apprendre
float	flotter
soak	tremper
nostril	nazille
priest	prouvaire
come back	revenir
piece	conseil
box	coffre
government	gouvernement
mason	maçon
intolerable	insupportable
vermillion	vermeil
Ancient Greek	grec
peach	pesche
wretched	laz
brain	cerveau
rampart	rempart
calm	calme
French	François
battle	bataille
deep	profond
foment	fomenter
space	espace
Christmas	Noël
monk	moine
passage	alee
bizarreness	bizarrerie
colony	colonie
arrival	arrivée
oblige	obliger
enclosure	parc
smoke	fumée
dwarf	nain
visit	visiter
merchant	marchant
remonstration	remonstrance
today	huy
error	erreur
quality	qualité
quantity	quantité
saddle	selle
marry	marier
dispute	querelle
marvelous	merveilleux
plot	complot
name	nommer
deaf	sourd
divine	diviner
praesenter	presenter
painful	douloureux
clarity	clarté
breathe	respirer
cease	cesser
advise	conseiller
murder	meurtre
treason	trahison
victor	vainqueur
human	humain
carrot	carotte
bit	morceau
dream	songer
live	habiter
people	publique
promise	affiance
uncle	oncle
battery	batterie
devour	devourer
precede	preceder
chest	caisse
leave	departir
barrier	barriere
well-known	celebre
city	cité
enclose	clore
still	encores
capacity	faculté
galleon	gallee
sign	signe
legitimate	legitime
plant	plante
unpleasant	moleste
remedy	remede
salted	salé
tomb	tumbe
ulcer	ulcere
occupy	occuper
snore	ronfler
tool	outil
act	geste
baggage	bagage
promise	fiancer
pray	prier
reread	relire
big	grossir
chop up	hacher
poke	pocher
terror	terreur
thought	pensée
reflexive	asseoir
keep	retenir
naturally	naturellement
go	retirer
smell	puir
embassy	ambassade
boil	bouillir
bury	enterrer
invite	inviter
Muhammad	Mahomet
beetle	scarabée
de-	des-
here	cy
nourishment	alimentation
guide	guider
carnal	charnel
wing	aisle
cancer	chancre
countess	contesse
side	coste
party	feste
feed	nourrir
game	ieu
meeting	rencontre
grammar	grammaire
arrow	fleche
viewing	veue
cloth	drap
protect	guarder
apart from	fors
democracy	democratie
military	militaire
incident	incidence
manner	maniere
dogma	dogme
lord	seigneur
permit	permettre
lawyer	advocat
theology	theologie
o	õ
vendor	marchand
natural	naturel
worldly	mondial
near	prés
opacity	opacité
brain	cervelle
execute	effectuer
combine	combiner
noon	nonne
blaspheme	blasphemer
relationship	habitude
template	modelle
mass	messe
sharp	agu
khan	kaan
mass	boulette
virtue	vertu
pleasure	plaisance
honor	honneur
genealogy	genealogie
surprise	surprendre
county	conté
build	edifier
Japheth	Japhet
pray	pryer
comparison	comparaison
embryo	embrion
fresh	frais
camel	chameau
faith	fiance
quest	queste
childbirth	enfantement
fortify	fortifier
participate	participer
urinate	uriner
your	vostre
dark	obscur
lazy	faineant
female	feminin
seem	sembler
predict	predire
county	comté
post	pieu
pious	pieux
ease	ayse
behind	derriere
liver	foye
pistol	pistole
large room	gallerie
poetry	poesie
career	carriere
assembly	assemblee
particular	particulier
underground passage	miniere
teach	instruire
servant	menestrel
misery	misere
improve	amender
female	femelle
many	maint
nomad	nomade
progress	progres
fountain	fontaine
undertake	entreprendre
alum	alun
plead	plaider
seal	sceller
punishment	punition
doubt	doubter
regret	regretter
-ess	-esse
madness	follie
require	requerir
reinforcement	muniment
governor	gouverneur
cavern	caverne
tyrant	tyran
language	idiome
-ity	-ité
-ty	-té
barrel	tonnelle
reside	resider
transmit	transmettre
bulla	bulle
borrow	emprunter
think	estimer
border	frontiere
here	leans
compatriot	patriote
rinse	rincer
beating	bastonnade
amber	ambre
reveal	exposer
captain	capitaine
epithet	épithète
brother	frere
verify	verifier
historian	historien
-ian	-ien
repent	repentir
stable	estable
foliage	feuillage
limb	membre
-ive	-if
ochlocracy	ochlocratie
qu'il	qu'il
window	fenestre
si	s'il
geometry	geometrie
hit	tabus
barbarity	barbarie
furnace	fournaise
be awake	veiller
roter	rotter
dead	decedé
sand	sablon
plate	tailloir
medical doctor	medicin
finish	achever
building	pavillon
harsh	aspre
venom	venin
nut	couille
vessel	vaisseau
barbaric	barbare
paradise	paradis
Roman	Romain
abundance	abondance
correspondence	correspondance
crow	corbeau
Portuguese	Portugais
visor	visiere
ribbon	aiguillette
urge	solliciter
orthography	orthographe
cowardice	couardise
hoe	houer
subject	subiect
suppose	supposer
ring	anneau
naked	nud
axiom	axiome
advance	advancer
poison	intoxiquer
baptize	baptiser
harmony	harmonie
accomplish	complir
old age	vieillesse
alter	alterer
justice	iustice
gallop	galoper
emperor	empereur
satisfy	satisfaire
basin	bassin
pheasant	faisan
mutual	mutuel
wheelbarrow	brouette
inconstant	volubile
prostrate	humilier
rust	rouiller
cut off	trancher
host	hoste
run	courre
star	estoile
gray	grys
payment	paiement
stop	arrester
river	riviere
crease	fronce
excuse	excuser
country	contree
rebec	rebec
adorn	revestir
swelling	bosse
surgeon	chirurgien
coif	coiffe
public bath	estuve
possession	saisine
be	estre
flea	pusse
progressive	progressif
cheerful	gay
silent	taisant
diabolic	diabolique
virtue	vertus
wheat	froment
mind	esperit
greet	saluer
commerce	trafique
discourse	scandale
turtle	tortue
humanist	humaniste
armor	armure
calumny	calomnie
prisoner	prisonnier
ambassador	ambassadeur
what	quoy
feat	faict
mourning	dueil
this	celuy
sting	picquer
fourth	quatriesme
decimate	riffler
cowardice	lascheté
come before	preallable
maintain	entretenir
expel	expeller
bath	baing
-ous	-eux
vocative	vocatif
trench	fossé
seal	bullette
reinflate	renfler
tuft	toupet
woodland	lande
prosody	prosodie
ne	n'y
Muslim	Mahometan
search	quester
already	desia
membrane	tunique
wall	muraille
adversity	adversité
opinion	advis
difficulty	difficulté
co-worker	collegue
govern	gouverner
cry out	huer
elegy	elegie
fly	voller
very	trés
finish	accomplir
event	evenement
up there	lassus
kill	macter
dialect	dialecte
engender	engendrer
show	monstrer
given	veu
happen	advenir
side	costé
glorify	renommer
hostess	hostesse
practice	practique
spinning top	toupie
hope	esperance
light	lumiere
furnace	fourneau
emerge	emerger
ceremony	ceremonie
waste	gaster
failure	defaillance
pierce	perser
contribute	contribuer
vanity	vanité
plunder	piller
boat	galee
mariner	marinier
symbol	symbole
kingdom	regne
surpass	outrepasser
feed	alimenter
university	université
league	lieue
deterge	deterger
liar	menteur
hypothesis	hypothese
knot	nouer
payment	payement
small saving	parsimonie
policy	policie
worsen	empirer
maternal	maternel
shadow	umbre
weevil larva	calandre
Greek	Grec
winter	yver
fortress	forteresse
alternating	alternatif
foreign	estranger
packsaddle	baster
problem	probleme
recover	recouvrer
pursue	pourchasser
participate	tournoyer
viscous	visqueux
spread	dilater
bladder	vessie
confess	confesser
kill	occire
tremble	trembler
ambuscade	embuscade
faith	creance
command	mandement
constraint	contrainte
samite	samit
long	longuement
crusade	croisade
tranquility	tranquillité
goblet	gobelet
perfume	parfumer
fill	emplir
toughen	cauterizer
combination	combinaison
merchandise	marchandise
diversity	diversité
renounce	renoncer
master	maistre
not at all	nullement
French	françoys
choir	cuer
taste	goust
shock	esbahir
write	escrire
see	veoir
taste	gouster
translate	translater
chatter	cabasser
mend shoe	bobeliner
shoe	bobelin
shoemaker	bobelineur
mountain	montaigne
leave	issir
loyalty	loyauté
messenger	messagier
priest	prestre
reply	respondre
rabbit	lapereau
starve	affamer
Gaul	Gaule
sad	dolent
viscount	visconte
roundelay	rondelet
demonstrate	demonstrer
resign oneself	resigner
hare	levraut
diminish	minorer
insane	desver
my lord	messire
bark	abayer
fold	ployer
mores	meurs
deify	deifier
promptly	prestement
hard	durement
soldierly	soldatesque
scar	escarre
insurance payment	indemnité
corporal	corporel
hay	feurre
behavior	contenement
open	aperir
chair	chaire
Cossack	cosaque
command	ordonner
guts	tripes
collide	heurter
ancestor	ancestre
boat	batteau
debtor	debiteur
departure	allee
astronomic	astronomique
coax	amadouer
spear	darde
nickname	surnommer
function	messagerie
memorial	trophée
after	aprés
dickhead	couillon
life	vye
horribly	horriblement
fatal	casuel
chastity	chasteté
artisan	artizan
route	voye
a	ã
me	moy
e	ẽ
assail	assaillir
right	dextre
law	loy
corrode	corroder
prosper	prosperer
midnight	mynuyt
sound	bruyt
him	luy
they	ilz
night	nuyt
guide	guyde
friend	amye
each one	chascun
oak	chesne
chestnut	chastaignier
bush	buysson
deity	deité
stream	ruysseau
beauty	beaulté
verse	ryme
listen	escouter
shine	estinceller
animal	despouiller
bother	importuner
shepherd	bergier
fish	poysson
shoulder	espaule
bird	oyseau
cow	beuf
touch	toquer
jaundice	jaunisse
ash tree	fresne
glorious	glorieux
proclaim	proclamer
openly	apertement
hear	ouyr
pensive	pensif
build	bastir
building	bastiment
enrichment	enrichissement
philosophical	philosophique
courant	-amment
reliquary	reliquaire
abbey	abbaïe
donkey	asne
danger	dangier
same	mesme
mix	mesler
insane	forcené
ever	onques
century	siecle
constrain	constraindre
punish	chastier
decorate	estoffer
boot	boute
ball	billette
lie down	gesir
joke	gaber
clothing	vestement
loan	prest
jump	saillir
restrain	retraindre
dream	resver
point	poinct
noble	preudomme
hurry	haster
why	parquoy
presentiment	pressentiment
Saracen	Sarrazin
sword	espee
oyster	oistre
undo	desfaire
final	finable
butte	tertre
valley	valee
look at	reguarder
equip	garnir
troop	haraz
bright	cler
wake up	esveiller
think	croyre
u	ũ
avenge	vengier
watch	espier
hermit	ermite
fine	escarlate
heat	chaloir
king	roy
left	senestre
cry out	pleindre
burn	ardoir
indifference	nonchaloir
represent	representer
honest	honeste
honestly	honestement
bishop	evesque
follow	porsuivre
prowess	prouesse
witness	tesmoing
truth	verité
cost	couster
corner	anglet
Greece	Grece
return	revertir
need	besoing
defend	deffendre
leave	congié
custom	coustume
marry	espouser
lung	poulmon
mount	chevauchier
Gawain	Gauvain
increase	croistre
variety	varieté
spread out	espandre
hideous	hideux
postilion	postillon
meet	encontrer
love	aymer
whip	foet
clearly	clerement
cry out	escrier
religiously	religieusement
counter-	contre-
keep up	soustenir
disarm	desarmer
torture	tourment
torment	tourmenter
burn	ardre
leg	iambe
firstly	premierement
sigh	souspirer
battle	meslee
spare	espargner
nigromancy	nigromancie
spice	espice
German	Alemant
select	eslire
infantryman	pionnier
level	estage
paint	paindre
light	legier
set free	delivrer
postpone	superseder
submit	soumectre
shave	rere
Norman	Normant
deceive	decevoir
be born	naistre
narrow	estroit
others	autruy
high	hault
Goth	Got
except for	exceptez
forceful	impetueux
role	rolle
separate	esloigner
know	sçavoir
cold	froit
Syria	Surie
journey	voiage
study	estude
plenty	plenté
kingdom	royaulme
resume	resumer
fruit	fruict
archer	archier
lend	prester
bee	avette
mis-	mes-
swelling	enfleure
be	vaquer
faith	foy
time	foys
however	toutesfoys
move	esmouvoir
astray	esgarer
outside	defors
unlace	deslacer
change direction	guenchir
give up	guerpir
soldier	souldier
method	methode
hommage	allegeance
spoil	abastardir
hit	ferir
murder	meurtrir
punishable	punissable
senate	senat
offer	oferir
ask	enquerre
faithful	fidele
combat	combatre
dismount	desmonter
shock	estonner
fever	fievre
lower	desmettre
recognition	reconnoissance
army	armee
worry	inquieter
nevertheless	neantmoins
navy	navie
garment	garnement
rock	rochier
destroy	destruire
burn	brusler
dine	disner
squire	escuier
deer	dain
feebly	foiblement
saint	sainct
day	iour
sparrowhawk	esprevier
again	derechief
groan	gemissement
think about in advance	pourpenser
harm	meschief
during	atant
prefer	preferer
letter	letre
excessively	a desmesure
reserve	reserver
thick	espés
boat	batel
request	requeste
murder	murdrir
green	verd
kill	mortifier
river	flum
displease	desplaire
desire	volunté
possess	possesser
disease	maladye
desire	desir
enchantment	enchantement
name	appeller
doubt	doubte
capture	prinse
extend	estendre
take	preindre
celebrate	celebrer
moderate	moderer
abjure	abiurer
promise	iurer
negotiate	negotier
operate	operer
shield	escu
just	iuste
side	costoier
recipe	recepte
boat	fuste
far	loing
imperceptibly	imperceptiblement
prepare	praeparer
goddess	deesse
valiantly	vaillamment
quickly	vitement
enrage	courroucer
separate	separer
writing	escripture
platte forme	platte forme
archbishop	archevesque
tomb	tombeau
diaphragm	diaphragme
parallax	parallaxe
authority	auctorité
milk	laict
orthography	orthographie
ornament	ornement
peacefully	paisiblement
investigation	enqueste
softness	doulceur
under	soubtz
willingly	voluntiers
true	vray
often	maintefoys
sulphur	soulphre
tell	racompter
with	avecques
maiden	damoyselle
other	aultre
giant	geant
entirely	entierement
therefore	doncques
night	nuyct
week	sepmaine
three	troys
unfaithful	infidele
conquest	conqueste
reconquest	reconqueste
only	seullement
month	moys
never	iamays
ear	aureille
fault	faulte
suffocate	suffocquer
baptism	baptesme
rain	pluye
Africa	Africque
dryness	seicheresse
barrel	tonnel
aforementioned	ledict
breastfeed	allaicter
elated	esiouyr
wise	sçavant
Friday	vendredy
receive	recepvoir
saige femme	saige femme
saiges femmes	saiges femmes
wise	saige
here	voicy
pretty	ioly
rope	chorde
complain	complaindre
deliberate	deliberer
anger	fascher
old	vieulx
fever	fiebvre
best	mieulx
son	filz
face	visaige
half	moytié
sometimes	quelquefoys
lick	lescher
chain	chaisne
worry	soucyer
tie up	lyer
untie	deslyer
unchain	deschainer
as soon as	aussitost
hate	detester
school	eschole
study	estudier
profit	proffiter
schoolchild	escolier
chronicle	chronicque
some	aulcun
painter	painctre
poet	poete
irritating	fascheux
depressing	melancholicque
doctor	medecin
mole	taulpe
easily	facillement
rejoice	resiouyr
devant que	devant que
surprise	esbahyssement
magnificent	magnificque
follow	ensuyvre
type	espece
peaceful	pacificque
sin	peché
perfect	parfaict
honesty	honesteté
chivalry	preudhommie
mirror	mirouoir
avoid	eviter
can	povoir
help	ayde
help	ayder
throw	iecter
detach	desprendre
this one	iceluy
this one	cestuy
sure	sceur
knowledge	congnoissance
testimony	tesmoignage
dreamer	resveur
environment	mylieu
painter	paintre
bad	maulvais
damage	dommaige
escape	eschapper
soup	souppe
know	congnoistre
fly	mousche
wax	cyre
truly	vrayement
music	musicque
profoundly	profundement
pronounce	pronuncer
declare	declairer
delighted	ravy
spiny	espineux
Turk	Turcq
recuperate	recuperer
nephew	nepveu
cut	coupper
tie	lyen
sudden	soubdain
reject	reiecter
always	tousiours
walk	pourmener
ham	iambon
heat	eschauffer
lion	lyon
wound	playe
thigh	cuysse
par dessoubz	par dessoubz
poor	pouvre
consider	consyderer
fox	regnard
iusques à	iusques à
image	ymaige
since	depuys
I've	iay
companion	compaignon
free time	loysir
side	cousté
knife	cousteau
same	mesmement
kiss	bayser
win	gaigner
church	eglise
hit	tabuster
ecclesiastical	ecclesiasticque
think	cuyder
crusade	croysade
young	ieune
palace	palays
Jesus Christ	Iesuchrist
youth	ieunesse
banquet	bancquet
banquet	bancqueter
request	resqueste
politely	courtoysement
courtly	courtoys
garden	iardin
newness	nouveaulté
word	parolle
explain	explicquer
preceding	praecedent
Englishman	Angloys
cry	escryer
thumb	poulce
left	gausche
become pale	paslir
hot	chault
publicly	publicquement
robes	robbe
nobody	nully
joyously	ioyeusement
diamond	dyament
writing	escript
hedge	haye
oil	huyle
onion	oingnon
ambre grys	ambre grys
softly	doulcement
soft	doulx
Hebrew	hebrieu
Hebraic	hebraicque
enemy	ennemy
doubtful	doubteux
them	eulx
ring	aneau
powder	pouldre
Turkish	turcq
joyous	ioyeux
flee	fuyr
partridge	perdrys
badger	blereau
belt	ceincture
roast	roustir
coat	haubert
erect	eriger
axe	hasche
sureness	asseurance
midday	midy
jump	saulter
assure	asseurer
profoundly	parfondement
judgment	iugement
salted	sallé
courage	couraige
I don't speak	ie ne parle
threaten	menasser
lastly	finablement
heal	guerir
yawn	baisler
sneeze	esternuer
joy	ioye
cook	cuyre
Dane	Dannoys
Albanian	Albanoys
Christian	Chrestien
chestnut	chastaigne
eight	huyct
forget	oublyer
stomach	estomach
Pantagruelian	Pantagruelicque
detach	destacher
ingest	avaller
close	emprés
lead	plom
recognize	recongnoistre
wish	soubhaitter
genealogy	geneallogie
goblet	goubelet
frog	grenoille
unjust	iniuste
warning	advertissement
foam	escume
mustard	moustarde
must	moust
sausage	saulcisse
February	febvrier
so that	affin que
practice	practicque
empty	vuider
planet	planette
hurry	depescher
leave	escapper
dispatch	depesche
emerald	esmeraugde
silk	soye
ostrich	austruche
loup guarou	loup guarou
loups guarous	loups guarous
enamel	esmail
dare	auser
presently	presentement
rule	reigle
Athenian	Athenien
resolve	resouldre
specific	specificque
exterior	exteriorement
interior	interiorement
shit	chyer
wipe	mouscher
mouth	gueulle
eat	repaistre
sharpen	aguyser
boy	guarson
spinach	espinard
lettuce	lactue
boykin	guarsonnet
pillow	aureiller
hat	chappeau
claw	gryphe
cushion	coissin
eleven	unze
daydream	resverie
teacher	pedagoge
honesty	honnesteté
bog	marays
look	reguard
mare	iument
page boy	paige
urinate on	compisser
cheese	froumaige
refresh	refraischir
smile	soubrire
before	aultresfoys
buy	achapter
heretic	hereticque
traitor	traistre
according to	scelon
eat breakfast	desieuner
tax	pactis
little	poy
poy plus poy moins	poy plus poy moins
relieve	soulaiger
save	saulver
kitchen	cuysine
often	souventesfoys
mathematics	mathematicque
geometric	geometricque
shield	escuyer
boat	basteau
deep	parfond
place	endroict
ancient	anticque
preacher	prescheur
even	voyre
shop	bouticque
play	iouer
remember	soubvenir
mock	mocquer
mockery	mocquerie
accustom	accoustumer
falcon	faulcon
salmon	saulmon
monastery	moynerie
pastime	passetemps
winter	hyver
strike	chocquer
scarf	escharpe
castle	chasteau
pillage	pillaige
land	dommaine
sureness	seureté
anger	cholere
rather	plustost
tyrannical	tyrannicque
outrage	oultrager
reduce	reduire
redeemer	redempteur
right	droicture
damage	endommaiger
fear	craincte
provoke	provocquer
follow	suyvre
show	remonstrer
trap	empescher
so	adoncques
flask	flascon
treatment	traictement
owe	debvoir
however	davantaige
sixty	soisante
loot	desrober
crowd	foulle
right	droict
treat	traicter
leave	retyrer
advantage	avantaige
strategy	stratageme
accompany	accompaigner
wreck	ruyner
obstacle	empeschement
before	davant
advantageous	advantageux
salad	sallade
pilgrim	pelerin
Jew	Iuif
no	nenny
wool	layne
fear	paour
monastic	monasticque
raise	eslever
freshness	fraischeur
falconer	faulconnier
duck	canart
cowardice	couhardise
uncover	descouvrir
suppleness	soupplesse
penetrate	penetrer
bed	lict
affirm	affermer
magic	magicque
useless	inutille
creator	createur
harm	nuysance
insult	iniure
conquer	conquester
worry	soucy
rage	raige
ruin	ruyne
artillery	artillerye
passage	passaige
retreat	retraicte
miller	meusnier
safe	saulf
aromatic	aromaticque
willingly	voluntaire
tyrannically	tyrannicquement
increase	accroistre
defeat	defaicte
thickness	espesseur
falseness	faulseté
poison	empoizonner
adorn	aorner
evil	meschant
fruit	fructier
yellow	iaune
regulate	reigler
merit	meriter
describe	descripre
dishonest	deshonneste
history	histoyre
emotion	esmotion
village	vilage
fatigue	fatigation
abysm	abisme
drink	beuveur
discourage	descourager
disfavor	desfaveur
funny	drolle
flow	desgorger
generous	genereux
obey	obeir
mixed-race	mestis
obelisk	obelisque
cloister	cloistre
fight	luite
occupation	mestier
punishment	chastiement
judge	iuge
estre humain	estre humain
subjugate	subiuger
strangle	estrangler
prophet	prophete
society	societé
Egyptian	Egyptien
vessel	vaissel
oration	oraison
prayer	oroison
swan	cycne
drunk	yvre
traduce	mesdire
shake	fremir
attempt	atempter
vice-roy	vice-roy
smoke	fumee
crust	crouste
Persian	Persien
lament	gaimenter
friendly	bienveillant
release	lascher
household	maisnee
injure	navrer
ocean	occean
evening	vespre
punishment	chastiment
judge	iuger
machine	engien
each	chasque
curtain	courtine
evaporate	evaporer
seize	tollir
clergy	clergie
remember	rappeller
prerogative	prerogatif
face	viaire
England	Engleterre
smoke tree	fustet
know	assavoir
disobey	desobeir
fantasy	phantasie
mistress	maistresse
comedy	comedie
depend	despendre
claim	pretendre
pudicity	pudicité
roll	rouller
republic	republicque
today	auiourd'huy
repulsion	repoulsement
tragic	tragicque
choice	choys
extend	extendre
Egyptian	Aegyptien
Egypt	Aegypte
drink	brevaige
use up	expuyser
underground	soubterrain
joyousness	ioyeuseté
hopelessness	desespoir
cup	couppe
quoy que	quoy que
daily	iournellement
ninth	neufviesme
male	masle
Jewish	iudaic
admit	advouer
obedience	obeissance
pource que	pource que
wooden	bauche
far away	loingtain
fealty	feaulté
monastery	monastere
college	colliege
chaos	meshaing
sauce	saulse
advantage	adventaige
heresy	haeresie
justly	iustement
debt	debte
creditor	crediteur
debtor	debteur
