my	may
winepress	dzon
pinewood	ʈʂãɖʐa
spirit	ǰ̣ač̣
dry	tʂutʂʰu
again	gheri
pit	ghut'
hair	d͡ʑad͡ʑ
drizzle	tshirtsharek
squirrel	tsẽtsaw
quickly	z'ar
remember	yadi hik
remember	yadi onik
remember	yat karik
against	yagi hik
diminutive	-yak
trust	yakin karik
friend	yardus
friendship	yardusti
help	yari dek
friends	yarmoc
Tsiam	yas'i pariik
help	yawan
helper	yawan gar
help	yawan hik
rifle	yawbani
ravenous	yazid
they	éļi
yoke	ǰu
bowstring	ǰi
duck	ạ́i
liver	žạ́ŋgu
gold	sũ.'a
seed	bíyak
testicle	muṣk
rainbow	idrọ̃'
mulberry	mrač̣
poison	biṣ
bear	ič̣
sweet	máwra
fairies	pariḷóy
brother-in-law	diór
man	púruṣ
sleep	prasúik
water	žontr
black	kríṣna
son-in-law	ǰamów
ram	meṣ
leaf	pọ̃
copulate	žạ́wik
father-in-law	išpášur
mother-in-law	isprés
earth	čhom
lung	króma
tongue	ǰhip
heel	paṣní
dove	kohów
morally	úǰak
forget	práṣmik
lick	ḷíik
cook	pačék
bridge	siw
horn	ṣiŋ
place	dyek
awaken	búǰik
vomit	bómik
cultivated	č̣hetr
ask	phúčik
fox	ḷawák
kill	hṍ.ik
camel	uṭ
learn	č̣íč̣hik
Earth	bhum
right	drã́č̣ụi
lightning	indóčik
louse	ǰuk
big	ghóna
gums	donmós
upper	piṣṭ
spring	básond
sour	črúka
hunger	anóra
peanut	bumphalí
ل	ࣇ
heart	hị́a
four	čaw
ten	daš
blood	ḷúi
fist	muṣṭí
fist	موُشؕٹی
winter	héman
porcupine	šu
