yes	may
eat	kofketun
sweet	koci
really	mupiñkeci
true	mupiñ
million	mijon
let go	nelvn
declare	nentuzugun
speak	mapuzugun
thick	mvza
remain	mvlekan
very	mvte
flap	mvpvmvn
too	mvtewe
rain	mawvhvn
drink	matetun
obey	mvgeltun
obey	feyentun
obey	tagkvn
obey	yezugun
take a message	yefazugun
open	nvlaley
steady	nvhyen
loose	ñamvmvn
tame	ñomvmvn
get lost	ñuwin
sew	ñvzvfvn
pick up	ñvmin
gather	ñvmitun
vivid	ñuwa
breathe	heyvn
winter solstice	pvrapa gaw
winter solstice	wiñoy xipantu
winter solstice	we xipantu
bury	rvgalvn
bury	kvgalvn
bury	rvkvftukun
kneel	lukutun
variable hawk	ñamku
ulmo	gulgu
forget	goyman
forget	goyin
forget	guyvn
urinate	wijvn
urine	wijen
urine	wijeñ
shore	vpvl
pancreas	jikanten
pancreas	jvkanten
mud	foxa
swamp	jozko
caterpillar	pvxew
suspect	upetun
bedroom	umawtuwe
need	zuamvn
need	zuamyen
choose	zujin
chosen	zujiñ
easy	zuguno
novelty	we zugu
hot	eñum
outside	wekun
so much	fenxen
a lot	mvna fenxen
courageous	fvta piwkegen
inside	ponwi
portion	xokiñ
laurel	xiwe
sunrise	xipan antv
emerge	xipapan
skin	xawa
shoulder	falke
lukewarm	yako
pici	pichi
hello	mari mari lamngen
brother	lamngen
how are you	kümelkaleymi
how are you	kümelekaymi
I'm fine	kümelkalen
and	eymi kay
my name is	iñche ñi üy ta
we	iñchiw
me	iñche ñi
me	ñi
what's your name	iney pingeymi am
who	iney
your	pingeymi
how are you	chumleymi
second-person	-ymi
this	tüfachi
hollow	trotrol
on foot	namutu
open	nülaln
abound	ünüfn
cramp	trekefün
acuse	dallun
thin	tronglin
decorated	aifiñ
crack	trown
Mapuche	Ngulumapu
Mapuche	We Tripantu
debt	defe
eighteen	maripura
nineteen	mariylla
seventeen	marirekle
sixteen	marikayu
tooth	ülnga
dexterous	trüf
soon	matumatu
cough	xvfon
cough	cafon
grey	cufkeñ
flour	rvgo
flour	mvrke
try	xokitun
spirit	pvjv
wave	rew
navel	fvzo
wide	fvxarupa
thick	fvxarume
darnel	kamca
violet	koñoj
frog	pakarwa
mud	pebe
plate	rali
prisoner	reqge
walking stick	rexv
adult	xemce
wake up	xepen
defeat	yerpvn
whistle	wvyweñ
whistle	wvyweñvn
steam	wvwan
opisthenar	wente pvbay kuwv
palm	pvbay
giant rhubarb	pange
goat	kapvra
looting	malon
third gender	weye
great egret	trula
cornfield	colchagua
culpeo	culpeu
dense	püd
ugniberry	uñi
hen	achawall
Patagonian cypress	lawal
weye	weyetun
bush	retron
Spanish	wingkadungun
foreigner	wingka
dihueñe	digueñ
boldo	foḻo
Dombey's beech	koywe
Chilean bellflower	kopiwe
kodkod	wiña
Quilicura	Kilikura
Santiago	Santiaw
Mapocho River	Mapu chuco
Pudahuel	Pu dawüll
gaucho	huachu
monkey puzzle tree	pewen
headdress	perkiñ
enemy	ñamculm
sand	kuyem
tear	üngarn
lull	zikukeñen
oatmeal	kawella winka
blue	kallfü
air	neyenmapu
hazel	ngefü
cochayuyo	ngeño
sea urchin	yupe
sip	ofqui
travel	amucan
hen	achao
potato	poñi
