root	abut
hard	toos
goat	bibi
taste	tamis
squeeze	buti
way	dalan
table	meza
lie	toba
vein	uat
far	dook
beat	baku
fragrant	morin
difficult	susar
maize	batar
rice paddy	natar
lightning	mamera
marriage	kaben
split	fota
left	karuk
smell	horon
short	badak
mother	inan
steam	suar
sit	tuur
wealthy	riku
calf	fitis
flight	semo
wet	bokon
dam	batak
fall	monu
bell	sinu
knife	tudik
pick	hili
ear	fulin
moon	fulan
rainbow	baur
cloth	hena
how many	hira
drip	turu
thing	buat
drink	hemu
still	dauk
sulfur	baliran
sing	nanu
blood	raan
top	leten
female	feton
hole	kuak
love	domin
bad	aat
wife	feen
taste	furak
widowed	faluk
scissors	kateri
swim	nani
rain	udan
Asia	Ázia
blow	huu
hold	kaer
thin	mihis
govern	ukun
flower	funan
mushroom	kulat
know	hatene
octopus	kurita
hundred	atus
flap	tahan
name	naran
cotton	kabas
pay	selu
thick	mahar
follow	tuir
armpit	kalilin
hunger	hamlaha
yesterday	horiseik
tail	ikun
wish	karak
waist	kanotak
yam	kumbili
dust	ahun
unripe	matak
cry	tanis
tooth	nehan
hunger	laha
dream	mehi
point	tudu
wine	tuaka
all	hotu
wake	fanun
belly	kabun
package	falun
dig	ke'e
fly	lalar
shirt	kamiza
quality	kualidade
new	foun
poor	kiak
breast	susun
father-in-law	banin
cloud	kalohan
spoon	kanuru
brain	kakutak
nest	knuuk
nail	pregu
bark	hatenu
apple	masán
ant	nehek
book	livru
penis	lasan
saliva	kabeen
neck	kakorok
shoulder	kabaas
kid	labarik
hair	fuuk
tale	nanun
wisdom tooth	nehan-kraik
church	uma-kreda
basement	uma-kidun
hut	uma-tali
eave	uma-tatiis
restaurant	uma-han
skull	ulun-ruin
headache	ulun-moras
crown	ulun-fuhur
scalp	ulun-kulit
sheep	bibi-malae
rifle	besi-ahi
steel	besi-asu
perfume	bee-morin
swamp	bee-moris
barber	barbeiru
pig	fahi
tuber	fehuk
lord	na’i
thought	hanoin
speak	ko'alia
day	loron
low	kraik
ear	tilun
nose	inus
eaves	tatiis
crown	fuhur
cook	da'an
back	kotuk
ten	sanulu
twenty	ruanulu
thousand	rihun
love	hadomi
price	folin
star	fitun
stone	fatuk
nail	kukun
right	kuana
walk	la'o
afraid	ta'uk
breath	nawan
tongue	nanal
see	haree
help	tulun
say	ha'ak
steal	na'ok
good	di'ak
morning	dadeer
tell	dehan
go up	sa'e
write	hakerek
laugh	hamnasa
spit	tafui
stand	hamriik
sell	fa'an
cook	te'in
grass	du'ut
inside	laran
egg	tolun
elbow	sikun
war	funu
top	fohon
wall	didin
calf	ain-kabun
hair	fulun
vulva	hu'in
snout	inur
long	naruk
sugar cane	tohu
chin	timir
knee	ain-tuur
small	ki'ik
heavy	todan
certain	tebes
dirty	fo'er
rotten	dodok
yellow	kinur
turmeric	kunir
old	katuas
close	besik
other	seluk
this	ne'e
husband	la'en
branch	sanak
ash	kadesan
fog	abuabu
lightning	rai-lakan
mosquito	susuk
mouth	ibun
sky	lalehan
thunder	rai-tarutu
noise	tarutu
smoke	ahi-suar
lemon	derok
forgive	perdua
grapefruit	jambua
Christian	sarani
interpreter	durubasa
live	horik
bile	horun
column	riin
