Xerxes	𐎧𐏁𐎹𐎠𐎼𐏁𐎠
Cappadocia	𐎣𐎫𐎱𐎬𐎢𐎣
Bactria	𐎲𐎠𐎧𐎫𐎼𐎡𐏁
Parthian	𐎱𐎼𐎰𐎺
Gandhara	𐎥𐎭𐎠𐎼
Sogdiana	𐎿𐎢𐎦𐎢𐎭
Drangiana	𐏀𐎼𐎣
Kush	𐎤𐎢𐏁𐎠𐎹
Thrace	𐎿𐎤𐎢𐎭𐎼
Assyria	𐎠𐎰𐎢𐎼𐎠
Caria	𐎣𐎼𐎣𐎠
Sattagydia	𐎰𐎫𐎦𐎢𐏁
Ariana	𐏃𐎼𐎡𐎺
Libya	𐎱𐎢𐎫𐎠𐎹𐎠
Sardis	𐎿𐎱𐎼𐎭
Scythia	𐎿𐎣
Akaufačiya	𐎠𐎣𐎢𐎳𐎨𐎡𐎹𐎠
weight	𐎣𐎼𐏁𐎹𐎠
weight	𐎣𐎼𐏁
mountain	𐎣𐎢𐎳
Achaemenid	𐏃𐎧𐎠𐎶𐎴𐎡𐏁𐎡𐎹
Gorgan	𐎺𐎼𐎣𐎠𐎴
wolf	𐎺𐎼𐎣
great	𐎺𐏀𐎼𐎣
Persis	𐎼𐎧𐎠
Arsaces	𐎠𐎼𐏁𐎣
Darius	𐎠𐎿𐎱𐎨𐎴𐎠
horseman	𐎠𐎿𐎲𐎠𐎼
stone	𐎠𐎰𐎥
stone	𐎠𐎿𐎴
symbol	𐏐
Ancient Macedonian	𐎹𐎢𐎴𐎠 𐏐 𐎫𐎣𐎲𐎼𐎠
gold	𐎭𐎼𐎴𐎹
goldsmith	𐎭𐎼𐎴𐎹𐎣𐎼
ninth	𐎴𐎺𐎶
grace	𐎺𐏁𐎴𐎠
will	𐎺𐏁𐎴
one	𐎠𐎡𐎺
Persepolis	𐎹𐎢𐎴𐎠
am	𐎠𐎷𐎡𐎹
against	𐎱𐎫𐎡𐏁
and	-𐎨𐎠
mind	𐎶𐎴𐏃
same	𐏃𐎶
battle	𐏃𐎶𐎼𐎴
gave	𐎳𐎼𐎠𐎲𐎼
first	𐎳𐎼𐎫𐎶𐎠
day	𐎼𐎢𐎨𐏃
silver	𐎿𐎡𐎹𐎶
Ecbatana	𐏃𐎥𐎶𐎫𐎠𐎴
glass	𐎣𐎠𐎿𐎣
type	𐎨𐎡𐏂
spearman	𐎠𐎼𐏁𐎫𐎡𐎣
enemy army	𐏃𐎡𐎴𐎠
rebellious	𐏃𐎷𐎡𐏂𐎡𐎹
tongue	𐏃𐏀𐎠𐎴𐎶
this	𐎡𐎹𐎶
loyal follower	𐎠𐎵𐎢𐏁𐎡𐎹
loyal subject	𐎲𐎭𐎣
sea	𐎭𐎼𐎹
family	𐎫𐎢𐎶𐎠
tongue	𐏃𐏀𐎴𐎶
aid	𐎢𐎱𐎿𐎫𐎠
Cambyses	𐎣𐎲𐎢𐎪𐎡𐎹
doorknob	𐎶𐎹𐎧
Old Persian cuneiform	𐎠
Old Persian cuneiform	𐎡
Old Persian cuneiform	𐎢
Old Persian cuneiform	𐎣
Old Persian cuneiform	𐎤
Old Persian cuneiform	𐎥
Old Persian cuneiform	𐎦
Old Persian cuneiform	𐎧
Old Persian cuneiform	𐎨
Old Persian cuneiform	𐎩
Old Persian cuneiform	𐎪
Old Persian cuneiform	𐎫
Old Persian cuneiform	𐎬
Old Persian cuneiform	𐎭
Old Persian cuneiform	𐎮
Old Persian cuneiform	𐎯
Old Persian cuneiform	𐎰
Old Persian cuneiform	𐎱
Old Persian cuneiform	𐎲
Old Persian cuneiform	𐎳
Old Persian cuneiform	𐎴
Old Persian cuneiform	𐎵
Old Persian cuneiform	𐎶
Old Persian cuneiform	𐎷
Old Persian cuneiform	𐎸
Old Persian cuneiform	𐎹
Old Persian cuneiform	𐎺
Old Persian cuneiform	𐎻
Old Persian cuneiform	𐎼
Old Persian cuneiform	𐎽
Old Persian cuneiform	𐎾
Old Persian cuneiform	𐎿
Old Persian cuneiform	𐏀
Old Persian cuneiform	𐏁
Old Persian cuneiform	𐏂
Old Persian cuneiform	𐏃
number one	𐏑
number two	𐏒
number ten	𐏓
number twenty	𐏔
100	𐏕
Haldita	𐏃𐎾𐎮𐎫
Iranian	𐎠𐎼𐎡𐎹
people	𐎣𐎠𐎼
blue	𐎣𐎱𐎢𐎫𐎣
fighter	𐏃𐎶𐎼𐎴𐎣𐎼
foot soldier	𐎱𐎿𐎫𐎡
silver	𐎿𐎡𐎹𐎶𐎶
glass	𐎣𐎠𐎿𐎣𐎡𐎴
made of stone	𐎠𐎰𐎥𐎡𐎴
sanctuary	𐎠𐎹𐎭𐎴
land	𐎭𐏃𐎹𐎠𐎢
wrong	𐏀𐎢𐎼𐎣𐎼
image	𐎱𐎫𐎡𐎣𐎼
this	𐎠𐎡𐎫
other	𐎠𐎴𐎡𐎹
cubit	𐎠𐎼𐏁𐎴𐎡
wrong	𐏀𐎢𐎼
does	𐎤𐎢𐎴𐎢𐎫𐎡𐎹
from	𐏃𐎨𐎠
in	𐎠𐎫𐎼
under	𐎢𐎱𐎠
as	𐎹𐎰𐎠
false	𐎯𐎽𐎧𐎫
until	𐎹𐎠𐎫𐎠
record	𐏃𐎯𐎢𐎥𐎠
hostile	𐎠𐎼𐎡𐎣
deceitful	𐎭𐎼𐎢𐎩𐎴
over	𐎢𐎱𐎼𐎡𐎹
righteousness	𐎠𐎼𐏁𐎫𐎠
bear	𐎲𐎼
after	𐎱𐎿𐎠𐎺
then	𐎠𐎺𐎭𐎠
forth	𐎳𐎼
known	𐎠𐏀𐎭𐎠
how much	𐎨𐎡𐎹𐎣𐎼𐎶
previously	𐎱𐎽𐎢𐎺𐎶
reverent	𐎲𐎼𐏀𐎶𐎴𐎡𐎹
month	𐎰𐎠𐎡𐎥𐎼𐎨𐎡𐏁
month	𐎰𐎢𐎼𐎺𐎠𐏃𐎼
true	𐏃𐏁𐎡𐎹𐎶
say	𐎰𐎠𐎫𐎡𐎹
distinguished	𐎠𐎶𐎠𐎫𐎠
living	𐎪𐎡𐎺
Chorasmia	𐎢𐎺𐎠𐎼𐏀𐎷𐎡𐏁
year	𐎰𐎼𐎭
night	𐎧𐏁𐎱
window frame	𐎠𐎼𐎭𐎿𐎫𐎠𐎴
nine	𐎴𐎺
Megabyzus	𐎲𐎥𐎲𐎢𐎧𐏁
Scythian	𐎿𐎣𐎠 𐏐 𐎫𐎡𐎥𐎼𐎧𐎢𐎭𐎠
Scythia	𐎿𐎣𐎠
Scythian	𐎿𐎣𐎠 𐏐 𐏃𐎢𐎶𐎺𐎼𐎥𐎠
Scythians	𐎿𐎣𐎠 𐏐 𐎫𐎹𐎡𐎹 𐏐 𐎱𐎼𐎭𐎼𐎹
Persepolis	𐎤𐎢𐏁𐎡𐎹
Persepolis	𐎲𐎠𐎧𐎫𐎼𐎡𐎹
Persepolis	𐏃𐎡𐎯𐎢𐎹
Persepolis	𐎿𐎤𐎢𐎭𐎼𐎡𐎹
Persepolis	𐎿𐎢𐎦𐎢𐎭𐎡𐎹
Hyrcanian	𐎺𐎼𐎣𐎠𐎴𐎡𐎹
Chorasmia	𐏃𐎢𐎺𐎠𐎼𐏀𐎷𐎡𐏁
Persepolis	𐏀𐎼𐎣𐎠
Persepolis	𐎲𐎠𐎧𐏂𐎡𐎹
Bactria	𐎲𐎠𐎧𐏂𐎡𐏁
Persepolis	𐏃𐎼𐎹
Persepolis	𐎹𐎢𐎴𐎡𐎹
Persepolis	𐎥𐎭𐎠𐎼𐎹
Arachosian	𐏃𐎼𐎢𐎺𐎫𐎡𐎹
Kush	𐎤𐎢𐏁
given	𐎭𐎠𐎫
Scythians	𐎿𐎣𐎡𐎲𐎡𐏁
Scythians	𐎿𐎣𐎡𐎲𐎡𐏁 𐏐 𐎫𐎹𐎡𐎹 𐏐 𐎱𐎼 𐏐 𐎿𐎢𐎥𐎭𐎶
Intaphernes	𐎻𐎡𐎭𐎳𐎼𐎴𐎠
Arsames	𐎠𐎼𐏁𐎠𐎶
protected	𐎱𐎠𐎫
much	𐎱𐎽𐎢𐎺
peace	𐏁𐎡𐎹𐎠𐎫𐎡𐏁
what	𐏃𐎹𐎠
archer	𐎰𐎵𐎢𐎺𐎴𐎡𐎹
