free	gratis
animal	mata
mad	meta
lie	justa
toll	tol
sodium	natrium
gemeente	kota
lake	danau
south	selatan
translation	terjemahan
forearm	hasta
religion	agama
father figure	bung
bhikkhu	sangha
Cambodia	Kamboja
North America	Amerika
you	kau
come	mari
you	Anda
Mrs	Bu
Hsu	Chi
July	Juli
June	Juni
Christmas	Natal
October	Oktober
will	akan
question	tanya
prostitute	loki
pound	pon
edisi	ed.
accept	kabul
big	raya
driver	sais
regime	anarki
sin	dosa
alim	ulama
adhan	azan
belief	iman
unbeliever	kafir
perseroan	PT
atase	athan
prophet	rasul
prayer	salat
five pillars	zakat
Indonesia	PMI
cosmonaut	kosmonaut
kartu	KP
asal bapak senang	ABS
nomor induk	NIP
barang milik daerah	BMD
safe	aman
nomor	no.
geometry	geometri
biro	BAA
Aristotle	Aristoteles
moreover	toh
insult	cerca
moment	saat
pendidikan	PP
rupiah	suku
fig	ara
dog	asu
lead	pimpin
you	elo
taro	talas
pony	poni
dinosaur	dinosaurus
Japan	Jepun
leprosy	lepra
Ukraine	Ukraina
bogus	sok
actor	aktor
dog	anjing
cello	selo
sidewalk	trotoar
thirsty	haus
substance	isolator
air sac	alveolus
complete	lengkap
disgrace	cela
envy	iri
match	akur
ember	bara
dance	dansa
groundwork	sendi
ceiling	plafon
notice	nota
village	desa
church	konsili
sentence	kalimat
ink	tinta
morning	pagi
step-	tiri
dry	verano
lying down	terbaring
lie down	berbaring
mother	nyokap
integrity	integritas
Bible	Bibel
way	cara
coat	mantel
castle	puri
England	Inggris
patrol	raun
simulated	maya
Indonesia	BI
miss	nona
taxi	taksi
hari	HST
heading	kop
battery	aki
Japanese	ikebana
issue	isu
midwife	bidan
pump	bomba
bowel	usus
reality	realitas
male	boi
saint	santa
aunt	tante
letter	ā
doctor	doktor
cyst	kista
galaxy	galaksi
coat of mail	lamina
balance	imbang
single	esa
Japanese	kendo
title	rama
computerized	posting
emperor	maharaja
democracy	demokrasi
ring	dohyo
salmon	ikura
only	cuma
old	tua
pound sterling	paun
translation	terjemah
pornography	bokep
ray	pari
interest	riba
land	hoek
spoken	komen
gift	kado
you know	kok
chance	kans
verbal	afspraak
inside	binnen
causative	per-
subject	vak
cherry tree	sakura
path	jalan
ferocious	ganas
immortal	abid
easy-going	cuek
crispy	garing
lame	jayus
disgusting	jijay
letter	ē
Spanish pepper	cabe
ashtray	asbak
doctor	dokter
dress	jurk
document	brevet
peafowl	merak
Hindu	Brahma
platform	tribune
management	bestir
lead	timbal
ku	atjar
junk	jung
big	besar
sea	laut
rent	kos
awake	jaga
go ahead	yuk
motorcycle	honda
legal	jurist
seaweed	nori
destruction	pralaya
change	ubah
tool	alat
adieu	sayonara
beautiful	cans
cryptocurrency	kripto
world	loka
man	nara
taste	rasa
Nelumbo nucifera	lotus
lubricant	oli
fence	pagar
louder	santer
fence	arat
rib	iga
choir	kor
when	bila
noodle	soba
curry	kari
cramp	kram
sign	tanda
ask	minta
day	hari
hope	harap
simple	lugas
pulley	kerek
foam	busa
spit	bura
mother	bunda
root	akar
dirty	kotor
brother-in-law	ipar
means	sarana
mighty	maha
face	paras
must	mesti
inch	inci
axis	poros
pie	pai
book	kitab
supernatural	roh
fishing net	jala
lebih	dalam
left	kiri
race	ras
drink	minum
peace	salam
homosexuality	homosex
nut	mur
hunt	buru
offer	opor
sago	sagu
elbow	siku
father	abi
megaphone	toa
nun	suster
material	bakal
lesser	hina
laugh	tawa
deer	rusa
sheep	biri
fine	denda
ashamed	malu
spin	pintai
grief	pilu
hat	topi
wealthy	taipan
police station	kantor polisi
come	datang
shout	yel
dead	mati
certain	pasti
benefit	guna
gauge	duga
mad	mada
home	pulang
first	dulu
paper	kertas
example	contoh
many	banyak
any	beberapa
little	sedikit
under	bawah
outside	luar
next	depan
conjunction	kata penghubung
or	atau
but	tetapi
if	kalau
because	karena
although	walaupun
although	walau
although	meskipun
also	juga
even	bahkan
so that	sehingga
so that	supaya
only	hanya
besides	saja
walk	berjalan
trip	perjalanan
walk	menjalani
drive	menjalankan
walk	jalan-jalan
walk	berjalan-jalan
media tanam	metan
sibling	adik
polite	ibu
skola	sekolah
news	kabar
mango	mangga
papaya	pepaya
pencil	pensil
ballpoint pen	bolpen
glass	gelas
television	televisi
citrus	jeruk
orange	jingga
colour	warna
laborer	kuli
pestle	alu
dwarf	katai
skin	kulit
cooked rice	nasi
mosquito	nyamuk
inkfish	cumi
come in	masuk
head	hulu
hair	bulu
face	hadap
stop	henti
Galliformes	manuk
tomorrow	esok
uncooked	mentah
coconut	nyiur
arrow	panah
false	salah
Pandanus	pandan
close	pejam
space	ruang
sago	rumbia
year	tahun
lake	tasik
plant	tanam
continent	benua
cry	tangis
ray	sinar
sea hibiscus	waru
middle	tengah
card game	koa
oyster	tiram
god	tuhan
burn	tunu
crustacean	udang
bandage	barut
bowl	bokor
sense	budi
vinegar	cuka
tight	erat
quake	gempa
essence	inti
nature	kadar
people	kaum
occupation	kerja
passphrase	kunci
love	kasih
closed	kejam
leader	kepala
lightning	kilat
frog	katak
toad	kodok
Piper nigrum	merica
pole	kutub
north	utara
bird	burung
sky	langit
wide	lapang
sail	layar
tongue	lidah
oral	lisan
danger	bahaya
rope	utas
happen	umum
age	umur
orphan	yatim
substance	zat
bathe	mandi
sweet	manis
human	manusia
flower	puspa
fruit	buah
butter	mantega
hope	impi
young	muda
origin	mula
mouth	mulut
prophet	nabi
dragon	naga
parrot	nuri
island	nusa
brain	otak
by	oleh
sap	getah
broken	pecah
bamboo	bambu
low	kampung
dugong	duyung
thorn	duri
countable	penggiling
roll	giling
hair	rambut
sarong	sarung
meaning	erti
door	pintu
million	ribu
cigarette	rokok
rattan	rotan
ill	sakit
congratulations	selamat
breastfeed	susu
sugar cane	tebu
original	jati
plank	papan
flat	papar
crocodile	buaya
feeling	cita
ash	duli
envoy	duta
at	pada
man	pria
live	hidup
shark	hiu
calculation	hisab
diamond	jauhar
army	sena
various	serba
holy	suci
lip	bibir
current	arus
large	pinggan
anak	putra
nail	kuku
choose	pilih
comprehend	anggap
put	taruh
boat	perahu
full	penuh
show	tunjuk
bamboo	buluh
thunder	guruh
cloth	kain
sea turtle	penyu
moss	lumut
cut	putus
after	kemudian
nose	hidung
elder sister	taci
afraid	takut
grow	tumbuh
pus	nanah
forehead	dahi
leaf	daun
hill	bukit
announce	ucap
horsefly	langau
caterpillar	ulat
fog	kabut
observe	tinjau
gain	untung
mangrove	tengar
point	tuju
moustache	kumis
allot	ajal
sekolah menengah pertama	SMP
plate	pending
bright	pintar
underwear	kolor
progressive	maju
excrement	tahi
bamboo	aur
worship	puja
push	dorong
here	sini
fish trap	bubu
professor	profesor
parcel	persil
small	segel
fragrant	wangi
groove	alur
risalah	RL
mountain	giri
piece	duk
alcoholic	balo
hook	sangkut
lemongrass	serai
crumpled	luti
sea	segara
sake	mirin
calm	kalem
empress	maharani
sphere	bola
lawsuit	kasus
disciple	murid
squid	nus
water tank	toren
card	kartu
soul	jiwa
alphabet	abjad
scratch	calar
passenger	calo
lecture	diktat
profit	cuan
education	ijazah
certificate	ijaza
act	kagok
eel	mua
up	ana-
for example	misalnya
talk	berbicara
on	tentang
constant	konstanta
ring	cincin
body	bodi
death	maut
agar	agar-agar
age	zaman
dress	gaun
ear	telinga
finger	jari tangan
toe	jari kaki
digit	jari
thumb	ibu jari
child	kanak
Pancasila	adalah
be	berada
electric current	ammeter
belly	perut
southeast	tenggara
buy	membelikan
obtain	membeli
eyebrow	kening
cartoonist	mangaka
pakaian dinas upacara	PDU
backflip	salto
free	bebas
technology	teknologi
pheasant	pegar
leprous	abras
go out	anido
fundamental	besaran
reverend	domine
morning	fajar
holy	kudus
pineapple	nanas
thin	tipis
treasure	harta
science	sains
icon	ikon
ticket	loket
home page	laman
solid	limas
drawing	prive
metaphor	majas
phone	pulsa
squeeze	remas
interest	renten
turban	sorban
camel	unta
ward round	visite
manage	urus
pump	pom-pom
confession	apologia
phenomena	fenomena
emission	pancaran
glow	cahaya
flare	menyala-nyala
layer	lapisan
apparatus	aparat
orangutan	orang utan
meng-	antre
second	detik
Christian	Alkitab
members	umat
above	tersebut
included	termasuk
very	terlalu
cry	banzai
academy	akademi
shadow play	wayang
beetle	kumbang
bazaar	bazar
fetid	bromidrosis
discrimination	satori
priest	padri
serving	porsi
sign	rasi
residency	kedudukan
tax	belasting
department	afdeling
change	bahu
policy	beleid
bill	rekening
honorable	gara
fuck	ngentot
personnel	personalia
song	gita
beginning	sedia
alcohol	alkohol
discount	korting
sacrosanct	haram
Indonesian	Indo
school	madrasah
can	dapat
thanks	trims
creed	kredo
flow	aliran
Indonesian	Antara
Christ	Kristus
weird	gaje
cable	kabel
deliveryman	loper
cadmium	kadmium
blue	nila
Acehnese	Aceh
legend	legenda
rabbit	kuilu
thus	gini
Aw	Wu
nonsense	nol
anatomy	anatomi
deed	laku
section	ayat
ammonia	amoniak
gang	geng
powder	bedak
jussive	-lah
bell	genta
satisfied	puas
steak	steik
pharmacy	apotek
compass	kompas
object	benda
trumpet	trompet
therefore	hatta
turkey	kalkun
fried	nasi goreng
politically incorrect	Kristen
cabinet	kabinet
captain	kapitan
phase	fase
oxygen	oksigen
climate	iklim
retreat	undur
crane	kran
side	spion
electricity	elektrik
position	lektor
lyric	lirik
steal	curi
novelty	novum
synonym	sinonim
antonym	antonim
fee	tarif
neat	rapi
influence	faktor
cherry	ceri
currency	valuta
find	cari
Indian	ceti
typography	tipografi
polygamy	poligami
dermatology	dermatologi
horn	cula
spy	mata mata
leprosy	kusta
magnitude	magnitudo
cardiology	kardiologi
colleague	kolega
stomach	mah
ungenerous	pelit
counterfeit	tulen
Abel	Habel
prostitute	cabo
tapioca	suun
kepala	kanit
solid	padat
frontier	padan
tiger	macan
making	grafika
deviation	patologi
excuse me	permisi
primate	kera
wave	alun
you	koen
Thai	tom yam
incense	dupa
eyebrow	alis
hooray	horas
ant	semut
place	tongkrongan
knob	knop
right	eigendom
transfusion	transfusi
label	etiket
Eid ul-Adha	kurban
human	insan
butterfly	kupu-kupu
butterfly	rama-rama
can	blek
ice cream	es krim
make love	entot
honorary	honorer
beginning	awal
freak	miring
offline	luring
carrot	wortel
Philippines	Filipina
dinner	makan malam
immortal	abadi
Panchen Lama	Panchen Lama
climb	naik
agreement	harmoni
biology	biologi
pharmacokinetics	farmakologi
deceptive	tipu
everything	segala
rencana	RKA
Lembaga Penerbangan dan Antariksa Nasional	LAPAN
I	gue
bull	banteng
shampoo	sampo
dangdut	dangdut
bodybuilder	binaragawan
bodybuilding	binaraga
muscle	otot
body	mudra
title	malat
acrobatics	akrobat
cook	koki
hemorrhoid	hemoroid
coronavirus	korona
confused	kalut
azuki bean	azuki
bon appétit	selamat makan
backpack	ransel
aliphatic	etanol
autocrat	autokrat
excrement	tokay
idol	arca
mosque	mesjid
heart	kalbu
washbasin	wasbak
decennium	dasawarsa
accidental	ter-
dozen	lusin
Adam's apple	jakun
spoken	komentar
mineralogy	mineralogi
administration	stasi
Timor Leste	Timor Leste
character	karakter
sad	duka
platform	peron
analogy	analogi
bed	katil
of course	tentu
loss	kehilangan
translate	menerjemahkan
slowness	kelambatan
obsolete	usang
fawn	membujuk
nurse	jurarawat
true	benar
coach	gerbong
circle	lingkaran
concert	konser
vegetable	sayur
grill	panggang
cucumber	timun
air	air putih
licorice	permen Belanda
spices	rempah-rempah
pea	ercis
fried	goreng
sama	sama-sama
sorry	maaf
yes	ya, mau
maybe	barangkali
please	minta tolong
good evening	selamat malam
greeting	selamat siang
please	silakan
selamat	selamat pagi
bon voyage	selamat jalan
au revoir	selamat tinggal
mythical	garuda
noun	kata benda
husband	suami
cock	peler
prostitute	pelacur
loquat	biwa
testosterone	testosteron
snack	amput
anesthesiology	anestesiologi
indolent	malas
Cyperus papyrus	bardi
healthy	segar
self-sufficient	merdeka
Islamic	Sarekat Islam
South Maluku	Republik Maluku Selatan
whether	apakah
ouch	aduh
pedagang	pedagang emas
jeweller	perhiasan
candle	lilin
comb	sisir
gereja	gereja kecil
adoption	adopsi
ku	adpokat
administration	administrasi
adjutant	ajudan
action	aksi
active	aktif
albatross	albatras
handicraft	ambach
amendment	amendemen
amnesty	amnesti
civil servant	amtenar
share	andil
annexation	aneksasi
general contractor	anemer
inorganic	anorganis
watch	arloji
insurance	asuransi
Greek	Yunani
bagasse	bagase
bungalow	banglo
bench	bangku
flashlight	baterai
workshop	bengkel
dough	beslah
soup	soto
bigamy	bigami
prayer	doa
movie theater	bioskop
gunpowder	biskruit
steak	bistik
blockade	blokade
rucksack	biosak
embroidery	bordir
boatsman	bosman
chocolate	cokelat
necktie	dasi
department	departemen
double	dobol
donator	donotir
dozen	dosin
hinge	engsel
fanatic	fanatik
sura	surah
organise	menata
proclamation	proklamasi
citizenship	kewarganegaraan
done	pekerjaan
slope	lereng
how are you	apa kabar
leave	berlibur
biarkan	biarkan saja
love	sayang
cium	ciumku
I love you	saya cinta pada kamu
welcome	selamat datang
son	anak laki-laki
pity	iba
heart	jantung
heart attack	serangan jantung
present	kini
die	meninggal
orange	oranye
quarter	kuartal
letter	huruf
hell	neraka
turkey	ayam kalkun
toothpaste	odol
pussy	cuki
blue	biru
green	hijau
yellow	kuning
mouse	tikus
tree	pokok
arm	lengan
compass point	timur
snake	ular
thick	tebal
acquainted	kental
father	ayah
bee	lebah
cold	dingin
flower	kembang
copper	tembaga
lime	jeruk nipis
squid	cumi-cumi
brush	sikat
thing	barang
kiss	ciuman
compete	adu
sleep	tidur
friend	teman wanita
free	libur
shoot	tembak
wet	basah
wind	angin
Peter	Petrus
blanket	selimut
goat	kambing
owl	burung hantu
rabbit	kelinci
intake	opname
however	namun
pie	kue pai
elephant	gajah
December	Desember
eagle	elang
abacus	sempoa
salary	gaji
accuse	tuduh
close	dekat
autopsy	autopsi
neighbour	tetangga
geography	geografi
beach	pantai
university	mahasiswa
captain	kapten
tadpole	berudu
coup d'état	kudeta
vowel	vokal
bone	tulang
mountain	gunung
hero	wira
group	regu
poison	racun
calculator	kalkulator
breakfast	sarapan
gloves	handschoen
city	Yogyakarta
twin	kembar
pray	berdoa
bubble	gelembung
hook	kait
kingdom	kerajaan
touch	raba
touch	singgung
bottle	botol
solitude	kesepian
aba	abaya
candidate	calon
palace	istana
table	tabel
forefinger	jari telunjuk
artist	seniman
machine	mesin
floor	basemen
bantuan	bankes
sandfly	agas
brother	bruder
sedative	obat penenang
Japanese	moci
nightmare	mimpi buruk
lung	paru
sampai dengan	s.d.
lever	tuas
male	lelaki
country	negara
world	dunia
tomato	tomat
astronaut	astronot
strawberry	arbei
strawberry	buah arbei
ask	mengemis
alkane	alkana
hide	menyembunyikan
hide	sembunyi
woolly	domba
sheep	biri-biri
scissors	gunting
cruel	zalim
drug	usada
monarchy	monarki
because of	prodeo
link	pranala
chaos	kekacauan
flood	banjir
mushroom	jamur
Papaver somniferum	candu
digested	cerna
dentist	dokter gigi
beruang	beruang kutub
clear	cerah
nepotism	nepotisme
slang	slank
bespelled	kalap
panther	harimau
pigeon	merpati
udon	udon
amazed	heran
titik	TK
ocean	lautan
deadly	letal
homosexual	gay
fly	lalat
cardinal	kardinal
charm	afsun
Hindu	Agni
write	tulis
flag	bendera
pitiful	kasihan
nationality	kebangsaan
sad	sedih
sad	sayu
sad	sendu
paralyzed	petut
hurricane	topan
weave	tenun
alms	punia
alkyne	alkuna
young	taruna
Western New Guinea	Irian Jaya
Tuesday	Selasa
Saturday	Sabtu
satuan setingkat kompi	SSK
stressed	stres
in addition to	selain
higher	atasan
overcome	mengatasi
paradox	paradoks
reptile	reptil
story	kaba
hard	keras
lizard	kadal
ginger	jahe
Man	Pulau Man
Eropa	Eropa Timur
Baltik	Laut Baltik
North Sea	Laut Utara
abaca	abaka
hand over	menyerahkan
seize	meraih
artikêl	artikel
attention	perhatian
push	dorongan
steer	mengemudi
circle	kalangan
action	tindakan
war	Indra
gill	insang
Jawa	Jawa Kuno
may	boleh
conquest	fatah
conquest	penaklukan
file	arsip
shock	kejutan
fit	klop
predict	meramalkan
food	pangan
port	pelabuhan
remote	terpencil
plain	polos
Five Pillars of Islam	Rukun Islam
philosophical	Garuda Pancasila
hanging	gantung
nation	bangsa
Roman Empire	Kekaisaran Romawi
Byzantine Empire	Kekaisaran Romawi Timur
injection	suntikan
summer	musim panas
grass	rumput
slow	lambat
prosecute	menuntut
banner	panji
curry leaf	daun salam koja
bay leaf	daun salam
football	sepak bola
fall	jatuh
raccoon	rakun
cough	batuk
act	babak
judge	hakim
long live	hiduplah
African	Belanda Hitam
what's going on	ada apa
apakah	apakah Anda berbicara bahasa Inggris
bisa	bisa bahasa Inggris
me	-ku
realise	menyadari
secret	rahasia
ignorant	bebal
rough	kasar
steak	bistek
pants	celana dalam
sex	seksualitas
Spondias pinnata	amra
residue	sisa
technique	kriya
pedestrian	pejalan kaki
meng-	favorit
boulevard	bulevar
certificate	akta
see you later	sampai jumpa
hatred	kebencian
hatred	benci
one hundred	cepek
uncle	paman
citizen	rakyat
assume	kira
insensitive	tega
weak	lemah
ghost	hantu
candidate	kandidat
bad luck	nahas
shophouse	ruko
revenue	omzet
quinoa	kinoa
hinder	HO
guardianship	curatele
advice	advis
cadre	kader
snow	salju
emergency	spoed
patent	paten
Northern Ireland	Irlandia Utara
penis	titit
rooster	ayam jago
hallucinate	berkhayal
handle	menangani
hot	terik
heat up	memanas
fierce	bergolak
forklift	forklif
holy	keramat
holy	sabil
water	tirta
saint	orang kudus
Holy Spirit	Roh Kudus
brother	kanda
rumor	kabar angin
cabin	kabin
white	kabung
regency	kabupaten
vague	kabur
glass	kaca
diving mask	kaca mata selam
magnifying glass	kaca pembesar
fibreglass	kaca serat
soybean	kacang kedelai
confused	kacau
sometimes	kadang
sometimes	kadangkala
frightened	kaget
admiration	kagum
fishing	kail
satin	kain antelas
swimsuit	kain basahan
batik	kain batik
baby sling	kain penyandang
emperor	kaisar
lesson	kaji
test	kajian
older	kakanda
bass	kakap
grandfather	kakek
millipede	kaki seribu
grandfather	kakik
candy	kaki-lima
arcade	kakilima beratap
toilet	kakus
conquered	kalah
election	kalah suara
buttress	kalang
even if	kalaupun
can	kaleng
this	kali ini
time	kali lipat
you	kalian
you	saudara
chaotic	kalibut
time	kali sehari
calculation	kalkulasi
bat	kalong
March	Maret
May	Mei
bald	gundul
jaw	rahang
jawbone	tulang rahang
caliph	khalifah
maxilla	tulang rahang atas
mandibula	tulang rahang bawah
foreman	mandor
God willing	insya Allah
i.e.	ialah
asshole	bangsat
backbite	ngerasani
dazed	ndelomong
because	secara
heaven	nirwana
arranger	penata
anecdote	anekdot
lean	sandar
mosque	misigit
myrrh	kemenayan arab
apostle	apostel
something	gaban
child	anak-anak
why	awat
shell	batok
aunt	bibi
accurate	akurat
consent	setuju
inflation	inflasi
headdress	bulang
write	menulis
palu	palu arit
ostrich	burung unta
kangaroo	kanguru
anak	anak perempuan
often	sering
so	jadi
ink	dawat
examination	eksamen
armed forces	tentara
bite	gigit
side	sisi
fornication	zina
serving	saji
weary	lemas
ballast	andem
wound	cedera
contradiction	kontradiksi
handel	hendel
change	tukar
cemetery	pekuburan
motor	sepeda motor
biochemistry	biokimia
kite	wau
scratch	garuk
creator	kreator
fugitive	buron
pointless	percuma
choose	memilih
chin	dagu
cotton	kapas
cotton	katun
woodpecker	burung pelatuk
tail	ekor
tail	buntut
ash	debu
hammer	palu
kidney	ginjal
tired	lelah
parkour	parkur
bicycle	sepeda
kiss	cium
translator	penerjemah
plagiarized	plagiat
kapok	kapuk
New Year	Tahun Baru
Gastropoda	siput
public	publik
sponge	spons
dolphin	lumba-lumba
layout	tata letak
little finger	jari kelingking
good-looking	tampan
document	laporan
appearance	zahir
numeral	-em-
have	harus
mix	aduk
seminary	seminari
rose	mawar
carp	karper
erase	hapus
I	ku-
barbarian	barbar
rubble	puing
applause	aplaus
spear	tombak
button	tuts
tortoise	kura-kura
traditional	botok
valley	lembah
myth	mitos
canteen	kantin
risk	risiko
intelligent	cerdas
documentary	dokumenter
womb	peranakan
cattle	wagyu
charcoal	arang
frame	ikat
cake	kue
breadcrumb	panko
practicum	praktik
sour	asam
drool	iler
wool	wol
known	beken
digital	emoji
transfeminine	waria
wood	anjer
narcotic	narkotika
die	mampus
volcano	vulkanologi
sesame	wijen
jar	kendi
fin	sirip
oratorio	oratorium
atheist	ateis
onion	bawang
crow	burung gagak
abbess	abdis
Canis lupus	serigala
baby	bayi
muntjac	kijang
almost	hampir
rainbow	pelangi
rainbow	bianglala
ring finger	jari manis
comet	komet
chainsaw	gergaji rantai
chainsaw	gergaji listrik
snail	bekicot
earthquake	gempa bumi
read	membaca
willing	rela
galangal	laos
mask	topeng
juice	peras
intuitive	intuitif
komandan	dansat
cigar	cerutu
insect	serangga
shadow	bayangan
doughnut	donat
intensive	intensif
rhythm	ritme
pabrik	bakeri
neckerchief	halsduk
person	anak yatim
wish	keinginan
administrative	administratif
cathedral	katedral
clean	ceria
shaman	dukun
eardrum	gendang telinga
female	wanita penghibur
contest	kontes
yours	-mu
him	-nya
-th	ke-
rice	onigiri
rocket	roket
billiards	biliar
psychologist	psikolog
child	acil
betel	sirih
crow	gagak
snot	upil
dive	selam
contain	beralkohol
ox	lembu
Finland	Finlandia
unique	unik
recruit	rekrut
poetry	puisi
wholesale	borong
washbasin	wastafel
mycology	mikologi
slow	perlahan
pond	kolam
meat	daging
dug	digali
advertisement	iklan
different	alo-
coefficient	indeks
personal	pribadi
boss	sep
capybara	kapibara
hurricane	angin topan
obesity	obesitas
test	uji
syndrome	sindrom
tyranny	tirani
scallion	daun bawang
quiet	sunyi
mushroom	cendawan
pregnancy	kehamilan
sporadic	sporadis
pomelo	jeruk bali
spicy	pedas
separate	cerai
intense	intens
grindstone	canai
trachea	trakea
moron	bego
dried	asat
wisdom	hikmat
