llama	lama
I	jô
you	të
he	òn
she	òna
it	òno
we	më
they	òni
who	chto
Poland	Pòlskô
Polish	pòlsczi
tongue	jãzëk
where	dze
noun	jistnik
English	anielsczi
Spanish	szpańsczi
Portuguese	pòrtugalsczi
Croatian	chòrwacczi
Czech	czesczi
Italian	italsczi
Russian	rusczi
harrow	bróna
Upper Sorbian	górnosorbsczi
Lower Sorbian	dolnosorbsczi
today	dzysô
actor	teatrownik
actress	teatrownica
France	Francëjô
Russia	Ruskô
evil spirit	biés
alphabet	abecadło
or	abò
abstraction	abstrakcëjô
alphabet	alfabét
accurate	akùrôtny
tea	arbata
aster	astra
car	aùtoł
gills	czéwa
man	chłop
proud	bùszny
flesh	cało
pants	bùksë
darkness	cemnica
brother	bracyna
back	chrzëbt
bush	czerz
stick	czij
happiness	ceszba
stump	camer
mud	brëja
stove	blatk
quickly	chiże
read	czëtnica
existence	bëcé
slip	czitel
army	armijô
well	bëlno
weight	berda
lighthouse	bliza
spear	bòdôrz
only	blós
nave	bùsa
basket	czipa
velvet	aksamińt
anise	anys
peony	bùjón
tuber	bùlwa
branch	chabina
thief	charłãżnik
bob	czëp
shaft	cygło
womanly	białczi
jug	bùska
artificial	falszëwi
where	gdze
bone	gnôt
goose	gãs
fork	gafla
pickle	gùrka
pitcher	grónk
race	miónka
bag	miech
bud	pãczk
penis	pënka
sand	piôsk
flame	płom
mushroom	pãpk
native	rodny
never	nigdë
insect	òwôd
invitation	rôczba
north	norda
steep	przitczi
son	òtrok
doll	pùpka
fire	òdżin
pie	plińc
poplar	papla
celestial	niebny
first	piérwi
mommy	nënka
however	równak
puddle	plëta
slovenly	nielùso
angle	nórt
elbow	łokc
moon	miesąc
assault	napôd
ago	nazôd
badly	lëchò
even	nawetka
dressed	òblokłi
see	òbôczëc
windmill	młoleczka
woodsy	lasowi
allotted	namieniony
speak	gadac
end	kùńc
sphere	kùgla
room	jizba
voice	hërlëk
cross	krziż
farmer	gbùr
infinitive	infinitiw
star	gwiôzda
thick	gãsti
dress	kléd
near	kòl
internal	bënowi
colour	farwa
fat	grëbi
coif	hùwa
clover	kléwer
family	familëjô
hymn	himn
thimble	palecznik
fisherman	rëbôk
opposition	procëm
woodcutter	rãbca
parrot	parôt
tansy	pòkrãtnik
romp	rowarzëc
birth	narodzenié
little	përznã
photograph	òdjimk
garden	ògard
fireman	ògniôrz
eye	òkò
bug	mëga
someone	chtos
loaf	brót
mushroom	brzezan
roofer	dakôrz
frying pan	panewka
get used to	nałożëc
fishing	rëbacczi
be	bëc
barrel	achtel
salvation	zbawienié
ear	ùchò
slope	ùrzma
inherit	erbòwac
hand	rãka
lie	łżec
ray	parmiń
mud	rëda
ribbon	blewiązka
faster	rëchli
sprat	mùtka
wait	żdac
slob	klutôk
wardrobe	ruchniónka
mattress	madraca
blue	mòdri
soft	mitczi
toad	kąter
hurricane	arkùn
jacket	kabôt
save	retac
rescuer	retôrz
bucket	wãbórk
trouble	jiwer
radish	radiska
pressure	ùcemiãga
idea	ùdba
government	réga
slovenly	nielùsy
prison	priza
arsenic	arszelnik
section	òddzél
trunk	ùzémk
fern	parpac
spot	merkac
ladder	cecewiô
speed	chùtkòsc
quickly	chùtuszkò
quickly	chùtkò
stocking	nogawica
mark	mërk
remind	przëbaczac
devil	pùrtk
fit	òbrëmic
high school	gimnazëjô
book	knéga
accuracy	akùrôtnosc
sparrow	warbel
nose	knéra
coarseness	dër
guard	starża
sister	sostra
recall	wdarzëc
uncle	wùja
child	dzeckò
fruit	brzôd
when	czedë
three	trzë
four	szterë
five	piãc
six	szesc
seven	sétmë
eight	òsmë
nine	dzewiãc
ten	dzesãc
big	wiôldżi
amber	jantôr
mangold	rąkla
dark	cemżô
bag	miészk
business	wark
count	rechòwac
clothing	ruchno
fox	lës
milk	mlékò
water	wòda
furrow	brózda
sky	niebò
week	tidzéń
airport	latawiskò
cow	karwa
god	bóg
pigeon	gòłąbk
reindeer	renifer
bark	kóra
seed	semiã
bird	ptôch
fun	rozegracëjô
light	jasny
which	chtëren
car	aùto
cheek	òbrôz
e.g.	np.
name	miono
camel	kamela
dog	tósz
moon	miesądz
weather	wiodro
elephant	słóń
yoke	jigò
yoke	jugò
scythe	kòsa
goat	kòza
marten	kùna
whore	kùrwa
eagle	òrzéł
father	òjc
window	òkno
book	knéżka
day	dzéń
new	nowi
Asia	Azëjô
Europe	Eùropa
horse	kóń
armadillo	pancernik
europium	europ
samarium	samar
young	młodi
capybara	kapibara
mask	larwa
bird	błotnik
Pomeranian	pòmòrsczi
Pomerania	Pòmòrskô
kaszëbsczi	Kaszëbë
kaszëbsczi	Kaszëbskô
Baltic Sea	Bôłt
Sopot	Sopòt
voivodeship	wòjewództwò
writer	pisôrka
writer	pisôrz
macaque	makak
rabbit	trus
roscënë	roscëna
Turkey	Tëreckô
Denmark	Dëńskô
Belarus	Biôłorëskô
European Union	Eùropejskô Ùnijô
Croatia	Chòrwackô
Czech Republic	Czeskô
Bulgaria	Bùlgarskô
Latvia	Łotewskô
Germany	Miemieckô
Australia	Aùstralëjô
Sweden	Szwedzkô
Finland	Fińskô
Georgia	Grëzëjô
Ukraine	Ùkrajina
Italy	Italskô
Serbia	Serbskô
Moldova	Mòłdawskô
Monaco	Mònakò
Switzerland	Szwajcarskô
Greece	Greckô
Romania	Rumùńskô
Montenegro	Czôrnô Góra
Portugal	Pòrtugalskô
Netherlands	Néderlandzkô
Slovenia	Sloweńskô
Slovakia	Słowackô
prayer	mòdlëtwa
swan	kôłp
lip	lëpë
cloud	chmùra
cloud	blóna
friend	drëch
tulip	tëlpa
air	lëft
North America	Nordowô Amerika
Hungary	Madżarskô
jackdaw	mòrës
dictionary	słowôrz
clover	kòniczëna
snow	snieg
cheese	sër
Chisinau	Kiszëniôw
violin	skrzëpczi
triangle	tśirožk
Ottawa	Òttawa
soldier	żôłniérz
ax	seczera
bear	miedzwiédz
copper	kòper
death	smierc
silver	strzébro
silk	jedwôb
dirty	brëdny
song	chòranka
gold	złoti
newspaper	cajtung
white	biôłi
black	czôrny
yellow	żôłti
orange	apfelzynowi
pink	różewi
red	czerwiony
capital	stolëca
quark	glomza
quark	glomzda
never	niga
have	miec
berry	jagòda
egg	jajco
kamienia	kamë
angel	ãniół
ass	rzëc
for example	na przikłôd
often	czãsto
also	téż
sperm whale	kaszalot
darkness	mroch
plurale tantum	Jastrë
Easter	Jastra
stolemë	stolem
market	rënk
fist	pisc
sea	mòrzé
music	mùzyka
medicine	medicëna
chemistry	chemijô
geography	geògrafijô
very	barzo
green	zelony
autumn	jeséń
spring	zymk
lightning	môłniô
always	wiedno
for ever	na wiedno
hold	trzëmac
very	barzëchno
very	barzëczkò
tease	dosôdzëc
very	barżilkò
Earth	zemia
impersonal	bezòsobòwi
atmospheric	atmòsfericzny
demonstration	demónstracjô
manifestation	manifestacjô
conspire	kònspirowac
build	bùdowac
wake	bùdzëc
sit	sedzec
Internet-related	jinternetowi
Indonesian	indonezëjsczi
proposal	bédowanié
Belarusian	biôłorusczi
hero	bòhater
road	darga
dried stalk	chłąd
trouble	kłopòt
motley	bestri
rapid	bëstri
groin	słabizna
push	pchac
spade	ridel
brushwood	chróst
wind	wiater
bat	szãtopiérz
ryegrass	pòszczesnik
avoid	stronic
bristle	szczec
wild boar	dzëk
Numenius	bagniôrz
Scolopax rusticola	nosôcz
Calidris alpina	biegôcz
beaver	bòber
hare	zajc
Arvicola	kôrczownik
rat	szur
path	stegna
Polygonum	dërdest
stone	kamiń
deity	Jastrzëbóg
sea deity	Gòsk
Kashubian mythology	Gòstk
viper	żnija
European bison	żuber
ash tree	jasón
mouse	mësz
Gymnocephalus cernua	jôżdż
book	knëga
fern	parparc
dark	cma
hunger	gółd
head	gôłwa
five	pińc
nine	dzewińc
ten	dzesińc
how much	kùlkò
how much	kùli
this much	tëlkò
this much	tëli
Thursday	czwiôrtk
bear	miedwiédz
four	sztërë
wool	wôłna
sea	mòrze
pancake	pańkuk
queen	królewô
eel	wãgór
eel	wãgorz
darkness	òmroch
house	chëcz
cloud	blón
house	chëcza
ask	pëtac
eat	jesc
know	wiedzec
damp	sëri
cheese	sëra
fat	sëti
animalistic	zwierzëcy
August	serzpiéń
January	stëczeń
October	pajicznik
June	czerwc
July	miodownik
July	lipc
November	lëstopôd
childish	dzecny
part	dzél
speak	môłczëc
scorching	spôrzny
full	pôłny
sausage	kôłbasa
such	taczi
cottage	kôta
plum	slëwa
Esox	szczëka
snake	znija
fieldfare	jagódnik
hamster	mëszôk
hamster	skrzeczk
screech	skrzeczec
kangaroo	kangùr
echidna	kòlczatka
platypus	dzëbôk
beak	dzëba
koala	kòala
sloth	zgniłozwiérz
lazy	zgniłi
rot	zgnic
rot	gnic
animal	zwiérz
anteater	mrówkòjôd
eater	-jôd
mammal	cëcón
mammal	susk
suck	cëcac
suck	susac
teat	cëc
rodent	grëzôk
gnaw	grëzc
porcupine	jeżownik
porcupine	jeżozwiérz
hedgehog	jéż
guinea pig	swinka mòrskô
pig	swinia
marine	mòrsczi
chinchilla	szinszila
mole	toczk
squirrel	òrzesznica
nut	òrzech
marmot	mërmòt
guenon	kòczkòdan
baboon	pawión
gorilla	gòril
chimpanzee	szimpans
hyrax	gòralk
mammoth	mamùt
hollow	toczëc
winged	skrzidlati
wing	skrzidło
hippopotamus	hipòpòtam
whale	wiôlgòrëba
whale	mòrsczi kóń
porpoise	mòrskô swinka
orca	órka
giraffe	żirafa
deer	jeléń
moose	łos
długòsc	dłudżi
broad	szeroczi
cãżkòsc	cãżczi
little	môłi
brief	krótczi
narrow	wąsczi
bad	złi
blunt	tãpi
close	blisczi
distant	daleczi
circular	òkrãgłi
flesh	miãso
gob	gãba
fingernail	nokc
abdomen	brzëch
bug	robôk
fog	dôka
hear	czëc
spit	plëwac
laugh	smiôc
be afraid	bòjec
lie	leżec
live	żëc
sleep	spac
see	widzec
give	dôwac
fall	pôdac
walk	chòdzëc
go	jic
tie	rzeszëc
wash	mëc
sew	szëc
rub	trzéc
fly	lôtac
heat	pôlëc
swim	płëwac
hurl	cëskac
drag	cygnąc
dig	kòpac
think	mëslëc
die	ùmierac
chant	spiéwac
smell	cknąc
