father	abba
metre	mitri
notebook	daftar
amen	aamiin
run	erde
amazement	hagga
world	baad
pea	qatar
six	lacey
denial	hinna
sugar	sokkar
instrument	aalat
people	sinam
tact	ulmo
oven	furum
smell	abice
juice	xamu
feminine	t-
tamarind	comor
loaf	furunto
rejoicing	satta
root	ramad
family	buxa
breast	angu
small	kalda
patrol	giba
benefactive case	-h
start	afur
light	ifu
loan	abud
never	abadan
we	nanu
hide	galbo
always	umman
lesson	qasir
mine	yim
some	uli
discussion	waane
arrogance	aana
play	abale
rag	rala
house	qari
revenge	naag
police	boliis
tear	ximo
gold	dahab
dust	obol
nine	sagaal
hope	amal
they	usun
one	inik
fast	soom
serpent	warru
eyebrow	minin
honey	malab
fart	buuxa
beer	kamri
Saturday	sabti
Tuesday	talaata
stone	xaa
train	baabur
bird	kimbiro
shallow	buyyi
hat	koofiyat
oyster	ceraaki
mollusc	cibix
chase	adame
hunger	luwa
red	qasa
he	usuk
young	aqa
pistol	fardi
rice	ruddi
lion	lubak
above	bagu
avoidance	kabad
leaf	kabat
men	labha
she-goat	reyta
wish	niya
fifty	kontom
boastfulness	hida
lacéy	lica
faithfulness	aaman
myriad	kuum
calling out	aako
good-for-nothing	bosol
who	iyyi
command	amri
theirs	kenim
family	ahli
combativeness	alemu
sharing	agle
result	xalu
joke	turru
friend	kataysa
baby	narig
mum	yayya
sap	umel
telephone	telfoon
Arab	Qarabi
French	Faransaawi
no	maleey
only	dibuk
yes	yeey
but	immay
woman	agboyta
hunger	satqa
cough	kacuw
cough	kixa
precipice	boolo
shave	moolo
depravity	gamqe
seizure	buuba
puberty	ablaake
twilight	miraarib
disease	dalka
infection	adlaake
injection	irba
vision	mabla
seat	madab
tomato	bomodooro
vitamin	bitamiin
denigration	waame
reconciliation	mamqa
teasing	sasam
pride	manqa
productivity	sasan
yawn	saksako
gullible	samaf
pause	samah
rancid	bafad
snore	karruf
glare	bacad
humus	bacta
mutism	karruc
bragging	ukya
gap	kadco
swiftness	dagdago
mountain top	hidhid
touch	xago
tapping	xagxago
extinction	saax
tribe	kido
kindness	nudqi
loincloth	masnaf
abortion	nunqi
raisin	dabiib
olive	daytuun
myrrh	mukto
torture	otqor
provocation	mukno
pure	taahir
window	taagat
mist	aslal
callus	balha
trumpet	rabko
polishing	mabra
rut	labko
riddle	bokxo
sexual intercourse	maxo
burying	bokro
half	abxa
earth	baaxo
expert	mixig
edge	akle
gendarme	gandaaram
paradise	gannat
bomb	kunbula
jurisprudence	fikhi
tress	qayxi
leopard	kabqi
weapon	silac
henna	cinna
haste	gadcado
path	sesahtu
exhaustion	nuuh
droplet	ximmo
lightness	hawwa
colon	darru
muscle	ixu
muteness	kacca
brouhaha	daahhe
vegetable	kudra
distribution	mekla
polemic	axkoxxa
number	ixxu
butte	cugbu
mediocrity	alimu
horde	egul
poetry	dorro
shell	gadalu
oath	xiiba
bray	hooba
help	caraa
birth	ubka
fracture	diglo
warning	maqagtina
hoe	maayta
orange	balqinaan
school	iskool
project	borojekti
construction	xinse
wedding	digib
wadi	daqar
knee	gulub
Muhammad	Mocammad
drawing	weelisenta
magnifying glass	aynabenta
waiter	yayfoofi
waitress	tayfoofi
measure	waado
shape	weelo
color	bisu
nouns	-oyso
assessment	waadoyso
colouring	bissoyso
masculine	-iinu
feminine	-iino
slavery	naqoosannu
fearful	bexxa
cowardice	bexxiinu
cowardice	bexxiino
femininity	barriinu
femininity	barriino
masculinity	labhiinu
masculinity	labhiino
sibling	tooboko
brotherhood	toobokiinu
brotherhood	toobokiino
friendship	kataysiinu
friendship	kataysiino
courage	agiirannu
greed	cillaale
scrooge	cillaaleyna
temperament	caalat
colored pencil	bissoyseyna
anger	naqabu
trousers	sirwaal
enclosure	uguc
weak	narigtu
wimp	barrayto
women	agabu
wimp	numoyta
male	loynaytu
female	loynayto
singulative	-ytu
singulative	-yto
hut	daaso
wimp	barraytu
superior	labhayto
superior	labhaytu
striped hyena	dalcu
husband	baqala
girl	baxuwwa
boy	furraynu
billy goat	dabeela
male	rakub
spotted hyena	yangula
dik-dik	segerre
shoe	kabella
wind	caacay
children	urru
well	qeela
war	qeebi
terrain	booxa
airplane	tayyaara
garden	bustaan
teacher	muqallim
machine	makiina
goat	wadar
bull	sagaytu
camel	gaalaytu
money	lakqo
money	duyye
mountain	qale
hole	booha
paper	warkat
birds	kimbir
acacia	eqeb
acacia	eqebto
doum palm	qunga
doum palm	qungayto
fish	kullum
children	xaylo
Ethiopian	Cabsa
Somali	Soomaali
news	xaagu
insult	xaafu
forehead	qaada
campsite	gaanta
hurt	biyak
widow	gubuna
guest	qibina
tube	kasab
salary	musaahara
bicycle	baskil
shovel	badiila
elderly	idoola
old man	idaltu
old woman	idalto
Oromo	Oroomo
Amhara	Amcar
grandfather	kaxxa-abba
Arab	Qarab
surprise	garci
Oromo	Oroomoyta
Amhara	Amcartu
Amhara	Amcarto
weak	narigto
lamb	lagaade
male	lagaddu
female	lagaddo
female	baklo
male	rugaytu
baboon	damaaqe
mosquito	kayniiqe
fish	kullunta
dolphin	qoobaari
warthog	ceray
ostrich	goroyya
babul	kasalto
tamarind	comorto
or	innaa
awká	-nnaa
tea	saahi
sidóc	sidiica
feréy	affara
tában	tabna
tabán kee tíya	taban kee inki
thirty	soddom
forty	morootom
seventy	malcina-taban
eighty	bacra-taban
ninety	sagla-taban
thousand	alfi
million	malyuun
billion	milyaar
when	waqdi
quarter	rubqi
glass	figgaan
kilogram	kiilo
fragmentation	digloyta
decimal point	catuffa
no	hebelto
all	ummaan
already	kidoh
boat	markab
day	ayro
fist	kummuuqo
open	xeeru
nail	lifiq
kilometre	kiilomitri
salt	qasbo
snuff	siino
white	mareekani
elbow	sucul
elbow	cusul
cholera	koleera
yesterday	kimal
that	wotti
butterfly	laahinti
education	baritto
good	nagay
saucepan	mateeba
hair	xagor
brake	fareen
reward	galto
last year	boodifa
hospital	daktara
care	dayla
Eve	Haawa
dress	diriq
beauty	qaxa
greatly	kaxxam
sultan	sultaan
Soemmerring's gazelle	simbilqa
hut	daboyta
bucket	baaladi
Fatima	Faatuma
trouble	umaane
much	maggom
whose	iyyin
this	tamah
that	wottih
Ali	Qali
aim	maxco
work	taama
quarter	caafat
are you OK	qaafiyata
certainly	diggah
town	magaala
jackal	wakri
God	Yalla
soul	rooci
treat	udulume
get lost	utuluke
slide	uftuce
unknot	ifdige
mate	inkile
carry	ukkuqe
cultivate	ubqure
hide	ooqore
bury	oogoqe
call	seece
hinder	bixaaxe
white	qado
flat	galbabbaqini
fresh	xabcini
big	kaxxa
anoint	uskute
slit	usguude
reconcile	eymeeqe
raise	eynebe
accomplish	ugdube
reach	eleele
talk	yaabe
resemble	ceele
bring	baahe
apple	tuffaac
come	isillime
save	iysillime
relax	offoofe
calm down	oyfoofe
abandon	obboode
chase	eyredde
see	uble
Soemmerring's gazelle	simbiliq
sew	ixcixe
milk	ixiggile
know	eexege
drink	ooqobe
load	eerre
cook	alayse
go	gexe
autobenefactive	beete
hear	oobbe
trap	ibbixe
curdle	itqite
high	xeeri
short	uxxi
tie	dodoobe
complete	uybuude
shelter	eygerre
shelter	engerre
prepare	eykebeebe
prepare	enkebeebe
hit	oogore
come	emeete
reddish	qasamqasa
piece	cadoyta
still	wixih
pick up	ifiile
come back	uduure
teacher	maqallim
zoo	alwaggaso
operation	obbeerasiyonu
after	wadir
urine	daaco
tourist	tuuristi
become	qasamqassoowe
elegance	bilqa
say	exce
approach	kabba
work	taamite
tooth	boddina
conversation	yab
nastiness	kataf
cut	irgiqe
become	ekke
smile	usuule
eat	okme
give	ecee
stop	soole
bride	alkumeena
be able	duude
grass	qayso
fail	raare
generation	aado
introduction	aakam
end	aakir
precedence	aakumale
assent	aalam
attempt	aqakkan
frog	aqan
frog	aqantu
tadpole	aqantibaxa
water	aqta
whimper	aqto
curse	abaare
curse	abaaro
evil	abaaroli
spring	abqa
crawl	abbaahiye
night heron	abbadabqis
authority	abbowtan
venomous	abeesa
stink	abic
smelly	abicle
smelly	abicli
work	abina
grandmother	aboyya
kettle	abrik
lend	abuudute
parasitise	abuurite
desert	abuuruse
politeness	adabi
season	adban
hide	adday
skin	addaytu
world	addunya
genet	adoyla
back	axca
engage	haasawe
baby	nargo
women	agaaba
nationality	agattina
nationalism	agattino
nationalist	agattinaytu
geography	joografi
ku	kuyna
paternal uncle	qammi
mountain	qaleyta
food	maaqo
go out	dacare
take out	dacrise
parent	xaleyna
teach	barise
name	migaq
Afar	qafar
Afar	qafarto
Afar	qafartu
ram	maruw
allergy	ciin
progress	gexso
urine	cayso
sling	wanxef
sling	wanxefta
rain cloud	gayran
rain cloud	gayrantu
locust	qanay
locust	qanaytu
bat	bartikimbiro
bat	bartikimbir
búyyi	buyya
búyyi	buyyaaya
warthog	ceraytu
bride	qibna
jujube	kusura
old	guruf
old	gurufta
horn	gaysa
baaxo	baaxo danan
bad	baddi mara
ray	baddikimbiro
edge	exxa
peer	fiqma
female	fiqinto
male	fiqintu
ulla	ullat-ina
ulla	ullat-inaani
daro	darot-ala
daro	darot-alwa
spider	qaro
qaro	qarok-qari
qaro	qarot-qari
qaro	qarok-qarwa
qaro	qarot-qarwa
a	a saaku
a	a saakitte
day after tomorrow	beeca
day before yesterday	ambaaca
night before last	amboyra
time	waqla
get up	ugute
a	a way
kúlli	kulli waqdi
wakák	wakak wak
early	waqlat
nearby	xayi
near	xayih
usually	xeflih
xayí	xayi waqdi
xéeruk	xeeruk xayih
cigarette	sigaara
behind	darre
before	fooca
sack	kiis
one	inkittu
iníki	inkitto
two	nammay
three	sidoc
sidiicá	sidocoy
four	ferey
faréyi	farey
five	konoy
lecéyi	lecey
seven	malciin
eight	bacaar
twenty	labaatanna
twelve	taban kee nammay
thirteen	taban kee sidoc
fourteen	taban kee ferey
fifteen	taban kee konoy
sixteen	taban kee lacey
seventeen	taban kee malciin
eighteen	taban kee bacaar
nineteen	taban kee sagaal
zero	foyya
peace	amaan
safeness	assallaama
saint	awliiya
miracle	ayyaat
Monday	itlen
Wednesday	arbaq
Thursday	kamiis
Friday	gumqat
week	ayyam
well-being	qaafiyat
tusk	qaag
elephant	dakanu
wise man	qaakil
his	kayim
hers	tetim
yours	sinim
mollusc	cibixxo
hero	agiru
female	bakalo
male	damaqtu
female	damaqta
fly	kaaqaytu
gnat	qadaalaytu
dolphin	qoobaariyta
strand	xagorta
Jew	Yahuud
song	yaarri
ruby	yaagut
flood	weeqa
river	weeqaytu
feast	waynabo
gazelle	wayxaxe
male	wayxexxu
female	wayxexxo
leopard	wacar
leopardess	wacaro
olive tree	wagar
olive tree	wagarto
ape	wagaq
male	waamu
castrated	utkaaliyta
stomach	uruffe
diarrhoea	urruuga
placenta	urriina
congratulations	unkaq
birth	ullaalo
small intestine	ulqi
duodenum	ukubbi
air	ufuy
playing card	turub
dove	tukkurru
apple	tuffac
perfume	qatri
eagle	qawi
eagle	qawiyta
orphan	qayxiixa
female	qayxixxo
male	qayxixxu
insult	qayto
dwarf	qeeni
feminist	qeglili
one-year-old	qeskaalu
one-year-old	qeskaltu
male	qibnaytu
female	qibnayto
white	qidi
orange	burtukan
motherless	daaha
big	daacurre
big	daacureyta
bitter apple	daqartaba
mainmast	dagal
semen	dacoyta
gall bladder	dactusso
hospital	daktar
franc	faranka
lower	farooda
clitoris	kimbixxa
porcupine	laadina
rat	hantuuta
ground squirrel	daygir
mouse	ikqiyo
hare	bakkeela
cat	dummu
cat	dimmatto
fox	gelwa
vixen	gabco
vixen	gadma
sperm whale	nabaru
sperm whale	qambilbacar
Christianity	koroos
Islam	islaam
car	mootar
