eight	и
ant	хъумпӏэцӏэдж
high	лъагэ
blue	шхъуантӏэ
daughter	пхъу
predatory	хьакӏэкхъуакӏэ
smoke	ӏугъо
ram	тӏы
heavy	уэндэгъу
guest	хьащӏэ
navel	бынжэ
myopic	набгъэ
boil	вэн
garlic	бжьыныху
accept	дэн
tin	дзэху
ploughshare	вабдзэ
slave	пщылӏы
blister	псыбыб
sit	тӏысын
school	еджапӏэ
rock	мывэ
ship	кхъухь
light	нэху
prophet	бегъымбар
sin	гуэныхь
mouse	дзыгъуэ
son	къуэ
colorful	къуэлэн
fear	шынагъуэ
star	вагъуэ
land	щӏыгу
fingernail	ӏэбжьанэ
woman	бзылъхугъэ
tomato	бэдрэжан
lake	гуэл
silk	дарий
ax	джыдэ
bird	джэдкъаз
bird	бзу
egg	джэдыкӏэ
and	икӏи
forget-me-not	кърухугу
crow	къуагъыщхъуэ
bird	къуалэбзу
swan	къыу
weather	кӏагъэпшагъэ
leg	лъакъуэ
Thursday	мэхуэку
Friday	мэрем
Wednesday	бэрэжьей
page	напэкӏуэнцӏ
each	ныбджьэгъу
young	ныбжьыщӏэ
prayer	нэмэз
face	нэкӏу
word	псалъэ
sand	пшахъуэ
hour	сыхьэт
paper	тхылъымпӏэ
pain	узыныгъэ
roof	унащхьэ
weather	уэлбанэ
street	уэрам
snow	уэс
rain	уэшх
wine	фадэ
sugar	фошыгъу
butterfly	хьэндырабгъуэ
frog	хьэндыркъуакъуэ
worm	хьэпӏацӏэ
air	хьэуа
hedgehog	цӏыжьбанэ
woman	цӏыхубз
man	цӏыхухъу
wine	шагъыр
silk	шылэ
peach	шэфтал
poison	щхъухь
window	щхьэгъубжэ
city	щыхьэр
bread	щӏакхъуэ
winter	щӏымахуэ
finger	ӏэпхъуамбэ
first	япэ
sky	уэфэгу
five	тху
ten	пщӀы
bad	бзаджэ
appointment	пӏалъэ
bull	танэ
soft	тӏатӏэ
pleasant	гуапӏэ
fugitive	кӏуасэ
cream	шатэ
far	жыжьэ
person	цӏыху
run	жэн
starling	пжэндэхъу
sharp	жан
big	шхуэ
nit	цӏакӏэ
wart	хьамцӏырачэ
tremble	сысын
charred log	пхъэдзакӏэ
dirty	фӏей
kidney	жьэжьэй
cold	щӏыӏэ
leech	псыдыуэ
call	еджэн
stand	тэджын
dance	уджын
steal	дыгъуэн
right	ижь
hold	ӏыгъэн
twig	гуанэ
group	гуартэ
pitchfork	гуахъуэ
spin	мэджэрэзын
short	кӏакӏы
shin	лъэнкӏапӏэ
cuckoo	кӏыгуугу
jump	лъэн
leg	лъэ
straight	захуэ
hear	зэхэхын
go	ехын
give birth	лъхуэн
wax	шэху
fool	гъэӏулэн
rib	дзажэ
foreleg	фӏалъэ
cucumber	нащэ
today	нобэ
half	ныкъуэ
Quail	ныбгъуэ
count	бжын
sweat	пщӏантӏэпс
fir	псей
root	къуапсэ
evening	пщыхьэщхьэ
steam	бахъэ
eyebrow	набдзэ
fish	бдзэ
lift	ӏэтын
howl	къугъын
bite	дзэкъэн
swim	есын
touch	еӏусын
gooseberry	щхъырыб
wound	дыркъуэ
front	пщэдыкъ
dun	тхъо
beech	тхуей
clean	тхъун
eagle-owl	дыгъурыгъу
dig	тӏын
grass	удз
empty	нэщӏ
who	хэт
sift	ухуэнщӏын
buy	щэхун
tie up	хъэн
worm	хьэмбылыу
behind	пхэ
search	лъыхъун
male	хъу
full	изы
мэпсэлъэн	псэлъэн
rick	хьэвэ
wash	жьыщӏэн
short	кӏагуэ
sucker	быдзафэ
mallet	хугу
mad	хьэщхьэрыӏуэ
carry out	гъэзэщӏэн
fork	дзасэ
haricot	джэш
inclined	къуаншэ
burned	пщтыр
manners	щӏыкӏафӏэ
manner	щӏыкӏэ
noble	фӏыщӏэ
knowledge	щӏэныгъэ
old woman	ныуэ
old man	лӏыжьы
go	кӏуэн
dance	къэфэн
curse	хъуэнэн
exchange	хъуэжэн
radish	балыджэ
boil	гъэвэн
abundant	бэв
weep	гъуэгын
clang	гъэдыргъ
unfortunate	мыгъуэ
where	дэнэ
play	джэгун
wheat	гуэдз
skilful	ӏэзэ
stuff	дэкун
except	фӏэкӏ
come	къэкӏуэн
improper	емыкӏу
stammerer	къыкъ
fork	дыкъуакъуэ
expensive	лъапӏэ
stroke	дэлъэн
bud	гулъ
tame	ӏэрыпӏ
quick	псынщӏэ
blind	нэф
weak	махэ
son-in-law	малъхъэ
guard	хъумэн
moss	лыц
shaggy	бацэ
pick	пычын
talk	псэлъэкъуэн
ask	кӏэупшӏэн
ask	щӏэупщӏэн
trained	гъэсагъ
wait	ежьэн
like	хуэд
thin	пӏащӏэ
like	гу рихьэн
have	иӏэн
cigarette	тутын
a bit	тӀэкӀу
late	кӏасэ
straight	занщӏэ
right away	занщӏэу
stranger	хамэ
love	фӏы лъэгъун
ashamed	укӏытэн
sharp	папцӏэ
bored	езэшын
bore	гъэзэшын
write	тхэн
assets	мылъку
road	гъуэгу
shadow	жьауэ
easy	тынш
give	етын
smell	епэмын
raven	вынд
circle	хъурей
jacket	цакуэ
wool	бжьэхуц
shovel	хьэнцэ
shallow	чэнж
late	гува
difficult	гугъу
how	дауэ
say	жыӏэн
broth	лэпс
fearless	мышынэ
rifle	фоч
soft	щабэ
dream	пщӏыхь
dream	пщӏыхьапӏэ
girl	хъыджэбз
childhood	щӏэлэгъу
townsman	къэлэдэс
boy	щауэ
Russian	урыс
expensive	гъэлъэпӏэн
take	хэхын
dance	удж
morning	пщэдджыжь
mount	ӏуащхьэ
mountain	къущхьэ
rejoice	гуфӏэн
beauty	тхьэӏухуд
accordion	пшынэ
thick	гъум
carpet	алэрыбгъу
clever	гуыбзыгъэ
enemy	бый
unmounted	лъэс
sweat	пщӏатӏэ
poor	тхьэмыщкӏэ
yellow	гъуэжьы
forgive	хуэгъэгъун
whole	псо
man	хъулъхугъэ
no	хьэуэ
love	лъагъуныгъэ
while	тэлай
bone	къупщхьэ
yes	нтӏэ
turtle	шылъэгу
behind	щӏыб
interesting	гъэщӏэгъуэн
regret	щӏегъуэжын
humor	гушыӏэ
псэлъэн	мэпсэлъэн
talk	псэлъыхъун
spouse	щхьэгъусэ
harbor	кхъухьтедзапӏэ
wash	тхьэщӏын
lake	гуэлӏ
boza	махъсымэ
toe	лъэпхъуамбэ
want	хуеин
meaning	мыхьэнэ
smart	акъыл
dry	гъущэ
cured	хъужын
few	мащӏэ
sea	тенджыз
language family	унагъуэбзэ
family	унагъуэ
cherish	гъэфӏэн
teach	егъэджэн
noon	шэджагъуэ
hypothesis	фӏэщ
envy	хъуэпсэн
big	хуабжь
strong	лъэщ
robber	техакӏуэ
roast	жьэрыкуей
hop	хъумбылэ
thief	хъунщӏакӏуэ
body	хьэдэ
fool	хьэкъмакъ
weight	хьэлъэ
interesting	хьэлэмэт
tiger	хьэщомыщ
choose	хэдзын
hop	щӏакхъуэгъэтэдж
spleen	чэ
fool	ахьмакъ
mosquito	аргъуей
starling	бжэндэхъу
waxwing	бзугъуабжэгъуэщ
spear	бжы
oven	хьэку
puppy	хьэв
land	щӏылъэ
more	нэхъ
long	кӏыхь
bitter	дыдж
spin	гъэджэрэзын
gun	кӏэрахъуэ
little	цӏыкӏу
Nart	нарт
many	куэд
ground	щӏы
civil	жылэдэс
disband	тӏэтэн
lazy	щхьэхын
bummer	арму
Monday	блыщхьэ
Tuesday	гъубж
Saturday	щэбэт
joy	гуфӏагъуэ
hunger	гъаблэ
rattle	гъуэгъуэн
blacksmith	гъукӏэ
pig	кхъуэ
porridge	пӏастэ
voice	макъ
volcano	къэбэкъауэ
letter	тхыпкъэ
alphabet	тхыпкъылъэ
letter	хьэрыф
writing	тхыгъэ
literary	тхыбзэ
story	тхыдэ
noun	щыӏэцӏэ
exist	щыӏэн
slavery	пщылӏыгъуэ
armpit	блэгущӏэ
have a nice day	гъуэгу махуэ
country	къэрал
know	цӏыхун
understand	гурыӏуэн
family name	унагъуэцӏэ
bring	ехьэлӏэн
pencil	къэрэндащ
alphabet	хьэрыфылъэ
yes	нытӏэ
mother tongue	анэдэлъхубзэ
tomorrow	пщэдей
national costume	фащэ
what	сыт
tightrope walker	кӏапсэрыкӏуэ
блыны	блын
medication	хущхъуэ
bed sheet	шхыӏэн
that is it	аращ
greetings	фӏэхъус
sharpen	лъын
whore	къэхьыпэ
modesty	укӏыт
Janty	Жантий
servant	унэӏут
spit	убжьытхэн
scythe	шэмэдж
cheerful	нэжэгужэ
laugh	дыхьэшхын
laugh	щыдыхьэшхын
rejoice	щыгуфӏыкӏын
hermaphrodite	мыхъумыбз
pants	гъуэншэдж
mount	шэсын
step	лъэбакъуэ
laugh	дыхьэшх
nightmare	жэщтеу
kindhearted	гупцӏанэ
room	лэгъунэ
pug nose	пакъ
north	ищхъэрэ
south	ипщэ
west	къухьэпӏэ
east	къуэкӏыпӏэ
present	иджырей
young	щӏалэгъуалэ
happy birthday	сынохъуэхъу укъыщалъхуа махуэмкӏэ
congratulate	ехъуэхъун
къыщалъхуа	къыщалъхуа махуэ
service	къулыкъу
body	ӏэпкълъэпкъ
sleep	жей
excuse me	къысхуэгъэгъу
please	кхъыӏэ
modesty	нэмыс
great bustard	дудакъ
dark	фӏыцӏафэ
shin	лъэдий
tarsus	лъащхьэдий
gum	дзэл
room	пэш
frequently	куэдрэ
lie	хэлъын
health	узыншагъэ
welcome	еблагъэ
I love you	фӏыуэ узолъагъу
tea	шае
napkin	нэпэӏэплъэщӏ
towel	нэӏаплъэщӏ
toothbrush	дзэлъэщӏ
brush	лъэщӏын
what	лӏо
slap	нэпэфэуэн
slap	нэпэуэн
pumpkin	къэб
there	модэ
however	щхьэкӏэ
January	щӏышылэ
naughty	щэныншэ
donkey	шыд
truth	пэж
example	щапхъэ
chop	ущыгун
all	псори
different	нэмщӏыр
spoon	бжэмышх
hate	ужэгъун
here	мыдэ
dress	хуэпэн
quickly	щӏэхыу
quickly	псынщӏэу
wrong	пхэнж
bicycle	лъакъуэрыгъажэ
jump up	лъэтэн
rust	удзэгун
burial	бэн
pit	мащэ
seem	фӏэщӏын
for	папщӏэкӏэ
for	папщӏэ
fluster	гузэвэн
get away	ӏэщӏэкӏын
drop	ӏэщӏэзын
kill	ӏэщӏэукӏэн
grandson	къуэрылъху
stretch	зэхэшын
birch	пхъэхуей
whisper	ӏущэщэн
sneak up	екӏуэщэн
quiet	щэху
slim	уэд
shame	хьейнапэ
shut up	щыгъэтын
disappear	кӏуэдын
collapse	къэсэхыжын
collapse	зэхэхуэн
unbegotten	мылъхукъуэ
give-birth	къылъыфын
delivery	лъхугъэ
child	щӏэлэ-гъуал
overtake	щӏэхьэн
divide	гуэшын
singer	уэрэджыӏакӏуэ
different	нэгъуэщӏ
soda	гъуэзыпс
food	гъуэмылапхъэ
food	гъуэмыл
family name	унэгъуэцӏэ
family name	лӏэкъуэцӏэ
family name	лъэкъуэцӏэ
shine	цӏуун
leaf	тхьэмпэ
snot	пэщын
wood	пхъампэ
jug	псыфалъэ
thighbone	куэпкъ
thigh	куэ
fabric	щэкӏ
cover	щӏэуфэн
camouflage	щӏэуфэ
plant	щӏэлъхьэн
broom	жыхапхъэ
skillful	хуэӏаз
envy	ефыгъуэн
envy	еижын
herd	ӏэхъуэгъу
herdsman	ӏахъуэ
lose one's way	гъуэщэн
dance	ещӏэн
strew	щӏэтэкъун
whistle	фиин
cast	ущхъухьын
dough	тхьэв
unstitched	тӏэпӏын
unstitch	гъэутӏэпӏын
pop	пӏэнкӏын
hold a grudge	губгъэн хуэщӏын
do	хуэщӏын
wheel	шэрэхъ
sorrow	гухэщӏ
decreased	хэщӏын
misery	гуауэ
bored	зэшын
hatred	жэгъуэгъу
quarrel	жэгъуэгъун
hatred	жагъуэ
brown	къэхьэуафэ
fighter	зэуакӏуэ
wrap	кӏуэцӏышыхьын
commit suicide	зылӏэжын
look back	зэплъэкӏын
suitable	хуэфӏ
kiss	бэуэн
penis	хьэмашэ
butt	фты
sign	нэщэнэ
halt	зэтеувэн
stop	теувэн
stop	увын
carrion	псэхэлӏэ
however	арщхьэкӏэ
go	техьэн
attack	телъэдэн
pink	тхьэмбылыфэ
rest	гъэпсэхун
look around	зыплъыхьын
different	нэмыщӏ
different	нэмыщӏыр
journey	гъуэгурыкӏуэныгъэ
kin	лӏэужьыгъуэ
heredity	лӏэужь
tribesman	лъэпкъэгъу
break	хэкъутыхьын
widow	фызабэ
accompany	щӏыгъун
think	гупсысэн
sword	сэшхо
peak	щыгу
mourning	щыгъуэ
mention	унафэ
bed sheet	пӏэтепхъуэ
edge	нэз
cannabis	щӏэп
for nothing	бедэхъауэ
stench	бамэ
fart	къэцыфын
bamboo	шамбыр
grandchildren	пхъурылъху
shovel	итхъун
shovel	къитхъун
deliver	егъэхьын
curse	еукӏын
mouth	ӏу
drawer	къыдэгъэж
captive	гъэр
Svaneti	сонэ
oak	жыгей
