road	te
arrow	nol
under-	ala-
ton	tonna
close	lähi-
can	voida
sink	upota
office	büro
soul	heng
noun	substantiv
needle	negl
dust	tomu
taste	magu
worn-out	kulu
comb	harjata
create	loda
phase	faza
wash	pesta
reprimand	laida
gorge	laks
naked	alasti
war	voin
eater	söi
patch	paikata
travel	matkata
weather	sä
rot	hapata
tar	tervata
depict	kuvata
little	vähän
exporter	vei
udder	udar
ball	kera
thing	kalu
always	kaiken
teach	opeta
grease	voita
pedestrian	astui
drive out	rajata
rot	lahota
steer	perata
dry	kuiv
stain	morda
woman	naine
turn out	putta
bull	härg
branch	oks
system	sistem
slur	haitta
place	sija
water	vezi
they	hö
potential mood	potencial
guide	ohjata
ash	tuhk
dry	kuivata
dog	koir
head	pä
hand	käzi
breakfast	murgin
fire	lämoi
boat	veneh
bear	mezikämen
duck	sorz
horse	hebo
mom	mamoi
son	poig
sun	päiväine
animal	živat
mouse	hir'
sprout	taimen
where	miš
twig	vic
father-in-law	ap
imperative mood	imperativ
throat	kida
carpenter	sauvoi
pump	pompata
place	taho
anew	udes
sweat	higo
crave	himoita
honey	mezi
prison	türm
character	taba
pit	haud
squirrel	orav
death	surm
swimmer	ujui
play	soitta
guard	kaita
offer	tarita
stack	pinota
sheep	lambaz
strawberry	manzikaine
juniper	kadag
thirteen	koumetoštkümne
wolf	händikaz
hunt	mecata
cloud	pil'v
kindergarten	päivkodi
swallow	päskhaine
fox	reboi
carry	kantta
car	avto
tar	terv
emä	meren emä
man	mez'
worsen	paheta
sediment	raba
sister	sizar
widower	lesk
fork	sara
little	vähä-
seller	möi
cross	rist
rush	rigo
collective	kund
fly	leta
soya	soja
we	mö
wax	vahata
rain	vihm
tea	čai
chin	löug
river	jogi
boy	priha
there	sinna
heap	kogo
grammar	grammatik
diphthong	diftong
shoot	veza
thousand	tuha
chop	karsta
cold	vilu
fix	koheta
fall	langeta
bend	koverta
costs	pido
drink	joda
dig	urda
all	kaik
dear	izo
color	muja
wrinkle	murta
gently	vezo
buyer	ostai
fabric	vate
shop	lauk
break	katketa
rose	roza
thunder	judu
thin	harv
cold	paleta
rust	roste
each	joga
come off	ratketa
precise	tark
frequent	paksuta
stronger	vahveta
prose	proza
die	kolda
nest	peza
crop	kubu
house	kodi
decrepit	roho
tax	nalog
smith	sep
pink	ruza
cover	katta
surface	pind
grey	hahk
horsefly	parm
debt	velg
blood	čak
row	melata
soak	ligota
urine	kuzi
ask	pakita
yet	völ
support	tokata
Sunday	pühäpäiv
spread	levitada
draw	pirta
thick	paks
hook	ong
Monday	ezmärg
Tuesday	tožnarg
Wednesday	koumanz'päiv
Thursday	nellänz'päiv
Friday	videnz'päiv
Saturday	sobat
January	viluku
February	uhoku
March	keväz'ku
April	sulaku
May	semendku
June	kezaku
July	heinku
August	eloku
September	sügüz'ku
October	reduku
November	kül'mku
December	tal'vku
spring	keväz'
summer	keza
autumn	sügüz'
winter	tal'v
white	vauged
yellow	pakuine
green	vihand
red	rusked
variegated	kirjav
omelette	munarič
cheese	sagud
elk	hirb'
hare	jäniš
mole	makondi
marten	näd
cake	pirg
sap	südäivezi
coffee	kofe
leaf	lehtez
flower	änik
tail	händ
hair	hibuz
tooth	hambaz
tongue	kel'
nail	künz'
neck	kagl
heart	südäin
daughter	tütär
aunt	tädi
brother	vel'l'
rower	soudai
gate	verai
conditional mood	kondicional
food	söm
palm	kämen
old man	uk
ice	jä
indicative mood	indikativ
this	nece
finger	sorm
magpie	harag
which	mitte
village	külä
throw	tacta
ripple	käre
learn	oppida
kill	rikta
stain	leim
silt	nima
wreath	venc
hole	reig
lay	munda
beat	löda
plough	adr
sell	möda
rule	sänd
child	laps'
elative case	elativ
accompany	satta
play	väta
cover	peitta
lighthouse	majak
middle	kesk
invest	sijata
sorcerer	noid
leaf	leht
lungs	tävu
rain	sadada
blow	puhuda
bark	nutta
curved	vär
group	jouk
stump	kand
ditch	rova
level	tazo
England	Anglii
beautiful	čoma
tram	tramvai
age	igä
salt	solata
dig	kopata
pipe	turu
ewe	uhu
crumbly	mured
tale	sarn
hear	kulda
patch	paik
belly	koht
hawk	habuk
flour	jauh
glove	alaine
stranger	veraz
rest	lebu
fear	varu
cloth	kangaz
bay	laht
sight	nägu
cheap	odav
torment	mokita
fore-	ezi-
hearth	lezi
evening	eht
tell fortunes	arboida
lot	arb
cause	sü
eye	sil'm
incomplete	vajag
mow	nitta
stop	azotada
pray	loita
globe	šar
burn	palada
dark	muza
also	-ki
lot	oza
truth	tozi
family	pereh
source	lähte
alley	kujo
miner	kaivai
second	toine
viper	kü
wave	laineh
phrase	virkeh
fuss	kobu
Moldova	Moldov
sprout	idu
smooth	siled
number	lugu
good	hüvä
one	üks'
soot	nogi
thick	saged
sand	lete
drive	ajada
give	antta
support	tugeta
healthy	terveh
might	vägi
sleep	magata
dear	armaz
pike	haug'
air	il'm
world	mail'm
well	kaiv
sky	taivaz
grouse	tedri
two	kaks'
eleven	üks'toštkümne
twelve	kaks'toštkümne
fourteen	nel'l'toštkümne
fifteen	vižtoštkümne
sixteen	kuz'toštkümne
seventeen	seičemetoštkümne
eighteen	kahesatoštkümne
nineteen	ühesatoštkümne
twenty	kaks'kümne
frozen	kül'm
dirt	redu
leg	jaug
dear	kalliž
third	koumanz'
fourth	nellänz'
holy	pühä
fifth	videnz'
bear	kondi
hunger	näl'g
eighth	kahesanz'
thirty	koumekümne
forty	nel'l'kümne
fifty	vižkümne
sixty	kuz'kümne
seventy	seičemekümne
eighty	kahesakümne
ninety	ühesakümne
two hundred	kaks'sadad
three hundred	koumesadad
four hundred	nel'l'sadad
five hundred	vižsadad
six hundred	kuz'sadad
seven hundred	seičemesadad
eight hundred	kahesasadad
nine hundred	ühesasadad
moss	samal
health	tervhuz'
dinner	long'
ocean	valdmeri
Friday	pätnič
where	kuspäi
here	täs
here	tägä
today	tämbei
here	tänna
here	täspäi
there	sigä
there	sigäna
here	sid'
there	sigäpäi
when	konz
why	mikš
why	mihe
that	miše
which	kudamb
then	siloi
now	nügüd'
someone	ken-se
something	mi-se
somewhere	kus-se
somehow	kut-se
someplace	kuna-se
someplace	kuspäi-se
sometime	konz-se
how	kuverz'
anyhow	kut-ni
any	konz-ni
anyone	ken-ni
any	mitte-ni
some	mitte-se
help	abutada
stove	päč
go	astta
live	eläda
pearl	hel'm
coal	hil'
silent	hil'l'
body	hibj
silver	hobed
gum	igin
suck	imeda
miracle	čud
root	jur'
stay	jäda
freeze	jäduda
oats	kagr
birch	koiv
wet	kastta
grow	kazda
shoe	keng'
axe	kirvez
peel	kor'
high	korged
height	korktuz'
touch	koskta
rapids	kosk
call	kucta
rooster	kukoi
king	kunigaz
crane	kurg
go	kävuda
ask	küzuda
tear	kündal'
shovel	labid
find	löuta
town	lidn
read	lugeda
go	lähtta
warm	läm'
warm	lämbitada
mind	mel'
crazy	meletoi
go	mända
laugh	nagrda
turnip	nagriž
cape	nem'
young	nor'
see	nähta
right	oiged
straw	ol'g
sew	ombelta
buy	ostta
better	paremb
doorjamb	pel'
field	pöud
dark	pimed
hold	pidäda
base	pohj
knee	pol'v
half	pol'
bite	purda
hail	ragiž
fat	razv
island	sar'
strait	sal'm
fungus	sen'
back	sel'g
group	sebr
gut	sol'
sinew	son'
row	souta
roach	särg
eat	söda
be born	sünduda
do	tehta
tedri	tedr
come	tulda
ear	tähk
star	tähtaz
swim	ujuda
door	uks'
new	uz'
voice	än'
old	vanh
lynx	il'bez
knife	veič
year	voz'
take	otta
son-in-law	vävu
know	tuntta
broth	lem'
warp	loim
bird cherry	tom'
small	pen'
Cyprus	Kipr
song	pajo
drop	tipp
trough	alang
America	Amerik
low	madal
roof	katuz
lampshade	lampankatuz
God	Jumal
knowledge	tedo
scientific	tedoline
inform	tedotada
notifier	tedotai
notification	tedotand
enlighten	tedotelda
enlightenment	tedotelend
announcement	tedotuz
weather report	sätedotuz
notice board	tedotuzlaud
ignorant	tedotoi
anatomy	hibjantedo
pedagogy	kazvatuztedo
upbringing	kazvatuz
bring up	kazvatada
botany	kazvišttedo
botanical	kazvišttedoline
botanist	kazvišttedomez'
vegetation	kazvišt
linguistics	kel'tedo
linguist	kel'tedomez'
natural science	londuztedo
nature	londuz
geography	mantedo
geographer	mantedomez'
forestry	mecantedo
jurisprudence	oiktuz'tedo
certainty	oiktuz'
agronomy	pöudtedo
agronomist	pöudtedomez'
meteorology	säntedo
pharmacology	zel'l'antedo
pharmacologist	zel'l'antedomez'
medicine	zel'l'
zoology	živattedo
zoologist	živattedomez'
medicine	tervhuz'tedo
astronomy	tähtaztedo
astronomical	tähtaztedoline
astronomer	tähtaztedomez'
computer	tedomašin
machine	mašin
car	avtomašin
petrol station	benzintäutim
fill	täutta
filling	täutim
full	täuz'
suffice	täududa
pronoun	pronomin
interrogative	interrogativine
personal	personaline
reflexive	refleksivine
indefinite	indefinitine
relative	relativine
negative	negativine
demonstrative	demonstrativine
numeral	numeral'
bandage	sideg
tourniquet	kingituzsideg
tightening	kingituz
press	kingitada
density	kinktuz'
important	tärged
biting	karged
coarse	kauged
sour	muiged
stiff	kanged
indecent	huiged
transparent	sel'ged
thick	sanged
sweet	maged
blind	soged
heavy	jüged
illative case	illativ
allative case	allativ
adessive case	adessiv
approximative case	approksimativ
terminative case	terminativ
additive case	aditiv
translative case	translativ
abessive case	abessiv
comitative case	komitativ
accusative case	akkuzativ
partitive case	partitiv
essive-instructive case	essiv-instruktiv
inessive case	inessiv
prolative case	prolativ
egressive case	egressiv
Vepsian	vepsläine
please	ole hüvä
please	olgat hüväd
say	sanuda
graze	paimeta
let go	pästta
behind	tagapäi
coast	randaline
boundless	randatoi
coast	randišt
homeland	kodirand
homeland	kodima
stand	seišta
throw	čuta
bend	käta
do	säta
look for	ectä
expel	häta
hunt	püta
shoot	ampta
cut	čapta
blow	dölta
move	edeta
in time	ehtta
jump	hüpta
jump	hüppida
sprout	idäda
hit	iškta
sit	ištta
cry	itkta
leave	jätta
choke	jutta
look	kacta
dig	kaida
wrap	kärdä
cold	kül'mdä
pick	ribdä
scratch	künsta
nip	näptä
thank	kitta
peck	kokta
peel	korda
dry	kuida
plow	küntta
put	ličta
build	sauda
believe	uskta
harvest	rahnda
grind	jauhta
aspire	takaida
hope	nadeidas
want	tahtoida
lick	nolda
stay	öduda
moan	ohkta
decide	pätta
hang	ripta
cough	rügda
take off	rušta
push	sirta
feed	sötta
thresh	tapta
long	pit'k
invigorate	ületa
overfulfill	ülita
fry	žarda
hide	katelda
listen	kundelta
roll	kändelta
cut	vil'da
dictate	sanelda
argue	ridelta
honour	muštelta
length	piduz'
most	kaikiš
fit	mülüda
disappear	kadoda
knit	kudoda
smolder	küdoda
advise	nevoda
twine	punoda
bind	sidoda
beat	tagoda
scutch	vidoda
hope	toivoda
swing	čibuda
fuss	hoguda
boil	kehuda
suitable	kožuda
hear	kuluda
sick	läžuda
climb	libuda
move	likuda
smell	mujuda
seen	näguda
fall out	pakuda
get rid of	päzuda
circulate	pöruda
stay	püžuda
smolder	rehuda
depend	ripuda
roll	turuda
fall	uhkuda
stuck	vajuda
flow	valuda
tired	väzuda
lie	venuda
bed-ridden	viruda
set up	ladida
judge	sudida
comb	sugida
pull	vedäda
share	jagada
feel	mujada
see	rižada
melt	sulada
pour	valada
flow	vodada
threaten	grazda
examine	kodvda
crow	launda
rain	vihmda
press	painda
pick	poimda
glue	kleida
trample	topsta
slurp	särpta
crawl	kompta
pour	voukta
tread	polkta
push	tunkta
breathe	henkta
sound	raikta
lose	sampta
lean	kaikta
squeak	činkta
squeal	vinkta
moo	mönkta
hoot	hünkta
tweet	čirkta
cry	kirkta
meow	näukta
blow one's nose	pursta
think	tärtta
stink	haišta
flutter	leihta
bend	noikta
drip	tilkta
stick	tartta
ski	hihtta
close up	täpäta
groan	čihkta
utter	virkta
step	haškta
endure	tirpta
pay	maksta
be able to	mahtta
marry off	naitta
shine	paštta
torment	rastta
exaggerate	ližavärištelda
addition	liža
subsidize	tugirahoitada
finance	rahoitada
support	tugi
revive	udessündutada
reborn	udessünduda
give birth	sündutada
sign	allekirjutada
out	alpäi
forward	edehe
from	edespäi
beforehand	edelpäi
henceforth	edelepäi
further	edeleze
shortly	edehko
back	tagaze
upper	ülä-
top	üläh
up	ülähäks
above	ülähän
along	ülähäli
up	ülez
over-	üli-
between	keskes
between	keskhe
down	alahaks
below	alahan
along	alahali
down	alaz
-ate	-iruida
agitate	agitiruida
analyze	analiziruida
annul	annuliruida
assimilate	assimiliruida
assist	assistiruida
attest	attestiruida
guarantee	garantiruida
mask	maskiruida
declare	deklariruida
demonstrate	demonstriruida
import	importiruida
copy	kopiruida
march	marširuida
discuss	diskutiruida
orient	orientiruidas
plan	projektiruida
control	kontroliruida
react	reagiruida
regress	regressiruida
rehearse	repetiruida
serve	serviruida
photograph	fotografiruida
transmit	transliruida
unify	unificiruida
finish	finiširuida
emigrate	emigriruida
-ation	-acii
write	kirjutada
book	kirj
case	azj
reward	pauklahjoita
give	lahjoita
circumcize	ümbrileikata
around	ümbri
around	ümbriže
expose	pal'l'astoitta
bare	pal'l'astada
naked	pal'l'az
frighten	pöl'gästoitta
freeze	kül'menzoitta
explain	sel'genzoitta
delay	pit'kästoitta
diversify	erazvuičetada
summarize	ühthevedota
conclusion	ühthevedo
remove	heitta
boil	keitta
twist	kertta
whistle	pistta
push	pištta
tell	käskta
let	laskta
gore	puskta
weed	kütkta
travel	ajelta
run	joksta
drive out	küksta
mood	moduz
alphabet	kirjamišt
soften	pehmitada
soft	pehmed
only	vaiše
vowel	vokal'
vowel	än'kulund
consonant	sätkulund
sound	kulund
edit	redaktiruida
spring	purde
take off	riičta
spoil	drocta
crush	rouhta
pulverize	henota
oink	röhkta
wipe	pühkta
kick	potkta
knead	sotkta
pull	nütkta
braid	pletta
dare	rohtta
burn	poltta
shake	pohtta
pull	nühtta
pull out	rästta
hew	vestta
scoop	amunta
push	rehkta
sniffle	nühkta
cry	voikta
beat	peksta
hobble	käpsta
milk	lüpsta
just	-ške
glisten	hoštta
glisten	loštta
repeat	toštta
rob	röstta
gird	vöstta
belt	vö
after-	taga-
elevation	ülüz
noble	ülev
over	üliči
cross	ülitada
howl	ulaita
growl	uraita
open	avaita
hit	ozaita
add	ližata
intend	kägeta
vanish	hajeta
fall asleep	uinota
sweat	higota
gather	kogota
fall apart	čihota
watch	kacelta
happen	oleskelda
chew	pureskelda
flirt	vändeskelda
grasp	tabata
hug	sebata
smile	muhata
hear	kajata
far	edahan
far	edahaks
far	edahati
from	edahali
from	edahanpäi
far	edahaine
distance	edahuz'
close	lähen
close	läheli
close	lähele
close	läz
melt	sulata
pick	kerata
fight	torata
remove	čurata
scrape	kabita
bloom	kukita
caulk	tükita
measure	märita
cut	kerita
short	lühüd
big	sur'
deep	süvä
straighten	oigeta
stir	hämeta
sow	semeta
vomit	okseta
torn	rebita
unite	ühteta
decrease	poleta
flee	pageta
move	tageta
blind	sogeta
strong	vahv
punish	škol'da
pluck	šil'pta
caw	kronkta
skin	nül'kta
spit	sül'kta
ski	štarkta
fix	saubata
swell	turbota
sharpen	tahkata
continue	jatkata
recruit	paukata
flash	vilskta
speak	pagišta
wheeze	hogišta
hiss	šihišta
cry	värišta
thunder	jurišta
glue	klejata
frame	ramkata
accompany	kaimata
meet	suimata
load	kormata
arrest	türmata
splash	čorskta
snort	furskta
throw	lükkida
show	ozutada
tower	üleneda
differ	erineda
participate	ühtneda
rustle	šabaita
dip	čukalta
notice	homaita
disturb	gonošta
bubble	bruncta
dictate	sanelta
walk	kävelta
ask	küzelta
crackle	paukta
convey	ajatada
feed	elätada
assume	oletada
record	änetada
bring	ezitada
neigh	ihotada
stutter	ökötada
animate	elotada
sink	upotada
tell	erotada
special	eri-
sometimes	erašti
certain	eraz
tricky	nügeita
angry	käreita
fool about	uradida
gnaw	rouhida
ring	zvonida
start	zatrida
war	vojuida
pack	pakuida
give in	pasuida
spoil	travida
threaten	grazida
enclose	aidoida
get lost	segoida
yesterday	eglai
tomorrow	homen
ponder	sekoida
kiss	čukoida
tie	noroida
weigh	vesoida
imitate	mugoita
avenge	aznoita
lacquer	lakuita
limp	rambita
whip	rozgita
spill	läikita
whip	härkita
grate	törkita
winnow	viškita
kill	surmita
finish	vaumita
nowhere	nikuna
anywhere	kuna-ni
anywhere	kus-ni
nowhere	nikus
whistle	vihelta
look at	kacauta
lick	nolauta
drill	burauta
turn	kärauta
spin	kezerta
squeeze	puzerta
hug	kaburta
go around	ümbärta
bow	kumarta
cut down	kasarta
crumple	käčerta
turn	viherta
keep	takerta
overturn	kukerta
throw	lükäita
bleat	bäläita
ring	heläita
lost	sömäita
chirp	pinäita
cry	räväita
crackle	räzäita
whine	pizäita
squeal	vizäita
plod	hizaita
hum	buzaita
ski	huzaita
wander	kalaita
knock over	kumaita
babble	čilaita
scold	pilaita
knock	kolaita
roar	märaita
shake	säraita
fear	varaita
will	lindä
holiday	pühänik
first	ezmäine
learning	openduz
year	openduzvoz'
student	openik
student	üläopenik
exam	egzamen
Russia	Venäma
Finland	Suomenma
Estonia	Estinma
Greece	Grekanma
Turkey	Turkanma
Netherlands	Alamad
Czech Republic	Čehanma
Lithuania	Litvanma
Latvia	Latvii
Latvia	Lätänma
Czech Republic	Čehii
Turkey	Turcii
Sweden	Ročinma
Germany	Saksanma
Germany	Germanii
Poland	Pol'šanma
Montenegro	Mustmägi
Hungary	Mad'jaranma
Norway	Norvegii
Denmark	Danii
France	Francii
Belgium	Belgii
Spain	Ispanii
Portugal	Portugalii
Andorra	Andorr
Armenia	Armenii
Austria	Avstrii
Bosnia and Hercegovina	Bosnii da Gercegovin
Georgia	Gruzii
Croatia	Horvatii
Ireland	Irlandii
Iceland	Islandii
Italy	Italii
Liechtenstein	Lihtenštein
Macedonia	Makedonii
Malta	Mal't
Moldova	Moldavii
Romania	Romanii
Serbia	Serbii
Slovakia	Slovakii
Slovenia	Slovenii
Britanii	Sur' Britanii
Switzerland	Šveicarii
Ukraine	Ukrain
United States of America	Amerikan Ühtenzoittud Valdkundad
United States of America	Amerikan Ühtenzoittud Štatad
unite	ühtenzoitta
state	valdkund
USA	AÜV
USA	AÜŠ
China	Kitai
Japan	Japonii
India	Indii
Brazil	Brazilii
rattle	biraita
croak	koraita
grumble	buraita
whisper	šuhaita
anyway	kaiken-se
never	nikonz
for	mikš-se
-ed	-nu
-ed	-dud
living	eläb
-ed	-dab
famous	tetab
red-hot	palab
familiar	tutab
edible	södab
shy	argaita
croak	kahaita
spy	nühaita
Britain	Britanii
Bosnia	Bosnii
Hercegovina	Gercegovin
put	čokaita
sting	kokaita
move	kobaita
rustle	robaita
rustle	šobaita
move	kubaita
talk	lodaita
make	judaita
grow	ül'düda
angry	rändüda
set off	tönduda
break out	süttuda
bend	lämbuda
wither	näiduda
dawn	päiduda
lousy	täiduda
solidify	jähtuda
suitable	sättuda
worry	holduda
cool down	venduda
wet	vettuda
evening	ehttuda
go out	sambuda
sad	hubduda
run wild	arktuda
suffice	ulotuda
stick	tartuda
wet	kastuda
rump	puga
seem	tunduda
angry	verduda
on	päle
on	päl
above	pälpäi
root	jurduda
crumpled	murduda
tired	surduda
care	hol'
angry	rän'
doze	nukkuda
look like	koskuda
very	lujas
drop	tippuda
cuckoo	kukkuda
sway	likkuda
gain	hibjuda
whine	hiksuda
go wild	mectuda
last	jatkuda
bark	haukuda
rock	heiluda
sneeze	hirnuda
loose	väl'l'
light	kebn
separate	erigata
due to	tagut
lead	veškata
understand	el'geta
trade	mösketa
embroider	poimeta
run	jokseta
chase	kükseta
redden	rusketa
turn sour	muigeta
ripen	küpseta
ripe	küps
fall	kirbota
sour	muigota
narrow	kaideta
redden	ruskota
swell	puhlota
empty	tühj
empty	tühjeta
brush	harj
get used to	harjeta
break off	lohketa
burst	puhketa
hazel grouse	pü
calm	tün'
sly	nüga
corner	čoga
side	čura
Asia	Azii
smut	rozme
hoarfrost	hüde
grief	gor'a
influenza	häda
dust	pölü
dam	pado
stack	kego
look	nägo
distribution	jago
ruble	rubl'
apple	jablok
water polo	vezipolo
prostokvasha	happu
gravel	čuru
trembling	säru
swing	čibu
cone	käbu
speech	lodu
paint	muju
samovar	samvar
lever	bibu
pain	kibu
brother-in-law	küdu
frustration	südu
smile	muhu
tower	čuhu
slush	šohu
withers	sägu
weight	jügu
pointed	nügu
route	matk
squeak	kidžu
squeak	kodžu
fur	pövu
demand	küzu
puppy	kužu
wheat	nižu
scream	vižu
basket	puzu
cloth	ruzu
wind	tullei
bullock	häčöi
jury	žüri
ghost	bukoi
grandmother	baboi
bunny	jänoi
little	čikoi
stomach	pökoi
snail	edenoi
hornless	kuhmoi
ermine	pormoi
raven	kroikoi
devil	lemboi
western capercaillie	mecoi
grandfather	dedoi
Bible	Biblii
wolverine	hahmoi
cuckoo	kägi
backwater	abai
carefree	holetoi
sheepskin	kezi
span	säzi
fearless	varaidamatoi
illegible	el'gendamatoi
uneducated	opendamatoi
undivided	jagamatoi
meaningless	hamatoi
think	meletada
reckless	meletamatoi
mercy	armahtada
merciless	armahtamatoi
change	vajehtada
indispensable	vajehtamatoi
forget	unohtada
unforgettable	unohtamatoi
lose	kadotada
lossless	kadotamatoi
begin	augotada
unbegun	augotamatoi
non-stop	azotamatoi
filled	kül'düda
dissatisfied	kül'dümatoi
neglected	kacmatoi
uninvited	kucmatoi
unknown	tundmatoi
moonless	kudmatoi
moon	kudmaine
undone	tehmatoi
unseen	nähmatoi
unlawful	laskmatoi
untouched	koskmatoi
unbelievable	uskmatoi
spontaneous	käskmatoi
unquestionable	ridelmatoi
unceremonious	huiktelmatoi
blame	huiktelda
immortal	kolmatoi
independent	ripmatoi
unfinished	lopmatoi
impatient	tirpmatoi
gratuitous	maksmatoi
unskilful	mahtmatoi
unripe	ehtmatoi
indecisive	rohtmatoi
continuous	heitmatoi
thankless	kitmatoi
pick out	erigoitta
inseparable	erigoitmatoi
unexplainable	sel'genzoitmatoi
unpunished	ustavzoitmatoi
punish	ustavzoitta
unfilled	täutmatoi
unique	toštmatoi
unconnected	sidomatoi
unmarried	naimatoi
careless	holimatoi
unintended	tahtoimatoi
unbearable	iznesimatoi
freezing	jädumatoi
invisible	nägumatoi
unspeakable	sanumatoi
untreatable	tervehtumatoi
cure	tervehtuda
kiss	tervehtada
uncomfortable	sättumatoi
escape	päzumatoi
tireless	väzumatoi
undemanding	küzumatoi
unfavourable	kožumatoi
unrestrained	pidämatoi
unlivable	elämatoi
countless	lugematoi
headstrong	kundlematoi
indeclinable	kändlematoi
unsystematic	sistematoi
unnoticeable	homaičematoi
sorry	žalleita
ruthless	žalleičematoi
undemanding	pakičematoi
undetermined	märičematoi
unexpected	varastamatoi
wait	varastada
admire	arvostada
unworthy	arvostamatoi
reach	sabustada
unreachable	sabustamatoi
foretell	endustada
reflect	vastustada
return	pördutada
stop	seižutada
find out	tedištada
establish	todištada
unforeseen	endustamatoi
unconditional	vastustamatoi
irreversible	pördutamatoi
non-stop	seižutamatoi
unfathomable	tedištamatoi
unsubstantiated	todištamatoi
darling	drocei
pine	pedai
flyer	lendai
guide	kändai
player	vändai
ploughman	kündai
empty	joudai
creator	sädai
catcher	püdai
divisor	jagai
publisher	painai
cutter	čapai
milker	lüpsai
best man	naitai
delegate	ezitai
sculptor	vestai
robber	röstai
breadwinner	sötai
shining	kištai
luminous	kuštai
driver	vedäi
owner	pidäi
inhabitant	eläi
skier	hihtäi
cook	keitäi
museum	muzei
voter	änestai
vote	änestada
liar	sidelii
hypocrite	koiverdelii
elector	valičii
writer	starinoičii
tell	starinoita
fortune-teller	arboi
weaver	kudoi
murderer	rikoi
reaper	rahnoi
adviser	nevoi
prompter	šuhaidai
destroyer	katkaidai
break	katkaita
tramp	kalaidai
spectator	kacui
tangible	tundui
native	sündui
visitor	kävui
patient	läžui
rower	meladai
loader	kormadai
collector	keradai
photographer	kuvadai
restorer	endištai
restore	endištada
witness	todištai
innovator	udištai
renew	udištada
possess	omištada
