dog	כלב
wolf	זאב
זְאֵב	זאב־הים
take off	המריא
peril	סכנה
dangerous	מסוכן
frog	צפרדע
tadpole	ראשן
Miriam	מרים
Babylon	בבל
Leah	לאה
ewe	רחל
boxing glove	כפפת איגרוף
כֶּלֶב	כלב ים
כֶּלֶב	כלב נהר
Muay Thai	איגרוף תאילנדי
boxer	מתאגרף
bay window	גבלית
thigh	ירך
Quidditch	קווידיץ׳
Hogwarts	הוגוורטס
flame	אש
סִימָן	סימן מולד
engage	אורס
will	עתיד
כינוי	כינוי חיבה
שם	שם לוואי
quick	זריז
tea	תה
Muggle	מוגל
חָתוּל	חתול נמרי
tongue	לשון
oak	אלון
king	מלך
queen	מלכה
fruit	אבטיח
ore	עפרה
glasses	משקפיים
fabric	בד
reputation	מוניטין
stapler	מכלב
פְּצָצָה	פצצה אטומית
bomb	פצצה
Indonesian	אינדונזי
separator	@
Amharic	אמהרית
Mars	מאדים
beth	ב
Hebrew	ג
daleth	ד
hei	ה
waw	ו
Hebrew	ז
het	ח
tet	ט
yod	י
kaf	כ
Hebrew	ל
mem	ם
Hebrew	מ
nun	ן
Hebrew	נ
samech	ס
Hebrew	ע
pe	ף
peh	פ
sadhe	ץ
tsadi	צ
qof	ק
Hebrew	ר
sin	ש
Hebrew	ת
kaph	ך
רַב	רב־מלאך
I	אני
foot	רגל
English	אנגלית
England	אנגליה
obstinate	עקשן
head	ראש
today	היום
Gabriel	גבריאל
Holy Spirit	רוח הקדש
atmosphere	רוח
waters	מים
truth	אמת
God	הללויה
guarded	נשמר
apricot	מישמש
Zion	ציון
Tetragrammaton	יהוה
substitute	השם
god	אלוהים
God Almighty	אל שדי
אחרית	אחרית הימים
rabbi	רבי
topmost	עליון
wander	צען
worn out	בלוי
street	רחוב
wiki	ויקי
rain	גשם
Chazal	חז״ל
south	דרום
west	מערב
industrialist	תעשיין
Wikipedia	ויקיפדיה
cake	עוגה
potassium	אשלגן
אֲכִילָה	מקלות אכילה
you	אתה
alphabet	אלפבית
gift	מתן
number	כפל
alloy	סגסוגת
rapidly	מהר
squash	דלעת
Egyptians	מצרים
daddy	אבא
thick	אבב
destruction	אבדון
distinguish	אבדלה
will	אבה
reed	אבוב
buttocks	אבוז
woe	אבוי
gate	איבול
manger	אבוס
bundle	אבוקה
line	קו
break	אבזקה
waste	אבטלה
welcome	ברוכים הבאים
translation	תרגום
well	נו
song	שיר
ש־	שלמה
love	אהב
run	ר־ו־ץ
be	היה
abyss	תהום
tree	עץ
suggestion	עצה
evening	ערב
beginning	ראשית
say	אמר
among	בין
one	אחד
night	לילה
sky	רקיע
below	תחת
on top of	על
place	מקום
Xerxes	אבגתא
loss	אבדה
dry	יבשה
do	עשה
seed	זרע
herb	עשב
third	שלישי
luminary	מאור
light	מנורה
small	קטן
give	נתן
hippopotamus	בהמות
Avshalom	אבישלום
dust	אבק
Abiezrite	אבי העזרי
Abiezer	אביעזר
help	עזר
fourth	רביעי
quarter	רבע
wriggle	שרץ
glide	רמש
wing	כנף
rule	כלל
increase	רבה
limb	אבר
hoard	אגר
tread	דש
desire	איווה
hurry	אץ
sign	אות
exhaust	אזל
pinion	אברה
fifth	חמישי
beast	בהמה
image	צלם
image	דמות
tread	רדה
female	נקבה
food	אכלה
vegetation	ירק
Canaan	כנען
behold	הן
Sedom	סדום
lily	שושנה
licorice	שוש
Sidon	צידון
Samson	שמשון
Simeon	שמעון
audio	שמע
Levite	לוי
join	לוה
אֲרַם	ארם נהרים
Moses	משה
big	גדל
twin	תאום
Zabdi	זבדי
Talmai	תלמי
furrow	תלם
בַּעַל	בעל זבוב
Benjamin	בנימין
anger	עברה
Gaza	עזה
Daniel	דניאל
right	ימין
face	הימין
bread	לחם
strong	עזז
Kinneret	כנרת
pulley	גלגלת
roll	גלל
Gomorrah	עמורה
Josiah	יאשיהו
Zebulun	זבולון
point	אבחה
sixth	שישי
steam	הבל
Abiah	אביה
Christianity	נצרות
love	אהבה
slide	שקף
comely	יפה
flag	דגל
carriage	מרכבה
cradle	ערש
anger	חרה
curtain	יריעה
evenness	מישרים
guard	נטר
window	צהר
wine	יין
odor	ריח
saliva	רוק
young	עלמה
wig	פאה
hind	אחר
tan	שזף
room	חדר
Kedar	קדר
oppose	נגד
wrap	עטה
know	ידע
human	אנוש
flock	עדר
sheep	צאן
following	עקב
kid	גדיה
friend	חבר
resemble	דמה
team	רכב
cheek	לחי
gold	זהב
steal	גנב
south	נגב
war	מלחמה
Ephraim	אפרים
kingdom	מלוכה
wise	חכם
move	רחף
midst	תווך
go out	יצא
appointed	מועד
alive	חי
military	צבא
sending	מלאכה
outcome	תולדה
seventh	שביעי
shoot	שיח
Numbers	אין
give	השקה
vapour	אד
instinct	יצר
earth	עפר
earth	אדמה
blow	נפח
plant	נטע
front	קדם
covet	חמד
sight	מראה
food	מאכל
mind	דעת
river	נהר
male	פרד
Pishon	פישון
she	היא
surround	סבב
villa	חוילה
bdellium	בדולח
onyx	שוהם
Gihon	גיחון
Ethiopians	כוש
Tigris	חידקל
lesson	לקח
comfortable	נוח
eat	אכל
כמות	מות
find	מצא
slumber	תרדמה
time	פעם
bone	עצם
flesh	בשר
glue	דבק
feel	בוש
nude	ערום
touch	נגע
eye	עין
open	פקח
craving	תאווה
sew	תפר
fig	תאנה
belt	חגור
I	אנוכי
fear	ירא
execrate	ארר
bent over	גחון
hostility	איבה
smooth	שוף
worrisomeness	עצבון
conception	הרון
child	ילד
longing	תשוקה
allegory	משל
because of	עבור
thorn	דרדר
again	שוב
Eve	חוה
coat	כותונת
world	עולם
expatriate	גרש
blaze	להט
sword	חרב
opposite	הפך
road	דרך
maybe	אולי
fish	דג
שֵׁם	שם משפחה
catastrophe	שואה
Sanskrit	סנסקריט
restaurant	מסעדה
girl	בחורה
girl	ילדה
man	איש
inheritance	ירושה
Spanish	ספרדית
Mandarin	מנדרינית
Georgian	גרוזינית
suppose	הניח
sunrise	זריחה
sunset	שקיעה
kitchen	מטבח
mouse	עכבר
bench	ספסל
architect	אדריכל
mercury	כספית
boredom	שעמום
piano	פסנתר
apple	תפוח
Aaron	אהרן
Monday	יום שני
Tuesday	יום שלישי
Wednesday	יום רביעי
Thursday	יום חמישי
יום	יום שישי
Latin alphabet	אלפבית לטיני
helicopter	מסוק
television	טלוויזיה
boob	ציצי
Jewish	יהודי
door	דלת
sofa	ספה
floor	רצפה
wall	קיר
כְּלִי	כלי טיס
VAT	מע״מ
galaxy	גלקסיה
clarinet	קלרינט
avocado	אבוקדו
translator	מתרגם
translator	מתורגמן
translate	תרגם
translated	מתורגם
translate	תרגומת
תַּרְגּוּם	תרגום השבעים
seventy	שבעים
translator	תורגמן
Japanese	יפנית
Italian	איטלקית
Uzbek	אוזבקית
Ukrainian	אוקראינית
Indonesian	אינדונזית
Albanian	אלבנית
Estonian	אסטונית
Esperanto	אספרנטו
Afrikaans	אפריקאנס
Armenian	ארמנית
bird	ציפור
flame	להבה
oxygen	חמצן
carbon	פחמן
fuel	דלק
stove	תנור
design	עיצוב
invention	המצאה
project	מיזם
project	פרויקט
serif	תג
organ	איבר
element	יסוד
nitrogen	חנקן
fluorine	פלואור
neon	ניאון
beryllium	בריליום
lithium	ליתיום
helium	הליום
hydrogen	מימן
color	צבע
interest	ריבית
butter	חמאה
agora	אגורה
loaded	עמוס
Job	איוב
Esther	אסתר
Ruth	רות
Chronicles	דברי הימים
Judges	שופטים
dove	יונה
Kings	מלכים
Samuel	שמואל
מִּדְבָּר	במדבר
Psalms	תהלים
Deuteronomy	דברים
Ecclesiastes	קהלת
Exodus	שמות
Ezekiel	יחזקאל
Joel	יואל
Joshua	יהושע
how	איכה
Leviticus	ויקרא
Malachi	מלאכי
what	מה
יום	יום הולדת
שָׂמֵחַ	יום הולדת שמח
happy	שמח
January	ינואר
February	פברואר
April	אפריל
what	מאי
June	יוני
July	יולי
August	אוגוסט
September	ספטמבר
October	אוקטובר
November	נובמבר
December	דצמבר
ox	שור
crocodile	תנין
pomegranate	רימון
square	ריבוע
Snow White	שלגיה
Snow White	שלג
horse	סוס
כּוֹכַב	כוכב לכת
German	גרמנית
Latin	לטינית
Dutch	הולנדית
Polish	פולנית
Finnish	פינית
gigabyte	גיגבייט
three	שלושה
four	ארבעה
anachronistic	אנכרוניסטי
Ladino	לדינו
fool	טיפש
Romanian	רומנית
academy	אקדמיה
student	סטודנט
radio	רדיו
banana	בננה
phone	טלפון
computer	מחשב
IDF	צה״ל
first	חודש
hour	שעה
minute	דקה
second	שנייה
Hebrew	עברי
fifth	חמש
six	שישה
sate	שבע
seven	שבעה
eight	שמונה
nine	תשעה
ten	עשרה
zero	אפס
אַחַת	אחת עשרה
אַחַד	אחד עשר
עֶשְׂרֵה	שתים עשרה
עָשָׂר	שנים עשר
שְׁלוֹשׁ	שלוש עשרה
שְׁלוֹשָׁה	שלושה עשר
אַרְבַּע	ארבע עשרה
אַרְבָּעָה	ארבעה עשר
חֲמֵשׁ	חמש עשרה
חמישה	חמישה עשר
שֵׁשׁ	שש עשרה
שִׁשָּׁה	ששה עשר
שְׁבַע	שבע עשרה
שִׁבְעָה	שבעה עשר
שְׁמוֹנֶה	שמונה עשרה
שְׁמוֹנָה	שמונה עשר
תְּשַׁע	תשע עשרה
תִּשְׁעָה	תשעה עשר
twenty	עשרים
thirty	שלושים
forty	ארבעים
fifty	חמישים
sixty	שישים
eighty	שמונים
ninety	תשעים
cause	סיבה
polygamy	פוליגמיה
polygraph	פוליגרף
pink	ורוד
white	לבן
לַיְלָה	לילה טוב
hedonism	הדוניזם
hedonist	הדוניסט
Pharaoh	פרעה
faith	אמונה
symbol	סמל
school	בית ספר
university	אוניברסיטה
college	מכללה
orange	תפוז
orange	כתום
plane	מטוס
day	יממה
day	עשור
forest	יער
kiss	נשיקה
sky	שמים
butterfly	פרפר
escalator	דרגנוע
inkwell	דיותה
notebook	מחברת
Satan	שטן
yearning	כיסופים
pencil	עיפרון
encyclopedia	אנציקלופדיה
cupboard	ארון
ice cream	גלידה
prayer	המוציא
loquat	שסק
mango	מנגו
stubbornness	עקשנות
steppe	ערבה
unlocked	פתוח
he-man	גברתן
Zionism	ציונות
Zionist	ציוני
Hanukkah	חנוכה
apathy	אפתיה
indifference	אדישות
independence	עצמאות
Judaism	יהדות
Yeshua	ישוע
moment	רגע
Mount Megiddo	הר מגידו
NATO	נאט״ו
idea	רעיון
concept	מושג
big	גדול
tour	סבב הופעות
miserable	עלוב
snail	שבלול
Interlingua	אינטרלינגואה
reign	שלטון
wallet	ארנק
Bible	תנ״ך
Seven Wonders of the World	שבעת פלאי תבל
Jesse	ישי
opinion	דעה
chord	אקורד
fit	קריזה
גרשיים	״
spear	כידון
important	חשוב
gun	רובה
enough	די
navy	צי
mistress	פילגש
the	העולם
his	מצותיו
lizard	לטאה
Heliopolis	אן
either	או
hate	שנא
beta	ביתא
whole	כל
evil	רשע
John	יוחנן
alpha	אלפא
fatted	מריא
terrible	נורא
Nile	נילוס
pardon	חנן
please	אנא
tri-	תלת
zeta	זיתא
but	אלא
שְׁלוֹשִׁים	שלשים ותשעה
jar	כד
יַם	ים סוף
mother	אמא
lecturer	מגיד שיעור
מַטְבֵּעַ	מטבע לשון
strength	חוזק
how	איך
hunt	ציד
dim	צמצם
treasurer	גזבר
Avot	אבות
knife	אזמל
key	מפתח
ink	דיותא
immediately	אותיום
carpet	מרבד
client	לקוח
order	פקודה
library	ספרייה
lantern	פנס
Shapira	שפירא
grandfather	סבא
grandmother	סבתא
soap	סבון
anvil	סדן
peacock	תוכי
קַשׁ	אלמנת קש
Psittaciformes	תוכאים
mimic	חיקה
as	כ־
בוקר	בוקר טוב
revolution	מהפכה
bookmark	סימנייה
Internet	מרשתת
railroad	מסילת ברזל
dough	חמץ
Procyonidae	ראקוניים
why	מדוע
llama	לאמה
how	כיצד
oppressed	דוכא
Popeye	פופאי
rocket	רקטה
Azazel	עזאזל
shame	ב־ו־ש
Avraham	אברהם
deodorant	דיאודורנט
deodorant	אל־ריח
gel	ג׳ל
gel	תקריש
גַּלְשַׁן	גלשן שלג
ringtone	נעימון
tune	נעימה
pallette	פתכה
feminine	נקבי
vineyard	כרם
Braille	כתב בריל
yesterday	אתמול
Greek	יוונית
isolation	בידוד
Lemuel	למואל
-ly	ב־
ferry	מעבורת
Australian	אוסטרלי
Australian	אוסטרלית
baker	אופה
Austrian	אוסטרי
German	גרמני
French	צרפתי
Iraqi	עיראקי
Iraqi	עיראקית
American	אמריקני
American	אמריקנית
American	אמריקאית
chicken	תרנגול
leech	עלוקה
Austrian	אוסטרית
Reuben	ראובן
Issachar	יששכר
day before yesterday	שלשום
hat	כובע
summer	קיץ
winter	חורף
Israeli	ישראלי
Israeli	ישראלית
dadaism	דאדא
dada	דאדאיזם
cell	תא
masturbate	אונן
sufficiently	מספיק
sufficing	ס־פ־ק
neighborhood	שכונה
leopard	נמר
memory	ז־כ־ר
fear	פ־ח־ד
fear	פחד
history	היסטוריה
orchard	פרדס
mediation	גישור
lost	נאבד
irretrievable	אבוד
descent	ירידה
ascent	עלייה
בֶּגֶד	בגד ים
arms	זין
mikveh	מקווה
exactly	בדיוק
midday	צהריים
hold	החזיק
booty	בז
corps	חיל
ant	נמלה
monkey	קוף
Canaanite	כנעני
Canaanite	כנענית
basketball	כדורסל
stop	עצר
stop	הפסיק
border	גבול
כידון	כידון רובה
טוואי	טוואי המשי
silk	משי
worm	תולעת
caterpillar	זחל
spear	חנית
smile	חיוך
aardvark	שנבוב
finger	אצבע
game	משחק
far	רחוק
know	הכיר
listen	האזין
listen	הקשיב
now	עכשיו
now	כעת
now	עתה
age	גיל
atmosphere	אוויר
angry	כעס
בַּעַל	בעל חיים
answer	תשובה
girdle	אזור
arm	זרוע
craft	אומנות
baby	תינוק
ball	כדור
band	להקה
bank	בנק
base	בסיס
bear	דוב
beauty	יופי
bell	פעמון
lump	גוש
board	לוח
boat	סירה
body	גוף
bottom	תחתית
box	קופסה
guy	בחור
branch	ענף
breaking	שבירה
oh, no	אח
reading	קריאה
camp	מחנה
car	מכונית
car	אוטו
card	כרטיס
bag	תיק
case	מקרה
case	יחסה
target	מטרה
bedbug	פשפש
צרוף	צרוף לשון
affliction	צרעת
violinist	כנר
beggar	קבצן
ten thousand	רבבה
hundred	מאה
chair	כיסא
chance	סיכוי
change	עודף
chick	אפרוח
circle	מעגל
position	מעמד
cloud	ענן
colony	מושבה
bed	מיטה
condition	תנאי
consonant	עיצור
continent	יבשת
control	שליטה
grain	דגן
cotton	כותנה
crop	יבול
very much	מת
death	מוות
desert	מדבר
restored	רופא
doctor	דוקטור
dream	חלום
dress	שמלה
ear	אוזן
reptile	זוחל
enemy	אויב
energy	אנרגיה
experiment	ניסוי
flower	פרח
fly	זבוב
glass	זגוגית
government	ממשלה
group	קבוצה
neck	צוואר
heart	לב
help	עזרה
hill	גבעה
hill	תל
joy	שמחה
speech	שפה
lie	שקר
living	חיים
liquid	נוזל
machine	מכונה
metal	מתכת
method	מתודה
moon	ירח
nose	חוטם
human being	בן אדם
point	נקודה
problem	בעיה
rose	ורד
shoulder	כתף
sight	ראייה
sugar	סוכר
system	שיטה
tail	זנב
thing	דבר
thought	מחשבה
time	זמן
tone	צליל
tone	טון
valley	עמק
value	ערך
village	כפר
wheel	גלגל
worship	עבודה
bitterness	מרירות
skull	גולגולת
start	התחיל
club	מועדון
pier	מזח
מַצַּב	מצב רוח
task	משימה
thistle	קוץ
brother-in-law	גיס
character	תו
quality	איכות
ankle	קרסול
tooth	שן
bottle	בקבוק
blade	להב
table	שולחן
honey	דבש
link	קישור
link	חוליה
season	עונה
commitment	מחויבות
attempt	ניסיון
camera	מצלמה
photograph	תצלום
photograph	תמונה
Giah	גיח
stream	זרם
starch	עמילן
collar	צווארון
carefulness	זהירות
careful	נזהר
recommendation	המלצה
auction	מכירה פומבית
throne	כס
כיסא	כיסא מלכות
food	מזון
scorpion	עקרב
fog	ערפל
star	כוכב
bee	דבורה
pregnant	מעובר
citizen	אזרח
airplane	אוירון
״	גרשיים
חוּץ	חוץ מ־
end	סיום
beach	חוף
connect	חיבר
stem	גבעול
gravity	משיכה
cricket	צרצור
stay	לינה
return	חזרה
magnetic	מגנטי
data	מידע
first	ראשון
comb	מסרק
overtake	עקף
רֹאשׁ	ראש עיר
old	ישן
safety	בטיחות
shape	מצב
גם	גם כן
and	ו־
Rosh Hashanah	ראש השנה
coin	מטבע
seaport	נמל
fly	תעופה
Javan	יוון
log	בול עץ
clown	ליצן
plum	שזיף
black pepper	פלפל שחור
muscle	שריר
vein	וריד
lake	אגם
fear	פיחד
consume	צרך
blessing	ברכה
crystal	גביש
חיל	חיל אוויר
nephew	אחיין
nipple	פטמה
pressure	לחץ
boot	מגף
בוקר	ארוחת בוקר
dinner	ארוחת ערב
given name	שם פרטי
whip	שוט
success	הצלחה
tour	טיול
journey	מסע
cliff	צוק
toad	קרפדה
male	קרפד
עולם	לעולם לא
never	אף פעם
basket	סל
ditch	תעלה
nature	יקום
forever	לעד
mind	מוח
breath	נשימה
exhalation	נשיפה
berry	ענבה
fruit	פרי
sour cream	שמנת
decision	החלטה
קֶשֶׁת	קשת בענן
mustard	חרדל
tin	בדיל
goose	אווז
castle	טירה
tiger	טיגריס
shoe	נעל
jail	נכלא
כְּאֵב	כאב ראש
ראש	ראש עירייה
municipality	עירייה
speak	דיבר
sin	חטא
can	יכול
see	עיין
כַּרְטִיס	כרטיס אשראי
et al.	וכו׳
maize	תירס
goblet	גביע
mug	ספל
cup	קאפ
storm	סערה
silver	כסף
cash	מזומן
melancholy	דכדוך
bile	מרה
spleen	טחול
bicycle	אופניים
iron	ברזל
valiant	אביר
sort	סוג
שם	שם משתמש
use	משתמש
skewer	שיפוד
salt	מלח
graveyard	בית קברות
graveyard	בית עולם
burial	קבורה
check	בדק
click	הקליק
contest	תחרות
sickle	מגל
pet	חיית מחמד
careful	ז־ה־ר
yolk	חלמון
ink	טוש
lead	עופרת
extent	משך
conflagration	דליקה
fire	שריפה
לוּחַ	לוח שנה
calm	שלווה
candy	סוכריה
municipal	עירוני
kind	מין
arrogance	יהירות
sure	בטוח
arrive	הגיע
throw	העיף
poison	רעל
hair	שערה
jihad	ג׳יהאד
action	פעולה
secret	סוד
confidential	חסוי
bubble	בועה
screw	בורג
beard	זקן
gram	גרם
nectar	צוף
calm down	נרגע
building	בניין
Joseph	יוסף
chain	שרשרת
ego	אגו
mistress	בעלה
there is	יש
tomorrow	מחר
but	ברם
envelope	מעטפה
Naphil	נפיל
hammock	ערסל
bug	ג׳וק
debt	חוב
wear	לבש
hope	יהב
armory	כלי
crucify	צלב
quiver	תלי
prison	כלא
fall	נפל
weigh	שקל
futility	סרק
grab	חטף
pass	חלף
load	טען
demand	דרש
strike	נקש
cut	קטע
slice	פלח
approach	קרב
invade	פלש
elongated	ארך
Jether	יתר
gold	בצר
filled	מלא
scream	צרח
dance	רקד
business	עסק
Aram	ארם
do	פעל
suckle	ינק
Asa	אסא
forget	שכח
cease	פסק
Midian	מדין
pair	זוג
barefoot	יחף
board	קרש
pity	חס
bye	להתראות
shut up	שתק
padding	ריפוד
Peruvian	פרואני
Peruvian	פרואנית
Turkish	טורקי
deceit	רמאות
foolishness	סכל
pull out	שלף
delimit	תחם
turn	תור
expensive	יקר
arid	יבש
taste	טעם
anoint	משח
mix	בלל
without	בלא
stump	גדם
reader	קורא
kappa	כפא
יצא	יצא מהארון
fear	מורא
שלושה	בשלושה דברים אדם ניכר בכוסו בכיסו ובכעסו
tongs	מלקחת
intention	כוונה
enter	נכנס
pope	אפיפיור
idol	תרפים
Hebrew	יהודית
public	ציבור
all right	בסדר
area	ש־ט־ח
frightening	מפחיד
coward	פחדן
scare	הפחיד
use	השתמש
stay	נשאר
device	מכשיר
destroy	השמיד
without	ללא
beginning	בראשית
relative clause	ש־
implement	מימוש
of	מ־
deficiency	מגרעה
at times	לפעמים
opportunity	הזדמנות
elephant	פיל
slaughter	טבח
זֶה	זה סינית בשבילי
this	זה
hurry	הזדרז
age	הזדקן
Chinese	סינית
as	כאשר
ginger	זנגביל
pyramid	פירמידה
rabies	כלבת
lamb	קשיטה
mineralogy	מינרלוגיה
unfortunate	מסכן
go down	ירד
Jordan	ירדן
here	לכאן
here	לפה
toilet bowl	אסלה
nature	טבע
polygon	פוליגון
living	חיה
which	איזה
characteristic	סממן
mosquito	יתוש
periodic table	הטבלה המחזורית
axe	גרזן
science	מדע
lead	הוביל
lead	הנהיג
fire	מדורה
fire	פיטר
light	הדליק
force	הכריח
secretary	מזכיר
leukocyte	תא דם לבן
wet	רטוב
wet	רטובה
wet	הרטיב
wet	נרטב
falling	נפילה
decline	היחלשות
weaken	נחלש
push	דחה
decline	סירב
lyre	כינור
soldier	חייל
pawn	חנות משכונות
pawn	בית עבוט
salt	המליח
feverish	קודח
blazing	לוהט
stomach	קיבה
abdomen	בטן
crown	הכתיר
anime	אנימה
group	להק
dawn	שחר
delineation	תחום
function	תפקיד
event	אירוע
function	פונקציה
well	בריא
creation	בריאה
will	רצון
will	צוואה
apothecary	רוקח
heat	פיקנטיות
גל	גל חום
heat	חימם
heat	הלהיט
wind instrument	כלי נשיפה
Christmas Eve	ערב חג המולד
interpreter	מליץ
photograph	צילם
little	קצת
little	מעט
series	סדרה
להקת	להקת עורבים
defeat	הביס
הביע	הביע כעס
fury	זעם
root	שורש
jam	ריבה
cork	פקק
choice	בחירה
choice	מובחר
complex number	מספר מרוכב
application	יישום
software	תכנה
request	בקשה
trainer	מאלף
object	אוביקט
object	חפץ
יֵצֶר	יצר הרע
enzyme	אנזים
put	מיקם
singing	שירה
pathology	פתולוגיה
claustrophobia	קלאוסטרופוביה
set theory	תורת הקבוצות
homograph	הומוגרף
gaucho	גאוצ׳ו
carboxylic acid	חומצה קרבוקסילית
suffocate	חנק
deism	דאיזם
connect	קשור
fish	סלתנית
linear algebra	אלגברה לינארית
Euclidean	אוקלידי
coldness	קרירות
rationalism	שכלתנות
Bosphorus	בוספורוס
flow	ירה
remind	הזכיר
majesty	הוד
count	ספירה
literature	ספרות
brush	מברשת
free	חופשי
free	חינם
available	פנוי
pie	פאי
raven	עורב
march	מצעד
minute	זמן קצר
קֶשֶׁת	דקת קשת
summarize	סיכם
רשם	רשם בפרוטוקול
רשם	רשם פרוטוקול
capable	מסוגל
tin can	קופסת שימורים
service	שירותים
just	סתם
quarter	רבעון
quarter	רובע
ראשי	ראשי תיבות
activate	הפעיל
work	העביד
ב	בג״ד כפ״ת
false	שקרי
false	מזוייף
comma	פסיק
abuse	התעללות
verbal	השתלחות
abuse	התעלל
disparage	השתלח
Icelandic	איסלנדי
know	קלט
שְׁחֹרָה	שחורה
y'all	אתם
parallel	מקביל
קו	קו רוחב
parallel	הקביל
vertical	מאונך
stand	ניצב
hand	מחוג
dear	יקיר
ribbon	סרט
imagine	דמיין
mechanism	מנגנון
ventilate	אוורר
east	מזרח
mother-in-law	חמות
sister-in-law	גיסה
groom	חתן
favor	טובה
tasty	טעים
tasty	טעימה
successful	מוצלח
bold	דגוש
turquoise	טורקיז
nose	חרטום
Bulgarian	בולגרית
family	משפחה
cork	שעם
fight	נאבק
fighting	לחימה
fight	ריב
fight	מאבק
morale	רוח קרב
light	הצית
illuminate	האיר
light	אורה
illumination	הארה
light	מואר
light	מוארת
light	בהיר
G-d	קל
toast	קלה
dietetic	דיאטתי
carcass	גוויה
body	גופה
torso	טורסו
throw	זרק
Palestine	פלסטין
throw	זריקה
shape	צורה
shape	עיצב
cover	כריכה
changed	שונה
whistle	שרק
sign	שלט
solution	פשר
deity	אלוהות
beginning	התחלה
gender	מגדר
kamatz	אָ
cherry	דובדבן
Europe	אירופה
gratis	בחינם
last	אחרון
last	שעבר
ה־	הבא
אחרי	אחרי החגים
beet	סלק
count	פקד
stand	עמד
Euphrates	פרת
all of a sudden	פתאום
why	מה פתאום
truncation	׳
4	ד׳
rosemary	רוזמרין
bind	אסר
nepotism	נפוטיזם
watch	אשמורת
בֵּית	בית כנסת
scene	סצנה
carpet	שטיח
Jerusalem	ירושלמי
vagina	פות
youth	צעיר
great	מגניב
face	פנים
bitter	מר
כמה	רוצה
too	גם
where	לאן
video	וידאו
idiot	אידיוט
suicide	התאבדות
second	שניה
pleasant	מתוק
Christmas	חג המולד
birth	לידה
orgasm	אורגזמה
caperberry	אביונה
burn	בער
ruler	סרגל
conscience	מצפון
shadow	צל
ice	קרח
mustache	שפם
dew	טל
collector	אוגר
liberty	דרור
new shekel	ש״ח
pig	חזיר
mountain	הר
cold	קר
cave	מערה
soccer	כדור רגל
only	רק
bridge	גשר
bit	ביט
library	ספריה
board	דף
cease	בטל
together	יחד
countenance	סבר
peacock	טווס
bark	נבח
attorney	פרקליט
spectrum	ספקטרום
vector	וקטור
balloon	בלון
Armenian cucumber	מלפפון
notation	כתיב
male	טסטוסטרון
pray	התפלל
hope	קיווה
annoying	כוץ
disease	מחלה
cube	קובייה
policeman	שוטר
clapper	ענבל
tallit	טלית
Crete	כפתור
handgun	אקדח
ethos	אתוס
electrum	חשמל
Exodus	יקרא
timbrel	תוף
scab	גלד
guest	אורח
belt	חגורה
transmission	שדר
foil	סיף
bow down	סגד
tremble	רעד
clap	רעם
come	בא
anchor	עגן
huge	עתק
permanence	קבע
activity	פעילות
activity	מעש
choice	ברירה
break	נשבר
peaceful	שלו
accompany	ארח
kick	בעט
dream	חלם
bow	קשת
nightmare	סיוט
desirable	רצוי
spring	קיפץ
jump	קפץ
-ic	־י
teach	לימד
confuse	בלבל
interested	מעוניין
interesting	מעניין
dictate	הכתיב
pigeon	תסיל
diary	יומן
single	נר
road	כביש
perfume	בושם
Mishnah	תנא
for	ל־
Naomi	מרא
straighten	זקף
borrowed	שאול
