foot	pie
Damascus	Damasco
hill	otero
unwillingly	amidos
rich	ric
idol	idola
brother	ermano
heart	cuer
vintage	vendimia
-ity	-tat
coriander	culantro
emerald	esmeralda
ring	sortija
jailkeeper	carcelero
find	trobar
priest	sacerdot
down	ayuso
check	xaque
ruby	robi
lioness	leona
press	premer
lung	pulmon
hunting	caça
kid	cabrito
grave	sepulcro
river	flum
hail	pedrisco
comb	peyne
tabernacle	tabernaculo
week	setmana
willow	salze
cloud	nuf
iron	fierro
she-ass	asna
drachma	dragma
heart	coraçon
cherub	cherubin
scorpion	escorpion
calf	bezerro
rod	blago
axe	segur
oil	azeyte
speak	fablar
sister	ermana
circumcision	circuncision
child	ninno
butter	buturo
disciple	disçiplo
pride	orgul
mushroom	fongo
resemblance	semblança
sea	piélago
candlestick	candelero
Zerubbabel	Zorobabel
woman	mugier
leaf	foja
henna	alhenna
prison	carcel
cloth	talega
fig tree	figuera
elbow	cobdo
mail	loriga
sixteen	seze
spider	aranna
government	gouierno
hunger	fambre
beautiful	fermoso
beauty	fermosura
window	finiestra
need	uebos
astrologer	estrellero
swarm	ensamne
strength	fuerça
snake	culuebro
amount	quantia
bronze	aramne
quarantine	quarentena
eagle	aguila
holm oak	enzina
singer	cantador
white	blancor
youth	mancebia
satiety	fartura
fatness	grossura
leprous	gafo
jocund	jocundo
silver	ariento
cleric	clerigo
Castile	Castiella
lord	sennor
knee	rodiella
emery	esmeril
ring	aniello
servitude	seruidumne
darkness	tiniebra
twin	emellizo
knee	ynojo
archbishop	arçobispo
archdeacon	arcidiano
city	cibdat
wicker	canastiello
mortality	mortaldat
military	cabdiello
January	janero
camp	castrillo
Mattathias	Mathathias
yellow	amariello
friendship	amiztat
household	criazon
deed	fazienda
snake	culuebra
scorpion	alacran
darkness	escuridat
darkness	oscuridat
bezoar	bezahar
hammer	martiello
medicine	melezina
spot	manziella
flatbread	tortiella
masculine	-iello
feminine	-iella
bowl	escudiella
minute	menudiello
brick	ladriello
pupil	ninniella
ankle	touiello
dominion	sennorio
sign	sennal
lady	sennora
wrist	munneca
alphabet	A.B.C.
light	celestre
magnet	aymante
Aristotle	Aristotil
young	pequennuelo
soap	xabon
current	aguaducho
tin	estanno
amount	quantidat
stomach	estomago
gut	estentino
arroba	arroua
illness	enfermedat
Ursa Major	Ossa Mayor
Ursa Minor	Ossa Menor
melancholy	malanconia
enmity	enemiztat
pebble	pidrizuela
leech	sangusuela
onze	onzeno
doze	dozeno
diez	dezeno
treze	trezeno
catorze	catorzeno
quinze	quinzeno
necromancer	nigromanciano
power	poderio
ash	cenisa
juice	çumo
red	vermejo
redness	vermejura
language	lenguage
vezes	veynte
veynte	veynteno
sixty	sessaenta
vezes	seys
siete	seteno
bone	huesso
surgery	cirulgia
snow	nieue
purslane	verdulaga
egg	hueuo
dampness	humidat
tear	lagrema
cave	cueua
zircon	jargonça
gypsum	yesso
honeycomb	bresca
alone	sennero
Roman mile	migero
wonder	marauilla
strange	estranno
henbane	bellinno
hemp	cannamo
carnelian	cornelina
gum	enzia
jeweler	orebze
pearl	aljofar
kidney	rennon
metal	azech
ship	naue
jet	zebech
pool	albuhera
alum	axeb
this	aqueste
migraine	xaqueca
mushroomlike	fonguenno
ape	ximio
cistern	algibe
surgeon	cirurgiano
chestnut	castanna
knife	cochiello
knife	cuchiello
porphyry	arroham
elephant	eleofant
elephant	elifant
wasp	biespa
algal	alguenno
saffron	açafran
elephant	alefant
venemous	tossigoso
church	eglesia
Jesus Christ	Ihesu Xpisto
potter	orcero
Moses	Moysen
vinegary	vinagroso
horizon	oryzon
chick	golondrino
wit	engenno
linseed	linaça
storm	tempestat
Sardinia	Sardenna
vulture	boitre
clothing	vestidura
Creator	Criador
chickpea	garbanço
host	fosado
summertime	tiempo del verano
Jerusalem	Iherusalem
dropsy	ydropisia
dew	rucio
caterpillar	erugo
weaver	ensullo
fuck	fuder
word	parabla
companionship	compannia
line	linnage
Cain	Caym
oath	promission
Promised Land	tierra de promission
desert	desiert
according to	segunt
with	convusco
kill	occidir
reason	raçon
prostitute	putana
Hell	huerco
door	uço
hut	cabanna
cheek	maxiella
artichoke	alcarchofa
leave	lexar
always	sienpre
equal	ygual
service	seruicio
dirty	suzio
fuero	judgar
Isaac	Ysaac
messenger	mensagero
inflate	finchar
log	lenno
basil	albafaca
swiftly	rabdo
stye	orçuelo
rascal	trufán
square metre	tahulla
break	frañer
morning	mannana
before	delant
censer	encensario
incense	encienso
servant	sieruo
servant	sierua
Holy Land	Ultramar
Babylon	Babilonna
perhaps	quiçab
judgment	judizio
sinner	peccador
Beelzebub	Belzebub
abomination	aborricion
multitude	muchidumne
archbishopric	arçobispado
arm	brafonera
vessel	tiniella
vessel	vasiella
heifer	vaquiella
cunning	adeuinanciella
riddle	adeuinança
firewood	lenna
prostitute	putanna
deluge	diluuio
cloud	nuue
nurse	nutriz
nurse	nodriz
sheep	oueja
captain	princeb
captain	princep
west	ponient
hot	calient
stream	torrient
stream	torriente
fortified	encastellado
wrought	guadalmecin
birth	nauidat
unleavened	sancenno
salad greens	lechezinos
-ity	-dat
college	universidat
kidnap	rabir
evil	auoleza
army	fonsado
music	estrumento
neck	ceruiz
companion	compannero
thick	gruesso
Melchizedek	Melchysedec
Abram	Abraam
beginning	compeçamiento
commandment	comendamiento
Jehoshaphat	Josaphat
prostitute	fornaguera
plowshare	açada
sinew	nerbio
noise	roydo
affliction	affliccion
regard	berguença
prophecy	prophetismo
creditor	debdor
message	mensage
evangelist	euangelista
rest	remasaja
kingdom	reysmo
sickness	malaptia
west	fauonno
death	muert
soothsayer	fidenisa
seer	adeuino
Philistine	philisteo
knife	guchiello
visit	visitança
enemy	ennemigo
ornament	guarnimiento
week	sedmana
mournful	dolorioso
company	companna
mason	maçonero
goods	mercadura
Ishmaelite	ysmael
Ishmael	Ysmael
drove	requa
dream	suenno
clothes	vestimienta
person	sortero
divination	deuinança
omen	aguero
prey	rabadura
blessing	bendicion
mountain	montanna
youth	juuentut
boiling	firuient
Peter	Peydro
up	asuso
winter	yvierno
verse	viesso
spear	venavlo
river	rrio
empty	bazio
