intervention	may
ashamed	rûreş
brazen-faced	rûqayim
brazen-faced	bêşerm
statue	peykel
statue	heykel
statue	senem
statue	kelwaş
Slavic	slavî
upside down	sernişîv
comparative	serberjêr
Spanish	spanî
barefoot	xwas
Baghdad	Bexda
stage	qonax
stage	merhele
stage	gihanek
vase	guldank
vase	gulwaz
late	gîro
marble	xar
dinar	dînar
moan	axîn
retired	karkenar
retiree	malnişîn
retiree	teqawid
garden	bostan
in front	-bar
infinitive	rader
bring	anîn
bring	înan
bring	hênan
build	saz kirin
Esperanto	esperantoyî
because	çimkî
because	ji ber ku
solar system	pergala rojê
rainbow	keskesor
rainbow	keskûala
rainbow	qozeqer
rainbow	bûka baranê
Afrikaans	afrîkansî
saw	mişar
committee	komîte
committee	lijne
suck	mêjîn
sofa	qenepe
massage	masaj
Persian	farisî
curse	nalet
province	parêzgeh
province	wîlayet
province	eyalet
province	mihafize
historic	dîrokî
she-wolf	dêlegur
goal	hedef
escape	bazdan
auction	mezad
gentleman	efendî
driver's license	ajoname
driving licence	ehliyet
assistant	asîstan
hopeful	hêvîdar
hopeful	umêdewar
hopeful	bihêvî
earring	guhar
Sunni	sinîtî
tribunal	dadgeh
tribunal	mehkeme
congressman	kongresman
sit	rûniştin
fart	tirr
reactor	reaktor
e-book	e-pirtûk
calf	mozik
cloud	ewr
cross	xaç
award	xelat
avalanche	aşît
genre	janr
Nile	Nîl
bondsman	derhûd
stack	پارت
Armenian	خارس
miniskirt	kurtedawên
miniskirt	kurtedaw
miniskirt	kurtetenore
Pohnpeian	ponpeyî
fodder	alif
whirlwind	پتوت
potter	pirûd
plum	şilor
Flemish	flamî
tar	qîr
tar	qetran
glass	şûşe
incite	azirandin
incite	cixirandin
incite	sîqilandin
incite	engizandin
incite	belişandin
incite	cilixandin
vendetta	xwîndarî
perestroika	perestroyka
chief	axa
very	pir
system	pergal
tooth	didan
ethno-	etno-
sea	dengiz
his	-î
henhouse	پون
clutch	پنغال
have	hebûn
skull	kilox
urinate	mîstin
manure	axpîn
pearl	مگریت
sheepfold	گوم
escape	revîn
boy	kurr
colony	mêtingeh
cul-de-sac	nabos
church	dêr
anus	zotik
drainpipe	شرتان
decollete	dekolte
mercy	eman
bed	کلين
bear	hirç
pigeon	خوپال
old woman	پاراو
priest	ایریس
Mediterranean Sea	Deryaya Navîn
germander	qesel
pocket	berîk
political science	siyasetnasî
politology	polîtolojî
voice	deng
erotic	erotîk
bedstraw	rûnas
leech	tizrûg
strength	بری
lamb	گرک
nephew	تورین
topic	mijar
nun	مرابط
bartender	badegêr
bartender	saqî
bartender	meyxanevan
residence permit	îqame
chooser	hilbijêr
lid	qepax
minister	qeşe
top	jor
axe	balte
cupboard	dolab
in it	tê
Easter	zadik
inhabitant	şênî
adaptation	adaptasyon
drive	ajotin
believe	bawer kirin
read	xwendin
watchdog	gembol
willow	bî
worker	karker
fame	navûdeng
farmland	zevî
wheat	genim
milk	dotin
beat	lêxistin
say	gotin
love	hez kirin
cook	kelandin
play	lîstin
congratulate	pîroz kirin
buy	kirîn
ask	pirsîn
throw	avêtin
lick	alîstin
October	cotmeh
June	pûşper
July	tîrmeh
dough	hevîr
celebration	pîrozbahî
bone	hestî
nameless	bênav
namelessness	bênavî
adjective	rengdêr
verb	lêker
tooth	diran
foot	pî
house	xanî
snow	berf
erotic	şehwetî
heaven	cenet
pool	lîç
economist	aborînas
singular	yekjimarr
question	pirs
fertile	mêwedar
facility	asanî
easy	hêsan
Kikongo	kîkongoyî
sunshine	tava rojê
there's no place like home	Şam şekir lê welat şirîntir e
Earth	erd
meaning	wate
Iran	Îran
admiration	heyranî
administration	birêveberî
agriculture	cotkarî
antagonism	dijminatî
adverb	hoker
adaptation	guncandin
pact	peyman
appointment	tayîn
anxiety	dilgiranî
profit	feyde
all over again	ji serî ve
all over again	ji nû ve
adolescent	xort
young	ciwan
adolescence	ciwanî
affluence	dewlemendî
affluence	zengînî
affluence	maldarî
adherence	dilsozî
ardour	hewes
daily bread	risq
ado	dengûdor
anklebone	gozek
affair	karûbar
arrangement	amadekarî
nation-building	netewesazî
North America	Amerîkaya Bakur
zoo	baxçeyê heywanan
lexicographer	ferhengvan
obstruction	asteng
epic	destan
violator	binpêker
category	kategorî
register	tomarkirin
freedom	azadî
let	berdan
green	kesk
preaching	كروس
right	heq
thing	eşya
economic	aborî
mapper	nexşekêş
history	dîrok
create	afirandin
twist	alandin
continue	domandin
separatism	cudaxwazî
violation	binpêkerî
violation	binpêkirina mafên mirovan
psychology	derûnnasî
derve	wezîrê karûbarên derve
maritime law	dadweriya deryayî
narrow-mindedness	diltengî
violation	binpêkirin
economics	aborînasî
fairness	adilî
creator	afirmend
harmonization	ahengsazî
zoology	ajalnasî
headquarter	baregeh
influencer	bandorker
corruption	bertîlxwerî
bi	bi dilê xwe
society	civak
harassment	zivêrkirin
harass	zivêr kirin
cinsî	zivêrkirina cinsî
imprisoner	zindanker
imprisonment	zindankirin
braggart	zirto
tyrannicide	zordarkujî
linguicide	zimankujî
linguicide	zimankuj
tyrannicide	zordarkuj
linguist	zimannas
science	zanist
scientific	zanistî
scientist	zanistvan
antiscience	dijzanistî
computer science	zanista kompûterê
equal	wekhev
equality	wekhevî
translation	werger
translator	wergêr
translate	wergerandin
edible	xwarbar
student	xwendekar
reader	xwendevan
swindler	xapîner
negligence	xemsarî
self-sustaining	xwegir
autonomous	xweser
autonomy	xweserî
beggar	xwestok
naturalist	xwezanas
natural	xwezayî
beneficiary	xwedîmaf
heroism	egîdî
courageous	egîd
result	encam
subtitle	jêrnivîs
copy	ji ber girtin
remain	ji ber man
import	ji derve anîn
incite	lê sor kirin
prime minister	serokwezîr
criminology	tawannasî
rebuild	veavakirin
invitation card	vexwendname
affidavit	sondname
swearer	sondxwer
skyscraper	balexanî
comparison	berhevdanî
recklessness	bêfikaretî
hopelessness	bêhêvîtî
uselessness	bêkêrî
lawyer	parêzer
death penalty	cezayê mirinê
prison sentence	cezayê zindanê
phonetics	fonetîk
labial	lêvkî
dental	diranî
morphology	morfolojî
village	gund
horse	hesp
bridegroom	zava
subpage	binrûpel
administrator	rêveber
leader	rêber
see	dîtin
Latin	latînî
French	fransî
Arabic	erebî
housewife	kevanî
writing	nivîs
continent	parzemîn
celebration	cejin
prison	girtîgeh
calf	golik
article	gotar
number	hejmar
open	vekirin
laugh	kenîn
journalist	rojnamevan
author	nivîskar
farmer	cotkar
injured	birîndar
president	serokdewlet
meaningless	bêwate
restaurant	xwaringeh
singer	stranbêj
annual	salane
weekly	hefteyane
monthly	mehane
daily	rojane
bedroom	xewxane
library	pirtûkxane
librarian	pirtûkxanevan
orphanage	sêwîxane
brightness	jîrî
intelligent	jîr
brotherhood	biratî
talk	axaftin
press	dewisandin
bibliophile	pirtûkhez
artist	hunermend
man-eater	mirovxwer
capital	serbajar
art	huner
rich	dewlemend
stomach	zik
achieve	bi dest xistin
amidst	di nav ... de
since	ji ... û pê ve
dest	dest danîn ser
bo	bo xwe kirin xem
bi	bi ser xwe ve hatin
explosion	teqandin
explode	teqîn
I love you	ez hez ji te dikim
fall	ketin
infinitive	-în
ready	amade kirin
record	tomar kirin
steal	dizîn
chew	cûtin
embarrass	hetikandin
afraid	tirsîn
scare	tirsandin
stay	sekinîn
sleep	raketin
fry	qelandin
marry	zewicîn
escape	filitîn
found	damezrandin
accept	pejirandin
literature	wêje
idiom	biwêj
workplace	kargeh
astronomy	stêrnasî
forest	daristan
river	çem
end	dawî
season	demsal
century	sedsal
cemetery	goristan
systemless	bêpergal
help	alîkarî
helper	alîkar
tire	betilandin
glove	lepik
airplane	balafir
pilot	balafirvan
airport	balafirgeh
content	naverok
contentless	bênaverok
friendship	hevaltî
salt	xwê
murderer	kujêr
pumpkin	kundir
grammar	rêziman
honey	hingiv
live	jiyan
gold	zêr
shovel	bêr
egg	hêk
modernity	nûjenî
uprising	serhildan
reality	rastî
guest	mêvan
member	endam
guesthouse	mêvanxane
saw	birek
sweat	xwêdan
barn	kadîn
sieve	bêjing
dream	xewn
cock	dîk
flower	kulîlk
grass	giya
mountain	çiya
kidnap	revandin
fly	firîn
lift	hildan
revolutionist	serhildêr
be	bûn
stop	sekinandin
extinguish	tefandin
cough	kuxîn
burn	şewitîn
get up	rabûn
drown	xeniqîn
test	ceribandin
forgive	borandin
cool	cemidandin
like	ecibandin
deceive	xapandin
turn around	zivirandin
massage	mizdan
today	îro
work	kar kirin
invite	vexwendin
fix	edilandin
respond	bersivandin
response	bersiv
take away	birin
decorate	xemilandin
inhibit	asteng kirin
help	alîkarî kirin
prohibit	qedexe kirin
write	nivîsîn
assess	nirxandin
call	deng lê kirin
repeat	dubare kirin
teach	fêr kirin
bite	gez kirin
hope	hêvî kirin
teach	hîn kirin
hello	silav
prefix	pêşbendik
astronomy	astronomî
sociology	civaknasî
sociology	sosyolojî
azad	vîna azad
will	vîn
free	azad
free	azad kirin
bajêrwarane	azadiyên bajêrwarane
lay	danîn
between	di navbera ... de
according to	li gorî
against	li dijî
in front of	li ber
with	bi ... re
twenty	bîst
fifty	pêncî
long	bêrî kirin
raise	bilind kirin
dizzy	gêj kirin
use	bi kar anîn
ash	xwelî
wear	li xwe kirin
begin	dest pê kirin
end	bi dawî kirin
cut	jê kirin
string up	bi dar ve kirin
bother	dilgiran kirin
present	pêşkêş kirin
empty	vala kirin
fill	tijî kirin
clean	paqij kirin
add	lê zêde kirin
correct	sererast kirin
peel	qeşartin
beat	lê dan
injure	birîndar kirin
island	girav
money	dirav
wet	şil
semantics	watenasî
etymology	bêjenasî
plowed	hox
generous	merd
veto power	mafê vetoyê
week	heftê
nineteen	nozdeh
ask	pirs kirin
fox	rovî
dignity	rûmet
toothless	bêdiran
workless	bêkar
uninfluenced	bêbandor
earthquake	erdhej
information	agahî
aim	armanc
neighbour	cîran
fatherless	bêbav
motherless	bêdê
-less	bê-
family	malbat
benefaction	qencî
etc.	hwd.
long	dirêj
important	girîng
small	biçûk
big	mezin
deep	kûr
high	bilind
soft	nerm
dry	hişk
new	nû
full	tijî
dark	tarî
slow	hêdî
quick	zû
quick	bilez
dark	tarî kirin
soften	nerm kirin
warm	germ kirin
German	almanî
Italian	îtalî
Catalan	katalanî
Japanese	japonî
Polish	polonî
grebe	noqavok
cattle egret	teyrikê garanê
wild boar	berazê kovî
aardvark	berazê erdê
software engineering	endezyariya nivîsbariyê
electrical engineering	endezyariya elektrîkê
food engineering	endezyariya qûtê
engineering	endezyarî
software	nivîsbarî
food	qût
database	danegeh
azad	nivîsbariya azad
programming language	zimanê bernamekirinê
programming	bernamekirin
language family	zimanmalbat
synonym	hevwate
antonym	dijwate
substantive	navdêr
love	evîn
lover	evîndar
Judaism	cihûtî
Jew	cihû
December	berfanbar
vala	koma vala
subset	binkom
page	rûpel
organization	rêxistin
democracy	demokrasî
refugee	penaber
decade	dehsal
millennium	hezarsal
carrot	gêzer
quince	biyok
hawthorn	givîj
onion	pîvaz
atomî	hejmara atomî
widow	jinebî
painter	nîgarvan
antidemocratic	dijdemokratîk
antihuman	dijmirovî
democratic	demokratîk
anti-	dij-
peninsula	nîvgirav
abbreviation	kurtenav
short story	kurteçîrok
rolling pin	darikê tîrê
dendikî	reaktora dendikî
dendikî	reaktorên dendikî
nuclear	dendikî
herbivore	riwekxwer
closed	girtî
close	girtin
news agency	ajansa nûçeyan
agency	ajans
news	nûçe
navneteweyî	balafirgeha navneteweyî
navneteweyî	balafirgehên navneteweyî
international	navneteweyî
internationalism	navneteweyîtî
nationalism	neteweyîtî
prehistory	pêşdîrok
prehistoric	pêşdîrokî
first name	pêşnav
starter	pêşxwarin
dessert	paşxwarin
atomî	hejmarên atomî
derve	wezîrên karûbarên derve
written	nivîskî
oral	devkî
capitalism	kapîtalîzm
capitalist	kapîtalîst
orphan	sêwî
orphanity	sêwîtî
clean	paqij
cleanliness	paqijî
cleaner	paqijker
asker	pirsker
prayer	nimêjker
realism	realîzm
legal	zagonî
legality	zagonîtî
urban	bajarî
socialist	sosyalîst
angler	masîgir
prize winner	xelatgir
art lover	hunerhez
bibliophilia	pirtûkhezî
beauty	delalî
doubtless	bêguman
doubtlessness	bêgumanî
doubtful	biguman
doubtfulness	bigumanî
resultless	bêencam
resultful	biencam
resultlessness	bêencamî
resultfulness	biencamî
childless	bêzarok
good	delal
burn	şewitandin
bend	tewandin
impair	merixandin
gross out	kerixandin
tug	xirxirandin
gnaw	kojandin
corrupter	bertîlxwer
bribe	bertîl
cut	qetandin
dance	govend
ashtray	xwelîdank
lunch	firavîn
salt shaker	xwêdank
baby talk	zimanê zarokan
alîkar	lêkera alîkar
lêkerên	lêkerên alîkar
typography	tîprêzî
typographer	tîprêz
bejayî	hêzên bejayî
pocket knife	kêrika berîkê
kêrikên	kêrikên berîkê
proper noun	serenav
collective noun	komenav
common noun	hevenav
neutrality	nêtarî
sereke	hevoka sereke
hevokên	hevokên sereke
sphenoid bone	hestiyê cênîkê
hestiyên	hestiyên cênîkê
sêmehî	kovara sêmehî
kovarên	kovarên sêmehî
sêmehane	kovara sêmehane
right back	bergirê rastê
bergirên	bergirên rastê
left back	bergirê çepê
bergirên	bergirên çepê
neyînî	hokera neyînî
hokerên	hokerên neyînî
optative adverb	hokera daxwaziyê
hokerên	hokerên daxwaziyê
equalize	wekhev kirin
unwillingness	bêdilî
e-magazine	e-kovar
water mill	aşê avê
aşên	aşên avê
creditor	deyndêr
diphthong	dudeng
triphthong	sêdeng
consonant	dengdar
xwe	tûrikê xwe vala kirin
birîn	zimanê yekî birîn
pike	sîx
example	mînak
poet	helbestvan
poem	helbest
teknîkî	zanîngeha teknîkî
teknîkî	zanîngehên teknîkî
World Heritage Site	kelepora cîhanê
keleporên	keleporên cîhanê
atomic mass	giraniya atomê
giraniyên	giraniyên atomê
patriot	welatparêz
patriotism	welatparêzî
density	tîrbûn
atomic radius	nîveşkêla atomê
melting point	xala helînê
boiling point	xala kelînê
covalent radius	nîveşkêla kovalansê
radius	nîveşkêl
chemical	kîmyewî
chemical weapon	çeka kîmyewî
kîmyewî	çekên kîmyewî
isotope	îzotop
special	taybet
user	bikarhêner
technical	teknîkî
proline	prolîn
alanine	alanîn
asparagine	asparagîn
tyrosine	tîrosîn
valine	valîn
tryptophan	trîptofan
aniline	anîlîn
amino acid	tirşeya amînî
amînî	tirşeyên amînî
amino acid	asîda amînî
amînî	asîdên amînî
chemical equation	wekheviya kîmyewî
kîmyewî	wekheviyên kîmyewî
differential equation	wekheviya dîferensiyel
dîferensiyel	wekheviyên dîferensiyel
integral equation	wekheviya întegral
întegral	wekheviyên întegral
algebraic equation	wekheviya cebrî
cebrî	wekheviyên cebrî
population density	berbilavî
space	valageh
orbit	rêgeh
Eris	Erîs
cognitive psychology	psîkolojiya kognîtîv
message	peyam
e-mail	e-peyam
magazine	kovar
weekly	heftename
monthly	mehname
calendar	salname
contact	têkilî
flyer	belavok
problem	pirsgirêk
program	bername
programer	bernameçêker
refugeehood	penaberî
empire	împeratorî
emperor	împerator
investigator	lêkolîner
investigation	lêkolîn
lawyering	parêzerî
sociologist	civaknas
center	navend
central	navendî
play	lîstik
player	lîstikvan
continental	parzemînî
random	ketober
leader	serok
president	serokkomar
ill	nexweş
sickness	nexweşî
cat	pisîk
dog	kûçik
cat	kitik
constructed language	zimanê çêkirî
çêkirî	zimanên çêkirî
link	girêdan
national	neteweyî
nation	netewe
ketamine	ketamîn
catatonic	katatonîk
upload	bar kirin
support	piştgirî
hope	hêvî
call	gazî kirin
teacher	mamoste
teacher	mamosta
vocative	vokatîv
dirty	herimandin
municipality	belediye
dirty	lewitandin
destroy	hilweşandin
sabotage	sabote kirin
army	artêş
tire	westandin
pig	beraz
lengthen	dirêj kirin
shorten	kurt kirin
shorten	qut kirin
interesting	balkêş
reduce	kêm kirin
bloody	xwînî
blood	xwîn
make	bi cih anîn
lock	asê kirin
specify	diyar kirin
lower	nizm kirin
thin	zirav kirin
destan	telefonên destan
word	peyv
helpful	sexî
search	lêgerîn
buy	lê gerîn
specialist	pispor
square	qad
moustache	simbêl
face	dêm
unripe	cûr
countryless	bêwelat
countrylessness	bêwelatî
freedom of press	azadiya çapemeniyê
press	çapemenî
freedom of assembly	azadiya civînê
assembly	civîn
two	pêrar
goat	bizin
bride price	qelen
urine	mîz
urinate	mîz kirin
defecate	gû kirin
merchant	bazirgan
work	xebat
worker	xebatkar
trade	bazirganî
hopeless	bêhêvî
seeable	dîtbar
identity	nasname
Turk	tirk
permission	izin
rumen	ûr
unhappy	bedbext
event	bûyer
debt	deyn
monoxide	monoksîd
oxide	oksîd
pentoxide	pentoksîd
hyperoxide	hîperoksîd
peroxide	peroksîd
epoxide	epoksîd
epoxidation	epoksîdasyon
-amine	-amîn
amphetamine	amfetamîn
antihistamine	antîhîstamîn
histamine	hîstamîn
bondage	bindestî
freedom	azadîhez
homonym	homonîm
independence	serbixwetî
independent	serbixwe
freedom	azadîxwaz
eel	marmasî
benefaction	başî
support	piştgirî dan
school	mekteb
love	evîndarî
attack	êrîş
watch	saet
elbow	enîşk
Turkey	Tirkiye
tail	boç
-stan	-istan
in	der-
squirrel	sivore
week	hefte
pain	derd
Faroese	ferî
elephant	fîl
nest	hêlîn
eighteen	hejde
force	hêz
Spain	Spanya
eleven	yazde
eight	heşt
child	zarok
sedge	pelax
