how	en
castration	gelding
alike	eins
moor	mór
look	sko
dawdling	droll
October	október
glass	glas
round	lota
sem	vista
potassium	kalín
rap	rappa
fluorine	flúor
crackle	snark
crackle	snarka
stock	lager
whine	vol
paving stone	hella
trouble	ama
salmon	lax
livestock	fé
feed	mata
alpha	alfa
mess with	dissa
as	sem
still	enn
bear	björn
Jesus	Jesús
yes	já
his	hans
lose	missa
bucket	fata
cuddle	kela
hurry	asi
dollar	dollari
tongue	tunga
ground	grund
seven	sjö
wits	vit
dispatching	sending
spit	tangi
letter	a
Önnu	Anna
Japanese	Japani
Leah	Lea
Nile	Níl
Seth	Set
beer	Stella
yes	jess
very	afar
ban	bann
chivalrous	kurt
germanium	german
bold	baldur
farce	farsi
September	september
Inuktitut	inuktitut
sheet	lak
internet	internet
nuisance	maus
man	karl
Tagalog	tagalog
curdle	ysta
proboscis	rani
born	f.
lettuce	salat
behave	haga
fringe	traf
graph	graf
amoeba	amaba
ice	ís
water	vatn
goat	geit
sex	kyn
shield	skildir
C flat	ces
feeder	peli
answer	ansa
box	kassi
bracelet	armband
table	borð
horse	hestur
dog	hundur
cat	köttur
door	dyr
nose	nef
flame	logi
piston	bulla
bent	kengur
coal	kol
hobble	haft
withered	sina
rat	rotta
until	uns
head	haus
yen	jen
mis-	mis-
bunk	flet
she	hon
smile	brosa
separate	aðskilinn
grandfather	afi
undress	afklæða
birthday	afmælisdagur
excuse	afsaka
discount	afsláttur
back	aftur
field	akur
never	aldrei
age	aldur
everywhere	allstaðar
everything	allt
always	alltaf
í einu	allt í einu
international	alþjóðlegur
grandmother	amma
apothecary	apótek
event	atburður
interesting	athyglisverður
easy	auðveldur
Austrian	Austurríkismaður
ointment	áburður
before	áður
áður	áður en
alcohol	áfengi
in the meantime	á meðan
between	á milli
tomorrow	á morgun
against	á móti
across from	á móts við
content	ánægður
without	án
urgent	áríðandi
success	árangur
yearly	árlegur
season	árstími
direction	átt
reference	ávísun
fruit	ávöxtur
bathe	baða
bathroom	baðherbergi
backpack	bakpoki
behind	bak við
bank	banki
banned	bannaður
only	bara
grandchild	barnabarn
boat	bátur
brochure	bæklingur
farm	bær
straight	beint áfram
plea	beiðni
bridle	beisli
gas station	bensínstöð
gasoline	bensín
better	betur
ask	biðja
stop	biðstöð
motorbike	bifhjól
breakdown	bilun
arrange	binda fastmælum
wait	bíða
car rental	bílaleiga
car	bílaverkstæði
car	bíll
invite	bjóða heim
sheet	blað
wet	blautur
blue	blár
flower	blóm
eat	borða hádegismat
eat	borða morgunmat
book	bók
book	bóka
letter	bókstafur
batting	bómull
farmer	bóndi
bread	brauð
broad	breiður
Icelandic Black Death	brennivín
Briton	Breti
Britain	Bretland
letter	bréf
departure	brottför
brother	bróðir
trot	brokk
bridge	brú
wedding	brúðkaup
reside	búa
complete	búinn
construction	bygging
build	byggja
begin	byrja
flirt	daðra
paper	dagblað
daily	daglegur
date	dagsetning
program	dagskrá
day	dagur
dance	dansa
sad	dapur
death	dauði
dead	dáinn
example	dæmi
deck	dekk
anesthesia	deyfing
die	deyja
discotheque	diskótek
daughter	dóttir
deep	djúpur
draw	draga
tow rope	dráttartaug
drink	drekka
beat	drepa
drink	drykkur
diligent	duglegur
island	ey
cloth	dúkur
stay	dvöl
dark	dökkur
sanitary napkin	dömubindi
or	eða
normal	eðlilegur
fabric	efni
after	eftir
afternoon	eftir hádegi
Lapland	Lappland
blame	lasta
starling	stari
owner	eigandi
wife	eiginkona
husband	eiginmaður
property	eign
somebody	einhver
simple	einfaldur
private	einka
one	einn
alone	eitt
once	einu sinni
like	eins og
poison	eitur
nothing	ekkert
real	ekta
cook	elda
volcanic	eldgos
volcano	eldfjall
match	eldspýta
cooking	eldunaraðstaða
love	elska
fire	eldur
end	endir
repeat	endurtaka
no one	enginn
still	ennþá
móðurmál	enska
difficult	erfiður
foreign	erlendur
father	faðir
beautiful	fagur
depart	fara af stað
get up	fara á fætur
luggage	farangur
youth hostel	farfuglaheimili
fare	fargjald
ticket	farmiði
firm	fastur
date	fastmæli
ticket	farseðill
receive	fá
go	fá sér göngutúr
poor	fátækur
inquire	fá upplýsingar
timetable	ferðaáætlun
travel	ferðast
trip	ferð
ferry	ferja
suitcase	ferðataska
fresh	ferskur
film	filma
find	finna
finger	fingur
fish	fiskur
mountaineering	fjallganga
mountains	fjallgarður
distant	fjarlægur
family	fjölskylda
bottle	flaska
swift	fljótur
fly	fljúga
airfield	flugvöllur
airplane	flugvél
hurry	flýta
parents	foreldrar
pronoun	fornafn
curious	forvitnilegur
people	fólk
by foot	fótgangandi
foot	fótur
France	Frakki
pronunciation	framburður
French	franska
from	frá
excellent	frábær
news	frétt
peace	friður
vacation	frí
free	frjáls
freeze	frjósa
famous	frægur
bird	fugl
full	fullur
accompany	fylgja
therefore	fyrir
a.m.	fyrir hádegi
paternal	föðurbróðir
paternal aunt	föðursystir
coin	mynt
garden	garður
old	gamall
old-fashioned	gamaldags
gas	gashylki
intersection	gatnamót
give	gefa
inform	gefa til kynna
do	gera
repair	gera við
hospitality	gestrisni
guest	gestur
host	gestgjafi
valid	gildandi
fishing line	girni
cashier	gjaldkeri
gladly	gjarnan
gift	gjöf
happy	glaður
glasses	gleraugu
glass	gler
happy	gleðjast
window	gluggi
glow	glóa
forget	gleyma
crime	glæpur
good	góður
gram	gramm
weep	gráta
vegetables	grænmeti
stallion	graðhestur
digging	gröftur
god	guð
quality	gæði
interested	hafa áhunga á
ocean	haf
control	hafa eftirlit með
hold	halda
celebrate	halda hátiðlegt
slippery	háll
Latvia	Lettland
stringent	harður
autumn	haust
forenoon	hádegi
hand net	háfur
celebration	hátíð
loud	hávær
tradition	hefð
health	heilbrigði
health	heilsa
healthy	heill
healthy	heilbrigður
greet	heilsast
invitation	heimboð
return	heimferð
address	heimilisfang
stupid	heimskur
visit	heimsókn
visit	heimsækja
hot	heitur
room	herbergi
half	helmingur
rather than	heldur en
lord	herra
horse	hestaleiga
hear	heyra
here	hér
here	hérna
day	hinn daginn
other	hinn
heat	hiti
meet	hitta
meet	hittast
by	hjá
helmet	hjálmur
detour	hjáleið
help	hjálp
help	hjálpa
married couple	hjón
break	hlé
vinyl	hljómplata
warm	hlýr
lot	hlutur
laugh	hlæja að
saddle	hnakkur
nut	hnot
hoof	hófur
hotel	hótel
raw	hrár
group	hópur
hygiene	hreinlæti
clean	hreinsa
call out	hrópa
mare	hryssa
gruesome	óhuggulegur
think	hugsa
door	hurð
house	hús
master	húsbóndi
housewife	húsfrú
whale	hvalur
accommodation	húsnæði
sharp	hvass
nowhere	hvergi
bed	hvíla
each other	hvorn annan
if	hvort
harbor	höfn
right	hægra megin
easy	hægur
dangerous	hættulegur
industry	iðnaður
burglary	innbrot
entrance	inngangur
flat	íbúð
resident	íbúi
yesterday	í gær
today	í dag
skipti	í hvert skipti
next	í næsta skipti
stirrup	ístað
earthquake	jarðskjálfti
geothermal energy	jarðhiti
glacier	jökull
earth	jörð
food	kaffibrauð
cold	kaldur
jug	kanna
man	karlmaður
maybe	kannski
trade	kaup
teach	kenna
teacher	kennari
church	kirkja
meat	kjöt
compartment	klefi
hour	klukkustund
clever	klár
clothing	klæðnaður
bring	koma með
woman	kona
map	kort
cost	kosta
be able	kunna að
hook	krókur
spice	krydd
polite	kurteis
complain	kvarta
glowworm	ljósbjalla
bid	kveðjast
lighter	kveikjari
evening	kvöld
dinner	kvöldmatur
introduce	kynna
introduce	kynnast
introduce	kynna sig
kiss	kyssa
refrigerator	kæliskápur
cordial	kærlegur
lamp	lampi
agriculture	landbúnaður
border	landamæri
landscape	landslag
far	langt
long	langur
lazy	latur
low	lágur
lend	lána
lock	lás
notify	láta vita
lay	leggja
keep	leggja á minnið
park	leggja bílnum
propose	leggja til
disease	mein
Guðmundur	Gummi
good day	góðan daginn
kvöld	gott kvöld
nótt	góða nótt
hi	hæ
hello	sæll og blessaður
hello	sæl og blessuð
hello	sælir og blessaðir
hello	sælar og blessaðar
I	ég heiti
hvað	hvað segir þú
thank you	takk fyrir
svona	svona, svona
hvað	hvað er að
núna	verða að fara núna
thanks	takk fyrir í dag
thanks	takk fyrir í kvöld
the same to you	takk, sömuleiðis
thanks	takk fyrir í gær
thanks	takk fyrir síðast
hvað	hvað heitir þú
hvaðan	hvaðan ert þú
ég	ég er frá...
rent	leigja
boring	leiðinlegur
guidance	leiðsögn
tour guide	leiðsögumaður
taxi	leigubíll
play	leika sér
read	lesa
search	leit að
allow	leyfa
leave	leyfi
light	léttur
live	lifa
lie	liggja
short	lítill
colorful	litríkur
pass	líða
life	líf
organ	líffæri
little	lítið
delicious	ljúffengur
camera	ljósmyndavél
lie	ljúga
finish	ljúka
knit	lopapeysa
drug	lyf
lift	lyfta
key	lykill
learn	læra
medical practitioner	læknir
law	lög
police	lögregla
human being	maður
maggot	maðkur
power	magn
market	markaður
food	matur
menu	matseðill
food	matvara
with	með
month	mánuður
treat	meðhöndla
hurt	meiddur
more	meira
sick	mér er flökurt
note	miði
middle	miðja
much	mikið
important	mikilvægur
souvenir	minnisgripur
memorial	minnismerki
morning	morgunn
minute	mínúta
milk	mjólk
offend	móðga
maternal aunt	móðursystir
maternal	móðurbróðir
mother	móðir
image	mynd
pattern	munstur
remember	muna eftir
possible	mögulegur
name	nafn
naked	nakinn
necessary	nauðsynlegur
pull through	ná sér
exact	nákvæmur
needle	nál
near	nálægur
natural	náttúrulegur
nature	náttúra
downstairs	niðri
diarrhea	niðurgangur
north	norður
few	nokkrir
fairly	nokkuð
Nordic	norrænn
use	nota
night	nótt
enough	nóg
number	númer
now	núna
new	nýr
too much	of mikið
and	og
oil	olía
power station	orkuver
word	orð
dictionary	orðabók
free	ókeypis
cheap	ódýr
unmarried	ógiftur
pregnant	ófrísk
wish	óska
óska	óska til hamingju
fear	ótti
unknown	óþekktur
reserve	panta
paper	pappír
fit	passa
person	persóna
plant	planta
post	póstur
order	pöntun
battery	rafgeymir
cooker	prímus
advice	ráð
punish	refsa
umbrella	regnhlíf
bicycle	reiðhjól
cash money	reiðufé
calculate	reikna
mathematics	reikningur
try	reyna
rights	réttindi
riding	reiðtúr
rain	rigning
argue	rífast
citizen	ríkisborgari
rich	ríkur
quiet	rólegur
trash	rusl
room	rúm
bedsheets	rúmföt
blanket	rúmteppi
bus	rúta
consulate	ræðismannsbústaður
voice	rödd
museum	safn
satiated	saddur
restroom	salerni
gather	safna
together	saman
community	samfélag
agreed	sammála
sand storm	sandfok
soap	sápa
say	segja
late	seinn
tell	segja frá
first-aid box	sáraumbúðakassi
second	sekúnda
guilty	sekur
send	senda
embassy	sendiráð
put	setja
niður	setjast
silver	silfur
sit	sitja
since	síðan
cigarette	sígaretta
phone booth	símaklefi
telephone	sími
seldom	sjaldan
see	sjá
coinsurance	sjálfsábyrgð
self	sjálfur
see	sjást
television set	sjónvarpstæki
sea	sjór
deep-sea fishing	sjóstangaveiði
illness	sjúkdómur
ambulance	sjúkrabíll
patient	sjúklingur
hospital	sjúkrahús
horseshoe	skeifa
skemmta	skemmta sér
funny	skemmtilegur
give back	skila
separate	skilja
documents	skilríki
divide	skipta
plan	skipulagning
organise	skipuleggja
shoot	skjóta
dirty	skítugur
view	skoða
insect	skordýr
school	skóli
ornament	skraut
write	skrifa
shoe	skór
sign	skrifa undir
office	skrifstofa
scissors	skæri
accident	slys
taste	smakka
cut	snið
early	snemma
sun	sól
son	sonur
spare	spara
squirt	sprauta
spoon	spúnn
question	spurning
ask	spyrja
location	staður
stand	standa
computer	tölva
work	starf
stone	steinn
strong	sterkur
stairs	stigi
path	stígur
politics	stjórnmál
chair	stóll
big	stór
boy	strákur
immediately	strax
bus	strætó
coast	strönd
sometimes	stundum
punctual	stundvís
short	stuttur
girl	stúlka
size	stærð
stop	stöðva
jump	stökk
summer	sumar
swimsuit	sundbolur
south	suður
swimming trunks	sundskýla
sour	súr
cool	svalur
answer	svar
answer	svara
bedroom	svefnherbergi
Switzerland	Sviss
Swiss	Svisslendingur
sweat	svitna
riding crop	svipa
such	svoleiðis
a little	svolítið
thus	svona
area	svæði
swim	synda
sing	syngja
sister	systir
sibling	systkin
give	sýna
show	sýning
song	sönglag
proof	sönnun
tablet	tafla
sweet	sætur
receive	taka á móti
photograph	taka ljósmynd af
toothpaste	tannkrem
dentist	tannlæknir
bag	taska
rein	taumur
connector	tengill
cheque	tékki
to	til
back	til baka
feeling	tilfinning
announce	tilkynna
notification	tilkynning
in order to	til þess að
wood	timbur
time	tími
fashion	tíska
tent	tjaldbúð
campsite	tjaldstæði
toll	tollur
tobacco	tóbak
empty	tómur
concert	tónleikar
music	tónlist
disturb	trufla
guarantee	trygging
believe	trúa
soldering	bras
step	fet
interpreter	túlkur
lose	týna
language	tungumál
traffic light	umferðaljós
bus	umferðamiðstöð
environment	umhverfi
about	um það bil
under	undir
prepare	undirbúa
young	ungur
amount	upphæð
information	upplýsingamiðstöð
enlightenment	upplýsing
exit	útgangur
lido	útisundlaug
foreigner	útlendingur
explain	útskýra
radio	útvarpstæki
wake up	vakna
problem	vandamál
spare tire	varahjól
spare part	varahlutur
caution	varúð
weather forecast	veðurspá
passport	vegabréf
wall	veggur
because of	vegna
hunt	veiða
pole	veiðistöng
weak	veikur
restaurant	veitingahús
wake	vekja
used to	venjast
valve	ventill
hike	vera á gönguferð
fall in love	vera ástfanginn
left over	vera eftir
have	vera með
have	vera með kvef
value	verð
become	verða
factory	verksmiðja
repair shop	verkstæði
pain	verkur
trade	verslun
west	vestur
you	þú
he	hann
you	þið
he	þeir
they	þær
they	þau
this	þessi
that	hin
that	hitt
there	þar
where	hvar
when	hvenær
two	tveir
three	þrír
four	fjórir
five	fimm
zero	núll
eight	átta
nine	níu
ten	tíu
eleven	ellefu
twelve	tólf
thirteen	þrettán
fourteen	fjórtán
fifteen	fimmtán
sixteen	sextán
seventeen	sautján
eighteen	átján
nineteen	nítján
twenty	tuttugu
tuttugu	tuttugu og einn
twenty-two	tuttugu og tveir
thirty	þrjátíu
forty	fjörutíu
fifty	fimmtíu
sixty	sextíu
seventy	sjötíu
eighty	áttatíu
ninety	níutíu
one hundred and one	hundrað og einn
hundred	hundrað
one hundred	hundrað og tveir
one hundred	hundrað og tuttugu
one hundred	hundrað tuttugu og einn
one hundred	hundrað tuttugu og tveir
two hundred	tvö hundruð
three hundred	þrjú hundruð
thousand	þúsund
þúsund	tvö þúsund
þykkari	þykkur
heavy	þungur
narrow	krappur
thin	þunnur
louse	lús
snake	slanga
snake	snákur
forest	skógur
letter	stafur
seed	fræ
bark	börkur
skin	hörund
rope	reipi
blood	blóð
bone	bein
tail	hali
feather	fjöður
head	höfuð
eye	auga
mouth	munnur
tooth	tönn
nail	nögl
leg	leggur
knee	kné
hand	hönd
trunk	búkur
courage	kjarkur
neck	háls
wing	vængur
breast	brjóst
heart	hjarta
liver	lifur
suck	sjúga
spit	skyrpa
vomit	spýja
blow	blása
laugh	hlæja
smell	lykta
fear	hræðsla
cut	skera
split	klofna
stab	stinga
scratch	klóra
walk	ganga
turn	snúa
fall	falla
squeeze	þrýsta
rub	núa
wash	þvo
push	ýta
tie	binda
count	telja
float	fljóta
play	leika
stream	streyma
swell	þrútna
rain	rigna
moon	tungl
star	stjarna
sand	sandur
dust	ryk
cloud	ský
fog	þoka
sky	himinn
wind	vindur
snow	snjór
smoke	reykur
mountain	fjall
red	rauður
green	grænn
yellow	gulur
white	hvítur
black	svartur
bad	vondur
rotten	fúinn
straight	beinn
round	kringlóttur
slippery	sleipur
dry	þurr
correct	leiðrétta
left	vinstra megin
because	því
which	hvaða
from	hvaðan
how	hvernig
hve	hve mikið
af	af hverju
then	svo
first	fyrst
left	til vinstri
to the right	til hægri
opposite	andspænis
near	nálægt
mitten	vettlingur
winter road	vetrarvegur
winter	vetur
machine	vél
next to	við hliðina á
intermediate	viðkomustaður
conversation	viðtal
week	vika
get lost	villast
friendship	vinátta
friendly	vingjarnlegur
friend	vinkona
earn	vinna sérinn
friend	vinur
stupid	vitlaus
lukewarm	volgur
wet	votur
field	völlur
above	yfir
boss	yfirmaður
thank	þakka
roof	þak
there	þangað
þangað	þangað til
after	þar á eftir
over there	þarna
then	þá
already	þegar
thus	þess vegna
know	þekkja
people	þjóð
nationality	þjóðerni
theft	þjófnaður
German	Þjóðverji
thunderstorm	þrumuveður
narrow	þröngur
tired	þreyttur
ripe	þroskaður
require	þurfa
through	þvert í gegnum
thirsty	þyrstur
weight	þyngd
translator	þýðandi
Germany	Þýskaland
German	þýskur
practise	æfa
intoxicated	ölvaður
intend	ætla
vehicle	ökutæki
hook	öngull
trustworthy	öruggur
safety belt	öryggisbelti
son	bur
wolf	úlfur
twenty-three	tuttugu og þrír
twenty-four	tuttugu og fjórir
twenty-five	tuttugu og fimm
twenty-six	tuttugu og sex
twenty-seven	tuttugu og sjö
twenty-eight	tuttugu og átta
twenty-nine	tuttugu og níu
thirty-one	þrjátíu og einn
thirty-two	þrjátíu og tveir
thirty-three	þrjátíu og þrír
thirty-five	þrjátíu og fimm
thirty-six	þrjátíu og sex
thirty-seven	þrjátíu og sjö
thirty-eight	þrjátíu og átta
thirty-nine	þrjátíu og níu
fjörutíu	fjörutíu og einn
forty-two	fjörutíu og tveir
forty-three	fjörutíu og þrír
forty-four	fjörutíu og fjórir
forty-five	fjörutíu og fimm
forty-seven	fjörutíu og sjö
forty-six	fjörutíu og sex
forty-eight	fjörutíu og átta
forty-nine	fjörutíu og níu
fifty-one	fimmtíu og einn
fifty-two	fimmtíu og tveir
fifty-three	fimmtíu og þrír
fifty-four	fimmtíu og fjórir
fifty-six	fimmtíu og sex
fifty-seven	fimmtíu og sjö
fifty-eight	fimmtíu og átta
fifty-nine	fimmtíu og níu
fifty-five	fimmtíu og fimm
sixty-one	sextíu og einn
sixty-two	sextíu og tveir
sixty-three	sextíu og þrír
sixty-four	sextíu og fjórir
sixty-five	sextíu og fimm
sixty-six	sextíu og sex
sixty-seven	sextíu og sjö
sextíu	sextíu og átta
sixty-nine	sextíu og níu
seventy-one	sjötíu og einn
seventy-two	sjötíu og tveir
seventy-four	sjötíu og fjórir
seventy-three	sjötíu og þrír
seventy-five	sjötíu og fimm
seventy-six	sjötíu og sex
seventy-seven	sjötíu og sjö
seventy-eight	sjötíu og átta
seventy-nine	sjötíu og níu
eighty-one	áttatíu og einn
eighty-four	áttatíu og fjórir
eighty-nine	áttatíu og níu
eighty-two	áttatíu og tveir
eighty-three	áttatíu og þrír
eighty-five	áttatíu og fimm
eighty-six	áttatíu og sex
eighty-seven	áttatíu og sjö
eighty-eight	áttatíu og átta
ninety-one	níutíu og einn
ninety-two	níutíu og tveir
ninety-three	níutíu og þrír
ninety-five	níutíu og fimm
ninety-four	níutíu og fjórir
ninety-six	níutíu og sex
ninety-eight	níutíu og átta
ninety-seven	níutíu og sjö
ninety-nine	níutíu og níu
one hundred	hundrað og þrír
one hundred	hundrað og fjórir
one hundred	hundrað og fimm
one hundred	hundrað og sex
one hundred	hundrað og sjö
one hundred	hundrað og átta
one hundred	hundrað og níu
one hundred	hundrað og tíu
one hundred	hundrað og tólf
one hundred	hundrað og ellefu
one hundred	hundrað og þrettán
one hundred	hundrað og fjórtán
one hundred	hundrað og fimmtán
one hundred	hundrað og sextán
one hundred	hundrað og sautján
one hundred	hundrað og átján
one hundred	hundrað og nítján
excuse me	fyrirgefðu
is there	er hér
ég	má ég
átt	átt þú
ég	ég er að leita að
need	mig vantar
hand	fáðu mér
hvar	hvar fæ ég
hvað	hvað kostar...
hvar	hvar er
hvernig	hvernig kemst ég til...
viltu	viltu keyra mig á...
understand	ég skil þig ekki
viltu	viltu tala svolítið hægar
you	talar þú
ég	ég tala bara pínulítið...
talar þú	talar þú sænsku
talar	talar þú dönsku
hvað	hvað er þetta á íslensku
hvað	hvað er þetta á ensku
hvað	hvað er þetta á
I don't know	ég veit það ekki
að	verði þér að góðu
viltu	viltu gjöra svo vel að hjálpa mér
var	það var ekkert
ten	tía
use	nyt
dive	kafa
apostle	postuli
chain	festi
servant	þegn
necessity	nauðsyn
valid	gildur
dead	dauður
pointing	bending
emperor	keisari
off	af
can	dós
power	efli
okay	í lagi
nut	hneta
lava	hraun
headland	nes
finer	fínna
luck	happ
pearl	perla
heldur	gjarna
good	gott
trial	raun
square	þaka
að	að minnsta kosti
main	aðaláhugamál
just	aðeins
because	af því að
salesgirl	afgreiðslustúlka
birthday	afmæli
til hamingju	til hamingju með afmælið
hvenær	hvenær áttu afmæli
completely	aldeilis
það	það er aldeilis
in that age	á aldrinum
fine	allt ágætt
all right	allt í lagi
I'm fine	allt gott
far too	alltof
all	allur
serious	alvarlegur
entirely	alveg
very	alveg rosalega
something else	eitthvað annað
by the way	annars
orange	appelsína
April	apríl
look	athuga
professional	atvinnumaður
of course	auðvitað
advertise	auglýsa
advertise	auglýsa eftir
advertisement	auglýsing
advertising	auglýsingadeild
blink of an eye	augnablik
for sure	ábyggilega
for sure	alveg ábyggilega
August	ágúst
fine	ágætur
amateur	áhugaleikari
interest	áhugi
interested	hafa áhuga á
prince	prins
mood	skap
gene	gen
plant	jurt
special	spes
whimbrel	spói
bay	flói
plover	lóa
determined	ákveðinn
Happy New Year	gleðilegt ár
ár	gleðilegt nýtt ár
one year old	eins árs
without	ástæðulaus
not without reason	ekki að ástæðulausu
bath	bað
children	barnaherbergi
recover	batna
hope	láttu þér batna
both	báðir
boat trip	bátsferð
wait a minute	bíddu
wait for	bíða eftir
driver	bílstjóri
garage	bílskúr
cinema	bíó
bright	bjartur
journalist	blaðamaður
blessed	blessaður
goodbye	vertu blessaður
hi	komdu blessaður
India	Indland
Estonia	Eistland
China	Kína
Israel	Ísrael
Denmark	Danmörk
Italy	Ítalía
America	Ameríka
flag	flagg
you're welcome	ekkert að þakka
excuse me	afsakið
welcome	velkomin
have	góða ferð
hi	sæll
hi	sæl
good morning	góðan dag
please	vinsamlega
gefa	viltu gefa mér
sofa	sófi
pen	penni
cheese	ostur
clock	klukka
pussy	kisa
girl	stelpa
coffee	kaffi
chat	masa
shrine	hof
Monday	mánudagur
Tuesday	týsdagur
rule	regla
cow	kýr
eagle	örn
eagle	ari
fur coat	pels
chatter	mas
musician	tónlistarmaður
yarn	garn
soothe	sefa
world	heimur
more	meir
old	forn
voice	rómur
buck	hafur
arm	handleggur
large	mikill
small	smár
time	tíð
want	vilja
moment	svipan
lightning	elding
make	smíða
mind	hugur
same	samur
boy	drengur
choice	kostur
very	mjög
love	ást
mattress	dýna
bed	rekkja
desire	þrá
side	síða
give	veita
last	síðast
sure	örrugur
family	ætt
fact	staðreynd
pleasure	ánægja
flatter	skjalla
follow	hlíta
idea	hugmynd
trade fair	kaupstefna
regarded	þykja
attorney	lögmaður
doctor	doktor
breakfast	morgunverður
tree	viður
shoulder	bógur
fir	þinur
way	vegur
playing	leikur
age	öld
silence	þögn
bitch	tík
chocolate	súkkulaði
pig	svín
face	andlit
horse	hross
eyebrow	augabrún
reason	ástæða
method	aðferð
thought	hugsun
shoulder	öxl
chest	kista
war	ófriður
box	stokkur
king	konungur
holiday	helgidagur
frog	froskur
hip	mjöðm
image	ímynd
deck	þilfar
boy	sveinbarn
vinegar	edik
lady	dama
bath	laug
service	þjónusta
rift	rauf
wave	bylgja
afternoon	eftirmiðdagur
dinner	kvöldverður
hat	hattur
pelt	feldur
scene	vettvangur
birth	burður
wave	unnur
train	járnbrautarlest
happiness	gleði
goose	gæs
shop	búð
vision	sjón
lip	vör
comb	greiða
fire	bál
sound	hljóð
iron	járn
carpet	teppi
butterfly	fiðrildi
rabbit	kanína
smell	lykt
lemon	sítróna
success	velgengi
tide	fjara
man	gumi
moment	andartak
body	líkami
time	ævi
shirt	skyrta
garage	bensínsala
evil	illska
lie	lygi
sense	skyn
back	bak
death	andlát
opportunity	tækifæri
beef	nautakjöt
cheek	kinn
oak	eik
basket	karfa
help	ásjá
shopkeeper	kaupmaður
soldier	hermaður
storm	stormur
calf	kálfur
lunch	hádegisverður
cousin	systrungur
motion	hreyfing
prayer	bæn
effort	áreynsla
potato	kartafla
trade	iðn
adder	naðra
calm	vær
message	boð
curtain	gluggatjald
river	fljót
temperament	lund
sickness	ógleði
pail	bytta
hill	hæð
heap	hrúga
dawn	dögun
behaviour	læti
provisions	vistir
truth	sannindi
life	lífdagar
magic	töfrar
will	vilji
neighbour	nábúi
boy	sveinn
noise	hávaði
shadow	skuggi
business	viðskipti
measles	mislingar
difficulty	vandræði
peace	grið
change	umskipti
hell	hel
foresight	forsjá
respect	virðing
treasure	gersemi
clothes	föt
possibility	líkindi
esteem	metorð
bandage	umbúðir
news	tíðindi
connection	tengsl
betrayal	svik
