new	nu
stingray	par
camera	kamera
soup	sup
face	pes
sitting	mat
desk	des
minute	minit
more	moa
love	lav
worry	wari
half	hap
chief	hetman
pouch	pas
red	ret
cleaner	sop
laughter	lap
trial	yumitripela
chair	sia
have	gat
adulterous	pamuk
star	sta
crab	kuka
tree	mon
light	lait
key	ki
order	oda
aborigine	kanaka
die	dai
ship	sip
room	rum
study	stadi
pineapple	ananas
bridge	bris
cook	kuk
altar	alta
aunt	anti
meaning	mining
bus	bas
green	grin
foot	fut
gold	gol
milk	milis
bubble gum	abababa
avoid	abrusim
alongside	abrus
fly	lang
address	adres
address	adresim
leg	lek
glass	glas
leader	lida
pawpaw	popo
animal	abus
garnish	abusim
Africa	Afrika
tooth	tis
car	ka
fire	paia
cunt	kan
same	sem
Africa	Aprika
money	mani
hide	hait
center	senta
bald	kela
gather	bung
cow	kau
solder	soda
border	boda
office	opis
daily	olde
Monday	Mande
Tuesday	Tunde
Wednesday	Trinde
Thursday	Fonde
Friday	Fraide
Saturday	Sarere
holiday	sande
yesterday	asde
eh	a
Lord	Bikpela
Abrahamic	God
June	Jun
March	Mars
Sunday	Sande
marriage	marit
seashell	kina
mouth	maus
fuse	pius
team	tim
side	sait
size	sais
gasoline	bensin
timber	diwai
firewood	paiawut
how much	amas
answer	ansa
moon	mun
house	haus
prayer	beten
flat	flet
gun	gan
western	westen
neck	nek
mosquito	moskito
corner	kona
outrigger	saman
brush	bras
amateur	amata
boy	manki
memory	memori
iron	ain
poster	posta
break	bruk
leave	liv
blame	asua
spear	spia
nurse	nes
stroll	raun
prophet	profet
again	gen
horse	hos
government	gavman
party	pati
commandment	mandato
meter	mita
must	mas
quick	kwik
word	wod
rubber	gumi
chest	bros
battery	betri
year	yia
cockroach	kokoros
toast	tos
ladder	lata
year	yar
machine	masin
province	provins
be	stap
motor	moto
here	hia
West	wes
fool	ful
cost	kos
sugar	suga
cheese	sis
funny	pani
think	ting
engine	ensin
another	nara
swamp	tais
oil	wel
cup	kap
car	kar
devil	tewel
voice	vois
thunder	tanda
kiss	kis
fingernail	kapa
check	sek
morgue	mog
pie	pai
donor	dona
health	helt
finger	pinga
razor	resa
apple	apel
book	buk
cord	kod
policy	polisi
pencil	pensil
canoe	kanu
kind	ula
milk	susu
true	tru
afraid	pret
sore	sua
kind	kain
down	daun
ward	wot
sister	sista
election	vot
scent	smel
saliva	spet
grandparent	bubu
sand	wesan
water	wara
hammer	hama
July	Julai
roof	rup
wharf	wap
mushroom	papai
milk	melek
nine	nain
blue	blu
nose	nus
walk	wokabaut
cow	bulmakau
ant	anis
hit	kilim
guy	baga
shark	sak
arrow	bunara
child	pikinini
wine	wain
body	bodi
shoulder	solda
island	ailan
today	tete
freezer	prisa
English	Inglis
sell	salim
brother	barata
button	baten
future tense	baimbai
soft	malumalu
wheel	wil
president	presiden
professor	profesa
talent	talen
south	saut
cigarette	rol
lukim	lukim yu bihain pukpuk
crocodile	pukpuk
see	lukim
lukim	lukim yu bihain
not	no
money	moni
navy	nevi
photograph	poto
ruler	rula
punishment	straf
read	ridim
guitar	gita
river	riva
alcohol	alkohol
sorry	sori
power	pawa
chicken	kakaruk
cassowary	muruk
cemetery	matmat
party	singsing
clerk	kuskus
warship	manua
haus	haus sik
bank	beng
honey	hani
anchor	anka
liver	liva
high	antap
return	bekim
sago	saksak
section	seksen
sector	sekta
fruit	prut
Christian	Kristen
ministry	ministri
now	nau
puppy	papi
seminar	semina
lemon	moli
turkey	teki
aspirin	asprin
sauce	sos
old	lapun
lawyer	loman
type	mami
alarm	alam
force	duim
ink	ing
it doesn't matter	maski
weight	hevi
hour	aua
China	Saina
sound	saun
tobacco	brus
cockatoo	koki
dead	daiman
fake	giaman
cat	pusi
black	blak
albino	posai
angry	kros
rugby	ragbi
ticket	tiket
town	taun
pineapple	painap
towel	taul
chile	lombo
place	ples
country	kantri
operator	opereta
promise	promis
call	singaut
church	lotu
noon	belo
case	kes
bottle	botol
tobacco	tabak
parable	parabel
axe	akis
fond	skrap
all	olkain
hello	gude
wish	laik
fruit	frut
play	pilai
chops	sops
bitter	pait
pliers	plais
factory	faktori
please	plis
just	tasol
em	em tasol
drink	dringim
fight	paitim
sea	solwara
jacket	saket
sticker	stika
transitive	-im
string	rop
mister	masta
thus	olsem
olsem	olsem na
Europe	Yurop
tall	gorgor
oven	aven
trash	pipia
wasp	ninik
autonomy	otonomi
sit	sindaun
pinat	kasang
kasang	pinat
pinat	klap
perfume	sanda
low tide	drairip
witch	puripurimeri
witchcraft	puripuri
environment	envaironmen
paklain	baklain
shorten	sotim
cabinet	sarang
worthless	pekpekman
solwara	kolwara
trausel	torosel
mosquito	natnat
vegetable	kumu
culture	kalsa
ninety	nainti
melon	melen
wolf	weldok
May	Mei
fever	piva
sausage	sosis
coffee	kofi
fog	sno
ornament	bilas
cancer	kensa
watercress	kango
pillow	pilo
papaya	papaia
gear	gia
school	skul
sweet	swit
rice	rais
stingray	epa
if	sapos
then	orait
colony	koloni
broom	brum
garden	gaden
barrel	barel
flag	plag
skirt	sket
lowland	arang
cry	krai
candy	loli
soccer	soka
chin	asket
world	wol
hole	hul
dozen	dasan
today	tude
clothing	laplap
technology	teknoloji
guest	ges
yellow	yelo
conch	taur
confused	paul
supporter	sapota
plastic	plastik
prison	kalabus
picnic	piknik
heaven	skai
trash	rabis
courthouse	haus kot
axe	tamiok
blind	ai i pas
iodine	yot
iron	ainim
onion	anian
eyeglasses	aiglas
archangel	akanggelo
umbrella	ambrela
under	ananit
other	arapela
the other side	arasait
edge	arere
corn	karapai
who	husat
sentinel	wos
knife	naip
chisel	maisel
crowbar	koroba
tar	kolta
left	kais
stocking	soken
testicle	kiau
kidney	kidni
trachea	paip
urine	pispis
fart	puinga
right hand	raithan
many	planti
elbow	skru
sore	soa
vomit	traut
lung	wetliva
ear	yau
deaf	yau pas
mechanic	ansini
recruiter	baimboi
judge	bikyads
bishop	bisop
doctor	dokta
British	inglis
carpenter	kamnda
customs	kastans
captain	kepten
altar boy	kundar
savage	manambus
personal	makimasta
lawyer	masta kot
mission	misin
Catholic	popi
friend	pren
poor	rabisman
clothing	klos
sergeant	saitan
twins	sangsangana
Japanese	siapan
soldier	soldia
schoolchild	sumatin
teacher	tisa
gull	kanai
crow	kotkot
heron	longpela nek
plank	plangk
radio	redio
pliers	plaias
gunpowder	pauda
cry	karai
frog	dokorok
betel	daka
later	bihain
window	windo
paradise	paradais
battery	bateri
sunglasses	sanglas
drink	dring
grey	gre
welcome	welkam
forty	foti
spanner	spana
whip	wip
stingray	stingre
cost	kostim
arrest	arest
region	rijen
pocket	poket
lagoon	lagun
friend	wantok
baby	bebi
poison	gip
parents	papamama
strong	pomet
gras	gras bilong het
arise	kamap
areca	buai
flirt	aigris
lizard	palai
building	bilding
assembly	asembli
plaster	plasta
marble	mabol
receipt	risit
holy	holi
scone	skon
how much	hamas
perfect	pinis
front	fran
varnish	vanis
village	viles
computer	kompyuta
fence	banis
tuna	atun
volume	volim
bad	nogut
plough	plau
offering	ofa
news	nius
theater	tieta
tourist	turis
feces	pekpek
stone	plangis
blouse	blaus
snake	snek
time	taim
noise	nois
fourteen	fotin
stone	ston
floor	plua
mechanic	mekanik
wallaby	magani
October	Oktoba
bay	pasis
yeast	yis
thief	raskol
fork	pok
store	stua
television	tivi
New Ireland	malagan
turn	tanim
multicolored	kalakala
once	wande
coffee	strena
sneaky	kusai
carry	karim
immigrant	waira
buy	baim
hoe	baira
biscuit	bisket
resource	risos
kerosene	kerasin
pinchers	pinsas
broad	brait
guava	yambo
shave	sev
tower	taua
Port Moresby	Mosbi
sheep	sipsip
thank you	tenkyu
you're welcome	nogat samting
excuse me	skius
goodbye	gutbai
morning	moning
hear	harim
conversation	toktok
stop	holim
need	nidim
emergency	imegensi
lose	lusim
bag	bilum
wallet	hanpaus
feel	pilim
use	yusim
clock	kilok
four	foa
five	faiv
six	sikis
twelve	twelv
thirteen	tetin
fifteen	fiftin
sixteen	sikistin
seventeen	seventin
eighteen	etin
nineteen	naintin
twenty	twenti
thirty	teti
fifty	fifti
sixty	sikisti
seventy	seventi
eighty	eti
hundred	handet
thousand	tausen
million	milien
number	namba
before	bipo
afternoon	apinun
midnight	biknait
tomorrow	tumora
January	Jenueri
February	Februeri
April	Epril
August	Ogas
September	Septemba
November	Novemba
December	Disemba
purple	hap ret
what	wanem
wait	wetim
restaurant	haus kaikai
food	kaikai
airport	ples balus
show	soim
left	lephan
straight	stret
look out	lukaut
bathroom	smolhaus
ground	graun
tell	tokim
clean	klinim
wake	kirapim
England	Inglan
credit card	kredit kad
change	senisim
table	tebol
menu	menyu
kitchen	kitsen
look	lukluk
inside	insait
orange	switmoli
bread	bret
noodle	nudal
plate	pelet
too much	tumas
cheat	giamanim
clear	rausim
medicine	marasin
newspaper	niuspepa
dictionary	dikseneri
forbidden	tambu
finish	pinisim
eyebrow	gras bilong ai
elbow	skru bilong han
knee	skru bilong lek
kneel	brukim skru
broken down	bagarap
angry	belhat
pregnant	gat bel
happy	amamas
female	haus meri
bank	haus moni
veterinary	haus dok sik
place	haus karai
toilet	liklik haus
ancestor worship	haus tambaran
demon	tambaran
catch	hukim
get	kisim
church	haus lotu
churchman	man bilong lotu
church	sios
moustache	maus gras
close	pasim
shut up	pasim maus
frog	rokrok
sister	susa
enemy	birua
clown	paniman
leader	bigman
dress	klos meri
con man	bulsitman
fashion	pasin
hatred	pasin birua
ancestor	tumbuna
break	brukim
Bible	Baibel
calm	belisi
regretful	belhevi
sailor	boskru
wink	brukim ai
make	brukim han
crayfish	kindam
pipe	mambu
tributary	hanwara
high tide	haiwara
lemonade	moliwara
soft drink	loliwara
lake	raunwara
blood vessel	mambu bilong blut
trachea	mambu bilong nek
lift	liptimapim
barbed	kakang
family	famili
bus kanaka	kastom
acacia	akas
enough	inap
Papua New Guinea	kiap
make	mekim
plant	planim
potato	kaukau
local	tokples
ordinary	nating
different	narakain
darkness	tudak
cover	karamapim
bright	tulait
name	kolim
banish	banisim
down	daunbilo
dry	drai
raise	kamapim
all	kain kain
give	givim
put	putim
oversee	bosim
hungry	hangre
filled	pulap
life	laip
fly	flai
filled	nabaut
big	traipela
fill	pulapim
seed	pikinini bilong kaikai
green	grinpela
rest	malolo
holy	tambuim
thank you very much	tenkyu tru
Eden	Iden
sunrise	sankamap
nice	naispela
middle	namel
another	narapela
wind	raunim
carnelian	kanilian
Cush	Kus
Tigris	Taigris
Assyria	Asiria
Euphrates	Yufretis
east	hap sankamap
look after	lukautim
single	wanpis
acquaintance	poroman
single	helpim
bring	bringim
carnelian	askim
evidently	ating
you	yutupela
respond	bekim tok
us	mitupela
stand up	sanap
equal	wankain
think	tingting
realize	luksave
sew	samapim
box	katen
because	long wanem
naked	as nating
why	watpo
strong	strongpela
lower	daunim
crush	krungutim
bite	kaikaim
mushroom	talinga
beginning	bipo tru
leper	lepa
work	hatwok
forever	oltaim
allow	larim
near	klostu
angel	ensel
sword	bainat
namba	namba wan
bee	binin
laity	leiti
heaven	heven
cloud	klaut
klaut	klaut pairap
cargo	kago
weekend	wiken
has	igat
knows	isave
eats	ikaikai
is	istap
began	istat
walks	iwokebaut
market	maket
tinea	grile
love	lavim
service	sevis
campaign	kempen
boxer	boksa
yellow	yelopela
helicopter	helikopta
truck	trak
Mosbi	Pot Mosbi
archbishop	asbisop
Catholic	Katolik
Briten	Niu Briten
arrest	arestim
officer	opisa
lesson	leson
governor	gavana
project	projek
contract	kontrak
ginger	kawawar
coral tree	palpal
wool	wul
illegal	hombru
calendar	kalenda
pioneer	paionia
budget	baset
walk	limlimbur
breadfruit	kapiak
lime	kambang
Briten	Nu Briten
story	stori
people	pipel
mayor	meya
tok	tok Lituwenia
Lithuania	Lituwenia
nation	nesen
saddle	sadel
ceremony	seremoni
candle	kandel
bird of paradise	kumul
clinic	klinik
bent	krum
make fun of	rabisim
sergeant	saiden
tyre	taia
anthem	antem
kilometer	kilomita
shackle	sagol
compassion	marimari
bedbug	musmus
tear	aiwara
New Ireland	Nu Ailan
ketchup	retsos
plate	plet
youth	yut
octopus	kurita
bee	binen
iodine	aidin
holiday	holide
trial	mitripela
trial	yutripela
write	raitim
company	kampani
generator	jenereta
territory	teritori
snail	demdem
disciple	disaipel
donkey	donki
design	disain
education	edukesen
fever	fiva
France	Frens
girlfriend	gelpren
grasshopper	grasopa
flatterer	grisman
bribe	gris mani
reputation	gutnem
high school	haiskul
wristwatch	hanwas
handkerchief	hankisip
peninsula	hapailan
hoe	hapap
handwriting	hanrait
mixed	hapkas
hinge	hinsis
pillow	hetpilo
headquarter	hetkota
male	hausboi
female	hausmeri
infection	infeksen
immigration	imigresen
electrician	ilektrisen
implementation	implimentesen
information	infomesen
interview	intaviu
international	intenesenel
indigenous	indijines
election	ileksen
economy	ikonomi
economic	ikonomik
equal	ikwal
equipment	ikwipmen
deaf	iapas
evening	ivning
gentleness	isipasin
cabbage	kabis
general	jenerel
justice	jastis
cockroach	kakalak
bullet	katres
candidate	kendidet
large	karakum
catechist	katekis
council	kaunsil
carving	kaving
cabin	kebin
counselor	kaunsela
bribe	kikbek
murderer	kilman
hornbill	kokomo
mosquito net	klambu
communication	komunikesen
complaint	komplen
commission	komisin
commissioner	komisina
committee	komiti
committee	lain komiti
community	komyuniti
convention	konvensen
control	kontrolim
contribution	kontribusen
container	kontena
concern	konsen
congregation	kongrigesen
conference	konfrens
crooked	krungut
creative	krietiv
hand	kundu
chief	kukurai
liar	kusaiman
choir	kwaia
queen	kwin
ironwood	kwila
question	kwesten
eucalyptus	kumurere
cucumber	kukamba
crucifix	krusefiks
library	laibri
license	laisens
life	laipstori
livestock	laipstok
lightning	lait bilong klaut
flame	lait bilong paia
fishline	pislain
kitchen	haus kuk
leadership	lidasip
farewell	las toktok
torch	sutlam
gearbox	gia bokis
ordinary	grasrut
funnel	fanol
star fruit	faivkona
energy	eneji
empty	emti
driver	draiva
wanderer	dripman
winged bean	asbin
avocado	bata prut
butterfly	bataplai
bicycle	baisikel
older	bikbrata
leader	bikman
blackboard	blakbot
city	biktaun
tertiary	bikskul
agreement	agriman
administration	administresen
adviser	advaisa
advisory	advaiseri
administrator	administreta
agriculture	agrikalsa
anniversary	aniveseri
ambassador	ambaseda
underpants	andapens
announcer	anaunsa
allowance	alawens
alliance	alaiens
accept	akseptim
bank	akaun
raise	apim
celebrate	amamasim
whitebait	ainanga
idea	aidia
authority	atoriti
application	aplikesen
applicant	apliken
bra	banis bilong susu
mainland	bikples
main	bikrot
middle	biksan
ocean	biksi
cyclone	bikwin
blowfly	blulang
blessing	blesing
business	bisnis
busy	bisi
boyfriend	boipren
marijuana	spak brus
library	haus buk
bush	busnaip
drum	dramim
duty	duti
doorknob	handel bilong dua
low tide	draiwara
Christ	Krais
Commonwealth	Komonwel
comb	konim
commerce	komes
bush	kolwin
pavement	rot kolta
warm	kolsiot
colonial	koloniel
uniform	yunifom
university	yunivesiti
add	yisim
deaf	yaupas
workshop	woksap
laborer	wokman
wheelbarrow	wilbaro
boar	welpik
wear	werim
whetstone	wetston
war	woa
oil	welim
bicycle	wilwil
winch	winis
wire	waia
volunteer	voluntia
net	umben
vinegar	viniga
vocation	vokeisen
vote	votim
tourism	turisim
cover	tuptup
canned	tinmit
canned	tinpis
taste	testim
test	tesim
tape recorder	teprikoda
technician	teknisen
telephone	telipon
squid	tauka
interpreter	tanimtok
Spanish mackerel	tangir
northwest	taleo
typewriter	taipraita
timetable	taimtebol
switch	swis
wet nurse	susumama
storekeeper	stuakipa
wheelbarrow	supka
waste	westim
wanderer	welman
whip	wipim
raise	winisim
agriculture	wok didiman
woodworking	wok kamda
research	wok painimaut
stevedore	woksip
employees	woklain
female	wokmeri
workmate	wokpren
hard	wokhat
typist	taipis
type	taipim
typhoid	taifoid
stop	stapim
sterilizer	strerelaisa
stone	stonim
spleen	splin
special	spesol
spider	spaida
shotgun	sot gan
spoil	spoilim
speedboat	spitbot
sawmill	somil
chocolate	soklet
chopsticks	sopstik
society	sosaiti
spear	spiaim
mission	stesin
stove	stov
strain	strenim
multipronged	supsup
push	subim
white-collar	susokman
soap	sopim
smell	smelim
smart	smat
teach	skulim
school	skulfi
support	sapot
sago	pangal
Jesus	Jisas
circuit	seket
secretary	seketeri
sailboat	selbot
sentence	sentens
champion	sempion
chain	senim
settlement	setelmen
chequebook	sekbuk
surgery	sejeri
vegetable	sayor
shovel	savol
soursop	sauasap
sour	saua
supply	saplai
supplier	saplaia
supply	saplaim
support	sapotim
centipede	sandavel
sorcery	sanguma
signboard	sainbot
science	saiens
sacrifice	sakrifais
traditional	salamon
submission	sabmisen
respect	rispek
relations	rilesens
reform	rifom
report	ripot
reverend	reveren
religion	relisen
record	rekod
roundworm	raunwom
rainbow	renbo
shave	resaim
residency	residensi
resolution	resolusen
garbage can	rabisbin
rucksack	raksak
leech	rabasnek
sexual intercourse	puspus
promotion	promosen
hydrogen peroxide	proksait
fried rice	prairais
potato	poteto
coward	pretman
religious	prosesio
pay day	potnait
postcard	poskat
position	posisen
porridge	poris
Catholic Church	Katolik Sios
politician	politisen
policeman	polisman
forklift	poklip
pocketknife	poketnaip
forgiveness	pogiv
poison	poisin
sorcerer	poisinman
police station	polis stesin
political	politikel
centipede	plantihan
plantation	plantesin
planning	plening
plumber	plama
player	pilaia
person	pilaimanki
petition	petisen
petroleum	petroliam
patron	petron
colitis	pikbel
sin	pekato
paymaster	pemasta
permanent	pemenen
passbook	pasbuk
partner	patna
passenger	pasindia
passport	paspot
pumpkin	pamkin
love	papait
flower	pandol
soldier	paitman
parliament	palamen
fireman	paiaman
pilot	pailot
official	opisal
organization	oganaisesen
nomination	nominesen
New Testament	Nupela Testamen
scorpionfish	nilpis
necktie	nektai
national	nesenel
needle	nidel
missionary	misinari
moral	morol
musical	musikel
movie	muvi
media	midia
manager	menesa
management	menesmen
magazine	megesin
medical	medikel
bundle	mekpas
message	mesej
rich	maniman
matches	masis
gun	masket
good	masalai
tilapia	makau
clan	maimai
multicultural	maltikalsarel
village	luluai
lawyer	loya
local	lokol
liturgy	liteji
Tolai	dukduk
white	dimdim
bride price	braitprais
Protestant	talatala
cervix	seviks
cervical	sevikel
when	wataim
security guard	wasman
chin	wasket
refrigerator	bokis ais
blind	aipas
termite	waitanis
publicity	aweanes
several	aupa
fruit bat	blakbokis
book	bukim
boil	boilim
collect	bungim
file	failim
coconut palm	kokonas
young	kulau
beach	nambis
green tea	grinpela ti
geography	save long graun
biology	save long laip
linguistics	save long tokples
navel	hap bel
young	yangpela
order	odaim
prepare	stretim
observe	skelim
sue	kotim
soursop	sausap
condisciple	wanskul
dolphin	ambusa
appetite	apatait
arrowroot	arurut
barbecue	babeku
drill	boamasin
throw away	tromai
lock up	kalabusim
tree	garamut
fall	pundaun
get up	kirap
agreement	wanbel
blood relative	wanblut
daily	wande wande
one by one	wanwan
look like	luk olsem
playmate	wanpilai
lookalike	wanpes
wanpisin	wanlain
wanlain	wanpisin
possum	kapul
mayor	kansol
thief	stilman
shirt	siot
wallaby	sikau
witch doctor	bus dokta
slingshot	katapel
red	redpela
black	blakpela
white	waitpela
boy	pikinini man
new	nupela
picture	piksa
large	raunpela
blue	blupela
sweet	switpela
old	olpela
grey	grepela
brown	braunpela
pink	pinkpela
like	laikim
buy	baiim
heavy	hevipela
cold	kolpela
hot	hotpela
short	sotpela
eagle	tarangau
starboard	stabot
worship	lotuim
toilet	sithaus
