dynamite	abba
lime	ļaim̧
tomato	tōm̧ato
towel	to̧o̧l
doughnut	to̧nōt
Islam	M̧ōjlim
Muslim	ri-M̧ōjlim
office	wōpij
office	opij
idiotic	wūdkabbe
playground	wūntoba
playground	untoba
opium	opiem̧
crazy	wūdeakeak
giant clam	kapwor
Marshallese	Ri-Wōjjā
Ebadon	ri-Epatōn
Marshallese	Ri-Epatōn
mallet	ļwūj
mallet	ļuj
big	ļap
push	diaka
month	allōn̄
dark	ditōb
white	mouj
oily	wōil
oily	weiļ
bark	wan̄
quarrel	iakwāāl
quarrel	akwāāl
race	iāekwōj
race	iiāekwōj
road	iiaļ
Enedrikdrik	Āne-dikdik
lusty	m̧ōm̧
ice	aij
ice	aej
ice cream	aijkudiim̧
ice cream	aejkudiim
ice cream	aejkudiim̧
ice cream	aijkudiim
rainbow	iia
rainbow-colored	iiaeae
sardine	kwarkwar
wear	roojoj
needle	niiļ
Djarrit	Jarej
elephant	eļbōn
bear	pāār
jellyfish	jan̄ij
westerner	ri-pālle
pineapple	peinabōļ
work	jerbal
worker	ri-jerbal
outcast	ri-nana
use	ļaam̧am̧
blanket	ko̧o̧j
corn	ko̧o̧n
crown	kūrawūn
cart	kurm̧a
drive	jiipip
parrot	ko̧kwe
color	piin̄
walrus	kiduun lo̧jet
large	dāp
moray eel	kideddelbwij
discharge	ākūtwe
discharge	eaktuwe
discharge	āktuwe
boatswain	bojin
virgin	bōjin
poison	baijin
grove	bukun
constellation	bukun iju
phosphate	diin̄ko
beautiful	deo̧
red	eōō
horseriding	o̧o̧jo̧j
magician	ri-jo̧ubwe
lion	ļaiōōn
lion	ļaiōn
dragonfly	boub
use	ko̧o̧joj
orange	kieo
loaf	ļoob
dimple	libwetōr
dimple	lūbōntōr
gal	lijjo̧o̧n
reunion	iiāio
reunion	iiaieo
moonrise	iiaļan̄e
fisherman	ri-eo̧n̄wōd
Taiwanese	ri-Taewan
Little Bustard	Orpāp
Big Bustard	Epjā-dik
Enubuj	Āne-buoj
chief	buoj
color	būrawūn
frog	būro̧k
sleep	būton̄ton̄
ferment	bwiro
dune	bwijuwe
smell	bwiin
sunrise	takin aļ
Gugeegue	Kōn̄e-jekāān-eņ
Illeginni	Likijjine
Legan	Am̧bo
Roi-Namur	Ruot im Nim̧ur
islet	Mejatto
Ennubirr	Āne-bōn
lizard	mānnueaļ
plastic	būļajtiik
fresh	tabwil
pimple	taeo
pimple	tāeo
tiger	taikō
doctor	taktō
typhoon	taibuun
doughnut	tonaaj
donkey	to̧o̧n̄ke
one thousand	to̧ujin
dictionary	tūkjinede
high tide	tūkōk
sink	tun̄n̄ūlaļļo̧k
sink	tūm̧m̧wilaļļo̧k
dragon	tūrāikōn
diamond	taim̧oņ
one hundred	jibukwi
one hundred	jibuki
blanket	būļan̄kōj
plywood	būļāwūt
noodle	uton̄
ukulele	uklele
pier	o̧b
woman	kōrā
gull	kūm̧ake
alphabet	aļbapeet
butter	bōta
bomb	baam̧
radiation	ri-baam̧
lineage	bwij
family	baam̧le
pumpkin	baan̄ke
file	baeļ
violin	baeoliin
violinist	ri-baeoliin
grass	wūjooj
grass	ujooj
telescope	baiklaaj
pilot	baiļat
western	kapilōn̄
western	kipilōn̄
mirror	kapjer
mirror	kapjor
passenger	bajinjea
volleyball	baļebo̧o̧ļ
airplane	baļuun
airplane	baļwūn
balloon	bujeen̄
balloon	bujentōm̧a
adolescent	boea
flag	bōļeak
flag	bōļāāk
manta ray	boraan̄
stove	obwin
time	ewan
legendary	Ewerōk
legendary	Eo̧werōk
yellow	iaļo
yellow	iiaļo
baseball	kajji
leather	kilin kau
coconut palm	kimej
cucumber	kiudi
smoke	kōbaatat
ketchup	kōjjeb
mind	kokōro
Goliath	Koļeiaat
preserve	koļeiaat
brain	kōmālij
shrub	kōtōmānlimpok
color	kilmeej
color	kilmir
flock	kōjwad
cotton	kotin
cataract	kōtrāāk
long	jāje
scientist	jaintiij
sacrament	jakkūramen
salmon	jam̧ōņ
sleeping	jan̄in̄i
searchlight	jatiraito
not	jo̧uwi
not	jauwi
not	ja-
smell	iuwi
square	jukweea
jitterbug	jurbak
deafening	pedan̄wūjn̄wūj
deafening	pedam̧wijm̧wij
deafening	pedan̄otn̄ot
deafening	pedan̄utn̄ut
business	peejnej
baptism	peptaij
biscuit	petkōj
biscuit	būreej
vinegar	penkō
pickle	pikōļ
fuse	piwūj
concrete	pirōk
cement	jimeeņ
cement	jimāāņ
peanut	pinōt
color	piolōt
coconut oil	pinneep
coconut oil	pinniep
movie	m̧upi
watery	watre
small	wiawe
small	wio̧we
grease	kūriij
hotel	wōteļ
hotel	oteeļ
oatmeal	wōtmiiļ
fireplace	wūpaaj
fireplace	upaaj
color	wūpaajaj
color	upaajaj
dollar	taļa
telephone	talboon
lagoon	liele
lineage	aļap
west	rālik
mahogany	m̧aōkōni
mahogany	m̧akōni
hedge	wūt
wear	wūtwūt
rosebush	utrooj
sea randa	utilomar
sardine	jatiin
organ	o̧kwōn
beautiful	oļeo̧
home run	om̧rawūn
grape	kūreep
gravy	kūrepe
comb	kuum̧
comb	kuum̧um̧
fall	kwaļm̧we
cent	jāān
meat	jālele
sentence	jāntōj
sentence	jaņtōj
befriend	jerā
friend	ri-jerā
young	jendik
young	jāndik
hen	lo̧lo̧
camel	kameļ
compass	kam̧bōj
canvas	kanbōj
meat	kanniōk
beef	kanniōkin kau
pork	kanniōkin piik
bigeye	n̄iitwa
bigeye	n̄ituwa
centipede	ņokwanej
centipede	ņo̧kneej
sprout	eo̧n̄
oyster	eo̧r
relative	erm̧we
get out	diwōj
yacht	io̧o̧t
yeast	iij
hill	toļ
small	ļwe
guitarist	ri-kūta
flautist	ri-robba
pianist	ri-piano
organist	ri-o̧kwōn
ukulele	ri-uklele
drummer	ri-aje
scooter	wōtbai
scooter	ri-wōtbai
scooter	otobai
summer	jem̧ar
northern	tuean̄
northern	tuen̄
northern	tuiōn̄
harmonica	am̧onika
harmonica	ri-am̧onika
squall	uto̧r
Marshallese	RuWōjjā
silver	jelba
scuba	akjijen
black	m̧am̧ōj
salt	jo̧o̧ļ
small	būttiwaļ
discouragement	bweetkōn
pile	bweo
fish	piaea
fish	bwiaea
air	mejatoto
good	m̧m̧an
good	rūm̧m̧an
fisherman	ri-eo̧n̄ōd
pocketknife	ņaib
Marshallese	weejej
save	lo̧mo̧o̧r
save	lomo̧o̧r
savior	ri-lo̧mo̧o̧r
savior	ri-lomo̧o̧r
Savior	Rilo̧mo̧o̧r
Savior	Rilomo̧o̧r
demon	ōeōe
push	iuun
model	jemānāe
