now	nu
pretzel	Kjrinjel
torture	Kjwal
price tag	Kjwitt
complaint	Klacht
cord	Klauft
claw	Kleiw
clinic	Klinnikj
accusation	Kloag
outhouse	Kloo
hamburger	Klopsfleesch
barn dance	Klunj
cup	Tauss
tetanus	Mulkraump
palate	Mulbän
mulberry	Mulbäa
mulberry	Mulbäaboom
wager	Wad
vest	Wast
west	Wasten
widow	Wätfru
whetstone	Watsteen
widower	Wätmaun
whale	Waulfesch
waltz	Waulz
coat	Waums
wanderer	Waundra
wash	Wausch
washing machine	Wauschmaschien
washroom	Wauschstow
midwife	Weemutta
few	weinich
vetch	Wekj
point	Spetz
scoundrel	Spetzbub
spit	Spie
speed	Spied
mirror	Spieejel
spoke	Spieekj
spy	Spiejoon
anger	Spiet
footprint	Spoa
rung	Spoak
sponge	Sponzh
spool	Spool
joke	Spos
syringe	Spretz
jump	Sprunk
spook	Spuak
clown	Spucht
pain	Stäakj
gooseberry	Kjressbäa
place	Städ
footbridge	Stajch
handle	Stäl
postage stamp	Breefmoakj
eyeglasses	Brell
pigweed	Brenkrut
firewood	Brennholt
branding iron	Brenniesa
bronze	Brons
brassiere	Brosthaulta
sternum	Brostknoaken
breast milk	Brostmalkj
truss	Bruchbaunt
fortitude	Browheit
fraction	Bruchdeel
dowry	Brutpriess
bookstore	Buaklaufkje
harrow	Äajd
vinegar	Ädikj
address	Adrass
Egypt	Äjipten
farmer	Akamaun
axe	Akjs
misery	Älent
aluminum	Alumienium
likeness	Änlichkjeit
antifreeze	Antiefries
apparatus	Aparat
April	Aprell
Arabia	Arabein
ash tree	Asch
donkey	Äsel
Athens	Ateen
food	Äten
pantry	Äteskoma
tablespoon	Ätläpel
atom	Atomm
atomic bomb	Atommbomm
dining room	Ätstow
image	Aufbilt
tourniquet	Aufbinjsel
apricot	Aupelkoos
apple sauce	Aupelmoos
apple sauce	Aupelmooss
orange	Aupelsien
pear	Kruschkje
banana	Boomworscht
banana	Banan
lemon	Zitroon
stench	Jestank
storage	Prellkoma
price	Priess
strawberry	Ieedbäa
raspberry	Himbäa
scarecrow	Hieezhgrul
potato	Ieedschock
carrot	Jalmäa
yam	Jams
radish	Radieskje
speaker	Rädna
parsnip	Postanak
mailbox	Postbaks
beggar	Pracha
sermon	Prädicht
preacher	Prädja
mocassin	Preeskje
parsley	Peetasselj
crabapple	Paradiessaupel
cannon	Kanoon
piss	Pisch
fig	Fiej
spinach	Spinnat
turnip	Reew
bookkeeper	Buakfiera
bookshelf	Buakschaup
carpenter	Descha
merchant	Koopmaun
watchman	Loagawach
pilot	Pieloot
weaver	Wäwa
simpleton	Eefelt
elephant	Eelefaunt
oil painting	Eeljbilt
anteater	Eemskjefräta
pig	Schwien
pigpen	Schwienhock
pork	Schwiensfleesch
swineherd	Schwienshoad
swindler	Schwindla
group	Scwitt
swarm	Schwoarm
swelling	Schwolst
sponge	Schwom
swan	Schwon
speeding ticket	Schwunkzadel
cruise control	Schwunktäajel
diving board	Schwunkbrat
safety	Sechaheit
psychology	Seelenlia
urine	Seich
taxi	Taksie
tax collector	Takskollakjta
lion	Leiw
squirrel	Ieekjekota
oak	Ieekj
anvil	Aumbolt
beginning	Aunfank
beginner	Aunfenja
instigator	Aunfiera
request	Aunfroag
possibility	Mäajlichkjeit
girl	Mäakjen
porpoise	Mäaschwien
camel	Kameel
arthritis	Rietinj
zipper	Rietknoop
escapade	Rietut
washboard	Riew
friction	Riewunk
back	Rigjen
haversack	Rigjesak
backrest	Rigjlän
ring	Rinkj
beef	Rintfleesch
cattle	Rint
river	Riwa
rye bread	Roggenbroot
rolling pin	Rollholt
wallpaper	Rollpapia
escalator	Rolltrap
actor	Rollspäla
fiction	Romaunschreft
slip	Zadel
magic	Zaubarie
wizard	Zaubra
taffeta	Zaunft
chicory	Zechuaje
zebra	Zeebra
cedar	Zeeda
cedar	Zeedaboom
journalism	Zeitungschreft
journalist	Zeitungschriewa
newspaper	Zeitunk
outhouse	Zekjreet
second	Zekund
loose	Zelj
salad	Zellot
scepter	Zepta
ceremony	Zerremonie
gypsy	Ziejoon
hand	Haunt
liver	Läwa
thigh	Schinkjen
thigh	Bowabeen
heel	Hak
elbow	Alboagen
wrist	Hauntjelenkj
factory	Fabrikj
torch	Fachel
feather	Fada
trick	Faks
mistake	Fäla
miscarriage	Fäljeburt
colt	Falm
family	Famielje
spring	Farjoa
telescope	Farnrua
delicacy	Lakjabeskje
predilection	Läne
monotony	Lankwiel
dessert	Läpelkost
spoonful	Läpelvoll
reading room	Lässtow
reader	Läsbuak
slander	Lastrunk
lantern	Latoarn
lampshade	Laumpenschorm
peninsula	Launtenj
hunter	Jäaja
hunting dog	Jäajahunt
opposite	Jäajendeel
antitoxin	Jäajenjeft
obstacle	Jäajenstooss
area	Jäajent
present	Jäajenwuat
opponent	Jäajna
mammal	Sutia
sofa	Soofa
worry	Sorj
player	Späla
child's play	Spälarie
pin	Spald
musical instrument	Späldinkj
gymnasium	Spälhaul
playing card	Spälkoat
playground	Spälplauz
playroom	Spälstow
asparagus	Sparjel
sparkplug	Sparkplogg
straitjacket	Spaunjak
fetters	Spaunsel
sparrow	Spauz
living room	Spaziastow
rinse	Speelwota
splinter	Spekja
barbed wire	Spekjadrot
spendthrift	Spendobbel
referee	Spellvemedla
spoilsport	Spellvedoawa
spinning wheel	Spennraut
mocker	Spetta
mockery	Spettarie
rubbing alcohol	Spieetuss
minute	Minnut
minute hand	Minnutenwiesa
mint	Mints
myrtle	Mirt
hodge-podge	Mischmausch
missionary	Missionoa
mistletoe	Mistelplaunt
misunderstanding	Misvestentniss
morass	Moarauss
March	Moaz
February	Feebawoa
fever	Feeba
pronoun	Fawuat
hallucination	Feebadroom
timid	feij
clammy	feicht
barren	fooss
fart	Forz
jaundice	Jälesocht
misery	Jauma
January	Jaunewoa
Japan	Jaupaun
gable	Jäwel
prayer	Jebäd
Holland	Hollaunt
Hollander	Hollenda
hollow	Hollinj
cabbage roll	Hollopzee
scoundrel	Hollunk
charcoal	Holtkol
woodworker	Holtoabeida
woodwork	Holtoabeit
woodshed	Holtschenn
monkey wrench	Homaschlätel
honey	Honnich
honeycomb	Honnichkorf
scrotum	Hoodensak
horseshoe	Hoofiesa
hold	Hool
hope	Hopninj
hospital	Hospitol
oatmeal	Howajrett
ladybug	Howapieetje
High German	Huachdietsch
highland	Huachlaunt
pride	Huachmoot
high school	Huachschool
highway	Huachwajch
flood	Huachwota
high priest	Huagapriesta
prostitution	Huararie
whorehouse	Huarenhus
lobster	Humma
mound	Humpel
century	Hundatjoa
hunger	Hunga
famine	Hungaschnoot
fang	Hungatän
mange	Hunjsfalkrankheit
dog	Hunjsklotje
distemper	Hunjskrankheit
cigarette lighter	Hupjebrenna
trampoline	Hupsbad
flea	Hupsflieej
household	Hushault
householder	Hushoola
barn swallow	Husschwaulm
goods	Jeeda
foundry	Jeetarie
prisoner	Jefangna
container	Jefäss
prison	Jefenkjniss
quest	Jeforsch
wage	Jehault
revulsion	Jegrusel
secret	Jeheemniss
command	Jeheet
prevarication	Jeheichel
tumult	Jeläw
education	Jelieeheit
gentleness	Jelindichkjeit
coin	Jeltstekj
purse	Jelttausch
check	Jeltzadel
ease	Jemak
rocking horse	Jenjelpieet
rocking chair	Jenjelstool
smell	Jeroch
hollyhock	Stockroos
homestead	Heimstäd
grasshopper	Heischrakj
meadow	Heistap
chopping block	Heiwklotz
hectare	Hekta
holiday	Heljedach
hammock	Henjbad
suspension bridge	Henjbrigj
deer	Hersch
marriage bed	Ehebad
wife	Ehefru
husband	Ehemaun
divorce	Ehescheiden
eggshell	Eiaschol
egg white	Eiawitt
icing	Eisinj
weasel	Elkj
great-aunt	Ellamum
senility	Ellaschwakheit
electricity	Ellektrisität
elevator	Ellewäta
imagination	Enbildunk
bishop	Eltesta
announcer	Aunsaja
announcement	Aunsoag
settler	Aunsiedla
settlement	Aunsiedlunk
infection	Aunstekjunk
stumbling block	Aunstooss
epilepsy	Aunstoot
effort	Aunstrenjunk
answer	Auntwuat
answer	auntwuate
liar	Läajna
emptiness	Ladichkjeit
lagoon	Lagoon
liquorice	Lagritz
middle finger	Lankhauls
surveyor	Launtutmäta
lifetime	Läwenstiet
lifestyle	Läwensstiel
biology	Läwenslia
mortal	Läwensjefoa
obituary	Läwensvezeichniss
life insurance	Läwensvesechrunk
livelihood	Läwensunjahault
udder	Ieda
idea	Iedee
earthquake	Ieedbäben
tunnel	Ieedgank
groundhog	Ieedhunt
geography	Ieedbaulkonst
gopher	Ieedkota
peanut	Ieednät
landslide	Ieedrutsch
badger	Ieedschwien
owner	Ieejendeema
deed	Ieejendeemabewiess
quality	Ieejenschoft
adjective	Ieejenschoftswuat
willfulness	Ieejensenn
nickname	Ieekjenomen
leech	Iel
railroad	Iesabon
ironmonger	Iesahendla
hardware	Iesawoakj
iceberg	Iessboach
icehouse	Iesshus
freezing point	Iesspunkt
ice rink	Iessrinkj
icebox	Iessschaup
ice cream	Iessschmaunt
icicle	Iesstaupen
kingfisher	Iesvoagel
immigrant	Immigraunt
zeal	Iewa
vaccination	Impfunk
engine	Inzhen
morality	Sittenlia
propriety	Sittlichkjeit
slavery	Sklowarie
notebook	Skribla
sawdust	Soagespoon
sawmill	Soagmäl
saddle	Sodel
soldier	Soldot
butterfly	Sommavoagel
summertime	Sommatiet
sunflower	Sonnenbloom
sundial	Sonnenklock
sunshine	Sonnenschien
umbrella	Sonnenschorm
sunset	Sonnunjagank
sunrise	Sonnoppgank
heartburn	Soodbrennen
spline	Splein
spade	Spodem
megaphone	Spräakjrua
explosive	Sprenjstoff
nitrogen	Stäakjstoff
stem	Staum
city	Staut
city hall	Stautshus
civil servant	Stautsdeena
station	Stazion
stepchild	Steefkjint
stepbrother	Steefbrooda
stepmother	Steefmutta
stepsister	Steefsesta
stepfather	Steefvoda
pansy	Steefmurrakje
ibex	Steenbock
petroleum	Steeneelj
rock garden	Steengoaden
stoneware	Steenwoa
boot	Steewel
retriever	Steewelhunt
bootjack	Steewelkjnajcht
scaffold	Steilozh
Pacific Ocean	Stelle Mäa
Good Friday	Stelle Friedach
representative	Stellveträda
apartment	Pensjoon
wig	Perrikje
person	Persoon
piss	Pess
penis	Pessat
blabbermouth	Plaupamauz
chatterbox	Plaupamul
poultice	Pleista
nephew	Plemmenikj
niece	Plemenitze
trouble	Ploag
plan	Plon
plaster	Plosta
platter	Plot
plow	Pluach
plowshare	Pluachschoa
tattletale	Pludadoos
pony	Poonkje
feather	Poos
dreamland	Pooselaunt
