good	on
damage	kalte
drizzle	langar
neck	lepo
manner	molde
valley	naba
ample	nasai
vacation	opor
hour	ordu
piece	puska
mouse	sagu
net	sare
dirty	satsu
dry	siku
child	ume
fat	urin
pig	zerri
left-handed	ezker
cloth	mantar
brake	galga
easily	aise
deaf	gor
February	otsail
mint	menda
father	aita
shop	denda
earth	lur
where	nora
mountain	mendi
beak	moko
vagina	alu
sheep	ardi
war	guda
snow	elur
foot	oin
body	soin
ripe	umo
cuckoo	kuku
dumb	mutu
empty	huts
acorn	zi
you	zeu
goodbye	agur
crow	bele
high	goi
week	aste
March	marti
river	ibai
hare	erbi
abbey	abadia
cod	bakailao
thousand	mila
April	apiril
dragon	herensuge
March	martxo
wolf	otso
will	nahi
light	argi
were	ginen
smile	irri
limit	muga
flour	irin
summer	uda
pub	taberna
are	dira
upright	tente
buffalo	bufalo
kiss	musu
excrement	kaka
butter	gurin
sledge	lera
interval	tarte
orgasm	orgasmo
always	beti
daughter	alaba
hyena	hiena
anagram	anagrama
jai alai	pilota
uncle	osaba
oxygen	oxigeno
broth	salda
bet	trabes
sulfur	sufre
robotics	robotika
joyous	alai
Euskadi	Euskadi Ta Askatasuna
orange	laranja
weight	pisu
are	gara
museum	museo
astronomer	astronomo
police	polizia
alcohol	alkohol
neologism	neologismo
minute	minutu
panties	kulero
antelope	antilope
abbot	abade
acrobat	akrobata
lake	laku
crocodile	krokodilo
hydrogen	hidrogeno
carbon	karbono
nitrogen	nitrogeno
metaphor	metafora
grandfather	asaba
vowel	bokal
let	laga
glass	harri
Wales	Gales
Slovenia	Eslovenia
trema	ü
Yugoslavia	Jugoslavia
beard	bizar
do	egin
politician	politikari
atom	atomo
coffee	kafe
homosexuality	homosexualitate
hospital	ospitale
entrails	errai
opinion	aburu
room	gela
you	zuek
five	bost
seven	zazpi
eight	zortzi
nine	bederatzi
eleven	hamaika
twelve	hamabi
thirteen	hamahiru
twenty	hogei
hundred	ehun
forty	berrogei
sixty	hirurogei
eighty	laurogei
nettle	asun
leech	izain
oat	olo
village	herri
was	zen
harpoon	arpoi
troposphere	troposfera
diode	diodo
island	irla
island	uharte
lip	ezpain
sky	zeru
house	etxe
tree	zuhaitz
read	irakurri
write	idatzi
skirt	gona
old	zahar
table	mahai
board	taula
anode	anodo
contemptible	txatxar
wart	garatxo
finger	hatz
toe	behatz
thumb	hazlodi
decision	erabakitze
bay	badia
donkey	asto
lead	berun
ahuntz	adar
horse	zaldi
beach	plaia
beach	hondartza
avalanche	elur jausi
passport	pasaporte
gymnasium	gimnasio
haematology	hematologia
Denmark	Danimarka
missile	misil
Peter	Petri
epistemology	epistemologia
snake	suge
lithosphere	litosfera
anaphora	anafora
valley	haran
well	ongi
goat	aker
kilogram	kilogramo
asteroid	asteroide
brick	adreilu
penis	zakil
sexuality	sexualitate
partitive	-ik
ginar	-ba
mineralogy	mineralogia
jacket	jaka
helicopter	helikoptero
technology	teknologia
allative	-ra
wine	ardo
grandfather	aitona
Greek	greko
Romania	Errumania
be	egon
tie	lotu
-tion	-kunde
faggot	marikoi
defender	atzelari
masculinity	maskulinotasun
dictionary	hiztegi
spirit	espiritu
international	nazioarteko
international	internazional
free	aske
blood	odol
pansexuality	pansexualitate
twin	biki
skin	azal
knee	belaun
milk	esne
star	izar
sun	eguzki
ear	belarri
sea	itsaso
onomatopoeia	onomatopeia
dog	etxe-txakur
that	-la
bridge	zubi
hole	uts
hole	huskune
bread	ogi
delirium	eldarnio
Athena	Atena
axe	aizkora
dromedary	dromedario
boomerang	bumerang
gospel	ebanjelio
spider	armiarma
rose	arrosa
century	mende
winter	negu
last night	bart
enigmatic	enigmatiko
day	egun
valley	ibar
agate	agata
underarm	besape
armpit	galtzarbe
fatherland	aberri
pornographic	pornografiko
choose	aukeratu
theorbo	tiorba
egg	arrautza
book	liburu
say	esan
capital	hiriburu
blackberry	masusta
grape	mahats
search	bilatu
emptily	hutsik
pretty	polit
god	jainko
beetle	kakalardo
letter	eskutitz
dust	hauts
sword	ezpata
Aristotle	Aristotele
angle	angelu
June	ekain
deer	orein
carry	eroan
now	orain
misanthrope	misantropo
spider	marasma
shame	lotsa
field	alor
mirror	ispilu
step	pauso
leg	hanka
basalt	basalto
do you speak English	ingelesez hitz egiten al duzu
wheat	gari
cowherd	unai
quantum	kuantu
pandemic	pandemia
how are you	zer moduz
monastery	monasterio
Miss	andereño
twenty-two	hogeitabi
sixteen	hamasei
green	berde
eighteen	hamazortzi
whale	balea
photosphere	fotosfera
electronics	elektronika
ago	duela
ionosphere	ionosfera
dirty	urde
see	ikusi
kangaroo	kanguru
third	heren
tired	nekatuta
mass	meza
hermitage	ermita
Maite	Mayte
papaya	papaia
piranha	piraña
turtle	dortoka
salt	gatz
Navarre	Eneritz
mole	sator
forget	ahaztu
bank	banku
nightmare	amesgaizto
skull	burezur
bee	erle
barge	gabarra
rope	soka
rain	euri
pine	pinu
physics	fisika
strawberry	marrubi
keyboard	teklatu
slate	arbela
nose	sudur
hydrosphere	hidrosfera
black hole	zulo beltz
thermosphere	termosfera
civil	zibil
Lord	Jaungoikoa
load	zama
astrophysics	astrofisika
pyrolysis	pirolisi
again	berriro
black	beltz
hole	zulo
schizophrenia	eskizofrenia
octopus	olagarro
squid	txipiroi
trajectory	traiektoria
trachea	trakea
tradition	tradizio
soap	xaboi
turtledove	usapal
dovecot	usategi
dove	urzo
squirrel	urtxintxa
chicory	txikoria
chin	kokots
double chin	kokozpeko
squirrel	katagorri
package	pakete
astuteness	azerikeria
heart	bihotz
destiny	adur
earthworm	zizare
caterpillar	beldar
insect	intsektu
bug	zomorro
throughout	txaro
dwarf	ipotx
fish	arrain
badakizu	badakizu ingelesez
thank you	eskerrik asko
hello	kaixo
girl	neska
Maltese	maltera
ghost	mamu
garlic	baratxuri
have	eduki
January	urtarril
May	maiatz
July	uztail
August	abuztu
September	irail
little	urri
November	azaro
Monday	astelehen
Tuesday	astearte
Wednesday	asteazken
Thursday	ostegun
Friday	ostiral
Saturday	larunbat
Sunday	igande
electrode	elektrodo
spring	udaberri
autumn	udazken
place	leku
ice	horma
ice	karroin
abstract	abstraktu
give	eman
say	erran
chloroform	kloroformo
tree	arbola
archaeastronomy	arkeoastronomia
spiral	kiribil
spiral	helize
bark	oskol
stork	amiamoko
heron	koartza
bird	txori
illness	eritasun
gold	urrezko
accordion	akordeoi
accordion	eskusoinu
mercury	merkurioa
kingdom	erresuma
realm	erreinu
jay	eskinoso
arsenic	artseniko
cow	behi
blizzard	bisuts
prime number	zenbaki lehen
translator	itzultzaile
hero	heroi
rabbit	untxi
bull	zezen
eagle	arrano
wasp	liztor
hornet	liztortzar
fly	euli
once upon a time	bazen behin
once upon a time	behin batean
peanut	kakahuete
bell	kanpai
priest	apaiz
farmhouse	baserri
Basque	euskal
leaf	hosto
lizard	musker
buttocks	ipurdi
hand	esku
fist	ukabil
elbow	ukondo
forearm	besaurre
hound	zakur
pig	txerri
verb	aditz
friend	lagun
park	parke
smooth	leun
Basque	euskaldun
at the same time	batera
cheap	merke
dry	agor
lens	leiar
man	gizon
young	gazte
news	berri
ugly	itsusi
Hungary	Hungaria
Armenian	armeniar
despicable	txarro
truth	egia
Georgian	georgiar
fourteen	hamalau
fifteen	hamabost
seventeen	hamazazpi
eighteen	hemezortzi
nineteen	hemeretzi
sing	abestu
breakfast	gosaldu
drink	edan
here	hemen
yesterday	atzo
day after tomorrow	etzi
day before yesterday	herenegun
nowadays	gaur egun
Carthage	Kartago
beautiful	eder
cliff	labar
senate	senatu
puppy	txakurkume
woman	emakume
wife	emazte
husband	senar
catfish	katuarrain
language	hizkuntza
mother tongue	ama-hizkuntza
kidney	giltzurrun
lion	lehoi
mare	behor
blackbird	zozo
swallow	enara
flock	artalde
piglet	txerrikume
wild boar	basurde
pork	txerriki
sometimes	batzuetan
yesteryear	iaz
restaurant	jatetxe
school	ikastola
school	ikastetxe
White House	Etxe Zuria
hospital	erietxe
brothel	putetxe
goat	ahuntz
nowhere	inon
France	Frantzia
Russia	Errusia
Slovakia	Eslovakia
China	Txina
Greece	Grezia
Switzerland	Suitza
England	Ingalaterra
Scotland	Eskozia
Britaina	Britainia Handia
Afrika	Hego Afrika
Sophocles	Sofokles
bullfighter	zezenkari
dream	amets
December	lotazil
December	neguil
August	agorril
August	dagonil
January	ilbeltz
January	izotzil
February	zezeil
February	barantaila
March	epail
April	jorrail
May	lorail
May	hostaro
May	orril
June	bagil
June	ereiaro
June	garagarril
July	garil
September	buruil
September	setemere
October	urril
October	lastail
October	bildil
October	urrieta
November	zemendi
November	hazil
November	gorotzil
for example	adibidez
song	abesti
singer	abeslari
Basque	abertzale
patriotism	abertzaletasun
advantage	abantaila
adventure	abentura
adventurous	abenturazale
wealth	aberastasun
seminarist	abadegai
seminarist	apaizgai
aunt	izeba
aunt	izeko
energy	kemen
spiderweb	armiarma-sare
spiderweb	amaraun
choir	abesbatza
example	adibide
pollen	lore-hauts
lung	birika
spider	ainarba
spider	aramu
food	janari
priest	apez
shepherd	artzain
shepherd	altxoin
sheepdog	artzain-txakur
hippo	hipopotamo
understand	aditu
Monday	ilen
façade	fatxada
dolphin	izurde
monkey	tximino
mother-in-law	amaginarreba
father-in-law	aitaginarreba
co-mother-in-law	amaginarrebakide
co-father-in-law	aitaginarrebakide
ostrich	ostruka
plumber	iturgin
butcher	harakin
photographer	argazkilari
agriculturist	nekazari
teacher	irakasle
baker	okin
cook	sukaldari
postman	postari
fisherman	arrantzale
firefighter	suhiltzaile
tailor	jostun
shopkeeper	dendari
season	urtaro
mammal	ugaztun
rat	arratoi
domestic cat	etxe-katu
Tuesday	martitzen
Wednesday	eguazten
Thursday	eguen
Thursday	ortzegun
Friday	egubakoitz
Friday	bariku
Friday	ortzirale
Saturday	ebiakoitz
Saturday	neskenegun
Saturday	zapatu
Sunday	domeka
Christmas	Eguberri
who	nork
landareak	landare
twenty-one	hogeita bat
twenty-two	hogeita bi
twenty-three	hogeita hiru
twenty-four	hogeita lau
twenty-five	hogeita bost
twenty-six	hogeita sei
twenty-seven	hogeita zazpi
twenty-eight	hogeita zortzi
twenty-nine	hogeita bederatzi
thirty	hogeita hamar
thirty-one	hogeita hamaika
thirty-two	hogeita hamabi
thirty-three	hogeita hamahiru
thirty-four	hogeita hamalau
thirty-five	hogeita hamabost
thirty-six	hogeita hamasei
thirty-seven	hogeita hamazazpi
thirty-eight	hogeita hemezortzi
thirty-eight	hogeita hamazortzi
thirty-nine	hogeita hemeretzi
camel	gamelu
duck	ahate
stork	zikoina
goose	antzara
weekend	asteburu
weekend	astebukaera
plum	aranondo
apple	sagar
apple tree	sagarrondo
forty-one	berrogeita bat
forty-two	berrogeita bi
forty-three	berrogeita hiru
forty-four	berrogeita lau
forty-five	berrogeita bost
forty-six	berrogeita sei
forty-seven	berrogeita zazpi
forty-eight	berrogeita zortzi
forty-nine	berrogeita bederatzi
fifty	berrogeita hamar
fifty-one	berrogeita hamaika
fifty-two	berrogeita hamabi
fifty-three	berrogeita hamahiru
fifty-four	berrogeita hamalau
fifty-five	berrogeita hamabost
fifty-six	berrogeita hamasei
fifty-seven	berrogeita hamazazpi
fifty-eight	berrogeita hemezortzi
fifty-eight	berrogeita hamazortzi
fifty-nine	berrogeita hemeretzi
gold	urre
Italian	italiera
Spanish	gaztelania
Spanish	gaztelera
English	ingelera
English	ingeles
Russian	errusiera
French	frantses
German	alemanera
German	alemaniar
German	aleman
French	frantziar
Danish	daniera
Albanian	albaniera
Romanian	errumaniera
Slovak	eslovakiera
Slovenian	esloveniera
Estonian	estoniera
Serbian	serbiera
Sicilian	siziliera
Occitan	okzitaniera
Japanese	japoniera
Norwegian	norvegiera
Finnish	finlandiera
Portuguese	portugalera
Portuguese	portuges
Portuguese	portugaldar
Arabic	arabiera
Armenian	armeniera
Azerbaijani	azerbaijanera
Turkish	turkiera
Georgian	georgiera
Bulgarian	bulgariera
Belarusian	bielorrusiera
Bosnian	bosniera
Welsh	galesera
Hungarian	hungariera
Icelandic	islandiera
Indonesian	indonesiera
Croatian	kroaziera
Corsican	korsikera
Macedonian	mazedoniera
Latvian	letoniera
Lithuanian	lituaniera
Mongolian	mongoliera
Polish	poloniera
Swedish	suediera
Czech	txekiera
Ukrainian	ukrainera
Vietnamese	vietnamera
Thai	tailandiera
Italian	italiar
Albanian	albaniar
Azeri	azerbaijandar
Austrian	austriar
Belgian	belgikar
Belarusian	bielorrusiar
Bulgarian	bulgariar
Andorran	andorratar
Danish	daniar
Spanish	espainiar
Afghan	afganistandar
Romanian	errumaniar
Russian	errusiar
Slovak	eslovakiar
Slovenian	esloveniar
Estonian	estoniar
Finnish	finlandiar
Hungarian	hungariar
Icelandic	islandiar
Japanese	japoniar
Croatia	Kroazia
Croatian	kroaziar
Breton	bretoiera
Asturian	asturiera
Somali	somaliera
shower	dutxa
person	pertsona
intersexuality	intersexualitate
ekranoplan	ekranoplano
sixty-one	hirurogeita bat
sixty-two	hirurogeita bi
sixty-three	hirurogeita hiru
sixty-four	hirurogeita lau
sixty-five	hirurogeita bost
sixty-six	hirurogeita sei
sixty-seven	hirurogeita zazpi
sixty-eight	hirurogeita zortzi
sixty-nine	hirurogeita bederatzi
seventy	hirurogeita hamar
bat	saguzar
bat	gauenara
ice	izotz
flute	txirula
drum	danbor
aeroplane	hegazkin
violin	biolin
short	labur
ant	inurri
ant	txingurri
anthill	inurritegi
seventy-one	hirurogeita hamaika
seventy-two	hirurogeita hamabi
seventy-three	hirurogeita hamahiru
seventy-four	hirurogeita hamalau
seventy-five	hirurogeita hamabost
seventy-six	hirurogeita hamasei
seventy-seven	hirurogeita hamazazpi
seventy-eight	hirurogeita hemezortzi
seventy-eight	hirurogeita hamazortzi
seventy-nine	hirurogeita hemeretzi
surname	abizen
surname	deitura
mayonnaise	maionesa
sugar	azukre
drink	edari
opinion	iritzi
occasion	abagune
choice	aukera
selection	aukeraketa
Abkhaz	abkhazera
Abkhaz	abkhaziar
sex	sexu
after	mugan
school	euskaltegi
group	talde
go up	igan
Labourd	Ainhoa
trema	Ü
volcano	sumendi
music	musika
cold	hotz
mountain pass	mendate
war	gerra
star	noar
short	motz
skinny	mehe
president	lehendakari
pillow	burko
we	geu
symbol	ikur
king	errege
pear	udare
oven	labe
microphone	mikrofono
maker	-gin
get out	alde
brawl	gatazka
cave	koba
cub	kume
syneresis	sineresi
onion	tipula
salty	gazi
blind	itsu
greba	greba orokor
welcome	ongi etorri
windy	haizetsu
lose	galdu
pantyhose	panti
chemistry	kimika
brother	neba
sell	saldu
are	zara
teamwork	elkarlan
refrain	lelo
pineapple	anana
dark	ilun
blue	urdin
red	gorri
eyrie	arranotegi
bow	arku
first	lehen
grass	belar
star	neizar
Merry Christmas and a Happy New Year	zorionak eta urte berri on
Merry Christmas	Eguberri on
corruption	ustelkeria
werewolf	otso-gizon
liver	gibel
acute accent	Ĺ
hide	ezkutatu
disease	gaixotasun
eztul	eztul egin
long	luze
meat	haragi
slice	okela
storm	ekaitz
jail	espetxe
crash	istripu
understand	ulertu
meal	otordu
newspaper	egunkari
sport	kirol
impedance	inpedantzia
science	zientzia
scientist	zientzialari
musician	musikari
message	mezu
rainy	euritsu
cloudy	hodeitsu
sunny	eguzkitsu
dancer	dantzari
key	giltza
ocean	ozeano
neutron	neutroi
proton	protoi
electron	elektroi
ion	ioi
anion	anioi
cation	katioi
pencil	arkatz
salmon	izokin
bomb	bonba
cyclist	txirrindulari
cycling	txirrindularitza
basketball	saskibaloi
handball	eskubaloi
engineering	ingeniaritza
engineer	ingeniari
oscilloscope	osziloskopio
pear	madari
cider	sagardo
beer	garagardo
boson	bosoi
fall	erori
bicycle	bizikleta
translate	euskaratu
mill	errota
bed	ohe
bedroom	logela
monster	munstro
writer	idazle
actor	aktore
mayor	alkate
footballer	futbolari
furniture	altzari
steel	altzairu
liquid	likido
gift	opari
castle	gaztelu
tower	dorre
tower house	dorretxe
ikurriña	ikurrin
lake	aintzira
rosé wine	ardo gorri
white wine	ardo zuri
red wine	ardo beltz
all-nighter	gaupasa
number	zenbaki
shampoo	xanpu
judge	epaile
student	ikasle
learn	ikasi
breakfast	gosari
strike	greba
church	eliza
government	gobernu
mathematician	matematikari
physicist	fisikari
chemist	kimikari
office	bulego
crab	karramarro
carrot	azenario
fine	isun
soul	arima
Roma	ijito
butterfly	pinpilinpauxa
butterfly	tximeleta
soup	zopa
ice cream	izozki
earthquake	lurrikara
university	unibertsitate
calendar	egutegi
wind	haize
devote	ekin
sonoluminescence	sonolumineszentzia
universe	unibertso
photoluminescence	fotolumineszentzia
supernova	supernoba
computer	ordenagailu
anchor	aingura
sound	soinu
Xavier	Xabier
airport	aireportu
kontrol	kontrol-dorre
hypersonic	hipersoniko
stormy	ekaiztsu
voice	ahots
success	arrakasta
fork	sardexka
spoon	koilara
prostitution	prostituzio
ankle	orkatila
photon	fotoi
synchrotron	sinkrotroi
cyclotron	ziklotroi
synchrocyclotron	sinkroziklotroi
nowhere	inora
dear	maite
stone	haitz
knife	aizto
hoe	aitzur
apricot	arbeletxeko
artichoke	orburu
asparagus	zainzuri
garlic	berakatz
lentil	dilista
sorghum	basarto
peach	mertxika
beer	zerbeza
Spanish chestnut	gaztaina
pomegranate	mingrana
badger	azkonar
sweat	izerdi
leaf	orri
negative	ezkor
hovercraft	aerolabaingailu
vehicle	ibilgailu
telescope	teleskopio
miniskirt	minigona
stocking	galtzerdi
sock	galtzetin
garter	galtzari
death	heriotza
geyser	geiser
snout	mutur
word	berba
vacuum cleaner	xurgagailu
toy	jostailu
washing machine	garbigailu
bomb	lehergailu
thump-thump	pil-pil
iron	burdina
sixth	seiren
reed	ihi
big	handi
hematocrit	hematokrito
bacillus	bazilo
billy	ahari
calculator	kalkulagailu
glove	eskularru
sunflower	ekilore
hiccup	zotin
desert	basamortu
flood	uholde
cloud	hodei
match	pospolo
space	espazio
microscope	mikroskopio
circle	zirkulu
square	karratu
photo	argazki
bone	hezur
journalist	kazetari
reader	irakurle
mason	igeltsero
wig	ileorde
wound	zauri
ambulance	anbulantzia
window	leiho
radio	irrati
cheese	gazta
weather	eguraldi
ring	eraztun
earring	belarritako
necklace	lepoko
necklace	iduneko
Kazakh	kazakhera
Tajik	tajikera
Uzbek	uzbekera
Dutch	nederlandera
Chinese	txinera
Hebrew	hebreera
holiday	jaiegun
cancer	minbizi
clock	erloju
screw	torloju
coin	txanpon
garden	lorategi
shrub	zuhaixka
shrub	zuhamuxka
magazine	aldizkari
white coffee	kafesne
ceiling	sabai
roof	teilatu
cider	txotx
dinner	afari
acute accent	ŕ
brother	anaia
straw	lasto
son-in-law	suhi
rotor	errotore
stator	estatore
fiancé	senargai
fiancé	gizongai
fiancée	emaztegai
fiancée	andregai
waiting room	itxarongela
water lily	nenufar
baby	jaioberri
participle	partizipio
orphanage	umezurztegi
invasion	inbasio
sensor	sentsore
brown	marroi
glaciation	glaziazio
consonant	kontsonante
groin	iztai
supermarket	supermerkatu
illegal	narkotrafiko
Afrika	Afrika Erdiko Errepublika
transformer	transformadore
cathode	katodo
gluon	gluoi
muon	muoi
lepton	leptoi
swastika	lauburu
rainbow	ostadar
word	hitz
want	nahi izan
but	baina
chocolate	txokolate
raven	erroi
cart	gurdi
year	urte
small	txiki
arrow	gezi
face	aurpegi
fig	piku
owl	hontz
peninsula	penintsula
tooth	hortz
sand	hondar
grandfather	aitatxi
reading room	irakurgela
balance	oreka
sparrow	txolarre
religion	erlijio
hen	oilo
chess	xake
chair	aulki
honey	ezti
life	bizi
typewriter	idazmakina
rainbow	ortzadar
flea	arkakuso
caravel	karabela
wheel	gurpil
barley	garagar
child	haur
needle	orratz
bird	hegazti
freedom	askatasun
lunch	bazkari
cherry	gerezi
umbrella	euritako
knife	labana
collider	talkagailu
lift	igogailu
Aragonese	aragoiera
acorn	ezkur
clay	buztin
boat	itsasontzi
right	eskuin
station	geltoki
station	geraleku
city hall	udaletxe
bank	banketxe
goal	helburu
plaza	enparantza
tram	tranbia
battle	borroka
health	osasun
half	erdi
card	txartel
graveyard	hilerri
place	gaztetxe
avenue	hiribide
car	kotxe
freeway	autobide
am	naiz
chapel	baseliza
sister	arreba
grandmother	amona
source	iturri
agent	ertzain
education	hezkuntza
afternoon	arratsalde
bad	gaizki
crossbow	balezta
railway	burdinbide
vote	bozkatu
linguistics	hizkuntzalaritza
measure	neurri
urbanism	hirigintza
project	egitasmo
good night	gabon
shelter	aterki
dialect	euskalki
are	haiz
are	zarete
bicycle	txirrindu
grapefruit	arabisagar
couple	bikote
louse	zorri
lemon	limoi
lord	jaun
Zeelanda	Zeelanda Berria
heliport	heliportu
dividend	dibidendu
bra	bularretako
espazio	espazio-ontzi
magpie	mika
comic	komiki
chromosphere	kromosfera
immunodeficiency	immunoeskasia
help	lagundu
research	ikertu
play	jokatu
vomit	oka egin
lie	etzan
agree	bat etorri
tire	nekatu
agree	adostu
walk	ibili
stick	atxeki
follow	jarraiki
spill	erion
time	denbora
trip	bidaia
sick	gaixorik
motorcycle	motozikleta
rooster	oilar
ground floor	beheko solairu
first floor	lehen solairu
second	bigarren solairu
tent	karpan
scissors	guraize
padlock	giltzarrapo
wide	zabal
street	karrika
title	izenburu
boy	mutil
grandmother	amama
big	haundi
small	ttipi
moon	ilargi
new moon	ilberri
full moon	ilargi bete
humanity	gizatasun
eyebrow	bekain
brain	garun
Netherlands	Herbehereak
doctor	mediku
dawn	egunsenti
dusk	iluntze
Dominican Republic	Dominikar Errepublika
mine	minatu
enter	sartu
lamb	arkume
television	telebista
only	bakarrik
bring	ekarri
take	eraman
know	jakin
speak	mintzatu
love	maitatu
lover	maitatzaile
love	maitetasun
expensive	garesti
way	modu
main	nagusi
car	beribil
bright	argitsu
kitchen	sukalde
soldier	soldadu
friend	adiskide
life	bizitza
unity	batasun
living room	egongela
body	gorputz
library	liburutegi
florist's	loredenda
workplace	lantegi
right	zuzen
correct	zuzendu
corrective	zuzentzaile
justice	zuzentasun
sister	ahizpa
rot	usteldu
glasses	betaurreko
together	elkarrekin
color	kolore
good morning	egun on
Ameriketako	Ameriketako Estatu Batuak
municipality	udalerri
local	udaltzaingo
carburetor	karburagailu
price	prezio
snail	barraskilo
change	aldatu
squid	txibia
fox cub	azerikume
oar	arraun
kneel	belaunikatu
milk	jetzi
valve	balbula
guest	ostalari
full moon	ilargibete
rugby player	errugbilari
tennis player	tenislari
surfer	surflari
taxi driver	taxilari
theorist	teorialari
turner	tornulari
chess player	xakelari
mum	amatxu
tropical	tropikal
Basque	euskaltzale
bracelet	eskumuturreko
wrist	eskumutur
wool	artile
eyelash	betile
smoky	ketsu
front	aurre
genitive case	aurrean
reconcile	baketu
poor	behartsu
rich	aberats
use	erabili
use	erabilketa
user	erabiltzaile
shopping	erosketa
hear	entzun
hearer	entzule
buyer	erosle
beret	txapel
jai alai	pilotaleku
jai alai	pilotari
lawyer	abokatu
tin	eztainu
agriculture	nekazaritza
adverb	adberbio
doctor	sendagile
love	maitasun
shirt	atorra
elk	altze
circus	zirku
palace	jauregi
pump	ponpa
chick	txita
toaster	txigorgailu
rest area	zerbitzugune
service	zerbitzu
place	gune
heartburn	bihotzerre
witches	akelarre
Luxembourg	Luxenburgo
Korea	Ipar Korea
iceberg	izozmendi
activate	aktibatu
deactivate	desaktibatu
light bulb	bombila
acute accent	Ŕ
detrimental	kaltegarri
Philippines	Filipinak
Horea	Hego Korea
chicken	oilasko
Czech Republic	Txekiar Errepublika
Eztegi	Eztegui
hopper	tobera
pharmacy	botika
hammer	mailu
triangle	hiruki
vandalism	bandalismo
nephew	iloba
Verano	Berano
absolutive case	baitan
rice	irris
administrator	administratzaile
pear	txermen
European Union	Europar Batasuna
anarchy	anarkismo
independence	independentzia
turkey	indioilar
cup	edalontzi
help	laguntza
peach	melokotoi
stepfather	aitaorde
knife	ganibet
calcium	kaltzio
Earth	Lurra
look at	begiratu
Hendaye	Hendaia
put	ordenatu
device	gailu
robin	txantxangorri
eel	aingira
intelligent	zuhur
return	itzuli
edge	bazter
fetish	fetitxe
glue	itsasgarri
Álava	babazorro
karat	kilate
drunk	mozkor
lesson	ikasgai
rust	herdoil
sponger	aprobetxategi
