1	౧
ఆంధ్ర	ఆంధ్ర ప్రదేశ్
water	నీరు
Estonia	ఎస్టోనియా
Pasir Ris	పాసిర్ రిస్
mountain	పర్వతము
flour	పిండి
Vulpes vulpes	నక్క
color	రంగు
Boon Lay	బుణ్ లెఇ
shovel	పార
playing card	ఇస్పేటు
dust	ధూళి
blood	రక్తము
blood	నెత్తురు
stone	రాయి
stone	మణి
stone	రాతి
chore	చాకిరీ
mole	పుట్టుమచ్చ
mole	గూఢచారి
hare	కుందేలు
door	తలుపు
door	ద్వారము
adhere	అంటించు
light	కాంతి
light	వెలుతురు
light	జ్యోతి
cotton	పత్తి
beast	జంతువు
Nadia	నడిఅ
Tanjong Rhu	తాంజోఙ్ ఱూ
giraffe	జిరాఫీ
leopard	చిరుతపులి
crocodile	మొసలి
Tamil	తమిళము
ladder	నిచ్చెన
standard	ప్రమాణిక
authority	అధికారము
author	రచయిత
author	రచయిత్రి
solution	పరిష్కారం
answer	జవాబు
priest	పూజారి
priest	అర్చకుడు
ship	ఓడ
utensil	పాత్ర
drawer	సొరుగు
particular	ప్రత్యేక
army	సేన
weapon	ఆయుధము
offence	నేరము
crime	నేరప్రవృత్తి
mixture	మిశ్రమం
village	గ్రామము
violation	ఉల్లంఘన
violation	అతిక్రమణ
urban	నగర
skirt	పరికిణి
sunlight	ఎండ
sunshine	సూర్యరశ్మి
atom	అణువు
port	ఓడరేవు
Agni	అగ్ని
princess	రాజకుమారి
daughter	రాకుమారి
realm	రాజ్యం
range	పంక్తి
range	వరుస
row	శ్రేణి
star	తార
star	చుక్క
cat	పిల్లి
hen	కోడిపెట్ట
soul	ఆత్మ
geometry	జ్యామితి
fight	కొట్లాట
fight	పోరాటం
attack	దాడి
category	వర్గము
chase	వెంటాడు
chase	తరుము
island	ద్వీపము
powder	పేలుడు మందు
moisture	పొడి
powder	చూర్ణము
explosion	పేలుడు
hospital	ఆసుపత్రి
cow	గోవు
copper	రాగి
patient	రోగి
mark	జాడ
thing	వస్తువు
rural	గ్రామీణ
dispute	వివాదం
stream	ధార
sphere	గోళము
muscle	కండరము
flesh	కండ
muscle	కండబలం
Telugu	ర్వ
Telugu	ర్ర
Telugu	ప్మ
Telugu	క్ష
Telugu	శ్శ
Telugu	న్ధ్ర
Telugu	న్భ్ర
Telugu	త్వ
Telugu	క్ర
Telugu	ట్ట
Telugu	బ్ర
Telugu	న్ఝ్ర్య
Telugu	న్చ
Telugu	స్స
Telugu	త్స
Telugu	జ్జ్య
Telugu	భ్ర
Telugu	ర్మ
Telugu	డ్డ
Telugu	క్ట్ర్య
vine	తీగ
creeper	లత
vein	సిర
ఛ	ఛ్ణ
donation	అన్నదానము
little	చిరునవ్వు
bride	వధువు
virgin	కన్య
sea	సముద్రం
note	మ
diacritic	ి
consonant	త
Telugu	్
consonant	ర
diacritic	ు
independent	ఉ
consonant	డ
glide	య
vowel	ో
oo	ఓ
nasal	న
i	ఇ
opinion	అభిప్రాయము
generosity	సద్వినియోగము
India	ఇండియా
Russia	రష్యా
cock	కోడిపుంజు
sister	చెల్లి
sister	సోదరి
mother	తల్లి
beauty	అందము
handsome	అందగాడు
beautiful	అందగత్తె
bridge	వంతెన
mud	బురద
porridge	అంబలి
ambergris	అంబరు
onion	ఉల్లి
tears	కన్నీరు
eye	కన్ను
beautiful	అందమైన
insect	చీమ
broom	చీపురు
pus	చీము
pigeon	పావురము
child	పాప
గంగలో ములిగినా కాకి హంస అవుతుందా	హంస
buttermilk	చల్ల
darkness	చీకటి
darkness	అంధకారము
curtain	తెర
chameleon	తొండ
mosquito	దోమ
eye	నేత్రము
brain	మెదడు
yesterday	నిన్న
today	నేడు
tomorrow	రేపు
you	నీవు
she	ఆమె
he	అతడు
husband	పురుషుడు
Telugu	స్త్రీ
trench	కందకము
boxing	ముష్టియుద్ధము
battle	యుద్ధము
cave	గుహ
dove	గువ్వ
botany	గుళిక
measure	మాత్ర
friendship	స్నేహము
friend	స్నేహితుడు
touch	స్పర్శ
friendship	మైత్రి
friend	మిత్రుడు
human	మనిషి
goat	మేక
month	నెల
month	మాసము
year	సంవత్సరము
decade	దశాబ్దము
century	శతాబ్దము
here	ఇక్కడ
there	అక్కడ
new	కొత్త
old	పాత
hill	కొండ
valley	లోయ
hill-fort	దుర్గము
fort	కోట
eternal	అక్షరము
foot	పదము
sentence	వాక్యము
decision	తీర్పు
cart	బండి
neck	మెడ
ear	చెవి
throat	గొంతు
fist	పిడికిలి
face	ముఖము
mouth	నోరు
lip	పెదవి
abdomen	కడుపు
navel	బొడ్డు
cheek	చెంప
lap	ఒడి
navel	నాభి
buttock	పిరుదు
belly	గర్భము
womb	గర్భాశయము
kidney	మూత్రపిండము
urine	మూత్రము
urinary bladder	మూత్రాశయము
urinary bladder	మూత్రకోశము
micturition	మూత్రవిసర్జన
vagina	యోని
doorkeeper	ద్వారపాలకుడు
door	ద్వారబంధము
story	కథ
resemblance	పోలిక
poem	పద్యము
India	భారత దేశము
Sri Lanka	శ్రీలంక
Nepal	నేపాల్
China	చైనా
Egypt	ఈజిప్టు
Indianapolis	ఇండియానా
Richmond	వర్జీనియా
United States of America	అమెరికా
Africa	ఆఫ్రికా
South America	దక్షిణ అమెరికా
ఉత్తర	ఉత్తర అమెరికా
Asia	ఆసియా
దక్షిణ	దక్షిణ ఆఫ్రికా
Italy	ఇటలీ
Norway	నార్వే
turkey	టర్కీ
district	జిల్లా
country	దేశము
తమిళ	తమిళనాడు
Kerala	కేరళ
Goa	గోవా
Bihar	బీహార్
అరుణాచల్	అరుణాచల్ ప్రదేశ్
Assam	అసోం
Gujarat	గుజరాత్
Haryana	హర్యానా
హిమాచల్	హిమాచల్ ప్రదేశ్
Madhya Pradesh	మధ్య ప్రదేశ్
Maharashtra	మహారాష్ట్ర
Manipur	మణిపూర్
Meghalaya	మేఘాలయ
Mizoram	మిజోరం
Nagaland	నాగాలాండ్
Odisha	ఒరిస్సా
Punjab	పంజాబ్
Sikkim	సిక్కిం
Tripura	త్రిపుర
Uttaranchal	ఉత్తరాంచల్
పశ్చిమ	పశ్చిమ బెంగాల్
Bengal	బెంగాల్
wind	గాలి
air	వాయువు
atmosphere	వాతావరణము
cough	దగ్గు
dry cough	పొడి దగ్గు
expectoration	కఫము
Cambodia	కంబోడియా
Indonesia	ఇండోనేషియా
South Korea	కొరియా
ఉత్తర	ఉత్తర కొరియా
దక్షిణ	దక్షిణ కొరియా
Laos	లావోస్
Mongolia	మంగోలియా
neck	కంఠము
necklace	కంఠిక
beast	మృగము
desert	ఎడారి
Vishnu	విష్ణు
Rāma	రాముడు
Krishna	కృష్ణుడు
Sita	సీత
Shiva	శివుడు
Brahma	బ్రహ్మ
lion	కంఠీరవము
union	సంయోగము
disunion	వియోగము
bird	ఖగము
guest	అతిథి
endless	అనంతము
strong	బలమైన
weak	బలహీనమైన
weakness	బలహీనము
granary	కంతువు
surgery	శస్త్రచికిత్స
treatment	చికిత్స
artery	ధమని
vessel	రక్తనాళము
cold	శీతలమైన
coldness	శీతలము
coldness	చల్లదనము
jewel	ఆభరణము
jewel	భూషణము
forgetfulness	మరుపు
forehead	నుదురు
forehead	లలాటము
thigh	తొడ
thighbone	తొడ ఎముక
skeleton	ఎముక
mandible	హనువు
Hanuman	హనుమంతుడు
temple	దేవాలయము
circle	గుడి
temple	కోవెల
magnet	అయస్కాంతము
magnetism	అయస్కాంతత్వము
wealth	భాగ్యము
wealth	ఐశ్వర్యము
ultraviolet ray	అతినీలలోహిత కిరణాలు
bioluminescence	జీవసందీప్తి
astrology	జ్యోతిషము
flame	జ్వాల
burning	జ్వలనము
blaze	మంట
price	ధర
tresses	ధమ్మిల్లము
dot	బిందువు
image	బింబము
beggar	బికారి
hole	బిలము
bael	బిల్వము
Vishnu	వైష్ణవము
Vaishnava	వైష్ణవుడు
Vaishya	వైశ్యుడు
Strombidae	శంఖము
doubt	శంక
opportunity	సమయము
puberty	సమర్త
combat	సమరము
Salagrama	సాలగ్రామము
mahout	మావటి
enclosure	ఆవరణము
yawn	ఆవలింత
yard	దొడ్డి
lip	అధరము
Asian elephant	ఆసియా ఏనుగు
ball	బంతి
bramble	కంప
muskrat	కంపెలుక
right	హక్కు
orbit	కక్ష్య
onion	గృంజనము
embrace	ఆలింగనము
thought	ఆలోచన
oar	తెడ్డు
scum	తెట్టు
gender	లింగము
bigness	లావు
desire	రతి
war	రణము
battlefield	రణరంగము
battlefield	యుద్ధరంగము
making	రచన
coition	మైథునము
thorn	కంటకము
fishbone	ముల్లు
fishbone	చేపముల్లు
corner	మూల
angle	కోణము
triangle	త్రికోణము
triangle	త్రిభుజము
silence	నిశ్శబ్దము
swoon	మూర్ఛ
stupidity	మూర్ఖత్వము
root	మూలము
root	మూలిక
March	మార్చి
April	ఏప్రిల్
June	జూన్
July	జూలై
mane	జూలు
ornament	శృంగారము
chaplet	శేఖరము
seer	శేరు
rest	శేషము
August	ఆగష్టు
September	సెప్టెంబర్
October	అక్టోబర్
November	నవంబర్
December	డిసెంబర్
wine	మధువు
milk	క్షీరము
wealth	లక్ష్మి
Parvati	పార్వతి
Kali	కాళి
art	కళ
lightning	రాధ
Devi	దేవి
Saraswati	సరస్వతి
Ganga	గంగ
Vasuki	వాసుకి
Shani	శని
Monday	సోమవారము
Tuesday	మంగళవారము
Wednesday	బుధవారము
Thursday	గురువారము
Friday	శుక్రవారము
name	పేరు
fold	పొర
roll over	పొరలు
surname	ఇంటిపేరు
Lakshmi	క్షీరాబ్ధితనయ
week	వారము
mango	మామిడి
mango	మామిడిపండు
mango	మామిడిచెట్టు
fruit	పండు
fruit juice	పండ్ల రసము
fruit	ఫలము
jackfruit	పనసపండు
jackfruit	పనసచెట్టు
pomegranate	దానిమ్మపండు
guava	జామపండు
guava	జామచెట్టు
guava	జామ
fruit tree	పండ్ల చెట్టు
chicken	కోడిమాంసం
banana	అరటిపండు
banana	అరటి
enemy	శత్రువు
gift	కానుక
present	బహుమతి
poison	విషము
reasoning	తర్కము
logic	తార్కికుడు
way	మార్గము
way	దారి
road	రహదారి
shape	ఆకారము
wood	కర్ర
dream	కల
daydream	పగటికల
spot	కళంకము
cultivator	కర్షకుడు
buzz	కలకలము
wood	కొయ్య
whip	కొరడా
scarcity	కొరత
lock	తాళము
painting	చిత్రము
garbage	చెత్త
painter	చిత్రకారుడు
torture	చిత్రహింస
cowardice	పిరికితనము
coward	పిరికివాడు
black pepper	మిరియము
long pepper	పిప్పలి
Bhagavad Gita	భగవద్గీత
Sun	భానుడు
Sunday	భానువారము
portion	భాగము
aid	సహాయము
assistant	సహాయుడు
patience	సహనము
feast	ఉత్సవము
service	కొలువు
coconut palm	కొబ్బరి
coconut milk	కొబ్బరి పాలు
coconut	కొబ్బరికాయ
coconut palm	కొబ్బరిచెట్టు
coconut crab	కొబ్బరి పీత
fat	కొవ్వు
acid	కొవ్వు ఆమ్లం
ligature	డు
heart	డెందము
hawk	డేగ
hawking	డేగాట
play	ఆట
sport	క్రీడ
obstacle	ఆటంకము
pomp	ఆడంబరము
frog	మండూకము
message	ఉదంతము
water	ఉదకము
crowbar	పలుగు
palanquin	పల్లకి
halter	పలుపు
pit	గుండము
dialect	జాతీయము
from the bottom of one's heart	గుండె లోతుల్లోంచి
button	గుండీ
button	బొత్తాము
old age	ముసలితనము
pestle	ముసలము
make fun of	ఆట పట్టించు
speed	వడి
slingshot	వడిసెల
basket	బుట్ట
atomic number	వెండి
silvery	రజతము
atomic number	సీసము
white	శ్వేతము
white	తెలుపు
breath	శ్వాసము
selling	విక్రయము
heroism	విక్రమము
screw pine	మొగలి
smallpox	మశూచి
eye for an eye, a tooth for a tooth	కంటికి కన్ను, పంటికి పన్ను
tax	పన్ను
cool	పన్నీరు
father	పప్ప
pulse	పప్పు
feast	పబ్బము
treatise	ప్రబంధము
awake	ప్రబుద్ధుడు
father	పితామహుడు
great-grandfather	ప్రపితామహుడు
grandson	పౌత్రుడు
son	పుత్రుడు
school	బడి
ash	బూడిద
foul language	బూతు
trick	బూటకము
speaking	వాక్కు
goddess	వాగ్దేవి
production	వ్యుత్పత్తి
expansion	వ్యాసము
grief	వ్యాసంగము
organism	జీవి
microorganism	సూక్ష్మజీవి
scissors	కత్తెర
sweet	మిఠాయి
date	ఖర్జూరము
grape	ద్రాక్ష
wine	ద్రాక్ష సారాయి
flower	సుమము
strike	సమ్మె
Datura	ఉమ్మెత్త
partnership	ఉమ్మడి
snake	ఉరగము
ram	పొట్టేలు
cosmetic	కుంకుమ
turmeric	పసుపు
Telugu	క్క
ligature	కు
Sapindus	కుంకుడు
brush	కుంచె
ruby	కెంపు
cultivation	కృషి
mare	ఆడగుర్రం
rose	గులాబి
tamarind	చింత
collection	సంఘము
purse	సంచి
post	అంచె
inch	అంగుళం
evils	అగచాట్లు
bay	అఖాతము
army	అక్షౌహిణి
all	అఖిలము
camel	ఒంటె
beauty	అంగు
woman	లతాంగి
stove	కుంపటి
stove	పొయ్యి
sky	అనంతం
omnipotence	అనంతశక్తి
sinlessness	అనఘము
authority	అనధికారము
maker	కర్త
cup	చెంబు
fruit	కాయ
cheek	చెక్కిలి
cold	చలి
Black Sea	నల్ల సముద్రము
Dead Sea	మృత సముద్రము
Red Sea	ఎర్ర సముద్రం
Mediterranean Sea	మధ్యధరా సముద్రము
Arcturus	స్వాతి
freedom	స్వాతంత్ర్యము
drinking	స్వాదనము
charge	స్వాధీనము
breast	స్తనము
breastmilk	స్తన్యము
slipping	స్ఖలనము
praise	స్తవము
praise	స్తుతి
hammer	సుత్తి
pillar	స్తంభము
Stopping	స్తంభనము
woman	సుదతి
son	సుతుడు
discus	సుదర్శనము
milk	సుధ
earth	సహ
raft	తెప్ప
sin	అఘము
earth	అచల
hill	అచలము
mother	అంబ
sky	అంబరము
arrow	అంపకోల
fire pot	అంబరీషము
eye	అంబకము
archer	విలుకాడు
alliteration	అనుప్రాసము
affinity	అనుబంధము
observance	అనుష్ఠానము
charioteer	సారధి
charioteer	అనూరుడు
zodiac	రాశి చక్రము
Aries	మేషరాశి
Taurus	వృషభరాశి
Gemini	మిథునరాశి
Cancer	కర్కాటకరాశి
Leo	సింహరాశి
Virgo	కన్యారాశి
Capricorn	మకరరాశి
Pisces	మీనరాశి
Scorpio	వృశ్చికరాశి
scorpion	వృశ్చికము
Aquarius	కుంభరాశి
pitcher	కుంభము
alphabet	అ
indweller	అంతర్యామి
river	అంతర్వాహిని
storey	అంతస్తు
ligature	రా
చ	చ్చ
Telugu	త్త
Telugu	న్న
Telugu	ప్ప
గ	గ్గ
Telugu	బ్బ
player	ఆడేవాడు
gambling	జూదము
pot	కుండ
mystery	రహస్యము
oleander	గన్నేరు
bougainvillea	కాగితంపువ్వు
hibiscus	మందారము
chrysanthemum	చామంతి
marigold	బంతిపువ్వు
temple	ఆలయము
delay	ఆలస్యము
talking	ఆలాపము
eight	అష్ట
discontent	అసంతుష్టి
butter	నవనీతము
prefix	నిశ్
sound	శబ్దము
cessation	నివృత్తి
pertaining	పంచ
five	అయిదు
రెండు	రెండవ
red	ఎరుపు
blue	నీలము
enemy	వైరి
yellow	పసుపురంగు
fast	పస్తు
Punjab	పాంచాలము
Pandavas	పాండవులు
cry	ఓల
bath	స్నానము
crane	కొంగ
patience	ఓర్పు
turtle	తాబేలు
turtle	కచ్ఛపము
learning	పాండిత్యము
conch	పాంచజన్యము
treadle	పాంకోడు
search	అన్వేషణము
prefix	అప-
injury	అపకారము
ghee	నెయ్యి
nectar	అమృతము
Milky Way	నక్షత్రవీధి
ichneumon	ముంగిస
humankind	నరులు
నరబలి	నర
human sacrifice	నరబలి
cannibal	నరభక్షకుడు
man	నరుడు
Arjuna	అర్జునుడు
style	నుడికారము
word	నుడి
అనేకము	పలు
several	అనేకము
అనేకము	అనేకమైన
downiness	నూగు
king	నృపతి
flummery	తిమ్మనము
pins and needles	తిమ్మిరి
rejection	తిరస్కారము
cowherd	గోపాలుడు
wheat	గోధుమ
letter	గో
scratch	గోకు
hemp	గోగు
caste	గోకులము
caste	కులము
toad	గోదురు కప్ప
arch	గోపురము
wheat flour	గోధుమపిండి
side	పక్షము
felicity	గోము
urine	గోమూత్రము
myna	గోరింక
nail	గోరు
moan	గోల
cowherd	గోవిందుడు
cowshed	గోష్ఠము
cowflesh	గోమాంసము
cowpox	గోమశూచకము
damsel	గౌరి
weight	గౌరవము
planet	గ్రహము
eclipse	గ్రహణము
lunar eclipse	చంద్ర గ్రహణము
solar eclipse	సూర్య గ్రహణము
villager	గ్రామస్థుడు
dog	గ్రామసింహము
village	గ్రామ్యము
mouthful	గ్రాసము
letter	చ
moonstone	చంద్రకాంతము
moonlight	చంద్రిక
Siva	చంద్రశేఖరుడు
half-moon	చంద్రవంక
ఉట్టిమీద వెన్న వుండగా, వూరెల్లా నేతికి దేవులాడనేల	వెన్న
emperor	చక్రవర్తి
Vishnu	చక్రి
empress	చక్రవర్తిని
eye	చక్షువు
seer	చటాకు
area	చతురము
chess	చదరంగము
Brahma	చతుర్ముఖుడు
quadruped	చతుష్పదము
yak	చమరము
foot	చరణము
history	చరిత్ర
history	చరిత
searching	చర్చ
skin	చర్మము
shoemaker	చర్మకారుడు
act	చర్య
burning	తాపము
tardiness	తామసము
copper	తామ్రము
confusion	తారుమారు
taluk	తాలూకా
building	కట్టడము
fragrance	పరిమళము
odour	తావి
food	తిండి
raga	రాగము
rope	తాడు
place	తావు
mad	తిక్క
bitter	చేదు
చేదు	చేదైన
sleep	కునుకు
face to face	ముఖాముఖి
chief	ముఖ్యము
garment	వలువ
expanse	విరివి
wild boar	అడవిపంది
porpoise	నీరుపంది
teacher	పంతులు
brilliancy	మిసిమి
jester	వికటకవి
treat	విందు
basin	మడుగు
whirl	సుడి
whirlwind	సుడిగాలి
introduction	పరిచయము
petticoat	పావడ
Earth	రోదసి
abnormal	రోగము
servant	లెంక
cheek	లెంప
slap	లెంపకాయ
moustache	మీసము
crocodile tears	మొసలి కన్నీళ్లు
number	లెక్క
weal	లెస్స
లేక	లే
letter	లేఖ
sour	పులుపు
acidity	పులుసు
stick	పుల్ల
పులుపు	పుల్లని
masculine	పుల్లింగము
masculine	పుంలింగము
lotus	పుష్కరము
rheum	పుసి
Pausha	పుష్యము
flower	పూ
petal	పూరేకు
worship	పూజ
time	పూట
full	పూర్ణము
fullness	పూర్తి
flower	పూవు
bow	పూవిల్లు
bead	పూస
potsherd	పెంకు
peg	గూటము
Proto-Dravidian	గుసగుస
handbreadth	బెత్తెడు
bark	బెరడు
anna	బేడ
dealing	బేరము
noun	నామవాచకము
pronoun	సర్వనామము
adjective	విశేషణము
action	క్రియ
no	లేదు
question	ప్రశ్న
interrogative	ప్రశ్నార్థకము
speech	ప్రసంగము
peace of mind	ప్రశాంతి
foreleg	ముంగాలు
forelocks	ముంగురులు
curl	కురులు
boil	కురుపు
pipkin	గరగ
anus	గుద్ద
proximity	సరస
joke	సరసము
consonant	సరళము
consonant	హల్లు
gladness	హర్షము
not	అయోనిజ
father	అయ్య
virgin	అక్షతయోని
pudendum	గొల్లి
feminine	స్త్రీలింగము
demigod	యక్షుడు
melody	యక్షగానము
neuter	నపుంసకలింగము
mirror	దర్పణము
glass door	అద్దాల తలుపు
invisibility	అదృశ్యత
fortune	అదృష్టము
rent	అద్దె
wonder	అద్భుతము
marvelous	అద్భుతమైన
hidden	గుప్తము
hide and seek	గుప్తకేళి
childbearing	జననము
mother	జనని
mother	జనయిత్రి
father	జనకుడు
great	విజయము
heterogenous	విజాతి
homogenous	సజాతి
year	విజయ
science	విజ్ఞానము
convulsiveness	విలవిల
label	విలాసము
dissolution	విలయము
good	మేలు
meeting	మేళనము
hill-country	మన్నెము
cloud	మబ్బు
affection	మమత
pleasure	ముదము
castor oil	ఆముదము
affix	ప్రత్యయము
opponent	ప్రత్యర్థి
pronunciation	ఉచ్చారణ
proper	ఉచితము
prefix	దుః
prefix	అను-
body	కాయము
lustful	కాముకుడు
harlot	దారిక
whore	లంజ
whoremonger	లంజెకాడు
whoredom	లంజరికము
bribe	లంచము
neem	వేప
species	జాతి
gooseberry	ఉసిరి
sun	రవి
Sunday	రవివారము
anchor	లంగరు
leaping	లంఘనము
plait	అల్లు
snail	నత్త
shell	నత్తగుల్ల
middle	నడుము
seat	ఆసనము
Krishna	కృష్ణానది
yoga	యోగా
junction	యోగము
devotee	యోగి
mendicant	యోగిని
welfare	యోగక్షేమము
genitive case	యొక్క
assemblage	యూధము
year	యువ
prince	యువరాజు
princess	యువరాణి
barley	బార్లీ
barley water	బార్లీ నీరు
teak	టేకు
teak	టేకు చెట్టు
teakwood	టేకు కలప
timber	కలప
Asvayuja	విజయదశమి
pillar	విజయస్తంభము
sentinel	అంగజాల
hush	జోజో
god	జేజే
middle finger	మధ్యమ
middle	మధ్య
noon	మధ్యాహ్నము
Sun	ఆదిత్యుడు
Sunday	ఆదిత్యవారము
Sunday	తొలివారము
Tuesday	జయవారము
Tuesday	అంగారకవారము
Thursday	లక్ష్మీవారము
Thursday	బృహస్పతివారము
Saturday	స్థిరవారము
second person	మధ్యమ పురుషము
arbitrator	మధ్యవర్తి
we	మేము
request	మనవి
cognition	మనసు
literature	మనోరంజని
grandson	మనుమడు
granddaughter	మనుమరాలు
verse	మనువు
Manu	మన్వంతరము
vowel	ఎ
mirage	ఎండమావి
crab	ఎండ్రకాయ
Europe	ఐరోపా
Lakshmi	శ్రీ
శ్రీ	శ్రీకారము
Vishnu	శ్రీపతి
Kurnool	శ్రీశైలము
and so forth	వగైరా
speech	వచనము
singular	ఏకవచనము
plural	బహువచనము
dual	ద్వివచనము
slate	పలక
vowel	ఏ
sandalwood	శ్రీగంధము
Shiva	శ్రీకంఠుడు
bael	శ్రీఫలము
best	శ్రేష్ఠము
hip	శ్రోణి
virtue	శ్రేయము
ear	శ్రుతి
mountain	శైలము
infancy	శైశవము
alga	శైవలము
gleet	రసి
flag	పడగ
threshold	గడప
Kenya	కెన్యా
Zambia	జాంబియా
Namibia	నమీబియా
convinced	నమ్మిన
reliance	నమ్మిక
affused	కమ్మిన
hail	నమః
salutation	నమస్కారము
specimen	నమూనా
eye	నయనము
trust	నమ్మకము
trust	నమ్మకమైన
eminent	రాజ
king	రాజు
kshatriya	రాజర్షి
capital city	రాజధాని
రాజయోగము	రాజయోగి
rule	రాజ్యము
insincerity	కపటము
hypocrite	కపటి
spirt	గుమ్మ
gourd	గుమ్మడి
lantern	గుమ్మటము
ligature	పో
lump	ముద్ద
integument	పొత్తి
abdomen	పొత్తికడుపు
partnership	పొత్తు
kiss	చుంబనము
nipple	చూచుకము
letter	చె
agility	చెంగు
శ్రీ	తిరు
city	నగరము
Andhra Pradesh	తిరుపతి
another	అపరము
midnight	అపరాత్రి
night	రాత్రి
infinite	అపరిమితము
