eagle	aquila
research	recerca
research	recercar
cat	catto
word	vocabulo
enigma de parolas cruciate	enigma de parolas cruciate
it	illo
week	septimana
month	mense
chronology	chronologia
kitten	catton
pastime	passatempore
verb	verbo
adverb	adverbio
twenty	vinti
evening	vespere
wasp's nest	vespiario
vespertine	vespertin
bat	vespertilion
Dane	danese
deride	derider
decide	decider
thigh	femore
neoplasm	neoplasma
impossible	impossibile
vigil	vigilia
internal	interne
indispensable	indispensabile
forty	quaranta
museum	museo
Turkish	turc
meeting	incontro
decade	decennio
decadent	decadente
dean	decano
decent	decente
Russian	russo
metal	metallo
chair	sedia
shoe	scarpa
politics	politica
sin	peccato
sword	gladio
head	capite
behavior	comportamento
different	differente
possible	possibile
noble	nobile
edit	editar
deficient	deficiente
side	latere
juice	succo
cup	tassa
organism	organismo
long	longe
attempt	tentativa
puerile	pueril
delirious	delirante
parrot	papagai
smallest	minime
disorder	disordine
what	qual
low	basse
interest	interesse
thick	spisse
demon	demone
visible	visibile
vinegar	vinagre
talent	talento
habit	habitude
nitrogen	nitrogeno
European	europee
accessible	accessibile
Indian	indiano
influential	influente
quiet	quiete
irony	ironia
exist	exister
asexual reproduction	agamogenesis
acorn	glande
drummer	batterista
naturally	naturalmente
deacon	diacono
diameter	diametro
add up	summar
token	dischetto
last	ultime
mathematics	mathematica
mammoth	mammut
strongly	fortemente
your	vostre
some	alcun
despite	malgrado
butcher	macello
clear	clar
dark	obscur
girl	puera
necessary	necessari
how many	quante
be able to	poter
eat	mangiar
distinguish	distinguer
all	omne
sheep	ove
dominant	dominante
doubt	dubita
previously	anteriormente
city	citate
tent	tenta
template	patrono
tenth	decime
binary	binari
disease	morbo
forest	foreste
parameter	parametro
Turkey	Turchia
male cousin	cosino
acid	acide
bland	blande
prudent	caute
empty	disoccupate
heavily	pesantemente
famous	famose
fatuous	fatue
fat	grasse
sick	morbide
numerous	numerose
pallid	pallide
fortieth	quarantesime
aetiology	etiologia
monotony	monotonia
change	cambiamento
fossil	fossile
scythe	falce
thirtieth	trentesime
magazine	magazin
prestigious	prestigiose
arrange	disponer
complicated	complexe
nomad	nomade
gimmick	trucco
describe	describer
fortuitous	fortuite
practice	practicar
empty	vacue
especially	specialmente
aerial	aeree
mask	mascar
beverage	bibita
attempt	tentar
costly	costose
silvery	argentee
embezzler	peculator
offense	delicto
mouth	bucca
thought	pensata
lesson	lection
diligent	diligente
pungent	pungente
German	germano
guitar	guitarra
chew	masticar
suggest	proponer
nutriment	nutrimento
happy-go-lucky	disinvolte
little	parve
swan	cygno
philosopher	philosopho
discovery	discoperta
improvement	melioration
border	frontiera
Norman	normanno
patriot	patriota
Norman	normanne
wheat	frumento
frequently	frequentemente
seasonal	saisonal
man	homine
reverend	reverendo
dynasty	dynastia
charity	caritate
fir	abiete
virility	virilitate
speak	parlar
strategy	strategia
guarantee	garantir
air	aere
donor	donator
farce	farsa
furious	furiose
-ity	-itate
lioness	leonessa
livid	livide
lottery	lotteria
mosque	moschea
mineralogy	mineralogia
succeed	succeder
this	isto
salve	unguento
vulnerable	vulnerabile
fun	amusante
antibiotic	antibiotico
example	exemplo
barbarous	barbare
galaxy	galaxia
Scottish	scotic
forge	forgia
Moscow	Moscova
republic	republica
granite	granito
raise	levar
Gnosticism	gnosticismo
originating	originari
glossary	glossario
authority	autoritate
locality	localitate
majority	majoritate
minority	minoritate
quartet	quartetto
squid	calamar
occult	occulte
distillery	distilleria
transitory	transitori
decrease	diminuer
vigilance	vigilantia
carpet	tapete
afterwards	depois
Zionist	sionista
stupidity	stupiditate
moderation	temperamento
voluble	volubile
fall	cader
believe	creder
dissident	dissidente
sleeper	dormiente
muddy	fangose
subject	thema
quintet	quintetto
obelisk	obelisco
resound	resonar
cold	frigido
cold	frigide
spoon	coclear
mitigate	mitigar
criticize	criticar
pteroylglutamic	folic
smuggle	contrabandar
philosophy	philosophia
unusual	inusual
pedagogy	pedagogia
Athens	Athenas
cough	tusse
difference	differentia
different	distincte
recidivism	recidiva
church	ecclesia
wife	marita
dislocate	dislocar
ligament	ligamento
suck	suger
any	ulle
amuse	diverter
linguist	linguista
epicentre	epicentro
virtue	virtute
streptococcus	streptococco
asbestos	asbesto
divergent	divergente
massacre	massacrar
elephant	elephante
introduce	introducer
son	filio
August	augusto
yeast	levatura
mobility	mobilitate
abundance	abundantia
sinful	peccaminose
gold	auro
March	martio
morning	matino
respect	respectar
ear	aure
snake	angue
lucid	lucide
pioneer	pionero
manufacturer	fabricante
tuck	mitter
outside of	foras
new moon	novilunio
deserve	meritar
very	multo
paper	papiro
nobility	nobilitate
grandfather	granpatre
lake	laco
hello	bon die
touchable	palpabile
monthly	mensual
glow	caler
innumerable	innumerabile
useless	inusabile
brother	fratre
substitute	suppler
execute	executar
medically	medicalmente
snail	limace
pelican	pelicano
spider	aranea
morphological	morphologic
stability	stabilitate
frighten	terrer
mother	matre
vivid	vivide
surrealism	surrealismo
Wednesday	mercuridi
Thursday	jovedi
Friday	venerdi
repeat	repeter
scientist	scientista
subvert	subverter
listen to	ascoltar
dust	pulvere
pulmonary	pulmonar
they	illos
preacher	predicator
century	seculo
rich	ric
poor	povre
poverty	povressa
wealth	richessa
enrich	inrichir
impoverish	impovrir
lukewarm	tepide
urinary	urinari
direct	directe
dictation	dictato
say	dicer
sulfate	sulfato
element	complexo
comb	pectine
vagotomy	vagotomia
embolism	embolismo
following	sequente
Finland	Finlandia
seed	semine
hemoglobin	hemoglobina
study	studiar
boy	puero
abject	abjecte
coffee	caffe
lobster	homaro
arrival	advento
jazz	jazo
migrate	migrar
pugilist	pugilista
temptation	tentation
nurse	infirmera
roof	tecto
they	illes
father	patre
also	anque
informer	delator
play	jocar
black	nigre
write	scriber
armchair	confortabile
into	a in
breakfast	jentaculo
red	rubie
yellow	jalne
hear	audir
open	aperir
clock	horologio
because	proque
point	puncto
necessary	necesse
fetish	fetiche
freeze	gelar
accustom	habituar
-ess	-essa
love	amor
old	ancian
December	decembre
democracy	democratia
Polish	polonese
scrape	frottis
walk	promenada
palace	palatio
glacier	glaciero
same	mesme
athlete	athleta
database	base de datos
foggy	brumose
gland	glandula
doubtful	dubitose
lung	pulmon
structure	structura
virgin	virgine
picture	pictura
language	linguage
there	illac
full	plen
conclude	concluder
belief	credentia
physically	physicamente
physique	physico
present	actualitate
rascal	picaro
host	hospitero
adorably	adorabilemente
writing	scriptura
wisdom	sagessa
even if	anque si
Egypt	Egypto
warm	calide
chiromancy	chiromantia
miss	regrettar
regrettable	regrettabile
founder	fundator
written	scripte
blood	sanguinee
autumn	autumno
pleurisy	pleuritis
require	requirer
bed	lecto
teach	inseniar
furnish	fornir
fluency	fluentia
growth	crescentia
nod	nutar
multiplier	multiplicator
violence	violentia
tablet	tabletta
efficiency	efficientia
vanity	vanitate
trip	viage
-ty	-tate
despite	despecto
differ	differer
disappear	disparer
enough	assatis
sinner	peccator
thinker	pensator
sock	calcea
lawyer	advocato
appear	apparer
mad	furer
intensity	intensitate
vendor	venditor
stretcher	tenditor
weaver	texitor
biggest	maxime
system	systema
bull	tauro
hymn	hymno
throne	throno
testicle	testiculo
dolphin	delphino
hair	capillo
cheese	caseo
newlywed	sponso
ash	fraxino
rhinoceros	rhinocerote
sulfur	sulfure
bark	cortice
difficulty	difficultate
community	communitate
suavity	suavitate
talkativeness	loquacitate
novelty	novitate
goodness	bonitate
deity	deitate
divinity	divinitate
durability	durabilitate
liver	hepate
light	lumine
breast	pectore
cognomen	cognomine
pronoun	pronomine
third	tertie
February	februario
scelerat	scelerato
mathematician	mathematico
liver	ficato
oracle	oraculo
strength	fortia
oxygen	oxygeno
decency	decentia
deference	deferentia
fragrance	fragrantia
reticence	reticentia
night	nocte
ice	glacie
close	proxime
dignity	dignitate
quality	qualitate
ever	unquam
falsehood	falsitate
alcoholic	alcoholico
relegate	relegar
orthography	orthographia
England	Anglaterra
forget	oblidar
vacation	vacantia
defunct	defuncte
drill	forator
plug	tappar
butterfly	papilion
right	derecto
familiarity	familiaritate
frequency	frequentia
fruitful	fructuose
reign	regnar
liberality	liberalitate
objective	objectivo
flea	pulice
severity	severitate
subsistence	subsistentia
turbid	turbide
old	vetere
vicinity	vicinitate
knowledge	cognoscentia
ravenous	devorante
fur coat	pellicia
arm	brachio
conference	conferentia
deficiency	deficientia
virginity	virginitate
sincere	sincer
dominance	dominantia
mountain	montania
river	fluvio
fat	grassia
fruit	fructo
throw	jectar
float	flottar
lie	jacer
walk	ambular
walk	promenar se
scratch	grattar
some	alicun
little	pauc
spit	sputar
blow	sufflar
smell	olfacer
struggle	luctar
hunt	chassar
hit	colpar
rub	fricar
dry	essugar
swell	tumer
nudity	nuditate
hereditary	hereditari
guess	divinar
stop	stoppar
have lunch	lunchar
derelict	derelicte
starving	famelic
terrace	terrassa
puberty	pubertate
resent	resentir
vulnerability	vulnerabilitate
butter	butyro
madman	phrenetico
possibility	possibilitate
state	statal
ventricle	ventriculo
delinquency	delinquentia
sterility	sterilitate
bold	hardir
visibility	visibilitate
smoker	fumator
weasel	mustela
trowel	trulla
grandmother	granmatre
shop	boteca
journalist	jornalista
ten	dece
only	solmente
some	qualque
awaken	eveliar
have breakfast	jentar
was	esseva
will be	essera
envelope	inveloppe
show	monstrar
receive	reciper
send	inviar
be glad	gauder
begin	comenciar
whistle	sibilar
smile	surrider
glad	gaudiose
hope	sperar
welcome	benvenite
resect	resecar
beginner	comenciante
Great Britain	Grande Britannia
square kilometer	kilometro quadrate
kilometros quadrate	kilometros quadrate
whose	cuje
interrupt	interrumper
plan	projectar
fill	plenar
dream	soniar
marvellous	meraviliose
quickly	rapidemente
ever	jammais
more well	melio
shout	critar
look	reguardar
need	besoniar
noon	mediedie
longevity	longevitate
even though	mesmo si
purity	puritate
illuminate	illuminar
mix	miscer
let	lassar
remember	memorar
sail	navigar
atmosphere	atmosphera
English	anglese
Portuguese	portugese
Romance	romanic
connected	connexe
mortality	mortalitate
responsibility	responsabilitate
vileness	vilitate
abject	abjecto
reread	releger
alphabet	alphabeto
that is	isto es
teacher	inseniator
daily	quotidianmente
group	insimul
young	juvene
coin	numisma
subsidence	subsidentia
disparity	disparitate
dexterity	dexteritate
pharynx	pharynge
vitality	vitalitate
blackness	nigritia
smile	surriso
learn	apprender
work	travalio
imaginary	imaginari
be born	nascer
development	disveloppamento
perceive	perciper
establish	stabilir
level	nivello
nevertheless	nonobstante
attain	attinger
easily	facilemente
result	resultato
desire	desirar
need	besonio
borrow	imprestar
whatever	qualcunque
also	tamben
close	clauder
twentieth	vintesime
still	totevia
discover	discoperir
isolate	isolar
depict	depinger
capable	capabile
develop	disveloppar
effort	effortio
predict	predicer
government	governamental
American	statounitese
literary	litterari
user	usator
planner	planator
both	ambe
Low Countries	Paises Basse
namely	a saper
cover	coperir
otherwise	alteremente
diphthong	diphthongo
suffix	suffixo
follow	sequer
turtle	tortuca
beginning	comenciamento
behind	detra
keyboardist	clavierista
South Africa	Africa del Sud
sin	peccar
vivacity	vivacitate
tattoo	tatuar
probably	probabilemente
jurisprudence	jurisprudentia
marry	maritar
AD	E.C.
advance	avantiar
survive	superviver
undoubtedly	indubitabilemente
gain	ganiar
lump	massar
surgical	chirurgic
farmer	fermero
fortunately	fortunatemente
influence	influentiar
inquiry	inquesta
soot	fuligine
demolish	demolir
smutty	fuliginose
dusty	pulverulente
satisfactory	satisfactori
voluntary	voluntari
Scottish	scote
necktie	cravata
woody	lignose
tile	tegular
weave	texer
orthogonality	orthogonalitate
subgroup	racia
mention	mentionar
check	chaco
soften	mollir
pivot	pivote
sextet	sextetto
improve	meliorar
rivet	rivete
deduce	deducer
smith	ferrero
fritter	fritura
hush	tacer
cork	corco
cortisone	cortisona
tweet	twitterar
-ar	-isar
decode	decifrar
laboratory	laboratorial
addict	narcomano
relapse	recadita
relapse	recader
goodwill	bon voler
shallow	pauco profunde
that	aquelle
grandson	granfilio
granddaughter	granfilia
pimply	pustulose
thrush	turdo
secondary	secundari
phenomenon	phenomeno
cunt	cunno
librarian	bibliothecario
dissent	dissentir
amenity	amenitate
arrange	arrangiar
destroy	destruer
paginate	paginar
spinach	spinacia
Switzerland	Suissa
flame	flammar
January	januario
discontinue	discontinuar
meow	miaular
woodwork	lignage
pygmy	pygmeo
drug	pharmaco
dietary	dietari
ball	coleone
bravery	coleones
fuck	futuer
fuck you	futue te
tamponade	tamponage
more and more	de plus in plus
turbidity	turbiditate
homine de affaires	homine de affaires
transgender	transgenere
stimulate	stimular
foam	scuma
sympathetic	sympathic
kill	occider
know	cognoscer
company	compania
histologically	histologicamente
hospital	hospitalari
accuracy	accuratia
measurable	mesurabile
establish	establimento
sugar	sucro
uncommon	incommun
deoxyribonucleic acid	acido deoxyribonucleic
amino acid	amino-acido
hyperparathyroidism	hyperparathyroidismo
bleeding	sanguination
hydrogen peroxide	peroxydo de hydrogeno
guinea pig	porco de India
X-ray image	roentgenogramma
chromatography	chromatographia
partially	partialmente
polymorphonuclear	polymorphonucleari
Hippocratic	hippocratic
army	armea
shortage	insufficientia
repaint	repinger
disguise	disguisar
disguise	disguisamento
overall	supertoto
small	micre
Egyptian	egyptiano
Egyptian	egyptio
microphone	microphono
install	installar
happen	evenir
softly	in voce basse
low tide	marea basse
bottle	bottilia
cheap	incostose
joke	joculo
legendary	legendari
Jew	judeo
requirement	requirimento
chickpea	cice
cover	coperculo
frivolity	frivolitate
Czech	chec
teaching	inseniamento
thanks to	gratias a
stammer	blesar
