or	o
mononym	Pualani
mononym	Kekoa
mononym	Nakoa
mononym	Koa
mononym	Ikaika
mononym	Nāinoa
mononym	Kealiʻi
mononym	Keliʻi
god	Kū
mononym	Lono
kawa	Kanaloa
Pelea	Pele
moon	Hina
Pele	Hiʻiaka
navigator	Kahaʻi
goddess	Laka
Kauai	Kawelo
chief	Keawe
goddess	Lilinoe
mononym	Kapiʻolani
Felix	Hauʻoli
mononym	Uʻilani
mononym	Kauʻilani
mononym	Kawai
mononym	Keahi
mononym	Keonaona
mononym	Nohea
full moon	Māhealani
mononym	Kaimana
diamond	kaimana
mononym	Kainalu
land	Keʻalohilani
land	ʻAlohilani
Maile	Kahalaomāpuana
Maui	Piʻilani
Maui	Piʻikea
mononym	Ululani
star	Pauahi
mononym	Mokihana
island	Lehua
mononym	Melia
mononym	Kalena
mononym	Mahina
mononym	Naiʻa
star	Keola
Kānoa	Kanoa
mononym	Anuhea
star	Kamalei
mononym	Nanea
ʻAlika	Alika
Kapena	Kāpena
mononym	Moana
mononym	Kapono
mononym	Keao
Keala	Keʻala
Keʻala	Keala
David	Dāvida
John	Ioane
mononym	Malaea
Martha	Maleka
Martha	Mareta
Ruth	Ruta
Samuel	Samuela
Waimea	Kamuela
Daniel	Kaniela
Kala	Kalā
mononym	Keoki
mononym	Lopaka
Stephen	Setepano
mononym	Kepano
James	Iakobo
Kimo	Iakopo
nickname	Kimo
Jacob	Iakoba
mononym	Iakopa
Joseph	Iosepa
mononym	Iokepa
mononym	Lahapa
Rahab	Rahaba
Milcah	Mileka
mononym	Kapeka
mononym	Loke
mononym	Lokalia
Mark	Mareko
Matthew	Mataio
Moses	Moke
Peter	Petero
mononym	Pekelo
Philip	Pilipo
Thomas	Toma
mononym	Kamaki
Solomon	Solomona
mononym	Kolomona
mononym	Kimokeo
Zachariah	Zakaria
mononym	Kakalia
Elijah	ʻElia
mononym	ʻEwa
Adam	ʻAdamu
mononym	ʻAkamu
Enoch	ʻEnoka
Michal	Mikala
district	Hanalei
mononym	ʻAkoni
mononym	Wiliama
William	Pila
Anna	ʻAna
Hawaii	Waiola
grandparent	kupuna
bottle gourd	ipu
Miriam	Miriama
mononym	Miliama
Esther	ʻEsetera
mononym	ʻEkekela
Andrew	ʻAnederea
mononym	ʻAnalū
mononym	ʻAnekelea
Kūlia	Kulia
mononym	Kaliko
mononym	Kawehi
mononym	Kaʻohu
Kalai	Kalaʻi
mononym	Keona
mononym	Keone
mononym	Nāpua
mononym	Pōmaikaʻi
mononym	Lanakila
breeze	Kēhau
mononym	Kaulana
mononym	Moani
Lydia	Ludia
mononym	Lukia
chiefess	Luʻukia
suicide	Kāwelu
goddess	Nāmaka
mononym	Lepeka
mononym	Lāhela
Mauna Kea	Poliʻahu
mononym	Kūaliʻi
Oahu	Mililani
Kalani	Kailani
mononym	Kaʻimi
mononym	Meleana
mononym	Haliaka
mononym	Maka
mononym	Laʻakea
Pele	Kaʻena
cook	kālua
given name	ʻŌpūnui
given name	Māhoe
given name	Kaʻanāʻanā
demigod	Kauhi
mononym	Kila
trickster god	Māui
Silas	Sila
mononym	Uilama
mononym	Wilama
mononym	Pika
Elizabeth	ʻElisabeta
Kapeka	ʻElikapeka
mononym	Luika
mononym	ʻAlika
Tabitha	Tabita
mononym	Kapika
mononym	Kepola
mononym	ʻAne
Kaliʻa	Kalia
mononym	Kaila
mononym	Makanui
mononym	Maikaʻi
mononym	Nāwai
mononym	Mere
mononym	Kaʻaukai
mononym	ʻAukai
mononym	Kamahiʻai
mononym	Mahiʻai
surfing	Kalehua
cliff	Nuʻuanu
left	hema
cliff	Kuilei
mononym	Alapaʻi
King	Kini
mononym	Kamala
high tide	kainui
frangipani	melia
gardenia	kiele
mononym	Kiele
mononym	Kaʻuhane
mononym	Kameāloha
mononym	Kealani
channel	Kaiwi
mononym	Kahele
gulch	Kahananui
Kauai	Kapule
lecherous demigod	Kamapuaʻa
mononym	Kimona
Matthias	Matia
mononym	Makia
mononym	Palakiko
mononym	Halaki
Abraham	ʻAberahama
Abel	ʻAbela
Eleazar	ʻEleazara
Lazarus	Lazaro
Phinehas	Pinehasa
Ezra	ʻEzera
Tryphena	Terupaina
Zipporah	Zipora
Dorcas	Doreka
Lois	Loisa
Lot	Lota
Priscilla	Perisekila
mononym	ʻApela
mononym	ʻApelahama
mononym	ʻEleakala
mononym	Lakalo
mononym	Pinehaka
Ezra	ʻEkela
mononym	Loika
mononym	Kelupaina
mononym	Kipola
mononym	Pelekila
mononym	Koleka
Koleka	Kōleka
mononym	Kilikina
mononym	Kikilia
mononym	Kopaea
mononym	Keleka
mononym	Kelekia
mononym	Makaleka
mononym	Makalika
mononym	Lulia
mononym	Palapala
mononym	Kealalaina
mononym	Kalalaina
mononym	Kalolaina
mononym	Kakalina
gasoline	kakalina
mononym	ʻEmelia
mononym	ʻEmalia
mononym	ʻEmelē
mononym	ʻEma
mononym	ʻElena
Mahlon	Mahelona
Benjamin	Beniamina
Hiram	Hirama
Asher	ʻAsera
Asher	ʻAkela
Benjamin	Peniʻamina
mononym	Hailama
mononym	Kelekolio
mononym	Lewi
Gabriel	Gaberiela
Isaac	Isaʻaka
Nehemiah	Nehemia
mononym	Malaki
mononym	Hekekia
Hezekiah	Hezekia
mononym	Kapeliela
mononym	ʻĀʻālona
mononym	ʻIkaʻaka
Joel	Ioʻela
mononym	ʻApikaʻila
mononym	Kukana
mononym	Kilia
mononym	ʻAikake
mononym	ʻAkeneki
Lot	Loka
valley	Kolokea
Kalaʻi	Kalai
January	Ianuali
February	Pepeluali
July	Iulai
April	ʻApelila
September	Kepakemapa
October	ʻOkakopa
November	Nowemapa
June	Iune
August	ʻAukake
smoke	uahi
frog	poloka
road	alanui
lizard	moʻo
salvation	hoʻōla
Estonia	ʻEsetonia
Kalia	Kaliʻa
release	noa
open	wehe
amen	ʻamene
reef triggerfish	humuhumunukunukuāpuaʻa
silicon	silikone
born	kamaʻāina
scratch	kaha
torch	kukui
suck	omo
cultivate	mahi
mat	moena
breast	ū
payment	uku
atheism	hōʻole akua
meal	pāʻina
triggerfish	humuhumu
we	māua
braid	hili
Rhea	Rea
language	ʻōlelo
macron	kahakō
aloha awakea	aloha awakea
aloha ʻauinalā	aloha ʻauinalā
aloha ahiahi	aloha ahiahi
I'm fine	maikaʻi au
I'm tired	māluhiluhi au
I'm sick	ʻōmaʻimaʻi au
I'm hungry	pōloli au
I'm thirsty	makewai au
what is your name	ʻo wai kou inoa
ʻo	ʻo ... koʻu inoa
want	makemake
you	ʻoe
Oahu	Oʻahu
he	ʻo ia
that	kēlā
competence	mākaukau
steward	kuene
quick	ʻāwīwī
student	haumāna
this	kēia
cold	huʻihuʻi
race	lāhui
salt	paʻakai
and	a me
onion	ʻakaʻakai
delicious	ʻono
moon	malama
crazy	pupule
spray	ʻehu
how	pehea
tooth	niho
eel	puhi
seat	noho
place	henua
lots of love	aloha nui loa
thought	manaʻo
handle	ʻau
hate	ʻino
we	kāua
we	kākou
we	mākou
you	ʻolua
you	ʻoukou
they	lāua
they	lākou
bamboo	ʻohe
Zingiber zerumbet	ʻawapuhi
starfish	hōkū kai
Sunday	Lāpule
Monday	Pōʻakahi
Tuesday	Pōʻalua
Wednesday	Pōʻakolu
Thursday	Pōʻahā
Friday	Pōʻalima
Saturday	Pōʻaono
not	ʻole
chief	aliʻi
Araceae	ʻape
breadfruit	ʻulu
octopus	heʻe
pig	puaʻa
paper mulberry	wauke
turmeric	ʻōlena
gourd	pōhue
pandanus	hīnano
shark	manō
my	koʻu
my	kaʻu
your	kāu
my	kuʻu
his	kāna
but	akā
foster	hānai
ghost	lapu
root	aʻa
solid	paʻa
people	poʻe
custom	maʻa
yes	ʻē
no	ʻaʻole
one	ʻekahi
two	ʻelua
three	ʻekolu
four	ʻehā
five	ʻelima
six	ʻeono
seven	ʻehiku
eight	ʻewalu
nine	ʻeiwa
mine	aʻu
yours	āu
my	oʻu
his	āna
mine	naʻu
yours	nāu
mine	noʻu
for	nāna
nominative	ʻo
species	aeʻo
species	kukuluaeʻo
male	kāne
mother	makuahine
father	makua kāne
animal	holoholona
boy	keiki kāne
girl	kaikamahine
knowledge	ʻike
nene	nēnē
Lanai	Lānaʻi
Molokai	Molokaʻi
Niihau	Niʻihau
Kauai	Kauaʻi
offense	ʻōfeni
writing	kākau
me	iaʻu
listen	hoʻolohe
number	helu
thought	noʻonoʻo
head	poʻo
leg	wāwae
neck	ʻāʻī
finger	manamana
stomach	ʻōpū
guts	naʻau
lung	akemāmā
shoulder	poʻohiwi
cheek	pāpālina
hair	lauoho
skin	ʻili
tree	lāʻau
forest	ulu lāʻau
tree	kumulāʻau
bark	ʻili lāʻau
car	kaʻa
travel inland	piʻi
hard	paʻakīkī
anger	huhū
trouble	pilikia
weight	kaumaha
correct	pololei
cat	pōpoki
rat	ʻiole
right	ʻākau
east	hikina
west	komohana
understand	maopopo
understand	hoʻomaopopo
old woman	luahine
old man	ʻelemakule
grandma	tūtū
little	liʻiliʻi
press on	lomi
senator	kenekoa
dangerous	he niho
explain	wehewehe
fly	nalo
gnat	pōnalo
cross	peʻa
how many	ʻehia
none	ʻaʻohe
fire	ʻā
saying	ʻī
pin	ʻō
grief	ʻū
destructive insect	mū
grunt	nū
famine	wī
sugar	kōpaʻa
happiness	hauʻoli
sleep	hiamoe
clever	noʻeau
land	ʻāina
meal	ʻaina
lunch	ʻaina awakea
dinner	ʻaina ahiahi
baby	pēpē
uncle	ʻanakala
aunt	ʻanakē
illness	maʻi
excrement	kūkae
breath	hanu
all	a pau
or	a i ʻole
that	kēnā
desire	ʻanoʻi
letter	hua palapala
document	palapala
word	hua ʻōlelo
yesterday	nehinei
faith	manaʻoʻiʻo
hope	manaʻolana
wave	nalu
dollar	kālā
mountain	kuahiwi
soul	ʻuhane
desire	ʻiʻini
pain	ʻeha
wind	makani
owl	pueo
stone	pōhaku
shortness	pōkole
ant	naonao
youth	uʻi
bee	nalo meli
humpback whale	koholā
away	akula
indeed	hoʻi
swim	ʻauʻau
instruction	aʻo
barter	kūʻai
passion fruit	lilikoʻi
patio	lānai
bat	ʻōpeʻapeʻa
gift	makana
peace	maluhia
fear	makaʻu
return	hoʻihoʻi
first time	ʻakahi
two	ʻalua
three	ʻakolu
four	ʻahā
five	ʻalima
six	ʻaono
seven	ʻahiku
eight	ʻawalu
nine	ʻaiwa
eleven	ʻumikūmākahi
twelve	ʻumikūmālua
thirteen	ʻumikūmākolu
fourteen	ʻumikūmāhā
fifteen	ʻumikūmālima
sixteen	ʻumikūmāono
seventeen	ʻumikūmāhiku
eighteen	ʻumikūmāwalu
nineteen	ʻumikūmāiwa
twenty	iwakālua
thirty	kanakolu
forty	kanahā
fifty	kanalima
sixty	kanaono
seventy	kanahiku
eighty	kanawalu
ninety	kanaiwa
hundred	haneli
thousand	kaukani
thousand	tausani
hundred	haneri
million	miliona
vanity	lapuwale
lost	nalowale
question	nīnau
precious	makamae
kind	ʻano
laundry	holoi
birth	hānau
Asia	ʻĀkia
Europe	ʻEulopa
America	ʻAmelika
North America	ʻAmelika ʻĀkau
South America	ʻAmelika Hema
Africa	ʻApelika
United States of America	ʻAmelika Hui
Russian	Lūkia
Indian	ʻĪnia
Japanese	Iāpana
Philippines	ʻĀina Pilipino
England	ʻEnelani
Korea	Kōlea
South Korea	Kōlea Hema
North Korea	Kōlea ʻĀkau
Vietnamese	Wiekanama
Icelandic	ʻĀina Hau
Germany	Kelemānia
Spanish	Sepania
Finn	Pinilana
Swede	Kuekene
Dane	Kenemaka
Norwegian	Nolewai
Dutch	Hōlani
Poland	Pōlani
Irishman	ʻIlelani
Scotland	Kekokia
Switzerland	Kuikilani
Hungarian	Hunakalia
Turk	Kuleke
Belgian	Pelekiuma
Persia	Pelekia
Iranian	ʻIlana
Thailand	Tailani
Parisian	Palika
Portuguese	Pokukala
Italy	ʻĪkālia
Indonesian	ʻInidonesia
Pakistani	Pakitana
Bangladeshi	Banagaladesa
Mexican	Mekiko
Canadian	Kanakā
Iraqi	ʻIlaka
Egyptian	ʻAikupika
Ethiopia	ʻAikiopa
South Africa	ʻApelika Hema
Nigerian	Naigeria
Brazilian	Palakila
Argentinian	ʻAlekina
North Pole	Wēlau ʻĀkau
South Pole	Wēlau Hema
Austrian	ʻAukekulia
Romania	Romānia
Bulgarian	Pulukalia
Slovak	Solowakia
Latvian	Lakawia
Georgian	Keokia
Colombian	Kolomepia
Puerto Rico	Pokoliko
New Zealand	Nukilani
Tahiti	Kahiki
Samoa	Kāmoa
Laysan	Kauō
Midway Islands	Pihemanu
king	mōʻī
nation	aupuni
lightning	uila
grant	hāʻawi
lesson	haʻawina
care	mālama
clarity	mālamalama
downward	ihola
native Hawaiian tree	aʻe
upward	aʻela
self	ponoʻī
physique	ʻōiwi
Atlantic Ocean	Moana ʻAkelanika
Pacific Ocean	Moana Pākīpika
Ukrainian	ʻUkelena
Britain	Pelekāne
Britain	Pelekānia
Portuguese	Pukikī
Japanese	Kepanī
Chinese	Pākē
mau loa	mau loa
yellowfin tuna	ʻahi
Nukuhiva	Nuʻuhiwa
Polynesia	Polenekia
semen	keakea
Spaniard	Paniolo
ugly	pupuka
forget	poina
native	maoli
grandchild	moʻopuna
outcast	kauā
Greenland	ʻĀina ʻŌmaʻomaʻo
green	ʻōmaʻomaʻo
black	ʻeleʻele
blue	uliuli
yellow	melemele
yellow	lenalena
red	ʻulaʻula
white	keʻokeʻo
drum	pahu
surgeonfish	manini
perfection	hemolele
planet	hōkū hele
sandalwood	ʻiliahi
goldfish	iʻa ʻulaʻula
beverage	mea inu
drink alcohol	inu lama
strawberry	ʻōhelo papa
pineapple	hala kahiki
ke Akua	Akua
laughter	ʻakaʻaka
flow	kahe
weather	anilā
affections	manawa
weekday	lā noa
azure	ʻalalā
pigeon	nūnū
ʻiole liʻiliʻi	ʻiole liʻiliʻi
biology	kālaimeaola
microbiology	kālaimeaolahune
physics	kālaikūlohea
guardian	kahu
lion	liona
lovely	nani
ginkgo	nanahana
Hawaiian hawk	ʻio
dugong	kūionoko
caribou	kukukū
winged bean	palānaka
dolphin	hoikiuna
Chinese lantern	kanaluna
kumquat	kamakuaka
loquat	loukuaka
fellow	kaʻaka
polar bear	nanuka
cypress	kupeleko
snake	naheka
seagull	kalapuna
cholesterol	naʻokoko
no	aʻole
peacock	pīkake
proton	huna ʻāne
neutron	huna hohoki
electron	huna ʻine
cathode	ʻūholo uila ʻine
anode	ʻūholo uila ʻāne
cathode ray tube	ʻohe kīwī
electrode	ʻūholo uila
glucose	monakō
fructose	huakō
cut off	muʻumuʻu
calm	malino
meter	mika
evil disposition	lokoino
fort	pākaua
missionary	mikanele
act	hoʻomikanele
brazen look	maka keleawe
there	alaila
butter	waiūpaka
word	huaʻōlelo
continent	mokuhonua
continent	ʻāinapuniʻole
country	kaumokuʻāina
state	mokuʻāina
city	kūlanakauhale
peninsula	ʻanemoku
family god	ʻaumakua
old	kahiko
sulfur	kūkaepele
horse	puaʻa nui huelo huluhulu
device	hāmeʻa
peel	māihi
peel	māihi ʻili
barely escape	māihi ola
okolehao	ʻōkolehao
wine	waina
creak	ʻeʻeʻina
peanut	pineki
scissors	ʻūpā
garden	māla
Jeremiah	Ieremia
Wanuaku	Wanuatu
Nahum	Nahuma
Habakkuk	Habakuka
anus	ʻōkole
filthy	pelapela
befoul	hoʻopelapela
dry	koaea
gun salute	pū aloha
orange	ʻalani
bank	panakō
capital city	kapikala
laundry	lole lepo
Daniel	Daniʻela
turn	huli
Genesis	Kinohi
Exodus	Puka ʻAna
Leviticus	ʻOihana Kahuna
Numbers	Nā Helu
Deuteronomy	Kānāwai Lua
Judges	Luna Kānāwai
Kings	Nā Aliʻi
Chronicles	ʻOihana Aliʻi
Job	Ioba
Psalms	Halelū
Ecclesiastes	Ke Kahuna
Song of Songs	Mele A Solomona
Isaiah	ʻIsaia
Lamentations	Kanikau
Ezekiel	ʻEzekiʻela
Amos	ʻAmosa
Obadiah	ʻObadia
Zephaniah	Zepania
Haggai	Hagai
Zechariah	Zekaria
Acts of the Apostles	ʻOihana
Corinthians	Korineto
Ephesians	ʻEpeso
Philippians	Pilipi
Colossians	Kolosa
Thessalonians	Tesalonike
Hebrews	Hebera
Revelation	Hōʻike ʻAna
Judas	Iuda
Isaac	ʻIsaʻaka
Samuel	Samuʻela
menstruate	ma‘i
Joshua	Iosua
life	mauli
Rachel	Rāhela
Michael	Mikaʻela
Peniʻamina	Peni
scout	ʻoumuamua
partible paternity	poʻo lua
offspring	ʻohā
hanger	kā ipu
unity	lōkahi
breath	lele ka hanu
bloodhound	ʻīlio hanu kanaka
genital chant	mele maʻi
dinosaur	nalala
oppose	kūʻē
wow	auē
humid	ikiiki
cold	anuanu
voggy	polalauahi
cloudy	ʻōmalumalu
turn off	hoʻopio
turn on	hoʻā
gateway	ʻīpuka
burn	hōʻā
table	pākaukau
play	pāʻani
plaything	mea pāʻani
clean	hoʻomaʻemaʻe
clean	maʻemaʻe
ball	kinipōpō
grill	kōʻala
sweet potato	ʻuala
fruit	hua ʻai
hat	pāpale
video	wikiō
carving	kalaina
interesting	hoihoi
midnight	aumoe
midnight	ʻauinapō
hazy	māhea
handsome	nohea
Gehenna	kehena
evil	lawehala
basement	ilelo
civil union	uniona kīwila
union	uniona
civilian	kīwila
civil law	kānāwai kīwila
code	kānāwai
legislature	‘aha kau kānāwai
civil service	hana kīwila
civil rights	pono kīwila
loneliness	mehameha
kava	ʻawa
oo	‘ō‘ō
Mother Hubbard	holokū
hero	meʻe
codfish	pakaliao
order	ʻoka
sandwich	kanauika
red pepper	nīoi
daily	nā lā a pau
bag	ʻeke
candy	kanakē
bucket	pakini
camera	pahupaʻikiʻi
jackal	iākala
wolf	ʻīlio hae
coyote	kaioke
fox	ʻalopeke
fox	ʻalopeka
mongoose	manakuke
dictionary	puke wehewehe ʻōlelo
fishpond	kuapa
precipitation	kimu
Pandanus	pānakana
thatch purlin	ʻaho
homosexual	māhū
act like	hoʻowahine
color	waihoʻoluʻu
pencil	penikala
beautify	hoʻonani
enlarge	hoʻonui
speak	haʻihaʻi
locative preposition	ʻami
tired	māluhiluhi
alphabet	pīʻāpā
ice cream	ʻaikalima
dative case	ʻauipaʻewa
allergy	pāheu
balloon	pāluna
parachute	haʻupoho
soft	mahāha
bandage	wahīʻeha
Algol	Pōʻā
hurry	pūlale
noun	kikino
clitoris	ʻiʻoʻiʻo
naked	ʻilikini
article	kaʻi
visitor	hoakipa
harp	hāpa
Uranus	Heleʻekela
hiss	hīhī
restless	hīʻōʻō
cross section	hiʻona kaha
complex number	helu hapa moeā
milli-	hapa kaukani
micro-	hapa miliona
reflection	aka aniani
boundary	anapuni
diameter	anawaena
numerical value	waiwai helu
threatening language	hoʻonuinui
number line	laina helu
birthrate	lākiō hānau
ratio	lākiō
taxi	kaʻa hoʻolimalima
belt	kāʻei
bisector	kaha ʻoki hapalua
sewage system	hā wai laweʻino
URL	helu kahuapaʻa
conversation	pāpāʻōlelo
biosphere	kāʻei ola honua
radius	kahahānai
cent sign	kaha kēneka
cent	kēneka
Mekiko	Nū Mekiko
Bangor	Panekola
weak	mahū
Raleigh	Lalie
fern	kalukalu
no	ʻaʻale
pound	paona
swift	kāholo
begin	hoʻomaka
Mozambique	Mozamabika
Botswana	Botuana
Sierra Leone	Sielaleone
drive	kalaiwa
harvest	ʻohi
fix	hoʻopaʻa
sibling	kaikaina
grandpa	tūtū kāne
grandma	tūtū wahine
canoe	waʻa
sibling	kaikuaʻana
distinguished	hanohano
famous	kaulana
stingray	hailepo
hairy	huluhulu
paisi	paiki
hello	welina
car	ʻokomopila
elephant	ʻelepani
halloo	hūi
paralyzed	lōlō
chronically ill	ʻōmaʻimaʻi
wing	ʻēheu
ash	lehu
fingernail	mikiʻao
society	ʻahahui
church	ʻekalekia
borrow	hōʻaiʻē
second person	kūnā
third person	kūlā
first person exclusive	kūnei
first person inclusive	kūhoa
step over	ʻaʻe
bitter	muʻe
laugh	ʻaka
laugh	hōʻaka
laugh	hōʻakaʻaka
dig	ʻeli
elevator	ʻeleweka
engineer	ʻenekinia
farmer	mahiʻai
valley	awāwa
wide	ākea
wide	laulā
tight	lāʻiki
chubby	mākolukolu
Sunday	Pōpule
poliomyelitis	poliō
leprosy	lēpela
forget-me-not	maipoinaiaʻu
dahlia	waiohinu
trash	ʻōpala
Ganymede	Kanimeki
idle	hāloliʻili
tie	hākiʻi
binding	hīkiʻi
handkerchief	hinakā
Hindu	Hinekū
tie	nākiʻi
tie	nīkiʻi
tether	mūkiʻi
account	moʻowaiwai
flying fish	puhikiʻi
darkness	pouli
tear	waimaka
Muhammad	Mohameka
worm	koʻe
Cassiopeia	ʻIwakeliʻi
Corona Borealis	ʻAnaheuheu
Perseus	Ānui
Libra	Iloano
constellation	ulu hōkū
Gemini	Kamāhana
Aldebaran	Kaomaʻaikū
Big Dipper	Nāhiku
twin	māhana
fight	hakakā
gibberish	pakakē
birth certificate	palapala hānau
receipt	palapala loaʻa
questionnaire	palapala ninaninau
arrest warrant	palapala hopu
horoscope	palapala kilokilo hōkū
podcast	hoʻolele hualono
calling card	palapala kipa
certificate	palapala hōʻoia
lease	palapala hoʻolimalima
calling card	palapala mākaʻikaʻi
confirm	hōʻoia
confirm	ʻāpono
letter of recommendation	palapala ʻāpono
letter of recommendation	palapala kākoʻo
rent	hoʻolimalima
support	kākoʻo
hammock	ʻahamaka
almanac	ʻalemanaka
calendar	kalenekalio
vomit	luaʻi
flow	puaʻi
banish	hoʻokuke
banish	kipaku
dry	maloʻo
fat	ʻailakele
sharp	ʻoi
sharp	ʻāwini
computer	kamepuila
foundation	kahua
terra firma	kahua paʻa
website	kahuapaʻa
chocolate	kokoleka
territory	panalāʻau
seed	ʻanoʻano
skin	ʻaluʻalu
far	mamao
near	kokoke
dull	kūmūmū
radiator	pahu wai kaʻa
hyphen	kaha moe
Red Sea	Kai ʻUla
noun	haʻiinoa
pronoun	paniinoa
verb	haʻina
ravine	ʻaʻalu
cross	ʻaʻehi
gasoline	ahimakani
tuberculosis	maʻi ʻai ake
acre	ʻakele
sole	kapuaʻi
inch	ʻīniha
gram	kalame
marble	māpala
ton	koena
gallon	kālani
second	kekona
minute	minuke
smile	minoʻaka
group	pūʻulu
hydrogen	haikokene
helium	hiliuma
lithium	likiuma
carbon	kalepona
nitrogen	naikokene
oxygen	ʻokikene
neon	nīane
sodium	sodiuma
magnesium	makanekiuma
aluminum	ʻaluminuma
phosphorus	pokepola
chlorine	kaloline
argon	ʻaragona
potassium	potasiuma
calcium	kalipuna
manganese	manakanika
cobalt	kobalata
nickel	nikala
copper	keleawe
zinc	kiniki
arsenic	ʻalakenika
bromine	polomine
knuckle	kuʻekuʻe
Kelvin	Kelewine
jet	hēkī
assemble	hoʻākoakoa
