floor	cat
draconian	draconic
idiot	cretin
rentier	rentier
end	fine
scoundrel	scelerat
pardoning	pardon
according to	conform
drug	droga
awarding	premiere
ox	bu
them	le
incidental	incident
egg	ou
fiscal administration	fisc
regnum	regn
one	una
telephone	telefon
de el	place
transverse	transversal
west	occident
western	occidental
treasure	odor
masturbation	onanism
fatherly	paternal
even	par
personal	personal
light blue	bleu
scientism	scientist
dry	sec
magus	mag
pepper	piper
sack	sac
assets	avere
shell	carapace
thief	fur
photographer	fotograf
pale	pal
matte	mat
charioteer	auriga
change	rest
flat	plat
sad	trist
frequent	des
student	elev
crippled	slut
bridge	pod
will	testament
bulldog	buldog
coo-coo	cucu
neck	jugular
cost	costa
creative	creator
normally	normal
address	adresa
cousin	văr
cousin	verișoară
all	tot
France	Franța
social origin	milieu
fox	vulpe
faggot	poponar
star anise	badian
vroom	vum
stupidly	stupid
simple	prost
unfaithful	infidel
run	cure
pig	porc
retype	rebate
scar	cicatrice
building	bina
virgin	virgin
burning coals	jar
absolute	absolut
needles	acar
administrative	administrativ
aeroplane	aeroplan
airport	aeroport
deadly	mortal
eye	ochi
puli	pule
author	autor
concatenation	concatenare
cannon	tun
augmentative	-an
profession	-ar
water heater	boiler
adagietto	adagietto
drink	bea
west	vest
torch	masala
fabricate	fabrica
sight	vedere
cilium	cil
ointment	unguent
aeration	aerare
change	preface
ear	spic
template	model
anchor	ancora
superlative	superlativ
spear	lance
stasis	statism
scholar	savant
primary	principal
lion	leu
ford	vad
hydrogen	hidrogen
down	jos
master's degree	master
roar	rage
operate	opera
approximately	circa
plough	plug
tasteful	elegant
detestation	detestare
very	coz
boron	bor
să	dorm
drop	pic
fuck	fute
look	aspect
sacrifice	hostie
self-taught	autodidact
polygon	poligon
paragraph	paragraf
alphabet	alfabet
fiery	ardent
follower	adept
auspex	augur
obverse	avers
older brother	bade
beat	bate
bar	baton
bissextil	bisect
boa constrictor	boa
fir	brad
approximately	cam
longing	dor
tiny amount	dram
make-up	fard
floccule	floc
pregnant	gravid
porter	hamal
pill	hap
divinity	idol
unfit	inapt
lake	lac
bridegroom	mire
mode	mod
dead	mort
landing	palier
step	pas
skate	patina
drip	pica
pawn	pion
lead	plumb
platoon	pluton
precise	precis
prime	prim
discount	rabat
ruddy	rumen
Slovene	sloven
summon	soma
break	sparge
drop	strop
thaler	taler
tensor	tensor
shinbone	tibia
you	tine
tophus	tofus
toroid	toroid
life	vie
dream	vis
been	fuse
area	areal
slobber	bale
two	biceps
caper	caper
disposition	chef
concede	concede
pivotal	crucial
tape deck	deck
notable	eminent
precise	exact
cool	fain
fatalistic	fatalist
passageway	gang
grapefruit	grep
bacon	lard
ballast	lest
shopping mall	mall
triceps	triceps
patrician	patrician
prosperous	prosper
boxer	pugilist
website	site
back	spate
statistical	statistic
extortionate	exorbitant
folding	pliant
unspoken	tacit
magnetite	magnetit
found	funda
thread	fir
poetical	poetic
creative	poet
burning	caustic
pee	pipi
dictionary	dicționar
trip	trip
stick	pil
fiddle	cetera
onomatopoetic	onomatopoetic
Plutonic	plutonic
exuberant	petulant
fighting	combatant
addendum	addenda
diacritical	diacritic
guy	tip
novate	nova
diabolical	diabolic
dam	gat
boarding school	pension
Greece	Grecia
stay	sta
going	ducere
species	specie
aeroplane	avion
fear	temere
candid	candid
insurgent	rebel
tutor	preceptor
sodium	sodiu
warm	cald
sort	fel
call	apela
catalogue	catalog
masculine	masculin
Yiddish	idiș
workshop	atelier
teenager	adolescent
dialogue	dialog
debility	debilitate
cautious	circumspect
coming	venire
skeptical	sceptic
fundamentalist	fundamentalist
malaria	paludism
be	fi
melting	fondant
obvious	evident
androgenic	androgen
knot	nod
county	CV
engine	motor
violate	viola
and	plus
organic	organic
pinball	flipper
shelf	raft
halogenic	halogen
swarm	roi
fortification	fort
cardboard	carton
Iraq	Irak
envy	invidia
altruistic	altruist
egoism	egoism
eastern	oriental
abolition	abolire
die	muri
curve	curb
abdication	abdicare
regiment	regiment
acceleration	accelerare
enough	basta
crystal	cristal
telephoning	telefonare
roll	sul
get in	sui
aryl	aril
road	drum
conical	conic
reciprocal	mutual
corner kick	corner
aphonic	afon
situation	hal
mystery	mister
feast	regal
pineapple	ananas
belt	cordon
dedication	dedicare
definition	definire
endowment	dotare
есте	este
emphasis	accentuare
state	status
peaceable	pacific
worship	adorare
Eurasian woodcock	sitar
brown	brun
olive	oliv
fund	fond
shipping container	container
yoke	jug
adapter	adaptor
generate	genera
bank	banc
monkey bread	baobab
container	recipient
unoccupied	vacant
burning	ardere
declension	declinare
dock	doc
grave	solemn
artifact	artefact
instantly	instant
folk music	folk
Bulgarian	bulgară
EU	UE
dialectical	dialectic
suspicious	suspect
image	imagine
move	mutare
dildo	vibrator
metro	metropolitan
maverick	nonconformist
mutuality	mutualism
cookie	biscuit
universe	cosmos
ally	alia
steam	abur
slowly	agale
dusk	amurg
large	baban
shepherd	baci
dung	baligă
puddle	baltă
boy	băiat
standard	bârsă
throat	beregată
cheese	brânză
girdle	brâu
frog	broască
chaff	buc
glad	bucuros
Strigiformes	bufniță
clod	bulz
thicket	bunget
bag	burduf
belly	burtă
lip	buză
stag-beetle	caraban
cap	căciulă
castor oil	căpușă
hamlet	cătun
knock	cioc
boondocks	coclauri
tree	copac
child	copil
stump	ciot
deer	ciută
chisel	daltă
knoll	dâmb
song	doină
throng	droaie
piece	fărâmă
whistle	fluier
whistle	fluiera
butterfly	fluture
fence	gard
prepare	găti
claw	gheară
thorn	ghimpe
gaffer	ghiuj
sessile oak	gorun
harrow	grapă
whetstone	gresie
hole	groapă
neck	grumaz
lump	grunz
fawn	gudura
starve	hămesi
black	lai
gleam	licări
pea	mazăre
donkey	măgar
hill	măgură
cornflour	mălai
dill	mărar
belladonna	mătrăgună
broom	mătură
foal	mânz
lamb	mânzare
cat	mâță
snail	melc
move	mișca
midwife	moașă
spruce	molid
old man	moș
tomcat	motan
reddish	murg
bite	mușca
unsalted cheese	urdă
or	oare
lame	olog
pod	păstaie
infant	prunc
hoopoe	pupăză
duck	rață
endure	răbda
leisure	răgaz
tripe	rânză
pit	sâmbure
ash	scrum
scare	speria
strungă	stână
cliff	stâncă
grape	strugure
hundred	sută
hip	șold
lizard	șopârlă
clamor	tărăboi
goat	țap
corral	țarc
stick	țeapă
sheep	țigaie
peak	țugui
brandy	țuică
icicle	țurțur
fireplace	vatră
badger	viezure
ruffled	zbârli
wrinkled	zbârci
frolic	zburda
dog collar	zgardă
slag	zgură
naughty	zvăpăiat
buttermilk	zară
whey	zer
stream	pârâu
lawful	licit
arbitrate	arbitra
-ous	-os
assault	atenta
advice boat	avizo
claret	bordo
grey	sur
tip	pont
challenge	brava
burnish	bruna
gross	bruto
gentile	gentil
relevant	pertinent
ball	minge
disrepute	discredit
quarrel	certa
clear-sighted	lucid
kaftan	caftan
plebs	plebe
sweet	dulce
holder	toc
economical	economic
go	merge
animation	animare
holding company	holding
construction	construire
other	alt
shaving	radere
numerical	numeric
lubrication	ungere
phenyl	fenil
origin	origine
bassoon	fagot
fruitful	fecund
mature	matura
my	meu
crossword	rebus
eden	rai
hayfield	prat
facility	facilitate
mine	mina
incapacity	incapacitate
perplexed	perplex
yesterday	ieri
armoury	arsenal
culminating point	toi
streak	stria
stimulating	stimulant
gazebo	pavilion
beat	mardi
taboo	tabu
county	DJ
eight	opt
knitter	tricoter
bass	bas
tragical	tragic
pistol	revolver
trope	trop
optimistic	optimist
speaker	orator
fuck	fut
octic	ontic
nutrient	nutriment
common	trivial
mine	mea
drill	fora
gatekeeper	portar
cork	dop
free	libera
notary	notar
absent	absenta
tactical	tactic
bordello	bordel
emerald	smaragd
invitation	invitare
prohibited	prohibit
now	acu
agate	agat
here	aici
vowed	jurat
voice	glas
outbreak	debut
solid	consistent
anemic	anemia
audio	audio
sea	marea
deformed	inform
ce	vor
parking lot	parking
tacit	implicit
cardia	cardie
erect	erect
learned	sapient
Dacian	dac
August	gustar
green	verde
chimney	fumar
shy	timid
libertine	curvar
clone	clon
degree	grad
run	tuli
welcome	salve
lime	var
potassium	potasiu
potassium	kaliu
conjurer	prestidigitator
die	zar
zombie	zombi
order	ordine
butter maker	untar
city	urbe
wet	ud
uncompromising	intransigent
lecturer	lector
rejection	respingere
breathing	respirare
partially	incomplet
profile	profil
autonomous	autonom
italic	italic
maximum	maxim
part	parte
avoidance	evitare
center	centra
ping pong	ping-pong
helpful	util
experiential	experimental
vineyards	vii
sarcastically	sarcastic
vessel	vas
Ukraine	Ucraina
unknown	incognito
county	BT
creation	creare
carcinogenic	carcinogen
clerical	clerical
weaponry	armament
ball	coi
roast beef	rosbif
emigration	emigrare
depositor	deponent
principle	principe
ballpoint pen	pix
celebration	celebrare
translate	traduce
evil	malign
you	mata
photon	foton
murmuring	murmurare
elephant	elefant
alpha	alfa
union	unire
saxophone	saxofon
induce	induce
study	studia
amateur	amator
diploma	diplomat
servant	servitor
pelargonium	pelargonie
crippled	invalid
Persian	persan
Germany	Germania
extended	tins
Mars	Marte
juvenile	juvenil
nickel	nichel
empty	vida
vivacious	vivace
devilish	demonic
efficient	performant
head-to-head	tête-à-tête
absinthe	absint
finish	fini
sense	sens
living	trai
gravity	gravitate
translation	traducere
philatelist	filatelist
service	servire
various	divers
diamond	diamant
bitters	biter
paramedical	paramedic
Poland	Polonia
gradient	degrade
ingenious	genial
age	ev
cymbal	cimbal
symbol	simbol
eardrum	timpan
heraldic	heraldic
soft	bleg
county	HD
residual	remanent
curse	blestema
curse	blestem
Mary	Maria
animal	lipa
force	sili
germicide	antiseptic
sway back and forth	tanga
memorial	monument
protective	protector
office	secretariat
agitate	agita
consultant	referent
illegal	ilegal
follow	urma
read	citi
Roma	danci
spice	condiment
ended	finit
animated	animat
inventory	opis
kilocalorie	kilocalorie
transmitter	traductor
beaver	castor
letter	a
Ara	Altar
Ann	Ana
county	PH
Scorpio	Scorpion
drive	conduce
Maori	maori
inula	oman
with	cu
marry	maria
pentru	pt
pollen	polen
family	familie
butane	butan
Norway	Norvegia
German	german
threshing floor	arie
Quechua	quechua
Italian	italian
young	june
Adonis	adonis
Marxism	marxism
kite	milan
dine	cina
half-breed	metis
American	american
protect	proteja
Fijian	fijian
create	crea
Germanic	germanic
poor	calic
county	DB
mediator#English	mediator
Ivorian	ivorian
Khmer	khmer
jocose	jovial
crop	tunde
mouse	maus
Venusian	venusian
Viking	viking
Tuvaluan	tuvaluan
needle	andrea
swear	jura
Canadian	canadian
greedy	cupid
Nauruan	nauruan
sleepy	somnolent
Brazilian	brazilian
one party	unilateral
fade	fondu
Catalan	catalan
Asturian	asturian
humor	haz
Zulu	zulu
Urdu	urdu
demanding	exigent
Mormon	mormon
nail	unghie
prognosis	prognostic
Neptune	Neptun
Islam	islam
Islamic	islamic
Hindi	hindi
consultation	consult
abuse	injuria
browser	navigator
heresy	eres
kidnapping	rapt
unction	balsam
continuation	continuare
automobile	automobil
flutist	flautist
pentatonic	pentatonic
pass	trece
uncle	nene
against	contra
hell	tartar
church	hram
Gnostic	gnostic
county	CJ
county	HR
Celt	celt
county	OT
urban planning	urbanism
urban planner	urbanist
hitchhiking	autostop
VAT	TVA
journalist	reporter
neologistic	neologistic
incubation	incubare
yoke	jugar
body	corp
exposition	expo
poop	caca
county	BR
state railway carrier	CFR
county	MH
sine	sinus
person	nat
Kenyan	kenyan
semi-automatic	semiautomatic
elder	soc
buffer	tampon
hoot	hu
thought	sentiment
maximum	maxi
heart attack	infarct
examine	cerca
animal	bestial
paper	papir
ceiling	tavan
vinaigrette	vinograd
curia	curie
X-ray	röntgen
parliament	parlament
copilot	copilot
congeneric	congener
welder	sudor
moody	temperamental
or	ori
woof	hau
ballet	balet
Hebrew	ivrit
Sabbath	sabat
brahmin	brahman
frivolous	frivol
piano	pian
calm	calma
un-	ne-
bolt	vig
grace	har
revolting	infect
detecter	detector
year	leat
maleficent	malefic
Ottoman	alem
hey	bre
Bolivian	bolivian
fence	otac
county	IF
Christ	Hristos
or	sau
tube	tub
from	de la
eulogistic	encomiastic
use	uz
verbatim	textual
back	verso
newt	triton
Maoism	maoism
fatty	uns
Algerian	algerian
tipsy	griza
blender	mixer
crass	cras
out of play	aut
one	unu
little	mic
thermae	terme
satirical	satiric
buzz	zzz
alas	vai
fear	teme
engrave	grava
giant	gigant
set	seta
abandon	abandona
epilepsy	epilepsie
pound	pfund
bar	bara
king	rege
dance	dansa
dredge	draga
laws	legi
sigh	ofta
come	veni
courthouse	tribunal
film	filma
Jesus	Isus
manage	gera
beginner	debutant
ceiling	plafon
trichromatic	tricolor
mature	matur
note	nota
plant	planta
tick tock	tic-tac
succinct	sumar
county	IS
careful	prudent
Hungarian	ungur
will	vom
eat rapidly	hali
Kazakhstan	Kazahstan
Turkmen	turkmen
bedouin	beduin
Ramadan	ramazan
two-way	bilateral
shooting	tir
without	bez
sleep	dormi
brown	maro
champion	campion
child	plod
canid	canid
Japanese	japoneză
stronghold	bastion
poplar	plop
series	serie
reluctant	reticent
lecturer	docent
desktop computer	desktop
intern	interna
quantify	cifra
Norwegian	norvegiană
tongue	limbă
post	posta
AIDS	SIDA
wedge	ic
antivirus	antivirus
up	sus
phon	fon
county	SB
Luxembourg	Luxemburg
strong	potent
market town	burg
crispy breadstick	sticks
casque	coif
Hispanic	hispanic
record holder	recordman
level	nivel
crime	delict
dolphin	delfin
lover	amant
antiperistaltic	antiperistaltic
brunette	brunet
instant coffee	nes
bead	perla
photo	foto
mammoth	mamut
croquet	crochet
wall	zid
smear	unge
talk	vb
lev	leva
prophet	profet
caught	prins
triple candlestick	tricher
maya	maya
Asian	asiat
gender	gen
round	rotund
person	ins
mink	nurcă
paint	picta
liberation	liberare
navigation	navigare
where	unde
mud	im
conjoint	conjunct
Lebanon	Liban
conservation	conservare
aerodrome	aerodrom
style	stil
television	televizor
password	parola
recitation	recitare
education	educare
fireman	pompier
capture	captura
read	lectura
official	oficial
protest	protesta
program	programa
negation	negare
hope	sperare
financial	financiar
parade	parada
inverter	inversor
mantle	manta
pipe	pipa
tennis	tenis
sedate	seda
animal fat	seu
Tuesday	marți
dirty	ima
Satan	Satana
option	optare
gas	gaz
set	regla
wardrobe	armar
reward	recompensa
commando	comando
offer	oferta
portrait	portret
Wednesday	miercuri
Thursday	joi
Friday	vineri
Saturday	sâmbătă
Sunday	duminică
bulge	bomba
exam	examen
spirit	duh
computation	computare
mason	zidar
soldier	militar
compress	tasa
masturbator	onanist
putting up	mas
currently	actualmente
faucet	robinet
voter	votant
political	politic
assessor	asesor
moulder	formar
frost	ger
percent	procent
ozone	ozon
subsidiary	subsidiar
beneficiary	beneficiar
Satanic	satanic
agrarianism	agrarianism
empirical	empiric
Andorran	andorran
Antiguan	antiguan
Bulgarian	bulgar
Costa Rican	costarican
generally	genere
Jamaican	jamaican
Mexican	mexican
Nicaraguan	nicaraguan
foundation	fundament
theta	teta
Paraguayan	paraguayan
Peruvian	peruan
Samoan	samoan
Tongan	tongan
Uruguayan	uruguayan
sable	samur
given name	Tudor
brothel	lupanar
breed	soi
diametrical	diametral
virile	viril
thick	gros
inconsistent	incongruent
laminate	lamina
rock music	rocker
sublunary	sublunar
idealistic	idealist
fluorine	fluor
Tibetan	tibetan
preterite	preterit
masochistic	masochist
date	rendez-vous
box	cutie
commander	serdar
bulky	mătăhălos
cardiac	cardiac
Catalan women	catalane
purple	purpuriu
activist	militant
idea	idee
opinion	opinie
tap	cep
Romanian	român
bookseller	librar
Pole	leah
nonpareil	nonpareil
te iubesc	te iubesc
idiocy	cretinism
chosen	ales
cunt	pizdă
kiss	pup
incremental	incremental
piano	pianoforte
ethane	etan
deferential	deferent
macropode	macropod
masterly	magistral
fire	foc
magnificent	magnific
hurricane	uragan
Aalenian	aalenian
Solanum nigrum	zârnă
tare	dara
Saxon	saxon
importation	importare
influential	influent
universe	univers
pulling	tras
reverie	visare
departure	dus
polity	politie
province	provincie
pink	roze
count	grof
waltz	vals
success	succes
Romania	Dacia
fry	juvete
aba	abagiu
abacus	abacă
glad	bucura
water	apă
underling	subaltern
rainbow	curcubeu
compensatory	compensator
user	utilizator
thirst	sete
blond	băl
titmouse	pițigoi
big	pogan
-at	-ate
house	caza
sex toy	masturbator
dragon	balaur
loom	argea
autopsy	autopsia
reverse	revers
eagle	aceră
throw	azvârli
delicate	delicat
primeval	primordial
dolphins	delfini
aba	abager
wood	abanos
cold	rece
strawberry	fragă
Tetrastes bonasia	brădioară
hazel grouse	ieruncă
grass	iarbă
European larch	zadă
mislead	mistifica
mystification	mistificare
shelter	adăpost
deep	adânc
wait	adăsta
add	adăuga
leafy spurge	aior
Carpathian toothwort	breabăn
fumewort	brebenel
burdock	brusture
celery	achiu
black locust	acaț
mahogany	acaju
acanthus	acantă
autumn hemp	aldan
platinize	platina
two	doi
Maltese cross	arșinic
alder	arin
pepper	ardei
tree	arbore
totalizer	totalizator
southern	austral
northern	boreal
echinoderm	echinoderm
completely	completamente
noise	tam-tam
bullfighter	toreador
patent	brevet
nitrogen	azot
chirrup	cri
marine	marin
living room	salon
orgasms	orgasme
copycat	imitator
clinker	clincher
energy	energie
studious	studios
plating	placare
south	sud
bubonic	bubonic
puli	circumcise
Phasianidae	fazan
clinical	clinic
prelude	preludiu
playful	ludic
adrenal	suprarenal
sultanate	sultanat
cellophane	celofan
Somali	somali
tautological	tautologic
teleological	teleologic
topological	topologic
modest	pudic
dermal	dermic
bookmark	signet
lampshade	abajur
abandoning	abandonare
angelica	angelică
Greece	aed
bush	arbust
belly	vintre
copy	exemplar
affront	afront
agent	agentă
now	amu
accord	acord
abscess	abces
tamarind	tamarin
secondly	secundo
field	agru
raccoon	raton
timpanist	timpanist
decimate	decima
full house	ful
lain	zăcurăm
biological	biologic
raw	crud
blue	albastru
unicolored	unicolor
ecological	ecologic
sociology	sociologie
radioprotective	radioprotector
set	apus
bomber	bombardier
thread	ață
horse	cal
sheep	oaie
house	casă
able	abil
ram	berbec
man	bărbat
woman	femeie
girl	fată
bear	urs
cat	pisică
orthography	câine
rabbit	iepure
littoral	litoral
kid	ied
ivy	iederă
beard	barbă
fjord	fiord
dollar	dolar
oops	ups
sort	sorta
press	apăsa
water	apar
yuan	yuan
internal	intern
find out	afla
smoke	afuma
gather	aduna
now	acum
cover	acoperi
sour	acru
there	acolo
that	acel
good quality	acătării
zoological	zoologic
filmmaker	cineast
evocative	evocator
validate	valida
holder	titular
secular	laic
monological	monologic
teacher	prof
already	deja
vegetal	vegetal
plausible	verosimil
fool	budala
prepare	pregăti
medical	medic
pedagogic	pedagogic
Andalusian	andaluz
plane	plana
county	VS
horizontal bar	rec
chaos	haos
ask	ruga
blooming	florid
pork	sain
realistic	realist
northern	septentrional
abdicate	abdica
aberrant	aberant
alligator	aligator
doorstep	prag
painter	pictor
Herculean	herculean
ding	ting
the	-ei
radiant	radios
Muslim	musulman
Muslim	moslim
Norway maple	arțar
untrue	aberativ
bronze	bronz
anise	anason
diverging	discrepant
alga	algă
make	alcătui
alder	anin
countenance	obraz
credo	credo
azure	azur
azote	azotos
azalea	azalee
advantage	avantaj
stateless	apatrid
allergy	alergie
alizé	alizeu
appear	ivi
lightbulb	bec
after-shave	aftershave
bird	aviar
canine	canin
hard	dur
that	cel
mark	marca
gas	gaza
gypsum	gips
hold	ține
some	vreun
someone	cineva
grog	grog
surface	superficie
hello	salut
apartment building	bloc
cute	mignon
tench	lin
versifier	versificator
lutenist	lutist
biochemistry	biochimie
limits	limite
rape	viol
sparse	rar
clear	limpid
liturgical	liturgic
aeolian	eolian
prospective	eventual
folklore	folclor
hot	fierbinte
fresh	proaspăt
egotistical	egotist
friendly	amical
favor	nazar
walking stick	baston
sure	sigur
steal	fura
alike	leit
bullfighter	torero
rhyme	rima
order	rost
skin	sor
retaliation	talion
field	lan
crowbar	lom
anabolism	anabolism
pants	pantalon
move	muta
schoolgirls	eleve
aim	viza
pass	pasa
file	pili
armadillo	tatu
diminutive	-el
porous	poros
monatomic	monoatomic
haste	zor
eighth	optime
tax collector	publican
straw	pai
teratogenic	teratogen
mutagenic	mutagen
petition	arz
secretary	pisar
miser	avar
tungsten	wolfram
pluralistic	pluralist
shaved	ras
embryo	germen
receiving	receptor
austere	auster
salami	salam
lively	vivant
bunion	mont
denarius	denar
hyperpyron	perper
guilder	gulden
donate	dona
bisecting	bisector
drake	rățoi
coupon	cupon
salt	sare
gross	brut
intestine	intestin
dominate	domina
game	joc
juice	suc
muscle tone	tonus
instauration	instaurare
nose	nas
just	doar
jack	geac
fabulate	fabula
medicine	leac
ruin	ruina
vague	vag
will	voie
leisure	loisir
logistical	logistic
grizzly bear	grizzly
phosphorus	fosfor
beige	bej
paint	boia
verse	stih
call	apel
rope railway	funicular
scoring	notare
US dollar	parai
melt	topi
ox	bou
mastication	masticare
forgive	ierta
colossus	colos
probe	sonda
friend	amic
smoke	fum
body	trup
sheaf	snop
ocellus	ocel
minute	minut
calculus	calcul
hand over	preda
imminent	iminent
glad	vesel
decide	meni
Polish woman	poloneză
spleen inflammation	rast
exactly	taman
replication	replicare
methane	metan
zeal	zel
stack	stog
wanted	voit
pointillism	pointillism
something	ceva
tobacco	duhan
spin a yarn	broda
their	lor
mold	mula
rotate	roti
tellurium	telur
quote	cita
celebrate	serba
wring	suci
love	iubi
inconvenience	inconvenient
hook	cange
laziness	lene
token	jeton
Cyrillic	ucu
deteriorate	buli
ideological	ideologic
lotto	loto
fisher	pescar
legitimate	legitim
migratory	migrator
right	drept
night	noapte
chest	piept
avenue	cale
