perquisite	gratis
nature	natura
home	dom
gold	złoty
instrument dęty	instrument
spot	spot
constantly	stale
administrator	administrator
coin	moneta
Sunday	niedziela
Saturday	sobota
water	woda
from	od
soil	grunt
joker	joker
branch	agenda
agent	agent
but	ale
AKA	alias
haughty	hardy
matter	materia
Congo	Kongo
film	film
goodbye	do widzenia
ornament	ornament
steppe	step
bustard	drop
shepherd	baca
knock	stuk
curl	lok
orchard	sad
woman	panna
she	ona
it	ono
they	oni
neither	ani
boom	bum
bagpipe	duda
homie	ziom
coach	coach
doner kebab	kebab
aero-	aero-
whiskey	whisky
Socrates	Sokrates
de-	de-
splash	chlap
street	ulica
toga	toga
hatch	luk
cabbage	kapusta
raspberry	malina
bath	wanna
billy-goat	cap
spined loach	koza
paste	pasta
Kuba	Jakub
indeclinable	Paul
patron	patron
palindrome	palindrom
tall person	marchewka
defeat	pogrom
agitator	agitator
hall	hol
bone	gnat
date	data
alb	alba
albatross	albatros
or	albo
greyhound	chart
list	lista
hassium	has
gap	luka
błogostan	stan
geometry	geometria
format	format
therefore	ergo
franc	frank
underground	metro
Triassic	trias
Macintosh	macintosh
excerpt	fragment
pardon	pardon
fraternal nephew	bratanek
sororal nephew	siostrzeniec
onomatopoeic interjection	bu
rubber	guma
condom	kondom
cat	kot
fox	lis
he-wolf	wilk
knife	nóż
computer	komputer
ceiling	sufit
telephone	telefon
fork	widelec
ball	kula
idiot	idiota
dad	tata
branch	filia
trance	trans
astrology	astrologia
astronomy	astronomia
from	ode
kike	parch
goat	park
turtleneck	golf
vermin	insekt
camera	kamera
logic	logika
cobra	kobra
ink	atrament
photograph	fotografia
photographer	fotograf
fly	mucha
alcoholic	alkoholik
stairs	schody
greenhorn	bean
bus	autobus
trolleybus	trolejbus
window	okno
below	pod
will	testament
coypu	nutria
behind	za
disco	disco
zombie	zombie
kerchief	bandana
one	jeden
znacznik	tag
vehicle fleet	tabor
software	soft
absolucja	absolut
abstract	abstrakt
aeroplane	aeroplan
oczu	oko
hump	garb
bowl	misa
any	lada
scoundrel	gad
-k	-ko
parlor	studio
indeclinable	Sorbian
gateway	pylon
government department	resort
faux pas	faux pas
section	chirurgia
wymóc	wymagać
buddha	budda
wymagać	wymóc
requirements	wymagania
maybe so	chyba tak
maybe	być może
perhaps no	chyba nie
perhaps no	może nie
maybe so	może tak
reluctance	może być
Rzeczpospolita Polska	RP
beryllium	beryl
area	region
aster	aster
pussy	pizda
sill	parapet
gross income	przychód
net income	dochód
Andes	Andy
marten	kuna
elegant man	elegant
price	cena
bon appétit	smacznego
babie lato	babie lato
screen	ekran
television	srebrny ekran
tack	hals
fib	pic
sofa	kanapa
again	znowu
straight	prosty
walrus	mors
if necessary	ewentualnie
proving ground	poligon
gambling	hazard
article	paragraf
Canada	Newcastle
alphabet	alfabet
piana mydlana	piana mydlana
fig	figa
trainee	adept
aortalny	aorta
candy bar	baton
mutiny	bunt
pride	duma
fillet	filet
costume	gala
queen	hetman
holmium	holm
Cola	kola
bollard	poler
discount	rabat
roundabout	rondo
dream	sen
ceiling	strop
biceps brachii	biceps
imposing	drab
perky	fest
gawker	gap
gleam	glans
flight	lot
stage	stadium
obviously	oczywiście
lewd	bezwstydny
sun	słońce
sororal niece	siostrzenica
fraternal niece	bratanica
women	babi
empire	imperium
just right	git
indeclinable	Bajan
tie	remis
executioner	kat
equal	partner
gospel music	gospel
hundred	sto
sausage	flak
AKA	aka
work	robota
hall	sala
law obedience	mores
afternoon snack	podwieczorek
teleprompter	prompter
towards	ku
ode	oda
hara-kiri	harakiri
Mediterranean	Gibraltar
pepper	pieprzyć
sex	seks
line	kreska
Stancelowie	Stancel
sticking plaster	plaster
plus sign	plus
fortress	fort
eleven	kilkanaście
zoology	zoologia
Iraq	Irak
baby	bobo
one-on-one fight	solo
ambulatory	ambit
crossguard	garda
apprentice	terminator
parable	parabola
yr	r.
beauty pageant	mister
geranium	geranium
pineapple	ananas
Norfolk Island	Norfolk
importance	status
United States	Birmingham
thallium	tal
indeclinable	Dec
gramophone	adapter
administracja	admin
favorite son	pupil
gross	brutto
swamp	bagno
Unia Europejska	UE
cyfra arabska	cyfra arabska
coupon	voucher
testator	testator
indeclinable	Gordon
car	wagon
aerosol	aerosol
house	Sejm
Plantago	babka
skyline	panorama
puma	puma
taste	gust
-asy	-as
ancestor	pra-
burgundy	bordo
curtain	stora
minus sign	minus
teepee	wigwam
notebook	notes
vimba	certa
niobium	niob
etymology	etymologia
sphere	sfera
popularity rating	rating
genitive case	'
quasi-	quasi-
form	forma
bassoon	fagot
eminent	prominent
derivative	furan
hey	hej
Cameroon	Kamerun
Spanish	fiesta
acetate	octan
taboo	tabu
Turkic	Tatar
narrow	smug
disk jockey	DJ
bass	bas
because	ponieważ
windless	flauta
rick	bróg
communism	komuna
oh	aj
Graham bread	graham
from under	spod
above	nad
dust	kurz
indeclinable	Vogel
plague	mór
sole	sola
homograph	homograf
adres bibliograficzny	adres
splendor	splendor
rector	rektor
who	kto
anarchy	anarchia
digitizer	tablet
celestial sphere	firmament
gej	LGBT
tonsillitis	angina
potassium	potas
indeclinable	Janus
butter	masło
Betula	brzoza
geography	geografia
center	centrum
table tennis	ping-pong
loss	strata
nobelium	nobel
theory	teoria
tragedy	tragedia
atmosphere	atmosfera
101	abc
philosophy	motto
finish line	meta
photon	foton
pus	ropa
aficionado	amator
encore	bis
carat	karat
balls	jaja
dzadziki	tzatziki
uranium	uran
Tuesday	wtorek
Wednesday	środa
Thursday	czwartek
microscope	mikroskop
telescopic hydraulic cylinder	teleskop
sense	sens
bulimia nervosa	bulimia
moraine	morena
Polish diaspora	Polonia
valley	dolina
sign	znak
sign	oznaka
Mary	Maria
mulch	mulcz
mulch	mulczować
homosexual	homoseksualny
homosexual	homoseksualista
Cantharellus cibarius	lisica
linden	lipa
rue	ruta
oval	oblak
aardvark	mrównik
description	opis
ear	uszny
Ruthenian	ruski
indeclinable	Bach
indeclinable	Bor
indeclinable	Braun
indeclinable	Car
Europe	Don
indeclinable	Dragon
Finn	Fin
indeclinable	Gad
Gaul	Gal
indeclinable	Gnat
indeclinable	Grab
indeclinable	Grad
indeclinable	Gut
Joasia	Joanna
indeclinable	Kot
indeclinable	Landau
indeclinable	Lech
indeclinable	Lis
Macau	Macao
indeclinable	Mich
Nile	Nil
Lord	Pan
Virgin	Panna
Persian	Pers
indeclinable	Pik
Pluto	Pluton
Polish	Polka
indeclinable	Rut
indeclinable	Singer
indeclinable	Stern
Sun	Słońce
Tagus	Tag
Uranus	Uran
indeclinable	Urban
indeclinable	Weber
flowering plant	oman
livery	liberia
heroin	hera
mulching	mulczujący
butane	butan
germanium	german
fallow deer	daniel
steak tartare	tatar
alone	sam
mulching	mulczowanie
Pangaea	Pangea
mulching mower	kosiarka mulczująca
mulching mower	kosiarka mieląca
pyramid	piramida
Jurassic	jura
bail	gleba
iodine	jod
data	dane
Magnolia	magnolia
Urdu	urdu
minute	minuta
Neptune	Neptun
Islam	islam
Manila hemp	manila
black armband	kir
planet	planeta
flamingo	flaming
yogurt	jogurt
Toyota	toyota
sea	morski
prophet	prorok
toll booth	PPO
Urals	Ural
be	być
tuxedo	smoking
coincidence	traf
graph	graf
elective course	fakultet
sine	sinus
coupon	talon
official	regent
ne'er-do-well	lump
script	pismo
roentgenium	roentgen
parliament	parlament
Muslim	muslim
just	ot
temperament	temperament
Job	Hiob
coma	koma
woof	hau
syphilis	syfilis
cat	kotka
resentment	ansa
macaw	ara
bigot	bigot
summer	lato
poseur	pozer
hi	elo
her	jej
Japan	Japonia
ear	ucho
Russia	Moskwa
leprosy	lepra
honey bee	pszczoła
even number	cet
bull	bulla
Ukraine	Ukraina
bezsoczność	sok
etc.	itd.
Mun mushroom	mun
tomorrow	jutro
actor	aktor
actor	aktorka
snow	śnieg
Albanian	Albanka
company	outsider
embroidery	haft
truth	prawda
car	Warszawa
Czech Republic	Czechy
Yemen	Jemen
Belgian	Belg
indeclinable	Richter
night	noc
Lithuania	Litwa
good	dobry
six	sześć
Hungary	Węgry
touch	aut
yen	jen
slap	plask
flute	flet
matchmaker	swat
asp	rapa
oxygen	tlen
logarithm	logarytm
cell	cela
sing	śpiewać
giant	gigant
indeclinable	Trojan
helicopter	helikopter
Pyrus communis	bera
thaler	talar
bay	haf
gulp	haust
court	kort
note	nota
balcony	balkon
surface	tafla
truffle	trufla
roar	ryk
Kyrgyzstan	Kirgistan
specialist	spec
akulturacyjny	kultura
polytechnic	politechnika
articulated lorry	tir
Scorpio	Skorpion
voilà	voilà
bastion	bastion
man	mężczyzna
backstory	realia
lecturer	docent
aerobics	fitness
Permian	perm
water bottle	bidon
indeclinable	Blech
slovenly	niechlujny
caper	sus
Ethiopia	Etiopia
Madagascar	Madagaskar
multinational company	korpo
Juliet	Julia
icon	ikona
coat	mantel
Morocco	Maroko
tree	drzewo
actor	amant
prosthesis	proteza
sweet	słodki
Swahili	suahili
expert	macher
text	tekst
aspirant	aspirant
gene	gen
Qatar	Katar
edge	kant
ghostwriter	murzyn
boxing	boks
phantom	fantom
eat	jeść
hall	aula
strong wind	orkan
stool	taboret
Poland	Olza
comet	kometa
exercise	ćwiczyć
astronomer	astronom
yttrium	itr
chariot	rydwan
library	biblioteka
balance	saldo
ikebana vessel	ikebana
mass	masa
league	liga
ham hock	gira
shape	figura
-ly	co-
gas	gaz
mishmash	galimatias
offer	oferta
face photograph	portret
bomb	bomba
palmiarnia	palma
passage	passus
californium	kaliforn
percent	procent
ozone	ozon
spark	iskra
ghetto	getto
foundation	fundament
artificial nail	tips
walking cane	kostur
silver	srebro
paleontologist	paleontolog
doctor	doktor
helium	hel
arrogant	cham
hall	hala
pink	różowy
bronzen	brązowy
green	zielony
black	czarny
overcoat	płaszcz
wait	czekać
undress	rozbierać
kite	deltoid
dam	tama
amoeba	ameba
alley	aleja
amour	romans
renown	fama
years	lata
pay-as-you-go mobile phone	prepaid
fluorine	fluor
bodybuilding	kulturystyka
esperantysta	esperanto
marker pen	marker
flail	cep
cash desk	kasa
hawser	cuma
harmony	harmonika
crossbow	kusza
prick	chuj
gazelle	gazela
ethane	etan
indeclinable	Kos
clumsy	noga
roundworm	glista
blood	farba
ensign	bandera
printing	druk
orans	adorant
city	miasto
nitrogen	azot
harp	harfa
service point	salon
imitator	imitator
Faradayowie	Faraday
os	osa
pheasant	fazan
cellophane	celofan
alcohol	-ol
indeclinable	Miller
indeclinable	Forster
good	dobro
Malaysia	Malezja
steak	stek
modding	tuning
decline	Stany Zjednoczone
full house	ful
iamb	jamb
republic	rzeczpospolita
inch	cal
nothing	nic
something	coś
somebody	ktoś
brand	marka
dollar	dolar
pronoun	zaimek
oops	ups
horde	horda
his	jego
you	wy
state	państwo
woman	pani
sponsor	sponsor
freight	fracht
scolding	ruga
alligator	aligator
stele	stela
coke	koks
Pepsi	pepsi
Kazakhstan	Kazachstan
whew	uff
republic	republika
as	jako
as if	jakoby
help	pomoc
dad	tato
pornography	pornografia
see ya	nara
race	rasa
naval fleet	flota
fire hydrant	hydrant
sundial	solarium
bombast	patos
plaster	gips
milk	mleko
symbiont	symbiont
bartender	barman
ambergris	ambra
norm	norma
abulik	abulia
honorarium	honorarium
charm	urok
crustacean	rak
Linum	len
billiard ball	bila
ironworks	huta
market stall	kram
pep	ikra
basket	kosz
groats	kasza
washboard	tarka
masculine agent noun	-el
hook	hak
mole	mol
moss	mech
torrent	potok
what	jaki
ram	baran
tungsten	wolfram
carp	karp
ace	tuz
cinema	kino
manatee	manat
hooray	hura
pee	siku
heap	kupa
both	oba
dobry wieczór	dobry wieczór
evening	wieczór
dobry wieczór	dobranoc
welcome	witaj
thank you	dziękuję
please	proszę
sorry	przepraszam
na zdrowie	na zdrowie
why	dlaczego
when	kiedy
destiny	fatum
play	gra
leaf	liść
time	raz
indeclinable	Koch
rump	zad
wave	fala
broken man	ruina
phosphorus	fosfor
ruthenium	ruten
Nur-Sultan	Astana
tag	berek
chromium	chrom
tauon	taon
lutetium	lutet
pubic louse	menda
assembly	apel
Swiss pine	limba
given	dany
probe	sonda
airport	lotnisko
conifer forest	bór
barefoot	boso
complexion	cera
dirt	brud
buku	buk
brawl	burda
ill	chory
day	doba
xenon	ksenon
Talpidae	kret
raven	kruk
people	lud
might	moc
naked	nagi
den	nora
roe deer	sarna
heart	serce
vinegar	ocet
boredom	nuda
fodder	obrok
runs	sraka
braces	szelki
such	taki
toil	trud
thigh	udo
hive	ul
lift	winda
ever	pora
sling	proca
empty	pusty
sheaf	snop
herd	stado
steel	stal
bucket	ceber
dream	mara
sieve	sito
fable	bajka
storyteller	baj
lack	brak
farmer	gazda
code	kod
alluvial soil	mada
inn	gospoda
methane	metan
jagodnik	jagoda
friend	druh
dark	ciemny
warm	ciepły
body	ciało
tight	ciasny
dough	ciasto
quiet	cichy
second	drugi
beard	broda
leisure	laba
voilà	oto
cheap	tani
cerium	cer
armpit	pacha
herd	trzoda
Cossack	kozak
aluminum	glin
chemical	chemiczny
coconut	kokos
agha	aga
aloe	aloes
indeclinable	Lieder
drink	pić
pianist	pianista
bull	byk
cubism	kubizm
numer	nr
perhaps	chyba
pour	sypać
muscle	mięsień
board	deska
valley	kotlina
cap band	otok
daughter	córka
taste	smak
country	kraj
indeclinable	Swat
fermium	ferm
attention	wara
cały dzień	dzień
Scleranthus	czerwiec
fury	furia
villa	willa
block of flats	blok
border	granica
cucumber	ogórek
deer	jeleń
list	spis
indeclinable	Wassermann
Madonna	Madonna
moron	debil
masturbate	walić konia
masturbate	trzepać gruchę
indeclinable	Müller
indeclinable	Lenz
document	dokument
anomaly	anomalia
essay	esej
ruckus	raban
scales	waga
worth	warto
phew	uf
joint	lut
education	wykształcenie
concrete	beton
stern	rufa
epilogue	epilog
Kenya	Kenia
tray	taca
gold	złoto
stamp	stempel
wife	żona
seagull	mewa
host	hostia
candela	kandela
write	pisać
indeclinable	Wagner
indeclinable	Schmidt
cream	krem
Hanka	Hanna
ideology	ideologia
retort	riposta
gate	brama
penny	pens
Scotland	Szkocja
Great Britain	Wielka Brytania
Norway	Norwegia
Sweden	Szwecja
Holland	Holandia
Switzerland	Szwajcaria
Denmark	Dania
Greece	Grecja
area	obszar
manganese	mangan
indeclinable	Adamus
welcome	witajcie
stadium	stadion
own	posiadać
defeat	pokonać
break	złamać
tuna	tuńczyk
exfoliation	peeling
adsorbat	adsorbent
indeclinable	Gus
halo	aureola
foam	piana
junk	grat
planet	glob
often	często
ambiance	entourage
adrenergiczny	adrenalina
atoll	atol
Baltic Sea	Morze Bałtyckie
oat	owies
fish	ryba
somersault	salto
dealings	proceder
blanket	koc
support	doping
always	zawsze
atrophy	atrofia
pool	basen
debate	debata
reform	deforma
beetle	chrząszcz
hyena	hiena
octane	oktan
parcel	parcela
parody	parodia
band	pasmo
acanna	acan
perfume	perfuma
rant	perora
example	przykład
biology	biologia
margin	margines
despite	mimo
above	nade
sediment	osad
reform	reforma
disability benefit	renta
ice cream	lody
pancake	naleśnik
cloud	chmura
fog	mgła
swan	łabędź
ice	lód
glittering	lśniący
where	gdzie
little tail	ogonek
oneself	się
apologise	przepraszać
very	bardzo
be bad	szkodzić
passport	paszport
ask	prosić
thank	dziękować
order	porządek
vision	widzenie
tourist	turysta
summer school break	wakacje
everything	wszystko
wish	życzyć
nice	miły
stay	pobyt
need	potrzebować
listen	słuchać
call	nazywać
be able	móc
find	znajdować
moment	chwila
yes-no question	czy
surname	nazwisko
given name	imię
consider	uważać
say	mówić
wish	życzenie
troje	drzwi
family	rodzina
husband	mąż
meet	poznać
want	chcieć
friend	przyjaciel
alien	cudzoziemiec
teach	uczyć
car	samochód
world	świat
time	czas
pencil	ołówek
mistake	pomyłka
internal	wewnętrzny
join	łączyć
porcelain	porcelana
by	przy
surprise	niespodzianka
desire	ochota
common	wspólny
lunch	obiad
pleasure	przyjemność
two	dwa
three	trzy
four	cztery
five	pięć
seven	siedem
eight	osiem
nine	dziewięć
ten	dziesięć
hope	nadzieja
nounal subordinate clause	że
comfortably	wygodnie
every	wszelki
accident	wypadek
ring	dzwonić
just	tylko
already	już
write	notować
now	teraz
chance	okazja
great	świetnie
understand	rozumieć
across	przez
easy	łatwy
go	jechać
twist	skręcić
breast	pierś
right	prawo
heroin	heroina
ancestor	ascendent
sultrily	parno
fractal	fraktal
oneself	sobie
inclination	pociąg
today	dzisiaj
make	robić
beautiful	piękny
sightsee	zwiedzać
choose	wybierać
capital	kapitel
European bison	żubr
intersection	skrzyżowanie
until	aż
hear	słyszeć
at once	natychmiast
put out	gasić
photograph	zdjęcie
have to	musieć
leave	zostawiać
photographic camera	aparat fotograficzny
apparatus	aparat
photographic	fotograficzny
fashion	moda
seriously	serio
shoehorn	łyżka do butów
rain	deszcz
lookout	wyglądać
bread	chleb
geology	geologia
paleontology	paleontologia
phobia	fobia
alkane	alkan
decane	dekan
heptane	heptan
pentane	pentan
propane	propan
nonane	nonan
bicycle	rower
regiment	pułk
demagogue	demagog
indeclinable	Barton
Poland	Stoczek Łukowski
bazaar	bazar
adsorb	adsorber
stage	scena
halter	kantar
fruitcake	keks
throne	tron
functor	funktor
purple color	purpura
onionskin	kalka
foil	floret
Gardenia	gardenia
look for	szukać
acetylenownia	acetylen
Jordan	Jordania
stir	dym
Indian	Hindus
descendant	descendent
chronology	chronologia
pepper	piernik
co ma piernik do wiatrak	co ma piernik do wiatraka
windmill	wiatrak
szukać wiatr	szukać wiatru w polu
wiatr słoneczny	wiatr słoneczny
peony	peonia
athlete	atleta
analogy	analogia
anthropology	antropologia
autonomy	autonomia
queue	ogon
monarchy	monarchia
archaeology	archeologia
octant	oktant
temperature	temperatura
apple	jabłko
tortoise	żółw
barley	jęczmień
salmon	łosoś
Russian	moch
strawberry	truskawka
cunnilingus	mineta
fall	padać
toast	tost
karma	karman
radio astronomy	radioastronomia
supporter	kaczysta
Sejm	kaczyzm
cardboard	karton
pronunciation	wymowa
alcohol	alkohol
motorway	autostrada
despot	despota
philosopher	filozof
chemist	chemik
corten	korten
defloration	defloracja
chodzić	cho
anatomy	anatomia
morphology	morfologia
trade	handel
society	społeczeństwo
meteorology	meteorologia
arteriole	arteriola
helmet	kask
semen	sperma
tetralogy	tetralogia
storm	burza
rapper	raper
cable	kabel
I love you	kocham cię
wallpaper	tapeta
American bison	bizon
apathy	apatia
ark	arka
legend	legenda
Madonna	madonna
ecology	ekologia
hegemony	hegemonia
therapy	terapia
apostrophe	apostrof
apostrophe	apostrofa
Etruscan	etruski
banana	banan
demagogy	demagogia
demography	demografia
bibliography	bibliografia
biography	biografia
claustrophobia	klaustrofobia
hydrology	hydrologia
python	pyton
xenophobia	ksenofobia
crypt	krypta
paronym	paronim
entropy	entropia
consensus	konsensus
anaconda	anakonda
acrobat	akrobata
entomology	entomologia
kilometre	kilometr
assembly	gremium
pound	funt
siemens	simens
X-ray scan	rentgen
illness	franca
corundum	korund
outer space	kosmos
cosmology	kosmologia
lake	jezioro
China	Chiny
geologist	geolog
zoologist	zoolog
biologist	biolog
metaphor	metafora
ammonia	amoniak
poster	plakat
livestock	chudoba
reason	rozum
canker sore	afta
toad	ropucha
cheesecake	sernik
horoscope	horoskop
theology	teologia
account	konto
subscriber	abonent
abracadabra	abrakadabra
agronomist	agronom
finger	palec
mnisi	mnich
barge	barka
layabout	bisaga
aspartame	aspartam
mackerel	makrela
summary	rys
coyote	kojot
foot	stopa
tub	krypa
facial expression	minka
shovel	sipa
cheetah	gepard
mouflon	muflon
string	struna
botany	botanika
irony	ironia
paraffin	nafta
air conditioning	klima
moonshine	samogon
buttocks	zadek
indeclinable	Wapiennik
boom box	boombox
ghost	duch
aircraft carrier	lotniskowiec
Monodon monoceros	narwal
stewed fruit	kompot
servant	otrok
thicket	skupina
ploop	chlup
compass	kompas
disk	koło
gibbon	gibon
basin	miska
cult	sekta
immunology	immunologia
indeclinable	Gogol
fear	strach
buffet	bufet
base	baza
tarpaulin	brezent
trombone	puzon
carboxylic acid	kwas karboksylowy
typhus	tyfus
snake	wąż
caesium	cez
frigate	fregata
abbot	opat
turmeric	kurkuma
sarcasm	sarkazm
movie showing	seans
paper	referat
alfalfa	lucerna
card	karta
selenium	selen
altruist	altruista
egoist	egoista
Luli	Lula
cabin	kabina
capitalism	kapitalizm
captain	kapitan
coffee	kafe
mongoose	mangusta
vending machine	automat
teaching hospital	klinika
group	kombinat
committee	komitet
conductor	konduktor
concrete thing	konkret
contact	kontakt
series	seria
corps	korpus
tap	kran
tangent	tangens
coulisse	kulisa
coupon	kupon
trustee	kurator
aegis	egida
egoism	egoizm
parrot	papuga
extremism	ekstremizm
episode	epizod
laureate	laureat
tyre	opona
off-screen reader	lektor
vertical forked post	socha
censorship office	cenzura
osmium	osm
aerosol spray	spray
spectrum	spektrum
polygamy	poligamia
monogamy	monogamia
antonym	antonim
materialism	materializm
piece of furniture	mebel
Madeira	Madera
mythology	mitologia
minimalist	minimalista
metre	metr
microphone	mikrofon
cake	ciastko
monologue	monolog
urology	urologia
mime	mim
mastery	maestria
eagle	orli
genotype	genotyp
pier glass	tremo
phase	faza
damage	awaria
attic room	mansarda
pediatrics	pediatria
pediatrician	pediatra
neurology	neurologia
geriatrics	geriatria
geriatrician	geriatra
attractive	lala
defiantly	rogato
fire	ogień
repudiation	dementi
sayonara	sajonara
sequin	cekin
spades	piki
cactus	kaktus
Dermoptera	kolugo
cacophony	kakofonia
cardiology	kardiologia
category	kategoria
friend	kolega
median	mediana
microbiology	mikrobiologia
microscopy	mikroskopia
autarchy	autarkia
agon	agonia
tonne	tona
epidemic	epidemia
epidemiology	epidemiologia
economics	ekonomia
aetiology	etiologia
ethnography	etnografia
ethnology	etnologia
euphony	eufonia
jasper	jaspis
genealogy	genealogia
monotony	monotonia
margarine	margaryna
computer	komp
grey	szary
kolor	pomarańczowy
variety	orgia
drone	samolot bezzałogowy
fighting	ustawka
terminology	terminologia
climatology	klimatologia
report	raport
realism	realizm
indeclinable	Marek
technology	technika
stroke	udar
finalist	finalista
sugar	cukier
methodology	metodologia
sponge	gąbka
sauce	sos
bodybuilder	kulturysta
bodybuilder	kulturystka
liturgy	liturgia
królik	król
messenger	goniec
small jump	skoczek
graphics	grafika
paper funnel	tutka
yard	reja
criminal	juma
truncated stem	-cha
good audibility	rezonans
renegade	renegat
colossus	kolos
indeclinable	Rus
kite	kania
waist	talia
union	unia
satiated	syty
ass	dupa
protein	proteina
literature	filologia
enthalpy	entalpia
carnage	jatka
chimney	komin
stratosphere	stratosfera
troposphere	troposfera
luxury	luksus
illiterate	analfabeta
short form	Tonia
excess	zbytek
drop	kapka
soul	dusza
F clef	klucz
replica	replika
breeder	reproduktor
person	osoba
reformer	reformator
miodowy	miód
hockey	hokej
drum	bęben
pimp	alfons
cannon	armata
choir	chór
read	czytać
voice	głos
camel	wielbłąd
mug	morda
boasting	lans
midget	gnom
weapon	broń
yellow	żółć
mirror	lustro
editor	redaktor
Malpighia glabra	acerola
ox	wół
powiat	starosta
speech	rzecz
bed	łóżko
urea	mocznik
scab	strup
still	fotos
indeclinable	Malik
branch	gałąź
flea	pchła
motorcycle	motocykl
archaeologist	archeolog
eardrum	błona bębenkowa
pandeist	pandeista
plastic bags	folia
overdraft	debet
promoter	propagator
Crete	Kreta
indeclinable	Janik
agenciak	agens
arginine	arginina
Vulpes zerda	fenek
sorghum	sorgo
asphalt	asfalt
G-string	stringi
lysine	lizyna
rented real estate	lokal
Kremlin	Kreml
decadent	dekadent
ventricle	komora
title	nadpis
prop	podpora
radiography	radiografia
orphan	sirota
ornithology	ornitologia
altar boy	ministrant
officer	oficer
autograph	autograf
pain	ból
pause	pauza
rice	ryż
beverage	napój
soft drink	napój gazowany
champagne	szampan
cognac	koniak
liqueur	likier
badger	borsuk
bear	niedźwiedź
beaver	bóbr
calf	cielę
juvenile chicken	kurczak
rooster	kogut
bollard	patriota
aeroplane	samolot
grandmother	babcia
grandfather	dziadek
saxophone	saksofon
Michałek	Michał
indeclinable	Maik
compost	kompost
epic	epos
lithography	litografia
tusk	brosma
hydrogeology	hydrogeologia
haematology	hematologia
