descend	kita
go	kɔ́tɔ
universe	mokili
leaf	lonkásá
five	mítáno
four	mínei
three	mísáto
two	míbalé
six	motóbá
seven	nsambo
eight	mwambe
nine	libwá
ten	zómi
ten	lotúkú
slave	moúmbu
news	nsango
go	kɛndɛ
front	libosó
time	ntángo
wisdom	bwányá
build	tónga
protector	mobáteli
stand up	tɛ́lɛmɛ
pray	bóndela
prayer	libóndeli
stretch	límba
forgive	límbisa
reign	konza
milk	mabɛ́lɛ
whole	mobimba
discipline	pámela
declare	tatola
youth	bolɛngɛ́
problem	likambo
read	tánga
law	mobéko
throat	mongóngó
night	butú
if	sɔ́kí
believe	ndima
send	tínda
paint	kóba
lesson	litéya
messenger	ntóma
designer	moyémi
earthenware	mbɛ́ki
let	tíka
need	sengela
thin	tungisa
ask	túna
explain	yanola
escape	bíka
save	bíkisa
gorilla	mpumpu
blessing	lipamboli
dog	mbwá
skin	monkandá
comfort	bomɛngɔ
lack	zánga
righteousness	boyengebene
friend	moníngá
teacher	molakisi
fat	mafúta
goat	ntaba
book	búku
inside	káti
you	yɔ̂
child	mwǎna
breast	libɛ́lɛ
god	nzámbe
chicken	nsósó
bean	lidɛ́su
open	fungola
ant	monsɔ́mbɛ
palm nut	lobíla
true	sɔ̂lɔ́
eggplant	sɔ́ló
big	monɛ́nɛ
long	molaí
short	mokúsé
twin	lipása
wing	lipapú
sun	mwésé
wind	mompɛpɛ
rain	mbúla
today	lɛlɔ́
black	moyíndo
urine	masúba
ear	litói
ear	likútu
whip	fímbo
tooth	lǐno
eye	lǐso
box	sandúku
chair	kíti
beard	mandéfu
sleep	lála
meet	kúta
gun	bondóki
eyeglasses	manɛ́ti
a lot	míngi
open	zibola
hello	mbɔ́tɛ
fish	samáki
cross	kurúzɛ
bed	mbɛ́to
nose	zólo
mud	pɔtɔpɔ́tɔ
not	tɛ́
cup	kɔ́pɔ
pig	ngulúbɛ
vagabond	shégé
Democratic Republic of the Congo	Kinsásá
man	mobáli
it	yangó
sing	yémba
conversation	lisoló
talk	solola
monkey	makáko
steal	yíba
thief	moyíbi
eat	líya
drink	mɛlɛ
adjacent	lóbí
ginger	tangaúsi
plate	sǎni
younger	lɛ́ki
road	nzilá
leg	lokolo
Kituba	kitúba
Swahili	kiswahíli
arm	lobɔ́kɔ
Democratic Republic of the Congo	Mbándáká
Democratic Republic of the Congo	Matádi
Democratic Republic of the Congo	Kimwénza
Kongo	kikɔ́ngɔ
feather	lonsálá
shame	nsɔ́ni
tongue	lolémo
pond	liziba
egg	líki
charcoal	likála
leopard	nkɔi
hippopotamus	ngubú
skin	lomposo
life	bomɔi
Lingala	lingála
French	lifalansé
French	falansé
cat	nyáu
dugout	bwáto
boat	masúwa
bee	nzói
elephant	nzɔku
snake	nyóka
lion	nkɔ́si
bone	monkúwa
finger	mosapi
doctor	mónganga
rice	lɔ́sɔ
tobacco	likáyá
beauty	kitɔ́kɔ
goodness	malámu
flag	bɛndɛ́lɛ
bullet	lisási
soap	sabúni
sanza	likembé
disease	maláli
window	lininísa
coffee	káwa
servant	bɔ́i
tent	éma
even	atâ
perfume	malási
sugar	sukáli
horse	farása
rudeness	yaúli
sandal	eláto
thread	búsi
cowpea	nkúnde
close	fúnga
cannabis	diámbá
beginning	ebandeli
mouth	monɔkɔ
what	níni
who	náni
how	bóní
where	wápi
stone	libángá
street	balabála
metal	ebendé
food	biléi
bottle	molangi
doctor	dɔkɔtɔ́lɔ
driver	sofɛ́lɛ
darkness	molílí
prison	bɔlɔ́kɔ
